doc_id,conf_journal,pub_year_val,researchers
85,,,"d ungar , rb smith , c chambers"
86,,1977.0,vr pratt
87,"hepatitis b vaccine : demonstration of efficacy in a & hellip ; ,",,w szmuness
88,,,"r macnicol , b french"
89,"proc . ieee/acm design automation conf ,",,p heydari
90,,,"f armknecht , m krause"
91,"journal of emergency medicine ,",1993.0,"l sinclair , bl klein"
92,"new directions for teaching and learning ,",1987.0,hg murray
93,,,"c paris , k vander linden"
94,,,p offences
95,,1990.0,ae siegman
96,"proc 7th int &#39; l conf vldb ,",,m brodm
97,"ieee transactions on knowledge and data engineering ,",2003.0,"g cormode , m datar , p indyk , s muthukrishnan"
98,"the histochemical journal ,",1988.0,"dm webber , ip braidman , wr robertson , dc anderson"
99,,1995.0,r greca
100,"lancet i ,",1987.0,", i goto , i minematsu , n ikeda , n asano , m"
101,"proceedings of the 1997acm-sigmod conference ,",,"m livny , r ramakrishnan , k beyer , g chen , d"
102,"technical report cs-2000-08 , computer science department , duke",,hy aminvahdat
103,,,"v metzler , r vandenhouten , j krone , r grebe"
104,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,"ml shyu , sc chen , m chen , c zhang"
105,,,"m bertozzi , a broggi , a fascioli"
106,"new directions for higher education ,",1982.0,dp hoyt
107,,,"d tichenor , a ray-chaudhuri , s lee , h chapman , w"
108,"acm transactions on database systems ,",1998.0,"d konopnicki , o shmueli"
109,proceedings of the acm-sigmod international conference on,,"ct yu , c chang , m templeton , d brill , e lund"
110,submitted for,,a mcintyre
111,"conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0,"mf larsen , j roettger"
112,"journal of personality and social psychology ,",,"jd brown , nj novick , ka lord , jm richards"
113,"bt technology journal ,",2001.0,anxan exchange
114,"md ,",,"a jones , lc rabelo"
115,"wisconsin demand-side demonstration , april ,",,"b neal , c sabo"
116,"cochrane database syst rev ,",2000.0,m singh
117,"proceedings of the acm sigplan 1997 conference on & hellip ; ,",1997.0,"j ernst , w evans , cw fraser , ta proebsting , s"
118,"proceedings of acm sigmodâ ?? 98 conference on management of & hellip ; ,",,"j ambite , n ashish , g barish , a knoblock , s minton"
119,,,"x zhang , r gupta"
120,"www5 / computer networks ,",1996.0,"ma schickler , ms mazer , c brooks"
121,"journal of personality and social psychology ,",1993.0,"cs carver , c pozo , sd harris , v noriegaâ ? ¦"
122,"proceedings of the i mech e part d journal of automobile & hellip ; ,",2003.0,h jacobsson
123,"new directions for teaching and learning ,",2000.0,"jl cooper , p robinson"
124,,,"t domani , g goldshtein , ek kolodner , e lewis , e"
125,"new directions for teaching and learning , no ,",,c kreberâ ? ¦
126,,1992.0,a delisandn
127,,,"p sharma , d estrin , s floyd , l zhang"
128,,,p revere
129,,,"lp maguire , gw irwin"
130,"technical report no. 92 , stanford university , july",,"i kontoyiannis , a recurrence"
131,"proceedings of the 13th annual acm international conference & hellip ; ,",2005.0,"a roczniak , a el saddik"
132,,,"n zhang , a crowther , dk liu , j jeyakumaran"
133,submitted for,,"vs subrahmanian , s adali , a brink , r emery , jl lu ,"
134,"proceedings , 1994 outdoor action conference , may 23-25 , & hellip ; ,",,"th wiedemeier , jt wilson , dh kampbell , rn miller"
135,"proceedings of acm-sigmod international conference on & hellip ; ,",1998.0,", j han , sh chee , jy chiang"
136,"new directions for teaching and learning ,",1997.0,m weimer
137,"electronic markets ,",,to ` daniel
138,"fed proc ,",1987.0,mm mathews-roth
139,"journal of emergency medicine ,",1993.0,"m hillis , d sinclair , g butler , e cain"
140,,1996.0,jk david
141,"computer networks ,",2003.0,"x chen , j heidemann"
142,"the academy of management review ,",1995.0,tm jones
143,,,g farin
144,"proc of the 22nd vldb conf ,",,p schenermannâ ? ¦
145,"journal of personality and social psychology ,",1993.0,c sedikides
146,"phil . mag ,",,"kr atkins , dv osborne"
147,"the histochemical journal ,",1992.0,"h lyon , e schulte , a de leenheer , s lewis , v"
148,,,jk lanctot
149,,1993.0,ve encarta
150,,2001.0,"r wallace , r fullilove"
151,"proc . int . conf . communications ,",,"l merakos , d kazakos"
152,"seattle , washington , april ,",,"cj van zee , p hayes"
153,"proceedings of sigmodâ ?? 99 workshop on research issues on & hellip ; ,",,"j han , q yang , e kim"
154,,,"r jones , n milic-frayling , k rodden , a blackwell"
155,"proc . spie ,",1999.0,"aa karabutov , ev savateeva , aa oraevsky"
156,vol .,,"s kobayashi , k nomizu"
157,"journal of emergency medicine ,",1997.0,"cl rosen , re wolfe , se chew , sw branney , ej roe"
158,"phil . mag ,",,"dw pashley , mj stowell"
159,"tomus i ,",,pa latreille
160,"new directions for higher education ,",1980.0,j rifkin
161,"the academy of management review ,",1986.0,lk trevino
162,"proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,"c mohan , l cable , m devin , s dietzen , p helland , d"
163,"proceedings of the international conference on very large & hellip ; ,",,"k baina , b benatallah , h paik , f toumani , c rey , a"
164,"seattle , washington , september ,",,pnppr center
165,"submitted for publication ,",,"r sowers , n sri namachchivaya"
166,"sigmod record ,",1999.0,"m carey , l seligman"
167,at .,,"a mukhamedov , gv poteshkin , us salikhbaevâ ? ¦"
168,"unpublished manuscript ,",,"m buhrman , s fã $ ltenhag , l strã ¶ m , g andersson"
169,,,"f fraundorfer , h bischof"
170,"the academy of management review ,",1994.0,ja wagner iii
171,"third international conference on very large data bases , & hellip ; ,",,"c fie1771 fields , n negroponte"
172,"amino acids and î ² - lactams . acc . chem . res ,",,"ae taggi , am hafez , tr lectka"
173,"procs . oopsla 2003 workshop on process engineering for & hellip ; ,",,m saeki
174,,,"a park , m farrens"
175,"conference on management of data ,",,"s achaya , v poosala , s ramaswamy"
176,,,u protã © gã ©
177,,,"k mayer-patel , la rowe"
178,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",,rj smith
179,client-server information systems .,,"d lomet , g weikum"
180,,2002.0,"ah hs02 , s sudarshan"
181,"herpetologist , santa barbara , california ,",,p hunt
182,"international conference on bear research and management ,",,"sp french , mg french"
183,"proceedings of the 1994 acm conference on computer supported & hellip ; ,",1994.0,"na streitz , j geiã?ler , jm haake , j hol"
184,"technical report 3.0 , stanford university , march",,"m luo , m koenig , d akos , s pullen , p enge"
185,manuscript,,vp maslov
186,"kostarakis publisher , athens , greece",,"ak aringazin , a jannussis , df lopez , m nishioka , b"
187,"applied geography ,",,"hj bruins , m evenari , u nessler"
188,,2003.0,mj hoover
189,"ibm almaden research center ,",,j mao
190,,1998.0,dj kennett
191,"sigmod record ,",2002.0,"c goble , b read"
192,"proceedings of the 1993 acm sigmod international conference & hellip ; ,",1993.0,"d cohen , g larson , l berke"
193,,1998.0,r sylvan
194,,,n kong
195,"seattle , washington usa : ieee publishing , may ,",,"m garschhammer , r hauckâ ? ¦"
196,"the academy of management journal ,",1996.0,"d dougherty , c hardy"
197,"md ,",,"l johnston , poâ ?? malley , j bachman"
198,"proc . int . conf . computer-aided design ,",,"a motohara , k nishimura , h fujiwara , i shirakawa"
199,"proc . ifac symposium , zurich , switzerland ,",,hh frey
200,,,"rj beamish , m folkes , r sweeting , c mahnken"
201,,1997.0,"jr karr , ew chu"
202,,,"a arasu , h garcia-molina"
203,"journal of personality and social psychology ,",1971.0,el deci
204,"proceedings of the ieee ,",,"m kahn joseph , r barry john"
205,,,mj erickson
206,,,"i mezic , a banaszuk"
207,"economic geography ,",1988.0,jc lowe
208,"european rotorcraft forum , 25 th , rome , italy , proceedings. ,",1999.0,g guglieri
209,"journal of personality and social psychology ,",1993.0,"mr banaji , c hardin , aj rothman"
210,"computer networks ,",1999.0,"rc hauser , t przygienda , g tsudik"
211,"computer networks ,",2001.0,"i wakeman , a jeffrey , t owen , d pepper"
212,,2000.0,"e chikofsky , hd kathi"
213,,,"m zagha , b larson , s turner , m itzkowitz"
214,"san diego : academic ,",,"lb schook , dl laskin"
215,,,"z huang , x li , h chen"
216,unpublished,,"j neil , j woodward"
217,,,"pw luther , rk yip , rj bloch , a ambesi , ge"
218,"san diego ,",,"eb davies , op semigroups"
219,"experimental robotics i ,",,"mh raibert , cm thompson"
220,,,l chase
221,,1996.0,"cp helbling , g fallegger , d hill"
222,"& hellip ; on infrared physics , zurich , switzerland , aug. 11-15 , 1975 . & hellip ; ,",1976.0,r zander
223,"ieee transactions on knowledge and data engineering ,",2004.0,r cheng
224,,,"n ritter , hp steiert"
225,"cochrane database syst rev ,",2003.0,"g jamtvedt , jm young , dt kristoffersen , o thomson ,"
226,"proceedings of the second acm international conference on & hellip ; ,",1997.0,"m kozuch , w wolf , a wolfe , d mckay"
227,,,hs bloomâ ? ¦
228,"h. acc . chem . res ,",,re smalley
229,,,pe greenâ ? ¦
230,,1967.0,sd fisher
231,"proc . spie ,",1998.0,"g smith , a lankshear"
232,"the histochemical journal ,",1988.0,"y mizukami , a nonomura , t hashimoto , e kawahara , s"
233,"& hellip ; telemetering conference , washington , d. c , proceedings ,",1975.0,gg delmas
234,"bt technology journal ,",1994.0,d johnsonâ ? ¦
235,"electronic letters ,",1998.0,"f udrea , a popescu"
236,"genes to cells ,",1997.0,"t makishima , t nakashima , k nagata-kuno , k"
237,"computerworld ,",,r trombly
238,,2004.0,em kirking
239,"cochrane database syst rev ,",2003.0,"d fellowes , s wilkinson , p moore"
240,"proceedings of the 1989 acm sigmod international conference & hellip ; ,",1989.0,"w kim , e bertino , jf garza"
241,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0,"rl cole , g graefe"
242,at .,,av zhemerev
243,"acm siggraph conference proceedings ,",,"p alliez , m desbrun"
244,,1989.0,k theiler
245,,1985.0,"s awerbuch , b chor , s goldwasser , s micali"
246,"electronic learning ,",1989.0,i bruder
247,"information & software technology ,",2002.0,"md ` inverno , p howells , mj hu , m luck"
248,"electronic design ,",,b milne
249,"international conference on business process management ,",,"x zhao , c liu , y yang"
250,"proc . int . conf . intell . syst . mol . biol ,",1997.0,"v solovyev , a salamov"
251,"economic geography ,",1994.0,a rodriguez-pose
252,"information and software technology ,",1987.0,p hitchcock
253,"28th annu . proc . int . reliability physics symp ,",,"z yiqi , s qing"
254,"vldb ,",1986.0,bgt lowden
255,"md ,",,pa milne
256,"vldb ,",1998.0,c mina
257,at .,,"ln bogachek , ka gazaryan , vv lyenkoâ ? ¦"
258,"new directions for program evaluation ,",1983.0,ch weiss
259,"information and software technology ,",2003.0,"mu uyar , ma fecko , ay duale , pd amer , as sethi"
260,"transplantation proceedings ,",1994.0,r morris
261,"technical report cs-tr-3987 , department of computer science ,",,"a dekhtyar , r ross , vs subrahmanian"
262,,,"t ebrahimi , y abdeljaoued , rmf i ventura , od"
263,vivo demonstration of the circadian . rhythm of cholesterol,,p edwards
264,"sigmod record ,",,"p bernstein , m brodie , s ceri , m franklinâ ? ¦"
265,"communications-acm ,",2000.0,"js olson , gm olson"
266,"unep , athens ( greece ) . 1991. ,",1991.0,ard stebbing
267,"submitted for publication ,",2003.0,o nierstrasz
268,"proc . int . test conference ,",1990.0,"w mao , md ciletti"
269,"at spectrosc ,",,"rh eckerlin , dw hoult , gr carnrick"
270,"acm sigplan notices ,",1982.0,mj rees
271,"& hellip ; eidgenoessische technische hochschule , zurich ( switzerland ) & hellip ; ,",1974.0,m schleicher
272,,1980.0,"js bendat , a piersol"
273,"proceedings of the 1996 ieee/acm international conference on & hellip ; ,",,"m johnson , k roy"
274,"virology-new york - ,",1994.0,"cc smith , jh luo , jcr hunter , jv ordonez"
275,"proc . ire ,",,"ml doelz , et heald , dl martin"
276,"proceedings of 24th acm sigmod international conference on & hellip ; ,",2005.0,"m jahangiri , c shahabi"
277,"www9 / computer networks ,",2000.0,"jc shafer , r agrawal"
278,"unpublished manuscript ,",,"re o'connor , jr jenkins , ta slocum"
279,"mit , laboratory for computer science , http://larch . lcs . mit .",,s garland
280,,,c morris
281,,,s engelberg
282,"biuletyn-instytutu hodowli i aklimatyzacji roslin ,",1995.0,"l madej , r osinski , j jagodzinski"
283,,2004.0,m uchida
284,,,h riecken
285,"stanford university technical report stan-cs-208 , stanford , ca ,",,a george
286,"geography ,",,"d barker , dfm mcgregor"
287,"proc . acm sig1r ,",,"dr cutting , dr karger , jo pedersen , jw tukey"
288,"unpublished manuscript ,",,d kellner
289,"social studies and the young learner ,",1993.0,a lockledge
290,"geography ,",,s jenkins
291,"proceedings of pme ,",,w dã ¶ rfler
292,proc . 10th acm symp . operating,,ca grove
293,acm sigmod international conference on management of,,"g mecca , p atzeni , a masci"
294,"new directions for teaching and learning : using research to & hellip ; ,",,h murray
295,"sigmod ,",1999.0,"s adalä ± , ml sapino , vs subrahmanian"
296,"& hellip ; river pcb reclamation/demonstration project , evaluation of",,m pirnie
297,"www6 / computer networks ,",1997.0,j graham-cumming
298,procs . ieee intelligent vehicles,,"t nakano , k sugiyama , m mizuno , s yamamoto"
299,"athens , greece : ntua publications ,",,"j stefanou , j stefanou"
300,,,"t authors , c identified"
301,,,"d geiger , d heckerman"
302,"new directions for higher education ,",1984.0,m passer
303,"contributions to nephrology ,",1995.0,"y hiki , a horii , h iwase , a tanaka"
304,,2001.0,"r brown , w baron , wd chadwick"
305,,,s alexander
306,"new directions for adult and continuing education ,",1995.0,ge miller
307,"lnai n. 3065 : procs . ofâ ?? eonâ ?? 04 ,",,"g boella , l van der torre"
308,"new directions for teaching and learning ,",1997.0,ds lee
309,,,p hudak
310,"acm sigart bulletin ,",1991.0,"t bollinger , u pletat"
311,,,m klein
312,,,ys wang
313,"proc . 28th annual precision time and time interval ( ptti ) & hellip ; ,",,"d matsakis , f josties"
314,"proceedings of 11th international conference on very large & hellip ; ,",,"ht chou , dj dewitt"
315,"communications-acm ,",2001.0,"l von hellens , s nielsen"
316,"electronic design ,",,d bursky
317,"new directions for teaching and learning ,",1989.0,j katz
318,"9th vldb ,",,"g grahne , k raiha"
319,proceedings of the 2000 acm sigplan international conference,,"d damian , o danvy"
320,"economic geography ,",1979.0,ej malecki
321,"phil . mag ,",,l rayleigh
322,"proc . int . conf . on concrete ,",1992.0,"cm liu , xl liu"
323,,1986.0,l zonghua
324,,,"b donnet , p raoult , t friedman , m crovella"
325,at .,,av nikolaeva
326,"technical report , stanford university , cf. url http://diglib .",,"k kamiya , m rã ¶ scheisen , t winograd"
327,,1991.0,ga margulis
328,"technical report 411 , stanford university , march",,jd mcdonald
329,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0,"k kawamura , m umeda , h shiraishi"
330,,2003.0,m levin
331,"bt technology journal ,",2004.0,t machover
332,"unpublished manuscript ,",,"o ashenfelter , k graddy"
333,"computer networks ,",2000.0,"s aggarwal , s paul , d massey , d caldararu"
334,"bt technology journal ,",1997.0,"i buxton , swj hodgkiss , gd king"
335,,,sj williams
336,"academy of management journal ,",2000.0,"i filatotchev , t buck , v zukov"
337,"lecture notes in computer science ,",1996.0,"l ballesteros , wb croft"
338,"journal of personality and social psychology ,",2001.0,"i mcgregor , mp zanna , jg holmes , sj spencer"
339,"computers and society ,",,cd martin
340,at .,,"va danilyan , vd vysotskii , mn katkova , ii kryshev"
341,"international conference on irrigation management transfer ,",,ik musa
342,unpublished,,"re jenkins , bj freeman"
343,"new directions for teaching and learning ,",1984.0,ld fink
344,"acm press frontier series ,",1990.0,"m lacroix , m vanhoedenaghe"
345,"isbn ,",,g lakoff
346,"madison , wisconsin : university of wisconsin , march ,",,dp proudfit
347,,,"mh klein , jp lehoczky , r rajkumar"
348,"computer networks ,",,"jp fry , me deppe"
349,,1996.0,"ja zeh , dw zeh"
350,vldb,,"m rys , mc norrie , hj schek"
351,"information and software technology ,",1993.0,"s chen , jm drake , wt tsai"
352,"san diego ,",,er mapping
353,"phil . mag ,",,ec stoner
354,"ieee transactions on knowledge and data engineering ,",2004.0,"l xiao , x zhang , a andrzejak , s chen"
355,,,p assessment
356,"information and software technology ,",1987.0,"nh white , gm haylett"
357,"urban geography ,",,"n blomley , g clark"
358,"new directions for adult and continuing education ,",1993.0,rc mason
359,,,"ed mynatt , g weber"
360,"university of washington , seattle ,",,j felsenstein
361,proceedings of acm,,a joseâ ? ¦
362,"acm sigmod record ,",1986.0,ak elmagarmid
363,,1981.0,"m sirbu , s schoichet , j kunin , m hammer"
364,,2002.0,"s dill , r kumar , ks mccurley , s rajagopalan , d"
365,"computerworld ,",,c stedman
366,"journal of emergency nursing ,",1999.0,ks hayes
367,,1985.0,p norton
368,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,"n jiang , yh ho , ka hua"
369,"journal of emergency nursing ,",1997.0,t smith
370,,,"j millã ¡ n , p godignon , d tournier"
371,"bt technology journal ,",2004.0,"p kearney , j chapman , n edwards , m gifford , l he"
372,"sigmod record ,",2001.0,"sy chien , vj tsotras , c zaniolo"
373,"new directions for adult and continuing education ,",1995.0,g rodriguez
374,mit laboratory for computer,,u maheshwari
375,"international conference on very large data bases ,",,"mj carey , dj dewitt , je richardson"
376,"proceedings of the 23rd annual marschall invitational & hellip ; ,",,rj alvarez
377,,,"h bindslev , l porte , ja hoekzema , d van eester , a"
378,"proceedings seventh acm symposium on solid modeling and & hellip ; ,",2002.0,"ys chang , kt mcdonnell , h qin"
379,,,"vk mishra , rd retherford , kr smith"
380,"experimental field studies in northern switzerland . zurich . & hellip ; ,",,p ryser
381,,,b alper
382,,,"wj zhou , jr wen , wy ma , hj zhang"
383,"san diego , calif ,",,h packard
384,,,h schoning
385,"slovak technical university , bratislava ,",,"v kvasnicka , j pospä ± chal , p tino"
386,"proc . 28th international conference on high energy physics ,",,t browder
387,"journal of emergency nursing ,",1997.0,"st mcnamara , ec meyer , ka fraser , ea sands"
388,,1992.0,rl r-vest
389,"international conference on bear research and management ,",,"pe reynolds , hv reynolds , eh follmann"
390,"cochrane database syst rev ,",2000.0,"ap craft , nn finer , kj barrington"
391,"cochrane database syst rev ,",2001.0,a whitelaw
392,,2001.0,jmw lam
393,,,"h sundaram , sf chang"
394,,,"d patterson , k keeton"
395,"proc . 28th eur . conf . on optical communication ,",,"b sverdlov , b schmidt , s pawlik , b mayer , c harder"
396,"proceedings of the international conference on very large & hellip ; ,",,g cormode
397,"md ,",,n halsey
398,"electronic times ,",,bh lee
399,"proc . spie ,",1996.0,tc oakberg
400,"radiotekhnika i elektronika ,",1978.0,ag onishchuk
401,"new directions for higher education ,",1987.0,pc winstead
402,"pc magazine-american edition - ,",1994.0,r raskin
403,"history of programming languagesâ ?? ii ,",,"gl steele jr , rp gabriel"
404,"the histochemical journal ,",1992.0,"ek karhukorpi , p lakkakorpi , n carter , s dodgson ,"
405,"ieee computer ,",,"m raynal , m singhal"
406,"& hellip ; eidgenoessische technische hochschule , zurich ( switzerland ) & hellip ; ,",1976.0,c stoller
407,"see ref ,",,ja veech
408,"sigmod record ,",1995.0,"p drew , b hamidzadeh , k karlapalem , acy kean , dl"
409,"algorithmica ,",1999.0,f dehne
410,"acc . chem . res ,",2005.0,"f speiser , p braunstein , l saussine"
411,,,gw medlin
412,"lecture notes in computer science ,",1993.0,s felsner
413,,1988.0,vi arnol 'd â ? ¦
414,"lecture notes in computer science ,",,jn gray
415,"new directions for higher education ,",1992.0,ma pierce
416,"pc magazine april ,",,c ellison
417,"journal of personality and social psychology ,",1995.0,"p gosselin , g kirouac , fy dore"
418,proc . acm sigmod,,"mj carey , dj dewitt , mj franklin , ne hall , ml"
419,"unpublished memorandum , laboratory for computer science , mit & hellip ; ,",,"c papadimitriou , m yannakakis"
420,"see ref ,",,ma beck
421,"proc . int . workshop ,",,"dj greathead , dj girling"
422,"acm transactions on database systems ,",1981.0,"f bancilhon , n spyratos"
423,"santa barbara , ca : university of california , santa barbara ,",,"jc ingham , rj ingham"
424,,1984.0,rm santilli
425,"supplement to procs . 1980 flywheel technology symposium ,",,"sm rohde , na schilke"
426,"acm transactions on database systems ,",1989.0,a motro
427,,,"cc zou , d towsley , w gong , s cai"
428,,1990.0,rs nikhil
429,"electronic letters ,",1990.0,"c toumazou , jb hughes , dm pattullo"
430,"submitted for publication ,",2005.0,c wunsch
431,,1992.0,"c macias , gb teague"
432,"communications-acm ,",2003.0,"t defanti , c de laat , j mambretti , k neggers"
433,,2001.0,"a bridzius , v vansevicius"
434,"journal of personality and social psychology ,",,js wiggins
435,,,rt ng
436,"proceedings of acm sigmod international conference on & hellip ; ,",,"g sudipto , r rastogi , k shim"
437,"communications of the acm ,",1961.0,car hoare
438,"sigmod record ,",1999.0,acms anthology
439,,,p thibodeau
440,,,"l lesmo , v lombardo"
441,"no . i ,",,ia boguslavskiiâ ? ¦
442,"proc . int . ornithol . congr ,",,m gochfeld
443,,,cn ziegler
444,"new directions for higher education ,",1985.0,ss lipschutz
445,"technical report 105 , department of statistics , stanford",,ie frank
446,"new directions for higher education ,",1974.0,j duley
447,"political geography ,",,ã ? tuathail
448,,,"wt cheng , jl lewandowski , e wu"
449,"integration with software engineering : procs . of hci-intl ,",,"t granollers , j lorã © s , f perdrix"
450,"cochrane database syst rev ,",2002.0,"cc butler , jh van der voort"
451,"procs . 8th eegs-meeting , aveiro , portugal ,",,"p sjã ¶ dahl , t dahlin , b zhou , s johansson"
452,"proceedings of the nineteenth acm sigmod-sigact-sigart & hellip ; ,",2000.0,"mj atallah , s prabhakar"
453,,,d tattrie
454,"proceedings of the eighth acm international conference on & hellip ; ,",2000.0,jz wang
455,"lancet i ,",1979.0,"ad smith , nj wald , hs cuckle , gm stirrat , m bobrow"
456,"vard i norden ,",1997.0,"c haeggmark , b nilsson"
457,"proceedings of the acm &#39; 81 conference ,",1981.0,rb cooper
458,"proc . of the 21st int . symp . on shock waves , great keppel ,",,"r zitoun , v gamezo , c guerroud , d desbordes"
459,"knowledge and data engineering , ieee transactions on ,",2004.0,"s chaudhuri , m datar , v narasayya"
460,,,i drosophila
461,"submitted for publication ,",2004.0,"j dunagan , nja harvey , mb jones , d kostic , m"
462,,,a lee-post
463,"journal of emergency medicine ,",1995.0,"ha spiller , ml winter , kv mann , dj borys , s muir ,"
464,,1992.0,s rosenzweig
465,"journal of personality and social psychology ,",1999.0,"nr branscombe , mt schmitt , rd harvey"
466,"proceedings of sigmod conference ,",,"poâ ?? neill , d quass"
467,"bt technology journal ,",2004.0,"a lippman , dp reed"
468,"proceedings of the international conference on very large & hellip ; ,",1996.0,"d chatziantoniou , ka ross"
469,"new directions for adult and continuing education ,",1992.0,"rg brockett , bf legrand"
470,,,m datar
471,"microsoft corporation ,",2001.0,pp de los libres-uruguaiana
472,"proc . acm sigmetrics conf ,",,j wolf
473,"cochrane database syst rev ,",2004.0,gj hofmeyr
474,,2001.0,rs gupta
475,"sigmod record ,",2004.0,ch wuq
476,"mayo clinic proceedings ,",1999.0,"wg bensen , jj fiechtner , ji mcmillen , ww zhao , ss"
477,"journal of emergency nursing ,",1998.0,le ledray
478,"see ref ,",,"jv ward , nj voelz"
479,,,"jk guo , d doermann , a rosenfeld"
480,proceedings of the 25th vldb conference,,ss chawathe
481,"computerworld ,",,s craig
482,"conference proceedings on data management 91 table of & hellip ; ,",1992.0,kw short
483,"proceedings of the international conference on very large & hellip ; ,",1998.0,"l do , p drew , w jin , v jumani , d van rossum"
484,,1998.0,"jh friedman , t hastie , r tibshirani"
