beer_uid,beer_abv,beer_item,brew_style
2698,9.00 %,Venomous Imperial Honey Ale - Brandy Barrel-Aged,American Amber / Red Ale
2699,8.50 %,Burning Down The House,American Amber / Red Ale
2700,7.40 %,British Knight Scotch Red Ale,American Amber / Red Ale
2701,-,Stranger Danger,American Amber / Red Ale
2702,3.90 %,Devil 's Garden,American Amber / Red Ale
2703,5.50 %,Rousse Svelte,American Amber / Red Ale
2704,-,Hose Co 1 Red Lager,American Amber / Red Ale
2705,-,Roughneck Red Ale,American Amber / Red Ale
2706,-,The Amarillo Chainsaw Massacre,American Amber / Red Ale
2707,4.90 %,Marks And Spencer Cornish Red Ale,American Amber / Red Ale
2708,5.40 %,7-Spot Amber Ale,American Amber / Red Ale
2709,6.50 %,Outlaw IPA,American Amber / Red Ale
2710,4.80 %,Redwood,American Amber / Red Ale
2711,6.00 %,Capricieuse,American Amber / Red Ale
2712,5.20 %,Brother Paul 's Amber Ale,American Amber / Red Ale
2713,-,Red Rooster Amber,American Amber / Red Ale
2714,5.10 %,Destinatian Honey Red Ale,American Amber / Red Ale
2715,5.50 %,Naughty Amber,American Amber / Red Ale
2716,5.00 %,Amethyst Amber Ale,American Amber / Red Ale
2717,5.20 %,Mother Plunker,American Amber / Red Ale
2718,5.00 %,Extra Special Red Ale,American Amber / Red Ale
2719,5.00 %,Loggerhead Red,American Amber / Red Ale
2720,5.60 %,Amber Lager,American Amber / Red Ale
2721,5.00 %,Scintilla Sweet Tea Ale,American Amber / Red Ale
2722,4.20 %,Summer Session Ale,American Amber / Red Ale
2723,5.40 %,Hogfish Amber,American Amber / Red Ale
2724,-,Aiken American Red Pale Ale,American Amber / Red Ale
2725,6.60 %,Viola Rossa,American Amber / Red Ale
2726,5.90 %,Road Rider,American Amber / Red Ale
2727,-,Amber Earl,American Amber / Red Ale
2728,6.00 %,L'Aviateur,American Amber / Red Ale
2729,4.30 %,Ratsherrn Backbord Red Ale,American Amber / Red Ale
2730,6.20 %,Otter Creek Amber,American Amber / Red Ale
2731,6.40 %,R.I.P.A.H,American Amber / Red Ale
2732,6.00 %,Manchester Red,American Amber / Red Ale
2733,-,Flanders Red Ale,American Amber / Red Ale
2734,-,Wave,American Amber / Red Ale
2735,5.00 %,Legends Of The Bay - Ghosts Of Hope Island,American Amber / Red Ale
2736,8.10 %,Rude Girl,American Amber / Red Ale
2737,6.60 %,Bretter Off Red,American Amber / Red Ale
2738,4.30 %,Daywalker,American Amber / Red Ale
2739,6.50 %,Swayze In The Morning,American Amber / Red Ale
2740,5.00 %,Amber Eh !,American Amber / Red Ale
2741,5.00 %,Northmaen Ambree,American Amber / Red Ale
2742,5.00 %,Thirsty Dog Natural Ale,American Amber / Red Ale
2743,6.00 %,Bonnie Heather Amber,American Amber / Red Ale
2744,5.50 %,Summertime Ale,American Amber / Red Ale
2745,5.80 %,Crimson King,American Amber / Red Ale
2746,6.50 %,Andromeda,American Amber / Red Ale
2747,5.90 %,Saint Annes Amber,American Amber / Red Ale
2748,5.00 %,Helluva Honey,American Amber / Red Ale
2749,11.00 %,Red Beard,American Amber / Red Ale
2750,5.30 %,Fort Ann 's Amber,American Amber / Red Ale
2751,5.50 %,Spencer Creek Amber Ale,American Amber / Red Ale
2752,5.40 %,Cliff 's Amber,American Amber / Red Ale
2753,5.70 %,Scarlet Letter Red,American Amber / Red Ale
2754,6.50 %,Rita Raisin Red Ale,American Amber / Red Ale
2755,-,Morning Wood Red Ale,American Amber / Red Ale
2756,3.80 %,Steam Beer,American Amber / Red Ale
2757,7.30 %,Centennial Amber,American Amber / Red Ale
2758,4.50 %,C-Red,American Amber / Red Ale
2759,6.20 %,Rampart Red,American Amber / Red Ale
2760,-,F8 Crusader IRA,American Amber / Red Ale
2761,5.80 %,Autumn Amber,American Amber / Red Ale
2762,6.90 %,L'AmbrÃ © e Des FÃªtes,American Amber / Red Ale
2763,6.10 %,La Tourangelle,American Amber / Red Ale
2764,5.20 %,Willimantic Riverfest Red,American Amber / Red Ale
2765,-,Gold Dredge Red,American Amber / Red Ale
2766,-,Autumn Session,American Amber / Red Ale
2767,6.00 %,Honey Run Sun Amber,American Amber / Red Ale
2768,3.80 %,ISA Rousse,American Amber / Red Ale
2769,5.90 %,Florida Wildflower Unite Red Ale,American Amber / Red Ale
2770,6.00 %,Road Rash Red,American Amber / Red Ale
2771,9.00 %,El Tormento,American Amber / Red Ale
2772,5.80 %,Virginia Harvest Ale,American Amber / Red Ale
2773,4.80 %,Molly Pitcher ( Wicked Women Series ),American Amber / Red Ale
2774,-,Red Headed Stepchild Irish Red,American Amber / Red Ale
2775,6.00 %,Elk Head Extra,American Amber / Red Ale
2776,7.00 %,Hop Crazed Squirrel,American Amber / Red Ale
2777,5.90 %,Oatmeal Raisin Cookie Ale,American Amber / Red Ale
2778,6.00 %,Rancho Rye,American Amber / Red Ale
2779,5.10 %,Kick Of Coriander,American Amber / Red Ale
2780,-,Hurricane Alley Amber Ale,American Amber / Red Ale
2781,6.80 %,Sonic Boom,American Amber / Red Ale
2782,8.00 %,Natty Red Nitro,American Amber / Red Ale
2783,5.00 %,Ocean Amber Ale,American Amber / Red Ale
2784,5.80 %,100 % Brett Red Ale,American Amber / Red Ale
2785,6.00 %,Thetis,American Amber / Red Ale
2786,6.00 %,Nighthawk India Red,American Amber / Red Ale
2787,5.50 %,Cherry Tart,American Amber / Red Ale
2788,6.50 %,Slayer 666 Red Ale,American Amber / Red Ale
2789,5.00 %,Shipstone 's Crew Fine Amber Ale,American Amber / Red Ale
2790,5.00 %,Belgian Style Amber Ale,American Amber / Red Ale
2791,5.60 %,Flagstaff Amber,American Amber / Red Ale
2792,5.30 %,Tri Martolod Rousse,American Amber / Red Ale
2793,-,Poppy Jasper Brewed With Willamette Hops,American Amber / Red Ale
2794,5.80 %,RathSkeleton The Red,American Amber / Red Ale
2795,7.50 %,1901 Red Ale ( nitro ),American Amber / Red Ale
2796,5.70 %,Original Red,American Amber / Red Ale
2797,6.50 %,Magic Rock / Cigar City Cigarro Roja Magica,American Amber / Red Ale
2798,5.00 %,Riverbend Red,American Amber / Red Ale
2799,-,Big Dom 's Polish Ale,American Amber / Red Ale
2800,8.30 %,Wreak Havoc,American Amber / Red Ale
2801,4.80 %,Dancing Duck Amberillo,American Amber / Red Ale
2802,5.50 %,San Gabriel Birra La Rossa Di Verona,American Amber / Red Ale
2803,4.20 %,Brazen Amber Ale,American Amber / Red Ale
2804,-,5:02 Amber With Summit Hops,American Amber / Red Ale
2805,-,Suzi 's Red Belly,American Amber / Red Ale
2806,-,Armstead Amber,American Amber / Red Ale
2807,7.00 %,The BigTop,American Amber / Red Ale
2808,4.40 %,Holgate Red,American Amber / Red Ale
2809,-,Pinnacle Peak Amber Ale,American Amber / Red Ale
2810,-,Peak 6,American Amber / Red Ale
2811,-,Mermaid 's Red Ale - Bourbon Oak Aged,American Amber / Red Ale
2812,6.00 %,Trentatre Ambrata,American Amber / Red Ale
2813,5.50 %,La Fauve,American Amber / Red Ale
2814,5.90 %,Peanut Butter Amber Ale,American Amber / Red Ale
2815,-,Gluten Friendly,American Amber / Red Ale
2816,6.10 %,Reservoir Hops,American Amber / Red Ale
2817,6.00 %,SkjeggjÃ ¸ ld,American Amber / Red Ale
2818,5.00 %,Springtime Red,American Amber / Red Ale
2819,-,Autumn Recipe,American Amber / Red Ale
2820,5.80 %,La Cara Del Indio,American Amber / Red Ale
2821,5.00 %,Monseratte Roja,American Amber / Red Ale
2822,6.00 %,Roil Nuts,American Amber / Red Ale
2823,4.50 %,Marks & Spencer - Lowland Glen Amber,American Amber / Red Ale
2824,5.80 %,RÃ ¶ de Orm,American Amber / Red Ale
2825,6.00 %,Admiral ( of The ) Red Ale,American Amber / Red Ale
2826,6.00 %,Singing At Trees,American Amber / Red Ale
2827,6.53 %,Red Rice,American Amber / Red Ale
2828,5.80 %,Roscoe Red,American Amber / Red Ale
2829,5.80 %,TomaHawkins,American Amber / Red Ale
2830,6.50 %,Ponderosa Belgian Red Ale,American Amber / Red Ale
2831,4.80 %,Her Name Was Amber Ale,American Amber / Red Ale
2832,5.80 %,Red Remains,American Amber / Red Ale
2833,-,La St-Louis SpÃ © ciale,American Amber / Red Ale
2834,8.50 %,Imperial Warbeard Irish Red,American Amber / Red Ale
2835,5.80 %,Redheaded Step Hog,American Amber / Red Ale
2836,-,Fox Island Red Ale,American Amber / Red Ale
2837,5.60 %,Forever Amber,American Amber / Red Ale
2838,5.80 %,Pineapple Habanero Amber,American Amber / Red Ale
2839,6.20 %,Double Red Tail,American Amber / Red Ale
2840,5.50 %,The Ascent,American Amber / Red Ale
2841,7.00 %,Lord Of Myrcene,American Amber / Red Ale
2842,5.70 %,Rust Never Sleeps Amber,American Amber / Red Ale
2843,5.90 %,Recompression Red,American Amber / Red Ale
2844,4.10 %,Royal Red,American Amber / Red Ale
2845,6.30 %,Grandpa 's Amber Ale,American Amber / Red Ale
2846,5.30 %,British Amber,American Amber / Red Ale
2847,6.90 %,BBA,American Amber / Red Ale
2848,5.50 %,Tres Vaqueros Amber Ale,American Amber / Red Ale
2849,5.20 %,Roman Red,American Amber / Red Ale
2850,4.70 %,Milly 's Coal Miners Common,American Amber / Red Ale
2851,4.80 %,United Red Ale,American Amber / Red Ale
2852,5.50 %,Pitchers Sunset Amber,American Amber / Red Ale
2853,5.60 %,The Gambler American Amber,American Amber / Red Ale
2854,6.00 %,Moska Torrada,American Amber / Red Ale
2855,9.30 %,Omelet,American Amber / Red Ale
2856,5.50 %,Y. Market Craft Heart Red,American Amber / Red Ale
2857,10.00 %,Tongue Buckler Cask W/Ginger And Lemongrass,American Amber / Red Ale
2858,4.30 %,Star,American Amber / Red Ale
2859,5.20 %,Audible Amber,American Amber / Red Ale
2860,4.20 %,Toast,American Amber / Red Ale
2861,-,Monkey _ ™ s Uncle Red Ale,American Amber / Red Ale
2862,4.70 %,Monkey Bar,American Amber / Red Ale
2863,5.10 %,Out There Celestial Love,American Amber / Red Ale
2864,6.50 %,Warrior I.R.A.,American Amber / Red Ale
2865,6.80 %,Sunset Amber,American Amber / Red Ale
2866,5.70 %,Red Rocket,American Amber / Red Ale
2867,5.50 %,Red Curry Ale,American Amber / Red Ale
2868,5.60 %,Leatherwood Red,American Amber / Red Ale
2869,6.60 %,Redner,American Amber / Red Ale
2870,7.00 %,Infrared,American Amber / Red Ale
2871,6.20 %,Rambler Amber,American Amber / Red Ale
2872,4.50 %,Indie Amber,American Amber / Red Ale
2873,6.20 %,Festivus,American Amber / Red Ale
2874,6.50 %,Battle Royale Red,American Amber / Red Ale
2875,-,American Bully Amber,American Amber / Red Ale
2876,5.20 %,ColorAmber Ale,American Amber / Red Ale
2877,-,Alameda Amber,American Amber / Red Ale
2878,5.50 %,Crave,American Amber / Red Ale
2879,7.00 %,Red Castle,American Amber / Red Ale
2880,4.50 %,Big Red Rooster,American Amber / Red Ale
2881,-,Rusty Scupper Amber Ale,American Amber / Red Ale
2882,5.00 %,Crown Of Eyes,American Amber / Red Ale
2883,7.40 %,Blame Canada,American Amber / Red Ale
2884,5.20 %,Massey Red Ale,American Amber / Red Ale
2885,-,Rotty 's Red Ale,American Amber / Red Ale
2886,5.80 %,Anchor Amber,American Amber / Red Ale
2887,5.00 %,Rock House Amber,American Amber / Red Ale
2888,5.50 %,Molly,American Amber / Red Ale
2889,6.30 %,Birra Speciale,American Amber / Red Ale
2890,5.20 %,Kelvin & Hops,American Amber / Red Ale
2891,5.00 %,Bandit Mask,American Amber / Red Ale
2892,5.60 %,1926 Amber Ale,American Amber / Red Ale
2893,5.50 %,Mt. Rainier Red,American Amber / Red Ale
2894,5.50 %,Mandrin AmbrÃ © e BIO,American Amber / Red Ale
2895,4.90 %,Chronic Ale - Lucky Charms,American Amber / Red Ale
2896,4.80 %,Fenton Fire Hall Ale,American Amber / Red Ale
2897,6.00 %,Fire Station 5,American Amber / Red Ale
2898,5.50 %,Bambino Amber,American Amber / Red Ale
2899,6.30 %,American Amber Wheat,American Amber / Red Ale
2900,5.20 %,Forester Bitter Amber Ale,American Amber / Red Ale
2901,5.00 %,State & Main Red Ale,American Amber / Red Ale
2902,3.50 %,Cento All ` Ora,American Amber / Red Ale
2903,6.00 %,Brigitte Honey Ale,American Amber / Red Ale
2904,4.70 %,Kjuagutt,American Amber / Red Ale
2905,-,Fitger 's Red Ale,American Amber / Red Ale
2906,5.80 %,Lil Red,American Amber / Red Ale
2907,5.50 %,E'vil Winter Hoppy Ale,American Amber / Red Ale
2908,3.80 %,Sourless Ginger,American Amber / Red Ale
2909,6.90 %,The Gentle Mongoose,American Amber / Red Ale
2910,4.50 %,Gros Ours,American Amber / Red Ale
2911,5.50 %,Chunky 's Red Carpet Ale,American Amber / Red Ale
2912,7.20 %,Mango Chili Red Ale,American Amber / Red Ale
2913,5.80 %,California Common,American Amber / Red Ale
2914,6.58 %,Revelry Red,American Amber / Red Ale
2915,6.10 %,Hoppy Amber Ale ( Mountain Series ),American Amber / Red Ale
2916,5.40 %,Red Velvet Ale,American Amber / Red Ale
2917,6.40 %,Iwo Jima Red Ale,American Amber / Red Ale
2918,5.40 %,Breadwinner,American Amber / Red Ale
2919,5.50 %,Kiss Me I 'm Irish,American Amber / Red Ale
2920,5.50 %,O'Bar Amber Ale,American Amber / Red Ale
2921,5.70 %,Brass Band Golden Ale,American Amber / Red Ale
2922,5.60 %,Dammit Jim ! Amber,American Amber / Red Ale
2923,5.60 %,Secret Lake Amber Ale,American Amber / Red Ale
2924,-,Calibration Ale,American Amber / Red Ale
2925,-,Jurassic Duck Amber Ale ( dry Hopped With Mosaic ),American Amber / Red Ale
2926,6.60 %,Goblin Hunter,American Amber / Red Ale
2927,5.10 %,Happy Ending,American Amber / Red Ale
2928,-,Just The Tip,American Amber / Red Ale
2929,-,Bitter Creek Red Desert Ale,American Amber / Red Ale
2930,9.50 %,Big Red Hoppy Barn,American Amber / Red Ale
2931,5.00 %,McCarthy 's Red,American Amber / Red Ale
2932,4.50 %,Bucket Of Blood,American Amber / Red Ale
2933,-,Cheerwood Amber,American Amber / Red Ale
2934,9.50 %,Ale Mania Imperial Red Ale,American Amber / Red Ale
2935,6.00 %,OPA,American Amber / Red Ale
2936,-,Prairie Moon Red,American Amber / Red Ale
2937,-,Barkin ' Bacon,American Amber / Red Ale
2938,6.20 %,La Calavera Jingo Amber Lunch,American Amber / Red Ale
2939,7.50 %,Magnitude Imperial Red,American Amber / Red Ale
2940,7.00 %,L _ ™ ambrÃ © e,American Amber / Red Ale
2941,-,Pumpkin Pie Spiced Ale,American Amber / Red Ale
2942,5.10 %,Two Loves Chocolate Ale,American Amber / Red Ale
2943,6.50 %,Open Road Hop Red,American Amber / Red Ale
2944,-,Bone Crusher,American Amber / Red Ale
2945,6.90 %,Festival Amber ( AmbrÃ © e Des FÃªtes ),American Amber / Red Ale
2946,5.30 %,The Observer,American Amber / Red Ale
2947,4.70 %,Grain Rouge,American Amber / Red Ale
2948,5.00 %,La Rousse Du Malbord,American Amber / Red Ale
2949,-,Pleasure Victim,American Amber / Red Ale
2950,-,Working Mans Red,American Amber / Red Ale
2951,7.50 %,Ten Grain To Your Brain Amber Ale,American Amber / Red Ale
2952,5.20 %,Ship In A Bottle Mersey Ale,American Amber / Red Ale
2953,5.30 %,Crimson Halo,American Amber / Red Ale
2954,-,331 Red,American Amber / Red Ale
2955,7.60 %,Wildfire Red,American Amber / Red Ale
2956,5.50 %,Xena,American Amber / Red Ale
2957,5.00 %,You 've Got Red On You,American Amber / Red Ale
2958,4.70 %,Rod 's Rodeo Red,American Amber / Red Ale
2959,4.10 %,Rutland City Red,American Amber / Red Ale
2960,5.90 %,Sequoia American Amber Ale,American Amber / Red Ale
2961,6.50 %,Capitol Copper Ale,American Amber / Red Ale
2962,7.10 %,Awesome Red : Red House IRA,American Amber / Red Ale
2963,5.70 %,Red Special,American Amber / Red Ale
2964,6.50 %,Red Baron Ale,American Amber / Red Ale
2965,-,Montana Amber,American Amber / Red Ale
2966,-,Bronc Buster Double Red,American Amber / Red Ale
2967,5.70 %,Hop Mama Amber,American Amber / Red Ale
2968,6.00 %,Red Line Ale ( Rum Barrel ),American Amber / Red Ale
2969,4.80 %,Tampa Red,American Amber / Red Ale
2970,6.50 %,Skyline Rye,American Amber / Red Ale
2971,6.50 %,Red Llama,American Amber / Red Ale
2972,6.00 %,Imperial Moustache Red Ale,American Amber / Red Ale
2973,5.70 %,Cardinal Park Red Ale,American Amber / Red Ale
2974,6.10 %,Beer 'd,American Amber / Red Ale
2975,-,Rock River Red Ale,American Amber / Red Ale
2976,5.20 %,Aggie Amber Ale,American Amber / Red Ale
2977,-,Red Robin Red,American Amber / Red Ale
2978,-,Copper Hull,American Amber / Red Ale
2979,7.20 %,Street Cred India Rye Red Ale,American Amber / Red Ale
2980,5.60 %,Ruthless Red Ale,American Amber / Red Ale
2981,6.00 %,Mankerbeer Red Ale,American Amber / Red Ale
2982,-,Red Red Wheat,American Amber / Red Ale
2983,5.40 %,Ragtop Red,American Amber / Red Ale
2984,4.90 %,Walls,American Amber / Red Ale
2985,6.00 %,La Soyeuse AmbrÃ © e,American Amber / Red Ale
2986,7.30 %,Rodan Red IPA,American Amber / Red Ale
2987,5.40 %,Red Sun,American Amber / Red Ale
2988,8.40 %,Barrel Aged Old Fashion,American Amber / Red Ale
2989,5.40 %,Wilbur 's Regret,American Amber / Red Ale
2990,-,French And Indian Corn Ale,American Amber / Red Ale
2991,-,Auger Falls Dark Amber Ale,American Amber / Red Ale
2992,4.50 %,Ise Kadoya Amber Ale,American Amber / Red Ale
2993,6.90 %,NewlyRed Double Red,American Amber / Red Ale
2994,5.00 %,Ansel 's Amber,American Amber / Red Ale
2995,-,Table Rock Red,American Amber / Red Ale
2996,5.50 %,Earth Day Hemp Ale,American Amber / Red Ale
2997,5.50 %,Amberjax,American Amber / Red Ale
2998,5.60 %,Porta Coeli Amber,American Amber / Red Ale
2999,5.20 %,American Red Wheat,American Amber / Red Ale
3000,6.50 %,Barrel Aged Extra Red,American Amber / Red Ale
3001,5.40 %,MC Yammer,American Amber / Red Ale
3002,5.90 %,Enambered - Pilot Batch,American Amber / Red Ale
3003,-,Bitter Creek Amber X,American Amber / Red Ale
3004,8.00 %,Robustus Rubeus,American Amber / Red Ale
3005,5.80 %,Barrel Aged Quinoa & Amber,American Amber / Red Ale
3006,5.60 %,Chalk Rock Amber,American Amber / Red Ale
3007,4.60 %,Ho'okipa Amber,American Amber / Red Ale
3008,7.40 %,Hop Sock Organic Red Ale,American Amber / Red Ale
3009,4.00 %,Rude Ram Red,American Amber / Red Ale
3010,6.00 %,La 109,American Amber / Red Ale
3011,5.00 %,Cutthroat Double Oak Casked,American Amber / Red Ale
3012,5.20 %,Emil 's Amber Ale,American Amber / Red Ale
3013,4.80 %,Minuteman Red,American Amber / Red Ale
3014,7.50 %,Burley Beaver,American Amber / Red Ale
3015,5.25 %,Inaugural Amber,American Amber / Red Ale
3016,5.60 %,Stadin Red Ale,American Amber / Red Ale
3017,4.30 %,Slewfoot,American Amber / Red Ale
3018,5.70 %,Creamsicle,American Amber / Red Ale
3019,5.00 %,Merry Cinnamas,American Amber / Red Ale
3020,5.30 %,Amber Rye,American Amber / Red Ale
3021,5.70 %,Red Rind IPA,American Amber / Red Ale
3022,6.25 %,Misty Mountain Hop,American Amber / Red Ale
3023,5.50 %,Gordon Biersch Red Ale,American Amber / Red Ale
3024,-,New Wave Amber,American Amber / Red Ale
3025,6.50 %,Hopped Up Red,American Amber / Red Ale
3026,4.20 %,Copper Tart,American Amber / Red Ale
3027,4.60 %,Lil ' Vic,American Amber / Red Ale
3028,5.00 %,Boston Ale,American Amber / Red Ale
3029,7.00 %,Awesome Amber,American Amber / Red Ale
3030,8.70 %,Batch Zero,American Amber / Red Ale
3031,9.20 %,Flagstaff Big Rapid Red,American Amber / Red Ale
3032,8.00 %,Le Magnifiche Elbana,American Amber / Red Ale
3033,-,Murph 's Irish Gold,American Amber / Red Ale
3034,5.30 %,Fir Na Tine,American Amber / Red Ale
3035,4.70 %,Regimental 80 Scottish Ale,American Amber / Red Ale
3036,5.60 %,Ed 's Amber Ale,American Amber / Red Ale
3037,4.50 %,Lucky Clover Red Ale,American Amber / Red Ale
3038,5.50 %,Loco Rio,American Amber / Red Ale
3039,6.00 %,Notting Hill Red,American Amber / Red Ale
3040,5.00 %,Foxtail,American Amber / Red Ale
3041,-,Mano Roja,American Amber / Red Ale
3042,4.30 %,Tornado,American Amber / Red Ale
3043,-,Fireweed IRA,American Amber / Red Ale
3044,6.00 %,Mad Bee Honey Ale,American Amber / Red Ale
3045,5.20 %,Go Fetch Me A Daaamn Beer,American Amber / Red Ale
3046,6.10 %,Serenity,American Amber / Red Ale
3047,5.60 %,Hellstork DeÅ 3/4 ko 12Â °,American Amber / Red Ale
3048,5.00 %,Local Yeast Amber,American Amber / Red Ale
3049,5.60 %,Black Pepper Casek Gaelic Ale,American Amber / Red Ale
3050,-,Big Hopi,American Amber / Red Ale
3051,6.00 %,InaugurALE Red,American Amber / Red Ale
3052,4.50 %,Stateside Rye,American Amber / Red Ale
3053,5.30 %,Big Willie Style,American Amber / Red Ale
3054,5.80 %,Michael 's Red Ale,American Amber / Red Ale
3055,10.00 %,Mateo Loco,American Amber / Red Ale
3056,4.60 %,Confidence,American Amber / Red Ale
3057,6.00 %,La Printaniere,American Amber / Red Ale
3058,4.80 %,1865 Amber,American Amber / Red Ale
3059,4.70 %,Ruby Jazz Ale,American Amber / Red Ale
3060,-,Harvestman Red,American Amber / Red Ale
3061,5.20 %,Bob 's Knotty Amber,American Amber / Red Ale
3062,6.00 %,Big Ed 's Red Rye,American Amber / Red Ale
3063,-,Red Light,American Amber / Red Ale
3064,5.00 %,Harbor Shores,American Amber / Red Ale
3065,5.60 %,Soulful Ginger,American Amber / Red Ale
3066,6.50 %,Ardwen AmbrÃ © e,American Amber / Red Ale
3067,5.60 %,The Crimson,American Amber / Red Ale
3068,-,Conor Larkin 's Amber,American Amber / Red Ale
3069,8.50 %,Vadia Export,American Amber / Red Ale
3070,-,Amber Dexterous,American Amber / Red Ale
3071,5.10 %,Midnite Umber Ale,American Amber / Red Ale
3072,5.70 %,Blood Falls,American Amber / Red Ale
3073,-,MovAmber Moustache Ale,American Amber / Red Ale
