item_key,prod_company,cost,item_description
326,scholastic,29.95,math missions : the race to spectacle city arcade ( grades k-2 )
327,arc media inc.,19.95,world of wild cats
328,topics entertainment,29.95,state standards grade 8
329,learning company,,cluefinders 3rd grade adventures : mystery of mathra
330,avanquest publishing usa inc.,39.99,ghostsurf platinum 2006 [ lb ]
331,topics entertainment,9.99,instant home cooking ( jewel case )
332,webroot software,29.99,spy sweeper [ lb ]
333,adobe,999.0,adobe after effects 7.0 professional ( mac )
334,avanquest,29.95,transfer my dvd
335,encore-software-inc,,tlc zoombinis 3rd grade lrng sys 2007 sb cs by riverdeep 10548 )
336,ubi soft,19.99,csi : crime scene investigation
337,majesco entertainment,19.99,jaws
338,activision,19.95,sega smash pack 2
339,dreamcatcher interactive,29.99,post mortem
340,brighter minds media inc.,14.99,zoboomafoo animal logic cd/workbook combo
341,encore software,19.95,mother goose interactive storybook
342,selectsoft publishing,19.95,let 's learn about time & date
343,jian inc.,19.95,living trust builder
344,ubi soft,29.99,ubi soft star wars activity center windows )
345,symantec,50.0,portfolio media kit be syst recovery 7.0 win small business ed
346,mcafee,89.99,mcafee internet security suite 2007 3 users
347,knowledge adventure,19.99,jumpstart advanced 1st grade v2 .0
348,topics entertainment,29.99,microsoft office & windows training
349,topics entertainment,49.99,middle school success deluxe 2008
350,adobe,899.0,adobe creative suite cs3 design standard upsell [ mac ]
351,roxio,29.95,is3 stopzilla 4.0 [ stop spyware pop-ups id theft ]
352,sony-pictures-home-entertainment,899.99,pc vegas dvd
353,sony-pictures-digital-entertainment,899.95,sony vegas 6 + dvd [ old version ]
354,fogware publishing,9.99,the universe ( win/mac ) ( jewel case )
355,zone labs,49.99,zonealarm internet security suite
356,laplink,19.95,ringtone media studio 2
357,valusoft,19.99,print workshop 2007
358,cosmi corporation,39.99,perfect attorney premium
359,encore,19.99,adventure workshop 1st-3rd grade 8th edition
360,topics entertainment,29.99,fun for kids : preschool kindergarten featuring disney
361,adobe,799.0,adobe creative suite cs3 web standard upsell
362,topics entertainment,9.99,national geographic photo gallery ( jewel case )
363,sony-computer-entertainment,24.99,sony psp media manager
364,adobe,99.99,adobe premiere elements 3.0 [ lb ]
365,fogware publishing,9.99,english literature basics ( win/mac ) ( jewel case )
366,riverdeep,,riverdeep arthur 's kindergarten
367,tri synergy,19.99,big oil : build an oil empire
368,knowledge adventure,19.99,jumpstart advanced 3rd grade v2 .0
369,encore,19.99,tlc arthur 's kindergarten learning system 2008
370,cosmi,,cosmi talking math & more for kids ( windows )
371,microsoft,109.99,microsoft powerpoint 2004 upgrade ( mac )
372,iris inc.,399.99,readiris pro 11 corporate edition
373,magellan,114.66,magellan mapsend lakes ( usa south )
374,mcafee,39.99,mcafee virusscan plus 2007
375,phantom efx,19.99,reel deal casino championship edition
376,nova development,19.95,printmaster gold v 17.0
377,trend micro,49.95,pc cillin internet sec 2007 lics large box 3u
378,encore software,19.99,aquarium 3-in-one collection ( win/mac )
379,tri synergy,39.99,cute ftp
380,kaspersky lab,59.95,kaspersky anti-virus 6.0
381,whiptail,19.99,restricted area
382,adobe,1699.0,adobe production studio premium
383,fogware publishing,9.99,merriam-webster 's dictionary ( win/mac ) ( jewel case )
384,lego media,,lego island 2 : the brickster 's revenge ( xp compatible version )
385,casual arcade,19.95,tank battle
386,selectsoft publishing,19.95,quickstudy u.s. government
387,atari,,home budget for dummies
388,encore software,29.99,zonealarm wireless security
389,topics entertainment,19.99,instant immersion japanese 2.0
390,dk multimedia,19.95,encyclopedia of our living oceans
391,valusoft,9.99,ultimate pinball ( jewel case )
392,scholastic,19.99,clifford reading pack ( dvd box )
393,microsoft software,5099.0,microsoft visual studio test agent 2005 cd 1 processor license
394,knowledge adventure,19.99,jumpstart advanced 2nd grade v2 .0
395,fogware publishing,9.99,world history ( win/mac ) ( jewel case )
396,intuit inc.,499.95,quickbooks premier non-profit edition 2005
397,selectsoft publishing,19.95,quickstart pc cleaner xp
398,encore software,19.95,crayola first ladies costume maker
399,arcmedia,24.95,arcmedia spelling bee ( windows/macintosh )
400,valusoft,9.99,pokemon team turbo ( jewel case )
401,acclaim,39.95,south park chef 's luv shack
402,humongous entertainment,,blues clues preschool
403,atari,,backyard skateboarding
404,cosmi,,cosmi rom07524 print perfect business cards dvd
405,fogware publishing,9.95,vivaldi 's musical adventure pod
406,the learning company,,cluefinders 3rd grade
407,ubi soft,19.99,rayman 10th anniversary collection
408,encore software,29.99,before you know it deluxe spanish edition for pc/mac
409,nuance,49.95,pdf converter 4
410,vivendi universal,19.99,er
411,bling,29.99,podmaxx '07
412,adobe,1399.0,adobe creative suite cs3 web premium upsell [ mac ]
413,megasystems,29.99,human body 360
414,magix entertainment,,web radio recorder
415,learning company,399.95,bodyworks 6.0 25-user building site license
416,edmark,19.95,virtual labs : light
417,selectsoft publishing,19.95,pressure pop !
418,valusoft,19.99,essential business tools 2.0
419,global software publishing,19.95,let 's make stickers
420,fogware publishing,139.99,student home learning system for pc/mac
421,3m,,3mds network operations manager diy annual subscptn 101 500u
422,computer-associates-international,,model web publisher 3.5.2 .
423,microsoft licenses,205.73,microsoft licenses word olp c ( 05903871 )
424,watchguard technologies inc,1995.0,vpn manager five to ten firebox
425,encore software,29.99,hoyle card games 2007
426,computer associates,,ca arcserve bkup protection suite exch r11 .5 upgrade prod only
427,victory multimedia,149.99,victorymul submitwolf version 6.0 swolf6r )
428,zone labs,29.99,zonealarm anti-spyware
429,dreamcatcher interactive,29.99,the guild 2 pirates of the seas
430,webroot software,39.95,child safe 3-pc
431,microsoft,209.0,microsoft windows server 2003 client additional license for devices 5 pack
432,susteen,113.1,cell phone software solution
433,susteen,39.95,mediapilot kit
434,enfocus software,499.0,upgrade pitstop server 3.5 1u win 2k/xp & mac os 10.2.8
435,veritas,,media kit storage foundation basic lnx v4 .1 cpu vol-4 file sys-4
436,global-software-publ-na,,sudoku puzzle addict : unlimited edition
437,red mile,29.99,aircraft power pack for ms flight simulator
438,nova development,,winway resume deluxe 11.0 network 10
439,symantec media,28.0,sym clt security 3.1 scs media cd en
440,isi researchsoft,109.99,researchsoft endnote 9 student edition for students [ old version ]
441,sony-pictures-digital-entertainment,69.99,sony acid music studio
442,microsoft licenses,4215.77,microsoft licenses biztalk hipaa std . sa only ( u0200024 )
443,microsoft,709.0,microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client
444,knowledge adventure,,jumpstart 1st grade
445,topics entertainment,19.99,instant landscaping 3.0 [ lb ]
446,topics entertainment,29.99,topics presents : ancient civilizations ( 4 cd set )
447,topics entertainment,19.99,simple movie maker
448,topics entertainment,6.99,instant play electric guitar ( jewel box )
449,boomerang,,boomerang webpage designer gold
450,x-oom,,x-oom mp3 radio recorder windows )
451,zone labs,,zonealarm firewall pro 5 ( free upgrade to new version )
452,adobe,999.0,adobe after effects cs3
453,topics entertainment,49.99,phonics success deluxe 2006 ( large box )
454,brighter-minds-media-inc .,9.99,land before time : preschool
455,encore software,19.99,brainfood games cranium collection 2006
456,encore software,19.99,clickart fonts ( 2006 ) by encore
457,topics entertainment,39.99,national geographic presents : redshift 5 planetarium software
458,summit software,19.99,stationery design studio
459,trend micro,48.91,anti-spyware 3.0 win normal 1u new
460,topics entertainment,29.06,snap ! 8 player poker 5 pack
461,encore,19.99,alien disco safari
462,dantz,249.0,emc retrospect 7.5 svr 1-client windows
463,topics entertainment,49.99,kaplan sat/act/psat platinum 2007 win/mac
464,corel corp,166.19,ae painter v9 win/mac box
465,adobe,399.0,adobe creative suite cs3 web standard upgrade [ mac ]
466,netopia,,timbuktu remote control softwre 10 licenses for windows
467,topics entertainment,58.5,sat act and psat 2007 platinum
468,the-learning-company,29.99,treasure mathstorm
469,microsoft corp,49.95,ae mappoint 2006 cd
470,cisco systems ( ciscopro ),,cisco security desktop agent csa-b250-dtop-k9 )
471,adobe,145.39,photoshop elements 4 mac retail eng 1u ( 19230169 )
472,hewlett packard,,ov data protector open file 5-wk v. 9 ltu incl ltu for 5 win nt/2000/xp workstati
473,onone software,499.95,pro photo essentials plug in suite & iview mediapro 3
474,microsoft,30.0,microsoft asp net web matrix
475,century software,705.21,tinyterm v4.x 5u windows terminal emulation ( tt-5 )
476,microsoft corp,,ae outlook 2007 win32
477,mindjet,129.0,mindjet mindmanager 7 mac single license
478,sonic systems inc. .,,sonicwall comprehensive gateway security suite 1 year upgrade plan 01-ssc-5845 )
479,freeverse software,79.99,sound studio 3 : record edit add effects to audio ( mac )
480,knowledge adventure,19.99,jumpstart world 1st grade
481,nova development,29.99,art explosion t-shirt factory deluxe 3.0
482,webroot-software-inc,,window washer
483,webroot software,39.95,child safe
484,adobe,161.73,adobe premiere elements 3.0
485,on-hand-software,9.99,on hand spanish 1-2-3 windows )
486,symantec,,pcanywhere 11.0 host only cd-rom xp 98 nt w2k me
487,business objects,199.99,crystal reports 11 reporting essentials trng cbt
488,aspyr media,39.99,star wars battlefront ( mac )
489,ientertainment,29.99,flyboys squadron mac
490,microsoft software,549.0,microsoft visual studio professional 2005 upgrade
491,yamaha,31.95,hollywood volume 1
492,microsoft,29.99,microsoft productivity pack for windows mobile
493,adobe,349.0,adobe encore dvd 2.0
494,apple,699.95,webobjects 5.2
495,serious magic,276.5,serious magic ultra2 master sets library 2 windows )
496,microsoft,179.99,microsoft windows vista business 32-bit for system builders
497,microsoft,179.0,microsoft data analyzer 2002
498,encore software,39.99,mavis beacon typing 17 deluxe by broderbund
499,symantec,169.65,symantec pcanywhere 12.0 host only
500,riverdeep-learning-company,9.99,the printshop business card maker ( jewel case )
501,microsoft software,129.95,microsoft digital image suite plus [ lb ]
502,symantec,885.83,symc backup exec sbs prm 11d win small business server
503,sierra home,29.99,hallmark card studio 2006
504,adobe,129.0,adobe audition 2.0 upgrade
505,symantec,99.95,norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ]
506,corel,149.99,corel wordperfect office 12 standard upgrade
507,autodesk psg,59.95,raster design 2006 essentials
508,adobe,273.0,acrobat professional 8 mac upsell standard-professional
509,microsoft,149.0,services for netware 5.0
510,encore software,29.99,reader rabbit learning system 1st grade
511,microsoft,99.95,microsoft publisher 2007 version upgrade
512,microsoft software,199.99,microsoft windows xp professional upgrade with sp2
513,encore software,19.99,mavis beacon typing 17 ( win/mac )
514,microsoft,259.95,microsoft windows vista ultimate upgrade [ dvd ]
515,topics entertainment,49.99,instant immersion spanish deluxe 2.0
516,adobe,599.0,adobe creative suite cs3 design premium upgrade [ mac ]
517,adobe,649.0,adobe photoshop cs3 [ mac ]
518,microsoft,239.99,microsoft office 2004 standard upgrade ( mac )
519,microsoft,49.95,microsoft student with encarta premium 2008 dvd
520,intuit,399.95,quickbooks premier nonprofit edition 2007
521,microsoft software,49.95,microsoft sql server developer edition 2005 cd/dvd
522,microsoft,259.95,microsoft visio standard 2007
523,microsoft,399.95,microsoft windows vista ultimate full version [ dvd ]
524,apple computer,299.0,apple final cut express hd 3.5 ( mac )
525,corel,429.0,corel painter x win/mac
526,global marketing partners,295.0,cadopia 6 standard edition by cadopia
527,adobe,99.99,adobe premiere elements 3.0
528,intuit,99.95,quickbooks simple start 2007
529,microsoft,19.99,zoo tycoon 2 : marine mania expansion
530,encore software,19.99,learning company kid pix deluxe 4
531,microsoft,809.0,microsoft windows server 2003 client additional license for users-5 pack
532,intuit,199.95,quickbooks pro 2007 for mac ( mac )
533,adobe,274.95,upgrade freehand 11 maceng cd 1u
534,imsi design,19.95,imsi resume writer deluxe [ lb ]
535,microsoft,49.95,microsoft windows live onecare 1.5 online pc care subscription [ 12 months ]
536,adobe,89.99,adobe photoshop elements 4.0 ( mac )
537,apple,99.95,apple . mac 4.0 online service
538,apple,79.0,apple iwork '06 ( mac dvd )
539,intuit,39.95,learning quickbooks 2007
540,corel,129.99,ulead videostudio 11 plus
541,microsoft,99.95,microsoft onenote 2007
542,apple computer,79.0,apple ilife '06 ( mac dvd ) [ older version ]
543,adobe,199.0,adobe photoshop cs3 upgrade [ mac ]
