product_id,manufact,sale_price,title_desc
175,diskeeper corporation,79.21,diskeeper 2007 professional single lic pack
176,topics entertainment,,instant immersion japanese ( audio book )
177,blizzard entertainment,29.99,world of warcraft 60 day pre-paid time card
178,dorling-kindersley-multimedia - ( dk ),29.95,smart steps 4th grade
179,computer associates,,ca arcserve bkup r11 .5 win dro sp1 prod only
180,nuance-communications-inc .,79.99,textbridge pro 11
181,emedia,39.99,emedia rock guitar method
182,arc-media-inc .,19.95,home bartending 101 shooters
183,knowledge adventure,29.99,jumpstart reading with karaoke
184,business objects,595.0,crystal reports xi developer
185,intriguing development,39.95,iremember digital scrapbooking 2.0
186,topics-entertainment-software - ( consignment ),9.99,learn2 training for microsoft powerpoint
187,adobe,9104.19,adobe acrobat distiller svr v6-cd sun 100u 42050106 )
188,eidos interactive,19.99,tomb raider : legend
189,borland international,,upgrade delphi 2006 pro named fr delphi v3-2005 pro cd
190,isi researchsoft,299.99,isi researchsoft reference manager 11 single user
191,watchguard technologies inc,1995.0,high availability requires two livesecurity firesboxes
192,topware interactive,19.99,buku karkuro
193,symantec corporation .,983.34,backup exec 10d win adv disk v10 .1 lic only ( e180518 )
194,hewlett packard,,procurve manager plus upgrade -
195,blizzard entertainment,19.99,world of warcraft
196,vivendi,35.7,world of warcraft pc
197,sonic systems inc. .,,sonicwall global vpn client license 01-ssc-5310 )
198,nuance communications inc.,949.99,scansoft paperport professional 11 5 user license
199,netmanage,,netmanage upg rumba unix-hp edition level 902453-007-c )
200,watchguard technologies inc,,upg serverlock for solaris gold
201,veritas,295.0,backup exec netware remote agt win/netware svr v9 .2 e/g
202,lenovo,,the computrace lojack for laptops computer tracking and loss control solution by
203,lotus development corp,,lotus dev . mqseries link for r/3-v 1.2 cd sol 04l1671 )
204,cisco systems enterprise,,cisco ios enterprise services complete package cd28-esk9 = )
205,nortel,,nortel contivity stateful firewall license standard 1 switch
206,hewlett packard,,hp data protector exp bu svr cmp upgrade ltu
207,business objects,909.66,crystal reports 11 professional full product french
208,wasp technologies,,wasp bar code wasp bar code labeler complete package 3 users std cd -
209,ibm,,ibm rational clearcase lt v. 6.0.0 media vol passport passport adva
210,esker,,upgrade terminal emulation software 2006 with media 1u
211,microsoft,49.5,microsoft entertainment pack ce
212,diskeeper corporation,1372.21,diskeeper 2007 pro premier 10-lic pack
213,netmanage,,netmanage rumba web as/400 edition 910523-002 )
214,watchguard technologies inc,159.9,watchguard 1yr subs firebox x5 webblocker wg017196 )
215,netmanage,,netmanage rumba web to host as400 ed v4 .2 910623-000 )
216,adobe,199.0,adobe illustrator cs3 upgrade from freehand [ mac ]
217,cisco systems enterprise,,cisco syst . minor release : requires existing cww-6 .1 - win-mr )
218,microsoft corporation,330.14,microsoft upg win small business svr cal t74-01215 )
219,computer associates,,ca brightstor arcserve backup r11 .1 for netware upgrade from arcserve 7 for netware
220,wasp technologies,,mobileinventory additional mobile license
221,watchguard license,2098.55,watchguard license wg vpn upgrade from 4 to 10 ( wg4110 )
222,pinnacle,69.99,pinnacle studio plus titanium edition v10 .5
223,symantec,3732.0,symantec client security 3.1 with groupware protection business pack 50 user
224,netmanage,,netmanage rumba web as/400 edition 910584-001 )
225,microsoft,229.99,microsoft powerpoint 2004 ( mac )
226,isi researchsoft,299.95,refviz v2 mac single user
227,curious labs inc.,49.99,e frontier manga studio debut 3.0 ( single user )
228,microsoft licenses,74.59,microsoft licenses win svr 2003 device cal l/sa ( r1800144 )
229,avanquest,49.95,vcomm system suite professional 7
230,computer associates,,ca arcserve bkup r11 .5 win svrless bkup opt sp1 - prod only
231,hewlett packard,,red hat enterprise linux ws v. 4 update 4 license 1 workstation rl296aa )
232,broderbund,19.95,printshop home & office labels
233,nova development,49.99,photo explosion deluxe 3.0
234,global marketing partners,,ntrack anti-theft by synet electronics
235,nuance communications inc.,99.99,pdf converter professional v4 english
236,global marketing partners,129.99,readiris pro 11
237,persoft,,persoft upg smarterm office v12 .1 73098 )
238,computer associates,,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for
239,imsi,29.95,designcad v 17
240,lotus development corp,,lotus dev . ws bus int monitor v4.2.4-multi plat mp eng af04mna )
241,tyndale house,29.99,left behind : ilumina edition
242,lotus development corp,,lotus dev . ibm db2 net search extender v. 8.2 media bb0kyna )
243,microsoft,118.46,money premium 2007 win32 eng na mini box us only cd
244,microsoft,5479.0,microsoft visual studio team edition for software developers 2005 with msdn premium
245,activision,19.99,dora the explorer : dora 's world adventures
246,microsoft licenses,3210.4,microsoft licenses isa server lic/sa olp c ( e8400294 )
247,netmanage,,netmanage onweb web-to-host v. 5.1 upgrade license 910443-004 )
248,microsoft software,,microsoft windows small business server cal 2003 license pack 20 client addpack device
249,nuance communications inc.,474.99,scansoft paperport 11 5 user license
250,adobe,999.0,adobe after effects professional 7.0
251,microsoft software,9929.0,microsoft crm small business ed cal 3.0 license pack user cal
252,stompsoft inc.,29.99,stompsoft registry repair
253,filemaker,69.0,filemaker mobile 8 for palm os and pocket pc
254,watchguard technologies inc,,watchguard mobile user vpn 5 user bundle wg3605 )
255,diskeeper corporation,736.66,diskeeper 2007 pro premier 5-lic pack
256,sierra home,49.99,hallmark card studio 2005 deluxe
257,computer associates,,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for
258,microsoft,5479.0,microsoft visual studio team edition for software architect 2005 with msdn premium
259,novastor corporation,,library expansion option-upg
260,cisco systems enterprise,,cisco 2600xm ser ios ip/fw/ids cd26xm-ch = )
261,hewlett packard,,procurve mobility manager 1.0 is a plug-in module for procurve manager plus 2.0
262,hewlett-packard - ( consumables ),,hp sp linux we 50 lic/cd 3.0 c t3586a )
263,symantec,,symantec mail security for smtp 5.0 smb av cd 5u gov
264,adobe,999.0,adobe photoshop cs3 extended [ mac ]
265,adobe,699.0,adobe indesign cs3 [ mac ]
266,corel,49.99,intervideo dvd copy 5 platinum
267,adobe,149.99,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ]
268,global-software-publishing,19.99,world of rainbow fish
269,microsoft,209.99,microsoft publisher with digital imaging 2003 [ old version ]
270,adobe,449.99,adobe acrobat 7.0 professional
271,microsoft software,735.33,microsoft office small business 2007
