item_id,paper_name,author_team,series_name,doc_year
12882,preservation solutions for transplantation,"f muhlbacher , f langer , c mittermayerâ ? ¦","transplantation proceedings ,",1999.0
12883,cerebrospinal fluid,"da jerrard , jr hanna , gl schindelheim","journal of emergency medicine ,",2001.0
12884,hyperbaric oxygen therapy for multiple sclerosis,"m bennett , r heard","cochrane database syst rev ,",2004.0
12885,naturalistic evaluation,eg guba,"new directions for program evaluation ,",1987.0
12886,regression diagnostics : identifying influential data and sources of collinearity,"da belsley , e kuh , re welsch",,
12887,anvil-a generic annotation tool for multimodal dialogue,m kipp,"proceedings of eurospeech ,",
12888,a platform for dutch in human language technologies,"j beeken , e dewallef , ed ` halleweyn","proceedings of lrec2000 , athens , greece ,",
12889,towards a formal approach for object database design,"p poncelet , m teisseire , r cicchetti , l lakhal",,
12890,semistructured and structured data in the web : going back and forth,"p atzeni , g mecca , p merialdo","sigmod record ,",1997.0
12891,evaluation of the 2-poisson model as a basis for using term frequency data in searching,"vv raghavan , h shi , ct yu","acm sigir forum ,",1983.0
12892,designer drugs '' - a current perspective .,da jerrard,"journal of emergency medicine ,",1990.0
12893,'' economic comparisons of data communication services,"hc ratz , ja field",computer,
12894,processing star queries on hierarchically-clustered fact tables,"n karayannidis , a tsois , tk sellis , r pieringer , v","vldb ,",2002.0
12895,fdm -- functional data model,"b housel , sb yao , v waddle","proc . 5th int . conf . very large data bases ( rio de janeiro , & hellip ; ,",
12896,report on the vldb workshop on technologies for e-services ( tes ),"f casati , u dayal , mc shan","acm sigmod record ,",2000.0
12897,the xps approach to loading and unloading terabyte databases,s atal,"proceedings of the international conference on very large & hellip ; ,",1996.0
12898,grand challenges in embedded systems,"j sztipanovits , j glossner , t mudge , c rowen , a","proceedings of the 5th acm international conference on & hellip ; ,",2005.0
12899,additional resources .,jdw andrews,"new directions for teaching and learning ,",1985.0
12900,algorithmic aspects in large deformation contact analysis using â ?? â ?? solid-shellâ ?? â ?? elements,"m harnau , a konyukhov , k schweizerhof",submitted for,
12901,"microsoft application center 2000 component load balancing , technologie overview",c rees,"microsoft , september ,",
12902,"dynamic spectrum utilization in ad hoc networks [ star , open ]","vr syrotiuk , m cui , s ramkumar , cj colbourn","computer networks ,",2004.0
12903,disrupting the '' quotidian '' : reconceptualizing the relationship between breakdown and the the,"da snow , dm cress , l downey , aw jones","mobilization-san diego - ,",1998.0
12904,information paradox,pa strassmann,"computerworld ,",
12905,secure xml publishing without information leakage in the presence of data inference,"x yang , c li","proceedings of the international conference on very large & hellip ; ,",
12906,surface interface anal,"mp seach , wa dench",,1979.0
12907,design of an optical ground station for in-orbit check-out of free space laser communication,"rh czichy , z sodnik , b furch","proc . spie ,",1995.0
12908,plumage coloration as a signal of social status,jc senar,"proc . int . ornithol . congr ,",
12909,de vey mestdagh-markt 51-4331 lk middelburg-nederland,"w wuich , ll solderen",,
12910,questions of controllability and observability for nonuniformly sampled discrete systems,"a fuster , jm guillen",,
12911,proteomic patterns of cultured breast cancer cells and epithelial mammary cells,"i pucci-minafra , s fontana , p cancemi , g alaimo , s","annals-new york academy of sciences ,",2002.0
12912,defects in spinel crystals grown by the verneuil process,mh lewis,"phil . mag ,",
12913,best practices for the prevention and treatment of venous leg ulcers,"b kunimoto , m cooling , w gulliver , p houghton , h",,
12914,characterization of a full-field digital mammography detector based on direct x-ray conversion in,"jg yorker , ls jeromin , dl lee , ef palecki , kp","proc . spie ,",2002.0
12915,difference methods for initial-value problems,"rd richtmyer , kw morton",,
12916,spatial and directional filter characteristics of single units in the optic nerve of the california,me mccourt,,1982.0
12917,helping and voice extra-role behaviors : evidence of construct and predictive validity,"lv dyne , ja lepine","the academy of management journal ,",1998.0
12918,amodiaquine for treating malaria,"p olliaro , p mussano","cochrane database syst rev ,",2003.0
12919,institutional arrangements and government performance in the brazilian federation .,vd lledã ³,,2003.0
12920,"c. , and damgard , i. multiparty unconditionally secure protocols",dc chaum,proc . acm,
12921,scacchi . softman : anenvironmentforforwardandreverse case,sc choiandw,"information and software technology ,",
12922,on infinite groups with abelian centralizers of involutions,vd mazurov,"algebra i logika ,",
12923,low power cmos interface circuitry for sensors and actuators,jh nielsen,,2003.0
12924,just for fun . the story of an accidental revolutionary,"l torvalds , d diamond",,
12925,factors affecting statewide planning .,sv martorana,"new directions for higher education ,",1974.0
12926,falcon : feedback adaptive loop for content-based retrieval,"l wu , c faloutsos , kp sycara , tr payne","vldb ,",2000.0
12927,"sharing the costs of higher education . student financial assistance in the united kingdom , the",db johnstone,,1986.0
12928,é `` ? è ? ³ é ¦ ¨ å 3/4 ® ç ?? ç ? © é ? ¶ æ ?? é?µç ?? å ? `` è ? ¡ è ¯ ? æ ? ¥ å ?? å · ? è ?? ç § ? æ ??,æ ³ ? æ ° ¸ è ??,,
12929,"efficient and generalized group signatures , advances in cryptology-eurocryptâ ?? 97 , lncs 1233",j camenisch,,1997.0
12930,"oo , what have they done to db2 ?","mj carey , dd chamberlin , s narayanan , b vance , d","proceedings of the 25th international conference on very & hellip ; ,",1999.0
12931,public-key functions as intractable as factorization . '',"m rabin , d signatures","mit/lcs/tr -212 , mit laboratory for computer science , cambridge ,",
12932,evaluation within the us department of health and human services office of inspector general,mf mangano,"new directions for program evaluation ,",
12933,vitterj ( 2001 ) supporting incrementaljoinqueriesonrankedinputs,"cyc natseva , lcs smithj","& hellip ; 27th international conference on very large data bases , & hellip ; ,",
12934,assessing interdisciplinary learning,"m field , r lee , ml field","new directions for teaching and learning ,",1994.0
12935,on the menu : the growth of self-efficacy,"j alleman , j brophy","social studies and the young learner ,",2000.0
12936,design for test of megabit drams,r krausâ ? ¦,"proc . intâ ?? l test conl ,",
12937,note on the motion of fluid in a curved pipe,wr dean,,1927.0
12938,e-books reloaded,s rupley,"pc magazine ,",
12939,ontounoua : a mechanism to support portable ontologies,tr gruber,,1992.0
12940,orientation dependence of energy dissipation during plastic deformation of fcc crystals,d nakada,"phil . mag ,",
12941,pretruncal nonaneurysmal subarachnoid hemorrhage,"efm wijdicks , gm miller","mayo clinic proceedings ,",1998.0
12942,"the attribution of blame : causality , responsibility , and blameworthiness",kg shaver,,1985.0
12943,the architecture of a uml virtual machine,"d riehle , s fraleigh , d bucka-lassen , n omorogbe",,
12944,"the north american breeding bird survey , results and analysis 1966-2002 . version 2003.1 , usgs","jr sauer , je hines , j fallon",,
12945,d-cycloserine for alzheimer 's disease,"k laake , ar oeksengaard","cochrane database syst rev ,",2002.0
12946,reconsidering the diagnosis and treatment of very young children with autistic spectrum or pervasive,si greenspan,"zero to three ,",
12947,electrical stimulation of the ventral sacral nerve roots : selective activtion in patients,"njm rijkhoff , l hendrikx , fmj debrunye , h wijkstra","proceedings of the international continence society , 25 & hellip ; ,",
12948,recent bt patents,ad ellis,"bt technology journal ,",1997.0
12949,gender and organizational performance : determinants of small business survival and success,"al kalleberg , kt leicht","the academy of management journal ,",1991.0
12950,mussel aquaculture in puget sound,"d skidmore , kk chew",,1985.0
12951,the social psychology of creativity,tm amabile,,1983.0
12952,supramolecular metal-organometallic coordination networks based on quinonoid-complexes,"m oh , gb carpenter , da sweigart","acc . chem . res ,",2004.0
12953,"no. 102-294 , 102d cong. , 2d",s rep,"sess . at ,",
12954,flow cytometry analysis : a high technology crossmatch technique facilitation transplantation,"mr garovoy , ma rheinschmidt , m bigosâ ? ¦",,1983.0
12955,user profile replication for faster location lookup in mobile communications,"n shivakumar , j widom","proc . acm/ieee mobicomâ ?? 95 ,",
12956,thermodynamic and kinetic analyses for understanding sequence-specific dna recognition,"m oda , h nakamura","genes to cells ,",2000.0
12957,the politics of workplace literacy : a case study,sg gowen,,1992.0
12958,object manipulation in virhml ~ . nvirnnme . nt . ~ : hnnman hia . consistency a_n_d i_n_dividua !,"y wang , cl mackenzie , va summers",proceedings of acm,
12959,automata theory for xml researchers,f neven,"sigmod record ,",2002.0
12960,why americans donâ ?? t study foreign languages and what we can do about that,dl sigsbee,"new directions for higher education ,",2002.0
12961,program ( sped ) . 1996,"m lloyd , usped kearns","& hellip ; single parent employment demonstration program : kearns ,",
12962,choose your 200,c venezia,"pc magazine ,",
12963,the two cultures of environmental management,c anderson,"proceedings of the 25 thannual environmental workshop ,",
12964,j. . s. vitter . scalable sweeping-based spatial join,"l arge , o procopiuc , s ramaswamy , t suel","proceedings of the international conference on very large & hellip ; ,",
12965,working with metafiles : modifying and sharing vector-oriented images,c petzold,"pc magazine ,",
12966,development of annular coupled structure,t kageyamaâ ? ¦,"procs . of the 1994 linear accelerator conference ,",
12967,logging and wildfire influence on grizzly bear habitat in northwestern montana,"p zager , c jonkel , j habeck","international conference on bear research and management ,",
12968,some very large data bases in developing countries,"sp ghosh , af cardenas , i mijares , g wiederhold","very large data bases , 1979 . fifth international conference & hellip ; ,",1979.0
12969,data model for extensible support of explicit relationships in design databases,"j peckham , b mackellar , m doherty","the vldb journal the international journal on very large & hellip ; ,",1995.0
12970,parlay x web services,"h lofthouse , mj yates , r stretch","bt technology journal ,",2004.0
12971,exercise for osteoarthritis of the hip or knee,"m fransen , s mcconnell , m bell","cochrane database syst rev ,",2003.0
12972,survey of applications integrating constraint satisfaction and case-based reasoning,"mh sqalli , l purvis , ec freuder",,
12973,know my network : expertise in intrusion detection,"jr goodall , wg lutters , ai komlodi","proc . acm cscw ,",
12974,integrated placement/routing in sliced layouts,aa szepieniec,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0
12975,surfing wavelets on streams : one-pass summaries for approximate aggregate queries,"ac gilbert , y kotidis , s muthukrishnan , m strauss","vldb ,",2001.0
12976,"views of nature : the environment , values , and literature .",r lutts,"new directions for teaching and learning ,",1989.0
12977,generation of views of tv content using tv viewersâ ?? perspectives expressed in live chats on the,"h miyamori , s nakamura , k tanaka","proceedings of the 13th annual acm international conference & hellip ; ,",2005.0
12978,"bhavani thuraisingham the mitre corporation , burlington road , bedford , ma",t r & d,"sigmod record ,",1992.0
12979,supl :) orting transaction time in the relational algebra,"e mckenzie , r snodgrass","proceedings of the a cm sigmod international conference on & hellip ; ,",
12980,ogneupory,"ii vishnevskii , ld smirnova","no . i ,",
12981,duration neglect in retrospective evaluations of affective episodes,"bl fredrickson , d kahneman","journal of personality and social psychology ,",1993.0
12982,braking performance simulation for a tractor-semitrailer vehicle with an air brake system,"mw suh , yk park , sj kwon","proceedings of the i mech e part d journal of automobile & hellip ; ,",2002.0
12983,new directions for mentoring : an organizational development perspective,ma wunsch,"new directions for teaching and learning ,",1994.0
12984,"andm . wolf ( 1998 ) â ?? inferenceforthemeanintheheavy-tailedcase , â ??",jp romano,"technical report , department of statistics , stanford",
12985,query previews for networked information systems : a case study with nasa environmental data,q previews,,
12986,mining compressed frequent-pattern sets,"d xin , j han , x yan , h cheng",,
12987,options in physical database design,g graefe,"sigmod record ,",1993.0
12988,the long haul : an autobiography,m horton,,1990.0
12989,an optimisation scheme for coalesce/valid time selection operator sequences,c vassilakis,"sigmod record ,",2000.0
12990,probabilistic information theory,f jelinek,new,
12991,confidence sets for a shift parameter derived from fisherâ ?? s two-sample permutation test .,p switzer,,1974.0
12992,trusted components for the software industry,"b meyer , c mingins , h schmidt","ieee computer ,",
12993,the past is the past -- or is it ? the use of retrospective accounts as indicators of past strategy,br golden,"the academy of management journal ,",1992.0
12994,the jobs evaluation : working paper 96.2 : monthly participation findings in the columbus jobs,"j weissman , g hamilton",,1996.0
12995,from actuarial to financial valuation principle,m schweizer,"proc . 7th afir colloq . and 28th astin colloq. , cairns , joint & hellip ; ,",
12996,a subdivision scheme for smooth interpolation of quad-mesh data,lp kobbelt,procs of,
12997,neoral absorption profiling : an evolution in effectiveness,"p belitsky , ga levy , a johnston","transplantation proceedings ,",2000.0
12998,risk reductions in metastatic breast cancer : multivariate poisson regression analyses of oral and iv,"jj body , j kanis , i diel , b bergstrom","proc asco ,",
12999,pose and illumination compensation for 3d face recognition,"s malassiotis , mg strintzis",,
13000,compiling scientific programs using partial evaluation,"a berlin , d weise","ieee computer ,",
13001,running microsoft frontpage 2000,j buyens,,1999.0
13002,blind extraction of stochastic and deterministic signals by neural network approach,"tp chen , r chen","proc . of 28th asilomar conference on signals , systems and & hellip ; ,",
13003,consumer commission ( accc ) 2003,a competition,report to,
13004,editorial,"s garrett , d sheat","bt technology journal ,",2002.0
13005,bigsur : a system for the management of earth science data,"m stonebraker , p brown","proceedings of the international conference on very large & hellip ; ,",1995.0
13006,"daniel gruhl , spiros , papadimitriou","r agrawal , rj bayardo jr","computer networks ,",
13007,maintenance of views,"o shmueli , a itai","proceedings of the 1984 acm sigmod international conference & hellip ; ,",1984.0
13008,creating an energized workplace,b nelson,"leader to leader ,",
13009,p-integral bases of a quartic field defined by a trinomial,s alaca,submitted for,
13010,ubinet : the ubiquitous internet will be wireless,t lewis,,
13011,analysis of link cost functions for pnni routing,"a magi , a szentesi , b szviatovszki","computer networks ,",2000.0
13012,shostak 's congruence closure as completion,d kapur,"lecture notes in computer science ,",1997.0
13013,ein morphologisches multiskalenverfahren zur segmentierung medizinischer bilder,"c thies , v metzler , t lehmann , t aach","procs bvm ,",
13014,foundation of logic programming,jw lloyd,,1987.0
13015,an adaptive distributed airborne tracking system,"r clark , ed jensen , a kanevsky , j maurer , p","lecture notes in computer science ,",1999.0
13016,independent slip systems in crystals,"gw groves , a kelly","phil . mag ,",
13017,public and private management of wastewater treatment : a comparative study,lj o'toole jr,"new directions for program evaluation ,",1991.0
13018,optimization of join operations in horizontally partitioned database systems,a segev,"acm transactions on database systems ,",1986.0
13019,the area-time complexity of binary multiplication,"rp brent , ht kung","journal of the acm ( jacm ) ,",1981.0
13020,kafka and phenomenology : josef k. 's search for information,cn pondrom,"wisconsin studies in contemporary literature ,",1967.0
13021,design of a multi-sender 3d videoconferencing application over an end system multicast protocol,"m hosseini , nd georganas","proceedings of the eleventh acm international conference on & hellip ; ,",2003.0
13022,"crowns , suckers and slips of smooth cayenne pineapples infested with diaspis bromeliae were",i australia,fumigation,
13023,acoustic indicators of topic segmentation,"j hirschberg , c nakatani",,
13024,in search of software maintenance productivity and quality : does software complexity matter ?,"rd banker , sa slaughter","proceedings of the international conference on information & hellip ; ,",1994.0
13025,"database management systems : relational , object-relational , and object-oriented data models",ood models,,
13026,who opts out of state antitakeover protection ? : the case of pennsylvania 's sb 1310,s wahal,,
13027,disaster and development,fc cuny,,
13028,the nucleus : panel discussion,b donn,"study of comets , proceedings of iau colloq . 25 , held in & hellip ; ,",1976.0
13029,experimental investigation of turbulent oscillatory boundary layers,bl jensen,,1988.0
13030,combining simulative and metaphor-based reasoning about beliefs,"ja barnden , s helmreich , e iverson , gc stein",,
13031,assessment instrument training,b bogue,,1999.0
13032,using financial incentives to manage the solid waste stream,cj spindler,"new directions for program evaluation ,",1991.0
13033,an adaptable service connector model,"l gang , h yanbo , z zhuofeng , w jianwu , rm wagner",proceedings of,
13034,gulf general atomic,le kovar,"san diego ,",
13035,understanding attitudes and predicting behavior,"i ajzen , m fishbein","new york ,",
13036,semantic database models and their poetential for capturing imprecision,"e rundensteiner , l bic","conf . on management of data ,",
13037,"object-relational database systems : principles , products , and challenges","mj carey , nm mattos , ak nori","sigmod record ,",1997.0
13038,"our family museum : a collection of family history notes , ( personal home page ) , ''",jn churchyard,,
13039,"principles of quality costs . ( 3 rded . ) milwaukee , wisconsin : asq quality press",j campanella,,1999.0
13040,metalloporphyrins for treatment of unconjugated hyperbilirubinemia in neonates,"g suresh , cl martin , r soll","cochrane database syst rev ,",2003.0
13041,hancock . 3dsurface topography from intensity images,p worthingtonande,"procs . international conference on computer vision ,",
13042,recovering motion fields : an evaluation of eight optical flow algorithms,"b galvin , b mccane , k novins , d mason , s mills",,
13043,a p-complete problem and approximations to it,"rj anderson , e mayr","technical report , stanford university ,",
13044,international student affairs,"m wood , p kia","new directions for higher education ,",2000.0
13045,the varieties of religious experience,w james,,
13046,the long-range shelling of paris and physical chemistry problems of extremely long-range firing,a stettbacher,"& hellip ; at the physics society , zurich , switzerland , 8 may 1919 & hellip ; ,",1986.0
13047,exploiting the block structure of theweb for computing pagerank,"sd kamvar , th haveliwala , cd manning , gh golub","technical report , stanford university , march 2003 . submitted on",
13048,learning community history,jm hugo,"new directions for adult and continuing education ,",2002.0
13049,"under-urbanization policies assessed : china , 1949-1986","m ran , bjl berry","urban geography ,",
13050,ã?ppna prioriteringar i ã?stergã ¶ tland,"k bã $ ckman , p carlsson",,
13051,the adabas buffer pool manager,h schijning,,
13052,diuretic therapy for newborn infants with posthemorrhagic ventricular dilatation,"a whitelaw , cr kennedy , lp brion",cochrane database syst .,
13053,processing of the nedd2 precursor by ice-like proteases and granzyme b,"nl harvey , ja trapani , t fernandes-alnemri , g","genes to cells ,",1996.0
13054,bad for business,p gillin,,
13055,key issues for higher education in the 1980 s.,c kerr,"new directions for higher education ,",1979.0
13056,autonomous query-driven index tuning,"ku sattler , e schallehn , i geist",,
13057,reference model for a marketing information system and its application,h tuominen,,
13058,experimental studies on seedling ecology of norway spruce in the intermediate alpine mountain forest,p brang,,1996.0
13059,characterizing strong normalization in a language with control operators,"d dougherty , s ghilezan , p lescanne",,
13060,"22209 , united states of america store prescription request",v rosslyn,,
13061,foreword,gl stephens,"journal of geophysical research ,",1988.0
13062,"monitoring the vernal advancement of natural vegetation.-nasa / gsfc final report , greenbelt","jw rouse , rh hass , ja schell , dw deering , jc","md ,",
13063,languages for multi-database interoperability,"f gingras , lvs lakshmanan , in subramanian , d","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0
13064,improving database design through the analysis of relationships,"d dey , vc storey , tm barron","acm transactions on database systems ,",1999.0
13065,value-based software engineering : a case study,b boehm,,
13066,scalable peer-to-peer networked virtual environment,"sy hu , gm liao","proceedings of acm sigcomm ,",2004.0
13067,anger and aggression : an essay on emotion,jr averill,,1982.0
13068,msl : a model for w3c xml schema,"a brown , m fuchs , j robie , p wadler","computer networks ,",2002.0
13069,an improved design formulation for design and optimization of operational amplifiers,"y chen , me schlarmann , rl geiger",,
13070,"awareness , attitudes , and perceptions of regular education students towards students who receive",sa johnson,,2004.0
13071,composing crosscutting concerns using composition filters,"l bergmans , m aksit","communications-acm ,",2001.0
13072,"wong 1978 : r. epstein , m. stonebraker , and e. wong , distributed query processing in a relational",s epstein,proc . acm sigmod,
13073,fast similarity search in the presence of noise,"r agrawal , ki lin , hs sawhney , k shim","scaling , and translation in time-series databases , âº very & hellip ; ,",
13074,mining frequent patterns with out candidate generation,"j han , j pei , y yin","proceedings ofacm international conference on management of & hellip ; ,",
13075,model based fault detection and diagnosis methods,r isermann,"& hellip ; of the american control conference , seattle , washington , & hellip ; ,",1995.0
13076,a basis for evaluation of commercial software,"dj carney , k wallnau",,
13077,adult education needs a code of ethics,"tj sork , ba welock","new directions for adult and continuing education ,",
13078,distinguished database profiles : interview with jim gray,m winslett,"sigmod record ,",
13079,fuzzy multiple attribute decision making,"sj chen , cl hwangâ ? ¦",,1992.0
13080,neometric forcing,"s fajardo , hj keisler",,
13081,poplar plants through anther culture,"rh ho , ay raj , l zsuffa","proc . 28th north east tree improvement conference . univ. of & hellip ; ,",
13082,a qualitative empirical study of case tool support to method learning,"d boukerroui , o basset , n guerin , a baskurt , lb","information and software technology ,",1998.0
13083,using multiple models for therapy planning in dynamic environments,o arnold,,1993.0
13084,biocoenotic process patterns in the german bight,"w greve , f reiners",,
13085,unfinished business,s whittaker,"bt technology journal ,",2004.0
13086,video demystified : a handbook for the digital engineer,k jack,,
13087,"group decision making , recognition heuristic , and less-ismore effect","t reimer , k katsikopoulos","unpublished manuscript ,",
13088,shallow embedding of z in hol,"j bowen , m gordon",,
13089,outcomes in the treatment of work-related carpal tunnel syndrome .,tj craven,"seattle , washington ,",
13090,governing equations of piezoelectric plates with graded properties across the thickness,"pcy lee , jd yâ ?? u",,
13091,the effect of single-family housing on multi-asset portfolio allocations,dh gatzlaff,"unpublished manuscript ,",
13092,operator placement for in-network stream query processing,"u srivastava , k munagala , j widom",,
13093,interconnection networks using shuffles,"py chen , dh lawrie , da padua , pc yew","ieee computer ,",
13094,distinguishing optimism from pessimism : relations to fundamental dimensions of mood and personality,"gn marshall , cb wortman , jw kusulas , lk hervig , rr","journal of personality and social psychology ,",
13095,keeping and losing contrasts,j kingston,"proc . 28th annu . meet . berkeley ling . soc. , berkeley ,",
13096,an introduction to spatial database systems,portal.acm.org,,1994.0
13097,efficiency of atm networks in transporting wide-area data traffic,r caceres,"submitted for publication ,",1992.0
13098,dynamic simulation of a single-cylinder diesel engine including dynamometer modelling and friction,"yh zweiri , jf whidborne , ld seneviratne","proceedings of the i mech e part d journal of automobile & hellip ; ,",1999.0
13099,the diagnosis of acute appendicitis : clinical assessment versus computed tomography evaluation,lk gwynn,"journal of emergency medicine ,",2001.0
13100,behavioral level power estimation and exploration,"r mehra , j rabaey",,
13101,the child 's world : geography around the home . pull-out feature 2 .,"na chicola , eb english","social studies and the young learner ,",1996.0
13102,haddad r. reasoning about spatial relationships in picture retrieval systems,"p sistla , c yu",,
13103,requirements engineering : making the connection between the software developer and customer,"h saiedian , r dale","information & software technology ,",2000.0
13104,the synthesis of elastic dislocation fields,frn nabarro,"phil . mag ,",
13105,the microsoft sql server 2000 analysis services step by step,r jacobson,,2000.0
13106,reaching new heights in benchmark testing,"ml vanname , b catchings","pc magazine ,",
13107,expression of the functional leptin receptor mrna in pancreatic islets and direct inhibitory action,"v emilsson , yl liu , ma cawthorne , nm morton , m",diabetes-new,
13108,recovery for index trees,"ds lomet , b concurrency","vldb journal ,",
13109,"summary cache : a scalable wide-area web cache sharing protocol , ''","p cao , j almeida , az broder",proceedings of acm,
13110,role and place of gas-cooled reactors in the structure of nuclear power production,"ai kiryushin , nn ponomarev-stepnoi , es glushkovâ ? ¦",at .,
13111,to appear in the proceedings of the 7th international symposium on heavy flavor physics,a nippe,"santa barbara , california , july ,",
13112,proof theories for some prioritized consequence relations,l verhoeven,,
13113,optimization methods for minimum power bidirectional topology construction in wireless networks with,"ak das , rj marks , m el-sharkawi , a gray",submitted for,
13114,wb and templeton im 1960,"av gold , dkc macdonald , wb pearson","phil . mag ,",
13115,exclusion of four candidate kidney disease loci by linkage analysis in familial juvenile,"m greener , am marinaki , mm town , f moro , ha","cellular and molecular biology letters ,",1999.0
13116,applying the naep code of ethics to epa and the fluoride in drinking water standard,"rj carton , jw hirzy","proceedings of the 23rd annual conference of the national & hellip ; ,",
13117,constructive asymptotic equivalence of density estimation and gaussian white noise,"j klemela , m nussbaum","unpublished manuscript ,",
13118,binding of eorticosteroids by plasma proteins,wh daughaday,vi . the electrophoretic demonstration of corticosteroid,
13119,weighted proportionally fair differentiated service tcp,"p oechslin , j crowcroft","proc . of acm computer communications review ,",
13120,of chemosterilants in the reproductive organs and tissues of insects,v landa,"proc , int cong entomol , 13th ,",
13121,extracting schema from semistructured data,"s nestrov , s abiteboul , r motwani","proc . sigkddâ ?? 98 ,",
13122,eternally yours at 8 bits,s lawton,"electronic business ,",2002.0
13123,what is beautiful is good,"k dion , e berscheid , e walster","journal of personality and social psychology ,",1972.0
13124,"chemistry of the upper and lower atmosphere : theory , experiments , and applications academic","bj finlayson-pitts , jn pitts","san diego , calif ,",
13125,trust in close relationships,"jk rempel , jg holmes , mp zanna","journal of personality and social psychology ,",
13126,rehabilitation and reuse of college and university facilities .,hl goyette,"new directions for higher education ,",1980.0
13127,the xml typechecking problem,d suciu,"sigmod record ,",2002.0
13128,higher education and the path to progress .,rh atwell,"new directions for higher education ,",1994.0
13129,"ã cents â ? ¬ â ? effective memory use in a media server , ã cents â ? ¬ â ?","e chang , h garcia-molina","proceedings of the vldb conference ,",
13130,the odwalla affairâ ?? reassessing corporate social responsibility,j entine,"at work ,",
13131,s. sohi . effectivejump-pointerprefetching for linked data structures,a rothandg,"proc . 26th intâ ?? l symp . on comp . arch ,",
13132,governance structure in the deregulated trucking industry,tn hubbard,,1998.0
13133,magnet : supporting navigation in semistructured data environments,"v sinha , dr karger",,
13134,evidence for terror management theory ii : the effects of mortality salience on reactions to those,"j greenberg , t pyszczynski , s solomon , a","journal of personality and social psychology ,",
13135,u > recursive data structures < / u >,car hoare,stanford university computer science department technical,
13136,managing temporal financial data in an extensible database,"r chandra , a segev",,
13137,quality through people : a blueprint for proactive total quality management,j choppin,,1991.0
13138,control of nonlinear systems and differential inclusions,h frankowska,to,
13139,"section : forum on the history of computing ( april 20 , 1993 ) table of contents",rf rosin,"history of programming languages -- ii table of contents ,",1996.0
13140,the convergence rate of inexact preconditioned steepest descent algorithm for solving linear systems,h munthe-kaas,,
