ag_id,product_description,price_tag
390,encyclopedia of our living oceans,19.95
391,ultimate pinball ( jewel case ),9.99
392,clifford reading pack ( dvd box ),19.99
393,microsoft visual studio test agent 2005 cd 1 processor license,5099.0
394,jumpstart advanced 2nd grade v2 .0,19.99
395,world history ( win/mac ) ( jewel case ),9.99
396,quickbooks premier non-profit edition 2005,499.95
397,quickstart pc cleaner xp,19.95
398,crayola first ladies costume maker,19.95
399,arcmedia spelling bee ( windows/macintosh ),24.95
400,pokemon team turbo ( jewel case ),9.99
401,south park chef 's luv shack,39.95
402,blues clues preschool,
403,backyard skateboarding,
404,cosmi rom07524 print perfect business cards dvd,
405,vivaldi 's musical adventure pod,9.95
406,cluefinders 3rd grade,
407,rayman 10th anniversary collection,19.99
408,before you know it deluxe spanish edition for pc/mac,29.99
409,pdf converter 4,49.95
410,er,19.99
411,podmaxx '07,29.99
412,adobe creative suite cs3 web premium upsell [ mac ],1399.0
413,human body 360,29.99
414,web radio recorder,
415,bodyworks 6.0 25-user building site license,399.95
416,virtual labs : light,19.95
417,pressure pop !,19.95
418,essential business tools 2.0,19.99
419,let 's make stickers,19.95
420,student home learning system for pc/mac,139.99
421,3mds network operations manager diy annual subscptn 101 500u,
422,model web publisher 3.5.2 .,
423,microsoft licenses word olp c ( 05903871 ),205.73
424,vpn manager five to ten firebox,1995.0
425,hoyle card games 2007,29.99
426,ca arcserve bkup protection suite exch r11 .5 upgrade prod only,
427,victorymul submitwolf version 6.0 swolf6r ),149.99
428,zonealarm anti-spyware,29.99
429,the guild 2 pirates of the seas,29.99
430,child safe 3-pc,39.95
431,microsoft windows server 2003 client additional license for devices 5 pack,209.0
432,cell phone software solution,113.1
433,mediapilot kit,39.95
434,upgrade pitstop server 3.5 1u win 2k/xp & mac os 10.2.8,499.0
435,media kit storage foundation basic lnx v4 .1 cpu vol-4 file sys-4,
436,sudoku puzzle addict : unlimited edition,
437,aircraft power pack for ms flight simulator,29.99
438,winway resume deluxe 11.0 network 10,
439,sym clt security 3.1 scs media cd en,28.0
440,researchsoft endnote 9 student edition for students [ old version ],109.99
441,sony acid music studio,69.99
442,microsoft licenses biztalk hipaa std . sa only ( u0200024 ),4215.77
443,microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,709.0
444,jumpstart 1st grade,
445,instant landscaping 3.0 [ lb ],19.99
446,topics presents : ancient civilizations ( 4 cd set ),29.99
447,simple movie maker,19.99
448,instant play electric guitar ( jewel box ),6.99
449,boomerang webpage designer gold,
450,x-oom mp3 radio recorder windows ),
451,zonealarm firewall pro 5 ( free upgrade to new version ),
452,adobe after effects cs3,999.0
453,phonics success deluxe 2006 ( large box ),49.99
454,land before time : preschool,9.99
455,brainfood games cranium collection 2006,19.99
456,clickart fonts ( 2006 ) by encore,19.99
457,national geographic presents : redshift 5 planetarium software,39.99
458,stationery design studio,19.99
459,anti-spyware 3.0 win normal 1u new,48.91
460,snap ! 8 player poker 5 pack,29.06
461,alien disco safari,19.99
462,emc retrospect 7.5 svr 1-client windows,249.0
463,kaplan sat/act/psat platinum 2007 win/mac,49.99
464,ae painter v9 win/mac box,166.19
465,adobe creative suite cs3 web standard upgrade [ mac ],399.0
466,timbuktu remote control softwre 10 licenses for windows,
467,sat act and psat 2007 platinum,58.5
468,treasure mathstorm,29.99
469,ae mappoint 2006 cd,49.95
470,cisco security desktop agent csa-b250-dtop-k9 ),
471,photoshop elements 4 mac retail eng 1u ( 19230169 ),145.39
472,ov data protector open file 5-wk v. 9 ltu incl ltu for 5 win nt/2000/xp workstati,
473,pro photo essentials plug in suite & iview mediapro 3,499.95
474,microsoft asp net web matrix,30.0
475,tinyterm v4.x 5u windows terminal emulation ( tt-5 ),705.21
476,ae outlook 2007 win32,
477,mindjet mindmanager 7 mac single license,129.0
478,sonicwall comprehensive gateway security suite 1 year upgrade plan 01-ssc-5845 ),
479,sound studio 3 : record edit add effects to audio ( mac ),79.99
480,jumpstart world 1st grade,19.99
481,art explosion t-shirt factory deluxe 3.0,29.99
482,window washer,
483,child safe,39.95
484,adobe premiere elements 3.0,161.73
485,on hand spanish 1-2-3 windows ),9.99
486,pcanywhere 11.0 host only cd-rom xp 98 nt w2k me,
487,crystal reports 11 reporting essentials trng cbt,199.99
488,star wars battlefront ( mac ),39.99
489,flyboys squadron mac,29.99
490,microsoft visual studio professional 2005 upgrade,549.0
491,hollywood volume 1,31.95
492,microsoft productivity pack for windows mobile,29.99
493,adobe encore dvd 2.0,349.0
494,webobjects 5.2,699.95
495,serious magic ultra2 master sets library 2 windows ),276.5
496,microsoft windows vista business 32-bit for system builders,179.99
497,microsoft data analyzer 2002,179.0
498,mavis beacon typing 17 deluxe by broderbund,39.99
499,symantec pcanywhere 12.0 host only,169.65
500,the printshop business card maker ( jewel case ),9.99
501,microsoft digital image suite plus [ lb ],129.95
502,symc backup exec sbs prm 11d win small business server,885.83
503,hallmark card studio 2006,29.99
504,adobe audition 2.0 upgrade,129.0
505,norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ],99.95
506,corel wordperfect office 12 standard upgrade,149.99
507,raster design 2006 essentials,59.95
508,acrobat professional 8 mac upsell standard-professional,273.0
509,services for netware 5.0,149.0
510,reader rabbit learning system 1st grade,29.99
511,microsoft publisher 2007 version upgrade,99.95
512,microsoft windows xp professional upgrade with sp2,199.99
513,mavis beacon typing 17 ( win/mac ),19.99
514,microsoft windows vista ultimate upgrade [ dvd ],259.95
515,instant immersion spanish deluxe 2.0,49.99
516,adobe creative suite cs3 design premium upgrade [ mac ],599.0
517,adobe photoshop cs3 [ mac ],649.0
518,microsoft office 2004 standard upgrade ( mac ),239.99
519,microsoft student with encarta premium 2008 dvd,49.95
520,quickbooks premier nonprofit edition 2007,399.95
521,microsoft sql server developer edition 2005 cd/dvd,49.95
522,microsoft visio standard 2007,259.95
523,microsoft windows vista ultimate full version [ dvd ],399.95
524,apple final cut express hd 3.5 ( mac ),299.0
525,corel painter x win/mac,429.0
526,cadopia 6 standard edition by cadopia,295.0
527,adobe premiere elements 3.0,99.99
528,quickbooks simple start 2007,99.95
529,zoo tycoon 2 : marine mania expansion,19.99
530,learning company kid pix deluxe 4,19.99
531,microsoft windows server 2003 client additional license for users-5 pack,809.0
532,quickbooks pro 2007 for mac ( mac ),199.95
533,upgrade freehand 11 maceng cd 1u,274.95
534,imsi resume writer deluxe [ lb ],19.95
535,microsoft windows live onecare 1.5 online pc care subscription [ 12 months ],49.95
536,adobe photoshop elements 4.0 ( mac ),89.99
537,apple . mac 4.0 online service,99.95
538,apple iwork '06 ( mac dvd ),79.0
539,learning quickbooks 2007,39.95
540,ulead videostudio 11 plus,129.99
541,microsoft onenote 2007,99.95
542,apple ilife '06 ( mac dvd ) [ older version ],79.0
543,adobe photoshop cs3 upgrade [ mac ],199.0
