acm_dblp_id,pub_location,study_title,yr
90,vldb,fast and accurate text classification via multiple linear discriminant projections,2002
91,vldb,"business process coordination : state of the art , trends , and open issues",2001
92,vldb,work and information practices in the sciences of biodiversity,2000
93,sigmod conference,data modeling of time-based media,1994
94,acm trans . database syst .,space optimization in deductive databases,1995
95,sigmod record,chair 's message,2000
96,sigmod record,trade press news - announcement and preface,1994
97,sigmod conference,improving index performance through prefetching,2001
98,sigmod record,new programs at darpa and nsf,1996
99,vldb,investigation of algebraic query optimisation techniques for database programming languages,1994
100,vldb,"physical data independence , constraints , and optimization with universal plans",1999
101,sigmod conference,an adaptive query execution system for data integration,1999
102,vldb,the semantic web paving the way to the knowledge society,2001
103,vldb,parallel algorithms for high-dimensional similarity joins for data mining applications,1997
104,acm trans . database syst .,path sharing and predicate evaluation for high-performance xml filtering,2003
105,sigmod conference,processing set expressions over continuous update streams,2003
106,vldb,performance measurements of compressed bitmap indices,1999
107,vldb,hierarchical prefix cubes for range-sum queries,1999
108,acm trans . database syst .,removing permissions in the flexible authorization framework,2003
109,sigmod conference,ariadne : a system for constructing mediators for internet sources,1998
110,acm trans . database syst .,multiway spatial joins,2001
111,sigmod conference,implementing data cubes efficiently,1996
112,sigmod record,recent design trade-offs in sql3,1994
113,sigmod record,sqlj-part 1 : sql routines using the java programming language,1999
114,sigmod conference,similarity-based queries for time series data,1997
115,sigmod record,"a distributed scientific data archive using the web , xml and sql/med",1999
116,vldb,viator - a tool family for graphical networking and data view creation,2002
117,sigmod record,information warfare and security - book review,2001
118,vldb,the persistent cache : improving oid indexing in temporal object-oriented database systems,1999
119,vldb,estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,1995
120,vldb j.,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,1999
121,sigmod record,performance evaluation of a new distributed deadlock detection algorithm,1994
122,sigmod record,sql and management of external data,2001
123,vldb,"aquery : query language for ordered data , optimization techniques , and experiments",2003
124,vldb,resource scheduling in enhanced pay-per-view continuous media databases,1997
125,sigmod conference,review : a real time virtual walkthrough system,2001
126,acm trans . database syst .,a modified random perturbation method for database security,1994
127,sigmod conference,managing web data,1999
128,vldb,loading the data warehouse across various parallel architectures,1996
129,sigmod record,hodfa : an architectural framework for homogenizing heterogeneous legacy database,1995
130,vldb,"database tuning : principles , experiments , and troubleshooting techniques",2002
131,sigmod record,reminiscences an influential papers,2003
132,sigmod record,application of oodb and sgml techniques in text database : an electronic dictionary system,1995
133,sigmod conference,java and relational databases : sqlj ( tutorial ),1998
134,sigmod conference,covering indexes for branching path queries,2002
135,sigmod conference,semint : a system prototype for semantic integration in heterogeneous databases,1995
136,sigmod record,career-enhancing services at sigmod online,2001
137,sigmod conference,revisiting commit processing in distributed database systems,1997
138,acm trans . database syst .,type-checking oql queries in the odmg type systems,1999
139,sigmod conference,things every update replication customer should know,1995
140,sigmod record,in memory of gísli r. hjaltason,2003
141,vldb,query optimization by predicate move-around,1994
142,sigmod conference,catching the boat with strudel : experiences with a web-site management system,1998
143,sigmod conference,adaptable query optimization and evaluation in temporal middleware,2001
144,sigmod conference,birch : an efficient data clustering method for very large databases,1996
145,sigmod conference,time-parameterized queries in spatio-temporal databases,2002
146,sigmod conference,scalable parallel data mining for association rules,1997
147,acm trans . database syst .,an algebraic approach to static analysis of active database rules,2000
148,vldb,os support for vldbs : unix enhancements for the teradata data base,1995
149,sigmod conference,dwarf : shrinking the petacube,2002
150,sigmod conference,thinksheet : a tool for tailoring complex documents,1996
151,sigmod conference,on-line reorganization of sparsely-populated b + trees,1996
152,sigmod conference,handling very large databases with informix extended parallel server,2000
153,vldb,including group-by in query optimization,1994
154,vldb,value-cognizant speculative concurrency control,1995
155,sigmod record,data mining : practical machine learning tools and techniques - book review,2002
156,sigmod record,report on the 8th international workshop on knowledge representation meets databases ( krdb ),2001
157,sigmod conference,starts : stanford proposal for internet meta-searching ( experience paper ),1997
158,vldb,the x-tree : an index structure for high-dimensional data,1996
159,vldb,eliminating fuzzy duplicates in data warehouses,2002
160,vldb,a database striptease or how to manage your personal databases,2003
161,sigmod conference,an ebxml infrastructure implementation through uddi registries and rosettanet pips,2002
162,sigmod record,temporal database system implementations,1995
163,vldb,xsearch : a semantic search engine for xml,2003
164,vldb,opossum : desk-top schema management through customizable visualization,1995
165,acm trans . database syst .,atomicity and isolation for transactional processes,2002
166,sigmod conference,logical logging to extend recovery to new domains,1999
167,sigmod conference,the impress ddt : a database design toolbox based on a formal specification language,1994
168,sigmod conference,online aggregation,1997
169,sigmod conference,"semi-automatic , self-adaptive control of garbage collection rates in object databases",1996
170,vldb,a single pass computing engine for interactive analysis of vldbs,1998
171,vldb,fast nearest neighbor search in medical image databases,1996
172,sigmod record,metadata for digital media : introduction to the special issue,1994
173,sigmod record,"in reply to domains , relations and religious wars",1996
174,vldb,bank of america case study : the information currency advantage,1998
175,vldb j.,tree pattern query minimization,2002
176,sigmod conference,fine-grained sharing in a page server oodbms,1994
177,sigmod record,adept : an agent-based approach to business process management,1998
178,sigmod record,introduction to the career forum column,2001
179,sigmod conference,image mining in iris : integrated retinal information system,2000
180,sigmod conference,enterprise information architectures -- they 're finally changing,1994
181,vldb,integrating information for on demand computing,2003
182,vldb j.,thémis : a database programming language handling integrity constraints,1995
183,vldb j.,an introduction to deductive database languages and systems,1994
184,vldb,information management challenges from the aerospace industry,2002
185,sigmod conference,state of the art in workflow management research and products,1996
186,sigmod record,videoanywhere : a system for searching and managing distributed video assets,1999
187,sigmod record,phoenix project : fault-tolerant applications,2002
188,sigmod record,cluster validity methods : part i,2002
189,sigmod conference,directv and oracle rdb : the challenges of vldb transaction processing,1995
190,sigmod conference,ensuring relaxed atomicity for flexible transactions in multidatabase systems,1994
191,sigmod conference,"replication , consistency , and practicality : are these mutually exclusive ?",1998
192,vldb,a-topss - a publish/subscribe system supporting approximate matching,2002
193,acm trans . database syst .,searching in metric spaces with user-defined and approximate distances,2002
194,sigmod conference,algorithms for deferred view maintenance,1996
195,vldb,design and development of a stream service in a heterogenous client environment,2000
196,sigmod conference,cougar : the network is the database,2002
197,sigmod conference,the data that you wo n't find in databases : tutorial panel on data exchange formats,1995
198,vldb j.,effective timestamping in databases,2000
199,acm trans . database syst .,silkroute : a framework for publishing relational data in xml,2002
200,vldb,the tpr * - tree : an optimized spatio-temporal access method for predictive queries,2003
201,sigmod record,editor 's notes,1996
202,vldb,mapping adaptation under evolving schemas,2003
203,vldb,the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces,2003
204,sigmod conference,transactional publish / subscribe : the proactive multicast of database changes,1998
205,sigmod conference,exploiting constraint-like data characterizations in query optimization,2001
206,sigmod conference,metu interoperable database system,1996
207,vldb,clustering techniques for minimizing external path length,1996
208,vldb,the national medical knowledge bank,1998
209,vldb j.,guest editorial,2003
210,sigmod record,report on fqas 2002 : fifth international conference on flexible query answering systems,2003
211,vldb,an automated system for web portal personalization,2002
212,vldb,webfilter : a high-throughput xml-based publish and subscribe system,2001
213,sigmod record,ogdi : toward interoperability among geospatial databases,1997
214,sigmod record,editor 's notes,2000
215,sigmod conference,dimensionality reduction for similarity searching in dynamic databases,1998
216,vldb,push technology personalization through event correlation,2000
217,vldb,oracle industrial exhibit,1998
218,vldb,a one-pass algorithm for accurately estimating quantiles for disk-resident data,1997
219,sigmod record,editor 's notes,2001
220,vldb,translating web data,2002
221,sigmod conference,repository system engineering,1996
222,sigmod record,sigmod sister societies,2000
223,vldb j.,semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,2001
224,vldb j.,"adaptable pointer swizzling strategies in object bases : design , realization , and quantitative analysis",1995
225,sigmod conference,implementing xquery,2002
226,vldb,mining surprising patterns using temporal description length,1998
227,sigmod conference,continually evaluating similarity-based pattern queries on a streaming time series,2002
228,vldb,efficient approximation of optimization queries under parametric aggregation constraints,2003
229,vldb j.,the aditi deductive database system,1994
230,sigmod conference,on random sampling over joins,1999
231,vldb,feedbackbypass : a new approach to interactive similarity query processing,2001
232,sigmod conference,a multimedia presentation algebra,1999
233,acm trans . database syst .,a structured approach for the definition of the semantics of active databases,1995
234,vldb,fast algorithms for mining association rules in large databases,1994
235,vldb,"large-scale , standards-based earth observation imagery and web mapping services",2003
236,sigmod conference,combinatorial pattern discovery for scientific data : some preliminary results,1994
237,sigmod conference,partition based spatial-merge join,1996
238,vldb,webservice composition with o'grape and osiris,2003
239,vldb,optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,1999
240,sigmod record,the database group at university of hagen ( fernuniversitaet ),1995
241,sigmod conference,extended wavelets for multiple measures,2003
242,vldb,business modelling using sql spreadsheets,2003
243,sigmod conference,optimal multi-step k-nearest neighbor search,1998
244,sigmod conference,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",2002
245,vldb j.,an experimental system for object-based sharing in federated databases,1996
246,sigmod conference,the lotus notes storage system,1995
247,vldb,schema-driven customization of web services,2003
248,acm trans . database syst .,evaluation of remote backup algorithms for transaction-processing systems,1994
249,sigmod conference,using schematically heterogeneous structures,1998
250,vldb,generalised hash teams for join and group-by,1999
251,sigmod conference,"tpc-ds , taking decision support benchmarking to the next level",2002
252,vldb,heterogeneous database query optimization in db2 universal datajoiner,1998
253,vldb,processing object-oriented queries with invertible late bound functions,1995
254,sigmod record,combining fuzzy information : an overview,2002
255,vldb,"nexusscout : an advanced location-based application on a distributed , open mediation platform",2003
256,vldb,incremental clustering for mining in a data warehousing environment,1998
257,sigmod conference,efficient similarity search and classification via rank aggregation,2003
258,vldb j.,using extended feature objects for partial similarity retrieval,1997
259,vldb j.,composing web services on the semantic web,2003
260,sigmod conference,irisnet : internet-scale resource-intensive sensor services,2003
261,sigmod conference,range queries in olap data cubes,1997
262,sigmod conference,a characterization of the sensitivity of query optimization to storage access cost parameters,2003
263,vldb,online dynamic reordering for interactive data processing,1999
264,vldb j.,progressive evaluation of nested aggregate queries,2000
265,acm trans . database syst .,the incinerate data model,1995
266,sigmod record,semantic interoperability in global information systems : a brief introduction to the research area and the special section,1999
267,sigmod conference,lambda-db : an odmg-based object-oriented dbms,2000
268,sigmod conference,data access for the masses through ole db,1996
269,sigmod conference,integration of spatial join algorithms for processing multiple inputs,1999
270,sigmod record,report on the mobile search workshop at www 2002,2002
271,sigmod conference,spatial hash-joins,1996
272,vldb j.,the tv-tree : an index structure for high-dimensional data,1994
273,vldb,cumulative updates,1994
274,sigmod record,report on the 17th brazilian symposium on database systems ( sbbd 2002 ),2003
275,sigmod record,accessibility of the database literature,2001
276,sigmod record,too much middleware,2002
277,sigmod conference,will database researchers have any role in data security ? ( panel abstract ),2001
278,sigmod conference,"50,000 users on an oracle8 universal server database",1998
279,vldb,approximate query translation across heterogeneous information sources,2000
280,vldb,media360 workflow-implementing a workflow engine inside a database,2000
281,sigmod conference,statistical schema matching across web query interfaces,2003
282,vldb j.,constant time permutation : an efficient block allocation strategy for variable-bit-rate continuous media data,1999
283,acm trans . database syst .,cache investment : integrating query optimization and distributed data placement,2000
284,sigmod record,editor 's notes,1997
285,sigmod record,information director 's message,1998
286,sigmod record,continuous queries over data streams,2001
287,sigmod record,converting relational to object-oriented databases,1997
288,sigmod conference,enhancing database correctness : a statistical approach,1995
289,sigmod record,constructing the next 100 database management systems,1994
290,sigmod conference,efficient computation of iceberg cubes with complex measures,2001
291,vldb,a fast index for semistructured data,2001
292,sigmod conference,a monte carlo algorithm for fast projective clustering,2002
293,sigmod record,towards a database body of knowledge : a study from spain,2003
294,vldb,bibfinder/statminer : effectively mining and using coverage and overlap statistics in data integration,2003
295,sigmod conference,software as a service : asp and asp aggregation,2002
296,vldb,cheetah : a lightweight transaction server for plug-and-play internet data management,2000
297,sigmod record,dimacs summer school tutorial on new frontiers in data mining,2001
298,vldb,principles of optimally placing data in tertiary storage libraries,1997
299,acm trans . database syst .,flexible support for multiple access control policies,2001
300,sigmod conference,aries/csa : a method for database recovery in client-server architectures,1994
301,sigmod conference,providing better support for a class of decision support queries,1996
302,vldb,spatio-temporal retrieval with rasdaman,1999
303,sigmod record,"tcp-d - the challenges , issues and results",1996
304,sigmod record,reminiscences on influential papers,2001
305,vldb,computing iceberg queries efficiently,1998
306,sigmod conference,paradise : a database system for gis applications,1995
307,vldb,"very large databases : how large , how different ?",1995
308,sigmod conference,automatic segmentation of text into structured records,2001
309,vldb,xperanto : middleware for publishing object-relational data as xml documents,2000
310,sigmod conference,bit-sliced index arithmetic,2001
311,sigmod record,treasurer 's message,2001
312,sigmod record,a hypertext query language for images,1994
313,sigmod conference,the bucky object-relational benchmark ( experience paper ),1997
314,vldb j.,view management in multimedia databases,2000
315,vldb,"declarative data cleaning : language , model , and algorithms",2001
316,vldb,banks : browsing and keyword searching in relational databases,2002
317,vldb j.,garbage collection in object-oriented databases using transactional cyclic reference counting,1998
318,sigmod conference,xpress : a queriable compression for xml data,2003
319,vldb,a novel index supporting high volume data warehouse insertion,1999
320,vldb,coloring away communication in parallel query optimization,1995
321,vldb,sensor data mining : similarity search and pattern analysis,2002
322,vldb,privacy-preserving indexing of documents on the network,2003
323,sigmod conference,serf : odmg-based generic re-structuring facility,1999
324,acm trans . database syst .,multiview access protocols for large-scale replication,1998
325,vldb,the case for enhanced abstract data types,1997
326,sigmod conference,"probe , count , and classify : categorizing hidden web databases",2001
327,vldb,the role of integrity constraints in database interoperation,1996
328,vldb,m-tree : an efficient access method for similarity search in metric spaces,1997
329,vldb j.,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,1998
330,sigmod record,metadata standards for data warehousing : open information model vs. common warehouse metamodel,2000
331,sigmod record,comprehension syntax,1994
332,sigmod conference,fast subsequence matching in time-series databases,1994
333,sigmod conference,querying structured text in an xml database,2003
334,vldb,online scaling in a highly available database,2001
335,sigmod conference,approximate computation of multidimensional aggregates of sparse data using wavelets,1999
336,vldb,discovering web services : an overview,2001
337,sigmod conference,coordinating backup/recovery and data consistency between database and file systems,2002
338,sigmod record,chair 's message,1997
339,vldb,an ultra highly available dbms,2000
340,vldb,progressive merge join : a generic and non-blocking sort-based join algorithm,2002
341,sigmod conference,implementation of magic-sets in a relational database system,1994
342,vldb j.,managing multiple and distributed ontologies on the semantic web,2003
343,sigmod conference,outlier detection for high dimensional data,2001
344,vldb j.,energy-performance trade-offs for spatial access methods on memory-resident data,2002
345,acm trans . database syst .,an execution model for limited ambiguity rules and its application to derived data update,1995
346,vldb,xquec : pushing queries to compressed xml data,2003
347,vldb,dynamic memory adjustment for external mergesort,1997
348,sigmod conference,filenet integrated document management database usage and issues,1998
349,vldb,data compression support in databases,1994
350,acm trans . database syst .,supporting valid-time indeterminacy,1998
351,vldb,architectures for internal web services deployment,2001
352,vldb,reducing the braking distance of an sql query engine,1998
353,sigmod conference,dec data distributor : for data replication and data warehousing,1994
354,sigmod conference,optimizing multidimensional index trees for main memory access,2001
355,sigmod record,an approach to confidence based page ranking for user oriented web search,2003
356,vldb,the design and implementation of a sequence database system,1996
357,sigmod conference,the ins and outs ( and everthing in between ) of data warehousing,1996
358,sigmod record,a multi-agent system infrastructure for software component market-place : an ontological perspective,2002
359,sigmod record,reminiscences on influential papers,2001
360,vldb,on the minimization of xpath queries,2003
361,vldb,datablitz : a high performance main-memory storage manager,1998
362,sigmod conference,enterprise java platform data access,1998
363,vldb j.,type-safe relaxing of schema consistency rules for flexible modeling in oodbms,1996
364,vldb j.,optimizing database architecture for the new bottleneck : memory access,2000
365,vldb,some issues in design of distributed deductive databases,1994
366,sigmod conference,optimization of dynamic query evaluation plans,1994
367,vldb,a database index to large biological sequences,2001
368,sigmod conference,fast parallel similarity search in multimedia databases,1997
369,vldb j.,join algorithm costs revisited,1996
370,sigmod conference,implementing database operations using simd instructions,2002
371,sigmod record,quasi-cubes : exploiting approximations in multidimensional databases,1997
372,sigmod record,database research at the university of oklahoma,1999
373,vldb,procedures in object-oriented query languages,1995
374,sigmod record,integrating contents and structure in text retrieval,1996
375,sigmod conference,practical predicate placement,1994
376,vldb j.,on applying hash filters to improving the execution of multi-join queries,1997
377,sigmod conference,the multiview project : object-oriented view technology and applications,1996
378,vldb j.,cost-driven vertical class partitioning for methods in object oriented databases,2003
379,sigmod conference,querying network directories,1999
380,vldb,koda - the architecture and interface of a data model independent kernel,1998
381,sigmod conference,the prototype of the dare system,2001
382,sigmod conference,a framework for change diagnosis of data streams,2003
383,vldb,avoiding ordering and grouping in query processing,2003
384,sigmod conference,multimediaminer : a system prototype for multimedia data mining,1998
385,sigmod conference,query optimization for selections using bitmaps,1999
386,sigmod record,book review column,2002
387,sigmod record,reminiscences on influential papers,2002
388,vldb,w3qs : a query system for the world-wide web,1995
389,sigmod record,two-body job searches,2003
390,sigmod conference,the nimble integration engine,2001
391,vldb,dynamic load balancing in hierarchical parallel database systems,1996
392,sigmod record,materialized views and data warehouses,1998
393,sigmod conference,data grid management systems,2003
394,sigmod record,efficient materialization and use of views in data warehouses,1999
395,vldb,french government activity in the conservation of data and electronic documents,2001
396,vldb,rainbow : distributed database system for classroom education and experimental research,2000
397,vldb,bulk-loading techniques for object databases and an application to relational data,1998
398,vldb,agflow : agent-based cross-enterprise workflow management system,2001
399,sigmod record,databases and transaction processing : an application-oriented approach - book review,2002
400,vldb j.,a survey of approaches to automatic schema matching,2001
401,sigmod conference,winmagic : subquery elimination using window aggregation,2003
402,vldb,objectivity industrial exhibit,1998
403,sigmod record,the aggregate data problem : a system for their definition and management,1996
404,sigmod conference,xsb as a deductive database,1994
405,sigmod record,information rules,2003
406,sigmod conference,the xxl search engine : ranked retrieval of xml data using indexes and ontologies,2002
407,sigmod record,supporting dynamic displays using active rules,1994
408,sigmod record,report on the second ieee metadata conference ( metadata ' 97 ),1998
409,vldb,unrolling cycles to decide trigger termination,1999
410,vldb,effective memory use in a media server,1997
411,sigmod conference,infosleuth : semantic integration of information in open and dynamic environments ( experience paper ),1997
412,sigmod conference,shore : combining the best features of oodbms and file systems,1995
413,vldb,zoo : a desktop experiment management environment,1996
414,sigmod record,a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,1995
415,vldb,sampling-based estimation of the number of distinct values of an attribute,1995
416,sigmod record,editor 's notes,1998
417,vldb,temporal integrity constraints with indeterminacy,2000
418,sigmod conference,the reach active oodbms,1995
419,vldb,architecture of oracle parallel server,1998
420,vldb,dwms : data warehouse management system,1996
421,sigmod record,"review of data on the web : from relational to semistructured data and xml by serge abiteboul , peter buneman , and dan suciu . morgan kaufmann 1999",2003
422,vldb,distributed search over the hidden web : hierarchical database sampling and selection,2002
423,sigmod conference,retina : a real-time traffic navigation system,2001
424,sigmod conference,beyond market baskets : generalizing association rules to correlations,1997
425,vldb j.,an authorization system for digital libraries,2002
426,vldb,memory-contention responsive hash joins,1994
427,sigmod record,a graphical query language for mobile information systems,2003
428,sigmod conference,securing xml documents : the author-x project demonstration,2001
429,vldb,panel : is generic metadata management feasible ?,2000
430,vldb,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation",1995
431,vldb j.,"scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies",1998
432,sigmod conference,efficient mid-query re-optimization of sub-optimal query execution plans,1998
433,sigmod record,research activities in database management and information retrieval at the university of illinois at chicago,2002
434,sigmod conference,mining long sequential patterns in a noisy environment,2002
435,vldb,what can hierarchies do for data warehouses ?,1999
436,vldb,logical and physical versioning in main memory databases,1997
437,sigmod conference,efficient and transparent application recovery in client-server information systems,1998
438,sigmod conference,optimizing queries over multimedia repositories,1996
439,sigmod record,optimizing jan jannink 's implementation of b + - tree deletion,1995
440,sigmod conference,"world wide database - integrating the web , corba , and databases",1999
441,vldb,hierarchical compact cube for range-max queries,2000
442,sigmod conference,finding replicated web collections,2000
443,sigmod conference,change detection in hierarchically structured information,1996
444,sigmod conference,delaunay : a database visualization system,1997
445,acm trans . database syst .,safe stratified datalog with integer order does not have syntax,1998
446,sigmod record,data analysis and mining in the life sciences,2001
447,sigmod record,editor 's notes,1998
448,sigmod record,report on the first international workshop an efficient web-based information systems,2003
449,vldb j.,management of multidimensional discrete data,1994
450,sigmod record,constraint databases : a tutorial introduction,2000
451,sigmod record,calls for papers / announcements,1994
452,sigmod record,"report on the first international conference on ontologies , databases and applications of semantics",2003
453,sigmod record,sigmod ' 2000 program chair 's message,2000
454,sigmod conference,"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003",2003
455,sigmod record,a consensus glossary of temporal database concepts,1994
456,vldb,spatial joins using r-trees : breadth-first traversal with global optimizations,1997
457,sigmod conference,supersql : an extended sql for database publishing and presentation,1998
458,vldb j.,a bayesian decision model for cost optimal record matching,2003
459,vldb,index concurrency control in firm real-time database systems,1995
460,acm trans . database syst .,temporal statement modifiers,2000
461,sigmod record,statement from the treasurer,1999
462,sigmod conference,"optimizing queries using materialized views : a practical , scalable solution",2001
463,sigmod conference,xml-based information mediation with mix,1999
464,vldb,exact indexing of dynamic time warping,2002
465,vldb,ibm 's db2 universal database demonstrations at vldb '98,1998
466,acm trans . database syst .,a cost model for query processing in high dimensional data spaces,2000
467,vldb j.,searching in metric spaces by spatial approximation,2002
468,sigmod conference,chain : operator scheduling for memory minimization in data stream systems,2003
469,sigmod conference,infoharness : a system for search and retrieval of heterogeneous information,1995
470,vldb,a database system for real-time event aggregation in telecommunication,1998
471,vldb j.,guest editorial,2002
472,sigmod record,reminiscences on influential papers,1998
473,sigmod conference,improving oltp data quality using data warehouse mechanisms,1999
474,vldb,fas - a freshness-sensitive coordination middleware for a cluster of olap components,2002
475,sigmod record,report on the edbt '02 panel on scientific data integration,2002
476,vldb,sideway value algebra for object-relational databases,2002
477,sigmod record,sigmod digital symposium collection ( disc ) editor 's message,2000
478,sigmod conference,using sets of feature vectors for similarity search on voxelized cad objects,2003
479,vldb j.,the gmap : a versatile tool for physical data independence,1996
480,vldb,plan selection based on query clustering,2002
481,sigmod record,wrapping web data into xml,2001
482,vldb j.,global transaction support for workflow management systems : from formal specification to practical implementation,2001
483,vldb,starting ( and sometimes ending ) a database company,1998
484,sigmod conference,optics : ordering points to identify the clustering structure,1999
485,acm trans . database syst .,specification and implementation of exceptions in workflow management systems,1999
486,sigmod record,new standard for stored procedures in sql,1996
487,vldb,optimization of run-time management of data intensive web-sites,1999
488,sigmod conference,dynamic xml documents with distribution and replication,2003
489,sigmod conference,database buffer size investigation for oltp workloads ( experience paper ),1997
490,sigmod record,reminiscences on influential papers,1999
491,sigmod conference,random sampling techniques for space efficient online computation of order statistics of large datasets,1999
492,vldb j.,new partnership with acm and update on the journal,2003
