beer_ref,producer_name,beer_nm,beer_style,alc_vol
1763,Mother Earth Brew Co. .,Evolution Chocolate Amber,American Amber / Red Ale,6.00 %
1764,Brouwerij het Uiltje,Velduil,American Amber / Red Ale,4.50 %
1765,Wiltse 's Brew Pub and Family Restaurant,Wiltse 's Paul Bunyan Ale,American Amber / Red Ale,-
1766,Metalman Brewery,Windjammer,American Amber / Red Ale,4.80 %
1767,CervecerÃa Lesnez,7 Barrios Amber,American Amber / Red Ale,5.10 %
1768,SLO Brewing Company,Claim Jumper Red,American Amber / Red Ale,-
1769,Marshall Wharf Brewing Company / Three Tides Restaurant,Little Max Red Ale,American Amber / Red Ale,4.50 %
1770,Aldus Brewing Company,Olde Factory Amber IPA,American Amber / Red Ale,7.00 %
1771,Brouwerij De Molen,Wait For It !,American Amber / Red Ale,5.50 %
1772,Shiretown Beer,Siren 's T'ale,American Amber / Red Ale,5.00 %
1773,The Ruddy Duck Brewery And Grill,Hammerhead Red,American Amber / Red Ale,4.70 %
1774,La Cumbre Brewing Co. .,La Roja Grande,American Amber / Red Ale,8.10 %
1775,Central City Brewers + Distillers,Red Betty Maple Ale,American Amber / Red Ale,5.00 %
1776,Sierra Andina,Alpamayo Amber Ale,American Amber / Red Ale,5.80 %
1777,Thornbury Beverage Company,Jubilee Amber,American Amber / Red Ale,4.80 %
1778,Bristol Beer Factory,West Coast Red,American Amber / Red Ale,5.50 %
1779,Boxing Bear Brewing Co. .,Ambear Ale,American Amber / Red Ale,5.20 %
1780,Tarraco Beer,Jazz Beer Tarraco Amber,American Amber / Red Ale,6.90 %
1781,Bend Brewing Company,Axe Head Red,American Amber / Red Ale,-
1782,Peoria Artisan Brewery,Artisan Amber,American Amber / Red Ale,6.50 %
1783,Port Aransas Brewing Company,Mustang Amber Ale,American Amber / Red Ale,-
1784,Rock Bottom Restaurant & Brewery,Demon Sweat Imperial Red,American Amber / Red Ale,7.60 %
1785,The Able Ebenezer Brewing Company,Tabula Rasa,American Amber / Red Ale,7.50 %
1786,Pizza Port Solana Beach,Big Dumb Animal,American Amber / Red Ale,8.50 %
1787,2nd Story Brewing Co. .,Hoppy New Year Amber Ale,American Amber / Red Ale,5.70 %
1788,Meantime Brewing Company Limited,Marks & Spencer Greenwich Red Ale,American Amber / Red Ale,4.00 %
1789,North Fork Brewing,Son Of Frog,American Amber / Red Ale,5.40 %
1790,Eventide Brewing,Red Headed Haley,American Amber / Red Ale,5.30 %
1791,Oceanside Ale Works,San Luis Rey Red Ale,American Amber / Red Ale,5.40 %
1792,The Brewing Lair,Espionage Red,American Amber / Red Ale,7.00 %
1793,Against The Grain Brewery & Smokehouse,Truffle Shuffle,American Amber / Red Ale,6.80 %
1794,Rusty Truck Brewing Company / Roadhouse 101,Stupiphany Imperial Red Ale,American Amber / Red Ale,8.00 %
1795,Birdland Brewing Company,Kewlerskald,American Amber / Red Ale,6.00 %
1796,Cascade Lakes Brewing Co. .,Red Dog Red,American Amber / Red Ale,-
1797,Birdland Brewing Company,Phoenix,American Amber / Red Ale,6.00 %
1798,SoMe Brewing Company,Sugar Wood,American Amber / Red Ale,5.50 %
1799,Empyrean Brewing Company,Father Donkey Amber Ale,American Amber / Red Ale,5.30 %
1800,Microbrasserie Artisanale Sainte Crucienne,Red Is Dead,American Amber / Red Ale,7.20 %
1801,ParrotDog,Bloodhound,American Amber / Red Ale,6.30 %
1802,Florida Beer Company,Flora-bama Mullet Head Red,American Amber / Red Ale,-
1803,Firehouse Brewing Co. .,Full Tilt Bozo,American Amber / Red Ale,8.10 %
1804,10 Barrel Brewing Co. .,Northwest Red,American Amber / Red Ale,6.70 %
1805,Triumph Brewing Company,Double Amber Ale,American Amber / Red Ale,8.80 %
1806,Quantum Brewing,Uncertainty Red,American Amber / Red Ale,6.17 %
1807,Bull & Barrel Brew Pub,Session Style * Amber Ale,American Amber / Red Ale,4.70 %
1808,Turtle Mountain Brewing Company,Oku ' Amber,American Amber / Red Ale,5.60 %
1809,Bali Storm Brewing Company,Bronze Ale,American Amber / Red Ale,5.40 %
1810,10 Barrel Brewing Co. .,Amber Waves Of Grain,American Amber / Red Ale,5.80 %
1811,Valholl Brewing Co. . LLC,Valkyrie Red,American Amber / Red Ale,6.50 %
1812,Daviyun ( Cerveza SAGRA ),Burro De Sancho Roja,American Amber / Red Ale,5.00 %
1813,Charlie & Jake 's Brewery & Grille,Gator Ale,American Amber / Red Ale,-
1814,The Knuckle Saloon & Grill,Knuckle Head Red,American Amber / Red Ale,6.00 %
1815,Heavy Seas Beer,Desert Island Series : American Honey Amber Ale,American Amber / Red Ale,4.90 %
1816,Country Boy Brewing,Our Daily Red,American Amber / Red Ale,7.00 %
1817,Bedondaine & Bedons Ronds,La Bariteau,American Amber / Red Ale,5.00 %
1818,Cellar Brewing Company,Lucky Enough Amber,American Amber / Red Ale,7.00 %
1819,Platt Park Brewing Company,Astronaut Amber,American Amber / Red Ale,5.10 %
1820,Central Coast Brewing,Topless Red Ale,American Amber / Red Ale,4.30 %
1821,Pyraser Bier GmbH & Co. . KG,Rotbier,American Amber / Red Ale,4.60 %
1822,Alameda Brewhouse,East Village Amber,American Amber / Red Ale,5.20 %
1823,MashCraft Brewing,Ancho Annie,American Amber / Red Ale,5.60 %
1824,Coastal Fog Brewing,Holiday Ale,American Amber / Red Ale,-
1825,Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,Forty-Niner Amber Ale,American Amber / Red Ale,5.30 %
1826,Stony Creek Brewery,In The Red,American Amber / Red Ale,5.30 %
1827,Belmont Brewing Company,India Amber Ale,American Amber / Red Ale,7.50 %
1828,Potosi Brewing Company,Potosi Cave Ale Amber Ale,American Amber / Red Ale,5.50 %
1829,Appalachian Brewing Company,Herr Ridge Amber Ale,American Amber / Red Ale,-
1830,RAR Brewing ( Realerevival ),Red-C,American Amber / Red Ale,6.90 %
1831,MadTree Brewing,Barrel Aged Happy Amber,American Amber / Red Ale,6.00 %
1832,North River Hops and Brewing,Balsam Lake Mountain Amber Ale,American Amber / Red Ale,5.00 %
1833,Old Bisbee Brewing Company,Copper City Ale,American Amber / Red Ale,4.90 %
1834,Osgood Brewing,Oakestown,American Amber / Red Ale,5.50 %
1835,Begyle Brewing Company,Red Bus,American Amber / Red Ale,5.40 %
1836,Eastern Shore Brewing,Gingered St. Michaels Ale,American Amber / Red Ale,6.30 %
1837,St. Boniface Craft Brewing Company,Offering # 21 : Red Ale,American Amber / Red Ale,5.00 %
1838,Pints Brewery & Sports Bar,Pints Rehab Red,American Amber / Red Ale,5.40 %
1839,Triple C Brewing Co. .,Guildy As Sin,American Amber / Red Ale,6.50 %
1840,Charleston Brewing Company,White Elephant Red Ale,American Amber / Red Ale,5.80 %
1841,North Coast Brewing Co. .,Beer Engine Red,American Amber / Red Ale,-
1842,La Quinta Brewing Co. .,Heatwave Red Ale,American Amber / Red Ale,6.00 %
1843,Hopping Gnome Brewing,Sepia Amber,American Amber / Red Ale,-
1844,June Lake Brewing,Archimedes Red Ale,American Amber / Red Ale,6.90 %
1845,MicrocervecerÃa Rothhammer ( Handwerk Brewers Chile S.A. ),Rothhammer Mosaik Red Ale,American Amber / Red Ale,5.00 %
1846,SBC Restaurant & Brewery - Southport,Big Head Red,American Amber / Red Ale,6.50 %
1847,Northgate Brewing,Winter Soldier,American Amber / Red Ale,6.00 %
1848,Birra Toccalmatto,Delta Red Disorder,American Amber / Red Ale,-
1849,Cerveceria Principal ( Tubinger ),TÃ 1/4 binger Red Ale,American Amber / Red Ale,5.50 %
1850,Hops Grillhouse & Brewery,Royal Amber Ale,American Amber / Red Ale,4.50 %
1851,Berwick Brewing Company,Arden Amber,American Amber / Red Ale,-
1852,Antwerpse Brouw Compagnie N.V.,Bootjes Bier,American Amber / Red Ale,7.00 %
1853,Ukiah Brewing Co. .,10 Guilder,American Amber / Red Ale,-
1854,Prohibition Brewing Company,SBA,American Amber / Red Ale,6.00 %
1855,Congregation Ale House,Crimson Red,American Amber / Red Ale,7.40 %
1856,Whitewall Brewing Company,Retread Red IPA,American Amber / Red Ale,6.40 %
1857,Ruby River Steakhouse & Brewery,Ruby River Ruby Red Ale,American Amber / Red Ale,4.00 %
1858,El Toro Brewing Co. .,El Toro Black Raspberry Ale,American Amber / Red Ale,-
1859,Brasserie Mare Nostrum,Mare Nostrum Prestige,American Amber / Red Ale,6.00 %
1860,Appalachian Brewing Company,Artie 's Amber Ale,American Amber / Red Ale,-
1861,Denver Beer Co. .,American Rojo,American Amber / Red Ale,5.70 %
1862,Goldspot Brewing,Pantalones Rojo,American Amber / Red Ale,5.50 %
1863,Council Rock Brewery,Sleeping Lion Red Ale,American Amber / Red Ale,5.00 %
1864,Wye Valley Brewery,Dorothy Goodbody 's Country Ale,American Amber / Red Ale,6.00 %
1865,DESTIHL Brewery,Roadblock Red Ale,American Amber / Red Ale,4.90 %
1866,Storm Peak Brewing Co. .,40 West,American Amber / Red Ale,5.20 %
1867,Hilton Head Brewing Company,Burning Man Red Ale,American Amber / Red Ale,6.00 %
1868,Firetrucker Brewery,2 Alarm Red,American Amber / Red Ale,8.00 %
1869,Corralitos Brewing Co. .,Richter Red,American Amber / Red Ale,6.20 %
1870,Boulder Dam Brewing Co. .,Reclamation Amber,American Amber / Red Ale,-
1871,Half Door Brewing Co. .,Roark 's Red Ale,American Amber / Red Ale,5.20 %
1872,Two Beers Brewing Co. .,Winter Hop,American Amber / Red Ale,-
1873,Black Wolf Brewery,Big Red,American Amber / Red Ale,3.80 %
1874,Seven Bridges Grille And Brewery,Simply Red,American Amber / Red Ale,5.90 %
1875,Twisted Rail Brewing Company,50 Shades Of Red,American Amber / Red Ale,5.50 %
1876,Fulton Beer,Rye Whiskey Barrel Aged Libertine,American Amber / Red Ale,8.50 %
1877,MobCraft Beer,Rabbit 's Bounty,American Amber / Red Ale,9.50 %
1878,Veracious Brewing Company,Owd Boreas,American Amber / Red Ale,8.90 %
1879,North Fork Brewing,Red Eye,American Amber / Red Ale,-
1880,Big Axe Brewing Company,Big Axe Red Ale,American Amber / Red Ale,6.80 %
1881,Chain Reaction Brewing Company,Orange Cream Ale,American Amber / Red Ale,5.50 %
1882,Territorial Brewing Company,Avenue A Amber,American Amber / Red Ale,6.40 %
1883,Old Ivy Brewery and Taproom,OctoberFest Ale,American Amber / Red Ale,5.00 %
1884,Barrio Brewing Company,Reagan 's Imperial Red,American Amber / Red Ale,8.50 %
1885,Main Street Brewing Company,Red Back Ale,American Amber / Red Ale,7.00 %
1886,Iron Horse Brewery,Brewlette,American Amber / Red Ale,-
1887,Tatamagouche Brewing Co,Butcher Block,American Amber / Red Ale,6.00 %
1888,Thr3e Wise Men,Hoggy Style Amber,American Amber / Red Ale,5.00 %
1889,Mispillion River Brewing,Holy Crap ! ( Batch # 2 ),American Amber / Red Ale,8.00 %
1890,The Native Brewing Co. .,Thunderhead Ale,American Amber / Red Ale,5.20 %
1891,Four Saints Brewing Company,Potter 's Clay Amber Ale,American Amber / Red Ale,5.70 %
1892,Planetary Brewing Company,Heliotropic,American Amber / Red Ale,6.50 %
1893,Booze Brothers Brewing Co. .,Green Eyed Amber,American Amber / Red Ale,5.90 %
1894,Hobbs Tavern & Brewing Co. .,Wakewolf Amber,American Amber / Red Ale,-
1895,Bridger Brewing,Opus No 1,American Amber / Red Ale,5.00 %
1896,Fort Cerveza Artesanal,Fort Barcelona Amber Ale,American Amber / Red Ale,5.30 %
1897,El Segundo Brewing Company,Devil 's Path,American Amber / Red Ale,8.90 %
1898,Hoppy Brewing Co. .,Red Dragon Smoked Amber Ale,American Amber / Red Ale,5.50 %
1899,Les Brasseurs du Hameau,D'Ham Rousse Bitter,American Amber / Red Ale,5.50 %
1900,Fifty West Brewing Co,Main Street Amber Ale,American Amber / Red Ale,4.60 %
1901,BorÃ ¥ s Bryggeri,BorÃ ¥ s Saxen MÃ ¶ rk,American Amber / Red Ale,5.00 %
1902,Noble Ale Works,The Irisher,American Amber / Red Ale,4.60 %
1903,Sockeye Grill & Brewery,Crooked Trail Harvest Ale,American Amber / Red Ale,6.00 %
1904,Revival Brewing Co. .,Rocky Point Red Ale,American Amber / Red Ale,5.50 %
1905,Empirical Brewery,Atomic Amber : Honey Hypothesis,American Amber / Red Ale,6.80 %
1906,Blue Owl Brewing,Van Dayum !,American Amber / Red Ale,5.40 %
1907,Tent City Beer Company,Molly Pitcher Imperial Red,American Amber / Red Ale,6.50 %
1908,Lake Norman Brewing Company,Outboard Amber Ale,American Amber / Red Ale,5.10 %
1909,Mike Hess Brewing - Miramar,Station Copper Ale,American Amber / Red Ale,6.10 %
1910,Swans Brewpub / Buckerfield Brewery,Rattenbury 's Red Ale,American Amber / Red Ale,5.00 %
1911,Sun Up Brewing Co. .,Sun Up Armadillo Red Ale,American Amber / Red Ale,5.20 %
1912,Bosque Brewing Co. .,Humo Rojo,American Amber / Red Ale,5.70 %
1913,Equinox Brewing Company,Borealis Winter Ale,American Amber / Red Ale,7.50 %
1914,Prohibition Pig,Dream Of The 90 's,American Amber / Red Ale,6.10 %
1915,McKenzie Brew House,Chillax,American Amber / Red Ale,3.50 %
1916,Basqueland Brewing Project,Arraun Amber Ale,American Amber / Red Ale,5.00 %
1917,Pinglehead Brewing Co. / Brewer 's Pizza,Batch 16,American Amber / Red Ale,7.30 %
1918,Beara Irish Brewing Co. .,Mosaic Red,American Amber / Red Ale,5.00 %
1919,Thunder Canyon Brewery,Morning Star Imperial Red,American Amber / Red Ale,10.10 %
1920,Sisyphus Brewing,Sisyphus Hoppy Amber,American Amber / Red Ale,-
1921,Fish Brewing Company / Fishbowl Brewpub,Leavenworth Nosferatu Red Ale,American Amber / Red Ale,5.50 %
1922,4 Noses Brewing Company,Amarillo Amber Ale,American Amber / Red Ale,6.30 %
1923,Baias Garagardotegia,Baias Ambar,American Amber / Red Ale,4.00 %
1924,August Schell Brewing Company,Black Woods Forest Ale,American Amber / Red Ale,-
1925,Fairhope Brewing Company,Rescue Dog Red,American Amber / Red Ale,7.80 %
1926,The Seven Barrel Brewery,Double Red Ale,American Amber / Red Ale,8.20 %
1927,Exit Brewing,# 005 Amber Ale,American Amber / Red Ale,5.60 %
1928,Two Rows Restaurant & Brewery,Wild Red,American Amber / Red Ale,-
1929,Hokkaido Brewing,Otaru Bakusyu,American Amber / Red Ale,5.00 %
1930,Cervezas La Virgen,La Virgen Jamonera,American Amber / Red Ale,5.00 %
1931,Dry Dock Brewing Co. .,Poor Richard 's Ale,American Amber / Red Ale,6.50 %
1932,Taps Fish House & Brewery,Rubescent,American Amber / Red Ale,8.30 %
1933,Lazy Boy Brewing,Lazy Boy Red Ale,American Amber / Red Ale,-
1934,Horse & Dragon Brewing Company,Flagstone Copper Ale,American Amber / Red Ale,-
1935,Big Bear Lake Brewing Company,Sidewinder Red Ale,American Amber / Red Ale,8.50 %
1936,Full Pint Brewing Company,IRA,American Amber / Red Ale,7.30 %
1937,Rock Bottom Restaurant & Brewery,Badger Stripe Ale,American Amber / Red Ale,-
1938,Okkara,RInkusteinur,American Amber / Red Ale,5.80 %
1939,North Center Brewing Company,Vienna Ale,American Amber / Red Ale,5.00 %
1940,Hop Nuts Brewing,Papa _ ™ s Red,American Amber / Red Ale,6.30 %
1941,Urban Artifact,Bluesfest,American Amber / Red Ale,6.10 %
1942,Cheeky Monkey Brewery,Travelling Monk Red Ale,American Amber / Red Ale,6.10 %
1943,Prairie Fire Brewing Co. .,Red Amber,American Amber / Red Ale,3.80 %
1944,Magnolia Pub & Brewery,Rosebud,American Amber / Red Ale,5.50 %
1945,Harviestoun Brewery Ltd. .,Lowland Glen Amber ( Marks & Spencer ),American Amber / Red Ale,5.10 %
1946,Pratt Street Ale House,Oliver 's Summer Light Ale,American Amber / Red Ale,4.50 %
1947,IronSight Brewers,IronSight Amber,American Amber / Red Ale,5.25 %
1948,Sweet Mullets Brewing Co. .,BIRA,American Amber / Red Ale,-
1949,Brasserie Artisanale Le Saint Graal,Vaness,American Amber / Red Ale,8.20 %
1950,& Union,Berne,American Amber / Red Ale,5.00 %
1951,Our Mutual Friend Malt & Brew,Brett And Barrel Chinook Red,American Amber / Red Ale,5.00 %
1952,Troubled Monk Brewery,Accidental Amber,American Amber / Red Ale,-
1953,Stella Artois,Michelob Amber Bock,American Amber / Red Ale,5.00 %
1954,Port City Brewing,Metro Red,American Amber / Red Ale,-
1955,NW Peaks Brewery,Double Redoubt,American Amber / Red Ale,6.50 %
1956,Dempsey _ ™ s Brew Pub & Restaurant,Rick 's Red Ale,American Amber / Red Ale,7.00 %
1957,Wolf Hollow Brewing Company,Wolf Hollow Amber,American Amber / Red Ale,5.00 %
1958,Eagle Creek Brewing Company,Georgia Tea Party,American Amber / Red Ale,5.00 %
1959,Dogfish Head Brewery,P.A.M.,American Amber / Red Ale,-
1960,Agua Mala,Marea Roja,American Amber / Red Ale,5.00 %
1961,Sawtooth Brewery,False Summit Amber Ale,American Amber / Red Ale,5.24 %
1962,North Country Brewing,Triple Wide Amber,American Amber / Red Ale,5.70 %
1963,MalmÃ ¶ Brewing Co,Surrender MÃ ¶ nkeys,American Amber / Red Ale,8.90 %
1964,Uncle Bear 's Brewery,Head To Tale Amber Ale,American Amber / Red Ale,8.10 %
1965,Prohibition Pig,Rufous,American Amber / Red Ale,5.60 %
1966,Dugges Ale - & Porterbryggeri AB,Juldricka,American Amber / Red Ale,5.50 %
1967,Dry City Brew Works,MiracAle,American Amber / Red Ale,4.00 %
1968,Wiley Roots Brewing Co,Red Wiley Amber,American Amber / Red Ale,5.20 %
1969,Black Diamond Brewing Co. .,Crabby Bill 's Ale,American Amber / Red Ale,5.80 %
1970,High Horse Brewing,Velvet Amber Ale,American Amber / Red Ale,5.20 %
1971,The 3 Brewers,Red Cream,American Amber / Red Ale,5.25 %
1972,S : t Eriks Bryggeri,S : t Eriks Unite Red Ale,American Amber / Red Ale,4.60 %
1973,Mammoth Brewing Company,The Ahwahnee,American Amber / Red Ale,5.50 %
1974,Hockley Valley Brewing Co. .,Legends Of The Bay - Champlain 1615 - 2015,American Amber / Red Ale,5.00 %
1975,Ornery Beer Company Public House,Occoquan Oats,American Amber / Red Ale,5.60 %
1976,The Hop Garden,Farmstead Ale,American Amber / Red Ale,5.50 %
1977,Cask & Larder,The Hunter,American Amber / Red Ale,-
1978,The Courtyard Brewery,Nova Convention,American Amber / Red Ale,5.95 %
1979,Pints Pub,Phonebox Amber,American Amber / Red Ale,4.40 %
1980,Grimm Brothers Brewhouse,Ungrateful Son,American Amber / Red Ale,-
1981,Wynkoop Brewing Company,Oak-Aged Railyard,American Amber / Red Ale,5.20 %
1982,Padre Island Brewing Company,Tailing Red Amber,American Amber / Red Ale,-
1983,Hereford & Hops Restaurant & Brewpub,Cleary Red,American Amber / Red Ale,-
1984,Ninkasi Brewing Company,E.R.A. ( Emeralds Red Ale ),American Amber / Red Ale,5.70 %
1985,Captain Lawrence Brewing Co. .,Trans-Atlantic Red,American Amber / Red Ale,7.00 %
1986,Empirical Brewery,Atomic Amber Ale,American Amber / Red Ale,5.20 %
1987,Minneapolis Town Hall Brewery,New Zealand Red,American Amber / Red Ale,6.20 %
1988,Ruhlman Brewery,Le Wac Amber Ale,American Amber / Red Ale,5.30 %
1989,New Smyrna Beach Brewing Company,Inlet Amber Ale,American Amber / Red Ale,5.00 %
1990,Dry Dock Brewing Co. .,Nautilus American Red,American Amber / Red Ale,5.60 %
1991,Aotearoa Breweries,Mata Brown Boy,American Amber / Red Ale,5.00 %
1992,Twain 's Billiards and Tap,Twain 's Blushing Ape Oatmeal India Red,American Amber / Red Ale,6.00 %
1993,Bill 's Tavern & Brewhouse,Rudy 's Red,American Amber / Red Ale,5.00 %
1994,Asheville Brewing Company,Sister Bad Habit,American Amber / Red Ale,5.60 %
1995,Flytrap Brewing,Rehder 's Red,American Amber / Red Ale,5.40 %
1996,Firehouse Brewing Co. .,Amber Wheat,American Amber / Red Ale,4.10 %
1997,Black Swan Brewpub,5 Grain Red Ale,American Amber / Red Ale,4.50 %
1998,Rubber Soul Brewing Co. .,Urban Style Honey Ale,American Amber / Red Ale,8.00 %
1999,Mash Brewing,Mash Amber,American Amber / Red Ale,4.50 %
2000,Island Brewing Company,Hop Harvest,American Amber / Red Ale,-
2001,Jacob Leinenkugel Brewing Company,Starved Rock Signature Ale,American Amber / Red Ale,-
2002,Bucks County Brewery,Munich Autumn,American Amber / Red Ale,6.90 %
2003,Wisconsin Dells Brewing Co. .,Ruby Red IPA,American Amber / Red Ale,7.90 %
2004,Riff Raff Brewing Company,Riff Raff Stepchild American Red,American Amber / Red Ale,-
2005,Paw Paw Brewing Company,Gus Meister,American Amber / Red Ale,5.10 %
2006,Bandwagon Brew Pub,Ezra Red Ale,American Amber / Red Ale,-
2007,Granite Falls Brewing Co. .,Bushfire American Red,American Amber / Red Ale,5.00 %
2008,Laurelwood Public House & Brewery,Fire Road Red Ale,American Amber / Red Ale,7.10 %
2009,The Blind Pig Brewery,Blind Pig A \ x/esome Red Ale,American Amber / Red Ale,5.00 %
2010,Rock Bottom Restaurant & Brewery,Regatta Red,American Amber / Red Ale,5.00 %
2011,Gun Hill Brewing Company,Red Coat Resistance,American Amber / Red Ale,5.40 %
2012,Sutter Buttes Brewing,Riley 's Red Ale,American Amber / Red Ale,6.80 %
2013,Sherwood Brewing Company,Production Line Red,American Amber / Red Ale,5.25 %
2014,Les FrÃ ¨ res Houblon Microbrasserie,BiÃ ¨ re Rousse,American Amber / Red Ale,6.00 %
2015,Old Firehouse Brewing,Code 3,American Amber / Red Ale,5.20 %
2016,Illawarra Brewing Company,Illawarra Rust Amber Ale,American Amber / Red Ale,-
2017,Bellevue Brewing Company,Winter Ale,American Amber / Red Ale,8.30 %
2018,Pivovarna in Vinska klet Vizir,Vizir Lucky Luke Sexy Ale,American Amber / Red Ale,4.00 %
2019,Fegley 's Bethlehem Brew Works,Rockwell Red Ale,American Amber / Red Ale,5.40 %
2020,Lazy Boy Brewing,Redhead Imperial Red,American Amber / Red Ale,-
2021,Baerlic Brewing Company,Arctos,American Amber / Red Ale,6.50 %
2022,Uncle Billy 's Brew & Que,Elegast Belgian Red,American Amber / Red Ale,6.80 %
2023,Rock Bottom Restaurant & Brewery,St. Nick 's Fix,American Amber / Red Ale,8.20 %
2024,Chios Microbrewery,Fresh Chios Beer,American Amber / Red Ale,4.90 %
2025,Swamp Head Brewery,Part Time Lubber,American Amber / Red Ale,4.50 %
2026,Black Acre Brewing Co. .,Red Hopper ( Imperial Red Ale ),American Amber / Red Ale,6.20 %
2027,Blue Canoe Brewery,Joe 's Electric Bill,American Amber / Red Ale,-
2028,MIA Brewing Co. .,Rye Tortugas,American Amber / Red Ale,-
2029,Aslan Brewing Company,Irie Eyes Red Ale,American Amber / Red Ale,6.70 %
2030,ABQ Brew Pub,Alien Amber Ale,American Amber / Red Ale,4.50 %
2031,Manitou Brewing Co. .,Tall Rev Red,American Amber / Red Ale,6.70 %
2032,Angry Minnow Brewpub,Redhorse Ale,American Amber / Red Ale,-
2033,Station 26 Brewing Co. .,Red X,American Amber / Red Ale,4.70 %
2034,Hog _ ™ s Head Brewing Company,Colleen 's Amber Ale,American Amber / Red Ale,5.00 %
2035,Joyride Brewing Company,Antelope Amber,American Amber / Red Ale,6.10 %
2036,Brasserie Uberach,BiÃ ¨ re AmbrÃ © e,American Amber / Red Ale,4.80 %
2037,Portsmouth Brewery,Portsmouth Amber Dandy,American Amber / Red Ale,6.20 %
2038,Issaquah Brewhouse,Salmon Days Festival 2008 Roe Ale,American Amber / Red Ale,5.40 %
2039,Lookout Brewing Co. .,First Run,American Amber / Red Ale,4.00 %
2040,Iechyd Da Brewing Company,Gumption Double Amber,American Amber / Red Ale,8.80 %
2041,Mountain State Brewing Co. .,FoxFire Amber Ale,American Amber / Red Ale,-
2042,I & I Brewing,Orange Flower Amber,American Amber / Red Ale,6.10 %
2043,Tractor Brewing Co. .,Tupac Cali Red Ale,American Amber / Red Ale,-
2044,Figueroa Mountain Brewing Co. .,Ole Mole,American Amber / Red Ale,5.50 %
2045,San Fernando Brewing Co. .,O'Melveny Red Ale,American Amber / Red Ale,7.50 %
2046,North Sound Brewing Company,Big R,American Amber / Red Ale,9.00 %
2047,Rock Bottom Restaurant & Brewery,Merry Prankster Imperial Red Ale,American Amber / Red Ale,4.56 %
2048,Three Barrel Brewing Co. .,Chill Session - Session Ale,American Amber / Red Ale,4.70 %
2049,Borderlands Brewing Co. .,Santa Rita,American Amber / Red Ale,5.50 %
2050,Il Vicino Brewery Canteen,Just Esteem,American Amber / Red Ale,-
2051,Wynkoop Brewing Company,Fire Roasted Amber,American Amber / Red Ale,5.20 %
2052,Sixpoint Brewery,Jake 's Tricky Ale,American Amber / Red Ale,5.00 %
2053,Bad Beat Brewing,Ante Up Amber,American Amber / Red Ale,5.20 %
2054,Buffalo Bayou Brewing Co,Buffalo Bayou 1836 ( Cedar ),American Amber / Red Ale,5.90 %
2055,Fire On The Mountain ( F.O.T.M. ) Brewery,Hoosier Amber,American Amber / Red Ale,5.29 %
2056,Bayhawk Ales,Lazy Dog Red,American Amber / Red Ale,-
2057,Momentum Brewhouse,Knee Highs,American Amber / Red Ale,9.50 %
2058,Area 51 Craft Brewery,Planet Red,American Amber / Red Ale,5.50 %
2059,No-Li Brewhouse,Simcoe Red,American Amber / Red Ale,5.20 %
2060,Blue Blood Brewery,Last Call,American Amber / Red Ale,8.00 %
2061,Pumphouse Brewery,Hot Shots Harvest Ale,American Amber / Red Ale,-
2062,Braindead Brewing,Braindead Red,American Amber / Red Ale,6.00 %
