paper_id,year_published,paper_title,author_list
1156,1998,incremental distance join algorithms for spatial databases,"g hjaltason , h samet"
1157,2000,computing geographical scopes of web resources,"j ding , l gravano , n shivakumar"
1158,2000,a case-based approach to information integration,"m panti , l spalazzi , a giretti"
1159,1998,simultaneous optimization and evaluation of multiple dimensional queries,"y zhao , p deshpande , j naughton , a shukla"
1160,1998,optimal multi-step k-nearest neighbor search,"t seidl , h kriegel"
1161,2000,approximate query translation across heterogeneous information sources,"k chang , h garcia-molina"
1162,1998,your mediators need data conversion !,"s cluet , c delobel , j simщon , k smaga"
1163,2000,design and development of a stream service in a heterogenous client environment,"n pappas , s christodoulakis"
1164,2000,agora : living with xml and relational,"i manolescu , d florescu , d kossmann , f xhumari , d olteanu"
1165,1998,using schematically heterogeneous structures,r miller
1166,2000,demonstration : enabling scalable online personalization on the web,"k dutta , a datta , d vandermeer , k ramamritham , h thomas"
1167,1998,integration of heterogeneous databases without common domains using queries based on textual similarity,w cohen
1168,1998,secure and portable database extensibility,"m godfrey , t mayr , p seshadri , t eicken"
1169,2000,building scalable internet applications with oracle8i server,"j basu , j fernсndez , o peschansky"
1170,2000,a 20/20 vision of the vldb-2020 ?,"s deen , a jhingran , s navathe , e neuhold , g wiederhold"
1171,1998,random sampling for histogram construction : how much is enough ?,"s chaudhuri , r motwani , v narasayya"
1172,1998,wavelet-based histograms for selectivity estimation,"y matias , j vitter , m wang"
1173,2000,an ultra highly available dbms,"s hvasshovd , s bratsberg , и torbjјrnsen"
1174,2000,asera : extranet architecture for b2b solutions,a nori
1175,1998,memory management during run generation in external sorting,"p larson , g graefe"
1176,1998,nodose - a tool for semi-automatically extracting semi-structured data from text documents,b adelberg
1177,2000,evolution of groupware for business applications : a database perspective on lotus domino/notes,"c mohan , r barber , s watts , a somani , m zaharioudakis"
1178,2000,biodiversity informatics infrastructure : an information commons for the biodiversity community,"g cotter , b bauldock"
1179,1998,new sampling-based summary statistics for improving approximate query answers,"p gibbons , y matias"
1180,1998,integrating mining with relational database systems : alternatives and implications,"s sarawagi , s thomas , r agrawal"
1181,2000,a database platform for bioinformatics,s banerjee
1182,1998,on parallel processing of aggregate and scalar functions in object-relational dbms,"m jaedicke , b mitschang"
1183,2000,data mining in the bioinformatics domain,s tsur
1184,1998,control : continuous output and navigation technology with refinement on-line,"r avnur , j hellerstein , b lo , c olston , b raman , v raman , t roth , k wylie"
1185,2000,design and implementation of a genetic-based algorithm for data mining,s choenni
1186,2000,author index,
1187,1998,ariadne : a system for constructing mediators for internet sources,"j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada"
1188,2000,efficiently publishing relational data as xml documents,"j shanmugasundaram , e shekita , r barr , m carey , b lindsay , h pirahesh , b reinwald"
1189,1998,dtl 's dataspot : database exploration as easy as browsing the web,"s dar , g entin , s geva , e palmon"
1190,2000,efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin"
1191,1998,amdb : an access method debugging tool,"m kornacker , m shah , j hellerstein"
1192,2000,approximate query processing using wavelets,"k chakrabarti , m garofalakis , r rastogi , k shim"
1193,1998,free parallel data mining,"b li , d shasha"
1194,2000,dynamic maintenance of wavelet-based histograms,"y matias , j vitter , m wang"
1195,1998,delivering high availability for inktomi search engines,e brewer
1196,1998,datasplash,"c olston , a woodruff , a aiken , m chu , v ercegovac , m lin , m spalding , m stonebraker"
1197,2000,"do n't be lazy , be consistent : postgres-r , a new way to implement database replication","b kemme , g alonso"
1198,1998,cq : a personalized update monitoring toolkit,"l liu , c pu , w tang , d buttler , j biggs , t zhou , p benninghoff , w han , f yu"
1199,2000,efficient numerical error bounding for replicated network services,"h yu , a vahdat"
1200,1998,query unnesting in object-oriented databases,l fegaras
1201,2000,cheetah : a lightweight transaction server for plug-and-play internet data management,"g pardon , g alonso"
1202,1998,reusing invariants : a new strategy for correlated queries,"j rao , k ross"
1203,2000,caching strategies for data-intensive web sites,"k yagoub , d florescu , v issarny , p valduriez"
1204,2000,falcon : feedback adaptive loop for content-based retrieval,"l wu , c faloutsos , k sycara , t payne"
1205,1998,the pyramid-technique : towards breaking the curse of dimensionality,"s berchtold , c bіhm , h kriegel"
1206,1998,interaction of query evaluation and buffer management for information retrieval,"b jѓnsson , m franklin , d srivastava"
1207,2000,hierarchical compact cube for range-max queries,"s lee , t ling , h li"
1208,2000,fast time sequence indexing for arbitrary lp norms,"b yi , c faloutsos"
1209,1998,capability based mediation in tsimmis,"c li , r yerneni , v vassalos , h garcia-molina , y papakonstantinou , j ullman , m valiveti"
1210,1998,a protein patent query system powered by kleisli,"j chen , l wong , l zhang"
1211,2000,decision tables : scalable classification exploring rdbms capabilities,"h lu , h liu"
1212,2000,a scalable algorithm for answering queries using views,"r pottinger , a levy"
1213,1998,parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa"
1214,1998,query flocks : a generalization of association-rule mining,"s tsur , j ullman , s abiteboul , c clifton , r motwani , s nestorov , a rosenthal"
1215,2000,contrast plots and p-sphere trees : space vs. time in nearest neighbour searches,"j goldstein , r ramakrishnan"
1216,2001,the propel distributed services platform,"m carey , s kirsch , m roth , b linden , n adiba , m blow , d florescu , d li , i oprencak , r panwar , r qi , d rieber , j shafer , b sterling , t urhan , b vickery , d wineman , k yee"
1217,1998,multimediaminer : a system prototype for multimedia data mining,"o zaяane , j han , z li , s chee , j chiang"
1218,1998,supersql : an extended sql for database publishing and presentation,m toyama
1219,2001,tavant system architecture for sell-side channel management,"s narayanan , s subramanian"
1220,2001,navigating large-scale semi-structured data in business portals,"m abrol , n latarche , u mahadevan , j mao , r mukherjee , p raghavan , m tourn , j wang , g zhang"
1221,1998,the multidimensional database system rasdaman,"p baumann , a dehmel , p furtado , r ritsch , n widmann"
1222,2001,a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration,"a datta , k dutta , h thomas , d vandermeer , k ramamritham , d fishman"
1223,1998,xmas : an extensible main-memory storage system for high-performance applications,"j park , y kwon , k kim , s lee , b park , s cha"
1224,2001,lopix : a system for xml data integration and manipulation,w may
1225,1998,providing database-like access to the web using queries based on textual similarity,w cohen
1226,2001,picodbms : validation and experience,"n anciaux , c bobineau , l bouganim , p pucheral , p valduriez"
1227,1998,user-oriented smart-cache for the web : what you seek is what you get !,"z lacroix , a sahuguet , r chandrasekar"
1228,2001,operating system extensions for the teradata parallel vldb,"j catozzi , s rabinovici"
1229,1998,microsoft index tuning wizard for sql server 7.0,"s chaudhuri , v narasayya"
1230,1998,flowback : providing backward recovery for workflow systems,"b kiepuszewski , r mќhlberger , m orlowska"
1231,2001,enabling end-users to construct data-intensive web-sites from xml repositories : an example-based approach,"a morishima , s koizumi , h kitagawa , s takano"
1232,2001,supervised wrapper generation with lixto,"r baumgartner , s flesca , g gottlob"
1233,1997,a framework for implementing hypothetical queries,"t griffin , r hull"
1234,2001,the worlinfo assistant : spatio-temporal information integration on the web,"j ambite , c knoblock , m kolahdouzan , m muslea , c shahabi , s thakkar"
1235,1997,dynamic itemset counting and implication rules for market basket data,"s brin , r motwani , j ullman , s tsur"
1236,1997,an array-based algorithm for simultaneous multidimensional aggregates,"y zhao , p deshpande , j naughton"
1237,2001,sit-in : a real-life spatio-temporal information system,"g sindoni , l tininini , a ambrosetti , c bedeschi , s francisci , o gargano , r molinaro , m paolucci , p patteri , p ticca"
1238,1997,balancing push and pull for data broadcast,"s acharya , m franklin , s zdonik"
1239,2001,smooth - a distributed multimedia database system,"h kosch , l bіszіrmщnyi , a bachlechner , c hanin , c hofbauer , m lang , c riedler , r tusch"
1240,1997,concurrency and recovery in generalized search trees,"m kornacker , c mohan , j hellerstein"
1241,2001,webfilter : a high-throughput xml-based publish and subscribe system,"j pereira , f fabret , h jacobsen , f llirbat , d shasha"
1242,2000,building and customizing data-intensive web sites using weave,"k yagoub , d florescu , v issarny , p valduriez"
1243,1997,cubetree : organization of and bulk updates on the data cube,"n roussopoulos , y kotidis , m roussopoulos"
1244,2001,vxmlr : a visual xml-relational database system,"a zhou , h lu , s zheng , y liang , l zhang , w ji , z tian"
1245,1998,the idea web lab,"s ceri , p fraternali , s paraboschi"
1246,2001,warlock : a data allocation tool for parallel warehouses,"t stіhr , e rahm"
1247,1997,fast parallel similarity search in multimedia databases,"s berchtold , c bіhm , b braunmќller , d keim , h kriegel"
1248,2001,mv3r-tree : a spatio-temporal access method for timestamp and interval queries,"y tao , d papadias"
1249,1998,"ubiquitous , self-tuning , scalable servers",p spiro
1250,2001,indexing the distance : an efficient method to knn processing,"c yu , b ooi , k tan , h jagadish"
1251,1998,managing large systems with db2 udb,c eaton
1252,2001,walking through a very large virtual environment in real-time,"l shou , j chionh , z huang , y ruan , k tan"
1253,1998,sql open heterogeneous data access,"b reinwald , h pirahesh"
1254,2001,update propagation strategies for improving the quality of data on the web,"a labrinidis , n roussopoulos"
1255,1998,microsoft universal data access platform,"j blakeley , m pizzo"
1256,1998,java and relational databases : sqlj ( tutorial ),
1257,2001,intelligent rollups in multidimensional olap data,"g sathe , s sarawagi"
1258,1998,sap r/3 : a database application system ( tutorial ),
1259,2001,lineage tracing for general data warehouse transformations,"y cui , j widom"
1260,2001,online scaling in a highly available database,"s bratsberg , r humborstad"
1261,1998,panel on next generation database systems wo n't work without semantics !,j mylopoulos
1262,1998,"replication , consistency , and practicality : are these mutually exclusive ?","t anderson , y breitbart , h korth , a wool"
1263,2001,transaction timestamping in ( temporal ) databases,"c jensen , d lomet"
1264,1998,the araneus web-base management system,"g mecca , p atzeni , a masci , p merialdo , g sindoni"
1265,2001,the long-term preservation of authentic electronic records,l duranti
1266,2001,storage service providers : a solution for storage management ? ( panel ),"b жzden , e gabber , b hillyer , w ng , e shriver , d dewitt , b gordon , j gray , j wilkes"
1267,1998,microsoft.com : a high-scale data management and transaction processing solution,s kennamer
1268,2001,on processing xml in ldap,"p marrѓn , g lausen"
1269,1998,olympic records for data at the 1998 nagano games,e lassettre
1270,2001,hyperqueries : dynamic distributed query processing on the internet,"a kemper , c wiesner"
1271,1998,real business processing meets the web,j chong
1272,2001,warehousing workflow data : challenges and opportunities,"a bonifati , f casati , u dayal , m shan"
1273,1998,oracle rdb 's record caching model,"r anderson , g arun , r frank"
1274,1998,a data mining application : customes retention at the port of singapore authority ( psa ),"k ng , h liu , h kwah"
1275,2001,scientific olap for the biotech domain,n huyn
1276,1998,transactional publish / subscribe : the proactive multicast of database changes,a chan
1277,2001,ontology-based support for digital government,"a bouguettaya , a elmagarmid , b medjahed , m ouzzani"
1278,2001,italian electronic identity card - principle and architecture,m gentili
1279,1998,the pointcast network,"s ramakrishnan , v dayal"
1280,2000,"biodiversity informatics : the challenge of rapid development , large databases , and complex data ( keynote )",
1281,1997,infosleuth : semantic integration of information in open and dynamic environments ( experience paper ),"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk"
1282,2000,integration of data mining with database technology,"a netz , s chaudhuri , j bernhardt , u fayyad"
1283,1997,online aggregation,"j hellerstein , p haas , h wang"
1284,1997,\ on saying \ '' \ `` enough already ! \ '' \ '' in sql \ '' '',"m carey , d kossmann"
1285,1999,generalised hash teams for join and group-by,"a kemper , d kossmann , c wiesner"
1286,2000,"toto , we 're not in kansas anymore : on transitioning from research to the real ( invited industrial talk )",m carey
1287,1997,starts : stanford proposal for internet meta-searching ( experience paper ),"l gravano , k chang , h garcia-molina , a paepcke"
1288,1997,scalable parallel data mining for association rules,"e han , g karypis , v kumar"
1289,2000,media360 workflow-implementing a workflow engine inside a database,c blecken
1290,1997,high-performance sorting on networks of workstations,"a arpaci-dusseau , r arpaci-dusseau , d culler , j hellerstein , d patterson"
1291,2000,process automation as the foundation for e-business,"f casati , m shan"
1292,2000,research directions in biodiversity informatics,j schnase
1293,1997,size separation spatial join,"n koudas , k sevcik"
1294,1997,partitioned garbage collection of large object store,"u maheshwari , b liskov"
1295,2000,work and information practices in the sciences of biodiversity,g bowker
1296,1997,highly concurrent cache consistency for indices in client-server database systems,"m zaharioudakis , m carey"
1297,2000,the zero latency enterprise,d liles
1298,1997,improved query performance with variant indexes,"p o'neil , d quass"
1299,2000,"panel : future directions of database research - the vldb broadening strategy , part 2",m brodie
1300,2000,linking business to deliver value : a data management challenge,a deshpande
1301,1997,maintenance of data cubes and summary tables in a warehouse,"i mumick , d quass , b mumick"
1302,1997,range queries in olap data cubes,"c ho , r agrawal , n megiddo , r srikant"
1303,2000,"high-performance and scalability through application tier,in-memory data management",
1304,2000,"social , educational , and governmental change enabled through information technology","k ramamritham , y atfi , c batini , m eitan , v gregg , d phatak"
1305,1997,database performance in the real world - tpc-d and sap r/3 ( experience paper ),"j doppelhammer , t hіppler , a kemper , d kossmann"
1306,1997,database buffer size investigation for oltp workloads ( experience paper ),"t tsuei , a packer , k ko"
1307,2000,xperanto : middleware for publishing object-relational data as xml documents,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian"
1308,1997,the strip rule system for efficiently maintaining derived data,"b adelberg , h garcia-molina , j widom"
1309,2000,"panel : future directions of database research - the vldb broadening strategy , part 1",h schek
1310,2000,panel : is generic metadata management feasible ?,"p bernstein , l haas , m jarke , e rahm , g wiederhold"
1311,1997,the bucky object-relational benchmark ( experience paper ),"m carey , d dewitt , j naughton , m asgarian , p brown , j gehrke , d shah"
1312,2000,publish/subscribe on the web at extreme speed,"j pereira , f fabret , f llirbat , r preotiuc-pietro , k ross , d shasha"
1313,1997,association rules over interval data,"r miller , y yang"
1314,1997,a unified framework for enforcing multiple access control policies,"s jajodia , p samarati , v subrahmanian , e bertino"
1315,2000,insite : a tool for interpreting users ? interaction with a web space,"c shahabi , a faisal , f kashani , j faruque"
1316,2000,model-based information integration in a neuroscience mediator system,"b ludфscher , a gupta , m martone"
1317,1997,databases on the web : technologies for federation architectures and case studies ( tutorial ),r kramer
1318,2000,push technology personalization through event correlation,"a adi , d botzer , o etzion , t yatzkar-haham"
1319,1997,delaunay : a database visualization system,"i cruz , m averbuch , w lucas , m radzyminski , k zhang"
1320,2000,memex : a browsing assistant for collaborative archiving and mining of surf trails,"s chakrabarti , s srivastava , m subramanyam , m tiwari"
1321,1997,devise : integrated querying and visual exploration of large datasets ( demo abstract ),"m livny , r ramakrishnan , k beyer , g chen , d donjerkovic , s lawande , j myllymaki , r wenger"
1322,2000,information integration : the momis project demonstration,"d beneventano , s bergamaschi , s castano , a corni , r guidetti , g malvezzi , m melchiori , m vincini"
1323,1997,geominer : a system prototype for spatial data mining,"j han , k koperski , n stefanovic"
1324,1997,similarity-based queries for time series data,"d rafiei , a mendelzon"
1325,2000,telcordia 's database reconciliation and data quality analysis tool,"f caruso , m cochinwala , u ganapathy , g lalk , p missier"
1326,1997,meaningful change detection in structured data,"s chawathe , h garcia-molina"
1327,2000,rainbow : distributed database system for classroom education and experimental research,"a helal , h li"
1328,2000,focused crawling using context graphs,"m diligenti , f coetzee , s lawrence , c giles , m gori"
1329,1997,beyond market baskets : generalizing association rules to correlations,"s brin , r motwani , c silverstein"
1330,2000,semantic access : semantic interface for querying databases,"n rishe , j yuan , r athauda , s chen , x lu , x ma , a vaschillo , a shaposhnikov , d vasilevsky"
1331,1997,efficiently supporting ad hoc queries in large datasets of time sequences,"f korn , h jagadish , c faloutsos"
1332,1997,devise : integrated querying and visualization of large datasets,"m livny , r ramakrishnan , k beyer , g chen , d donjerkovic , s lawande , j myllymaki , r wenger"
1333,2000,the treescape system : reuse of pre-computed aggregates over irregular olap hierarchies,"t pedersen , c jensen , c dyreson"
1334,2000,olap + + : powerful and easy-to-use federations of olap and object databases,"j gu , t pedersen , a shoshani"
1335,1997,"building a scaleable geo-spatial dbms : technology , implementation , and evaluation","j patel , j yu , n kabra , k tufte , b nag , j burger , n hall , k ramasamy , r lueder , c ellmann , j kupsch , s guo , d dewitt , j naughton"
1336,1997,a toolkit for negotiation support interfaces to multi-dimensional data,"m gebhardt , m jarke , s jacobs"
1337,2000,performance issues in incremental warehouse maintenance,"w labio , j yang , y cui , h garcia-molina , j widom"
1338,2000,the challenge of process data warehousing,"m jarke , t list , j kіller"
1339,1997,distance-based indexing for high-dimensional metric spaces,"t bozkaya , z жzsoyoglu"
1340,2000,what is the nearest neighbor in high dimensional spaces ?,"a hinneburg , c aggarwal , d keim"
1341,1997,efficient view maintenance at data warehouses,"d agrawal , a abbadi , a singh , t yurek"
1342,2000,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima"
1343,1997,eliminating costly redundant computations from sql trigger executions,"f llirbat , f fabret , e simon"
1344,2000,the bt-tree : a branched and temporal access method,"l jiang , b salzberg , d lomet , m garcэa"
1345,1997,zoo : a desktop emperiment management environment,"y ioannidis , m livny , a ailamaki , a narayanan , a therber"
1346,2000,temporal integrity constraints with indeterminacy,"w cowley , d plexousakis"
1347,1997,the mentor workbench for enterprise-wide workflow management,"d wodtke , j weiпenfels , g weikum , a dittrich , p muth"
1348,2000,optimizing multi-feature queries for image databases,"u gќntzer , w balke , w kieпling"
1349,1997,sentinel : an object-oriented dbms with event-based rules,s chakravarthy
1350,2000,managing intervals efficiently in object-relational databases,"h kriegel , m pіtke , t seidl"
1351,1997,predator : an or-dbms with enhanced data types,"p seshadri , m paskin"
1352,1996,data access for the masses through ole db,j blakeley
1353,2000,novel approaches in query processing for moving object trajectories,"d pfoser , c jensen , y theodoridis"
1354,1996,fault-tolerant architectures for continuous media servers,"b жzden , r rastogi , p shenoy , a silberschatz"
1355,2000,identifying representative trends in massive time series data sets using sketches,"p indyk , n koudas , s muthukrishnan"
1356,1996,a content-based multimedia server for massively parallel architectures,"w o'connell , i ieong , d schrader , c watson , g au , a biliris , s choo , p colin , g linderman , e panagos , j wang , t walters"
1357,2000,"set containment joins : the good , the bad and the ugly","k ramasamy , j patel , j naughton , r kaushik"
1358,1996,fundamental techniques for order optimization,"d simmen , e shekita , t malkemus"
1359,2000,what happens during a join ? dissecting cpu and memory optimization effects,"s manegold , p boncz , m kersten"
1360,1997,the distributed information search component ( disco ) and the world wide web,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid"
1361,2000,optimizing queries on compressed bitmaps,"s amer-yahia , t johnson"
1362,2000,toward learning based web query processing,"y diao , h lu , s chen , z tian"
