item_id,item_code,list_price,cat,b_name
17801,,251.0,turntables,basyx
17802,,487.0,hi-fi ht cabinets,basyx
17803,,194.0,laminating supplies,basyx
17804,,,storage presentation materials,bankers box
17805,,,storage presentation materials,bankers box
17806,,70.63,storage presentation materials,bankers box
17807,,,turntables,balt
17808,,13.44,binding machines,avery
17809,,31.0,other office equipment,avery
17810,,35.0,other office equipment,avery
17811,,,tv mounts,video mount products
17812,,13.44,binding machines,avery
17813,,27.0,headphones,audio-technica
17814,,59.0,laminating supplies,at-a-glance
17815,,34.0,laminating supplies,at-a-glance
17816,,15.43,storage presentation materials,ampad
17817,,207.0,turntables,alera
17818,,257.0,laminating supplies,alera
17819,,19.0,storage presentation materials,acco
17820,,16.0,bd-r discs,maxell
17821,,154.0,radios,3m
17822,,32.0,other office equipment,3m
17823,,36.0,laminating supplies,pendaflex
17824,,33.0,laminating supplies,pendaflex
17825,,5.99,cables interconnects,rca
17826,,11.49,networking products,cables unlimited
17827,,280.49,computer accessories,lexmark
17828,v13h010l31-bti,273.1,lamps,bti
17829,sut632p,83.11,car audio video,peerless
17830,rq2w1156,21.16,gun scopes,utg
17831,,477.4,computer accessories,xerox
17832,,103.94,audio video accessories,vonnic
17833,,49.0,headphones,meelectonics
17834,,,sports outdoor gps,maxsa
17835,air-alarm1,84.24,surveillance cameras,securityman
17836,,,projection screens,da-lite
17837,,,projection screens,da-lite
17838,,24.02,printers,kantek
17839,,15.19,video converters,jwin
17840,,,,jabra
17841,,,computer accessories,innovera
17842,,923.05,home security systems,hp
17843,,,laptops,hon
17844,17241,12.54,audio video accessories,encore
17845,,,antitheft,guardian
17846,,3127.99,projection screens,da-lite
17847,,,antitheft,floortex
17848,,31.78,inkjet printer ink,epson
17849,,,storage presentation materials,dome
17850,,,computer accessories,zax
17851,,18.99,mouse pads,wincraft
17852,n17188p,69.02,bags cases,dicota
17853,,,,wilson jones
17854,,399.0,computers accessories,wilson
17855,sc-sa0d12-s1,48.37,surge protectors,siig
17856,,12.99,headsets,teknmotion
17857,,,computers accessories,universal
17858,,22.14,storage presentation materials,uniball
17859,,35.42,computers accessories,uniball
17860,,39.3,computers accessories,uniball
17861,,38.28,laminating supplies,uniball
17862,,,storage presentation materials,trodat
17863,,,,steelmaster by mmf industries
17864,,,computers accessories,ape case
17865,,,printers,tops
17866,mus 7701b,22.99,stands,on-stage stands
17867,,25.4,mice,targus
17868,nacsv10i,,multiroom digital music systems,sony
17869,,24.25,printers,smead
17870,,,blank media,smead
17871,,19.0,distribution,staedtler
17872,,,storage presentation materials,smead
17873,,,,smead
17874,,,,smead
17875,,,antitheft,smead
17876,,27.19,computers accessories,siig
17877,,,tripods,scosche
17878,,,footrests,rubbermaid
17879,,41.69,laminating supplies,rubbermaid
17880,,139.99,computer cases,raidmax
17881,,169.0,home audio theater,middle atlantic
17882,,,microphones accessories,quartet
17883,,599.99,home security systems,q-see
17884,,161.99,home audio theater,middle atlantic
17885,,,,smead
17886,,5529.82,projection screens,da-lite
17887,,,computers accessories,post-it
17888,,,laminating supplies,post-it
17889,,,projection screens,post-it
17890,,72.05,storage presentation materials,premier
17891,sknmlbnyy01akndl3,,skins,skinit
17892,,2608.99,projection screens,da-lite
17893,sknnflnwe02akndl3,,skins,skinit
17894,3i-2015-10bd,219.99,cases bags,skb
17895,,239.95,cd-mp3 players,pioneer
17896,,133.68,office electronics,pioneer
17897,,,office electronics,pentel
17898,,,home audio theater,pendaflex
17899,,,television stands entertainment centers,peerless
17900,,,television stands entertainment centers,peerless
17901,,,,panasonic
17902,,,,oxford
17903,,,,oxford
17904,,39.77,,logitech
17905,,72.0,laminating supplies,wilson jones
17906,,46.0,projection screens,wilson jones
17907,,116.0,external floppy drives,verbatim
17908,,21.0,external floppy drives,verbatim
17909,,9.05,cd-r discs,verbatim
17910,,280.0,radios,universal
17911,,33.0,laminating supplies,universal
17912,,75.0,labeling tapes,united facility supply
17913,,43.0,other office equipment,trodat
17914,,33.0,other office equipment,trodat
17915,,19.0,storage presentation materials,tops
17916,,52.72,storage presentation materials,tops
17917,,19.0,storage presentation materials,tops
17918,,57.55,storage presentation materials,tops
17919,,14.8,electronic dictionaries thesauri translators,tops
17920,,40.0,laminating supplies,tops
17921,,29.36,shredders,tombow
17922,,284.15,shredders,swingline
17923,,,storage presentation materials,strathmore
17924,,42.0,laminating supplies,storex
17925,,33.36,storage presentation materials,southworth
17926,,,storage presentation materials,smead
17927,,31.0,floor sensors,smead
17928,,,laminating supplies,smead
17929,,59.0,laminating supplies,smead
17930,,72.0,laminating supplies,smead
17931,,82.0,laminating supplies,smead
17932,,86.0,laminating supplies,smead
17933,,53.0,laminating supplies,smead
17934,,,laptop netbook computer accessories,roaring spring paper products
17935,,39.0,laminating supplies,smead
17936,,37.0,laminating supplies,smead
17937,,175.0,digital cameras,olympus
17938,,25.54,shredders,sharpie
17939,,30.03,shredders,sharpie
17940,,29.03,shredders,sharpie
17941,,29.0,other office equipment,seiko
17942,,36.7,blank media,scotch
17943,,,projection screens,samsill
17944,,70.0,laminating supplies,samsill
17945,,104.12,laminating supplies,safco
17946,,61.78,shredders,rolodex
17947,,,laminating supplies,rolodex
17948,,44.0,laminating supplies,rolodex
17949,,51.0,shredders,rolodex
17950,,27.0,laminating supplies,rolodex
17951,,9.74,label makers,redi-tag
17952,,23.0,laminating supplies,rediform
17953,,17.56,electronic dictionaries thesauri translators,rediform
17954,,,laminating supplies,hammermill
17955,,,computers accessories,hammermill
17956,,,printers,es robbins
17957,,,coin button cell,energizer
17958,tip-d180u3-puk,38.99,docking stations,global marketing partners
17959,,,distribution,boorum pease
17960,,,appointment books planners,at-a-glance
17961,1145196,199.99,television stands entertainment centers,altra
17962,,,projection screens,victor
17963,,,computers accessories,thecus
17964,m04602,147.98,,seh
17965,,,printers,southworth
17966,,,storage presentation materials,qdos
17967,,,connectors adapters,smead
17968,,,printers,smead
17969,,,distribution,rediform
17970,,,accessories supplies,quartet
17971,vc500w,29.95,power converters,power bright
17972,,84.97,audio video accessories,premiertek
17973,,,,oxford
17974,ge1734-21e5,17.99,power strips,general electric
17975,,,printers,nti
17976,,42.0,laminating supplies,wilson jones
17977,,212.0,laminating supplies,wilson jones
17978,,19.0,shredders,westcott
17979,,14.84,printer staplers,swingline
17980,,13.24,printer staplers,stanley
17981,,57.89,storage presentation materials,southworth
17982,,,connectors adapters,pm company
17983,,94.0,laminating supplies,smead
17984,,158.0,networking products,bankers box
17985,,26.02,storage presentation materials,redi-tag
17986,,17.04,electronic dictionaries thesauri translators,rediform
17987,,102.0,radios,quartet
17988,,,laminating supplies,pendaflex
17989,,113.0,storage presentation materials,oxford
17990,,251.0,laminating supplies,iceberg
17991,,276.0,laminating supplies,hon
17992,,,laminating supplies,hon
17993,,713.0,laminating supplies,hon
17994,ts-d1320c,,accessories supplies,pioneer
17995,hdj-1000,,headphones,pioneer
17996,,116.0,laminating supplies,crown
17997,,79.46,storage presentation materials,boorum pease
17998,dln1719,6.19,cases sleeves,philips
17999,,11.83,graphics tablets,bic
18000,,507.0,radios,best rite
18001,,19.0,copiers,avery
18002,,13.39,projection screens,avery
18003,,20.28,blank media,pentel
18004,,29.0,laminating supplies,advantus
18005,,25.77,computer components,boise
18006,,,gps mapping software,the board dudes
18007,,,printers,black n ' red
18008,,19.86,,otterbox
18009,,185.03,connectors adapters,basyx
18010,,,storage presentation materials,basyx
18011,,,printers,balt
18012,,,printer accessories,avery
18013,,28.58,plug play satellite radios,atlantic
18014,,189.99,bags cases,road ready
18015,,,antitheft,alera
18016,,451.62,audio video accessories,adobe
18017,,681.33,audio video accessories,adobe
18018,,,printers,acroprint
18019,hdc-sd90k,406.96,camcorders,panasonic
18020,,67.75,home audio theater,comprehensive
18021,,21.28,binding machine supplies,dixon
18022,,,printers,grade-a
18023,,199.96,video multiplexers quads,dewalt
18024,,,printer accessories,crown
18025,,128.2,,dealz4real
18026,,,,comprehensive
18027,,,,comprehensive
18028,,,,comprehensive
18029,,,,comprehensive
18030,,80.44,computers accessories,sharp
18031,,225.85,projection screens,elite
18032,,,printer accessories,buddy
18033,,32.53,networking products,oxford
18034,,37.0,label makers,read right
18035,,97.0,radios,quartet
18036,,873.0,radios,quartet
18037,,418.0,radios,quartet
18038,,56.55,storage presentation materials,quality park
18039,,20.83,laser printers,printworks professional
18040,,20.83,laser printers,printworks professional
18041,,48.0,storage presentation materials,post-it
18042,,38.35,storage presentation materials,post-it
18043,,22.0,storage presentation materials,post-it
18044,,50.9,storage presentation materials,post-it
18045,,23.0,shredders,post-it
18046,,14.98,label makers,post-it
18047,,,laminating supplies,pendaflex
18048,,54.0,laminating supplies,pendaflex
18049,,,laminating supplies,pendaflex
18050,,,laminating supplies,pendaflex
18051,,,laminating supplies,pendaflex
18052,,54.0,laminating supplies,pendaflex
18053,,12.38,graphics tablets,parker
18054,,14.0,inkjet printers,hp
18055,,108.93,storage presentation materials,pacon
18056,,16.34,storage presentation materials,pacon
18057,,28.0,floor sensors,oxford
18058,,44.0,laminating supplies,oxford
18059,,43.0,laminating supplies,oxford
18060,,152.48,computer accessories,swingline
18061,,9.49,film cameras,fuji
18062,,132.0,storage presentation materials,nekoosa
18063,,,laminating supplies,national
18064,,29.13,storage presentation materials,mohawk
18065,,27.0,external floppy drives,memorex
18066,,522.0,laminating supplies,mayline
18067,,26.87,shredders,marks-a-lot
18068,,57.0,radios,quartet
18069,,36.0,radios,magna visual
18070,,367.0,laminating supplies,magna visual
18071,,225.0,networking products,intellinet
18072,,43.52,storage presentation materials,innovera
18073,,99.45,external floppy drives,imation
18074,,,,hp
18075,,,laminating supplies,house of doolittle
18076,,,laminating supplies,house of doolittle
18077,,380.0,laminating supplies,hon
18078,,958.0,laminating supplies,hon
18079,,238.0,laminating supplies,hon
18080,,3.99,gps system accessories,accessorieszone
18081,,1255.0,laminating supplies,hon
18082,,519.0,laminating supplies,hon
18083,,434.0,laminating supplies,hon
18084,,232.0,laminating supplies,hon
18085,,30.1,shredders,hi-liter
18086,,31.32,storage presentation materials,hammermill
18087,,36.0,projection screens,find it
18088,,28.0,laminating supplies,find it
18089,,11.65,audio video accessories,marjack
18090,,39.02,shredders,expo
18091,,159.22,computers accessories,epson
18092,,584.0,radios,epson
18093,,,radios,elmer 's
18094,,,other office equipment,dymo
18095,,46.0,radios,expo
18096,,92.0,laminating supplies,crown
18097,,,memory,micron
18098,,146.0,laminating supplies,crown
18099,,123.0,laminating supplies,crown
18100,,80.0,laminating supplies,crown
18101,,213.0,laminating supplies,crown
18102,,118.0,laminating supplies,crown
18103,,76.0,laminating supplies,crown
18104,,36.55,storage presentation materials,southworth
18105,,14.69,professional photo albums,c-line
18106,,35.19,usb cables,innovera
18107,,32.98,basic,canon
18108,,28.0,mice,innovera
18109,,742.73,computer accessories,hp
18110,,130.0,laminating supplies,bush
18111,,30.0,storage presentation materials,buddy
18112,,58.0,label makers,brother
18113,183800,23.58,data cartridges,maxell
18114,,28.6,laser printers,boise
18115,,29.77,storage presentation materials,blue line
18116,,21.0,storage presentation materials,blue line
18117,,23.0,storage presentation materials,blue line
18118,,26.88,shredders,bic
18119,,,laminating supplies,basyx
18120,,718.0,laminating supplies,basyx
18121,,38.99,storage presentation materials,bankers box
18122,,134.0,storage presentation materials,bankers box
18123,,101.0,storage presentation materials,bankers box
18124,,27.0,storage presentation materials,avery
18125,,63.0,storage presentation materials,avery
18126,,19.0,storage presentation materials,avery
18127,gs350su,27.93,hard drive enclosures,macally
18128,,31.0,label makers,avery
18129,,17.66,printer accessories,avery
18130,,477.0,television stands entertainment centers,da-lite
18131,,36.0,adapter rings,avery
18132,,71.0,accessories,astra
18133,,57.6,shredders,artistic
18134,,217.0,laminating supplies,alera
18135,,407.0,laminating supplies,alera
18136,,,laminating supplies,acco
18137,,27.13,mice,targus
18138,,97.84,computer accessories,hp
18139,,35.19,computer accessories,oki
18140,,26.49,,v7
18141,,910.19,computer accessories,lexmark
18142,,507.23,computer accessories,xerox
18143,,25.33,english dictionaries,national
18144,,,household batteries,mionix
18145,,,,micro innovations
18146,,152.25,computers accessories,meggaboom usa
18147,,309.0,projection screens,da-lite
18148,ccb437080002/04/1,79.99,gaming mice,mad catz inc
18149,,,television stands entertainment centers,luxor
18150,,24.99,printer accessories,brother
18151,,,projection screens,da-lite
18152,,,projection screens,da-lite
18153,,,projection screens,da-lite
18154,,,computer accessories,lexmark
18155,02502,9.9,cases bags,inland
18156,,,sports outdoor gps,humminbird
18157,,,headphones,house of doolittle
18158,hl2240,73.99,laser printers,brother
18159,,,battery chargers,hon
18160,,,storage presentation materials,hon
18161,,,printers,hon
18162,,,antitheft,hon
18163,,109.0,,xerox
18164,,29.14,laser printer toner,compatible
18165,,3095.99,projection screens,da-lite
18166,tn-110bk,37.99,laser printer toner,brother
18167,,8.12,audio video accessories,encore
18168,,79.99,printer accessories,monarch
18169,,,distribution,drimark
18170,,,printers,xantech
18171,,18.99,mouse pads,wincraft
18172,,,laminating supplies,wilson jones
18173,,,,wilson jones
18174,,6.99,power cables,v7
18175,,262.0,laminating supplies,universal
18176,,54.38,internal hard drives,tops
18177,,12.99,computer accessories,targus
18178,,,uninterrupted power supply ups,smead
18179,,,,smead
18180,,,,smead
18181,,,storage presentation materials,smead
18182,,,car audio video,smead
18183,,,distribution,smead
18184,,,office electronics,smead
18185,,,battery chargers,swingline
18186,,23.14,storage presentation materials,sharpie
18187,,26.12,storage presentation materials,sharpie
18188,,,storage presentation materials,scotch
18189,,29.99,computers accessories,sabrent
18190,,,cables interconnects,royal
18191,,101.41,photo video design,roxio
18192,,,connectors adapters,comprehensive
18193,,,laminating supplies,quartet
18194,,,cables interconnects,quartet
18195,,,hard drive bags,quartet
18196,,,laminating supplies,prismacolor
18197,,,computer accessories,bond street
18198,,929.0,projection screens,elite
18199,,,battery chargers,post-it
18200,,1525.99,projection screens,da-lite
18201,,75.0,,plan -- ronics
18202,,144.0,office electronics,plantronics
18203,,,printers,pendaflex
18204,,,printers,pendaflex
18205,,,storage presentation materials,pendaflex
18206,,49.99,gps mapping software,pc pitstop
18207,,23.96,printer accessories,paper mate
18208,,18.58,sports outdoor gps,p3 international
18209,,,printers,oxford
18210,,12.98,accessories supplies,patriot
18211,,15.99,tv mounts,avf
18212,,62.0,label makers,xstamper
18213,,233.95,laser printers,xerox
18214,,23.0,laminating supplies,wilson jones
18215,,15.56,projection screens,wilson jones
18216,,19.0,shredders,westcott
18217,,31.02,storage presentation materials,wausau
18218,,89.0,labeling tapes,united facility supply
18219,,63.0,other office equipment,trodat
18220,,24.99,bags cases,three
18221,,25.06,storage presentation materials,bic
18222,,14.51,storage presentation materials,tops
18223,,54.12,storage presentation materials,tops
18224,,38.63,storage presentation materials,tops
18225,,42.55,storage presentation materials,tops
18226,,22.0,laminating supplies,tops
18227,,21.0,storage presentation materials,tops
18228,,399.44,computer accessories,brother
18229,,32.86,printer staples,swingline
18230,,66.17,shredders,swingline
18231,,49.56,shredders,swingline
18232,,32.0,storage presentation materials,steelmaster by mmf industries
18233,,27.0,bd-r discs,sony
18234,,29.0,storage presentation materials,smead
18235,,77.0,laminating supplies,smead
18236,f7d8302q,69.82,routers,belkin
18237,,72.0,laminating supplies,smead
18238,,19.0,laminating supplies,smead
18239,,60.0,laminating supplies,smead
18240,,63.0,laminating supplies,smead
18241,,76.0,laminating supplies,smead
18242,,59.0,laminating supplies,smead
18243,,59.0,laminating supplies,smead
18244,f5l073,24.99,reading lights,belkin
18245,,,laminating supplies,smead
18246,,172.0,labeling tapes,scotch
18247,,33.0,laminating supplies,samsill
18248,,20.0,projection screens,samsill
18249,a3l791b10,3.95,ethernet cables,belkin
18250,,20.01,computers accessories,midland
18251,,21.0,adapter rings,samsill
18252,,31.0,other office equipment,rubbermaid
18253,,31.0,cords,softalk
18254,,46.0,laminating supplies,rolodex
18255,,69.34,binding machine supplies,avery
18256,,,,kodak
18257,pwru1750-fire engine red,125.0,covers,kate spade new york
18258,,3.75,,top flight
18259,,13.97,,eco-products
18260,,,connectors adapters,dax
18261,,,desktops,ciphertex
18262,,,office electronics,avery
18263,,,printers,grade-a
18264,,,,apollo
18265,,,,3m
18266,,,computers accessories,sanus systems
18267,smx-10,66.23,condenser microphones,azden
18268,,81.78,,serif inc
18269,,2169.95,projection screens,da-lite
18270,,,laminating supplies,saunders
18271,,24.93,printer accessories,saunders
18272,,2.02,audio video accessories,roaring spring
18273,pafgpcmp06005pertpen,251.42,audio video accessories,laplink
18274,,12.7,stamp creation systems,u. s. stamp sign
18275,,16.94,printer staplers,stanley
18276,,97.0,laminating supplies,smead
18277,,106.0,laminating supplies,smead
18278,,37.41,storage presentation materials,saunders
18279,,49.0,adapter rings,samsill
18280,,47.0,shredders,safco
18281,,,radios,quartet
18282,,90.0,stands,quartet
18283,,102.47,machine rolls,pm company
18284,,,laminating supplies,pendaflex
18285,,12.72,floor sensors,oxford
18286,,50.0,storage presentation materials,norcom
18287,,12.94,storage presentation materials,national
18288,,109.0,laminating supplies,iceberg
18289,,58.99,storage presentation materials,gold fibre
18290,,34.0,laminating supplies,rediform
18291,,29.99,touch screen tablet accessories,lifeworks
18292,,42.0,blank media,chenille kraft
18293,,949.84,computer accessories,hp
18294,,30.0,storage presentation materials,caremail
18295,,11.83,graphics tablets,bic
18296,,50.0,storage presentation materials,bankers box
18297,,18.0,storage presentation materials,ampad
18298,,,label makers,advantus
18299,,,compact stereos,memorex
18300,,,storage presentation materials,brother
18301,,56.99,media storage organization,platt
18302,,64.58,,bi-silque visual communication product inc. .
18303,,3.95,,avery
18304,,,,atrend-bbox
18305,,173.96,office electronics,sharp
18306,,,storage presentation materials,artistic
18307,,,,adobe
18308,,,printers,3m
18309,aud athm40fs,,headphones,audio-technica
18310,,9.99,computers accessories,tribeca
18311,,16.99,covers skins,tribeca
18312,,109.96,office electronics,sharp
18313,,80.93,home audio theater,middle atlantic
18314,4854b001,19.95,cases bags,canon
18315,,47.9,home audio theater,comprehensive
18316,,22.61,laminating supplies,dataproducts
18317,,,storage presentation materials,crown
18318,,,connectors adapters,crown
18319,,,networking products,crown
18320,,95.95,office electronics,sharp
18321,,,,comprehensive
18322,,,,comprehensive
18323,,,,draper
18324,,36.0,camera photo,gear head
18325,,266.0,radios,quartet
18326,,189.0,radios,quartet
18327,,102.0,radios,quartet
18328,,14.84,presentation pointers,quartet
18329,,,radios,quartet
18330,,51.15,storage presentation materials,quality park
18331,,,cash registers,quality park
18332,,742.45,computer accessories,hp
18333,,121.0,binoculars,unknown
18334,,20.0,laminating supplies,post-it
18335,sr012,20.99,audio car mounts,arkon
18336,,27.0,laminating supplies,post-it
18337,,33.03,storage presentation materials,post-it
18338,,34.65,storage presentation materials,post-it
18339,,,laminating supplies,pendaflex
18340,,24.0,laminating supplies,pendaflex
18341,pag-unv-hd,149.99,projector mounts,peerless
18342,,,laminating supplies,pendaflex
18343,,,laminating supplies,pendaflex
18344,,45.0,laminating supplies,pendaflex
18345,,54.0,laminating supplies,pendaflex
18346,,59.23,printer staples,paperpro
18347,,40.16,computer accessories,paperpro
18348,,117.6,storage presentation materials,pacon
18349,,105.0,storage presentation materials,pacon
18350,,25.06,storage presentation materials,national
18351,,20.0,storage presentation materials,mr. sketch
18352,,33.0,laminating supplies,magna visual
18353,,,laminating supplies,magna visual
18354,,39.83,mice,logitech
18355,mc360zm/b,13.95,docking stations,apple
18356,h15blk,,power conditioners,apc
18357,,78.0,computer accessories,innovera
18358,pscagbb9800,11.02,batteries,polaroid
18359,,32.46,storage presentation materials,innovera
18360,,241.0,computer accessories,innovera
18361,,18.97,usb cables,innovera
18362,,22.0,9v,innovera
18363,,315.8,computer accessories,infoprint solutions
18364,,,,hp
18365,,34.7,laser printers,hp
18366,,95.0,laminating supplies,house of doolittle
18367,,884.0,laminating supplies,hon
18368,,1375.0,laminating supplies,hon
18369,,1016.0,laminating supplies,hon
18370,,1386.0,laminating supplies,hon
18371,,347.0,laminating supplies,hon
18372,,29.99,computers accessories,tribeca
18373,b3g010,14.7,faceplates,siskiyou
18374,,1874.0,laminating supplies,hon
18375,,98.31,storage presentation materials,hammermill
18376,apc10,24.99,routers,amped wireless
18377,1149012,189.99,television stands entertainment centers,ameriwood
18378,,60.0,laminating supplies,globe weis
18379,,60.0,laminating supplies,globe weis
18380,,,covers,gbc
18381,,,computers accessories,aluratek
18382,,63.0,covers,gbc
18383,,46.0,label makers,find it
18384,,82.0,connectors adapters,fellowes
18385,,45.0,darkroom supplies,fellowes
18386,,29.97,shredders,expo
18387,,23.0,radios,expo
18388,,,radios,expo
18389,,,radios,expo
18390,,45.0,storage presentation materials,ampad
18391,,31.0,label makers,endust
18392,,,radios,elmer 's
18393,,59.0,headphones,audio-technica
18394,,47.3,usb cables,innovera
18395,,68.0,floor sensors,durable
18396,,93.0,laminating supplies,durable
18397,110119,59.88,cd-r discs,aleratec
18398,,27.0,storage presentation materials,tops
18399,,55.0,laminating supplies,pendaflex
18400,,123.0,laminating supplies,crown
18401,,152.0,laminating supplies,crown
18402,,92.0,laminating supplies,crown
18403,,32.0,storage presentation materials,c-line
18404,,16.71,surge protectors,c-line
18405,,26.0,storage presentation materials,c-line
18406,,333.83,shredders,carl
18407,,41.0,projection screens,cardinal
18408,,30.0,projection screens,cardinal
18409,29180251,111.99,photo editing,adobe
18410,,39.99,label makers,brother
18411,,228.0,computers accessories,bond street
18412,,29.68,laser printers,boise
18413,,21.51,storage presentation materials,boise
18414,,43.0,radios,the board dudes
18415,28040500,,photo video design,adobe
18416,,1659.0,,adobe
18417,,20.0,storage presentation materials,blue line
18418,,34.0,storage presentation materials,blue line
18419,,399.0,hi-fi ht cabinets,basyx
18420,,,storage presentation materials,bankers box
18421,,,storage presentation materials,bankers box
18422,,65.0,adapter rings,avery
18423,,51.0,laminating supplies,avery
18424,,20.0,label makers,avery
18425,,13.44,adapter rings,avery
18426,,33.0,copiers,avery
18427,aa16s12864-pc266,28.49,computers accessories,memory upgrades
18428,acdpro4bx,217.58,audio video accessories,acd systems
18429,,29.87,cordless telephones,vtech
18430,,142.0,copiers,avery
18431,,307.0,laminating supplies,alera
18432,,,laminating supplies,advantus
18433,76352,19.84,cords,general electric
18434,,73.0,label makers,advantus
18435,,29.99,storage presentation materials,acco
18436,,33.0,mice,3m
18437,,127.0,radios,3m
18438,,32.0,other office equipment,3m
18439,,483.27,computer accessories,xerox
18440,,1089.99,media storage organization,skb
18441,,13.96,plug play satellite radios,merkury
18442,,,networking products,magna visual
18443,,,projection screens,da-lite
18444,,,projection screens,da-lite
18445,,,computers accessories,liquid paper
18446,,21.94,uninterrupted power supply ups,liquid paper
