item_key,builder,price_amount
650,symantec,349.0
651,abacus software,29.95
652,findex,59.95
653,encore,29.99
654,adobe,273.0
655,fogware publishing,29.99
656,dreamcatcher interactive,29.99
657,emedia music,
658,ingram micro,69.99
659,csdc,9.99
660,abacus,39.95
661,adobe,399.0
662,microsoft,669.0
663,mediafour corporation,49.95
664,topics entertainment,4.99
665,sony-media-software,24.95
666,viva media,19.99
667,freeverse software,29.99
668,feral interactive,19.99
669,encore software,19.99
670,jungle software,299.0
671,sega-of-america-inc .,19.99
672,topics entertainment,19.99
673,re : launch,109.95
674,school zone,12.99
675,nova development,79.99
676,adobe,299.0
677,microsoft,70.0
678,topics entertainment,29.99
679,navarre ( software ),59.95
680,susteen,79.99
681,warner-new-media,29.99
682,simply-put-software-llc,
683,encore,39.99
684,csdc,
685,aspyr media,34.99
686,aspyr media,29.99
687,grisoft,39.95
688,phase one,
689,encore software,
690,aspyr media,34.99
691,global-software-publishing,9.99
692,yamaha,31.95
693,global-software-publishing,9.99
694,eovia,
695,global software,
696,on-hand-software,9.99
697,global software,
698,smith-micro-software-inc .,49.99
699,abacus,
700,aspyr media,49.99
701,topware interactive,19.99
702,nova development,69.99
703,global-software-publishing,9.99
704,csdc,
705,punch ! software,99.95
706,blizzard entertainment,39.99
707,global-software-publishing-north-america-inc,6.99
708,strategy first,19.99
709,global-software-publishing,9.99
710,encore,19.99
711,encore,99.95
712,encore software,19.95
713,aspyr media,39.99
714,global-software-publishing-north-america-inc,9.99
715,yamaha,34.95
716,avid technology,1942.6
717,viva media,29.99
718,brighter-minds-media-inc .,9.99
719,on-hand-software,9.99
720,autodesk-m - & - e-box,3495.0
721,honest technology,79.99
722,steinberg,2499.0
723,topics-entertainment-software - ( consignment ),9.99
724,simply-put-software,
725,omni group,29.99
726,simply-put-software,
727,nuance-communications-inc .,
728,myob us,99.95
729,aspyr media,39.99
730,graphics-simulations-corporation,39.99
731,topics entertainment,129.99
732,aspyr media,29.99
733,encore software,49.99
734,topics entertainment,29.99
735,encore software,29.99
736,adobe,799.0
737,adobe,649.0
738,encore,49.99
739,i.r.i.s.,129.95
740,feral interactive,39.99
741,adobe-education-box,199.0
742,aspyr media,49.99
743,adobe-education-box,159.0
744,mariner software,59.99
745,brighter minds,14.99
746,csdc,149.0
747,feral interactive,39.99
748,aspyr media,19.99
749,dantz,99.99
750,microspot ltd.,99.95
751,marware,199.95
752,destineer,49.99
753,topics entertainment,49.95
754,aladdin systems,29.99
755,micromat,
756,git corp,49.99
757,macsoft,49.99
758,csdc,49.95
759,nova development,29.99
760,panda software,
761,microsoft software,2309.0
762,me-too-software,29.99
763,sony-creative-software,29.99
764,dreamcatcher interactive,29.99
765,atari,29.99
766,ubi soft,19.99
767,aspyr media,59.99
768,electronic arts,29.99
769,avanquest-publishing-usa-inc .,79.95
770,cosmi,
771,curious-labs-inc .,279.99
772,adobe,599.0
773,microsoft corporation,
774,adobe software,273.0
775,aspyr media,39.99
776,micromat,99.99
777,encore,9.99
778,encore,19.95
779,encore software,39.99
780,encore,7.99
781,microsoft,229.99
782,encore software,9.99
783,corel,49.99
784,encore,19.99
785,encore software,19.95
786,encore,19.99
787,encore software,19.95
788,encore software,19.95
789,encore,9.99
790,encore,19.95
791,encore,9.99
792,brighter-minds-media-inc .,19.99
793,encore,9.99
794,encore,9.99
795,computer associates,
796,corel,89.99
797,zero-g,169.95
798,encore,9.99
799,hewlett-packard - ( consumables ),630.36
800,broderbund,29.99
801,ulead systems,494.99
802,final draft,249.99
803,adobe,2499.0
804,digidesign,495.0
805,encore,9.99
806,encore,9.99
807,encore software,29.99
808,encore software,29.99
809,encore,19.99
810,encore,19.95
811,encore,9.99
812,extensis corporation,
813,aquaminds,69.99
814,nova development,99.99
815,extensis corporation,199.99
