place_id,restaurant_nm,urban_center,cuisine_type,street_address,restaurant_rating
58,` second avenue deli ',` new york ',delicatessen,' 156 2nd ave. at 10th st. ',58
59,seryna,` new york ',asian,'11 e. 53rd st. ',59
60,` shun lee west ',` new york ',asian,'43 w. 65th st. ',60
61,` sign of the dove ',` new york ',american,' 1110 3rd ave. at 65th st. ',61
62,` smith & wollensky ',` new york ',american,' 201 e. 49th st. ',62
63,` tavern on the green ',` new york ',american,` in central park at 67th st. ',63
64,` uncle nick \ 's ',` new york ',mediterranean,' 747 9th ave. between 50th and 51st sts . ',64
65,` union square cafe ',` new york ',american,'21 e. 16th st. ',65
66,` virgil \ 's ',` new york ',american,' 152 w. 44th st. ',66
67,` chin \ 's ',` las vegas ',asian,' 3200 las vegas blvd. s ',67
68,` coyote cafe ',` las vegas ',southwestern,' 3799 las vegas blvd. s ',68
69,` le montrachet ',` las vegas ',continental,' 3000 w. paradise rd. ',69
70,` palace court ',` las vegas ',continental,' 3570 las vegas blvd. s ',70
71,` second street grille ',` las vegas ',seafood,' 200 e. fremont st. ',71
72,` steak house ',` las vegas ',` steak houses ',' 2880 las vegas blvd. s ',72
73,tillerman,` las vegas ',seafood,' 2245 e. flamingo rd. ',73
74,abruzzi,atlanta,italian,' 2355 peachtree rd. . peachtree battle shopping center ',74
75,bacchanalia,atlanta,international,' 3125 piedmont rd. . near peachtree rd. ',75
76,` bone \ 's ',atlanta,american,' 3130 piedmont road ',76
77,` brasserie le coze ',atlanta,french,' 3393 peachtree rd. . lenox square mall near neiman marcus ',77
78,` buckhead diner ',atlanta,american,' 3073 piedmont road ',78
79,ciboulette,atlanta,french,' 1529 piedmont ave. ',79
80,delectables,atlanta,american,' 1 margaret mitchell sq. ',80
81,` georgia grille ',atlanta,american,' 2290 peachtree rd. . peachtree square shopping center ',81
82,` hedgerose heights inn ',atlanta,international,' 490 e. paces ferry rd. ',82
83,` heera of india ',atlanta,asian,' 595 piedmont ave. rio shopping mall ',83
84,` indigo coastal grill ',atlanta,caribbean,' 1397 n. highland ave. ',84
85,` la grotta ',atlanta,italian,' 2637 peachtree rd. . peachtree house condominium ',85
86,` mary mac \ 's tea room ',atlanta,southern,' 224 ponce de leon ave. ',86
87,` nikolai \ 's roof ',atlanta,continental,' 255 courtland st. at harris st. ',87
88,` pano \ 's and paul \ 's ',atlanta,international,' 1232 w. paces ferry rd. ',88
89,` cafe ritz-carlton buckhead ',atlanta,` ext 6108 international ',' 3434 peachtree rd. ',89
90,` dining room ritz-carlton buckhead ',atlanta,international,' 3434 peachtree rd. ',90
91,` restaurant ritz-carlton atlanta ',atlanta,continental,' 181 peachtree st. ',91
92,toulouse,atlanta,french,' b peachtree rd. ',92
93,` veni vidi vici ',atlanta,italian,'41 14th st. ',93
94,` alain rondelli ',` san francisco ',french,' 126 clement st. ',94
95,aqua,` san francisco ',seafood,' 252 california st. ',95
96,boulevard,` san francisco ',american,' 1 mission st. ',96
97,` cafe claude ',` san francisco ',french,' 7 claude la . ',97
98,` campton place ',` san francisco ',american,' 340 stockton st. ',98
99,` chez michel ',` san francisco ',french,' 804 northpoint ',99
100,` fleur de lys ',` san francisco ',french,' 777 sutter st. ',100
101,fringale,` san francisco ',french,' 570 4th st. ',101
102,` hawthorne lane ',` san francisco ',american,'22 hawthorne st. ',102
103,` khan toke thai house ',` san francisco ',asian,' 5937 geary blvd. ',103
104,` la folie ',` san francisco ',french,' 2316 polk st. ',104
105,lulu,` san francisco ',mediterranean,' 816 folsom st. ',105
