acm_record_id,venue_name,written_by,paper_title,date_year
1408,very large data bases,"tamer kahveci , ambuj k. singh",efficient index structures for string databases,2001
1409,very large data bases,"yingwei cui , jennifer widom",lineage tracing for general data warehouse transformations,2001
1410,very large data bases,"ela hunt , malcolm p. atkinson , robert w. irving",a database index to large biological sequences,2001
1411,very large data bases,"helena galhardas , daniela florescu , dennis shasha , eric simon , cristian-augustin saita","declarative data cleaning : language , model , and algorithms",2001
1412,very large data bases,"reza sadri , carlo zaniolo , amir m. zarkesh , jafar adibi",a sequential pattern query language for supporting instant data mining for e-services,2001
1413,very large data bases,"surajit chaudhuri , kyuseok shim",storage and retrieval of xml data using relational databases,2001
1414,very large data bases,"vijayshankar raman , joseph m. hellerstein",potter 's wheel : an interactive data cleaning system,2001
1415,very large data bases,wolfgang may,lopix : a system for xml data integration and manipulation,2001
1416,very large data bases,"giuseppe sindoni , leonardo tininini , amedea ambrosetti , cristina bedeschi , stefano de francisci , orietta gargano , rossella molinaro , mario paolucci , paola patteri , pina ticca",sit-in : a real-life spatio-temporal information system,2001
1417,very large data bases,"wen-syan li , k. sel &#231; uk candan , wang-pin hsiung , oliver po , divyakant agrawal , qiong luo , wei-kuang waine huang , yusuf akca , cemal yilmaz",cache portal : technology for accelerating database-driven e-commerce web sites,2001
1418,very large data bases,"qiong luo , jeffrey f. naughton",form-based proxy caching for database-backed web sites,2001
1419,very large data bases,"christine collet , thierry coupaye , t. svensen",naos - efficient and modular reactive capabilities in an object-oriented database system,1994
1420,very large data bases,"bruce e. martin , r. g. g. cattell",relating distributed objects,1994
1421,very large data bases,"ibrahim kamel , christos faloutsos",hilbert r-tree : an improved r-tree using fractals,1994
1422,very large data bases,"elena baralis , jennifer widom",an algebraic approach to rule analysis in expert database systems,1994
1423,very large data bases,"ling tony chen , doron rotem , sidhar seshadri",declustering databases on heterogeneous disk systems,1995
1424,very large data bases,"rainer gallersd &#246; rfer , matthias nicola",improving performance in replicated databases through relaxed coherency,1995
1425,very large data bases,"kurt p. brown , manish mehta , michael j. carey , miron livny",towards automated performance tuning for complex workloads,1994
1426,very large data bases,sergey brin,near neighbor search in large metric spaces,1995
1427,very large data bases,"b. sreenath , s. seshadri",the hcc-tree : an efficient index structure for object oriented databases,1994
1428,very large data bases,"theodore johnson , dennis shasha",2q : a low overhead high performance buffer management replacement algorithm,1994
1429,very large data bases,stefano spaccapietra,user interfaces ; who cares ?,1994
1430,very large data bases,"sharma chakravarthy , v. krishnaprasad , eman anwar , s.-k . kim","composite events for active databases : semantics , contexts and detection",1994
1431,very large data bases,philip a. bernstein,pc database systems - present and future,1994
1432,very large data bases,"h. v. jagadish , daniel f. lieuwen , rajeev rastogi , abraham silberschatz , s. sudarshan",dali : a high performance main memory storage manager,1994
1433,very large data bases,"alain pirotte , esteban zim &#225; nyi , david massart , tatiana yakusheva",materialization : a powerful and ubiquitous abstraction pattern,1994
1434,very large data bases,"maria zemankova , yannis e. ioannidis",scientific databases - state of the art and future directions,1994
1435,very large data bases,"marek rusinkiewicz , wolfgang klas , thomas tesch , j &#252; rgen w &#228; sch , peter muth",towards a cooperative transaction model - the cooperative activity model,1995
1436,very large data bases,"kazutoshi sumiya , kouichi yasutake , hirohiko tanaka , norio sanada , yoshihiko imai",a product specification database for visual prototyping,1995
1437,very large data bases,gilles fecteau,managing a db2 parallel edition database,1995
1438,very large data bases,"hongjun lu , kian-lee tan , son dao",the fittest survives : an adaptive approach to query optimization,1995
1439,very large data bases,"a. prasad sistla , clement t. yu , chengwen liu , king liu",similarity based retrieval of pictures using indices on spatial relationships,1995
1440,very large data bases,"joseph m. hellerstein , jeffrey f. naughton , avi pfeffer",generalized search trees for database systems,1995
1441,very large data bases,"steven milliner , athman bouguettaya , mike p. papazoglou",a scalable architecture for autonomous heterogeneous database interactions,1995
1442,very large data bases,"waqar hasan , rajeev motwani",coloring away communication in parallel query optimization,1995
1443,very large data bases,"jiawei han , yongjian fu",discovery of multiple-level association rules from large databases,1995
1444,very large data bases,rudolf bayer,document management as a database problem,1995
1445,very large data bases,"paul brown , michael stonebraker",bigsur : a system for the management of earth science data,1995
1446,very large data bases,"azer bestavros , spyridon braoudakis",value-cognizant speculative concurrency control,1995
1447,very large data bases,"kazimierz subieta , yahiko kambayashi , jacek leszczylowski",procedures in object-oriented query languages,1995
1448,very large data bases,"n. bassiliades , ioannis p. vlahavas",a non-uniform data fragmentation strategy for parallel main-menory database systems,1995
1449,very large data bases,"svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen , svein erik bratsberg , per holager","the clustra telecom database : high availability , high throughput , and real-time response",1995
1450,very large data bases,"erik g. hoel , hanan samet",benchmarking spatial join operations with spatial output,1995
1451,very large data bases,"rakesh agrawal , king-ip lin , harpreet s. sawhney , kyuseok shim","fast similarity search in the presence of noise , scaling , and translation in time-series databases",1995
1452,very large data bases,gary hallmark,the oracle warehouse,1995
1453,very large data bases,"rakesh agrawal , giuseppe psaila , edward l. wimmers , mohamed za &#239; t",querying shapes of histories,1995
1454,very large data bases,"kun-lung wu , philip s. yu , jen-yao chung , james z. teng",a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,1995
1455,very large data bases,sunita sarawagi,query processing in tertiary memory databases,1995
1456,very large data bases,"peter buneman , susan b. davidson , kyle hart , g. christian overton , limsoon wong",a data transformation system for biological data sources,1995
1457,very large data bases,bruce g. lindsay,"db2 common server : technology , progress , & ; directions",1995
1458,very large data bases,"erhard rahm , robert marek",dynamic multi-resource load balancing in parallel database systems,1995
1459,very large data bases,"brajesh goyal , jayant r. haritsa , s. seshadri , v. srinivasan",index concurrency control in firm real-time database systems,1995
1460,very large data bases,"david konopnicki , oded shmueli",w3qs : a query system for the world-wide web,1995
1461,very large data bases,"frank moser , achim kraiss , wolfgang klas",l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,1995
1462,very large data bases,"ashish gupta , venky harinarayan , dallan quass",aggregate-query processing in data warehousing environments,1995
1463,very large data bases,"jack a. orenstein , d. n. kamber",accessing a relational database through an object-oriented database interface,1995
1464,very large data bases,yun wang,db2 query parallelism : staging and implementation,1995
1465,very large data bases,"tak w. yan , hector garcia-molina",duplicate removal in information system dissemination,1995
1466,very large data bases,"weipeng p. yan , per - &#197; ke larson",eager aggregation and lazy aggregation,1995
1467,very large data bases,"eben m. haber , yannis e. ioannidis , miron livny",opossum : desk-top schema management through customizable visualization,1995
1468,very large data bases,"peter j. haas , jeffrey f. naughton , s. seshadri , lynne stokes",sampling-based estimation of the number of distinct values of an attribute,1995
1469,very large data bases,"roger s. barga , calton pu",a practical and modular implementation of extended transaction models,1995
1470,very large data bases,"john catozzi , sorana rabinovici",os support for vldbs : unix enhancements for the teradata data base,1995
1471,very large data bases,"ashoka savasere , edward omiecinski , shamkant b. navathe",an efficient algorithm for mining association rules in large databases,1995
1472,very large data bases,"manish mehta , david j. dewitt",managing intra-operator parallelism in parallel database systems,1995
1473,very large data bases,"laurent amsaleg , michael j. franklin , olivier gruber",efficient incremental garbage collection for client-server object database systems,1995
1474,very large data bases,andreas meier,providing database migration tools - a practicioner 's approach,1995
1475,very large data bases,"andr &#233; eickler , carsten andreas gerlhof , donald kossmann",a performance evaluation of oid mapping techniques,1995
1476,very large data bases,"paul ammann , sushil jajodia , indrakshi ray",using formal methods to reason about semantics-based decompositions of transactions,1995
1477,very large data bases,"michael steinbrunn , klaus peithner , guido moerkotte , alfons kemper",bypassing joins in disjunctive queries,1995
1478,very large data bases,"alberto belussi , christos faloutsos",estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,1995
1479,very large data bases,"georges gardarin , jean-robert gruser , zhao-hui tang",a cost model for clustered object-oriented databases,1995
1480,very large data bases,"janet l. wiener , jeffrey f. naughton",oodb bulk loading revisited : the partitioned-list approach,1995
1481,very large data bases,"luis gravano , hector garcia-molina",generalizing gloss to vector-space databases and broker hierarchies,1995
1482,very large data bases,"david b. lomet , mark r. tuttle",redo recovery after system crashes,1995
1483,very large data bases,"erik g. hoel , hanan samet",performance of data-parallel spatial operations,1994
1484,very large data bases,"ada wai-chee fu , david wai-lok cheung",a transaction replication scheme for a replicated database with node autonomy,1994
1485,very large data bases,"diane l. davison , goetz graefe",memory-contention responsive hash joins,1994
1486,very large data bases,"sudarshan s. chawathe , ming-syan chen , philip s. yu",on index selection schemes for nested object hierarchies,1994
1487,very large data bases,"hennie j. steenhagen , peter m. g. apers , henk m. blanken , rolf a. de by",from nested-loop to join queries in oodb,1994
1488,international conference on management of data,"yuh-ming shyy , h. stephen au-yeung , c. p. chou",versant replication : supporting fault-tolerant object databases,1995
1489,international conference on management of data,"d. woelk , b. bohrer , n. jacobs , k. ong , c. tomlinson , c. unnikrishnan",carnot and infosleuth : database technology and the world wide web,1995
1490,international conference on management of data,jim gray,parallel database systems 101,1995
1491,international conference on management of data,rob goldring,things every update replication customer should know ( abstract ),1995
1492,international conference on management of data,kestutis ivinskis,high availability of commercial applications,1995
1493,international conference on management of data,"peter buneman , david maier",the data that you wo n't find in databases : tutorial panel on data exchange formats,1995
1494,international conference on management of data,william l. gettys,directv and oracle rdb : the challenge of vldb transaction processing,1995
1495,international conference on management of data,greg hope,enterprise transaction processing on windows nt,1995
1496,international conference on management of data,corporate the access team microsoft,upsizing form file server to client server architectures,1995
1497,international conference on management of data,kenneth moore,the lotus notes storage system,1995
1498,international conference on management of data,"surajit chaudhuri , umeshwar dayal , tak w. yan",join queries with external text sources : execution and optimization techniques,1995
1499,international conference on management of data,corporate fox development team microsoft,"object-oriented , rapid application development in a pc database environment",1995
1500,international conference on management of data,"serge abiteboul , sophie cluet , tova milo",a database interface for file update,1995
1501,international conference on management of data,"sergey brin , james davis , h &#233; ctor garc &#237; a-molina",copy detection mechanisms for digital documents,1995
1502,international conference on management of data,"steven berson , leana golubchik , richard r. muntz",fault tolerant design of multimedia servers,1995
1503,international conference on management of data,"asit dan , dinkar sitaram",an online video placement policy based on bandwidth to space ratio ( bsr ),1995
1504,international conference on management of data,"craig s. freedman , david j. dewitt",the spiffi scalable video-on-demand system,1995
1505,international conference on management of data,"james j. lu , guido moerkotte , joachim schue , v. s. subrahmanian",efficient maintenance of materialized mediated views,1995
1506,international conference on management of data,"timothy griffin , leonid libkin",incremental maintenance of views with duplicates,1995
1507,international conference on management of data,"yue zhuge , h &#233; ctor garc &#237; a-molina , joachim hammer , jennifer widom",view maintenance in a warehousing environment,1995
1508,international conference on management of data,"gautam bhargava , piyush goel , bala iyer",hypergraph based reorderings of outer join queries with complex predicates,1995
1509,international conference on management of data,"weimin du , ming-chien shan , umeshwar dayal",reducing multidatabase query response time by tree balancing,1995
1510,international conference on management of data,"diane l. davison , goetz graefe",dynamic resource brokering for multi-user query execution,1995
1511,international conference on management of data,"a. prasad sistla , ouri wolfson",temporal conditions and integrity constraints in active database systems,1995
1512,international conference on management of data,"claudio bettini , x. sean wang , elisa bertino , sushil jajodia",semantic assumptions and query evaluation in temporal databases,1995
1513,international conference on management of data,"b. adelberg , h. garcia-molina , b. kao",applying update streams in a soft real-time database system,1995
1514,international conference on management of data,"yannis e. ioannidis , viswanath poosala",balancing histogram optimality and practicality for query result size estimation,1995
1515,international conference on management of data,"wen-chi hou , zhongyang zhang",enhancing database correctness : a statistical approach,1995
1516,international conference on management of data,"ashish gupta , inderpal s. mumick , kenneth a. ross",adapting materialized views after redefinitions,1995
1517,international conference on management of data,"swarup acharya , rafael alonso , michael franklin , stanley zdonik",broadcast disks : data management for asymmetric communication environments,1995
1518,international conference on management of data,"seth j. white , david j. dewitt",implementing crash recovery in quickstore : a performance study,1995
1519,international conference on management of data,"jong soo park , ming-syan chen , philip s. yu",an effective hash-based algorithm for mining association rules,1995
1520,international conference on management of data,"joachim hammer , h &#233; ctor garc &#237; a-molina , kelly ireland , yannis papakonstantinou , jeffrey ullman , jennifer widom","information translation , mediation , and mosaic-based browsing in the tsimmis system",1995
1521,international conference on management of data,"wen-syan li , chris clifton",semint : a system prototype for semantic integration in heterogeneous databases,1995
1522,international conference on management of data,corporate the paradise team,paradise : a database system for gis applications,1995
1523,international conference on management of data,corporate the shore team,shore : combining the best features of oodbms and file systems,1995
1524,international conference on management of data,"j. thomas , s. de &#223; loch , n. mattos",design and implementation of advanced knowledge processing in the kbms krisys,1995
1525,international conference on management of data,"stella gatziu , andreas geppert , klaus r. dittrich",the samos active dbms prototype,1995
1526,international conference on management of data,"e. radeke , r. b &#246; ttger , b. burkert , y. engel , g. kachel , s. kolmschlag , d. nolte",efendi : federated database system of cadlab,1995
1527,international conference on management of data,"daniel a. keim , hans-peter kriegel",visdb : a system for visualizing large databases,1995
1528,international conference on management of data,"jonathan ashley , myron flickner , james hafner , denis lee , wayne niblack , dragutin petkovic",the query by image content ( qbic ) system,1995
1529,international conference on management of data,"a. p. buchmann , a. deutsch , j. zimmermann , m. higa",the reach active oodbms,1995
1530,international conference on management of data,"antonio massari , stefano pavani , lorenzo saladini , panos k. chrysanthis",qbi : query by icons,1995
1531,international conference on management of data,"leon shklar , amit sheth , vipul kashyap , satish thatte",infoharness : a system for search and retrieval of heterogeneous information,1995
1532,international conference on management of data,garth a. gibson,tutorial on storage technology : raid and beyond,1995
1533,international conference on management of data,"t. imielinski , a. virmani",datamine-interactive rule discovery system,1995
1534,international conference on management of data,"stefano ceri , piero fraternali , stefano paraboschi , giuseppe psaila",the algres testbed of chimera : an active object-oriented database system,1995
1535,international conference on management of data,"c. collet , t. coupaye",the naos system,1995
1536,international conference on management of data,"jim melton , nelson mendoca mattos",an overview of the emerging third-generation sql standard,1995
1537,international conference on management of data,donald r. deutsch,objects and sql ( panel session ) : strange relations ?,1995
1538,international conference on management of data,moira c. norrie,integration approaches for cim,1995
1539,international conference on management of data,amit sheth,"workflow automation : applications , technology and research",1995
1540,international conference on management of data,bob gerber,informix online xps,1995
1541,international conference on management of data,"chaitanya baru , gilles fecteau",an overview of db2 parallel edition,1995
1542,international conference on management of data,christos faloutsos,indexing multimedia databases,1995
1543,international conference on management of data,charles levine,order-of-magnitude advantage on tpc-c through massive parallelism,1995
1544,international conference on management of data,michael a. olson,cover your assets,1995
1545,international conference on management of data,janet perna,leveraging the information asset,1995
1546,international conference on management of data,charly kleissner,enterprise objects framework : a second generation object-relational enabler,1995
1547,international conference on management of data,robert atkinson,use of a component architecture in integrating relational and non-relational,1995
1548,international conference on management of data,case squire,data extraction and transformation for the data warehouse,1995
1549,international conference on management of data,herb edelstein,research and products-are they relevant to each other ? ( panel session ),1995
1550,international conference on management of data,clark d. french,one size fits all database architectures do not work for dss,1995
1551,international conference on management of data,sanju k. bansal,real world requirements for decision support-implications for rdbms,1995
1552,acm sigmod record,"arnon rosenthal , len seligman , catherine mccollum , barbara blaustein , bhavani thuraisingham , edward lafferty",data management research at the mitre corporation,1995
1553,acm sigmod record,xiaolei qian,"turmoil at nasa , and numerous funding announcements",1995
1554,acm sigmod record,"tak w. yan , h &#233; ctor garc &#237; a-molina",information finding in a digital library : the stanford perspective,1995
1555,acm sigmod record,"naphtali rishe , wei sun , david barton , yi deng , cyril orji , michael alexopoulos , leonardo loureiro , carlos ordonez , mario sanchez , artyom shaposhnikov",florida international university high performance database research center,1995
1556,acm transactions on database systems ( tods ),"i.-min a. chen , richard hull , dennis mcleod",an execution model for limited ambiguity rules and its application to derived data update,1995
1557,acm transactions on database systems ( tods ),"piero fraternali , letizia tanca",a structured approach for the definition of the semantics of active databases,1995
1558,acm sigmod record,"ralph kimball , kevin strehlo",why decision support fails and how to fix it,1995
1559,acm sigmod record,jeff richey,condition handling in sql persistent stored modules,1995
1560,acm sigmod record,"chiang lee , chia-jung chen , hongjun lu",an aspect of query optimization in multidatabase systems,1995
1561,acm sigmod record,limsoon wong,an introduction to remy 's fast polymorphic record projection,1995
1562,acm sigmod record,joseph fong,mapping extended entity relationship model to object modeling technique,1995
1563,acm sigmod record,byung s. lee,normalization in oodb design,1995
1564,acm sigmod record,"andr &#233; gamache , nadjiba sahraoui",addressing techniques used in database object managers o2 and orion,1995
1565,acm sigmod record,"a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",metu interoperable database system,1995
1566,acm sigmod record,"stavros kokkotos , efstathios v. ioannidis , themis panayiotopoulos , constantine d. spyropoulos",on the issue of valid time ( s ) in temporal databases,1995
1567,acm sigmod record,"evaggelia pitoura , bharat bhargava",a framework for providing consistent and recoverable agent-based access to heterogeneous mobile databases,1995
1568,acm transactions on database systems ( tods ),"dennis shasha , francois llirbat , eric simon , patrick valduriez",transaction chopping : algorithms and performance studies,1995
1569,acm transactions on database systems ( tods ),"yannis e. ioannidis , raghu ramakrishnan",containment of conjunctive queries : beyond relations as sets,1995
1570,acm transactions on database systems ( tods ),weidong chen,query evaluation in deductive databases with alternating fixpoint semantics,1995
1571,acm transactions on database systems ( tods ),"goetz graefe , richard l. cole",fast algorithms for universal quantification in large databases,1995
1572,acm sigmod record,"dac khoa doan , norman w. paton , alistair kilgour",design and user testing of a multi-paradigm query interface to an object-oriented database,1995
1573,acm sigmod record,"patrick o'neil , goetz graefe",multi-table joins through bitmapped join indices,1995
1574,acm sigmod record,"r. maelbrancke , h. olivi &#233;",optimizing jan jannink 's implementation of b + - tree deletion,1995
1575,acm sigmod record,"serge abiteboul , richard hull",response to a close look at the ifo data model,1995
1576,acm sigmod record,matthias jarke,information systems research at rwth aachen,1995
1577,acm sigmod record,"bruce berra , kingsley nwosu , bhavani thuraisingham",acm multimedia '94 conference workshop on multimedia database management systems,1995
1578,acm sigmod record,"ulrike jaeger , johann christoph freytag",an annotated bibliography on active databases ( short version ),1995
1579,acm sigmod record,akmal b. chaudhri,an annotated bibliography of benchmarks for object databases,1995
1580,acm transactions on database systems ( tods ),jan chomicki,efficient checking of temporal integrity constraints using bounded history encoding,1995
1581,acm transactions on database systems ( tods ),"lars baekgaard , leo mark",incremental computation of nested relational query expressions,1995
1582,acm sigmod record,"carl medsker , margaret christensen , il-yeol song",a comparison of three user interfaces to relational microcomputer data bases,1995
1583,acm sigmod record,"gunter schlageter , thomas berkel , eberhard heuel , silke mittrach , andreas scherer , wolfgang wilkes",the database group at university of hagen,1995
1584,international conference on management of data,michael freeston,a general solution of the n-dimensional b-tree problem,1995
1585,international conference on management of data,"dimitris papadias , timos sellis , yannis theodoridis , max j. egenhofer",topological relations in the world of minimum bounding rectangles : a study with r-trees,1995
1586,international conference on management of data,"ambuj shatdal , jeffrey f. naughton",adaptive parallel aggregation algorithms,1995
1587,international conference on management of data,"annita n. wilschut , jan flokstra , peter m. g. apers",parallel evaluation of multi-join queries,1995
1588,international conference on management of data,"mauricio a. hern &#225; ndez , salvatore j. stolfo",the merge/purge problem for large databases,1995
1589,international conference on management of data,"sridhar ramaswamy , paris c. kanellakis",oodb indexing by class-division,1995
1590,international conference on management of data,"walid aref , daniel barbar &#225; , padmavathi vallabhaneni",the handwritten trie : indexing electronic ink,1995
1591,international conference on management of data,"christos faloutsos , king-ip lin","fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets",1995
1592,acm sigmod record,rich finkelstein,the new middleware,1995
1593,international conference on management of data,"hal berenson , phil bernstein , jim gray , jim melton , elizabeth o'neil , patrick o'neil",a critique of ansi sql isolation levels,1995
1594,international conference on management of data,"lory d. molesky , krithi ramamritham",recovery protocols for shared memory database systems,1995
1595,international conference on management of data,"atul adya , robert gruber , barbara liskov , umesh maheshwari",efficient optimistic concurrency control using loosely synchronized clocks,1995
1596,international conference on management of data,"alexander brodsky , yoram kornatzky",the lyric language : querying constraint objects,1995
1597,international conference on management of data,"leonidas fegaras , david maier",towards an effective calculus for object query languages,1995
1598,international conference on management of data,"georges gardarin , fernando machuca , philippe pucheral",ofl : a functional execution model for object query languages,1995
1599,international conference on management of data,"nick roussopoulos , stephen kelley , fr &#233; d &#233; ric vincent",nearest neighbor queries,1995
1600,acm sigmod record,michael h. b &#246; hlen,temporal database system implementations,1995
1601,acm sigmod record,"arie segev , christian s. jensen , richard thomas snodgrass",report on the 1995 international workshop on temporal databases,1995
1602,acm sigmod record,"murali venkatrao , michael pizzo",sql/cli-a new binding style for sql,1995
1603,acm sigmod record,"susanne englert , ray glasstone , waqar hasan",parallelism and its price : a case study of nonstop sql/mp,1995
1604,acm sigmod record,"p. drew , b. hamidzadeh , k. karlapalem , a. kean , d. lee , q. li , f. lochovsky , c. d. shum , b. wuthrich",data and knowledge base research at hong kong university of science and technology,1995
1605,acm sigmod record,corporate national technical univ. of athens,the database group at national technical university of athens ( ntua ),1995
1606,acm sigmod record,doug stacey,"replication : db2 , oracle , or sybase ?",1995
1607,acm sigmod record,xiaolei qian,"opportunities at arpa , nsf , and elsewhere",1995
1608,acm sigmod record,"margaret h. dunham , abdelsalam helal",mobile computing and databases : anything new ?,1995
1609,acm transactions on database systems ( tods ),"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",space optimization in deductive databases,1995
1610,acm sigmod record,"ahmed elmagarmid , jin jing , tetsuya furukawa",wireless client/server computing for personal information services and applications,1995
1611,acm sigmod record,"brian d. noble , m. satyanarayanan",a research status report on adaptation for mobile data access,1995
1612,acm sigmod record,"rafael alonso , yuh-lin chang , liviu iftode , v. s. mani",managing video data in a mobile environment,1995
1613,acm sigmod record,"ouri wolfson , prasad sistla , son dao , kailash narayanan , ramya raj",view maintenance in mobile computing,1995
1614,acm sigmod record,&#214; zg &#252; r ulusoy,an annotated bibliography on real-time database systems,1995
1615,acm sigmod record,"bharat bhargava , melliyal annamalai , evaggelia pitoura",digital library services in mobile computing,1995
1616,international conference on management of data,bruce e. martin,coss : the common object services specifications,1994
1617,international conference on management of data,krishna g. kulkarni,object-oriented extensions in sql3 : a status report,1994
1618,international conference on management of data,"andrew laursen , jeffrey olkin , mark porter",oracle media server : providing consumer based interactive access to multimedia data,1994
1619,international conference on management of data,"alex gorelik , yongdong wang , mark deppe",sybase replication server,1994
1620,international conference on management of data,daniel j. dietterich,dec data distributor : for data replication and data warehousing,1994
1621,international conference on management of data,"dean daniels , lip boon doo , alan downing , curtis elsbernd , gary hallmark , sandeep jain , bob jenkins , peter lim , gordon smith , benny souder , jim stamos",oracle 's symmetric replication technology and implications for application design,1994
1622,international conference on management of data,michael j. carey,parallel database systems in the 1990 's,1994
1623,international conference on management of data,"shaul dar , raghu ramakrishnan",a performance study of transitive closure algorithms,1994
1624,international conference on management of data,phillip m. fernandez,red brick warehouse : a read-mostly rdbms for open smp platforms,1994
1625,international conference on management of data,susanne englert,nonstop sql : scalability and availability for decision support,1994
1626,international conference on management of data,carrie ballinger,evolving teradata decision support for massively parallel processing with unix,1994
1627,international conference on management of data,david vaskevitch,database in crisis and transition : a technical agenda for the year 2001,1994
1628,international conference on management of data,hamid pirahesh,object-oriented features of db2 client/server,1994
1629,international conference on management of data,michael ubell,the montage extensible datablade architecture,1994
1630,international conference on management of data,won kim,unisql/x unified relational and object-oriented database system,1994
1631,international conference on management of data,r. g. g. cattell,odmg-93 : a standard for object-oriented dbmss,1994
1632,international conference on management of data,"a. kemper , g. moerkotte , k. peithner , m. steinbrunn",optimizing disjunctive queries with expensive predicates,1994
1633,international conference on management of data,c &#233; sar a. galindo-legaria,outerjoins as disjunctions,1994
1634,international conference on management of data,"v. christophides , s. abiteboul , s. cluet , m. scholl",from structured documents to novel query facilities,1994
1635,international conference on management of data,joseph m. hellerstein,practical predicate placement,1994
1636,international conference on management of data,"anthony tomasic , h &#233; ctor garc &#237; a-molina , kurt shoens",incremental updates of inverted lists for text document retrieval,1994
1637,international conference on management of data,"mariano p. consens , tova milo",optimizing queries on files,1994
