publication_id,journal_name,paper_authors,work_title
25844,"inc. , seattle ,",v s-plus,3.1 . ( 1993 ) . statistical sciences
25845,,"r lee , w li",floer homologies of rational homology 3-spheres
25846,"proc . 29th indian sci . cong ,",a bhattacharrya,on discrimination and divergence
25847,,"l hartmut , d suciu",xmill : an efficient compressor for xml data
25848,"thesis . athens , greece : national and kapodistrian university of",ac katoulis,a contribution to the study of the histopathology and aetiopathogenesis of civatteâ ?? s poikiloderma
25849,,"r potter , d maulsby",a test suite for programming by demonstration
25850,"ieee design & test ,",w wolf,guest editor 's introduction : hardware-software codesign
25851,"journal of emergency medicine ,",to stair,reduction of redundant laboratory orders by access to computerized patient records
25852,,"nl britton , a brown",an illustrated flora of the northern united states and canada
25853,,r ford,can work incentives pay for themselves ? : final report on the self-sufficiency project for welfare
25854,"& hellip ; d28 , proceedings of the 23rd international symposium on","hg wahl , c peterfi , a hoffmann , hm liebich",analysis of plasticizers and their metabolites in body fluids and infusates by stir bar sorptive
25855,,"eo schweitzer iii , jj kumm",statistical comparison and evaluation of pilot protection schemes
25856,"md ,",ms brown,"md , and jl goldstein"
25857,"proceedings of journees dâ ?? analyse statistique des donnees & hellip ; ,","p bouillon , rh baud , g robert , p ruch",indexing by statistical tagging
25858,acm sigmod record special issue on semantic issues in,ap sheth,1991
25859,proc . 29th eur . microwave,"g sommerkamp , d hampicke , r klukas , a richter , a",reduction of doa estimation errors caused by antenna array imperfections
25860,"new directions for adult and continuing education ,",aw zelman,nurturing intuition through group learning
25861,"see ref ,","aw smith , gr needham",a new technique for the rapid removal of tracheal mites from honey bees for biological studies and
25862,"contributions to geometry ,",r schneider,boundary structure and curvature of convex bodies
25863,,"t nordstrã ¶ m , m sã ¶ derstrã ¶ m , o hanseth",business development in it-dependent organisations
25864,27th international conference on very large data,"j van den bercken , bb jp","dittrich , j. kramer , t. schafer , m. schneider , and b. seeger . xxl-a library approach to supporting"
25865,"proceedings of the 24th acm sigplan-sigact symposium on & hellip ; ,","f nielson , hr nielson",infinitary control flow analysis : a collecting semantics for closure analysis
25866,,v basic,online dokumentation
25867,"computerworld. ,",d nadeau,optical disks .
25868,"deixis consultants , seattle , washington . v ,","tj frest , ej johannes","mollusk survey of southwestern oregon , with emphasis on the rogue and umpqua river drainages"
25869,,j gray,database and transaction processing benchmarks
25870,proc . acm sigmod,y zhao,"pm deshpande , jf naughton , a. shukla , â ?? simultaneous optimization and evaluation of multiple"
25871,"university of zurich , zurich , switzerland ,",r llano,md thesis
25872,proc .,"r halir , j flusser",numerically stable direct least squares fitting of ellipses
25873,"proceedings of ion gps ,","y gao , z li",ionosphere effect and modeling for regional area differential gps network
25874,,"j choi , d hindle , j hirschberg , i magrin -",scan-speech content based audio navigator : a systems overview
25875,"ieee computer ,",gh forman,john zahorjan the challenges of mobile computing
25876,proceedings of the 1995 acm sigmod international conference,"h berenson , p bernstein , j gray , jme oã cents",neil und p. oã cents â ? ¬ â ? cents neil : a critique of ansi sql isolation levels
25877,"proceedings of the 1990 acm sigmod international conference & hellip ; ,","r king , a morfeq",bayan : an arabic text database management system
25878,,"t asfour , k berns , j schelling , r dillmann",programming of manipulation tasks of the humanoid robot armar
25879,"journal of personality and social psychology ,","d butler , fl geis",nonverbal affect responses to male and female leaders : implications for leadership evaluations
25880,,"g lin , vi wu , re hainley , la flanagan , es monuki ,",development of a mems microsystem to study the effect of mechanical tension on cerebral cortex
25881,"see ref ,",pm weil,the introduction of the ox plow in central gambia
25882,"proceedings of international conference in management & hellip ; ,","kf pun , ws ma",using qfd and hoshin techniques for quality strategy deployment : a study in engineering laboratories
25883,"new directions for teaching and learning : teaching writing & hellip ; ,","jc bean , d drenk , fd lee",microtheme strategies for developing cognitive skills
25884,,"m gamon , e ringger , s corston-oliver",amalgam : a machine-learned generation module
25885,,"md matthews , a pechenik",rapid hot-pressing of ultrafine psz powders
25886,"bt technology journal ,",td parker,bt 's mobile joint ventures and alliances
25887,"proceedings acm sigmod , pages ,","e chang , r katz",exploiting inheritance and structure semantics for effective clustering in an object-oriented
25888,"proceedings of the 1997 acm sigmod international conference & hellip ; ,","p seshadri , m paskin",predator : an or-dbms with enhanced data types
25889,"& hellip ; 1998 . northeast research and demonstration farm . isrf98â ?? 13 & hellip ; ,","ap mallarino , k pecinovsky",effects of crop rotation and nitrogen fertilization on crop production over a 20-year period . p. 13 -
25890,"budapest , hungary ,","a albani , b bazijanec , k turowski , c winnewisser",". 8th east-european conference on advances in databases and information systems ( adbis-04 ) , 22-25"
25891,"cochrane database syst rev ,",k mahomed,iron supplementation in pregnancy
25892,,"t ham , pc woodland , tr niesler , ewd whittaker",the 1998 htk system for transcription of conversational telephone speech
25893,volume i :,"de rumelhart , ge hinton , rj williams",parallel distributed processing : explorationsin the microstructureof cognition
25894,,c van loan,"computational frameworks for the fast fourier transform , society for industrial and applied"
25895,,j nowotny,interface segregation and related processes in materials
25896,"proceedings of the 2005 acm sigmod international conference & hellip ; ,","g cong , kl tan , akh tung , x xu",mining top-k covering rule groups for gene expression data
25897,"santa barbara , california : abc-clio ,","d elliot , de cohen",journalism ethics
25898,,f hospitality,"of caves ; nothing but mountains , snow , and water . i slept up there , with stones for my pillow"
25899,"journal of emergency medicine ,","jm poponick , jp renston , cl emermanâ ? ¦",successful use of nasal bipap in three patients previously requiring intubation and mechanical
25900,"new directions for higher education ,",s westerman,how total quality management initiatives can inspire leadership .
25901,"new directions for higher education ,",de mchenry,"university of california , santa cruz ."
25902,"vldb conference ,",y raz,the principle of commitment ordering
25903,,"p curtis , t heiserman , d jobusch , m notess , j webb","customer-focused design data in a large , multi-site organization"
25904,"procs . of the 4th japan-france congress & 2nd asia-europe & hellip ; ,","k takahashi , s aoyagi , m takano",study on a fast profiling task of a robot with force control using feedforward of predicted contact
25905,"proceedings of international conference on very large data & hellip ; ,","m kitsuregawa , y ogawa",bucket spreading parallel hash : a new parallel hash join method with robustness for data skew in
25906,"bt technology journal ,","s pyzer , p williams , d richards",applying the bt operational support systems architecture
25907,demonstrated at,"b kiepuszewski , r muhlberger , m orlowska","flowback : providing backward recovery for workflow management systems , june 1998"
25908,"proceedings of acm siggraph ,","jub ullmer , h ishii",emancipated pixels : real-world graphics in the luminous room
25909,,r hebden,anyone who would like to review resources for
25910,"acm transactions on database systems ,","p ammann , s jajodia , i ray",applying formal methods to semantic-based decomposition of transactions
25911,"see ref ,",j clarke,pessimism versus populism : the problematic politics of popular culture
25912,"new directions in teaching and learning , â ?? l. wilkerson and & hellip ; ,",dr woods,implementing pbl in a large class and as part of a conventional program
25913,,"pb gibbons , y matias",new sampling-based summary statistics for improving approximate query answers . pages 331 -- 342
25914,"social studies and the young learner ,",jl barth,developing and applying the study of comparative cultures .
25915,"san diego ,","wj baumol , jc panzar , rd willig","contestable markets and the theory of industry structure , revised edition"
25916,proc . 29th eur . conf . optical,"a cucinotta , f poli , s selleri",dual-pumping schemes for efficient thulium-doped tellurite fiber amplifiers
25917,"ieee computer ,","b germinal , r pierre",a software system evaluation framework
25918,microsoft,"t barclay , j gray , d stuz",microsoft terraserver : a spatial data warehouse . 1999
25919,"proc . of acm sigmod intâ ?? l conference ,",a guttman,r-trees : a dynamical index structure for spatial searching
25920,"lecture notes in computer science ,",t ledouxâ ? ¦,opencorba : a reflective open broker
25921,"journal of emergency medicine ,","lap wellford , tm kelly",survival with acute primary coronary artery dissection : a case report and review of the literature
25922,,"a monk , l watts",peripheral participants in mediated communication
25923,electronic,"b biggs , r clark",ndpollex : comparative polynesian lexicon
25924,proceedings of the 29th international conference on very,"r weber , c schuler , p neukomm , h schuldt","und schek , h.-j. : web service composition with oâ ?? grape and osiris"
25925,"proceedings of the 1987 acm sigmod international conference & hellip ; ,",m morgenstern,security and inference in multilevel database and knowledge-base systems
25926,"proc . 29th cdc , honolulu ,",y yamamoto,a new approach to sampled data control systemsâ ?? a function space approach
25927,"cochrane database syst rev ,","l gowing , r ali , j white",buprenorphine for the management of opioid withdrawal
25928,"microsoft technical report , ms-tr-2000-55 , june","l chung , b worthington , r horst , j gray",windows 200 disk io performance
25929,"proceedings of inst . mech eng part d ,","c manzie , m palaniswami , h watson",intelligent fuel injection control using neural networks
25930,"phil . mag ,",eh ratcliffe,the thermal conductivity of ice : new data on the temperature coefficient
25931,"computer networks ,","w noureddine , f tobagi",improving the performance of interactive tcp applications using service differentiation
25932,"genes to cells ,","k tomita , s nakanishi , f guillemot , r kageyama",mash1 promotes neuronal differentiation in the retina
25933,"journal of personality and social psychology ,","jk rempel , m ross , jg holmes",trust and communicated attributions in close relationships
25934,proc . of the acm sigmod intâ ?? l,jo elizabeth,"â ?? nail , patrick e. oâ ?? neil , and gerhard weikum , the lru-k page replacement algorithm for database"
25935,"proc acm group ,","t mansfield , s kaplan , g fitzpatrick , tf phelps","m. taylor , r. evolving orbit : a process report on building locales"
25936,,"y vlachos , y grammatikakis , v karapanagiotis , p","physics , lyceum aâ ?? class"
25937,microsoft technical,"l lovasz , s vempala",where to start a geometric walk
25938,,eb safran,channel network incision and patterns of mountain geomorphology
25939,"proc 7th intâ ?? l conf vldb ,",m brodle,on modelhng behavloural semantics of data
25940,,"mj benner , ml tushman","exploitation , exploration , and process management : the productivity dilemma revisited"
25941,"international conference on bear research and management ,",am manville,human impact on the black bear in michigan 's lower peninsula
25942,,l behounek,fuzzification of groenendijk-stokhof propositional erotetic logic
25943,,"jc eccles , m ito , j szentã ¡ gothai",the cerebellum as a neuronal machine
25944,,n liebergott,tappi pulp . conf
25945,"bt technology journal ,",dd milne,recent bt patents
25946,,j miller,housework as work
25947,"seattle , washington , june ,","jm song , wc chew","moment method solution using parametric geometry , '' 1994 international ieee ap-s symposium digest ,"
25948,,m ridley,the red queen : sex and the evolution of human nature
25949,at .,"av gorin , yz kandiev , ym kazâ ?? min",computational investigation of physical processes in the igr reactor using the prizma . d program
25950,"genes to cells ,","h yoshikawa , s taniguchi , h yamamura , s mori , m",mice lacking smooth muscle calponin display increased bone formation that is associated with
25951,,"c collberg , e carter , s debray , a huntwork , j",dynamic path-based software watermarking
25952,"submitted for publication ,","p hammond , jc davenport",eliciting and modelling the design knowledge of multiple experts
25953,"vldb ,",r blankinship,an iterative method for distributed database design
25954,"computerworld ,",l wilson,the skill drill
25955,"& hellip ; conference on environmental education . zurich , switzerland ,","m ranney , s adams , m siegel , s brem",reasoning about the environment : prototypical cases and their educational implications
25956,"phil . mag ,",l rayleigh,on the production of vibrations by forces of relatively long duration with application to the theory
25957,proc . acm,"v paxson , s floyd",wide area trafficâ ?? the failure ofâ ?? poisson modehng
25958,,"p kemper , da long , cvd thornton , rg hollister",the supported work evaluation : final benefit-cost analysis
25959,"ecology and environment , inc. , seattle ,",je doty,"april 19 , 2000 , hydromet manager , united states bureau of reclamation , boise , idaho , personal"
25960,"proc . 26th symp . int . combustion . combustion institute , & hellip ; ,","bc fan , hz li",detonation supported by a combustible deposit
25961,"new directions for teaching and learning ,",rm diamond,defining scholarship for the twenty-first century
25962,"urban geography ,",g valentine,children should be seen and not heard : the production and transgression of adults ' public space
25963,,"o riedel , r breining , h scharm",how to use virtual environments for engineering projects
25964,,"t partearroyo , g la cava","san sebastiã ¡ n ; madrid : festival internacional de cine de san sebastiã ¡ n ; filmoteca espaã ± ola , 1995 ."
25965,"new directions for adult and continuing education ,","my lee , v sheared",socialization and immigrant students ' learning in adult education programs
25966,"cochrane database syst rev ,","b moehrer , a hextall , s jackson",oestrogens for urinary incontinence in women
25967,"electronic library ,",h king,walls around the electronic library
25968,,"l goldstein , m pouplier , l chen , e saltzman , d",gestural action units slip in speech production errors
25969,,"kp kã ¶ rding , i fukunaga , d wolpert",a neuroeconomics approach to measuring human loss functions
25970,"biology of the integument ,",m whitear,the skin of fishes including cyclostomes : epidermis
25971,,"p baccini , ph brunner",metabolism of the anthroposphere
25972,"vols . i ,",jm keynes,the collected writings ( cw . ) of maynard keynes
25973,proceedings of acm sigmod,"t imielinski , s viswanathan , br badrinath",indexing on air
25974,,"bj srikanta , j haritsa",design and implementation of a biodiversity information management system
25975,"lancet i ,","da price , pt klouda , r harris",hla and congenital adrenal hyperplasia linkage confirmed
25976,,"b lebaron , a lo , j taylor",are stock prices stable
25977,,"dc hanna , ma yuratich , d cotter",nonlinear optics of free atoms and molecules
25978,"proc . the 20th vldb ,","r agrawal , r srikant",fast algo . for mining assoiciation rules
25979,"proceedings of ausweb ,",s alexander,teaching and learning on the world wide web
25980,"proc . of acm mobicomâ ?? 97 ,","t harrison , c williamson","w. mackrell and r. bunt , mobile multicast ( mom ) protocol : multicast support for mobile hosts"
25981,"new directions for adult and continuing education ,",e tisdell,"feminism and adult learning : power , pedagogy , and praxis ."
25982,"proc . int . test conf ,",ac miller,iddq testing in deep submicron integrated circuits
25983,,f dostoevsky,notes from the underground
25984,"the histochemical journal ,","cjp jones , cj kirkpatrick , rw stoddart",an ultrastructural study of the morphology and lectin-binding properties of human mast cell granules
25985,"electronic design ,","j molinari , c preston",personal computers play host to board array processors
25986,,"d hoffmann , ew knapp",folding pathways of a helix-turn-helix model protein
25987,,w wu,implementation of multiwavelength information processing using optical wave mixing
25988,"proc . of the acm sigmod con-ferrncc on man , agement of",r agra,"wal , t. imielinski , and a. swami . mining associa . t. ion rules between sets of items in large dat ,"
25989,"unpublished manuscript ,","o veichtlbauer , e hanser , a zeileis , f leisch",the impact of policy interventions on a pre-industrial population system in the austrian alps
25990,"san diego ,",wh schlesinger,biogeochemistry : an analysis of global change : academic press
25991,"lecture notes in computer science ,","v blanz , b schoelkopf , h buelthoff , c burges , v",comparison of view-based object recognition algorithms using realistic 3d models
25992,"ieee computer ,",o serlin,fault-tolerant systems in commercial applications
25993,"technical report , department of statistics , stanford",dl donoho,"andjohnstone , im ( 1992a ) minimaxestimationviawaveletshrinkage"
25994,proceedings of the 1995 acm sigmod international conference,"j park , m chen , p yu",an effective hash algorithm for mining association rules
25995,"cochrane database syst rev ,","d gill , s hatcher",antidepressants for depression in medical illness
25996,"geography ,",r gant,transport for the disabled
25997,"& hellip ; conference on informatics , athens , greece . available at : www & hellip ; ,","n vassilas , s perantonis , e charou , s varoufakis ,",neural networks for fast and efficient classification of multispectral remote sensing data
25998,"new directions for teaching and learning ,",jm reid,which non-native speaker ? differences between international students and us resident ( language
25999,"proc . 28th asilomar conference , pacific grove , october ,",hp chen,"graf , and k. wang , speech assisted video processing : interpolation and lowâ bitrate coding"
