beer_key,brewery,beer_style_name,beer_type
75,Ladyface Ale Companie,Ladyface Reyes Adobe Imperial Red,American Strong Ale
76,Minneapolis Town Hall Brewery,Town Hall Festivus 2014,Irish Ale
77,Colorado Mountain Brewery,Colorado Mountain Ole 59er Amber Ale,Amber Ale
78,Echo Brewing Company,Echo Indian Red Ale,Irish Ale
79,Mother Earth Brew Company,Mother Earth Righteously Hopped Red IPA,India Pale Ale &#40; IPA &#41;
80,Bike Dog Brewing Company,Bike Dog Lost and Found,Black IPA
81,Big Bear Brewing Company,Big Bear Grizzly Red Ale,Amber Ale
82,Middleton Brewing,Middleton Bobcat Imperial Red,American Strong Ale
83,City Star Brewing,City Star Red Necktar,Amber Ale
84,Brass Cannon Brewing,Brass Cannon Muzzle Flash Amber Ale,Amber Ale
85,Five Points Brewing Company,Five Points Hook Island Red,Amber Ale
86,Beaus All Natural Brewing Co. .,Beaus Haters Gon na Hate,KÃ ¶ lsch
87,Hudson Brewing Company,American Sky Bomber Series # 3 - Red Tail Oktoberfest,Oktoberfest/M Ã $ rzen
88,Sierra Madre Brewing Co. ( Mexico ),Ocho Reales Ale,Brown Ale
89,Hudson Brewing Company,American Sky Amber Salute,Amber Ale
90,Lagunitas Brewing Company &#40; Heineken &#41;,Lagunitas Imperial Red Ale,American Strong Ale
91,Coors Brewing Company &#40; MillerCoors &#41;,Blue Moon Spiced Amber Ale,Spice/Herb/Vegetable
92,Burnside Brewing Company &#40; OR &#41;,Burnside Too Sticky to Roll,India Pale Ale &#40; IPA &#41;
93,Angry Chair Brewing,Angry Chair Let My Peaches Be,Sour/Wild Ale
94,River City &#40; CA &#41; Brewing,River City &#40; CA &#41; Woodenhead Ale,Amber Ale
95,Uncle Billys Brew & Que Smokehouse & Brewery,Uncle Billys Hill Country Organic Amber,Amber Ale
96,Chama River Brewing Company,Chama River Sunset Red,Amber Ale
97,Custom Brewcrafters,Three Heads Loopy Oatmeal Red Ale,Amber Ale
98,Rockfish Grill & Anacortes Brewery,Anacortes Especial Red Ale,Amber Ale
99,Liberty Brewery & Grill - High Point,Liberty High Point Rocket_s Red Ale,Irish Ale
100,Blue Dog Mead Company,Blue Dog Red Collar Mead,Mead
101,Crooked Can Brewing Company,Crooked Can Captain McSwaggers,Stout
102,Dragonmead Brewery,Dragonmead Crooked Door Amber Ale,Amber Ale
103,Lilys Seafood Restaurant & Brewery,Lilys Reggies French River Red Ale,Amber Ale
104,Avery Brewing Company,Avery Red Table Common,California Common
105,Bristol Brewing Company,Bristol Skull & Bones Flanders Red,Sour Red/Brown
106,Barley Forge Brewing Company,Barley Forge El Paisano,Amber Ale
107,Alpine Dog Brewery,Alpine Dog Hogback Amber Ale,Amber Ale
108,Gold Camp Brewing Company,Gold Camp Georgia_s Agave Amber Ale,Amber Ale
109,Area 51 Craft Brewery,Area 51 Planet Red Ale,German Hefeweizen
110,Columbus Brewing Company,Columbus Kashmir,Amber Ale
111,Bull City Burger and Brewery,Bull City Reel Amber,Amber Ale
112,Solvang Brewing Company,Solvang Dansk Amber Ale,Amber Ale
113,Shipyard Brewing Company,Peak Organic Espresso Amber Ale,Amber Ale
114,Adirondack Pub and Brewery,Adirondack Bobcat Blonde Lager,Golden Ale/Blond Ale
115,San Luis Valley Brewing Company,San Luis Valley Alamosa Amber,Amber Ale
116,Roundabout Brewery,Roundabout Rusted Route Amber Ale,Amber Ale
117,Iron Hill Lancaster,Iron Hill Big Rye Wibby,American Strong Ale
118,4 Hands Brewing Company,4 Hands Vigilante,Amber Lager/Vienna
119,Boxing Cat Brewery,Boxing Cat Dragons Fire Doppelbock,Doppelbock
120,Hamburg Brewing Company,Hamburg House Dressing,Amber Ale
121,Green Man Brewery,Green Man Blood of My Enemies,Amber Ale
122,Allendale,Allendale Evening Chronicle Christmas Beer,Bitter
123,14th Star Brewing Company,14th Star Maple Session Brown Ale,Brown Ale
124,Laguna Beach Brewing,Laguna Beach Grateful Red Imperial Red Ale,American Strong Ale
125,Kettle House Brewing Company,Kettle House Lake Missoula Amber,Amber Ale
126,5 Seasons North,5 Seasons North Ossabaw Island Ale,Belgian Strong Ale
127,Invercargill Brewery,Yeastie Boys Hud-a-wa _ Strong,Scottish Ale
128,Haymarket Pub & Brewery,Haymarket Jananna Dance Red Headed Ale,Amber Ale
129,Independence Brewing Co. .,Independence Brewing ROOD,India Pale Ale &#40; IPA &#41;
130,Abbeydale,Abbeydale Moonshine,Golden Ale/Blond Ale
131,Lawson_s Finest Liquids,Lawson_s Finest Equinox Extra XPA,American Strong Ale
132,Woodcock Brothers Brewing Company,Woodcock Brothers Amber Ale # 1,Amber Ale
133,Blind Tiger,Blind Tiger Little Red Corvette,Amber Ale
134,Modus Operandi Brewing Co. .,Modus Operandi Former Tenant,India Pale Ale &#40; IPA &#41;
135,Glasstown Brewing Company,Glasstown Founders Ale,American Strong Ale
136,Mountain Toad Brewing,Mountain Toad Apex Amber,Amber Ale
137,DaDo Bier,DaDo Bier Red Ale,Belgian Ale
138,Coalition Brewing,Coalition Simple India Style Session Ale,Session IPA
139,Downtown Joes Restaurant & Brewery,Downtown Joes Tail Waggin Amber Ale,Amber Ale
140,Oland Brewery &#40; AB-InBev &#41;,Alexander Keiths Red &#40; Amber Ale &#41;,Amber Ale
141,Denizens Brewing Company,Denizens Big Red Norm,Amber Ale
142,Coastal Empire Beer Co. .,Coastal Empire Southern Delight,Amber Ale
143,Big Island Brewhaus,Big Island / Caldera Red Sea Imperial Red Gose,American Strong Ale
144,Blue Pants Brewery,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Amber Ale
145,Roosters Brewing Co. &#40; US &#41;,Roosters Brewing Two-Bit Amber,Amber Ale
146,Church Street Brewing Company,51st Ward Conscious Sedation,Brown Ale
147,Great Baraboo Brewing Company,Great Baraboo Snake Eye Canyon Red Ale,Amber Ale
148,Bold City Brewery,Bold City European Street Cafe Lamp Post Ale,Amber Ale
149,River Horse Brewing Company,River Horse Special Ale,Amber Ale
150,Adkin,Adkin Alfred_s Galaxy,Golden Ale/Blond Ale
151,Boxing Cat Brewery,Boxing Cat Ringside Red,Amber Lager/Vienna
152,Cucamonga Brewing Company,Cucamonga Jacked Up Red,American Strong Ale
153,North Star Craft Brewery,North Star Horizons Amber Ale,Amber Ale
154,3 Stars Brewing Company,3 Stars Lime Basil Saison &#40; Coconut &#41;,Saison
155,Ipswich Ale Brewery,White Lion Insane Mane Red Ale,Amber Ale
156,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,Elk Rock Velvet Antler Amber Ale,Amber Ale
157,Abita Brewing Company,Abita Mint Julep Turbodog,Brown Ale
158,Sockeye Brewing,Sockeye Angels Perch Amber,Amber Ale
159,Crazy Mountain Brewing Company,Crazy Mountain Amber Ale,Amber Ale
160,Double Barley Brewing,Double Barley Give _ Em Hell,American Strong Ale
161,Old Schoolhouse Brewery,Old Schoolhouse Blazing Amber,Amber Ale
162,Pizza Boy Brewing,Pizza Boy Journeymen,Amber Ale
163,Adnams,Adnams / Devils Backbone American Amber,Amber Ale
164,350 Brewing Company,350 El Scorcho Belgian Amber,Belgian Ale
165,Kingdom Brewing,Kingdom Round Barn Red,Amber Ale
166,Kassiks Brewery,Kassiks Orion_s Quest Red Ale,Amber Ale
167,Lynnwood Grill & Brewing Concern,Lynnwood Bill & Ted_s Excellent Amber,Amber Ale
168,Lakewood Brewing Company,Lakewood Manimal,Amber Ale
169,Fair Winds Brewing Company,Fair Winds Running Light Red,Belgian Ale
170,Blind Tiger,Blind Tiger Holy Grail Pale Ale,American Pale Ale
171,Prescott Brewing Company,Prescott Manzanita Red,Amber Ale
172,Tahoe Mountain Brewing Company,Tahoe Mountain Ranch Dog Red,Amber Ale
173,Vancouver Island Brewery,Vancouver Island High Trail Honey Ale,Amber Ale
174,Bottle Logic Brewing,Bottle Logic Imperial REDioactive,American Strong Ale
175,Books & Brews,Books & Brews Shogun Soba Ale,Specialty Grain
176,Island Hoppin _ Brewery,Island Hoppin _ Old Madrona,American Strong Ale
177,Modern Times Beer,Modern Times Mega Blazing World,Imperial IPA
178,5 Seasons Brewing Company,5 Seasons Big Horn Bock,Dunkler Bock
179,Squatters Craft Beers,Squatters Respect Your Mother Organic Amber Ale,Amber Ale
180,ZOE - Birrificio Trunasse,Birrificio Trunasse Zoe,Golden Ale/Blond Ale
181,Coronado Brewing Company,Coronado Monk In Tha Trunk,Belgian Ale
182,Jackie O_s Pub & Brewery,Jackie O_s Smoke Ya Oats,Smoked
183,Bog Iron Brewing,Bog Iron Slap Happy Rye Amber,Amber Ale
184,Harvest Moon Brewery &#40; NJ &#41;,Harvest Moon OQ Coffee Porter &#40; Frangelico Coffee w / Hazelnut &#41;,Porter
185,Amnesia Brewing,Amnesia Crystal Red Ale,Amber Ale
186,Twelve Bar Brews,Twelve Bar Brews Turnaround Northwest Red Ale,Amber Ale
187,Wicked Weed Brewing,Wicked Weed Wicked Tea Party,Amber Ale
188,Genesee Brewing Company &#40; North American Breweries &#41;,Tap Room No. 21 Moe_s Backroom Amber Ale,Amber Ale
189,Brodies,Brodies Shoreditch Sunshine,Golden Ale/Blond Ale
190,Bloodline Brewing Company,Bloodline Through Silver In Blood Red Ale,Amber Ale
191,Renaissance Brewing,8 Wired Mighty Imperial Ale,American Strong Ale
192,Combe Martin,Coombe Martin Hangmans Bitter,Premium Bitter/ESB
193,Seven Brides Brewing Company,Seven Brides Emily_s Ember,Amber Ale
194,Founders Brewing Company,Founders Barrel Aged Red_s Rye,Specialty Grain
195,Bagby Beer Company,Bagby Hop Whompus,American Strong Ale
196,Crank Arm Brewing,Crank Arm Reflector,Irish Ale
197,F.X. Matt Brewing Company,Kirkland Signature Amber Ale,Amber Ale
198,Banks Barbados Brewery,Banks Amber Ale,Golden Ale/Blond Ale
199,Glutenberg Craft Brewery,Glutenberg 8,Specialty Grain
200,JoBoy_s Brew Pub,JoBoy_s Manheim Red,Amber Ale
201,7 Seas Brewing,7 Seas Ballz Deep Double IPA,Imperial IPA
202,WharfeBank,Firestorm Red Angel,Amber Ale
203,Granite Falls Brewing Company,Granite Falls Bushfire American Red Ale,Amber Ale
204,Canteen Brewhouse &#40; was Il Vicino Pizzeria and Brewery &#41;,Il Vicino Dougie Style Amber,Amber Ale
205,Purrumbete Brewing,Red Duck Hoppy Amber,Amber Ale
206,Imperial Oak Brewing,Imperial Oak Roil Red,Amber Ale
207,Black Forest Brau Keller,Black Forest Brau Keller Grateful Red,Amber Ale
208,Parallel 49 Brewing Company,Parallel 49 Gypsy Tears Ruby Ale,Amber Ale
209,Cigar City Brewing,Brew Bus Rollin Dirty Red Ale - Cedar Aged,Irish Ale
210,Dead Frog Brewery,Fuggles & Warlock Hyper Combo Red Rye IPA,American Strong Ale
211,Lion Brewery,American Honor Declaration Ale,American Pale Ale
212,Bilbos Pizza In A Pan,Bilbos Dragon Red Ale,Irish Ale
213,Americas Brewpub,Americas American Red Ale,Amber Ale
214,Phat Matt_s Brewing Company,Phat Matt_s Red Ale,Amber Ale
215,Seabright Brewery,Seabright Sacrilicious Ale,American Strong Ale
216,Good People Brewing Company,Good People Stepchild Belgian India Red Ale,India Pale Ale &#40; IPA &#41;
217,Black Sky Brewery,Black Sky Imperial Petal to the Metal,Spice/Herb/Vegetable
218,Phillips Brewing Co. .,Phillips Double Dragon Imperial Red Ale,American Strong Ale
219,Blue Corn Brewery &#40; Santa Fe &#41;,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Amber Ale
220,Fitgers Brewhouse,Fitgers Daisy Ale,Amber Ale
221,Council Rock Brewery,Council Rock Sleeping Lion Red Ale,Irish Ale
222,Columbia Brewery &#40; Labatt-InBev &#41;,Kootenay True Ale,Amber Ale
223,Gonzo_s BiggDogg Brewing,Gonzo_s BiggDogg Burning Sun Redd,Amber Ale
224,Ballast Point Brewing Company,Ballast Point Calico Amber Ale - Coffee,Amber Ale
225,Abbey Ales,Abbey Cardinal Sin,English Strong Ale
226,Alameda Brewing Co. .,Alameda Brickhouse Brown,Brown Ale
227,101 Brewery & Twana Roadhouse,101 Hook Tender Honey Brown Ale,Brown Ale
228,Amsterdam Brewing Company,Amsterdam X Indie Alehouse Shapeshifter,American Strong Ale
229,Anacapa Brewing Company,Anacapa Santa Rosa Red,Amber Ale
230,Kuhnhenn Brewing,Kuhnhenn Irreverent,Belgian Strong Ale
231,Spoonwood Brewery,Spoonwood Cold Drip City,Amber Ale
232,L_Olmaia,L_Olmaia La 9,Belgian Ale
233,Pisgah Brewing Company,Pisgah Ryan_s Red Ale,Irish Ale
234,BARTS Brewpub,BARTS Cardinal Red Ale,Amber Ale
235,The Brew Gentlemen Beer Company,The Brew Gentlemen Business Casual,American Strong Ale
236,Angelic Brewing Company,Angelic Big Red Ale,Irish Ale
237,Park Tavern Brewery,Park Tavern Olmsted Amber,Amber Ale
238,Les Brasseurs du Hameau,Les Brasseurs du Hameau d_Ham-Sud Rousse Bitter,Bitter
239,The B.O.B.s House of Brews,B.O.B. Crimson King,Amber Ale
240,Deep Cove Brewers,Deep Cove Small Victories,Belgian Strong Ale
241,Claremont Craft Ales,Claremont Craft Ales Dis-Roble_d,Amber Ale
242,Black Swan Brewpub,Black Swan Cherrywood Smoked Porter,Porter
243,Central Coast Brewing,Central Coast Topless Amber,Bitter
244,Broken Tooth Brewing Company,Broken Tooth Northern Lights Amber,Amber Ale
245,Alpine Dog Brewery,Alpine Dog Black Rye Session Pale Ale,Specialty Grain
246,Cigar City Brewing,Cigar City IWCB Unite,Amber Ale
247,_ La FÃ '' t,_ La FÃ '' t La Rousse Rustre,Amber Ale
248,5 Seasons Westside,5 Seasons Westside The Huntsman,Bitter
249,Stallhagen,Stallhagen US Red Ale,Amber Ale
250,Assawoman Bay Brewing Company,Assawoman Bay Coastal Edge Copper,Amber Ale
251,75th Street Brewery,75th Street Red Eye Rye,Specialty Grain
252,Siren,Siren Batch 200 Liquid Monstrous,Imperial IPA
253,Cambridge Brewing Company,Cambridge Red God IPA,Imperial IPA
254,Cool Springs Brewing Company,Cool Springs Fatback Amber Ale,Amber Ale
255,Gilgamesh Brewing,Gilgamesh Pumphouse Copper Ale,Amber Ale
256,Karl Strauss Brewing Company,Karl Strauss Red Trolley Ale,Irish Ale
257,Broken Bow Brewery,Broken Bow Red Ale,Irish Ale
258,Breakwater Brewing Company,Breakwater Railslide Red,Amber Ale
259,1933 Brewing Company,1933 Oktoberfest,Oktoberfest/M Ã $ rzen
260,La Jolla Brewhouse,La Jolla Brewhouse Blue Whale Pale Ale,American Pale Ale
261,House Ales,House Ales Crack of Noon,Stout
262,Squam Brewing,Squam Asquam Amber Ale,Amber Ale
263,August Schell Brewing Company,Jumping Cow Amber Ale,Amber Ale
264,Big Wood Brewery,Big Wood Stump Splitter : Dates & Ginger,Belgian Ale
265,Baja Brewing Co. .,Baja Peliroja,Amber Ale
266,Cold Spring Brewery,Angus MacDougals Scottish Red Ale,Scottish Ale
267,Bonfire Bistro and Brewery,Bonfire Vulcans Vienna Ale,Amber Lager/Vienna
268,Brady_s Brewhouse,Brady_s Absolutely Amber,Amber Ale
269,Les BiÃ ¨ res de la Nouvelle-France,Les BiÃ ¨ res de la Nouvelle-France Nouvelle-France Rouge,Amber Ale
270,Cascade Lakes Brewing Co. .,Cascade Lakes Angus MacDougals Amber,Scottish Ale
271,Big Al Brewing,Big Al Amber &#40; Tutta Bella &#41;,Amber Ale
272,Coors Brewing Company &#40; MillerCoors &#41;,AC Golden Colorado Native Amber Lager,Amber Lager/Vienna
273,Casa Bruja Brewing Co. .,Casa Bruja Sir Francis Red Ale,Amber Ale
274,Bird Dog Brewing,Bird Dog Maggie_s Cider Ale,Cider
275,Goldstone,Goldstone Old Charmer,Golden Ale/Blond Ale
276,Budge Brothers Brewery,Budge Brothers Spokamber 509 Amber Ale,Amber Ale
277,Alaskan Brewing Company,Alaskan Taku River Red,Amber Ale
278,Odell Brewing Company,Odell Mean Street Pumpkin Ale,Spice/Herb/Vegetable
279,Borderlands Brewing Company,Borderlands La Morena Brown Ale,Brown Ale
280,Fogbelt Brewing Company,Fogbelt Hyperion Red Ale,Amber Ale
281,Rush River Brewing Company,Rush River The Unforgiven Amber Ale,Amber Ale
282,Grist House Brewing,Grist House Camp Slap Red,Amber Ale
283,Amager Bryghus,Amager Hr . Frederiksen &#40; Colorado Whiskey Edition &#41;,Imperial Stout
284,Ballast Point Brewing Company,Ballast Point Calico Amber Ale - Rum Barrel Aged,Amber Ale
285,Blue Tractor BBQ & Brewery,Blue Tractor Smokehouse Amber,Amber Ale
286,Uncle Billys Brew & Que Smokehouse & Brewery,Uncle Billys Bitchin Camaro,Amber Ale
287,Aarhus Bryghus,Aarhus Cains Triple A American Amber Ale,Amber Ale
288,Deschutes Brewery,Deschutes Fire King IRA,Irish Ale
289,Lenny Boy Brewing Company,Lenny Boy No-Show Amber,Amber Ale
290,Adirondack Pub and Brewery,Adirondack Bear Naked Ale,Amber Ale
291,Mudhook Brewing Company,Mudhook Live Bait Amber Ale,Amber Ale
292,Auburn Alehouse &#40; CA &#41;,Auburn Alehouse Scarlet Harlot,Amber Ale
293,Sigtuna Brygghus,Sigtuna Red Ale,Amber Ale
294,Americas Brewpub,Americas Aurora Amber Ale,Amber Ale
295,Tahquamenon Falls Brewery,Tahquamenon Falls Tannin Red,Amber Ale
296,Ladyface Ale Companie,Ladyface Agoura Ale,Amber Ale
297,Mornington Peninsula Brewery,Mornington Peninsula Imperial Amber,American Strong Ale
298,De Dochter van de Korenaar,De Dochter van de Korenaar Noblesse Very Special Old Pale &#40; VSOP &#41;,Belgian Ale
299,John Harvards Brewhouse Lake Grove,John Harvards Colonial Red,Amber Ale
300,Carters Brewing Co. .,Carters Roundhouse Red Ale,Amber Ale
301,CraftHaus Brewery,CraftHaus Unite Smokey Red,Smoked
302,Bottle Logic Brewing,Bottle Logic Sunspear Saison,Saison
303,Triple C Brewing Company,Triple C Imperial Smoked Amber,Smoked
304,Alpha Brewing Company,Alpha Golden Nugget Pale Ale,American Pale Ale
305,Legends Brewhouse & Eatery,Legends Jack Rabbit Red Ale,Amber Ale
306,SkellefteÃ ¥ Bryggeri,Kallholmen Levande Ale,English Pale Ale
307,Uberach,Uberach Doigt de Dieu,BiÃ ¨ re de Garde
308,John Harvards Brewhouse Lake Grove,John Harvards Golden Honey Ale,Golden Ale/Blond Ale
309,LuPine Brewing Company,LuPine Convocation Tea Ale,Spice/Herb/Vegetable
310,Brasseur De MontrÃ © al,Jukebox Jazz,Amber Ale
311,Ahnapee Brewery,Ahnapee Little Soldier,Amber Ale
312,23rd Street Brewery,23rd Street Crimson Phog Irish Ale,Irish Ale
313,Mantorville Brewing Co,Stagecoach Amber Ale,Amber Ale
314,Prohibition Brewing &#40; California &#41;,Prohibition Sweet Biscuit Amber Ale &#40; SBA &#41;,Amber Ale
315,4 Pines Brewing Company,4 Pines Christmas Ale 2012,Saison
316,Thirsty Pagan Brewing,Thirsty Pagan North Coast Amber Ale,Amber Ale
317,Ipswich Ale Brewery,Clown Shoes Rexx,American Strong Ale
318,El Toro Brewing Co. .,El Toro Peach Flavored Ale,Fruit Beer
319,Shades of Pale Brewing Company,Shades of Pale Ready to Fly,Amber Ale
320,Black Dog Brewery,Black Dog / Eel River EelDog Muscat Mongrel,Barley Wine
321,Barley Mow Brewing Company,Barley Mow Lamp Lighter Amber,Amber Ale
322,Flagstaff Brewing Company,Flagstaff Agassiz Amber,Amber Ale
323,Redline Brewhouse,Redline 501 Golden Ale,Golden Ale/Blond Ale
324,Fiddlehead Brewing Company,Fiddlehead Mellow Mike,Amber Ale
325,Krugher & Brent,Krugher & Brent Red Beer,Imperial Pils/Strong Pale Lager
326,North Peak Brewing Company,North Peak Siren Amber Ale,Amber Ale
327,Scarlet Lane Brewing Company,Scarlet Lane Night_s Watch,American Strong Ale
328,Donegal Brewing Co,Donegal Atlantic Amber,Amber Ale
329,Maui Brewing Company,Maui Brewing Amber Reign,Amber Ale
330,Northbound Smokehouse Brewpub,Northbound Smokehouse Wild Rice Amber,Specialty Grain
331,Two Brothers Brewing Company,Two Brothers Bottlenectar,Amber Ale
332,Columbia Kettle Works,Columbia Kettle Works Kettleface,Amber Ale
333,Thorn Street Brewery,Thorn Street Smugglers Cove Agave Amber Ale,Amber Ale
334,Minipivovar _ tramÃ ¡ k,_ tramÃ ¡ k Amber Ale 12Â °,Amber Ale
335,Ethereal Brewing,Ethereal Rum Reckoner,American Strong Ale
336,Columbia Kettle Works,Columbia Kettle Works Bald Guy,Amber Ale
337,Drummond Brewing Company / Something Brewing,Drummond Gluten Free,Specialty Grain
338,1516 Pub & Brewery,1516 Pub & Brewery American Black Ale,Black IPA
339,Books & Brews,Books & Brews Clifford The Big Red Ale,American Strong Ale
340,Sand Creek Brewing Company,Essers Anniversary Ale,Amber Ale
341,Genesee Brewing Company &#40; North American Breweries &#41;,Wild Range Amber Ale,Amber Ale
342,Westfield River Brewing Company,Westfield River Big Red Barn,Specialty Grain
343,HopCat,HopCat Ginger Slap,Spice/Herb/Vegetable
344,Absolution Brewing Company,Absolution American Revelation Bourbon Barrel RyePA,Specialty Grain
345,Boneshaker Community Brewery,Boneshaker Rusty Chain English Barleywine,Barley Wine
346,Lazy Boy Brewing,Lazy Boy Dumb Luck Amber Ale,Amber Ale
347,Castle Danger Brewery,Castle Danger Barrel Aged Nestor Grade Amber Ale,Amber Ale
348,Baranof Island Brewing Company,Baranof Island Redoubt Red Ale,Amber Ale
349,Cigar City Brewing,Cigar City Cold Brew Series - Red Ale,Amber Ale
350,Genesee Brewing Company &#40; North American Breweries &#41;,Revolution Harbor Amber Ale,Amber Ale
