r_id,city_name,contact_phone,food_type,full_address,rating,restaurant_title
41,` st. hermosa beach ',310-376-7786,american,' 22nd street grill 25 22nd ',575,` martha \ 's '
42,` marina del rey ',310-306-7829,american,' 13329 washington blvd. ',576,` maxwell \ 's cafe '
43,` santa monica ',310-451-0843,californian,' 1147 third st. ',577,` michael \ 's ( los angeles ) '
44,la,213-782-0181,` noodle shops ',' 8474 w. third st. ',578,mishima
45,la,213-935-5280,hamburgers,' 7261 melrose ave. ',579,` mo better meatty meat '
46,encino,818-906-8881,pizza,' 17040 ventura blvd. ',580,` mulberry st. '
47,` santa monica ',310-452-5728,american,' 3117 ocean park blvd. ',581,` ocean park cafe '
48,` monterey park ',818-308-2128,seafood,' 145 n. atlantic blvd. ',582,` ocean star '
49,la,213-627-6879,diners,' 875 s. figueroa st. downtown ',583,` original pantry bakery '
50,pasadena,818-795-1001,californian,' 510 s. arroyo pkwy . ',584,` parkway grill '
51,chinatown,213-626-5530,vietnamese,' 642 broadway ',585,` pho hoa '
52,la,213-931-4223,` hot dogs ',' 709 n. la brea ave. ',586,` pink \ 's famous chili dogs '
53,burbank,818-563-2252,mexican,' 2635 w. olive ave. ',587,` poquito mas '
54,` los angeles ',213-687-7178,japanese,' 923 e. third st. ',588,r-23
55,` santa monica ',310-828-7937,diners,' 2901 pico blvd. ',589,` rae \ 's '
56,encino,818-905-6515,` hot dogs ',' 15322 ventura blvd. ',590,` rubin \ 's red hots '
57,pasadena,818-796-7829,diners,'45 s. fair oaks ave. ',591,` ruby \ 's ( la ) '
58,` seal beach ',310-596-9556,hamburgers,' 1198 pch ',592,` russell \ 's burgers '
59,` beverly hills ',310-859-8744,steakhouses,' 224 s. beverly dr. ',593,` ruth \ 's chris steak house ( los angeles ) '
60,pasadena,818-799-4774,` pacific new wave ',' 1505 mission st. s. ',594,shiro
61,` studio city ',818-508-7017,japanese,' 11288 ventura blvd. ',595,` sushi nozawa '
62,la,213-653-7145,desserts,' 8360 melrose ave. ',596,` sweet lady jane '
63,brentwood,310-207-7782,` noodle shops ',' 11677 san vicente blvd. ',597,taiko
64,la,213-389-9060,hamburgers,' 2575 beverly blvd. ',598,` tommy \ 's '
65,` manhattan beach ',310-545-5177,diners,' 1305 highland ave. ',599,` uncle bill \ 's pancake house '
66,` los angeles ',213-891-0900,seafood,' 544 s. grand ave. ',600,` water grill '
67,glendale,818-244-1937,` middle eastern ',' 1415 e. colorado st. ',601,` zankou chicken '
68,` new york city ',212-307-1612,afghan,' 764 ninth ave. ',602,` afghan kebab house '
69,` new york city ',212-223-2900,` american ( new ) ','21 e. 62nd st. ',603,arcadia
70,` new york city ',212-254-2054,mexican,'93 ave. a ',604,` benny \ 's burritos '
71,` new york city ',212-595-7000,cuban,' 424 amsterdam ave. ',605,` cafe con leche '
72,` new york city ',212-242-9502,hamburgers,' 331 w. fourth st. ',606,` corner bistro '
73,` new york city ',212-242-0636,italian,' 368 bleecker st. ',607,` cucina della fontana '
74,` new york city ',212-260-6800,seafood,'87 e. fourth st. ',608,` cucina di pesce '
75,` new york city ',212-432-7227,indian,'44 w. 56th st. ',609,darbar
76,` new york city ',212-473-5555,diners,' 432 sixth ave. ',610,` ej \ 's luncheonette '
77,` new york city ',212-840-5000,diners,' 228 w. 47th st. ',611,` edison cafe '
78,queens,718-932-1510,greek,' 24-02 31st st. ',612,` elias corner '
79,` new york city ',212-496-0163,american,' 483 amsterdam ave. ',613,` good enough to eat '
80,` new york city ',212-799-0243,` hot dogs ',' 2090 broadway ',614,` gray \ 's papaya '
81,` new york city ',212-673-3783,italian,'86 w. third st. ',615,` il mulino '
82,queens,718-672-1232,indian,' 37-03 74th st. ',616,` jackson diner '
83,queens,718-539-3838,chinese,' 9 pell st. ',617,` joe \ 's shanghai '
84,` new york city ',212-721-7001,pizza,'48 w. 65th st. ',618,` john \ 's pizzeria '
85,` new york city ',212-228-1212,pan-asian,' 127 greene st. ',619,` kelley & ping '
86,` new york city ',212-674-4040,ukrainian,' 117 second ave. ',620,kiev
87,` new york city ',212-317-2802,japanese,' 2nd fl . ',621,` kuruma zushi '
88,` new york city ',212-874-2780,cuban,' 2199 broadway ',622,` la caridad '
89,` new york city ',212-752-1495,` french ( classic ) ',' 3 e. 52nd st. ',623,` la grenouille '
90,brooklyn,718-399-7100,thai,' 61a seventh ave. ',624,` lemongrass grill '
91,` new york city ',212-941-7994,pizza,'32 spring st. ',625,` lombardi \ 's '
92,` new york city ',212-741-3214,asian,' 466 hudson st. ',626,` marnie \ 's noodle shop '
93,` new york city ',212-247-1585,japanese,'39 w. 55th st. ',627,menchanko-tei
94,` new york city ',212-989-1367,indian,' 296 bleecker st. ',628,` mitali east-west '
95,` new york city ',212-580-8686,thai,' 435 amsterdam ave. ',629,` monsoon ( ny ) '
96,brooklyn,718-852-5555,` middle eastern ',' 405 atlantic ave. ',630,moustache
97,` new york city ',212-219-0500,japanese,' 105 hudson st. ',631,nobu
98,` new york city ',212-228-0822,continental,'17 barrow st. ',632,` one if by land tibs '
99,` new york city ',212-490-6650,seafood,` lower level ',633,` oyster bar '
