beer_key,alcohol_by_volume,brewery_name,style_type,beer_desc
950,5.80 %,Boulevard Brewing Co. .,American Amber / Red Ale,Tasting Room Series : Red IPA
951,5.00 %,SLO Brewing Co. .,American Amber / Red Ale,Reggae Red
952,5.60 %,Heritage Brewing Co. .,American Amber / Red Ale,Revolution
953,5.20 %,Flying Goose Brew Pub & Grille,American Amber / Red Ale,Ragged Mountain Red Ale
954,5.00 %,Le Grimoire,American Amber / Red Ale,Grimousse
955,6.00 %,Crooked Fence Brewing,American Amber / Red Ale,Trainwreck Red
956,6.00 %,Wicked Weed Brewing,American Amber / Red Ale,Decoy Red
957,5.70 %,2 Brothers Brewery,American Amber / Red Ale,Grizz
958,5.00 %,Brewsters Brewing Company & Restaurant - Oliver Square,American Amber / Red Ale,Hammerhead Red Ale
959,6.00 %,Cigar City Brewing,American Amber / Red Ale,Grass Fed Red
960,4.50 %,Howe Sound Inn & Brewing Company,American Amber / Red Ale,Super Jupiter Grapefruit ISA
961,5.00 %,Chama River Brewing Company,American Amber / Red Ale,Rio Chama Amber Ale
962,5.00 %,Howe Sound Inn & Brewing Company,American Amber / Red Ale,Boomer 's Canadian Red Ale
963,4.70 %,_ gir Bryggeri,American Amber / Red Ale,_ gir Rallar Amber Ale
964,6.10 %,Deschutes Brewery,American Amber / Red Ale,India Red Delicious
965,6.30 %,High Hops Brewery,American Amber / Red Ale,The Honeyed One
966,7.00 %,Bison Brewing,American Amber / Red Ale,Red Reuben
967,5.50 %,BrickHouse Brewery,American Amber / Red Ale,Boy 's Red
968,-,The Portland Hotel & James Squire Brewhouse,American Amber / Red Ale,Highwayman Thrice Hopped Red Ale
969,7.10 %,McMenamins,American Amber / Red Ale,Red Riser IRA
970,8.00 %,Triple Rock Brewery & Alehouse,American Amber / Red Ale,Monkey Head
971,5.00 %,Wisconsin Dells Brewing Co. .,American Amber / Red Ale,Dells Chief Amber Ale
972,-,Wildcard Brewing,American Amber / Red Ale,Double Down Imperial Red
973,5.90 %,3 Daughters Brewing,American Amber / Red Ale,Rod Bender
974,5.74 %,Red Car Brewery and Restaurant,American Amber / Red Ale,Motorman Reserve
975,5.40 %,Rumspringa Brewing Company,American Amber / Red Ale,Rumspringa Red Caboose Ale
976,4.00 %,Hall Brewing Co. .,American Amber / Red Ale,Farmhouse Red Ale
977,5.20 %,JT Schmid 's Restaurant & Brewery,American Amber / Red Ale,JT Schmid 's Emil 's Amber Ale
978,5.60 %,The Unknown Brewing Co. .,American Amber / Red Ale,Hospitali-Tea
979,6.80 %,Blue & Gray Brewing Co. .,American Amber / Red Ale,Christmas Cranberry Ale
980,4.80 %,Milly 's Tavern / Stark Brewing Company,American Amber / Red Ale,Milly 's Tasha 's Red Tail Ale
981,7.90 %,Iron Hill Brewery & Restaurant,American Amber / Red Ale,Hoppopotamus
982,5.60 %,Point Ybel Brewing Company,American Amber / Red Ale,Sanibel Red Island Ale
983,5.50 %,Tall Tales Brewing,American Amber / Red Ale,Back Draft
984,5.50 %,Gore Range Brewery,American Amber / Red Ale,Fly Fisher Red
985,-,Naked Dove Brewing Company,American Amber / Red Ale,Nice And Naughty Christmas Ale
986,5.50 %,The LAB ( Lexington Avenue Brewery ),American Amber / Red Ale,Waves Of Grain
987,7.10 %,Prairie Fire Brewing Co. .,American Amber / Red Ale,Bushwacker
988,5.50 %,Blackfoot River Brewing Company,American Amber / Red Ale,MacKenzie River Driftboat Amber
989,-,The Brewerie At Union Station,American Amber / Red Ale,Apparition Amber Ale
990,5.20 %,Battlefield Brew Works,American Amber / Red Ale,Red Circle Ale
991,6.40 %,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,Scratch Beer 176 - 2015 ( Red Ale )
992,5.60 %,Big Dog 's Draft House,American Amber / Red Ale,Rebel Red
993,4.80 %,Purrumbete Brewing Company ( Red Duck ),American Amber / Red Ale,Red Duck Amber Ale
994,5.20 %,Big Rig Brewery,American Amber / Red Ale,Big Rig Rideau Red
995,5.70 %,Casa Cervecera Quinta Normal S.A.,American Amber / Red Ale,Quimera Amber Ale
996,5.50 %,People 's Brewing Company,American Amber / Red Ale,Aberrant Amber
997,5.30 %,Northwest Brewing Company,American Amber / Red Ale,Chinook Copper Ale
998,-,Dangerous Man Brewing,American Amber / Red Ale,Rooibos Red Ale With Vanilla
999,5.30 %,11 Below Brewing,American Amber / Red Ale,Oso Bueno
1000,6.50 %,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,Scratch Beer 200 - 2015 ( Red Steam Common Ale )
1001,-,Pizza Port Solana Beach,American Amber / Red Ale,Red Leader Rebel Red
1002,5.50 %,The Weed Company,American Amber / Red Ale,Weed Amber Ale
1003,6.90 %,Burley Oak Brewery,American Amber / Red Ale,Assawoman Amber
1004,5.00 %,Catawba Brewing Co. .,American Amber / Red Ale,Indian Red Head
1005,6.10 %,Grayton Beer Company,American Amber / Red Ale,1890 Founder 's Ale
1006,8.50 %,Fulton Beer,American Amber / Red Ale,The Libertine ( Heaven Hill Barrel-Aged )
1007,6.00 %,Sherwood Brewing Company,American Amber / Red Ale,Mistress Jade 's Hemp Ale
1008,5.20 %,Fort Myers Brewing Company,American Amber / Red Ale,Red Tape
1009,6.75 %,Revolver Brewing,American Amber / Red Ale,Cinnamon Girl
1010,7.00 %,Laurelwood Public House & Brewery,American Amber / Red Ale,Red Elephant
1011,5.90 %,Fairhope Brewing Company,American Amber / Red Ale,I Drink Therefore I Amber
1012,5.30 %,Revolution Brewing Company,American Amber / Red Ale,Battle Of Wil 's
1013,9.40 %,Seventh Son Brewing Co. .,American Amber / Red Ale,Firecat
1014,-,Back Street Brewery,American Amber / Red Ale,Back Street Rita Red Ale
1015,8.00 %,Exile Brewing Co. .,American Amber / Red Ale,Chill Clinton
1016,6.30 %,Berkshire Brewing Company Inc. .,American Amber / Red Ale,Hoosac Tunnel Pale Ale
1017,6.50 %,Backwoods Brewing Company,American Amber / Red Ale,Big Cedar IRA
1018,9.00 %,La Cumbre Brewing Co. .,American Amber / Red Ale,Imperial Red Ryeot
1019,4.70 %,County Durham Brewing Company,American Amber / Red Ale,Durham Red Dragon
1020,5.00 %,Microbrasserie Le Naufrageur,American Amber / Red Ale,La Colborne
1021,6.50 %,Blue Mountain Brewery,American Amber / Red Ale,Cheer Beer
1022,-,Olde Richmond Beer Company,American Amber / Red Ale,Olde Richmond Batch No. 9 Red Ale
1023,-,River City Brewing Company,American Amber / Red Ale,Red Rooster Ale
1024,5.00 %,Straight To Ale,American Amber / Red Ale,Rocket City Red
1025,5.50 %,Big Bear Mountain Brewery,American Amber / Red Ale,Ant Hill Red Ale
1026,5.40 %,Veterans United Craft Brewery,American Amber / Red Ale,Scout Dog 44
1027,5.50 %,Black Lotus Brewery,American Amber / Red Ale,Red Tao
1028,5.80 %,Out of Bounds Brewing Company,American Amber / Red Ale,Rusted Butte Red Ale
1029,5.60 %,Persimmon Hollow Brewing,American Amber / Red Ale,Paddle Wheeler
1030,4.50 %,Silver Peak Restaurant & Brewery,American Amber / Red Ale,Sierra Amber Ale
1031,6.00 %,Rock Art Brewery,American Amber / Red Ale,Stowe Mountain Lodge Hourglass Ale
1032,6.50 %,Motorworks Brewing,American Amber / Red Ale,Roll Cage Red
1033,5.80 %,Church Brew Works,American Amber / Red Ale,Absolution Ale
1034,5.00 %,Argilla Brewing Co. .,American Amber / Red Ale,Argilla Amber
1035,5.50 %,Belmont Brewing Company,American Amber / Red Ale,Top Sail
1036,10.40 %,Allentown Brew Works,American Amber / Red Ale,10 On The Richter Scale
1037,-,Cannonball Creek Brewing Company,American Amber / Red Ale,Victorville Red
1038,6.30 %,World Brews,American Amber / Red Ale,R.J. King Wingwalker Winter Brew
1039,5.60 %,Sierra Nevada Brewing Co. .,American Amber / Red Ale,Side Car
1040,5.00 %,Plattsburgh Brewing Company,American Amber / Red Ale,Plucky Rooster Ale
1041,5.50 %,Lawson 's Finest Liquids,American Amber / Red Ale,292 Ale
1042,5.00 %,Hockley Valley Brewing Co. .,American Amber / Red Ale,Legends Of The Bay Giant 's Tomb
1043,4.80 %,Golden Lion Brewing Company / Pub & Brasserie le Lion D'Or,American Amber / Red Ale,AmbrÃ © e D'Amour
1044,5.20 %,The Port Gastropub / Sea Level Brewing Company,American Amber / Red Ale,Rojo Mojo Red Ale
1045,8.60 %,Oakshire Brewing,American Amber / Red Ale,Ride Your Bike Double Red Ale
1046,7.20 %,Begyle Brewing Company,American Amber / Red Ale,Pancake Junkie
1047,7.00 %,Naked City Taphouse,American Amber / Red Ale,Screening Room Red
1048,6.30 %,Block 15 Brewery & Restaurant,American Amber / Red Ale,Ridgeback Red
1049,8.20 %,Three Notch 'd Brewing Company,American Amber / Red Ale,Mosaic IRA
1050,5.10 %,Microbrasserie Du Lac-Saint-Jean,American Amber / Red Ale,Boutefeu
1051,5.10 %,Generations Brewing,American Amber / Red Ale,Pretzel City Amber
1052,5.00 %,The Tin Whistle Brewing Company,American Amber / Red Ale,Kettle Valley Amber Ale
1053,7.70 %,Wynwood Brewing Company,American Amber / Red Ale,Wynwood Fox
1054,5.20 %,8th Wonder Brewery,American Amber / Red Ale,Feight
1055,5.40 %,Old Rail Brewing Company,American Amber / Red Ale,Rusted Rail Ale
1056,5.50 %,Breaker Brewing Company,American Amber / Red Ale,Anthracite Ale
1057,-,Minneapolis Town Hall Brewery,American Amber / Red Ale,Amber Falcon
1058,5.00 %,Paradox Brewery,American Amber / Red Ale,Paradox Red Ale
1059,4.80 %,The Wild Beer Co. .,American Amber / Red Ale,Scarlet Fever
1060,-,Bricktown Brewery,American Amber / Red Ale,46 Star Oklahoma Amber Ale
1061,5.50 %,Silver Moon Brewing,American Amber / Red Ale,Voodoo Dog
1062,6.50 %,Angry Hank 's Microbrewery,American Amber / Red Ale,Street Fight
1063,3.00 %,Marshall Wharf Brewing Company / Three Tides Restaurant,American Amber / Red Ale,Pinchy
1064,6.60 %,Freetail Brewing Company,American Amber / Red Ale,Sixth Anniversary Imperial Red
1065,9.80 %,Ladyface Ale Companie,American Amber / Red Ale,Reyes Adobe Imperial Red
1066,6.10 %,Minneapolis Town Hall Brewery,American Amber / Red Ale,Festivus 2014
1067,6.30 %,Foundation Brewing Company,American Amber / Red Ale,Prototype 9.29.15
1068,5.00 %,Compania Cervecera Del Sur Del Peru S.A. ( Cervesur ),American Amber / Red Ale,CusqueÃ ± a Red Lager
1069,5.20 %,Colorado Mountain Brewery,American Amber / Red Ale,Ole 59er Amber Ale
1070,6.50 %,Valley Brewing Company,American Amber / Red Ale,Indian Red Ale
1071,6.00 %,Mother Earth Brew Co. .,American Amber / Red Ale,Righteously Hopped Red IPA
1072,5.80 %,Bosque Brewing Co. .,American Amber / Red Ale,Brewer 's Boot Amber Ale
1073,-,Thirsty Bear Brewing Company,American Amber / Red Ale,Grizzly Bear Red Ale
1074,6.30 %,Middleton Brewing,American Amber / Red Ale,Bobcat Imperial Red
1075,6.50 %,City Star Brewing Company,American Amber / Red Ale,Red Necktar
1076,-,Brass Cannon Brewing,American Amber / Red Ale,Muzzle Flash
1077,6.00 %,The Five Points Brewing Company,American Amber / Red Ale,Hook Island Red
1078,5.50 %,Pizza Port Solana Beach,American Amber / Red Ale,HATER
1079,5.10 %,Beard & Brau,American Amber / Red Ale,Red Tail
1080,5.00 %,Sierra Madre Brewing Co. .,American Amber / Red Ale,Ocho Reales
1081,5.40 %,American Sky Brewing Co. .,American Amber / Red Ale,American Sky Amber Salute
1082,5.20 %,Core Brewing & Distilling Co. .,American Amber / Red Ale,Arkansas Red Ale
1083,6.20 %,Burnside Brewing Co. .,American Amber / Red Ale,Too Sticky To Roll
1084,4.50 %,CB Craft Brewers,American Amber / Red Ale,Duff 's Microbrew
1085,6.80 %,Garage Project,American Amber / Red Ale,Angry Peaches
1086,-,Elliott Bay Brewing Co. .,American Amber / Red Ale,Red Von Boorien
1087,6.70 %,River City Brewing Company,American Amber / Red Ale,Woodenhead Ale
1088,5.00 %,Gella 's Diner & Lb . Brewing Co. .,American Amber / Red Ale,No. 03 Amber Ale
1089,5.10 %,Uncle Billy 's Brew & Que,American Amber / Red Ale,Uncle Billy 's Organic Amber
1090,-,Birra Moretti ( Heineken ),American Amber / Red Ale,Birra Moretti Red Ale
1091,7.00 %,Sarasota Brewing Company,American Amber / Red Ale,Sunset Red
1092,-,LynLake Brewery,American Amber / Red Ale,Rubbish Oat Amber Ale
1093,4.70 %,Old Dominion Brewing Company,American Amber / Red Ale,J. Paul 's 1889 Amber Ale
1094,4.20 %,Anacortes Brewery & Rockfish Grill,American Amber / Red Ale,Anacortes Red Ale
1095,6.00 %,Liberty Steakhouse Brewery,American Amber / Red Ale,Rocket 's Red Ale
1096,8.00 %,Indiana City Brewing Company,American Amber / Red Ale,Red Collar
1097,6.00 %,Crooked Can Brewing Company,American Amber / Red Ale,McSwagger 's
1098,5.00 %,Dragonmead Microbrewery,American Amber / Red Ale,Dragonmead Crooked Door Amber Ale
1099,5.80 %,Lily 's Seafood & B.C.,American Amber / Red Ale,Reggie 's French River Red
1100,5.60 %,Monkish Brewing Co. .,American Amber / Red Ale,Red Table
1101,4.50 %,Cerveses Almog_ver,American Amber / Red Ale,Almog_ver Cervesa Artesanal
1102,5.70 %,Barley Forge Brewing Co. .,American Amber / Red Ale,El Paisano
1103,5.20 %,Outer Light Brewing Company,American Amber / Red Ale,Lonesome Boatman Ale
1104,-,The Brewery At Lake Tahoe,American Amber / Red Ale,Alpine Amber Ale
1105,5.50 %,Porcupine Quill Micro Brewery and Deli,American Amber / Red Ale,Quills Karoo Red
1106,7.40 %,Marble Brewery,American Amber / Red Ale,Cuvee Rouge ( 2015 Bottled Vintage )
1107,5.80 %,Thump Keg Brewing Co. .,American Amber / Red Ale,Agave Amber Ale
1108,4.80 %,Draught House Pub & Brewery,American Amber / Red Ale,Red Planet
1109,5.50 %,Columbus Brewing Company,American Amber / Red Ale,Columbus Kashmir
1110,5.20 %,Port Townsend Brewing Company,American Amber / Red Ale,Reel Amber
1111,-,Solvang Brewing Company,American Amber / Red Ale,Dansk Amber Ale
1112,5.50 %,Abandon Brewing Co. .,American Amber / Red Ale,BCA
1113,4.70 %,San Luis Valley Brewing Company,American Amber / Red Ale,Alamosa Amber
1114,5.30 %,War Horse Brewing Company,American Amber / Red Ale,East Coast Amber Ale
1115,5.10 %,Roundabout Brewery,American Amber / Red Ale,Rusted Route Amber Ale
1116,7.50 %,Iron Hill Brewery & Restaurant,American Amber / Red Ale,Big Rye Wibby
1117,5.00 %,4 Hands Brewing Co. .,American Amber / Red Ale,Vigilante
1118,-,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,Iron Mike 's Amber Ale
1119,7.40 %,Hollister Brewing Co. .,American Amber / Red Ale,Fire Dragon
1120,-,Hamburg Brewing Company,American Amber / Red Ale,House Dressing
1121,7.00 %,Green Man Brewery,American Amber / Red Ale,Green Man The Blood Of My Enemies
1122,5.00 %,Lefty 's Brewing Company,American Amber / Red Ale,Maple Ale
1123,8.20 %,Redondo Beach Brewing,American Amber / Red Ale,Rat Beach Red Ale
1124,5.00 %,Hotel-Gasthof HÃ $ ffner BrÃ $ u,American Amber / Red Ale,HÃ $ ffner Hopfenstopfer Dark Red Temptation
1125,9.00 %,Kettle House Brewing Co. .,American Amber / Red Ale,Lake Missoula Amber
1126,5.50 %,Tampa Bay Brewing Co. .,American Amber / Red Ale,Two Redeyes Ales
1127,8.50 %,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,Island Ale
1128,5.00 %,Yeastie Boys,American Amber / Red Ale,Hud-a-wa ' Strong
1129,6.80 %,Blue Tractor BBQ & Brewery,American Amber / Red Ale,Red Barn Amber Ale
1130,-,Haymarket Pub & Brewery,American Amber / Red Ale,Jananna Dance Red Headed Ale
1131,5.50 %,Independence Brewing Co. .,American Amber / Red Ale,Independence Rood
1132,-,Lawson 's Finest Liquids,American Amber / Red Ale,Equinox Extra XPA
1133,7.50 %,Woodcock Brothers Brewing Company,American Amber / Red Ale,Woodcock Brothers Amber
1134,-,Blind Tiger Brewery & Restaurant,American Amber / Red Ale,Little Red Corvette
1135,-,Modus Operandi Brewing Co. .,American Amber / Red Ale,The Former Tenant
1136,-,Crystal Springs Brewing Company,American Amber / Red Ale,South Ridge Amber Ale
1137,7.30 %,Glasstown Brewing Co. .,American Amber / Red Ale,Glasstown Founders Ale
1138,7.00 %,Mountain Toad Brewing,American Amber / Red Ale,Apex Amber
1139,6.60 %,Cervejaria DaDo Bier,American Amber / Red Ale,DaDo Bier Red Ale
1140,-,Epic Ales,American Amber / Red Ale,Simple Ale
1141,6.00 %,Downtown Joe 's American Bar And Grill,American Amber / Red Ale,Tail Waggin ' Amber Ale
1142,-,Denizens Brewing Co. .,American Amber / Red Ale,Big Red Norm
1143,7.60 %,Coastal Empire Beer Co. .,American Amber / Red Ale,Southern Delight
1144,5.20 %,Caldera Brewing Company,American Amber / Red Ale,Caldera Big Island Red Sea
1145,8.80 %,Blue Pants Brewery,American Amber / Red Ale,Big & Tall # 2
1146,9.00 %,Roosters Brewing Company and Restaurant,American Amber / Red Ale,Two-Bit Amber
1147,4.00 %,Institution Ale Company,American Amber / Red Ale,Sedation
1148,4.00 %,Roscoe Beer Co. .,American Amber / Red Ale,Trout Town Rainbow Red Ale
1149,7.50 %,The Beer 'd Brewing Co. .,American Amber / Red Ale,Get To The Choppa
1150,9.10 %,Great Baraboo Brewing Company,American Amber / Red Ale,Snake Eye Canyon Red Ale
1151,5.20 %,Bold City Brewery,American Amber / Red Ale,European Street Cafe Lamp Post Ale
1152,-,Aeronaut Brewing Company,American Amber / Red Ale,Red Galaxy
1153,6.70 %,Boxing Cat Brewery,American Amber / Red Ale,Ring Side Red
1154,5.20 %,Omaha Jack 's Grillhouse & Brewery,American Amber / Red Ale,Jacked Up Red
1155,8.00 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,North Star Amber Ale
1156,5.00 %,Beaver Brewing Company,American Amber / Red Ale,Basil
1157,5.10 %,White Lion Brewing Company,American Amber / Red Ale,Insane Mane Red Ale
1158,-,District ChopHouse & Brewery,American Amber / Red Ale,Velvet Amber
1159,5.40 %,Wicked Weed Brewing,American Amber / Red Ale,Mint Julep
1160,9.70 %,Big Rock Brewery,American Amber / Red Ale,Henry Hudson 's Bale House Ale
1161,5.00 %,Sockeye Grill & Brewery,American Amber / Red Ale,Angel 's Perch Amber
1162,4.50 %,Double Barley Brewing,American Amber / Red Ale,Give Em Hell
1163,10.40 %,Old Schoolhouse Brewery,American Amber / Red Ale,Blazing Amber
1164,6.80 %,Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,Journeymen
1165,4.50 %,Kinnegar Brewing Company,American Amber / Red Ale,Devil 's Backbone
1166,4.90 %,Starkey 's Lookout,American Amber / Red Ale,Belgian Amber
1167,-,Kingdom Brewing,American Amber / Red Ale,Round Barn Red
1168,6.80 %,Kassik 's Kenai Brew Stop,American Amber / Red Ale,Orion 's Quest Red Ale
1169,5.00 %,Lynnwood Grill & Brewing Concern,American Amber / Red Ale,Bill & Ted 's Excellent Amber
1170,6.50 %,Lakewood Brewing Company,American Amber / Red Ale,Lakewood Manimal
1171,6.00 %,Fair Winds Brewing Company,American Amber / Red Ale,Running Light Red
1172,5.10 %,Prescott Brewing Company,American Amber / Red Ale,Manzanita Red
1173,7.00 %,Tahoe Mountain Brewing Co. .,American Amber / Red Ale,Ranch Dog Red
1174,5.00 %,Vancouver Island Brewery,American Amber / Red Ale,High Trail Honey Ale
1175,6.00 %,Bottle Logic Brewing,American Amber / Red Ale,Red-Ioactive
1176,5.10 %,Books & Brews,American Amber / Red Ale,Shogun Soba
1177,8.50 %,Island Hoppin ' Brewery,American Amber / Red Ale,Old Madrona
1178,9.20 %,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,Brewmaster 's Reserve Imperial Red Ale
1179,8.50 %,Modern Times Beer,American Amber / Red Ale,Mega Blazing World
1180,7.20 %,Sequoia Brewing Company,American Amber / Red Ale,Big Horn
1181,4.00 %,Utah Brewers Cooperative,American Amber / Red Ale,Squatters Respect Your Mother Organic Amber Ale
1182,5.30 %,Spoonwood Brewing Company,American Amber / Red Ale,Smoke & Oats
1183,5.80 %,Bog Iron Brewing,American Amber / Red Ale,Slap Happy
1184,4.50 %,612 Brew,American Amber / Red Ale,Main Stage - Amber Ale
1185,7.80 %,Bullfrog Brewery,American Amber / Red Ale,Dread Double Red Ale
1186,5.70 %,Rustic Road Brewing Company,American Amber / Red Ale,Hazelnut Harvest
1187,5.50 %,Swamp Head Brewery,American Amber / Red Ale,Batch 800 - PB&J Amber Ale
1188,5.00 %,Rogue Ales,American Amber / Red Ale,Chatoe Rogue OREgasmic Ale
1189,5.20 %,Amnesia Brewing,American Amber / Red Ale,Crystal Red
1190,5.70 %,Twelve Bar Brews,American Amber / Red Ale,Turnaround Red
