unique_id,conf_title,doc_year,publication_venue,researchers
535,locally adaptive dimensionality reduction for indexing large time series databases,2002,acm transactions on database systems ( tods ),"kaushik chakrabarti , eamonn keogh , sharad mehrotra , michael pazzani"
536,searching in metric spaces with user-defined and approximate distances,2002,acm transactions on database systems ( tods ),"paolo ciaccia , marco patella"
537,understanding the global semantics of referential actions using logic rules,2002,acm transactions on database systems ( tods ),"wolfgang may , bertram lud &#228; scher"
538,cost models for overlapping and multiversion structures,2002,acm transactions on database systems ( tods ),"yufei tao , dimitris papadias , jun zhang"
539,fast incremental maintenance of approximate histograms,2002,acm transactions on database systems ( tods ),"phillip b. gibbons , yossi matias , viswanath poosala"
540,the cougar approach to in-network query processing in sensor networks,2002,acm sigmod record,"yong yao , johannes gehrke"
541,articles,2002,acm sigmod record,avigdor gal
542,treasurer 's message,2002,acm sigmod record,joachim hammer
543,silkroute : a framework for publishing relational data in xml,2002,acm transactions on database systems ( tods ),"mary fern &#225; ndez , yana kadiyska , dan suciu , atsuyuki morishima , wang-chiew tan"
544,the ecobase project : database and web technologies for environmental information systems,2001,acm sigmod record,"luc bouganim , maria claudia cavalcanti , fran &#231; oise fabret , maria luiza campos , fran &#231; ois llirbat , marta mattoso , rubens melo , ana maria moura , esther pacitti , fabio porto , margareth simoes , eric simon , asterio tanaka , patrick valduriez"
545,data analysis and mining in the life sciences,2001,acm sigmod record,nam huyn
546,influential papers,2001,acm sigmod record,ken ross
547,reminiscences on influential papers,2001,acm sigmod record,kenneth a. ross
548,continuous queries over data streams,2001,acm sigmod record,"shivnath babu , jennifer widom"
549,career forum,2001,acm sigmod record,alexandros labrinidis
550,career-enhancing services at sigmod online,2001,acm sigmod record,"alexandros labrinidis , alberto o. mendelzon"
551,reminiscences on influential papers,2001,acm sigmod record,kenneth a. ross
552,special section on data mining for intrusion detection and threat analysis,2001,acm sigmod record,daniel barbar &#225;
553,special issue on data mining for intrusion detection and threat analysis,2001,acm sigmod record,daniel barbar &#225;
554,data mining-based intrusion detectors : an overview of the columbia ids project,2001,acm sigmod record,"salvatore j. stolfo , wenke lee , philip k. chan , wei fan , eleazar eskin"
555,adam : a testbed for exploring the use of data mining in intrusion detection,2001,acm sigmod record,"daniel barbar &#225; , julia couto , sushil jajodia , ningning wu"
556,detection and classification of intrusions and faults using sequences of system calls,2001,acm sigmod record,"jo &#227; o b. d. cabrera , lundy lewis , raman k. mehra"
557,mining system audit data : opportunities and challenges,2001,acm sigmod record,"wenke lee , wei fan"
558,using unknowns to prevent discovery of association rules,2001,acm sigmod record,"y &#252; cel saygin , vassilios s. verykios , chris clifton"
559,mining e-mail content for author identification forensics,2001,acm sigmod record,"o. de vel , a. anderson , m. corney , g. mohay"
560,interviewing during a tight job market,2002,acm sigmod record,"zachary g. ives , qiong luo"
561,career forum,2002,acm sigmod record,alexandros labrinidis
562,database research at the university of illinois at urbana-champaign,2002,acm sigmod record,"m. winslett , k. chang , a. doan , j. han , c. zhai , y. zhou"
563,research centers,2002,acm sigmod record,amit sheth
564,reminiscences on influential papers,2000,acm sigmod record,kenneth a. ross
565,research activities in database management and information retrieval at university of illinois at chicago,2002,acm sigmod record,"isabel cruz , ashfaq khokhar , bing liu , prasad sistla , ouri wolfson , clement yu"
566,xquery formal semantics state and challenges,2001,acm sigmod record,peter fankhauser
567,advanced xml data processing : guest editor 's introduction,2001,acm sigmod record,karl aberer
568,why and how to benchmark xml databases,2001,acm sigmod record,"albrecht schmidt , florian waas , martin kersten , daniela florescu , michael j. carey , ioana manolescu , ralph busse"
569,a general technique for querying xml documents using a relational database system,2001,acm sigmod record,"jayavel shanmugasundaram , eugene shekita , jerry kiernan , rajasekar krishnamurthy , efstratios viglas , jeffrey naughton , igor tatarinov"
570,on database theory and xml,2001,acm sigmod record,dan suciu
571,wrapping web data into xml,2001,acm sigmod record,"wei han , david buttler , calton pu"
572,"preservation of digital data with self-validating , self-instantiating knowledge-based archives",2001,acm sigmod record,"bertram lud &#228; scher , richard marciano , reagan moore"
573,xml document versioning,2001,acm sigmod record,"shu yao chien , vassilis j. tsotras , carlo zaniolo"
574,the evolution of effective b-tree : page organization and techniques : a personal account,2001,acm sigmod record,david lomet
575,articles,2001,acm sigmod record,avigdor gal
576,the aditi deductive database system,1994,the vldb journal -- the international journal on very large data bases,"jayen vaghani , kotagiri ramamohanarao , david b. kemp , zoltan somogyi , peter j. stuckey , tim s. leask , james harland"
577,efficiently instantiating view-objects from remote relational databases,1994,the vldb journal -- the international journal on very large data bases,"byung suk lee , gio wiederhold"
578,the coral deductive system,1994,the vldb journal -- the international journal on very large data bases,"raghu ramakrishnan , divesh srivastava , s. sudarshan , praveen seshadri"
579,declare and sds : early efforts to commercialize deductive database technology,1994,the vldb journal -- the international journal on very large data bases,"werner kie &#223; ling , helmut schmidt , werner strau &#223; , gerhard d &#252; nzinger"
580,an introduction to deductive database languages and systems,1994,the vldb journal -- the international journal on very large data bases,"kotagiri ramamohanarao , james harland"
581,"the glue-nail deductive database system : design , implementation , and evaluation",1994,the vldb journal -- the international journal on very large data bases,"marcia a. derr , shinichi morishita , geoffrey phipps"
582,versioning and configuration management in an object-oriented data model,1994,the vldb journal -- the international journal on very large data bases,edward sciore
583,special issue on prototypes of deductive database systems,1994,the vldb journal -- the international journal on very large data bases,k. ramamohanarao
584,qualitative representation of spatial knowledge in two-dimensional space,1994,the vldb journal -- the international journal on very large data bases,"dimitris papadias , timos sellis"
585,the tv-tree : an index structure for high-dimensional data,1994,the vldb journal -- the international journal on very large data bases,"king ip lin , h. v. jagadish , christos faloutsos"
586,management of multidimensional discrete data,1994,the vldb journal -- the international journal on very large data bases,peter baumann
587,a semantic modeling approach for image retrieval by content,1994,the vldb journal -- the international journal on very large data bases,"wesley w. chu , ion t. ieong , ricky k. taira"
588,special issue on spatial database systems,1994,the vldb journal -- the international journal on very large data bases,h. j. schek
589,an introduction to spatial database systems,1994,the vldb journal -- the international journal on very large data bases,ralf hartmut g &#252; ting
590,the demarcation protocol : a technique for maintaining constraints in distributed database systems,1994,the vldb journal -- the international journal on very large data bases,"daniel barbar &#225; - mill &#225; , hector garcia-molina"
591,index configuration in object-oriented databases,1994,the vldb journal -- the international journal on very large data bases,elisa bertino
592,sql multimedia and application packages ( sql/mm ),2001,acm sigmod record,"jim melton , andrew eisenberg"
593,standards,2001,acm sigmod record,andrew eisenberg
594,describing semistructured data,2001,acm sigmod record,luca cardelli
595,database principles,2001,acm sigmod record,leonid libkin
596,information warfare and security,2001,acm sigmod record,h. v. jagadish
597,"transactional information systems : theory , algorithms , and the practice of concurrency control and recovery",2001,acm sigmod record,marc h. scholl
598,book review column,2001,acm sigmod record,karl aberer
599,book reviews,2001,acm sigmod record,karl aberer
600,a pattern-based object calculus,1994,the vldb journal -- the international journal on very large data bases,"nabil kamel , ping wu , stanley y. w. su"
601,dynamic maintenance of data distribution for selectivity estimation,1994,the vldb journal -- the international journal on very large data bases,"kyu young whang , sang wook kim , gio wiederhold"
602,chronological scheduling of transactions with temporal dependencies,1994,the vldb journal -- the international journal on very large data bases,"dimitrios georgakopoulos , marek rusinkiewicz , witold litwin"
603,research in multi-organizational processes and semantic information brokering at the lsdis lab,2001,acm sigmod record,"amit sheth , john miller , krys kochut , budak arpinar"
604,research centers,2001,acm sigmod record,amit sheth
605,on the academic interview circuit : an end-to-end discussion,2001,acm sigmod record,u &#287; ur &#199; etintemel
606,career forum,2001,acm sigmod record,alexandros labrinidis
607,java support for data-intensive systems : experiences building the telegraph dataflow system,2001,acm sigmod record,"mehul a. shah , michael j. franklin , samuel madden , joseph m. hellerstein"
608,special section on semantic web and data management,2002,acm sigmod record,"robert meersman , amit sheth"
609,data modelling versus ontology engineering,2002,acm sigmod record,"peter spyns , robert meersman , mustafa jarrar"
610,methodology for development and employment of ontology based knowledge management applications,2002,acm sigmod record,"york sure , steffen staab , rudi studer"
611,a conceptual architecture for semantic web enabled web services,2002,acm sigmod record,"christoph bussler , dieter fensel , alexander maedche"
612,sleepers and workaholics : caching strategies in mobile environments ( extended version ),1995,the vldb journal -- the international journal on very large data bases,"daniel barbar &#225; , tomasz imieli &#324; ski"
613,alphasort : a cache-sensitive parallel external sort,1995,the vldb journal -- the international journal on very large data bases,"chris nyberg , tom barclay , zarka cvetanovic , jim gray , dave lomet"
614,quickstore : a high performance mapped object store,1995,the vldb journal -- the international journal on very large data bases,"seth j. white , david j. dewitt"
615,estimating page fetches for index scans with finite lru buffers,1995,the vldb journal -- the international journal on very large data bases,"arun swami , k. bernhard schiefer"
616,emergent semantics and the multimedia semantic web,2002,acm sigmod record,"w. i. grosky , d. v. sreenath , f. fotouhi"
617,querying multiple bioinformatics information sources : can semantic web research help ?,2002,acm sigmod record,"david buttler , matthew coleman , terence critchlow , renato fileto , wei han , calton pu , daniel rocco , li xiong"
618,the grid : an application of the semantic web,2002,acm sigmod record,"carole goble , david de roure"
619,book reviews,2002,acm sigmod record,karl aberer
620,"agents , trust , and information access on the semantic web",2002,acm sigmod record,"tim finin , anupam joshi"
621,conceptual model of web service reputation,2002,acm sigmod record,"e. michael maximilien , munindar p. singh"
622,the &#961; operator : discovering and ranking associations on the semantic web,2002,acm sigmod record,"kemafor anyanwu , amit sheth"
623,a framework for semantic gossiping,2002,acm sigmod record,"karl aberer , philippe cudr &#233; - mauroux , manfred hauswirth"
624,updating knowledge bases while maintaining their consistency,1995,the vldb journal -- the international journal on very large data bases,"ernest teniente , antoni oliv &#233;"
625,data model for extensible support of explicit relationships in design databases,1995,the vldb journal -- the international journal on very large data bases,"joan peckham , bonnie mackellar , michael doherty"
626,interviso : dealing with the complexity of federated database access,1995,the vldb journal -- the international journal on very large data bases,"marjorie templeton , herbert henley , edward maros , darrel j. van buer"
627,realm-based spatial data types : the rose algebra,1995,the vldb journal -- the international journal on very large data bases,"ralf hartmut g &#252; ting , markus schneider"
628,hyperfile : a data and query model for documents,1995,the vldb journal -- the international journal on very large data bases,"chris clifton , hector garcia-molina , david bloom"
629,the software information base : a server for reuse,1995,the vldb journal -- the international journal on very large data bases,"panos constantopoulos , matthias jarke , john mylopoulos , yannis vassiliou"
630,characterization of database access pattern for analytic prediction of buffer hit probability,1995,the vldb journal -- the international journal on very large data bases,"asit dan , philip s. yu , jen yao chung"
631,ordered shared locks for real-time databases,1995,the vldb journal -- the international journal on very large data bases,"divyakant agrawal , amr el abbadi , richard jeffers , lijing lin"
632,historical queries along multiple lines of time evolution,1995,the vldb journal -- the international journal on very large data bases,"gad m. landau , jeanette p. schmidt , vassilis j. tsotras"
633,"adaptable pointer swizzling strategies in object bases : design , realization , and quantitative analysis",1995,the vldb journal -- the international journal on very large data bases,"alfons kemper , donald kossmann"
634,special system-oriented section : the best of sigmod '94,1995,the vldb journal -- the international journal on very large data bases,stanley y. w. su
635,the power of languages for the manipulation of complex values,1995,the vldb journal -- the international journal on very large data bases,"serge abiteboul , catriel beeri"
636,fibonacci : a programming language for object databases,1995,the vldb journal -- the international journal on very large data bases,"antonio albano , giorgio ghelli , renzo orsini"
637,orthogonally persistent object systems,1995,the vldb journal -- the international journal on very large data bases,"malcolm atkinson , ronald morrison"
638,themis : a database programming language handling integrity constraints,1995,the vldb journal -- the international journal on very large data bases,"v &#233; ronique benzaken , anne doucet"
639,tigukat : a uniform behavioral objectbase management system,1995,the vldb journal -- the international journal on very large data bases,"m. tamer &#214; zsu , randal peters , duane szafron , boman irani , anna lipka , adriana mu &#241; oz"
640,rate-based query optimization for streaming information sources,2002,international conference on management of data,"stratis d. viglas , jeffrey f. naughton"
641,an adaptive peer-to-peer network for distributed caching of olap results,2002,international conference on management of data,"panos kalnis , wee siong ng , beng chin ooi , dimitris papadias , kian-lee tan"
642,efficient integration and aggregation of historical information,2002,international conference on management of data,"mirek riedewald , divyakant agrawal , amr el abbadi"
643,archiving scientific data,2002,international conference on management of data,"peter buneman , sanjeev khanna , keishi tajima , wang-chiew tan"
644,efficient evaluation of queries in a mediator for websources,2002,international conference on management of data,"vladimir zadorozhny , louiqa raschid , maria esther vidal , tolga urhan , laura bright"
645,best-effort cache synchronization with source cooperation,2002,international conference on management of data,"chris olston , jennifer widom"
646,processing complex aggregate queries over data streams,2002,international conference on management of data,"alin dobra , minos garofalakis , johannes gehrke , rajeev rastogi"
647,continuously adaptive continuous queries over streams,2002,international conference on management of data,"samuel madden , mehul shah , joseph m. hellerstein , vijayshankar raman"
648,reports,2002,acm sigmod record,avigdor gal
649,reminiscences on influential papers,2002,acm sigmod record,kenneth a. ross
650,influential papers,2002,acm sigmod record,ken ross
651,too much middleware,2002,acm sigmod record,michael stonebraker
652,why i like working in academia,2002,acm sigmod record,richard thomas snodgrass
653,career forum,2002,acm sigmod record,alexandros labrinidis
654,advances in databases and information systems : report of 5th east european conference adbis ' 2001,2002,acm sigmod record,"albertas caplinskas , johann eder , olegas vasilecas"
655,report on the 18th british national conference on databases ( bncod ),2002,acm sigmod record,"carole goble , brian read"
656,what will be,2002,acm sigmod record,michael dertouzos
657,distinguished database profiles,2002,acm sigmod record,marianne winslett
658,databases and transaction processing : an application-oriented approach,2002,acm sigmod record,"philip m. lewis , arthur bernstein , michael kifer"
659,data mining : practical machine learning tools and techniques with java implementations,2002,acm sigmod record,"ian h. witten , eibe frank"
660,the xml typechecking problem,2002,acm sigmod record,dan suciu
661,industry perspective,2002,acm sigmod record,len seligman
662,"avi silberschatz speaks out : on academia versus industrial labs , startup fever , database phd quality , the future of data mining as a research area , ip issues , how he would n't change a thing , and more",2002,acm sigmod record,marianne winslett
663,database principles,2002,acm sigmod record,leonid libkin
664,business data management for business-to-business electronic commerce,2002,acm sigmod record,"christoph quix , mareike schoop , manfred jeusfeld"
665,a multi-agent system infrastructure for software component market-place : an ontological perspective,2002,acm sigmod record,"riza cenk erdur , o &#287; uz dikenelli"
666,conceptual modeling and specification generation for b2b business processes based on ebxml,2002,acm sigmod record,hyoungdo kim
667,semantic b2b integration : issues in ontology-based approaches,2002,acm sigmod record,"zhan cui , dean jones , paul o'brien"
668,book reviews,2002,acm sigmod record,karl aberer
669,book review column,2002,acm sigmod record,karl aberer
670,supply chain infrastructures : system integration and information sharing,2002,acm sigmod record,"michael o. ball , meng ma , louiqa raschid , zhengying zhao"
671,the role of b2b engines in b2b integration architectures,2002,acm sigmod record,christoph bussler
672,clustering by pattern similarity in large data sets,2002,international conference on management of data,"haixun wang , wei wang , jiong yang , philip s. yu"
673,general match : a subsequence matching method in time-series databases based on generalized windows,2002,international conference on management of data,"yang-sae moon , kyu-young whang , wook-shin han"
674,a monte carlo algorithm for fast projective clustering,2002,international conference on management of data,"cecilia m. procopiuc , michael jones , pankaj k. agarwal , t. m. murali"
675,mining long sequential patterns in a noisy environment,2002,international conference on management of data,"jiong yang , wei wang , philip s. yu , jiawei han"
676,selectivity estimation for spatio-temporal queries to moving objects,2002,international conference on management of data,"yong-jin choi , chin-wan chung"
677,dynamic multidimensional histograms,2002,international conference on management of data,"nitin thaper , sudipto guha , piotr indyk , nick koudas"
678,dwarf : shrinking the petacube,2002,international conference on management of data,"yannis sismanis , antonios deligiannakis , nick roussopoulos , yannis kotidis"
679,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",2002,international conference on management of data,charu c. aggarwal
680,efficient algorithms for minimizing tree pattern queries,2002,international conference on management of data,prakash ramanan
681,approximate xml joins,2002,international conference on management of data,"sudipto guha , h. v. jagadish , nick koudas , divesh srivastava , ting yu"
682,efficient k-nn search on vertically decomposed data,2002,international conference on management of data,"arjen p. de vries , nikos mamoulis , niels nes , martin kersten"
683,holistic twig joins : optimal xml pattern matching,2002,international conference on management of data,"nicolas bruno , nick koudas , divesh srivastava"
684,minimal probing : supporting expensive predicates for top-k queries,2002,international conference on management of data,"kevin chen-chuan chang , seung-won hwang"
685,time-parameterized queries in spatio-temporal databases,2002,international conference on management of data,"yufei tao , dimitris papadias"
686,continually evaluating similarity-based pattern queries on a streaming time series,2002,international conference on management of data,"like gao , x. sean wang"
687,statistical synopses for graph-structured xml databases,2002,international conference on management of data,"neoklis polyzotis , minos garofalakis"
688,qursed : querying and reporting semistructured data,2002,international conference on management of data,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos"
689,storing and querying ordered xml using a relational database system,2002,international conference on management of data,"igor tatarinov , stratis d. viglas , kevin beyer , jayavel shanmugasundaram , eugene shekita , chun zhang"
690,executing sql over encrypted data in the database-service-provider model,2002,international conference on management of data,"hakan hacig &#252; m &#252; &#351; , bala iyer , chen li , sharad mehrotra"
691,workflow management with service quality guarantees,2002,international conference on management of data,"michael gillmann , gerhard weikum , wolfgang wonner"
692,"mining database structure ; or , how to build a data quality browser",2002,international conference on management of data,"tamraparni dasu , theodore johnson , s. muthukrishnan , vladislav shkapenyuk"
693,a scalable hash ripple join algorithm,2002,international conference on management of data,"gang luo , curt j. ellmann , peter j. haas , jeffrey f. naughton"
694,exploiting statistics on query expressions for optimization,2002,international conference on management of data,"nicolas bruno , surajit chaudhuri"
695,partial results for online query processing,2002,international conference on management of data,"vijayshankar raman , joseph m. hellerstein"
696,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation,2002,international conference on management of data,"anindya datta , kaushik dutta , helen thomas , debra vandermeer , suresha , krithi ramamritham"
697,accelerating xpath location steps,2002,international conference on management of data,torsten grust
698,apex : an adaptive path index for xml data,2002,international conference on management of data,"chin-wan chung , jun-ki min , kyuseok shim"
699,covering indexes for branching path queries,2002,international conference on management of data,"raghav kaushik , philip bohannon , jeffrey f naughton , henry f korth"
700,implementing database operations using simd instructions,2002,international conference on management of data,"jingren zhou , kenneth a. ross"
701,fractal prefetching b + - trees : optimizing both cache and disk performance,2002,international conference on management of data,"shimin chen , phillip b. gibbons , todd c. mowry , gary valentin"
702,skew handling techniques in sort-merge join,2002,international conference on management of data,"wei li , dengfeng gao , richard thomas snodgrass"
703,statix : making xml count,2002,international conference on management of data,"juliana freire , jayant r. haritsa , maya ramanath , prasan roy , j &#233; r &#244; me sim &#233; on"
704,hd-eye : visual clustering of high dimensional data,2002,international conference on management of data,"alexander hinneburg , daniel a. keim , markus wawryniuk"
705,gea : a toolkit for gene expression analysis,2002,international conference on management of data,"jessica m. phan , raymond ng"
706,dbxplorer : enabling keyword search over relational databases,2002,international conference on management of data,"sanjay agrawal , surajit chaudhuri , gautam das"
707,cubeexplorer : online exploration of data cubes,2002,international conference on management of data,"jiawei han , jianyong wang , guozhu dong , jian pei , ke wang"
708,xl : a platform for web services,2002,international conference on management of data,"daniela florescu , andreas gr &#252; nhagen , donald kossmann , steffen rost"
709,roadrunner : automatic data extraction from data-intensive web sites,2002,international conference on management of data,"valter crescenzi , giansalvatore mecca , paolo merialdo"
710,gigascope : high performance network monitoring with an sql interface,2002,international conference on management of data,"chuck cranor , yuan gao , theodore johnson , vlaidslav shkapenyuk , oliver spatscheck"
711,distributing queries over low-power wireless sensor networks,2002,international conference on management of data,"samuel madden , joseph m. hellerstein"
712,cougar : the network is the database,2002,international conference on management of data,"wai fu fung , david sun , johannes gehrke"
713,"commix : towards effective web information extraction , integration and query answering",2002,international conference on management of data,"tengjiao wang , shiwei tang , dongqing yang , jun gao , yuqing wu , jian pei"
714,acdn : a content delivery network for applications,2002,international conference on management of data,"pradnya karbhari , michael rabinovich , zhen xiao , fred douglis"
715,xcache : a semantic caching system for xml queries,2002,international conference on management of data,"li chen , elke a. rundensteiner , song wang"
716,visual coko : a debugger for query optimizer development,2002,international conference on management of data,"daniel j. abadi , mitch cherniack"
717,toxgene : a template-based data generator for xml,2002,international conference on management of data,"denilson barbosa , alberto mendelzon , john keenleyside , kelly lyons"
718,the xxl search engine : ranked retrieval of xml data using indexes and ontologies,2002,international conference on management of data,"anja theobald , gerhard weikum"
719,rainbow : mapping-driven xquery processing system,2002,international conference on management of data,"xin zhang , mukesh mulchandani , steffen christ , brian murphy , elke a. rundensteiner"
