pub_id,publication_venue,pub_year,subject_title,written_by
240,"proceedings of the 1989 acm sigmod international conference & hellip ; ,",1989.0,composite objects revisited,"w kim , e bertino , jf garza"
241,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0,optimization of dynamic query evaluation plans,"rl cole , g graefe"
242,at .,,"yu . a. medvedev , and bm stepanov",av zhemerev
243,"acm siggraph conference proceedings ,",,progressive encoding for lossless transmission of 3d meshes,"p alliez , m desbrun"
244,,1989.0,the house mouse : atlas of embryonic development,k theiler
245,,1985.0,provably secure coin flip in a byzantine environment,"s awerbuch , b chor , s goldwasser , s micali"
246,"electronic learning ,",1989.0,distance learning : whatâ ?? s holding back this boundless delivery system,i bruder
247,"information & software technology ,",2002.0,soft-link hypertext for information retrieval,"md ` inverno , p howells , mj hu , m luck"
248,"electronic design ,",,"testability , 1985 technology forecast",b milne
249,"international conference on business process management ,",,an organisational perspective of inter-organisational workflows,"x zhao , c liu , y yang"
250,"proc . int . conf . intell . syst . mol . biol ,",1997.0,the gene-finder computer tools for analysis of human and model organisms genome sequences,"v solovyev , a salamov"
251,"economic geography ,",1994.0,socioeconomic restructuring and regional change : rethinking growth in the european community .,a rodriguez-pose
252,"information and software technology ,",1987.0,introduction to integrated project support environments,p hitchcock
253,"28th annu . proc . int . reliability physics symp ,",,h instability and 1 = f noise in bipolar transistors,"z yiqi , s qing"
254,"vldb ,",1986.0,the remit system for paraphrasing relational query expressions into natural language,bgt lowden
255,"md ,",,"the , l.-s. , & leising",pa milne
256,"vldb ,",1998.0,mapinfo spatialware : a spatial information server for rdbms .,c mina
257,at .,,correlation-dispersion method of measuring the output of a water-water power reactor,"ln bogachek , ka gazaryan , vv lyenkoâ ? ¦"
258,"new directions for program evaluation ,",1983.0,the stakeholder approach to evaluation : origins and promise,ch weiss
259,"information and software technology ,",2003.0,experience in developing and testing network protocol software using fdts,"mu uyar , ma fecko , ay duale , pd amer , as sethi"
260,"transplantation proceedings ,",1994.0,"modes of action of fk506 , cyclosporin a , and rapamycin",r morris
261,"technical report cs-tr-3987 , department of computer science ,",,"tata probabilistic temporal databases , i : algebra","a dekhtyar , r ross , vs subrahmanian"
262,,,mpegâ ?? 7 camera,"t ebrahimi , y abdeljaoued , rmf i ventura , od"
263,vivo demonstration of the circadian . rhythm of cholesterol,,"a. , h. muroya , and rg gould . 1972",p edwards
264,"sigmod record ,",,asilomar report,"p bernstein , m brodie , s ceri , m franklinâ ? ¦"
265,"communications-acm ,",2000.0,i2i trust in e-commerce,"js olson , gm olson"
266,"unep , athens ( greece ) . 1991. ,",1991.0,the stimulation of reproduction in coelenterates by low levels of toxic stress .,ard stebbing
267,"submitted for publication ,",2003.0,contractual types,o nierstrasz
268,"proc . int . test conference ,",1990.0,arrangement of latches in scan-path design to improve delay fault coverage,"w mao , md ciletti"
269,"at spectrosc ,",,selenium determination in animal whole blood using stabilized temperature platform furnace and,"rh eckerlin , dw hoult , gr carnrick"
270,"acm sigplan notices ,",1982.0,automatic assessment aids for pascal programs,mj rees
271,"& hellip ; eidgenoessische technische hochschule , zurich ( switzerland ) & hellip ; ,",1974.0,the formulation of molecular quantum mechanics with the aid of particle density operators and phase,m schleicher
272,,1980.0,engineering applications of correlation and spectral analysis,"js bendat , a piersol"
273,"proceedings of the 1996 ieee/acm international conference on & hellip ; ,",,optimal selection of supply voltages and level-conversion during data-path scheduling under resource,"m johnson , k roy"
274,"virology-new york - ,",1994.0,the transmembrane domain of the large subunit of hsv-2 ribonucleotide reductase ( icp10 ) is required,"cc smith , jh luo , jcr hunter , jv ordonez"
275,"proc . ire ,",,binary data transmission techniques for linear systems,"ml doelz , et heald , dl martin"
276,"proceedings of 24th acm sigmod international conference on & hellip ; ,",2005.0,proda : a suite of web-services for progressive data analysis,"m jahangiri , c shahabi"
277,"www9 / computer networks ,",2000.0,continuous querying in database-centric web applications,"jc shafer , r agrawal"
278,"unpublished manuscript ,",,unpacking phonological awareness : two treatments for low-skilled kindergarten children,"re o'connor , jr jenkins , ta slocum"
279,"mit , laboratory for computer science , http://larch . lcs . mit .",,"lp { the larch prover : version 3.1 , 1995",s garland
280,,,the discovery of the individual 1050-1200,c morris
281,,,â ?? punctualityâ ?? and verb semantics,s engelberg
