ref_id,model_tag,retail_price,supplier,item_cat
1643,cd-bl,10.0,bluelounge,electronics - general
1644,,147.0,,computers
1645,adbcd20427wi,699.0,adobe,software
1646,38293rqq,899.0,hon,furniture
1647,s60433,5.48,,stationery & office machinery
1648,,39.94,,stationery & office machinery
1649,it4ll-pnk,24.99,ifrogz,mp3 accessories
1650,ducf32gbr,64.99,duracell,usb drives
1651,08563,9.99,inland,electronics - general
1652,qs408-811-5,714.28,q-see,garden - general
1653,cb-usbxt,13.88,sabrent,electronics - general
1654,mu6mms2ra,7.88,startech,electronics - general
1655,mc939ll/a,36.88,apple,computers
1656,m315,19.88,logitech,mice
1657,24020300,36.97,guardian,home care
1658,40143,19.0,cables to go,electronics - general
1659,318-cf616,13.99,general tools,hand tools
1660,30256,20.82,dymo,stationery & office machinery
1661,pe204198,10.98,edge,usb drives
1662,mr-hh425li vp,149.98,cobra,electronics - general
1663,,199.99,level mount,tv accessories
1664,mhp216,19.88,altec lansing,electronics - general
1665,9125-30-15,289.88,gn netcom,mp3 accessories
1666,pt-18r,129.88,brother,printers
1667,100-505551,91.92,amd,electronics - general
1668,fvs318g-100nas,118.0,netgear,networking
1669,swocr0467,124.99,penpower,electronics - general
1670,145295,55.99,u.s. traveler,electronics - general
1671,vmc-mhc1,32.0,sony,photography - general
1672,hp vz346aa,19.0,hp,electronics - general
1673,,11.98,verbatim,usb drives
1674,61510u01c,25.0,,storage
1675,114093,4809.7,draper,electronics - general
1676,114098,8112.2,draper,electronics - general
1677,105012,3685.0,draper,electronics - general
1678,104016,1516.95,draper,electronics - general
1679,104173,1336.05,draper,electronics - general
1680,230125,525.0,draper,electronics - general
1681,vcc004muviblk,69.0,veho,camcorders
1682,enc-117black,24.88,case logic,electronics - general
1683,fd2080,12.21,scosche,car stereos
1684,66451,27.94,rolodex,stationery & office machinery
1685,997,0.0,generic,stationery & office machinery
1686,54901,52.54,,stationery & office machinery
1687,r4500,84.94,,stationery & office machinery
1688,82007,47.84,,stationery & office machinery
1689,10545,42.94,,stationery & office machinery
1690,,228.0,,electronics - general
1691,354007be,57.97,rubbermaid commercial,storage
1692,rr1420,10.49,,electronics - general
1693,510010,25.94,,stationery & office machinery
1694,ptheatre,46.26,,mp3
1695,37160,41.18,,stationery & office machinery
1696,,11.28,,electronics - general
1697,,12.54,,stationery & office machinery
1698,20314,5.54,,stationery & office machinery
1699,48434,22.69,,stationery & office machinery
1700,pro330,9.94,,stationery & office machinery
1701,24117,45.94,,stationery & office machinery
1702,421013bla,20.94,,stationery & office machinery
1703,21110,6.18,,stationery & office machinery
1704,,16.88,,stationery & office machinery
1705,602956006664,39.99,,mp3 accessories
1706,4312,5.0,,stationery & office machinery
1707,1710,20.88,,stationery & office machinery
1708,16640,33.94,,stationery & office machinery
1709,11218,46.94,,stationery & office machinery
1710,55011,52.88,,stationery & office machinery
1711,15320,34.05,,stationery & office machinery
1712,d66174,8.27,,stationery & office machinery
1713,36226,52.94,,stationery & office machinery
1714,s59720,64.94,,stationery & office machinery
1715,4054bl,49.0,,storage
1716,ds420va,24.94,,stationery & office machinery
1717,3284,8.86,,stationery & office machinery
1718,,58.0,,printers
1719,,12.0,,camera and camcorder accessories
1720,70121,12.47,,stationery & office machinery
1721,,5.0,five star,stationery & office machinery
1722,,6.47,,stationery & office machinery
1723,,9.5,,electronics-inflexible kit
1724,fh207,7.15,dixie,house wares
1725,,3.0,,electronics - general
1726,eg020304,23.97,guardian,rugs
1727,,35.0,hp,electronics - general
1728,sa68,11.88,scosche,car stereos
1729,khx1800c9d3k2/4g,83.99,kingston,memory
1730,cd-355,5.88,maxell,electronics - general
1731,slp-35l,14.88,seiko,stationery & office machinery
1732,psf16gsdhc10,49.98,patriot,usb drives
1733,90751,6.99,da-lite,electronics - general
1734,330-0043,15.97,dell,printers
1735,wmmc-1,0.0,generic,stationery & office machinery
1736,02920,46.97,kimberly-clark professional,home care
1737,f8z514tt064,18.88,belkin,mp3 accessories
1738,70554,16.99,kodak,mp3 accessories
1739,218564,19.99,roocase,electronics - general
1740,fp-bp,59.75,comprehensive,tv accessories
1741,190242 jt-pu,9.88,maxell,electronics - general
1742,cj1278b,8.68,scosche,car stereos
1743,rbe320vl,287.0,vizio,electronics : flat panel tv
1744,deh-44hd,0.0,pioneer,car stereos
1745,4133300407,0.0,duracell,electronics - general
1746,48124,5.97,quartet,stationery & office machinery
1747,,6.18,,electronics - general
1748,30568,12.97,bigelow,beverages
1749,18234,0.0,general electric,electronics - general
1750,cx154dvc,64.0,boss,portable audio
1751,630020,1.98,maxell,mp3 accessories
1752,db25m,69.0,comprehensive,tv accessories
1753,pn925,12.77,,stationery & office machinery
1754,kh207,7.15,dixie,house wares
1755,ct064m4ssd2cca,159.15,crucial technology,hard drives
1756,da-zmp-16g-ca-g2-r,21.67,dane-elec,usb drives
1757,33310,0.0,ge,electronics - general
1758,8030401,21.88,fellowes,electronics - general
1759,9960alu,599.0,lenovo,desktop computers
1760,99708,5.77,tops business forms,stationery & office machinery
1761,lswx10tlr1,192.63,buffalo technology,networking
1762,tdp017us,21.46,targus,electronics - general
1763,13833,0.0,generic,stationery & office machinery
1764,40245fu,979.0,lenovo,desktop computers
1765,bower sapm,8.74,bower,photography - general
1766,80202,5.24,mace security,garden - general
1767,4.332442 e7,100.0,oki,printers
1768,dps601,25.88,digipower,photography - general
1769,hdr-fan,55.99,middle atlantic,tv accessories
1770,28102,4.9,cables to go,electronics - general
1771,c9202kh,288.86,lexmark,printers
1772,4.3324404 e7,119.0,oki,printers
1773,vireco0112,9.37,dixie,house wares
1774,cs0035br,59.97,crown,home care
1775,03158,0.0,just wireless,electronics - general
1776,el1192bl,37.63,sharp,stationery & office machinery
1777,kxfa132,49.84,panasonic,camera and camcorder accessories
1778,,179.88,,electronics - general
1779,te84vw2,637.0,elite screens,electronics - general
1780,r4202,38.94,,stationery & office machinery
1781,series 15 black,18.97,dell,printers
1782,12244wh,20.97,,house wares
1783,21661,10.88,encore,software
1784,9vmv5,39.0,dell,electronics - general
1785,rt5711-red,15.29,bic,stationery & office machinery
1786,00026,14.97,,beverages
1787,263788gy,87.97,rubbermaid commercial,storage
1788,ap15,141.31,plantronics,electronics - general
1789,p4480,69.95,p3 international corporation,portable audio
1790,vis6008,15.0,,stationery & office machinery
1791,te0046gy,124.97,crown,rugs
1792,ac401,14.84,cyber acoustics,electronics - general
1793,ts-d1302r,136.0,pioneer,car stereos
1794,45scdx,42.97,dixie,house wares
1795,e421vo,498.0,vizio,electronics : flat panel tv
1796,aud-1000-50,9.88,cables unlimited,electronics - general
1797,xvt553sv,999.0,vizio,television
1798,15920,5.75,innovera,stationery & office machinery
1799,,9.5,,electronics-inflexible kit
1800,35500,11.47,tops business forms,stationery & office machinery
1801,g781,8.29,rubbermaid commercial,soi items - grocery hba pets
1802,c6658an,28.88,hp,printers
1803,usoa400,109.82,iris,electronics - general
1804,rs9cyw,13.97,solo,house wares
1805,sdsdb016gaw11,34.54,sandisk,usb drives
1806,ea92bp-8,21.0,energizer,electronics - general
1807,spk-a0405,0.0,speck,mp3 accessories
1808,sentry microbuds,10.0,sentry,mp3 accessories
1809,84374,3077.99,da-lite,electronics - general
1810,d1t00011,19.95,microsoft,mice
1811,9182201,11.84,fellowes,electronics - general
1812,p7t10,15.88,apc,computers
1813,283tpd,14.88,xantech,stereos/audio
1814,48123,5.97,quartet,stationery & office machinery
1815,21403,10.94,wilson jones,stationery & office machinery
1816,e450h11a,248.27,lexmark,printers
1817,,6.68,,electronics-inflexible kit
1818,p6823wb,498.0,hp,desktop computers
1819,7204,19.49,,home - general
1820,2431,55.97,lavazza,beverages
1821,eclipsecld2pl,22.0,mach speed,mp3
1822,f-blcm,33.75,comprehensive,tv accessories
1823,12jl,21.97,,house wares
1824,f2n028-06-gld,7.88,belkin,electronics - general
1825,spp3160c/17,0.0,philips,electronics - general
1826,16j16,64.97,,house wares
1827,ex-zs10bk,120.0,casio,digital cameras
1828,01510,61.97,kimberly-clark professional,home care
1829,3dv5,129.98,viewsonic,camcorders
1830,c3165fbl,10.46,,home - general
1831,85691,1355.99,da-lite,electronics - general
1832,sgt-7ss,16.88,arkon,car stereos
1833,su03b,9.88,scosche,car stereos
1834,eg030504,55.97,guardian,rugs
1835,epflcc,81.97,,house wares
1836,lcmema/b,39.98,sony,photography - general
1837,hdmiacfm,14.98,startech,electronics - general
1838,48111,3.97,quartet,stationery & office machinery
1839,84367,2022.99,da-lite,electronics - general
1840,70019,8.69,,baking goods
1841,f2e9142-wht-apl,29.88,belkin,electronics - general
1842,70126,12.0,inland,electronics - general
1843,46157,38.88,imation,mp3 accessories
1844,sisipcrc,16.54,scosche,mp3 accessories
1845,ts-a1674r,90.88,pioneer,car stereos
1846,psc-4100,22.99,canon,photography - general
1847,mp2651be,10.47,boise,stationery & office machinery
1848,378si,72.97,solo,house wares
1849,lb3081,37.97,solo,house wares
1850,7653,54.1,innovera,printers
1851,tl-ant2405cl,8.88,tp link,networking
1852,3202-1990,29.88,memorex,electronics - general
1853,sf16n4/tqp,0.0,sony,usb drives
1854,mc688ll/a,134.54,apple,mp3
1855,89875,348.99,da-lite,electronics - general
1856,,6.75,,electronics - general
1857,295073be,9.49,rubbermaid commercial,garden - general
1858,k62561us,24.88,kensington,electronics - general
1859,vireco0108,3.59,dixie,house wares
1860,fva4556,29.99,tribeca,electronics - general
1861,d2130b,58.9,innovera,printers
1862,mdrzx100/whi,24.88,sony,electronics - general
1863,ljdff2gbasbna,13.88,lexar media,usb drives
1864,tower,24.88,terk,video receiving & installation
1865,18238,0.0,general electric,electronics - general
1866,clp-500rb,199.88,samsung,printers
1867,p-sdhc16g4-ef,26.0,pny,usb drives
1868,qsdb8209c,129.82,q-see,garden - general
1869,,42.0,,computers
1870,,23.88,kensington,mice
1871,ih-h413un,29.84,ihome,electronics - general
1872,p8t3,22.0,apc,computers
1873,48629,13.98,tdk,mp3 accessories
1874,sl1003,14.73,sakar,electronics - general
1875,tl-ant2409b,27.88,tp link,networking
1876,4071,112.97,safco products,hand tools
1877,f6002160,798.0,ivina,electronics - general
1878,xmp3hp,54.88,audiovox,electronics - general
1879,120463,31.99,case logic,electronics - general
1880,352700gy,16.49,rubbermaid commercial,storage
1881,ipd3101-2,39.88,limited luxury,electronics - general
1882,fva2158,19.99,tribeca,electronics - general
1883,21191,10.88,encore,software
1884,,29.59,universal products,stationery & office machinery
1885,5293,12.54,avery,stationery & office machinery
1886,89775,359.0,balt,furniture
1887,sa2vbe04kc/17,39.98,philips,mp3
1888,910001898,27.82,logitech,mice
1889,,11.2,chief manufacturing,stationery & office machinery
1890,55y3710,37.92,lenovo,memory
1891,spk-24gx,148.0,cables unlimited,stereos/audio
1892,064652u,788.0,lenovo,laptop computers
1893,01g-p3-1302-lr,44.99,evga,electronics - general
1894,st-169a,49.73,macsense,electronics - general
1895,qt426-5,612.24,q-see,garden - general
1896,14462,12.49,diamond crystal,spices
1897,displport20l,44.0,startech,electronics - general
1898,hsb430satbk,104.0,startech,networking
1899,kx-fatc506,89.84,panasonic,printers
1900,dp46841,578.0,sanyo,television
1901,05321,89.0,inland,monitors
1902,b100solo,58.88,solo,electronics - general
1903,39203,102.88,microsoft,computers
1904,,89.99,peerless,furniture
1905,oczssdpx1rvd110,429.99,ocz technologies,hard drives
1906,p11vt3,27.88,apc,computers
1907,cmx4gx3m2a1600c8,69.82,corsair,memory
1908,uqfp-4dra,525.0,middle atlantic,tv accessories
1909,95137,19.98,verbatim,mp3 accessories
1910,880306,478.0,sigma,camera and camcorder accessories
1911,136079,798.45,draper,electronics - general
1912,207118,186.55,draper,electronics - general
1913,137056,366.99,draper,electronics - general
1914,116236,2965.95,draper,electronics - general
1915,,29.97,targus,computers
1916,54301,11.47,mohawk,stationery & office machinery
1917,nx-3dglrk,77.88,nxg,tv accessories
1918,dell all-in-one,748.0,dell,desktop computers
1919,mf8090aa004,79.99,creative labs,portable audio
1920,eps10hc,37.57,stanley bostitch,stationery & office machinery
1921,89904,164.94,balt,furniture
1922,5289,9.54,avery,stationery & office machinery
1923,hp officejet 7500,249.98,hp,printers
1924,a111b-010b,13.88,accell,electronics - general
1925,vsk2000,55.2,antec,electronics - general
1926,08562,14.99,inland,mp3 accessories
1927,pa50500u5yr,299.98,iosafe,hard drives
1928,kf-251-bk,27.88,kingwin,networking
1929,casbusmbrt,28.88,serif inc,software
1930,bus0250,79.99,targus,mp3 accessories
1931,hd567xznl3,91.88,xfx,electronics - general
1932,c6656an,23.97,hp,printers
1933,t060320,16.84,epson,printers
1934,,599.0,seagate,networking
1935,wp-2100-e-p-ac,77.6,comprehensive,tv accessories
1936,m42n01-7n,24.84,v7,mice
1937,kth-mlg4 / 2g,55.92,kingston,memory
1938,video-px558-dt,72.82,jaton,electronics - general
1939,s041667,45.2,epson,photography - general
1940,ds490-as,307.54,ambir,electronics - general
1941,250014,388.25,draper,electronics - general
1942,sd-89300656,23.82,syba multimedia,electronics - general
1943,kfc-6993ps,84.99,kenwood,car stereos
1944,lexmark pro901,199.99,lexmark,printers
1945,sat2510bu3,27.98,startech,electronics - general
1946,97159,109.98,verbatim,hard drives
1947,,700.99,chief manufacturing,furniture
1948,hp vp052aa #aba,14.88,hp,electronics - general
1949,mpep241-blk,7.29,bic,stationery & office machinery
1950,3skb-x3722-21,584.99,skb cases,electronics - general
1951,ip-909,23.75,incipio,mp3 accessories
1952,07667,16.8,pc treasures,mice
1953,mpex1394b3,69.0,startech,electronics - general
1954,dell inspiron 620,798.0,dell,desktop computers
1955,r33010sst,15.94,,stationery & office machinery
1956,2700-w,10.48,post-it,stationery & office machinery
1957,36834nbl,6.79,wilson jones,stationery & office machinery
1958,216070c08,9.2,,stationery & office machinery
1959,27573,7452.99,da-lite,electronics - general
1960,sb700,329.0,nikon,photography - general
1961,sm512,18.97,arkon,mp3 accessories
1962,mu1mmsra,7.88,startech,electronics - general
1963,3n1mgc,9.88,human toolz,electronics - general
1964,st-828,49.88,macsense,mp3 accessories
1965,,710.99,3m,stationery & office machinery
1966,usb-5010-05m,8.88,cables unlimited,electronics - general
1967,,199.2,chief manufacturing,furniture
1968,,159.2,chief manufacturing,furniture
1969,91655,9.88,velcro,stationery & office machinery
1970,zip-1394-c08,9.88,zip-linq,electronics - general
1971,sps1070a/17,0.0,genuine phillips,electronics - general
1972,sdsdq008ga11m,24.88,sandisk,usb drives
1973,sl1000gbusb20,199.58,iosafe,hard drives
1974,vw246h,199.0,asus,monitors
1975,07068,15.88,pc treasures,laptop computers
1976,swa49-d5,749.54,swann,computers
1977,ed493ut,97.88,hp,electronics - general
1978,tz232,19.88,brother,stationery & office machinery
1979,34837,89.98,iomega,hard drives
1980,mdras30g,19.88,sony,mp3 accessories
1981,hp ch565a,39.88,hp,printers
1982,07316,15.6,pc treasures,electronics - general
1983,ipad-228,33.25,incipio,electronics - general
1984,cf3000u,15.0,gear head,electronics - general
1985,58660,0.0,avery,stationery & office machinery
1986,3s750,86.88,eaton,electronics - general
1987,icc790blk,24.88,iluv,electronics - general
1988,540,65.0,stanley bostitch,stationery & office machinery
1989,,6.75,avery,stationery & office machinery
1990,17548,5.47,avery,stationery & office machinery
1991,cns360gy,34.99,cocoon innovations,electronics - general
1992,3fmsd4gb-r,7.99,wintec,usb drives
1993,c6m-10-rdb,4.68,link depot,networking
1994,hdmi-10-micro,7.98,link depot,networking
1995,v13h010l38,291.84,epson,monitors
1996,90543,420.45,da-lite,electronics - general
1997,dgs1005g,27.88,d-link,networking
1998,ln22d450,224.0,samsung,electronics : flat panel tv
1999,jk-wr0612-s1,30.88,siig,electronics - general
2000,relaunch ss2477g,7.98,bower,camera and camcorder accessories
2001,tip-230u2-bk,11.98,mukii,electronics - general
2002,c9723a,234.84,hp,printers
2003,261010,721.54,olympus,camera and camcorder accessories
2004,cdx-p680,218.0,pioneer,car stereos
2005,,14.92,kingston,memory
2006,usb-1870,27.0,cables unlimited,electronics - general
2007,u1120w,109.0,flip video,camcorders
2008,219943,15.99,roocase,electronics - general
2009,pe197780,26.82,edge,memory
2010,119036,2399.45,draper,electronics - general
2011,154678,55.99,sumdex,electronics - general
2012,05812,59.97,kimberly-clark professional,personal care
2013,29110dbkit,56.88,xantech,stereos/audio
2014,im2306-30001,97.88,storm,photography - general
2015,10442,44.97,kimberly-clark professional,home care
2016,1015b-mu17-bu,278.0,asus,laptop computers
2017,ecr046ch,144.97,crown,home care
2018,3fmcf4gb-r,15.98,wintec,usb drives
2019,s82abcp,369.0,hon,furniture
2020,27557,6426.99,da-lite,electronics - general
2021,cu3672bk,194.97,crown,home care
2022,21072828,17.82,symantec,software
2023,fva3052,19.99,tribeca,electronics - general
2024,n315,24.88,logitech,computers
2025,n570gtxm2d12d5o,393.99,msi,electronics - general
2026,8367a001aa,149.0,canon,printers
2027,iep505pnk,26.88,iluv,electronics - general
2028,a500k01,49.0,acer,laptop computers
2029,55g310u,899.0,toshiba,television
2030,,11.88,energizer,computers
2031,3dpw30r2h,12.0,sony,mp3 accessories
2032,880,23.88,cyberpower,electronics - general
2033,cli221mag,16.84,canon,printers
2034,mm750h,13.82,micro innovations,electronics - general
2035,138546,21.59,sumdex,electronics - general
2036,127329,47.99,magna case,mp3 accessories
2037,twin2x4096-6400c5,74.82,corsair,memory
2038,54500.001,96.84,clarity,electronics - general
2039,pm1115u,40.84,startech,networking
