scholar_id,conf_abbrev,subject_title,author_group,pub_date
25756,"approaches to grammaticalization ,",some grammaticalization changes in estonian and their implications,l campbell,
25757,"approaches to emotion ,",on the nature and function of emotion : a component process approach,kr scherer,
25758,"isbn ,",introduction to spectropolarimetry no,j del toro iniesta,
25759,"journal of personality and social psychology ,",liberating effects of group pressure .,s milgram,1965.0
25760,"new directions for teaching and learning ,",implementing and maintaining a classroom research program for faculty .,ne stetson,1991.0
25761,"acm sigmod record ,",database research at the university of twente,"pmg apers , h balsters , hm blanken , ra de by , maw",1993.0
25762,"new directions for teaching and learning ,",multiple services on request : the university of missouri-kansas city 's metropolitan area schools,dc martin,1985.0
25763,,"the new deal and youth : the civilian conservation corps , the national youth administration , and the",gp rawick,1957.0
25764,"lancet i ,",the allergen proof chamber in the treatment of bronchial asthma and other respiratory diseases,"w storm van leeuwen , w einthoven , w kremer",
25765,"in proc . siggraph , acm press ,",everyday devices that see : electronic-perception technology,c bamjiâ ? ¦,
25766,,research to improve subyearling chinook fish guiding efficiency at mcnary dam-1986 . nmfs/noaa,"ga swan , wt norman",1987.0
25767,proc . of 1996 acm-sigmod int . conf . on management of,birch : an efficient data clustering method for large databases,"t zhang , r ramakrishnan , m linvy",
25768,"proc . llth international conf . on vldb ,",an evaluation of buffer replacement strategies for relational database systems,"h chou , d dewitt",
25769,"acc . chem . res ,",a thermodynamic '' vocabulary '' for metal ion interactions in biological systems .,"mt rodgers , pb armentrout",2004.0
25770,"ph. d. thesis , mit laboratory for computer science ,",fundamentaldesignproblems ofdistributed systems forthe hardreal-time environment,a mok,
25771,,catalog management in websphere commerce suite,t maguire,
25772,"seattle : university of washington ,",relationships in everquest : an ethnographic report ( undergraduate term paper for communication 480 ),no ` brien,
25773,,using a color reflection model to separate highlights from object color,"gj klinker , sa shafer , t kanade",
25774,"technical report , computer systems laboratory , stanford",analysis of the vhsic hardware description language,"dc luckham , y huh , s ghosh , a stanculescu",
25775,,three-dimensional boundary singular elements for electrostatic analysis,"et ong , kh lee , km lim",
25776,"microsoft technical report ,",dynamic host configuration for managing mobility between private and public networks,"a miu , p bahl",
25777,"ieee , proceedings ,",digital optical computing,"aa sawchuk , tc strand",1984.0
25778,"social studies and the young learner ,",holiday videos . media corner .,"ja braun , w benensonâ ? ¦",1993.0
25779,"& hellip ; proceedings d [ see also iee proceedings-control theory and & hellip ; ,",multipurpose controller synthesis in lqg optimal systems,"bs chen , wj wang",1988.0
25780,proc . 1991 acm,1991 new directions for uncertainty reasoning in deductive databases,"u guntzer , w kiesling , h thone",
25781,"sigmod conference ,",integration of heterogeneous databases without common domains using queries based on textual,ww cohen,1998.0
25782,,multi-district trainer of trainers institute : a trainer of trainers model focused on the acquisition,me calderã ³ n,1986.0
25783,"technical report , computer science department , stanford","ref editors . knowledge interchange format , version 3.0 reference manual",mr genesereth,
25784,"journal of personality and social psychology ,",social utility and decision making in interpersonal contexts,"gf loewenstein , l thompson , mh bazerman",1989.0
25785,"software quality management-international conference - ,",reducing risk through process improvement in rapidly changing business and e-commerce environments,"h li , m ross , g king , g staples",
25786,,performance improvement of half controlled three phase pwm boost rectifier,jun kikuchi,1999.0
25787,"proc . 28th symp . pept . chem. , osaka ,",structure-function relationship of galanin,"t mochizuki , j ishikawa , n takatsuka , m hoshino , n",
25788,"machine learning ,",context-sensitive models in inductive logic programming,a srinivasan,
25789,"submitted for publication ,",applying reinforcement learning to instruction scheduling within basic blocks,"d scheeff , c brodley , e moss , j cavazos , d",
25790,at .,half-lives for spontaneous fission of 23spu and 2zpu,"aa druzhinin , vn polynov , am korochkinâ ? ¦",
25791,,atm transfer capabilities : a critical review,f guillemin,
25792,"annual conference of the association of american geographers & hellip ; ,",fast policy/local discipline : the politics of scale and the neoliberal workfare offensive,"b jessop , j peck",
25793,"unpublished manuscript ,",women in community psychology : empowerment in process,"c swift , ma bond , i serrano-garcä ± ã ¡",
25794,,the porphyrin handbook,p hambright,1990.0
25795,at .,thermal method of removing steel shells from oxide fuel elements,"gp novoselov , at ageenkov",
25796,"see ref ,",properties of r plasmids in pseudomonas aeruginosa,ga jacoby,
25797,,user 's guide to pari-gp,c batutâ ? ¦,
25798,"computer networks ,",stochastic process algebras - between lotos and markov chains,"h hermanns , u herzog , v mertsiotakis",1998.0
25799,proc . 1976 international conference on management of,"ag , and dale , nb , '' schema and occurrence structure transformation in hierarchical systems , ''",pt dale,
25800,"computerworld ,","in depth : look out , here comes india",j vijayan,
25801,"technical report , ibm almaden research center ,",clustering with informative priors,"s vaithyanathan , d gondek",
25802,"computerworld ,",a step beyond a database,gh anthes,
25803,"journal of personality and social psychology ,",perceived control and distress following sexual assault : a longitudinal test of a new model,pa frazier,2003.0
25804,"pdf > ,","national health insurance in poland : a coach without horses ? ( visited jan. 20 , 2000 ) < http://www .",p berman,
25805,,estimation of the vocal tract shape by optimal inverse filtering and acoustic/articulatory,h wakita,1972.0
25806,"the histochemical journal ,",an enzyme histochemical study of isoproterenol-induced myocardial necroses in rats,"a meijer , h hettwer , ag ciplea",1988.0
25807,"proc . of acm sigcomm ,",chord : a scalable p2p lookup service for internet applications,"i stoica , r morris , d karger , mf kaashoek , h",
25808,"history of programming languages -- ii table of contents ,",archives specializing in the history of computing,bh bruemmer,1996.0
25809,"journal of machine learning research ,",article details,rp manifolds,2001.0
25810,"proceedings of the 2nd acm international conference on & hellip ; ,",analyzing and modeling encryption overhead for sensor network nodes,"p ganesan , r venugopalan , p peddabachagari , a dean",2003.0
25811,"msc thesis , department of computer science , university of",eden : an engine for definitive notations,e yung,
25812,"vldb ,",a methodologic guide-line for the instalation of data base development tools and data administration,"hm quintella , fr leao",1979.0
25813,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",semiconducting organic thin films as monitoring devices for no 2 air pollution ( abstract only ),"a heilmann , v lantto",1991.0
25814,"proceedings of the 22nd international conference on very & hellip ; ,",on the computation of multidimensional aggregates,"a sameet , a rakesh , md prasadâ ? ¦",
25815,"electronic government ,",digital legislature,s peterson,
25816,"area ,",land use changes in the environs of moscow,"g ioffe , t nefedova",2001.0
25817,"geography ,",understan ding plant closures : the uk brewing industry,hd watts,
25818,"acc . chem . res ,",exploiting synthetic chemistry with mesoionic rings : improvements achieved with thioisomã 1/4 nchnones,"m ã?valos , r babiano , p cintas , jl jimã © nez , jc",2005.0
25819,,using linear classifiers in the integration of user modeling and text content analysis in the,"ad esteban , mjm lopez , m de buenaga rodriguez , jmg",
25820,proc .,"a robust , optimization-based approach for approximate answering of aggregation queries","s chaudhuri , g das , v narasayya",
25821,"unpublished manuscript ,",the architecture of democratic government : the discovery of the adapted city,hg frederickson,
25822,"& hellip ; of seventh international world wide web conference ,",web-based education for all : a tool for developing adaptive courseware . computer networks and isdn,"p brusilovsky , j eklund , e schwarz",
25823,"the histochemical journal ,",pitfalls in ecto-5â ? ² - nucleotidase enzyme cytochemistry as demonstrated by the immunogold-labelling,"em cramer , z werb , df bainton",1988.0
25824,"sigmod conference ,",time-parameterized queries in spatio-temporal databases,"y tao , d papadias",2002.0
25825,proceedings of,multiprocessor hash-based join algorithms,d dewitt21 dewittâ ? ¦,
25826,university of massachusetts at amherst technical,constrained example generation,e michener,
25827,"technical report , stanford university , july",evaluating the benefits of cache-affinity scheduling in shared-memory multiprsors,"j torrellas , a tucker , a oupta",
25828,,determination of mercury with zeeman graphite furnace aas,"z grobenski , w erler , u voellkopf",1985.0
25829,"& hellip ; d ( tech . comp . ) , proceedings 19th international meeting for & hellip ; ,","an analysis of short - , medium-and long-term effects of ozone exposure on stomatal conductance of",ne grulke,
25830,"tata energy research institute , bombay , india ,",energy conservation in domestic consumptionâ ??,ks salariya,
25831,"proceedings of 7 es journã © es internationales dâ ?? analyse & hellip ; ,",amã © lioration de la prã © cision dans un systã ¨ me de question-rã © ponse de domaine fermã © . to appear,"h doan-nguyen , l kosseim",
25832,"new directions for higher education ,",metropolitan state university .,"rc fox , ls harvey",1993.0
25833,"proceedings of the 2000 ieee/acm international conference on & hellip ; ,",multilevel optimization for large-scale circuit placement,"tf chan , j cong , t kong , jr shinnerl",2000.0
25834,"acm sigmod record ,",notes on the state of data base audit,"jd clark , fg davis",1982.0
25835,"acm siggraph computer graphics ,",spot noise texture synthesis for data visualization,jj van wijk,1991.0
25836,,chemical engineersâ ?? s handbook .,jh perry,
25837,zurich,ise integrated systems engineering ag,sr manual,
25838,,"bayesian design of single , double , and sequential stratified sampling for estimating proportion in",s zacks,1967.0
25839,"acc . chem . res ,",a convergent coupling strategy for the formation of polycyclic ethers : stereoselective synthesis of,"mt crimmins , pj mcdougall , ka emmitte",2005.0
25840,"proceedings of the international conference on very large & hellip ; ,",db-prism : integrated data warehouses and knowledge networks for bank controlling,"e schaefer , jd becker",2000.0
25841,,supporting the meeting report process .,"c costa , p antunes , j dias",
25842,,superimposition : a component adaptation technique,j bosch,
25843,"the histochemical journal ,",histochemical analysis of rat testicular glycoconjugates . 1 . subsets of n-linked saccharides in,"cjp jones , ca morrison , rw stoddart",1992.0
25844,"inc. , seattle ,",3.1 . ( 1993 ) . statistical sciences,v s-plus,
25845,,floer homologies of rational homology 3-spheres,"r lee , w li",
25846,"proc . 29th indian sci . cong ,",on discrimination and divergence,a bhattacharrya,
25847,,xmill : an efficient compressor for xml data,"l hartmut , d suciu",
25848,"thesis . athens , greece : national and kapodistrian university of",a contribution to the study of the histopathology and aetiopathogenesis of civatteâ ?? s poikiloderma,ac katoulis,
25849,,a test suite for programming by demonstration,"r potter , d maulsby",
25850,"ieee design & test ,",guest editor 's introduction : hardware-software codesign,w wolf,1993.0
25851,"journal of emergency medicine ,",reduction of redundant laboratory orders by access to computerized patient records,to stair,1998.0
25852,,an illustrated flora of the northern united states and canada,"nl britton , a brown",
25853,,can work incentives pay for themselves ? : final report on the self-sufficiency project for welfare,r ford,2003.0
25854,"& hellip ; d28 , proceedings of the 23rd international symposium on",analysis of plasticizers and their metabolites in body fluids and infusates by stir bar sorptive,"hg wahl , c peterfi , a hoffmann , hm liebich",
25855,,statistical comparison and evaluation of pilot protection schemes,"eo schweitzer iii , jj kumm",
25856,"md ,","md , and jl goldstein",ms brown,
25857,"proceedings of journees dâ ?? analyse statistique des donnees & hellip ; ,",indexing by statistical tagging,"p bouillon , rh baud , g robert , p ruch",2000.0
25858,acm sigmod record special issue on semantic issues in,1991,ap sheth,
25859,proc . 29th eur . microwave,reduction of doa estimation errors caused by antenna array imperfections,"g sommerkamp , d hampicke , r klukas , a richter , a",
25860,"new directions for adult and continuing education ,",nurturing intuition through group learning,aw zelman,2002.0
25861,"see ref ,",a new technique for the rapid removal of tracheal mites from honey bees for biological studies and,"aw smith , gr needham",
25862,"contributions to geometry ,",boundary structure and curvature of convex bodies,r schneider,
25863,,business development in it-dependent organisations,"t nordstrã ¶ m , m sã ¶ derstrã ¶ m , o hanseth",
25864,27th international conference on very large data,"dittrich , j. kramer , t. schafer , m. schneider , and b. seeger . xxl-a library approach to supporting","j van den bercken , bb jp",
25865,"proceedings of the 24th acm sigplan-sigact symposium on & hellip ; ,",infinitary control flow analysis : a collecting semantics for closure analysis,"f nielson , hr nielson",1997.0
25866,,online dokumentation,v basic,1997.0
25867,"computerworld. ,",optical disks .,d nadeau,1983.0
25868,"deixis consultants , seattle , washington . v ,","mollusk survey of southwestern oregon , with emphasis on the rogue and umpqua river drainages","tj frest , ej johannes",
25869,,database and transaction processing benchmarks,j gray,
25870,proc . acm sigmod,"pm deshpande , jf naughton , a. shukla , â ?? simultaneous optimization and evaluation of multiple",y zhao,
25871,"university of zurich , zurich , switzerland ,",md thesis,r llano,
25872,proc .,numerically stable direct least squares fitting of ellipses,"r halir , j flusser",
25873,"proceedings of ion gps ,",ionosphere effect and modeling for regional area differential gps network,"y gao , z li",1998.0
25874,,scan-speech content based audio navigator : a systems overview,"j choi , d hindle , j hirschberg , i magrin -",
25875,"ieee computer ,",john zahorjan the challenges of mobile computing,gh forman,
25876,proceedings of the 1995 acm sigmod international conference,neil und p. oã cents â ? ¬ â ? cents neil : a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , jme oã cents",
25877,"proceedings of the 1990 acm sigmod international conference & hellip ; ,",bayan : an arabic text database management system,"r king , a morfeq",1990.0
25878,,programming of manipulation tasks of the humanoid robot armar,"t asfour , k berns , j schelling , r dillmann",
25879,"journal of personality and social psychology ,",nonverbal affect responses to male and female leaders : implications for leadership evaluations,"d butler , fl geis",
25880,,development of a mems microsystem to study the effect of mechanical tension on cerebral cortex,"g lin , vi wu , re hainley , la flanagan , es monuki ,",
25881,"see ref ,",the introduction of the ox plow in central gambia,pm weil,
25882,"proceedings of international conference in management & hellip ; ,",using qfd and hoshin techniques for quality strategy deployment : a study in engineering laboratories,"kf pun , ws ma",
25883,"new directions for teaching and learning : teaching writing & hellip ; ,",microtheme strategies for developing cognitive skills,"jc bean , d drenk , fd lee",
25884,,amalgam : a machine-learned generation module,"m gamon , e ringger , s corston-oliver",
25885,,rapid hot-pressing of ultrafine psz powders,"md matthews , a pechenik",
25886,"bt technology journal ,",bt 's mobile joint ventures and alliances,td parker,2001.0
25887,"proceedings acm sigmod , pages ,",exploiting inheritance and structure semantics for effective clustering in an object-oriented,"e chang , r katz",
25888,"proceedings of the 1997 acm sigmod international conference & hellip ; ,",predator : an or-dbms with enhanced data types,"p seshadri , m paskin",1997.0
25889,"& hellip ; 1998 . northeast research and demonstration farm . isrf98â ?? 13 & hellip ; ,",effects of crop rotation and nitrogen fertilization on crop production over a 20-year period . p. 13 -,"ap mallarino , k pecinovsky",
25890,"budapest , hungary ,",". 8th east-european conference on advances in databases and information systems ( adbis-04 ) , 22-25","a albani , b bazijanec , k turowski , c winnewisser",
25891,"cochrane database syst rev ,",iron supplementation in pregnancy,k mahomed,2000.0
25892,,the 1998 htk system for transcription of conversational telephone speech,"t ham , pc woodland , tr niesler , ewd whittaker",
25893,volume i :,parallel distributed processing : explorationsin the microstructureof cognition,"de rumelhart , ge hinton , rj williams",
25894,,"computational frameworks for the fast fourier transform , society for industrial and applied",c van loan,
25895,,interface segregation and related processes in materials,j nowotny,1991.0
25896,"proceedings of the 2005 acm sigmod international conference & hellip ; ,",mining top-k covering rule groups for gene expression data,"g cong , kl tan , akh tung , x xu",2005.0
25897,"santa barbara , california : abc-clio ,",journalism ethics,"d elliot , de cohen",
25898,,"of caves ; nothing but mountains , snow , and water . i slept up there , with stones for my pillow",f hospitality,
25899,"journal of emergency medicine ,",successful use of nasal bipap in three patients previously requiring intubation and mechanical,"jm poponick , jp renston , cl emermanâ ? ¦",1997.0
25900,"new directions for higher education ,",how total quality management initiatives can inspire leadership .,s westerman,1994.0
25901,"new directions for higher education ,","university of california , santa cruz .",de mchenry,1993.0
25902,"vldb conference ,",the principle of commitment ordering,y raz,
25903,,"customer-focused design data in a large , multi-site organization","p curtis , t heiserman , d jobusch , m notess , j webb",
25904,"procs . of the 4th japan-france congress & 2nd asia-europe & hellip ; ,",study on a fast profiling task of a robot with force control using feedforward of predicted contact,"k takahashi , s aoyagi , m takano",
25905,"proceedings of international conference on very large data & hellip ; ,",bucket spreading parallel hash : a new parallel hash join method with robustness for data skew in,"m kitsuregawa , y ogawa",
25906,"bt technology journal ,",applying the bt operational support systems architecture,"s pyzer , p williams , d richards",1997.0
25907,demonstrated at,"flowback : providing backward recovery for workflow management systems , june 1998","b kiepuszewski , r muhlberger , m orlowska",
25908,"proceedings of acm siggraph ,",emancipated pixels : real-world graphics in the luminous room,"jub ullmer , h ishii",
25909,,anyone who would like to review resources for,r hebden,
25910,"acm transactions on database systems ,",applying formal methods to semantic-based decomposition of transactions,"p ammann , s jajodia , i ray",1997.0
25911,"see ref ,",pessimism versus populism : the problematic politics of popular culture,j clarke,
25912,"new directions in teaching and learning , â ?? l. wilkerson and & hellip ; ,",implementing pbl in a large class and as part of a conventional program,dr woods,
25913,,new sampling-based summary statistics for improving approximate query answers . pages 331 -- 342,"pb gibbons , y matias",1998.0
25914,"social studies and the young learner ,",developing and applying the study of comparative cultures .,jl barth,1990.0
25915,"san diego ,","contestable markets and the theory of industry structure , revised edition","wj baumol , jc panzar , rd willig",
25916,proc . 29th eur . conf . optical,dual-pumping schemes for efficient thulium-doped tellurite fiber amplifiers,"a cucinotta , f poli , s selleri",
25917,"ieee computer ,",a software system evaluation framework,"b germinal , r pierre",
25918,microsoft,microsoft terraserver : a spatial data warehouse . 1999,"t barclay , j gray , d stuz",
25919,"proc . of acm sigmod intâ ?? l conference ,",r-trees : a dynamical index structure for spatial searching,a guttman,
25920,"lecture notes in computer science ,",opencorba : a reflective open broker,t ledouxâ ? ¦,1999.0
25921,"journal of emergency medicine ,",survival with acute primary coronary artery dissection : a case report and review of the literature,"lap wellford , tm kelly",1994.0
25922,,peripheral participants in mediated communication,"a monk , l watts",
25923,electronic,ndpollex : comparative polynesian lexicon,"b biggs , r clark",
25924,proceedings of the 29th international conference on very,"und schek , h.-j. : web service composition with oâ ?? grape and osiris","r weber , c schuler , p neukomm , h schuldt",
25925,"proceedings of the 1987 acm sigmod international conference & hellip ; ,",security and inference in multilevel database and knowledge-base systems,m morgenstern,1987.0
25926,"proc . 29th cdc , honolulu ,",a new approach to sampled data control systemsâ ?? a function space approach,y yamamoto,
25927,"cochrane database syst rev ,",buprenorphine for the management of opioid withdrawal,"l gowing , r ali , j white",2002.0
25928,"microsoft technical report , ms-tr-2000-55 , june",windows 200 disk io performance,"l chung , b worthington , r horst , j gray",
25929,"proceedings of inst . mech eng part d ,",intelligent fuel injection control using neural networks,"c manzie , m palaniswami , h watson",
25930,"phil . mag ,",the thermal conductivity of ice : new data on the temperature coefficient,eh ratcliffe,
25931,"computer networks ,",improving the performance of interactive tcp applications using service differentiation,"w noureddine , f tobagi",2002.0
25932,"genes to cells ,",mash1 promotes neuronal differentiation in the retina,"k tomita , s nakanishi , f guillemot , r kageyama",1996.0
25933,"journal of personality and social psychology ,",trust and communicated attributions in close relationships,"jk rempel , m ross , jg holmes",2001.0
25934,proc . of the acm sigmod intâ ?? l,"â ?? nail , patrick e. oâ ?? neil , and gerhard weikum , the lru-k page replacement algorithm for database",jo elizabeth,
25935,"proc acm group ,","m. taylor , r. evolving orbit : a process report on building locales","t mansfield , s kaplan , g fitzpatrick , tf phelps",
25936,,"physics , lyceum aâ ?? class","y vlachos , y grammatikakis , v karapanagiotis , p",1999.0
25937,microsoft technical,where to start a geometric walk,"l lovasz , s vempala",
25938,,channel network incision and patterns of mountain geomorphology,eb safran,1998.0
25939,"proc 7th intâ ?? l conf vldb ,",on modelhng behavloural semantics of data,m brodle,
25940,,"exploitation , exploration , and process management : the productivity dilemma revisited","mj benner , ml tushman",
25941,"international conference on bear research and management ,",human impact on the black bear in michigan 's lower peninsula,am manville,
25942,,fuzzification of groenendijk-stokhof propositional erotetic logic,l behounek,
25943,,the cerebellum as a neuronal machine,"jc eccles , m ito , j szentã ¡ gothai",1967.0
25944,,tappi pulp . conf,n liebergott,1994.0
25945,"bt technology journal ,",recent bt patents,dd milne,1999.0
25946,,housework as work,j miller,1983.0
25947,"seattle , washington , june ,","moment method solution using parametric geometry , '' 1994 international ieee ap-s symposium digest ,","jm song , wc chew",
25948,,the red queen : sex and the evolution of human nature,m ridley,
25949,at .,computational investigation of physical processes in the igr reactor using the prizma . d program,"av gorin , yz kandiev , ym kazâ ?? min",
25950,"genes to cells ,",mice lacking smooth muscle calponin display increased bone formation that is associated with,"h yoshikawa , s taniguchi , h yamamura , s mori , m",1998.0
25951,,dynamic path-based software watermarking,"c collberg , e carter , s debray , a huntwork , j",
25952,"submitted for publication ,",eliciting and modelling the design knowledge of multiple experts,"p hammond , jc davenport",
25953,"vldb ,",an iterative method for distributed database design,r blankinship,1991.0
25954,"computerworld ,",the skill drill,l wilson,
25955,"& hellip ; conference on environmental education . zurich , switzerland ,",reasoning about the environment : prototypical cases and their educational implications,"m ranney , s adams , m siegel , s brem",
25956,"phil . mag ,",on the production of vibrations by forces of relatively long duration with application to the theory,l rayleigh,
25957,proc . acm,wide area trafficâ ?? the failure ofâ ?? poisson modehng,"v paxson , s floyd",
25958,,the supported work evaluation : final benefit-cost analysis,"p kemper , da long , cvd thornton , rg hollister",1981.0
25959,"ecology and environment , inc. , seattle ,","april 19 , 2000 , hydromet manager , united states bureau of reclamation , boise , idaho , personal",je doty,
25960,"proc . 26th symp . int . combustion . combustion institute , & hellip ; ,",detonation supported by a combustible deposit,"bc fan , hz li",
25961,"new directions for teaching and learning ,",defining scholarship for the twenty-first century,rm diamond,2002.0
25962,"urban geography ,",children should be seen and not heard : the production and transgression of adults ' public space,g valentine,1996.0
25963,,how to use virtual environments for engineering projects,"o riedel , r breining , h scharm",
25964,,"san sebastiã ¡ n ; madrid : festival internacional de cine de san sebastiã ¡ n ; filmoteca espaã ± ola , 1995 .","t partearroyo , g la cava",
25965,"new directions for adult and continuing education ,",socialization and immigrant students ' learning in adult education programs,"my lee , v sheared",2002.0
25966,"cochrane database syst rev ,",oestrogens for urinary incontinence in women,"b moehrer , a hextall , s jackson",2003.0
25967,"electronic library ,",walls around the electronic library,h king,1993.0
25968,,gestural action units slip in speech production errors,"l goldstein , m pouplier , l chen , e saltzman , d",
25969,,a neuroeconomics approach to measuring human loss functions,"kp kã ¶ rding , i fukunaga , d wolpert",2004.0
25970,"biology of the integument ,",the skin of fishes including cyclostomes : epidermis,m whitear,1986.0
25971,,metabolism of the anthroposphere,"p baccini , ph brunner",1991.0
25972,"vols . i ,",the collected writings ( cw . ) of maynard keynes,jm keynes,
25973,proceedings of acm sigmod,indexing on air,"t imielinski , s viswanathan , br badrinath",
25974,,design and implementation of a biodiversity information management system,"bj srikanta , j haritsa",
25975,"lancet i ,",hla and congenital adrenal hyperplasia linkage confirmed,"da price , pt klouda , r harris",
25976,,are stock prices stable,"b lebaron , a lo , j taylor",1993.0
25977,,nonlinear optics of free atoms and molecules,"dc hanna , ma yuratich , d cotter",1980.0
25978,"proc . the 20th vldb ,",fast algo . for mining assoiciation rules,"r agrawal , r srikant",
25979,"proceedings of ausweb ,",teaching and learning on the world wide web,s alexander,
25980,"proc . of acm mobicomâ ?? 97 ,","w. mackrell and r. bunt , mobile multicast ( mom ) protocol : multicast support for mobile hosts","t harrison , c williamson",
25981,"new directions for adult and continuing education ,","feminism and adult learning : power , pedagogy , and praxis .",e tisdell,1993.0
25982,"proc . int . test conf ,",iddq testing in deep submicron integrated circuits,ac miller,1999.0
25983,,notes from the underground,f dostoevsky,
