music_entry_id,total_time,release_time,item_price,album_name,label_info,song,style,musician
33590,3:43,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,Repetition,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33591,3:37,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,Forgotten,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33592,3:20,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,Caffeinated Consciousness,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33593,0:31,"April 22 , 1999",$ 0.69,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Intro [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33594,3:57,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Ring The Alarm [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33595,3:14,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Dirt All By My Lonely [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33596,4:06,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Holiday [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33597,3:39,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Live Or Die [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33598,3:19,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,On The Run [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33599,4:35,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Radio [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33600,3:33,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Jamboree [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33601,4:15,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Would 've Done The Same For Me [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33602,3:27,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Thugs & Hustlers [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33603,3:20,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Work [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33604,4:46,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,We Could Do It [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33605,3:47,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,The Blues [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33606,3:55,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Wicked Bounce [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33607,4:01,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,Live Then Lay [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33608,4:57,"April 22 , 1999",$ 0.99,Nineteen Naughty Nine Nature 's Fury [ Explicit ],( C ) 2011 DGC Records,The Shivers [ Explicit ],Rap & Hip-Hop,Naughty By Nature
33609,3:04,"January 28 , 2014",$ 0.69,Nirvana EP,( C ) 2013 Capitol Records Ltd.,Safe With Me,Pop,Sam Smith
33610,3:22,"January 28 , 2014",$ 0.69,Nirvana EP,( C ) 2013 Capitol Records Ltd.,Nirvana,Pop,Sam Smith
33611,4:00,"January 28 , 2014",$ 0.69,Nirvana EP,( C ) 2013 Capitol Records Ltd.,"I 've Told You Now ( Live At St Pancras Old Church , London )",Pop,Sam Smith
33612,3:41,"January 28 , 2014",$ 0.69,Nirvana EP,( C ) 2013 Capitol Records Ltd.,Latch ( Acoustic ),Pop,Sam Smith
33613,2:22,"January 28 , 2014",$ 0.69,Nirvana EP,( C ) 2013 Capitol Records Ltd.,Together,Pop,Sam Smith
33614,3:14,"January 28 , 2014",$ 1.29,Nirvana EP,( C ) 2013 Capitol Records Ltd.,Money On My Mind,Pop,Sam Smith
33615,3:17,"January 28 , 2014",$ 0.69,Nirvana EP,( C ) 2013 Capitol Records Ltd.,Nirvana ( Harry Fraud Remix ),Pop,Sam Smith
33616,5:59,"June 10 , 2010",$ 0.99,No Discussion,( C ) 2010 EXX Records,No Discussion,"Electronica , Dance & Electronic , House",Electrixx vs. Alex Mind
33617,6:02,"June 10 , 2010",$ 0.99,No Discussion,( C ) 2010 EXX Records,Peacemakers,"Electronica , Dance & Electronic , House",Electrixx vs. Alex Mind
33618,3:45,"June 10 , 2010",$ 0.99,No Discussion,( C ) 2010 EXX Records,No Discussion ( Radio Mix ),"Electronica , Dance & Electronic , House",Electrixx vs. Alex Mind
33619,5:32,"June 10 , 2010",$ 0.99,No Discussion,( C ) 2010 EXX Records,No Discussion ( Instrumental Mix ),"Electronica , Dance & Electronic , House",Electrixx vs. Alex Mind
33620,3:39,"June 11 , 2014",$ 0.99,No Estate to Remind,( c ) 2014 The Arcadia Agency,No Estate to Remind,Rock,Olympique
33621,3:34,"September 14 , 2015",$ 0.99,No Good For You ( Originally Performed by Meghan Trainor ),2015 Cosmic Sound Music,No Good For You ( Originally Performed by Meghan Trainor ) [ Karaoke Version ],"Miscellaneous , Pop",Cosmic Sound
33622,3:38,"April 11 , 2006",$ 0.99,No Hay Igual,( C ) 2006 Geffen Records,No Hay Igual,Pop,Nelly Furtado
33623,0:27,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Dolomite Intro [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33624,2:44,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Buck 'Em ( Feat . Sticky Fingers ) [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33625,4:07,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Trust Me ( Feat . Sylk E. Fine And Suga Free ) [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33626,3:40,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,My Heat Goes Boom [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33627,0:52,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Dolomite ( 1999 Digital Remaster ) [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33628,5:22,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Snoopafella [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33629,3:43,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,In Love With A Thug [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33630,2:14,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,G Bedtime Stories [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33631,3:46,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Down 4 My N 's ( Feat . C-Murder And Magic ) [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33632,3:55,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Betta Days [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33633,4:11,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Somethin Bout Yo Bidness ( Feat . Raphael Saadiq ) [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33634,3:54,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Bitch Please ( Feat . Xzibit ) [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33635,4:06,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Doin ' Too Much [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33636,3:44,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Gangsta Ride ( Feat . Silkk The Shocker ) [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33637,5:39,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,"Ghetto Symphony ( Feat . Mia X , Fiend , C-Murder , Silkk The Shocker , Mystikal And Goldie Loc ) [ Explicit ]","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33638,4:54,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Party With A D.P.G. [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33639,4:23,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Buss 'n Rocks [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33640,4:02,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,Just Dippin ' ( Feat . Dr. Dre And Jewell ) [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33641,4:47,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,"Do n't Tell ( Feat . Warren G , Mauseburg And Nate Dogg ) [ Explicit ]","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33642,3:59,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,20 Minutes ( Feat . Goldie Loc ) [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33643,3:06,"August 1 , 2006",$ 1.29,No Limit Top Dogg [ Explicit ],( C ) 1999 Priority Records LLC,I Love My Momma [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33644,0:27,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Dolomite Intro ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33645,2:44,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Buck 'Em ( Edited ) ( Feat . Sticky Fingers ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33646,4:07,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Trust Me ( Edited ) ( Feat . Sylk E. Fine And Suga Free ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33647,3:40,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,My Heat Goes Boom ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33648,0:52,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Dolomite ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33649,5:22,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Snoopafella,"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33650,3:43,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,In Love With A Thug ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33651,2:14,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,G Bedtime Stories,"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33652,3:46,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Down 4 My N 's ( feat . C-Murder And Magic ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33653,3:54,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Betta Days ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33654,4:10,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Somethin Bout Yo Bidness ( Edited ) ( Feat . Raphael Saadiq ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33655,3:54,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,B Please ( feat . Xzibit ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33656,4:06,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Doin ' Too Much ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33657,3:45,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Gangsta Ride ( Edited ) ( Feat . Silkk The Shocker ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33658,5:40,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,"Ghetto Symphony ( Edited ) ( Feat . Mia X , Fiend , C-Murder , Silkk The Shocker , Mystikal And Goldie Loc )","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33659,4:55,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Party With A D.P.G. ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33660,4:23,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Buss 'n Rocks ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33661,4:03,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,Just Dippin ' ( feat . Dr. Dre And Jewell ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33662,4:47,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,"Do n't Tell ( Edited ) ( Feat . Warren G , Mauseburg And Nate Dogg )","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33663,3:57,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,20 Minutes ( Edited ) ( Feat . Goldie Loc ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33664,3:04,"August 1 , 2006",$ 1.29,No Limit Top Dogg,( C ) 1999 Priority Records LLC,I Love My Momma ( Edited ),"Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33665,4:12,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon,Rock,U2
33666,5:24,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,Magnificent,Rock,U2
33667,7:24,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,Moment Of Surrender,Rock,U2
33668,6:02,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,Unknown Caller,Rock,U2
33669,4:13,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,I 'll Go Crazy If I Do n't Go Crazy Tonight,Rock,U2
33670,3:25,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,Get On Your Boots,Rock,U2
33671,3:49,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,Stand Up Comedy,Rock,U2
33672,5:17,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,FEZ-Being Born,Rock,U2
33673,4:41,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,White As Snow,Rock,U2
33674,5:00,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,Breathe,Rock,U2
33675,4:13,"March 3 , 2009",$ 1.29,No Line On The Horizon ( Standard Version ),( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,Cedars Of Lebanon,Rock,U2
33676,5:02,"September 21 , 2012",$ 0.89,No Longer Living in Your Shadow \ Elsewherelse,2012 Joe Cassidy,No Longer Living in Your Shadow,"Alternative Rock , Pop",Butterfly Child
33677,3:35,"September 21 , 2012",$ 0.89,No Longer Living in Your Shadow \ Elsewherelse,2012 Joe Cassidy,Elsewherelse,"Alternative Rock , Pop",Butterfly Child
33678,3:49,"April 24 , 2015",$ 1.29,No More Control ( Feat . Mndr ) [ Explicit ],"2015 Strange Music , Inc",No More Control ( Feat . Mndr ) [ Explicit ],Rap & Hip-Hop,Murs
33679,2:46,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Love,"R&B , Soul , Contemporary R&B",Mary J. Blige
33680,4:25,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Family Affair,"R&B , Soul , Contemporary R&B",Mary J. Blige
33681,4:27,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Steal Away,"R&B , Soul , Contemporary R&B",Mary J. Blige
33682,5:37,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,He Think I Do n't Know,"R&B , Soul , Contemporary R&B",Mary J. Blige
33683,4:51,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,PMS,"R&B , Soul , Contemporary R&B",Mary J. Blige
33684,5:26,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,No More Drama,"R&B , Soul , Contemporary R&B",Mary J. Blige
33685,4:36,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Rainy Dayz [ feat . Ja Rule ],"R&B , Soul , Contemporary R&B",Mary J. Blige
33686,4:33,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Where I 've Been [ feat . Eve ],"R&B , Soul , Contemporary R&B",Mary J. Blige
33687,3:34,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Beautiful Day,"R&B , Soul , Contemporary R&B",Mary J. Blige
33688,3:24,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Dance For Me [ feat . Common ],"R&B , Soul , Contemporary R&B",Mary J. Blige
33689,4:05,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,No More Drama ( P. Diddy/Mario Winans Remix [ feat . P. Diddy ],"R&B , Soul , Contemporary R&B",Mary J. Blige
33690,4:59,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Flying Away,"R&B , Soul , Contemporary R&B",Mary J. Blige
33691,4:03,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Never Been,"R&B , Soul , Contemporary R&B",Mary J. Blige
33692,4:45,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,2 U,"R&B , Soul , Contemporary R&B",Mary J. Blige
33693,4:14,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,In The Meantime,"R&B , Soul , Contemporary R&B",Mary J. Blige
33694,1:41,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Forever No More - Poem,"R&B , Soul , Contemporary R&B",Mary J. Blige
33695,4:58,"January 29 , 2002",$ 1.29,No More Drama,( C ) 2002 Geffen Records,Testimony,"R&B , Soul , Contemporary R&B",Mary J. Blige
33696,6:07,"June 15 , 2012",$ 0.99,No Other,2012 Riotvan,No Other ( Original ),Dance & Electronic,Good Guy Mikesh & Filburt
33697,7:23,"June 15 , 2012",$ 0.99,No Other,2012 Riotvan,No Other ( Permanent Vacation Remix ),Dance & Electronic,Good Guy Mikesh & Filburt
33698,7:33,"June 15 , 2012",$ 0.99,No Other,2012 Riotvan,No Other ( Dirt Crew Remix ),Dance & Electronic,Good Guy Mikesh & Filburt
