beer_serial,drink_style,vol_alc,brewer_name,beer_title
153,American Amber / Red Ale,5.00 %,AleWerks Brewing Company,Red Marker Ale
154,American Amber / Red Ale,5.20 %,Sierra Blanca Brewing Company ( Rio Grande ),Sierra Blanca Roswell Alien Amber
155,American Amber / Red Ale,5.80 %,Hopworks Urban Brewery,Rise Up Red
156,American Amber / Red Ale,5.70 %,Peak Organic Brewing Company,Peak Organic Fall Summit Ale
157,American Amber / Red Ale,9.50 %,Upland Brewing Company,Ard Ri
158,American Amber / Red Ale,6.10 %,No Label Brewing Company,Ridgeback Ale
159,American Amber / Red Ale,8.20 %,Speakeasy Ales & Lagers,Betrayal Imperial Red
160,American Amber / Red Ale,6.50 %,Three Heads Brewing,Bromigo Smoked Maple Amber
161,American Amber / Red Ale,5.80 %,Great Lakes Brewing Co. .,Great Lakes Rally Drum Red Ale
162,American Amber / Red Ale,6.10 %,Laurelwood Public House & Brewery,Free Range Red
163,American Amber / Red Ale,6.50 %,Prism Brewing Company,Bitto Honey
164,American Amber / Red Ale,5.90 %,Buffalo Bayou Brewing Co,Buffalo Bayou 1836
165,American Amber / Red Ale,5.20 %,Wynkoop Brewing Company,Rail Yard Ale
166,American Amber / Red Ale,5.20 %,Magic Hat Brewing Company,Deveiled
167,American Amber / Red Ale,6.00 %,OPA-OPA Steakhouse & Brewery,Red Rock Amber Ale
168,American Amber / Red Ale,10.20 %,Mission Brewery,Carrack
169,American Amber / Red Ale,5.70 %,Boston Beer Company ( Samuel Adams ),Hoppy Red
170,American Amber / Red Ale,5.80 %,Full Pint Brewing Company,All-In Amber
171,American Amber / Red Ale,7.70 %,Epic Brewing Company,Imperial Red Ale
172,American Amber / Red Ale,8.00 %,Martin House Brewing Company,The Imperial Texan
173,American Amber / Red Ale,4.50 %,Tin Roof Brewing Company,Perfect Tin Amber
174,American Amber / Red Ale,6.80 %,Thirsty Planet Brewing Company,Thirsty Goat Amber
175,American Amber / Red Ale,6.70 %,Goose Island Beer Co. .,Goose Autumn Ale
176,American Amber / Red Ale,4.90 %,Peak Organic Brewing Company,Peak Organic Amber Ale
177,American Amber / Red Ale,5.80 %,Peace Tree Brewing Co. .,Red Rambler Ale
178,American Amber / Red Ale,8.00 %,Kern River Brewing Company,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale )
179,American Amber / Red Ale,5.10 %,Keweenaw Brewing Company,Red Jacket Amber Ale
180,American Amber / Red Ale,8.25 %,Element Brewing Company,Red Giant
181,American Amber / Red Ale,5.80 %,Flat 12 Bierwerks,Hello My Name Is Amber
182,American Amber / Red Ale,9.20 %,O'so Brewing Company & Tap House,Dank Imperial Red
183,American Amber / Red Ale,4.85 %,Boulder Beer / Wilderness Pub,Sundance Amber Ale
184,American Amber / Red Ale,8.50 %,Smuttynose Brewing Company,Smuttynose Kindest Find Imperial Red Ale
185,American Amber / Red Ale,4.50 %,Rahr & Sons Brewing Company,Buffalo Butt
186,American Amber / Red Ale,6.00 %,Flying Dog Brewery,Counter Culture
187,American Amber / Red Ale,6.50 %,Griffin Claw Brewing Company,El Rojo Red Ale
188,American Amber / Red Ale,7.30 %,Tree House Brewing Company,Ma
189,American Amber / Red Ale,7.00 %,New Albanian Brewing Company - Pizzeria and Public House,Elector Imperial Red Ale
190,American Amber / Red Ale,7.00 %,Peak Organic Brewing Company,Peak Organic The Maple Collaboration
191,American Amber / Red Ale,5.50 %,Fish Brewing Company / Fishbowl Brewpub,Fish Tale Amber Ale
192,American Amber / Red Ale,5.00 %,Otto 's Pub and Brewery,Red Mo Ale
193,American Amber / Red Ale,7.00 %,Boneyard Beer Company,Diablo Rojo
194,American Amber / Red Ale,-,Cigar City Brewing,Rollin ' Dirty Red Ale
195,American Amber / Red Ale,5.50 %,Oaken Barrel Brewing Company,Indiana Amber
196,American Amber / Red Ale,5.60 %,Switchback Brewing Company,Switchback Roasted Red Ale
197,American Amber / Red Ale,5.00 %,Cigar City Brewing,Impey Barbicane 's Moongun
198,American Amber / Red Ale,5.50 %,SanTan Brewing Co. .,Epicenter Amber
199,American Amber / Red Ale,5.00 %,Tree Brewing,Thirsty Beaver Amber Ale
200,American Amber / Red Ale,5.60 %,Rock Bottom Restaurant & Brewery,Rock Bottom Red Ale
201,American Amber / Red Ale,7.20 %,Wicked Weed Brewing,Tyranny Hoppy Red Ale
202,American Amber / Red Ale,5.00 %,Cameron 's Brewing Co. .,Auburn Ale
203,American Amber / Red Ale,6.00 %,O'so Brewing Company & Tap House,Rusty Red
204,American Amber / Red Ale,10.20 %,Milwaukee Brewing Company,Louie 's Resurrection
205,American Amber / Red Ale,6.00 %,Al 's of Hampden / Pizza Boy Brewing,Simcoe SamuRYE
206,American Amber / Red Ale,4.50 %,McAuslan Brewing,Griffon Red Ale
207,American Amber / Red Ale,6.00 %,Anderson Valley Brewing Company,Boont Barl Bourbon Barrel Amber Ale
208,American Amber / Red Ale,5.20 %,Sackets Harbor Brewing Co. .,War Of 1812 Ale
209,American Amber / Red Ale,5.00 %,Amsterdam Brewing Company,Amsterdam Big Wheel Deluxe Amber
210,American Amber / Red Ale,5.40 %,14th Star Brewing Co. .,Valor Ale
211,American Amber / Red Ale,5.80 %,Right Brain Brewery,Northern Hawk Owl
212,American Amber / Red Ale,7.00 %,Narragansett Brewing Co. .,Narragansett Lovecraft Series - Honey Ale
213,American Amber / Red Ale,5.40 %,Odin Brewing Company,Odin 's Gift
214,American Amber / Red Ale,5.10 %,Scuttlebutt Brewing Company,Scuttlebutt Amber
215,American Amber / Red Ale,5.50 %,Perrin Brewery,Kona Brown
216,American Amber / Red Ale,7.00 %,Smog City Brewing,Sabre-Toothed Squirrel
217,American Amber / Red Ale,5.70 %,Sprecher Brewing Company,Shakparo ( Fire-Brewed African Style-Ale )
218,American Amber / Red Ale,5.50 %,Sleeman Breweries Ltd. .,Sleeman Original Dark ( 50 * )
219,American Amber / Red Ale,5.30 %,Offshore Ale Company,Offshore Amber Ale
220,American Amber / Red Ale,5.60 %,Lancaster Brewing Company,Hop Buggy
221,American Amber / Red Ale,5.60 %,McNeill 's Brewery,McNeill 's Firehouse Amber Ale
222,American Amber / Red Ale,8.00 %,Southern Prohibition Brewing,Mississippi Fire Ant
223,American Amber / Red Ale,8.00 %,Burley Oak Brewery,Rude Boy
224,American Amber / Red Ale,5.60 %,Upland Brewing Company,Rad Red Amber Ale
225,American Amber / Red Ale,5.00 %,3 Sheeps Brewing,Rebel Kent The First
226,American Amber / Red Ale,8.00 %,Apocalypse Ale Works,Hoppocalypse
227,American Amber / Red Ale,5.10 %,DuClaw Brewing Company,Misfit Red
228,American Amber / Red Ale,8.50 %,Southern Star Brewing Company,Red Cockaded Ale
229,American Amber / Red Ale,8.00 %,Rapscallion,Rapscallion Blessing
230,American Amber / Red Ale,4.00 %,Utah Brewers Cooperative,Wasatch Evolution Amber Ale
231,American Amber / Red Ale,6.00 %,SingleCut Beersmiths,Dean Pacific Northwest Mahogany Ale
232,American Amber / Red Ale,5.60 %,Kona Brewing Co. .,Lavaman Red Ale
233,American Amber / Red Ale,5.00 %,Brasseurs Du Nord Inc. .,BorÃ © ale Rousse
234,American Amber / Red Ale,6.90 %,Ipswich Ale Brewery,Ipswich Harvest Ale
235,American Amber / Red Ale,5.40 %,Big Muddy Brewing,Saluki Dunkeldog
236,American Amber / Red Ale,6.00 %,Bad Weather Brewing Company,Windvane
237,American Amber / Red Ale,5.00 %,Nimbus Brewing Company,Nimbus Rillito Red Ale
238,American Amber / Red Ale,4.90 %,Cambridge Brewing Company,Cambridge Amber
239,American Amber / Red Ale,7.50 %,Solemn Oath Brewery,Ultra High Frequency
240,American Amber / Red Ale,4.60 %,Hale 's Ales Brewery & Pub,Hale 's Red Menace Big Amber
241,American Amber / Red Ale,5.00 %,NoDa Brewing Company,Ramble On Red
242,American Amber / Red Ale,5.00 %,Lake of Bays Brewing Company,Spark House Red Ale
243,American Amber / Red Ale,7.00 %,Drake 's Brewing Co. .,Expedition Ale
244,American Amber / Red Ale,5.00 %,Bristol Brewing Company,Mass Transit Ale
245,American Amber / Red Ale,5.00 %,Thimble Island Brewing Company,American Ale
246,American Amber / Red Ale,6.00 %,Big Storm Brewing Company,Wavemaker Amber Ale
247,American Amber / Red Ale,5.80 %,Ale Industries,Rye 'd Piper
248,American Amber / Red Ale,4.70 %,Grand River Brewing,Plowman 's Ale
249,American Amber / Red Ale,5.20 %,Fire Island Beer Company,Lighthouse Ale
250,American Amber / Red Ale,5.60 %,Tighthead Brewing Company,Scarlet Fire
251,American Amber / Red Ale,6.00 %,Silver City Brewing Co. .,Ridgetop Red
252,American Amber / Red Ale,5.40 %,Baird Brewing Company / Fishmarket Taproom,Red Rose Amber Ale
253,American Amber / Red Ale,5.80 %,Pizza Port Solana Beach,Carlsbad Chronic
254,American Amber / Red Ale,8.00 %,Knee Deep Brewing Company,McCarthy 's Bane
255,American Amber / Red Ale,9.00 %,Rushing Duck Brewing Company,Kroovy
256,American Amber / Red Ale,8.50 %,Wicked Weed Brewing,Tyrant Double Red
257,American Amber / Red Ale,5.00 %,Back East Brewing Company,Back East Ale
258,American Amber / Red Ale,7.50 %,Lucid Brewing,Duce
259,American Amber / Red Ale,5.30 %,Upstate Brewing Company,Common Sense
260,American Amber / Red Ale,-,Flossmoor Station Restaurant & Brewery,Panama Limited Red Ale
261,American Amber / Red Ale,4.80 %,Milwaukee Brewing Company,Louie 's Demise Immort-Ale
262,American Amber / Red Ale,-,Rogue Ales,Red Fox Amber Ale
263,American Amber / Red Ale,5.40 %,Grand Canyon Brewing Company,Sunset Amber Ale
264,American Amber / Red Ale,5.30 %,El Toro Brewing Co. .,El Toro Poppy Jasper
265,American Amber / Red Ale,6.60 %,ReaperAle,Redemption Red Ale
266,American Amber / Red Ale,5.60 %,Karben4 Brewing,Block Party
267,American Amber / Red Ale,8.20 %,Grand Teton Brewing Co. .,Bone Warmer Imperial Amber Ale
268,American Amber / Red Ale,5.60 %,Ruhstaller,1881 Sacramento
269,American Amber / Red Ale,5.50 %,O'Connor Brewing Co. .,Red Nun Red Ale
270,American Amber / Red Ale,7.00 %,Ballast Point Brewing Company,Homework Series # 1 - Hoppy Red Ale
271,American Amber / Red Ale,4.50 %,Mammoth Brewing Company,Real McCoy Amber Ale
272,American Amber / Red Ale,5.00 %,COAST Brewing Company,Carnie Fire
273,American Amber / Red Ale,5.75 %,Utah Brewers Cooperative,Squatters Big Cottonwood
274,American Amber / Red Ale,9.00 %,Greenbush Brewing Company,Remnant Of Dragon
275,American Amber / Red Ale,5.60 %,Matt Brewing Company / Saranac Brewery,Saranac Amber Ale
276,American Amber / Red Ale,5.70 %,McNeill 's Brewery,McNeill 's Ruby Ale
277,American Amber / Red Ale,5.50 %,Oak Creek Brewery and Grill,Oak Creek Amber Ale
278,American Amber / Red Ale,-,Dark Horse Brewing Company,Dark Horse Rod
279,American Amber / Red Ale,6.00 %,De Struise Brouwers,Struise Rosse
280,American Amber / Red Ale,5.40 %,Half Pints Brewing Company,Bulldog Amber Ale
281,American Amber / Red Ale,9.50 %,Solemn Oath Brewery,Man Vs. Internet
282,American Amber / Red Ale,6.70 %,Frankenmuth Brewery,Frankenmuth Christmas Town Ale
283,American Amber / Red Ale,5.50 %,Empire Brewing Company,Empire Amber Ale
284,American Amber / Red Ale,6.00 %,Great Lakes Brewing Co. .,Great Lakes Independence Ale
285,American Amber / Red Ale,8.20 %,Lavery Brewing Company,Lavery Imperial Red Ale
286,American Amber / Red Ale,5.90 %,Evolution Craft Brewing Company,Exile Red
287,American Amber / Red Ale,4.60 %,Flying Monkey Brewing Company,Flying Monkey Amber Ale
288,American Amber / Red Ale,5.20 %,Boston Beer Works - Canal Street,Boston Red
289,American Amber / Red Ale,6.50 %,Marshall Brewing Company,Revival Red Ale
290,American Amber / Red Ale,-,Weston Brewing Company & O'Malley 's Pub,Drop Kick Ale
291,American Amber / Red Ale,5.40 %,Oakshire Brewing,Oakshire Amber
292,American Amber / Red Ale,6.00 %,Dock Street Brewery & Restaurant,Dock Street Philadelphia Amber
293,American Amber / Red Ale,4.90 %,Arbor Brewing Company,Arbor Brewing Red Snapper Special Bitter
294,American Amber / Red Ale,6.00 %,Crazy Mountain Brewing Company,Boohai Red Ale
295,American Amber / Red Ale,7.50 %,Figure 8 Brewing,Ro Shampo Imperial Red Ale
296,American Amber / Red Ale,5.60 %,Charleville Vineyard Microbrewery,Tornado Alley Amber Ale
297,American Amber / Red Ale,6.20 %,Cigar City Brewing,El Centro
298,American Amber / Red Ale,5.50 %,Creature Comforts,Reclaimed Rye
299,American Amber / Red Ale,4.40 %,Brouwerij De Molen,Bed And Breakfast
300,American Amber / Red Ale,4.50 %,World Brews,R.J. King Wingwalker Amber Ale
301,American Amber / Red Ale,6.00 %,Cellar Rats Brewery,Rat Tail Ale
302,American Amber / Red Ale,6.80 %,Blue & Gray Brewing Co. .,Fred Red Ale
303,American Amber / Red Ale,7.00 %,8 Wired Brewing Co. .,Tall Poppy
304,American Amber / Red Ale,5.30 %,Twisted Pine Brewing Company,Twisted Pine Amber Ale
305,American Amber / Red Ale,6.00 %,Rhinegeist Brewery,Dad
306,American Amber / Red Ale,7.30 %,BJ 's Restaurant & Brewhouse,BJ 's Jeremiah Red
307,American Amber / Red Ale,5.50 %,Yukon Brewing Company,Yukon Red Amber Ale ( Arctic Red )
308,American Amber / Red Ale,5.20 %,Kern River Brewing Company,Sequoia Red
309,American Amber / Red Ale,6.10 %,Fat Bottom Brewing,Ruby Red American Ale
310,American Amber / Red Ale,5.20 %,Lighthouse Brewing Company,Race Rocks Ale
311,American Amber / Red Ale,8.30 %,Swamp Head Brewery,Sciaenhops
312,American Amber / Red Ale,6.00 %,Freetail Brewing Company,Freetail Ale
313,American Amber / Red Ale,4.50 %,World Brews,Cable Car Small Batch Amber Ale
314,American Amber / Red Ale,-,Rogue Ales,Rogue Farms Chipotle Ale
315,American Amber / Red Ale,5.50 %,Jailhouse Brewing Company,Misdemeanor
316,American Amber / Red Ale,4.90 %,Coors Brewing Company,Killians Irish Red
317,American Amber / Red Ale,4.80 %,Cricket Hill Brewing Co. .,Fall Festivus
318,American Amber / Red Ale,6.00 %,Solemn Oath Brewery,Axe Scar Pig
319,American Amber / Red Ale,6.10 %,Hoppy Brewing Co. .,Hoppy Face Amber Ale
320,American Amber / Red Ale,4.60 %,Garrison Brewing Company,Tall Ship Amber Ale
321,American Amber / Red Ale,5.80 %,Siren Craft Brew,Liquid Mistress
322,American Amber / Red Ale,5.30 %,The Pike Brewing Company,Pike Pale Heirloom Amber Ale
323,American Amber / Red Ale,5.30 %,Moosehead Breweries Ltd. .,Moosehead Boundary Ale
