unique_id,pub_title,publication_venue,authors_list,year_published
1660,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,vldb,"m жzsu , k voruganti , r unrau",1998
1661,an overview of the emerging third-generation sql standard ( tutorial ),,,1995
1662,"workflow automation : applications , technology , and research ( tutorial )",,,1995
1663,"design , implementation , and performance of the lham log-structured history data access method",vldb,"p muth , p o'neil , a pick , g weikum",1998
1664,integration approaches for cim,,,1995
1665,expiring data in a warehouse,vldb,"h garcia-molina , w labio , j yang",1998
1666,storage technology : raid and beyond,,,1995
1667,buffering and read-ahead strategies for external mergesort,vldb,"w zhang , p larson",1998
1668,an efficient cost-driven index selection tool for microsoft sql server,vldb,"s chaudhuri , v narasayya",1997
1669,the samos active dbms prototype,sigmod conference,"s gatziu , a geppert , k dittrich",1995
1670,design and implementation of advanced knowledge processing in the kdms krisys ( demonstration description ),sigmod conference,"j thomas , s deпloch , n mattos",1995
1671,algorithms for materialized view design in data warehousing environment,vldb,"j yang , k karlapalem , q li",1997
1672,data warehouse configuration,vldb,"d theodoratos , t sellis",1997
1673,infoharness : a system for search and retrieval of heterogeneous information,sigmod conference,"l shklar , a sheth , v kashyap , s thatte",1995
1674,fast computation of sparse datacubes,vldb,"k ross , d srivastava",1997
1675,qbi : query by icons,sigmod conference,"a massari , s pavani , l saladini , p chrysanthis",1995
1676,1-safe algorithms for symmetric site configurations,vldb,"r humborstad , m sabaratnam , s hvasshovd , и torbjјrnsen",1997
1677,the reach active oodbms,sigmod conference,"a buchmann , a deutsch , j zimmermann , m higa",1995
1678,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources",vldb,"m roth , p schwarz",1997
1679,the query by image content ( qbic ) system,sigmod conference,"j ashley , m flickner , j hafner , d lee , w niblack , d petkovic",1995
1680,the naos system,sigmod conference,"c collet , t coupaye",1995
1681,describing and using query capabilities of heterogeneous sources,vldb,"v vassalos , y papakonstantinou",1997
1682,efficient construction of regression trees with range and region splitting,vldb,"y morimoto , h ishii , s morishita",1997
1683,the algres testbed of chimera : an active object-oriented database system,sigmod conference,"s ceri , p fraternali , s paraboschi , g psaila",1995
1684,concurrent garbage collection in o2,vldb,"m skubiszewski , p valduriez",1997
1685,ptool : a light weight persistent object manager,sigmod conference,"r grossman , d hanley , x qin",1995
1686,a one-pass algorithm for accurately estimating quantiles for disk-resident data,vldb,"k alsabti , s ranka , v singh",1997
1687,finding data in the neighborhood,vldb,"a eickler , a kemper , d kossmann",1997
1688,"pattern matching and pattern discovery in scientific , program , and document databases",sigmod conference,"j wang , k zhang , d shasha",1995
1689,adaptive data broadcast in hybrid networks,vldb,"k stathatos , n roussopoulos , j baras",1997
1690,shore : combining the best features of oodbms and file systems,sigmod conference,s team,1995
1691,a generic approach to bulk loading multidimensional index structures,vldb,"j bercken , b seeger , p widmayer",1997
1692,paradise : a database system for gis applications,sigmod conference,p team,1995
1693,evaluation of main memory join algorithms for joins with set comparison join predicates,vldb,"s helmer , g moerkotte",1997
1694,semint : a system prototype for semantic integration in heterogeneous databases,sigmod conference,"w li , c clifton",1995
1695,dynamic memory adjustment for external mergesort,vldb,"w zhang , p larson",1997
1696,"information translation , mediation , and mosaic-based browsing in the tsimmis system",sigmod conference,"j hammer , h garcia-molina , k ireland , y papakonstantinou , j ullman , j widom",1995
1697,garbage collection in object oriented databases using transactional cyclic reference counting,vldb,"s ashwin , p roy , s seshadri , a silberschatz , s sudarshan",1997
1698,visdb : a system for visualizing large databases,sigmod conference,"d keim , h kriegel",1995
1699,data modeling of time-based media,sigmod conference,"s gibbs , c breiteneder , d tsichritzis",1994
1700,fast incremental maintenance of approximate histograms,vldb,"p gibbons , y matias , v poosala",1997
1701,groupwise processing of relational queries,vldb,"d chatziantoniou , k ross",1997
1702,combinatorial pattern discovery for scientific data : some preliminary results,sigmod conference,"j wang , g chirn , t marr , b shapiro , d shasha , k zhang",1994
1703,a region splitting strategy for physical database design of multidimensional file organizations,vldb,"j lee , y lee , k whang , i song",1997
1704,aries/csa : a method for database recovery in client-server architectures,sigmod conference,"c mohan , i narang",1994
1705,ensuring relaxed atomicity for flexible transactions in multidatabase systems,sigmod conference,"a zhang , m nodine , b bhargava , o bukhres",1994
1706,dataguides : enabling query formulation and optimization in semistructured databases,vldb,"r goldman , j widom",1997
1707,energy efficient indexing on air,sigmod conference,"t imielinski , s viswanathan , b badrinath",1994
1708,geo/environmental and medical data management in the rasdaman system,vldb,"p baumann , p furtado , r ritsch , n widmann",1997
1709,asset : a system for supporting extended transactions,sigmod conference,"a biliris , s dar , n gehani , h jagadish , k ramamritham",1994
1710,gte superpages : using ir techniques for searching complex objects,vldb,"s whitehead , h sinha , m murphy",1997
1711,effective memory use in a media server,vldb,"e chang , h garcia-molina",1997
1712,the ecrc multi database system,sigmod conference,"w jonker , h schќtz",1995
1713,data replication for mobile computers,sigmod conference,"y huang , a sistla , o wolfson",1994
1714,efficient user-adaptable similarity search in large multimedia databases,vldb,"t seidl , h kriegel",1997
1715,fine-grained sharing in a page server oodbms,sigmod conference,"m carey , m franklin , m zaharioudakis",1994
1716,critical database technologies for high energy physics,vldb,"d malon , e may",1997
1717,fast subsequence matching in time-series databases,sigmod conference,"c faloutsos , m ranganathan , y manolopoulos",1994
1718,caprera : an activity framework for transaction processing on wide-area networks,vldb,"s kumar , e kwang , d agrawal",1997
1719,distributing a search tree among a growing number of processors,sigmod conference,"b krіll , p widmayer",1994
1720,data manager for evolvable real-time command and control systems,vldb,"e hughes , r ginis , b thuraisingham , p krupp , j maurer",1997
1721,distributed processing over stand-alone systems and applications,vldb,"g alonso , c hagen , h schek , m tresch",1997
1722,from structured documents to novel query facilities,sigmod conference,"v christophides , s abiteboul , s cluet , m scholl",1994
1723,alphasort : a risc machine sort,sigmod conference,"c nyberg , t barclay , z cvetanovic , j gray , d lomet",1994
1724,the microsoft repository,vldb,"p bernstein , b harry , p sanders , d shutt , j zander",1997
1725,distributed file organization with scalable cost/performance,sigmod conference,"r vingralek , y breitbart , g weikum",1994
1726,multidimensional access methods : trees have grown everywhere,vldb,"t sellis , n roussopoulos , c faloutsos",1997
1727,adaptive selectivity estimation using query feedback,sigmod conference,"c chen , n roussopoulos",1994
1728,efficient testing of high performance transaction processing systems,vldb,"d wildfogel , r yerneni",1997
1729,innovation in database management : computer science vs. engineering,vldb,k jacobs,1997
1730,estimating page fetches for index scans with finite lru buffers,sigmod conference,"a swami , k schiefer",1994
1731,public : a decision tree classifier that integrates building and pruning,vldb,"r rastogi , k shim",1998
1732,genesys : a system for efficient spatial query processing,sigmod conference,"t brinkhoff , h kriegel , r schneider , b seeger",1994
1733,eos : an extensible object store,sigmod conference,"a biliris , e panagos",1994
1734,on the discovery of interesting patterns in association rules,vldb,"s ramaswamy , s mahajan , a silberschatz",1998
1735,wavecluster : a multi-resolution clustering approach for very large spatial databases,vldb,"g sheikholeslami , s chatterjee , a zhang",1998
1736,databases for networks,sigmod conference,h jagadish,1994
1737,a survey and critique of advanced transaction models,sigmod conference,c mohan,1994
1738,rainforest - a framework for fast decision tree construction of large datasets,vldb,"j gehrke , r ramakrishnan , v ganti",1998
1739,dec data distributor : for data replication and data warehousing,sigmod conference,d dietterich,1994
1740,small materialized aggregates : a light weight index structure for data warehousing,vldb,g moerkotte,1998
1741,secure buffering in firm real-time database systems,vldb,"b george , j haritsa",1998
1742,a performance study of transitive closure algorithms,sigmod conference,"s dar , r ramakrishnan",1994
1743,safely and efficiently updating references during on-line reorganization,vldb,"c zou , b salzberg",1998
1744,database in crisis and transition : a technical agenda for the year 2001,sigmod conference,d vaskevitch,1994
1745,coss : the common object services specifications,sigmod conference,b martin,1994
1746,materialized view selection for multidimensional datasets,vldb,"a shukla , p deshpande , j naughton",1998
1747,the effectiveness of gloss for the text database discovery problem,sigmod conference,"l gravano , h garcia-molina , a tomasic",1994
1748,"ratio rules : a new paradigm for fast , quantifiable data mining",vldb,"f korn , a labrinidis , y kotidis , c faloutsos",1998
1749,implementation of magic-sets in a relational database system,sigmod conference,"i mumick , h pirahesh",1994
1750,scalable sweeping-based spatial join,vldb,"l arge , o procopiuc , s ramaswamy , t suel , j vitter",1998
1751,mining surprising patterns using temporal description length,vldb,"s chakrabarti , s sarawagi , b dom",1998
1752,optimization of dynamic query evaluation plans,sigmod conference,"r cole , g graefe",1994
1753,incomplete path expressions and their disambiguation,sigmod conference,"y ioannidis , y lashkari",1994
1754,scalable techniques for mining causal structures,vldb,"c silverstein , s brin , r motwani , j ullman",1998
1755,sleepers and workaholics : caching strategies in mobile environments,sigmod conference,"d barbarс , t imielinski",1994
1756,selectivity estimation in extensible databases - a neural network approach,vldb,"m lakshmi , s zhou",1998
1757,evolving teradata decision support for massively parallel processing with unix,sigmod conference,c ballinger,1994
1758,massive stochastic testing of sql,vldb,d slutz,1998
1759,issues in developing very large data warehouses,vldb,"l do , p drew , w jin , v jumani , d rossum",1998
1760,staggered striping in multimedia information systems,sigmod conference,"s berson , s ghandeharizadeh , r muntz , x ju",1994
1761,database issues in telecommunications network management,sigmod conference,i ahn,1994
1762,the drill down benchmark,vldb,"p boncz , t rќhl , f kwakkel",1998
1763,the national medical knowledge bank,vldb,w sterling,1998
1764,quickly generating billion-record synthetic databases,sigmod conference,"j gray , p sundaresan , s englert , k baclawski , p weinberger",1994
1765,experiences in federated databases : from iro-db to miro-web,vldb,"p fankhauser , g gardarin , m lopez , j muёoz , a tomasic",1998
1766,predictive dynamic load balancing of parallel and distributed rule and query processing,sigmod conference,"h dewan , s stolfo , m hernсndez , j hwang",1994
1767,materialized views in oracle,vldb,"r bello , k dias , a downing , j jr. , j finnerty , w norcott , h sun , a witkowski , m ziauddin",1998
1768,incremental updates of inverted lists for text document retrieval,sigmod conference,"a tomasic , h garcia-molina , k shoens",1994
1769,koda - the architecture and interface of a data model independent kernel,vldb,"g arun , a joshi",1998
1770,optimizing queries on files,sigmod conference,"m consens , t milo",1994
1771,on parallel execution of multiple pipelined hash joins,sigmod conference,"h hsiao , m chen , p yu",1994
1772,the adabas buffer pool manager,vldb,h schіning,1998
1773,multi-step processing of spatial joins,sigmod conference,"t brinkhoff , h kriegel , r schneider , b seeger",1994
1774,plan-per-tuple optimization solution - parallel execution of expensive user-defined functions,vldb,"f cariёo , w o'connell",1998
1775,spatial joins using seeded trees,sigmod conference,"m lo , c ravishankar",1994
1776,is web-site management a database problem ?,vldb,"d florescu , a levy , d suciu",1998
1777,managing memory for real-time queries,sigmod conference,"h pang , m carey , m livny",1994
1778,"information , communication , and money : for what can we charge and how can we meter it ?",vldb,"s blott , h korth , a silberschatz",1998
1779,starting ( and sometimes ending ) a database company,vldb,j orenstein,1998
1780,shoring up persistent applications,sigmod conference,"m carey , d dewitt , m franklin , n hall , m mcauliffe , j naughton , d schuh , m solomon , c tan , o tsatalos , s white , m zwilling",1994
1781,the cubetree storage organization,vldb,"n roussopoulos , y kotidis",1998
1782,quickstore : a high performance mapped object store,sigmod conference,"s white , d dewitt",1994
1783,"self-adaptive , on-line reclustering of complex object data",sigmod conference,"w jr. , r king",1994
1784,ibm 's db2 universal database demonstrations at vldb '98,vldb,"k schiefer , j kleewein , k brannon , g lohman , g fuh",1998
1785,sequence query processing,sigmod conference,"p seshadri , m livny , r ramakrishnan",1994
1786,mapinfo spatialware : a spatial information server for rdbms,vldb,c mina,1998
1787,practical predicate placement,sigmod conference,j hellerstein,1994
1788,optimizing disjunctive queries with expensive predicates,sigmod conference,"a kemper , g moerkotte , k peithner , m steinbrunn",1994
1789,oracle industrial exhibit,vldb,a pogue,1998
1790,a language for manipulating arrays,vldb,"a marathe , k salem",1997
1791,outerjoins as disjunctions,sigmod conference,c galindo-legaria,1994
1792,a foundation for multi-dimensional databases,vldb,"m gyssens , l lakshmanan",1997
1793,partition selection policies in object database garbage collection,sigmod conference,"j cook , a wolf , b zorn",1994
1794,cost-based selection of path expression processing algorithms in object-oriented databases,vldb,"g gardarin , j gruser , z tang",1996
1795,nonstop sql : scalability and availability for decision support,sigmod conference,s englert,1994
1796,dynamic load balancing in hierarchical parallel database systems,vldb,"l bouganim , d florescu , p valduriez",1996
1797,red brick warehouse : a read-mostly rdbms for open smp platforms,sigmod conference,p fernandez,1994
1798,disseminating updates on broadcast disks,vldb,"s acharya , m franklin , s zdonik",1996
1799,the montage extensible datablade achitecture,sigmod conference,m ubell,1994
1800,object-oriented features of db2 client/server,sigmod conference,h pirahesh,1994
1801,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system",vldb,"g gardarin , f sha , z tang",1996
1802,answering queries with aggregation using views,vldb,"d srivastava , s dar , h jagadish , a levy",1996
1803,the impress ddt : a database design toolbox based on a formal specification language,sigmod conference,"j flokstra , m keulen , j skowronek",1994
1804,clustering techniques for minimizing external path length,vldb,"a diwan , s rane , s seshadri , s sudarshan",1996
1805,the medusa project : autonomous data management in a shared-nothing parallel database machine,sigmod conference,"g bryan , w moore , b curry , k lodge , j geyer",1994
1806,enterprise information architectures -- they 're finally changing,sigmod conference,w melling,1994
1807,fast nearest neighbor search in medical image databases,vldb,"f korn , n sidiropoulos , c faloutsos , e siegel , z protopapas",1996
1808,relaxed transaction processing,sigmod conference,"m singh , c tomlinson , d woelk",1994
1809,applying data mining techniques to a health insurance information system,vldb,"m viveros , j nearhos , m rothman",1996
1810,oracle 's symmetric replication technology and implications for application design,sigmod conference,"d daniels , l doo , a downing , c elsbernd , g hallmark , s jain , b jenkins , p lim , g smith , b souder , j stamos",1994
1811,coalescing in temporal databases,vldb,"m bіhlen , r snodgrass , m soo",1996
1812,sybase replication server,sigmod conference,"a gorelik , y wang , m deppe",1994
1813,effective & efficient document ranking without using a large lexicon,vldb,y ogawa,1996
1814,xsb as an efficient deductive database engine,sigmod conference,"k sagonas , t swift , d warren",1994
1815,a new sql-like operator for mining association rules,vldb,"r meo , g psaila , s ceri",1996
1816,parallel database systems in the 1990 's,sigmod conference,m carey,1994
1817,constructing efficient decision trees by using optimized numeric association rules,vldb,"t fukuda , y morimoto , s morishita , t tokuyama",1996
1818,odmg-93 : a standard for object-oriented dbmss,sigmod conference,r cattell,1994
1819,efficient snapshot differential algorithms for data warehousing,vldb,"w labio , h garcia-molina",1996
1820,eroc : a toolkit for building neato query optimizers,vldb,"w mckenna , l burger , c hoang , m truong",1996
1821,unisql/x unified relational and object-oriented database system,sigmod conference,w kim,1994
1822,filter trees for managing spatial data over a range of size granularities,vldb,"k sevcik , n koudas",1996
1823,oracle media server : providing consumer based interactive access to multimedia data,sigmod conference,"a laursen , j olkin , m porter",1994
1824,object-oriented extensions in sql3 : a status report,sigmod conference,k kulkarni,1994
1825,analysis of n-dimensional quadtrees using the hausdorff fractal dimension,vldb,"c faloutsos , v gaede",1996
1826,the design and implementation of a sequence database system,vldb,"p seshadri , m livny , r ramakrishnan",1996
1827,editor 's notes,sigmod record,l liu,2003
1828,optimization of queries with user-defined predicates,vldb,"s chaudhuri , k shim",1996
1829,open object database management systems,,,1994
1830,incremental maintenance of externally materialized views,vldb,"m staudt , m jarke",1996
1831,the myriad federated database prototype,sigmod conference,"s hwang , e lim , h yang , s musukula , k mediratta , m ganesh , d clements , j stenoien , j srivastava",1994
1832,watchman : a data warehouse intelligent cache manager,vldb,"p scheuermann , j shim , r vingralek",1996
1833,dblearn : a system prototype for knowledge discovery in relational databases,sigmod conference,"j han , y fu , y huang , y cai , n cercone",1994
1834,the x-tree : an index structure for high-dimensional data,vldb,"s berchtold , d keim , h kriegel",1996
1835,an environmental sensor network to determine drinking water quality and security,sigmod record,"a ailamaki , c faloutsos , p fischbeck , m small , j vanbriesen",2003
1836,bluetooth-based sensor networks,sigmod record,"p bonnet , a beaufour , m dydensborg , m leopold",2003
1837,of objects and databases : a decade of turmoil,vldb,"m carey , d dewitt",1996
1838,developments at acm tods,sigmod record,r snodgrass,2003
1839,the changing landscape of the software industry and its implications for india,vldb,u gupta,1996
1840,the ores temporal database management system,sigmod conference,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",1994
1841,database management systems and the internet,vldb,s malaika,1996
1842,dwms : data warehouse management system,vldb,n mohan,1996
1843,ptool : a scalable persistent object manager,sigmod conference,"r grossman , x qin",1994
1844,disnic-plan : a nicnet based distributed database for micro-level planning in india,vldb,m moni,1996
1845,a language based multidatabase system,sigmod conference,"e kќhn , t tschernko , k schwarz",1994
1846,mosaico - a system for conceptual modeling and rapid prototyping of object-oriented database application,sigmod conference,"m missikoff , m toiati",1994
1847,bellcore 's adapt/x harness system for managing information on internet and intranets,vldb,a sheth,1996
1848,cache coherency in oracle parallel server,vldb,b klots,1996
1849,query by diagram : a graphical environment for querying databases,sigmod conference,"t catarci , g santucci",1994
1850,extracting large data sets using db2 parallel edition,vldb,s padmanabhan,1996
1851,quest : a project on database mining,sigmod conference,"r agrawal , m carey , c faloutsos , s ghosh , m houtsma , t imielinski , b iyer , a mahboob , h miranda , r srikant , a swami",1994
1852,metu object-oriented dbms,sigmod conference,"a dogac , i arpinar , c evrendilek , c ozkan , i altintas , i durusoy , m altinel , t okay , y saygin",1994
1853,further improvements on integrity constraint checking for stratifiable deductive databases,vldb,"s lee , t ling",1996
1854,estimation of query-result distribution and its application in parallel-join load balancing,vldb,"v poosala , y ioannidis",1996
1855,xsb as a deductive database,sigmod conference,"k sagonas , t swift , d warren",1994
1856,power efficient data gathering and aggregation in wireless sensor networks,sigmod record,"h tan , i korpeoglu",2003
1857,to weave the web,vldb,"p atzeni , g mecca , p merialdo",1997
1858,multimedia streaming in large-scale sensor networks with mobile swarms,sigmod record,"m gerla , k xu",2003
1859,using probabilistic information in data integration,vldb,"d florescu , d koller , a levy",1997
1860,reasoning on regular path queries,sigmod record,"d calvanese , g giacomo , m lenzerini , m vardi",2003
1861,on-demand data elevation in hierarchical multimedia storage servers,vldb,"p triantafillou , t papadakis",1997
1862,interview with pat selinger,,,2003
1863,principles of optimally placing data in tertiary storage libraries,vldb,"s christodoulakis , p triantafillou , f zioga",1997
1864,reminiscences on influential papers,,,2003
1865,materialized views selection in a multidimensional database,vldb,"e baralis , s paraboschi , e teniente",1997
1866,review of web caching and replication by michael rabinovich and oliver spatscheck . addison wesley 2002,,,2003
1867,parallel algorithms for high-dimensional similarity joins for data mining applications,vldb,"j shafer , r agrawal",1997
1868,sting : a statistical information grid approach to spatial data mining,vldb,"w wang , j yang , r muntz",1997
1869,"review of data on the web : from relational to semistructured data and xml by serge abiteboul , peter buneman , and dan suciu . morgan kaufmann 1999",,,2003
1870,"review of spatial databases with application to gis by philippe rigaux , michel scholl , and agnes voisard . morgan kaufmann 2002",,,2003
1871,merging ranks from heterogeneous internet sources,vldb,"l gravano , h garcia-molina",1997
1872,energy and rate based mac protocol for wireless sensor networks,sigmod record,"r kannan , r kalidindi , s iyengar , v kumar",2003
1873,the case for enhanced abstract data types,vldb,"p seshadri , m livny , r ramakrishnan",1997
1874,integrating reliable memory in databases,vldb,"w ng , p chen",1997
1875,distributed deviation detection in sensor networks,sigmod record,"t palpanas , d papadopoulos , v kalogeraki , d gunopulos",2003
1876,logical and physical versioning in main memory databases,vldb,"r rastogi , s seshadri , p bohannon , d leinbaugh , a silberschatz , s sudarshan",1997
1877,book review column,sigmod record,k aberer,2003
1878,sensor : the atomic computing particle,sigmod record,v kumar,2003
1879,using versions in update transactions : application to integrity checking,vldb,"f llirbat , e simon , d tombroff",1997
1880,incremental organization for data recording and warehousing,vldb,"h jagadish , p narayan , s seshadri , s sudarshan , r kanneganti",1997
1881,"the sensor spectrum : technology , trends , and requirements",sigmod record,"j hellerstein , w hong , s madden",2003
1882,understanding the semantics of sensor data,sigmod record,m mani,2003
1883,multiple-view self-maintenance in data warehousing environments,vldb,n huyn,1997
