dblp_scholar_id,yr_published,journal_name,creator_list
12963,,"proceedings of the 25 thannual environmental workshop ,",c anderson
12964,,"proceedings of the international conference on very large & hellip ; ,","l arge , o procopiuc , s ramaswamy , t suel"
12965,,"pc magazine ,",c petzold
12966,,"procs . of the 1994 linear accelerator conference ,",t kageyamaâ ? ¦
12967,,"international conference on bear research and management ,","p zager , c jonkel , j habeck"
12968,1979.0,"very large data bases , 1979 . fifth international conference & hellip ; ,","sp ghosh , af cardenas , i mijares , g wiederhold"
12969,1995.0,"the vldb journal the international journal on very large & hellip ; ,","j peckham , b mackellar , m doherty"
12970,2004.0,"bt technology journal ,","h lofthouse , mj yates , r stretch"
12971,2003.0,"cochrane database syst rev ,","m fransen , s mcconnell , m bell"
12972,,,"mh sqalli , l purvis , ec freuder"
12973,,"proc . acm cscw ,","jr goodall , wg lutters , ai komlodi"
12974,1986.0,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",aa szepieniec
12975,2001.0,"vldb ,","ac gilbert , y kotidis , s muthukrishnan , m strauss"
12976,1989.0,"new directions for teaching and learning ,",r lutts
12977,2005.0,"proceedings of the 13th annual acm international conference & hellip ; ,","h miyamori , s nakamura , k tanaka"
12978,1992.0,"sigmod record ,",t r & d
12979,,"proceedings of the a cm sigmod international conference on & hellip ; ,","e mckenzie , r snodgrass"
12980,,"no . i ,","ii vishnevskii , ld smirnova"
12981,1993.0,"journal of personality and social psychology ,","bl fredrickson , d kahneman"
12982,2002.0,"proceedings of the i mech e part d journal of automobile & hellip ; ,","mw suh , yk park , sj kwon"
12983,1994.0,"new directions for teaching and learning ,",ma wunsch
12984,,"technical report , department of statistics , stanford",jp romano
12985,,,q previews
12986,,,"d xin , j han , x yan , h cheng"
12987,1993.0,"sigmod record ,",g graefe
12988,1990.0,,m horton
12989,2000.0,"sigmod record ,",c vassilakis
12990,,new,f jelinek
12991,1974.0,,p switzer
12992,,"ieee computer ,","b meyer , c mingins , h schmidt"
12993,1992.0,"the academy of management journal ,",br golden
12994,1996.0,,"j weissman , g hamilton"
12995,,"proc . 7th afir colloq . and 28th astin colloq. , cairns , joint & hellip ; ,",m schweizer
12996,,procs of,lp kobbelt
12997,2000.0,"transplantation proceedings ,","p belitsky , ga levy , a johnston"
12998,,"proc asco ,","jj body , j kanis , i diel , b bergstrom"
12999,,,"s malassiotis , mg strintzis"
13000,,"ieee computer ,","a berlin , d weise"
13001,1999.0,,j buyens
13002,,"proc . of 28th asilomar conference on signals , systems and & hellip ; ,","tp chen , r chen"
13003,,report to,a competition
13004,2002.0,"bt technology journal ,","s garrett , d sheat"
13005,1995.0,"proceedings of the international conference on very large & hellip ; ,","m stonebraker , p brown"
13006,,"computer networks ,","r agrawal , rj bayardo jr"
13007,1984.0,"proceedings of the 1984 acm sigmod international conference & hellip ; ,","o shmueli , a itai"
13008,,"leader to leader ,",b nelson
13009,,submitted for,s alaca
13010,,,t lewis
13011,2000.0,"computer networks ,","a magi , a szentesi , b szviatovszki"
13012,1997.0,"lecture notes in computer science ,",d kapur
13013,,"procs bvm ,","c thies , v metzler , t lehmann , t aach"
13014,1987.0,,jw lloyd
13015,1999.0,"lecture notes in computer science ,","r clark , ed jensen , a kanevsky , j maurer , p"
13016,,"phil . mag ,","gw groves , a kelly"
13017,1991.0,"new directions for program evaluation ,",lj o'toole jr
13018,1986.0,"acm transactions on database systems ,",a segev
13019,1981.0,"journal of the acm ( jacm ) ,","rp brent , ht kung"
13020,1967.0,"wisconsin studies in contemporary literature ,",cn pondrom
13021,2003.0,"proceedings of the eleventh acm international conference on & hellip ; ,","m hosseini , nd georganas"
13022,,fumigation,i australia
13023,,,"j hirschberg , c nakatani"
13024,1994.0,"proceedings of the international conference on information & hellip ; ,","rd banker , sa slaughter"
13025,,,ood models
13026,,,s wahal
13027,,,fc cuny
13028,1976.0,"study of comets , proceedings of iau colloq . 25 , held in & hellip ; ,",b donn
13029,1988.0,,bl jensen
13030,,,"ja barnden , s helmreich , e iverson , gc stein"
13031,1999.0,,b bogue
13032,1991.0,"new directions for program evaluation ,",cj spindler
13033,,proceedings of,"l gang , h yanbo , z zhuofeng , w jianwu , rm wagner"
13034,,"san diego ,",le kovar
13035,,"new york ,","i ajzen , m fishbein"
13036,,"conf . on management of data ,","e rundensteiner , l bic"
13037,1997.0,"sigmod record ,","mj carey , nm mattos , ak nori"
13038,,,jn churchyard
13039,1999.0,,j campanella
13040,2003.0,"cochrane database syst rev ,","g suresh , cl martin , r soll"
13041,,"procs . international conference on computer vision ,",p worthingtonande
13042,,,"b galvin , b mccane , k novins , d mason , s mills"
13043,,"technical report , stanford university ,","rj anderson , e mayr"
13044,2000.0,"new directions for higher education ,","m wood , p kia"
13045,,,w james
13046,1986.0,"& hellip ; at the physics society , zurich , switzerland , 8 may 1919 & hellip ; ,",a stettbacher
13047,,"technical report , stanford university , march 2003 . submitted on","sd kamvar , th haveliwala , cd manning , gh golub"
13048,2002.0,"new directions for adult and continuing education ,",jm hugo
13049,,"urban geography ,","m ran , bjl berry"
13050,,,"k bã $ ckman , p carlsson"
13051,,,h schijning
13052,,cochrane database syst .,"a whitelaw , cr kennedy , lp brion"
13053,1996.0,"genes to cells ,","nl harvey , ja trapani , t fernandes-alnemri , g"
13054,,,p gillin
13055,1979.0,"new directions for higher education ,",c kerr
13056,,,"ku sattler , e schallehn , i geist"
13057,,,h tuominen
13058,1996.0,,p brang
13059,,,"d dougherty , s ghilezan , p lescanne"
13060,,,v rosslyn
13061,1988.0,"journal of geophysical research ,",gl stephens
13062,,"md ,","jw rouse , rh hass , ja schell , dw deering , jc"
13063,1997.0,"proceedings of the 1997 acm sigmod international conference & hellip ; ,","f gingras , lvs lakshmanan , in subramanian , d"
13064,1999.0,"acm transactions on database systems ,","d dey , vc storey , tm barron"
13065,,,b boehm
13066,2004.0,"proceedings of acm sigcomm ,","sy hu , gm liao"
13067,1982.0,,jr averill
13068,2002.0,"computer networks ,","a brown , m fuchs , j robie , p wadler"
13069,,,"y chen , me schlarmann , rl geiger"
13070,2004.0,,sa johnson
13071,2001.0,"communications-acm ,","l bergmans , m aksit"
13072,,proc . acm sigmod,s epstein
13073,,"scaling , and translation in time-series databases , âº very & hellip ; ,","r agrawal , ki lin , hs sawhney , k shim"
13074,,"proceedings ofacm international conference on management of & hellip ; ,","j han , j pei , y yin"
13075,1995.0,"& hellip ; of the american control conference , seattle , washington , & hellip ; ,",r isermann
13076,,,"dj carney , k wallnau"
13077,,"new directions for adult and continuing education ,","tj sork , ba welock"
13078,,"sigmod record ,",m winslett
13079,1992.0,,"sj chen , cl hwangâ ? ¦"
13080,,,"s fajardo , hj keisler"
13081,,"proc . 28th north east tree improvement conference . univ. of & hellip ; ,","rh ho , ay raj , l zsuffa"
13082,1998.0,"information and software technology ,","d boukerroui , o basset , n guerin , a baskurt , lb"
13083,1993.0,,o arnold
13084,,,"w greve , f reiners"
13085,2004.0,"bt technology journal ,",s whittaker
13086,,,k jack
13087,,"unpublished manuscript ,","t reimer , k katsikopoulos"
13088,,,"j bowen , m gordon"
13089,,"seattle , washington ,",tj craven
13090,,,"pcy lee , jd yâ ?? u"
13091,,"unpublished manuscript ,",dh gatzlaff
13092,,,"u srivastava , k munagala , j widom"
13093,,"ieee computer ,","py chen , dh lawrie , da padua , pc yew"
13094,,"journal of personality and social psychology ,","gn marshall , cb wortman , jw kusulas , lk hervig , rr"
13095,,"proc . 28th annu . meet . berkeley ling . soc. , berkeley ,",j kingston
13096,1994.0,,portal.acm.org
13097,1992.0,"submitted for publication ,",r caceres
13098,1999.0,"proceedings of the i mech e part d journal of automobile & hellip ; ,","yh zweiri , jf whidborne , ld seneviratne"
13099,2001.0,"journal of emergency medicine ,",lk gwynn
13100,,,"r mehra , j rabaey"
13101,1996.0,"social studies and the young learner ,","na chicola , eb english"
13102,,,"p sistla , c yu"
13103,2000.0,"information & software technology ,","h saiedian , r dale"
13104,,"phil . mag ,",frn nabarro
13105,2000.0,,r jacobson
13106,,"pc magazine ,","ml vanname , b catchings"
13107,,diabetes-new,"v emilsson , yl liu , ma cawthorne , nm morton , m"
13108,,"vldb journal ,","ds lomet , b concurrency"
13109,,proceedings of acm,"p cao , j almeida , az broder"
13110,,at .,"ai kiryushin , nn ponomarev-stepnoi , es glushkovâ ? ¦"
13111,,"santa barbara , california , july ,",a nippe
13112,,,l verhoeven
13113,,submitted for,"ak das , rj marks , m el-sharkawi , a gray"
13114,,"phil . mag ,","av gold , dkc macdonald , wb pearson"
13115,1999.0,"cellular and molecular biology letters ,","m greener , am marinaki , mm town , f moro , ha"
13116,,"proceedings of the 23rd annual conference of the national & hellip ; ,","rj carton , jw hirzy"
13117,,"unpublished manuscript ,","j klemela , m nussbaum"
13118,,vi . the electrophoretic demonstration of corticosteroid,wh daughaday
13119,,"proc . of acm computer communications review ,","p oechslin , j crowcroft"
13120,,"proc , int cong entomol , 13th ,",v landa
13121,,"proc . sigkddâ ?? 98 ,","s nestrov , s abiteboul , r motwani"
13122,2002.0,"electronic business ,",s lawton
13123,1972.0,"journal of personality and social psychology ,","k dion , e berscheid , e walster"
13124,,"san diego , calif ,","bj finlayson-pitts , jn pitts"
13125,,"journal of personality and social psychology ,","jk rempel , jg holmes , mp zanna"
13126,1980.0,"new directions for higher education ,",hl goyette
13127,2002.0,"sigmod record ,",d suciu
13128,1994.0,"new directions for higher education ,",rh atwell
13129,,"proceedings of the vldb conference ,","e chang , h garcia-molina"
13130,,"at work ,",j entine
13131,,"proc . 26th intâ ?? l symp . on comp . arch ,",a rothandg
13132,1998.0,,tn hubbard
13133,,,"v sinha , dr karger"
13134,,"journal of personality and social psychology ,","j greenberg , t pyszczynski , s solomon , a"
13135,,stanford university computer science department technical,car hoare
13136,,,"r chandra , a segev"
13137,1991.0,,j choppin
13138,,to,h frankowska
13139,1996.0,"history of programming languages -- ii table of contents ,",rf rosin
13140,,,h munthe-kaas
13141,1986.0,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,","c jullien , a leblond , j lecourvoisier"
13142,2001.0,,kj miess
13143,2003.0,"proceedings of the international conference on very large & hellip ; ,","j zhou , j sander"
13144,,"& hellip ; control : wind tunnel demonstration of fully effective & hellip ; ,","j shaw , n albion , ej hanker"
13145,,"md ,","lag ries , ba miller , bf hankey , cl kosary , a"
13146,2000.0,,alm dos santos
13147,,,f vahid
13148,,,s culp
13149,,"electronic materials ,","m nitta , s otani , mj haradone"
13150,2003.0,"& hellip ; manuscript , university of california , santa barbara , ca ,","jn bailenson , ac beall , j blascovich , j loomis , m"
13151,,"demonstration of a risk-based approach to high-level waste & hellip ; ,","j kemeny , n cook"
13152,,proceedings,"g silverstein , mj pazzani"
13153,1993.0,"proceedings of compugraphics ,","ep lafortune , yd willems"
13154,,,"a hoffmann , l volkmann"
13155,2003.0,"lecture notes in computer science ,","r bhagwan , s savage , gm voelker"
13156,,"phil . mag ,",h jeffreys
13157,,"phil . mag ,","l bass , fae pirani"
13158,1984.0,"new directions for teaching and learning ,",ll phillips
13159,,,"o blasco , j calabuig"
13160,,"new york ,","r spitzer , jb williams , m gibbon"
13161,,"and applications . technical report , stanford university ,","a averbuch , rr coifman , dl donoho , m israeli , j"
13162,,"proceedings acm sigmod conference on management of data ,","au tansel , j cliord"
13163,,unpublished,ap beck
13164,1985.0,"proceedings of the 23rd conference on association for & hellip ; ,","s fong , rc berwick"
13165,2004.0,"new directions for higher education ,",jl jervis
13166,,,n ahmed
13167,1994.0,"social studies and the young learner ,","mc mckinney-browning , jl barthâ ? ¦"
13168,1989.0,"& hellip ; proceedings d [ see also iee proceedings-control theory and & hellip ; ,","tj owens , jo ` reilly"
13169,,"ecology and environment , inc. , seattle ,",m ferns
13170,2000.0,"vldb ,","b kemme , g alonso"
13171,,,"e papagiannis , ma ambroze , m tomlinson"
13172,,"procs . 5th us mine ventilation symposium ,","mk gangal , ed dainty , g kunchur"
13173,,"proc . of 12th vldb conf ,",y ioannidis
13174,,,"e species , t species , pa network"
13175,2001.0,"cochrane database syst rev ,","p bradley , b lindsay"
13176,1993.0,,rl grossmanâ ? ¦
13177,,"unpublished manuscript ,",g aigner
13178,1977.0,"acm sigir forum ,",j minker
13179,,,r danchin
13180,1994.0,,"e biham , a shamir"
13181,1984.0,"approaches to emotion ,",r plutchik
13182,,"physics i ,",js bell
13183,,proceedings of the 1997 acm sigmod international conference,n katayama
13184,1996.0,"new directions for teaching and learning ,",rc rodabaugh
13185,,"new directions in the teaching and learning of geometry , eds & hellip ; ,",kr koedinger
13186,1998.0,,"f dolittle , v knox , c miller , s rowser"
13187,,,"jd ullman , r motwani , s nestorov"
13188,,,r kingslake
13189,1985.0,"proceedings of the 1985 acm sigmod international conference & hellip ; ,","ds batory , w kim"
13190,1998.0,"journal of personality and social psychology ,","am kring , ah gordon"
13191,1996.0,"vldb ,","y papakonstantinou , s abiteboul , h garcia-molina"
13192,1997.0,"genes to cells ,","h fujisawa , m morita"
13193,,,"cm boroni , fw goosey , m grinder , rj ross , p"
13194,1988.0,"the academy of management review ,","j katz , wb gartner"
13195,,,"g kakivaya , a layman , hf nielsen"
13196,2002.0,"genes to cells ,","s maegawa , m yamashita , k yasuda , k inoue"
13197,,phil .,b van der pol
13198,,"new directions for program evaluation ,","mc plantz , mt greenway , m hendricks"
13199,,"pc magazine ,","fj derfler jr , l freed"
13200,,"computerworld ,",m brandel
13201,,"pc magazine ,","j hill , j ozer , t mace"
13202,,"computer networks ,",j fulton
13203,,"proc . 11th intl. conf . on vldb ,","h lu , m carey"
13204,,"proceedings of the aiaa guidance , navigation an d control & hellip ; ,",kb lim
13205,2002.0,"electronic library ,",l rutter
13206,1995.0,"journal de physique i ,","jp bouchaud , ds dean"
13207,2003.0,"submitted for publication ,","w jank , g shmueli"
13208,1996.0,"the academy of management review ,","mw peng , ps heath"
13209,,"proc . acm ann . conf ,","m newell , r newell , t sancha"
13210,,"computerworld ,",sj johnston
13211,,,"a buades , b coll , jm morel"
13212,1996.0,"new directions for adult and continuing education ,",sl lytle
13213,1999.0,"physical geography ,","mw kaye , tw swetnam"
13214,,"mar. fish . serv. , seattle , washington . 20p ,",dl park
13215,,,"jb anderson , t aulin , ce sundberg"
13216,,"computerworld ,",b laberis
13217,1968.0,,js stimson
13218,1991.0,"information and software technology ,","mf bosco , m gibelli"
13219,1985.0,"lecture notes in computer science ,","sd brookes , aw roscoe"
13220,1966.0,,p gay
13221,1994.0,,"p poncelet , m teisseire , r cicchetti"
13222,,,"cpc lee , gh golub , sa zenios"
13223,1999.0,"the vldb journal the international journal on very large & hellip ; ,","n krivokapiä ? , a kemper , e gudes"
13224,1996.0,"proceedings : biological sciences ,",ra barton
13225,,,"wl hibbard , be paul , da santek"
13226,,"ieee computer ,","m dubios , c scheurich , f briggs"
13227,2004.0,"ieee transactions on knowledge and data engineering ,","a mittal , lf cheong"
13228,,,"r tous , j delgado"
13229,,,"ln illyashenko , ai nosich , t benson"
13230,,"proc . int . flax . inst ,","rk downey , dg dorrell"
13231,2000.0,"academy of management review ,",r ramamurti
13232,2000.0,"computer networks ,","l deri , s suin"
13233,2001.0,"journal of emergency medicine ,","wj brady , b erling , m pollack , tc chan"
13234,,,f khorrami
13235,2004.0,"proceedings of the 12th annual acm international conference & hellip ; ,","f zhao , q liu"
13236,,unpublished,k isbister
13237,1992.0,"journal of emergency medicine ,","j mcgoldrick , ja marx"
13238,,"ph. d. dissertation , eth , zurich , switzerland ,",d lange
13239,,"isbn ,","sa lourie , acj vincent , hj hall"
13240,,,"e omiecinski , a savasere"
13241,2000.0,"information & software technology ,","jh poore , gh walton , ja whittaker"
13242,,"proc . int . computer music conf ,","s tassart , r msallam , p depalle , s dequidt"
13243,,proc . of the 29th annual meeting of the southwest council,j cueilo
13244,1998.0,"lecture notes in computer science ,",w lehner
13245,,"san diego , ca ,","h kogelnik , rm jopson , le nelson"
13246,1972.0,,h mohr
13247,2004.0,"cochrane database syst rev ,","p matchaba , j moodley"
13248,,,"c chelba , a acero"
13249,,,"r swan , j allan"
13250,1989.0,,u eco
13251,,"pc magazine bulgaria ,",ð ? karadzhova
13252,1974.0,,j aiello
13253,,"proc . acm sosp â ?? 01 , nov ,","a muthitacharoen , b chen andd"
13254,,,"b bargen , p donnelly"
13255,,"submitted for publication ,","p fryzlewicz , gp nason"
13256,,"phil . mag ,",ja venables
13257,,proc . acm,"dl tennenhouse , im leslie"
13258,,"md ,","ld johnston , pm oâ ?? malley , jg bachman"
13259,2002.0,"cochrane database syst rev ,","mv villarruz , a dans , f tan"
13260,1982.0,,gh rights
13261,,proc . 28th annu . acm symp . theory,"y bartal , a fiat , s leonardi"
13262,,proceedings of the 23rd vldb,"m gyssens , l lakshmanan"
13263,1998.0,"proceedings of the international conference on very large & hellip ; ,",l vieille
13264,1998.0,"economic geography ,",rc jones
13265,1999.0,"proc int conf supercomputing ,","jb brockman , pm kogge , vw freeh , sk kuntz , tl"
13266,1990.0,"bombay , india , 8-9 mar. 1990 ,",p ramakrishnan
13267,,"ieee computer ,",r duncan
13268,2005.0,"proceedings of the 20th ieee/acm international conference on & hellip ; ,","d coppit , j lian"
13269,1998.0,,sh babey
13270,,"new directions for teaching and learning : teaching writing & hellip ; ,",j macallister
13271,,"proc . of acm pods ,","f bancilhon , d maier , y sagiv , jd ullman"
13272,1996.0,"genes to cells ,",wj gehring
13273,,proc . 2000 acm symposium on applied,"l bougã © , jf mã © haut , r namyst , l prylli"
13274,1988.0,"the histochemical journal ,","wm frederiks , f marx"
13275,,proc . 34th acm southeast,"p marcenac , s leman , s giroux"
13276,,"submitted to publication ,","r schlor , j helbig"
13277,1998.0,,jq chambers
13278,,conf . on very large data-bases,"s lin , ã ? tamer , m zsu , v oria , r ng"
13279,1950.0,,ls pontriagin
13280,2000.0,,rg arrowood
13281,1998.0,"sigmod record ,",acms anthology
13282,,"plenum , new york ,",rf egerton
13283,2000.0,"bt technology journal ,",j ozdural
13284,,proceedings of the 1992 acmsigmod,"s ghandeharizadeh , dj dewitt"
13285,,"olsen & associates , zurich , switzerland ,","dm guillaume , ov pictet , mm dacorogna"
13286,,"submitted for publication ,",a bruggemann-klein
13287,,"md ,","r donagi , l ein , r lazarsfeld"
13288,,"proc . 28th annual asilomar conf . on signals , systems , and","c bregler , s omohundro , y konig , n morgan"
13289,1993.0,"lecture notes in computer science ,","ef brickell , dm gordon , ks mccurley , db wilson"
13290,,,y zhuge
13291,,"phil . mag ,","u bergenlid , rw hill , fj webb , j wilks"
13292,,"i , '' paris ,",e laguerre
13293,1981.0,"aip conference proceedings ,","ow greenberg , j sucher"
13294,,"ieee computer ,",r lauber
13295,1988.0,"ieee transactions on software engineering ,","ss iyengar , rl kashyap"
13296,1988.0,"the histochemical journal ,","gh herbener , m bendayan"
13297,,,acms anthology
13298,,,d adolf
13299,1985.0,,t hobbes
13300,,"unpublished manuscript ,",p speckman
13301,,"proc . of acm sigmod ,","d dewitt , s ghandeharizadeh , d schneider"
13302,,"referenced at ,",h acc
13303,,,"c von praun , tr gross"
13304,1993.0,"proceedings of the first acm international conference on & hellip ; ,","kd huynh , tm khoshgoftaar"
13305,,"algebra i analiz ,",a yu
13306,2005.0,"proceedings of the 13th annual acm international conference & hellip ; ,","b gao , ty liu , t qin , x zheng , qs cheng , wy ma"
13307,,"preparation , ibm almaden research center ,","s chakrabarti , b dom , d gibson , j kleinberg , p"
13308,1993.0,"urban geography ,",ls bourne
13309,,,"h shen , c sun"
13310,1998.0,"journal of emergency medicine ,","k heard , j kendall , j abbott"
13311,,,l ciortuz
13312,,"annual conference of the association of american geographers & hellip ; ,",jf wang
13313,,unpublished,"m henzinger , v king , t warnow"
13314,,,"n dushay , jc french , c lagoze"
13315,,,rh thayer
13316,,"stanford university : technical report , 1996b . ( new","r huard , b hayes-roth"
13317,,"mined lands agricultural research/demonstration project . & hellip ; ,","ea hanlon , gj hochmuth , l shaw , c riddle"
13318,,"proc . of the 17th int . conf . on vldb , barcelona , s ,","a albano , g ghelli , r orsini"
13319,,"information and software technology ,","j lin , t lin"
13320,2002.0,"sigmod conference ,",v crescenzi
13321,1998.0,"sigmod record ,","t griffin , b kumar"
13322,1996.0,"sigmod conference ,","kj achyutuni , e omiecinski , sb navathe"
13323,,,"c brezinski , h sadok"
13324,2000.0,"journal of emergency medicine ,","er swanson , de fosnocht"
13325,1998.0,"the vldb journal the international journal on very large & hellip ; ,",m jarke
13326,2000.0,"bt technology journal ,",i dufour
13327,,"computing science and statistics : proceedings of the 23rd & hellip ; ,",jc geyer
13328,,"computer networks ,","yi gold , wr franta"
13329,,"procs of second generation expert systems , l oth & hellip ; ,","b silver , j vittal , w frawley , g iba , k bradford"
13330,1991.0,"information and software technology ,","jr cameron , a campbell , pt ward"
13331,1998.0,"journal of emergency nursing ,",cw hatler
13332,2003.0,"proceedings of the international conference on very large & hellip ; ,",ml brodie
13333,2005.0,"proceedings of the 13th annual acm international conference & hellip ; ,","m kobayakawa , m hoshi , k onishi"
13334,2001.0,"information & software technology ,","a garratt , m jackson , p burden , j wallis"
13335,,"proceedings of the international conference on management & hellip ; ,","j xu , s chiu"
13336,1996.0,"sigmod record ,",ae wade
13337,,,"mt hajiaghayi , r kleinberg , m mahdian , dc parkes"
