media_id,download_price,alb_nm,rights_details,artist_label,duration,publication_date,track
40,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,0:56,"December 9 , 2001",182b : Bonus ! Super Sleuth - Your Skin
41,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,2:08,"December 9 , 2001",182c : Bonus ! Mr. How-To - The House Built On Sand
42,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,1:55,"December 9 , 2001",182d : Bonus ! Ancient World Of Sports - Gideon 's Pitch
43,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,2:08,"December 9 , 2001","182e : Bonus ! Apostle Paul - Paul , Apostle Paul"
44,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,2:04,"December 9 , 2001",182f : Bonus ! Apostle Paul - Armed And Ready
45,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,20:28,"April 9 , 1994","261 : Afraid , Not !"
46,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,24:48:00,"April 9 , 1994",263 : When Bad Is n't So Good
47,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,24:37:00,"April 9 , 1994",264 : Making the Grade
48,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,20:10,"April 9 , 1994",265 : War of the Words
49,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,24:54:00,"April 9 , 1994",266 : It Began with a Rabbit 's Foot
50,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,25:36:00,"April 9 , 1994",267 : It Ended with a Handshake
51,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,23:16,"April 9 , 1994",268 : Pet Peeves
52,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,20:45,"April 9 , 1994",269 : Fences
53,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,24:59:00,"April 9 , 1994",270 : The War Hero
54,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,24:14:00,"April 9 , 1994",271 : The Secret Keys of Discipline
55,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,23:54,"April 9 , 1994","272 : Two Brothers and Bernard , Part 1 of 2"
56,$ 0.99,# 20 : A Journey of Choices,1994 Focus on the Family,Adventures in Odyssey,22:53,"April 9 , 1994","273 : Two Brothers and Bernard , Part 2 of 2"
57,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,22:12,"December 9 , 2001",307 : Poetry in Slow Motion
58,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,26:12:00,"December 9 , 2001",308 : Subject Yourself
59,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,24:03:00,"December 9 , 2001",312 : Rewards in Full
60,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,24:33:00,"December 9 , 2001",313 : Top This !
61,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,21:46,"December 9 , 2001","314 : The Underground Railroad , Part 1 of 3"
62,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,20:13,"December 9 , 2001","315 : The Underground Railroad , Part 2 of 3"
63,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,23:41,"December 9 , 2001","316 : The Underground Railroad , Part 3 of 3"
64,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,24:41:00,"December 9 , 2001",317 : B-TV : Envy
65,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,22:31,"December 9 , 2001","318 : A Touch of Healing , Part 1 of 2"
66,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,26:04:00,"December 9 , 2001","319 : A Touch of Healing , Part 2 of 2"
67,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,28:50:00,"December 9 , 2001",320 : Where Is Thy Sting ?
68,$ 1.99,# 24 : Risks and Rewards,1996 Focus on the Family,Adventures in Odyssey,25:29:00,"December 9 , 2001",322 : The Turning Point
69,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,24:33:00,"December 9 , 2001",321 : Hidden In My Heart
70,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,24:38:00,"December 9 , 2001","335 : Love Is in the Air , Part 1 of 2"
71,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,26:28:00,"December 9 , 2001","336 : Love Is in the Air , Part 2 of 2"
72,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,23:22,"December 9 , 2001",337 : W-O-R-R-Y
73,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,24:35:00,"December 9 , 2001",338 : Easy Money
74,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,24:36:00,"December 9 , 2001","339 : Do , for a Change"
75,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,24:43:00,"December 9 , 2001","340 : Pokenberry Falls , R.F.D. , Part 1 of 2"
76,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,24:30:00,"December 9 , 2001","341 : Pokenberry Falls , R.F.D. , Part 2 of 2"
77,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,24:31:00,"December 9 , 2001","342 : Welcome Home , Mr. Blackgaard"
78,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,21:52,"December 9 , 2001",343 : The Pretty Good Samaritan
79,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,24:37:00,"December 9 , 2001",346 : Saint Paul : Voyage to Rome
80,$ 1.99,# 26 : Back on the Air,1996 Focus on the Family,Adventures in Odyssey,23:07,"December 9 , 2001",347 : Saint Paul : An Appointment with Caesar
81,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,28:40:00,"December 9 , 2001",383 : B-TV : Thanks
82,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,22:05,"December 9 , 2001","385 : It 's a Pokenberry Christmas , Part 1 of 2"
83,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,23:37,"December 9 , 2001","386 : It 's a Pokenberry Christmas , Part 2 of 2"
84,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,24:41:00,"December 9 , 2001",387 : New Years Eve Live !
85,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,27:51:00,"December 9 , 2001",393 : Wrapped Around Your Finger
86,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,24:27:00,"December 9 , 2001","394 : Saint Patrick : A Heart Afire , Part 1 of 2"
87,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,25:48:00,"December 9 , 2001","395 : Saint Patrick : A Heart Afire , Part 2 of 2"
88,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,26:30:00,"December 9 , 2001",403 : Faster Than a Speeding Ticket
89,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,26:24:00,"December 9 , 2001",404 : Hide & Seek
90,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,27:06:00,"December 9 , 2001",405 : The Graduate
91,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,25:30:00,"December 9 , 2001",409 : Natural Born Leader
92,$ 1.99,# 31 : Days to Remember,1998 Focus on the Family,Adventures in Odyssey,21:51,"December 9 , 2001",412 : A Lesson From Mike
93,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,24:27:00,"December 9 , 2001",418 : Opening Day
94,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,23:17,"December 9 , 2001",419 : Another Man 's Shoes
95,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,21:10,"December 9 , 2001","424 : Blackgaard 's Revenge , Part 1 of 2"
96,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,18:40,"December 9 , 2001","425 : Blackgaard 's Revenge , Part 2 of 2"
97,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,23:04,"December 9 , 2001",426 : The Buck Starts Here
98,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,22:05,"December 9 , 2001",427 : Something Cliqued Between Us
99,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,21:26,"December 9 , 2001",428 : The Eternal Birthday & Bethany 's Imaginary Friend
100,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,21:44,"December 9 , 2001",429 : The Y.A.K. Problem
101,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,22:03,"December 9 , 2001",430 : Blind Girl 's Bluff
102,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,20:48,"December 9 , 2001",431 : Where There 's Smoke & The Virtual Kid
103,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,22:01,"December 9 , 2001","432 : You Win Some , You Lose Some"
104,$ 1.99,# 33 : Virtual Realities,2000 Focus on the Family,Adventures in Odyssey,22:39,"December 9 , 2001",433 : The Treasure Room & Chain Reaction
105,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,21:19,"December 9 , 2001","449 : The Big Deal , Part 1 of 2"
106,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,22:40,"December 9 , 2001","450 : The Big Deal , Part 2 of 2"
107,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,22:41,"December 9 , 2001",451 : Life Trials of the Rich & Famous
108,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,22:53,"December 9 , 2001",452 : Missionary Impossible
109,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,25:12:00,"December 9 , 2001","453 : The Great Wishy Woz , Part 1 of 2"
110,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,25:39:00,"December 9 , 2001","454 : The Great Wishy Woz , Part 2 of 2"
111,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,24:59:00,"December 9 , 2001",455 : Best Laid Plans
112,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,22:58,"December 9 , 2001",456 : Worst Day Ever
113,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,22:27,"December 9 , 2001",457 : Opportunity Knocks
114,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,25:12:00,"December 9 , 2001",458 : Red Herring
115,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,22:54,"December 9 , 2001",459 : Slumber Party
116,$ 1.99,# 35 : The Big Picture,2001 Focus on the Family,Adventures in Odyssey,24:32:00,"December 9 , 2001",460 : Nova Rising
117,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,22:09,"December 9 , 2001","488 : Under the Influence , Part 1 of 2"
118,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,28:27:00,"December 9 , 2001","489 : Under the Influence , Part 2 of 2"
119,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,19:44,"December 9 , 2001","490 : The Black Veil , Part 1 of 2"
120,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,22:47,"December 9 , 2001","491 : The Black Veil , Part 2 of 2"
121,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,23:11,"December 9 , 2001",492 : Twisting Pathway
122,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,22:41,"December 9 , 2001",493 : Sheep 's Clothing
123,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,22:29,"December 9 , 2001",494 : Box of Miracles
124,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,24:27:00,"December 9 , 2001",495 : The Unraveling
125,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,24:28:00,"December 9 , 2001",496 : Exceptional Circumstances
126,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,22:45,"December 9 , 2001",497 : Expect the Worst
127,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,23:36,"December 9 , 2001",498 : Exactly As Planned
128,$ 1.99,# 38 : Battle Lines,2002 Focus on the Family,Adventures in Odyssey,22:20,"December 9 , 2001",499 : Exit
129,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,23:14,"December 9 , 2001","535 : Living in the Gray , Part 1 of 2"
130,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,22:48,"December 9 , 2001","536 : Living in the Gray , Part 2 of 2"
131,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,23:34,"December 9 , 2001",538 : Stubborn Streaks
132,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,21:24,"December 9 , 2001",539 : Called on in Class
133,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,24:21:00,"December 9 , 2001",540 : The Girl in the Sink
134,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,24:30:00,"December 9 , 2001",541 : Bernard & Saul
135,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,24:14:00,"December 9 , 2001",542 : Eggshells
136,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,24:44:00,"December 9 , 2001",543 : Nothing But the Half Truth
137,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,24:18:00,"December 9 , 2001",544 : Split Ends
138,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,22:22,"December 9 , 2001",545 : Something 's Got to Change
139,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,21:49,"December 9 , 2001",546 : No Way Out ( Part 1 of 2 )
140,$ 1.99,# 42 : No Way Out,2004 Focus on the Family,Adventures in Odyssey,24:03:00,"December 9 , 2001",547 : No Way In ( Part 2 of 2 )
141,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,24:22:00,"December 9 , 2001","703 : The Labyrinth , Part 1 of 3"
142,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,22:56,"December 9 , 2001","704 : The Labyrinth , Part 2 of 3"
143,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,22:15,"December 9 , 2001","705 : The Labyrinth , Part 3 of 3"
144,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,25:43:00,"December 9 , 2001",706 : To Mend or Repair
145,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,25:21:00,"December 9 , 2001",707 : Mistaken for Good
146,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,24:34:00,"December 9 , 2001","708 : Sergeant York , Part 1 of 4"
147,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,21:32,"December 9 , 2001","709 : Sergeant York , Part 2 of 4"
148,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,19:26,"December 9 , 2001","710 : Sergeant York , Part 3 of 4"
149,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,20:36,"December 9 , 2001","711 : Sergeant York , Part 4 of 4"
150,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,24:35:00,"December 9 , 2001",712 : Child 's Play
151,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,23:50,"December 9 , 2001","713 : Something Old , Something New , Part 1 of 2"
152,$ 1.99,# 55 : The Deep End,2012 Focus on the Family,Adventures in Odyssey,26:08:00,"December 9 , 2001","714 : Something Old , Something New , Part 2 of 2"
153,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,23:29,"October 6 , 2012","715 : The Perfect Church , Part 1 of 2"
154,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,24:23:00,"October 6 , 2012","716 : The Perfect Church , Part 2 of 2"
155,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,24:05:00,"October 6 , 2012",717 : Great Expectations
156,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,24:56:00,"October 6 , 2012",718 : For Three Dollars More
157,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,22:32,"October 6 , 2012",719 : The Bible Network
158,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,25:04:00,"October 6 , 2012",720 : Happy Hunting
159,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,26:21:00,"October 6 , 2012",721 : The Holy Hoopster
160,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,1:15,"October 6 , 2012",721a : Bonus ! Extended Mix Of The Holy Hoopster '' Rap ''
161,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,27:05:00,"October 6 , 2012",722 : The Lost Riddle
162,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,23:43,"October 6 , 2012",723 : Groundhog Jay
163,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,24:26:00,"October 6 , 2012","724 : Home Again , Part 1 of 2"
164,$ 1.99,# 56 : The Grand Design,2012 Focus on the Family,Adventures in Odyssey,22:17,"October 6 , 2012","725 : Home Again , Part 2 of 2"
165,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,23:24,"August 16 , 2013","727 : Your Servant is Listening , Part 1 of 2"
166,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,25:10:00,"August 16 , 2013","728 : Your Servant is Listening , Part 2 of 2"
167,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,24:54:00,"August 16 , 2013",729 : No Chemistry Whatsoever
168,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,24:18:00,"August 16 , 2013",730 : The Friend Formula
169,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,25:10:00,"August 16 , 2013",731 : More Than a Feeling
170,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,25:41:00,"August 16 , 2013",732 : Repent After Me
171,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,24:48:00,"August 16 , 2013",733 : Big Trouble Under the Big Top
172,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,26:41:00,"August 16 , 2013","734 : Life Expectancy , Part 1 of 3"
173,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,23:42,"August 16 , 2013","735 : Life Expectancy , Part 2 of 3"
174,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,28:44:00,"August 16 , 2013","736 : Life Expectancy , Part 3 of 3"
175,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,24:13:00,"August 16 , 2013","737 : The Pilot , Part 1 of 2"
176,$ 1.99,# 57 : A Call to Something More,2013 Focus on the Family,Adventures in Odyssey,23:04,"August 16 , 2013","738 : The Pilot , Part 2 of 2"
177,$ 0.99,# 58 : The Ties That Bind,2014 Focus on the Family,Adventures in Odyssey,24:48:00,"September 1 , 2014","751 : The Ties That Bind , Part 1"
178,$ 0.99,# 58 : The Ties That Bind,2014 Focus on the Family,Adventures in Odyssey,26:32:00,"September 1 , 2014","752 : The Ties That Bind , Part 2"
179,$ 0.99,# 58 : The Ties That Bind,2014 Focus on the Family,Adventures in Odyssey,22:30,"September 1 , 2014","753 : The Ties That Bind , Part 3"
180,$ 0.99,# 58 : The Ties That Bind,2014 Focus on the Family,Adventures in Odyssey,22:55,"September 1 , 2014","754 : The Ties That Bind , Part 4"
181,$ 0.99,# 58 : The Ties That Bind,2014 Focus on the Family,Adventures in Odyssey,24:34:00,"September 1 , 2014","755 : The Ties That Bind , Part 5"
182,$ 0.99,# 58 : The Ties That Bind,2014 Focus on the Family,Adventures in Odyssey,25:13:00,"September 1 , 2014","756 : The Ties That Bind , Part 6"
183,$ 0.99,# 58 : The Ties That Bind,2014 Focus on the Family,Adventures in Odyssey,23:54,"September 1 , 2014","757 : The Ties That Bind , Part 7"
184,$ 0.99,# 58 : The Ties That Bind,2014 Focus on the Family,Adventures in Odyssey,24:46:00,"September 1 , 2014","758 : The Ties That Bind , Part 8"
