beer_id,producer_name,alcohol_content,brew_product
2429,Anderson Valley Brewing Company,8.60 %,Anderson Valley Barrel Aged Horn of the Beer Barley Wine
2430,BrewDog,12 %,BrewDog Clown King
2431,Creature Comforts Brewing Company,4.50 %,Creature Comforts Tritonia
2432,BrewDog,10.50 %,BrewDog / Oskar Blues Shipwrecker Circus
2433,Snipes Mountain Microbrewery,9.20 %,Snipes Mountain Roza Reserve
2434,Crown Valley Brewing & Distilling,9 %,Cathedral Square Repent Rye
2435,Abbot BrewHouse,7 %,Abbot BrewHouse Benedictus Primus
2436,Burnt Hickory Brewery,13 %,Burnt Hickory Killdozer 12 Point Buck Ale
2437,Ladyface Ale Companie,10.50 %,Ladyface Oaked Bluebelly Barleywine
2438,Copperhead Brewery,5.30 %,Copperhead Red
2439,Block 15 Brewery,12 %,Block 15 Hypnosis
2440,Excel Brewing Company,12 %,Excel Ryeday The 13th
2441,Birrificio Grado Plato,8 %,Grado Plato Strada S. Felice
2442,Napa Smith Brewery,10 %,Napa Smith Grateful Dog Barleywine
2443,Tired Hands Brewing Company,10.80 %,Tired Hands StonerWitch
2444,Drakes Brewing Company,11.50 %,Drakes Rakish Ryewine
2445,Mother_s Brewing Company,10.80 %,Mother_s Foggy Notion - Single Barrel
2446,La Voie MaltÃ © e,10 %,La Voie MaltÃ © e Polissonne
2447,Revolution Brewing Company,13 %,Revolution Mineshaft Gap
2448,Twisted Pine Brewing,9.10 %,Twisted Pine Bough Breaker Barleywine
2449,Brakspear &#40; Marstons &#41;,4.50 %,Brakspear Downpour
2450,Albuquerque Brewing Company,6 %,Albuquerque The Dukes Pale Ale
2451,Burnt Hickory Brewery,11 %,Burnt Hickory / Coastal Empire March to the Sea
2452,Piece Brewery & Pizzeria,-,Piece Barrel Aged Moose Knuckle
2453,Jackie O_s Pub & Brewery,7 %,Jackie O_s Really Nelson India Red Ale
2454,XT Brewing,4.60 %,Animal Big Bang
2455,Sockeye Brewing,10.30 %,Sockeye Old Devils Tooth Barleywine
2456,5 Seasons North,10.40 %,5 Seasons North Cloud 9 Barleywine
2457,FiftyFifty Brewing Company,12.50 %,FiftyFifty Cherry Annularity
2458,New Albanian Brewing Company,7 %,New Albanian Hoosier Daddy Crimson & Cream Ale
2459,Broue Pub Brouhaha,12 %,Brouhaha Gaz de Course
2460,Hay Camp Brewing Company,9.10 %,Hay Camp Hoplessness Barleywine
2461,Microbrasserie du Lac Saint-Jean,11 %,Du Lac Saint-Jean Frappabord
2462,Port Jeff Brewing Company,8.70 %,Port Jeff Cold North Wind
2463,Lompoc Brewing,9.70 %,Lompoc Bourbon Barrel Aged Old Tavern Rat
2464,10 Barrel Brewing &#40; AB InBev &#41;,4.70 %,10 Barrel Mike Saw a Sasquatch Session Ale
2465,Crazy Mountain Brewing Company,7.50 %,Crazy Mountain Old Soul Belgian Strong Ale
2466,Union Craft Brewing Company,9.80 %,Union Craft Chessie Barleywine Barrel Aged
2467,Barrington / Berkshire Mountain Brewery,11 %,Barrington Yule Fuel
2468,Walking Man Brewing,13 %,Walking Man Bourbon Barrel Old Stumblefoot
2469,Equinox Brewing,10 %,Equinox Midwinter Warmer
2470,Figure Eight Brewing,-,Figure Eight Bourbon Barrel Aged Jumbo Love
2471,Airways Brewing Company,-,Airways Autumnfest Lager
2472,Lighthouse Brewing &#40; Canada &#41;,8 %,Lighthouse Siren Red Ale
2473,Bluejacket,9.60 %,Bluejacket High Society
2474,Birrificio Barley,10 %,Barley BB10Â ° &#40; Dexi &#41;
2475,Capitol City Brewing Company,11.50 %,Capitol City Slobberknocker Barleywine
2476,Beer Works,11.50 %,Beer Works Hercules Strong Ale
2477,AleSmith Brewing Company,8.50 %,AleSmith YuleSmith &#40; Summer &#41; India Pale Ale
2478,Ale Asylum,9.20 %,Ale Asylum Diablo Belga
2479,Birra del Borgo,16 %,Birra del Borgo Sedicigradi
2480,Brewsters Brewing Co. - Alberta,9.90 %,Brewsters Blue Monk Barley Wine
2481,Motor City Brewing Works,8.80 %,Motor City Winter Ale
2482,Perennial Artisan Ales,14 %,Side Project Anabasis
2483,Brouwerij de Molen,15.20 %,De Molen Bommen & Granaten Cascade Dry Hopped
2484,Empire Brewing Company,12.50 %,Empire Barley Wine
2485,Quidi Vidi Brewing Company,5 %,Quidi Vidi 1892 Traditional Ale
2486,Barrier Brewing Company,5.50 %,Barrier Undertow Dunkel Rauch
2487,Devils Canyon Brewing Co. .,16 %,Devils Canyon Barrel of Monkeys Barleywine
2488,Wormtown Brewing Co. .,10 %,Wormtown Beer Goggles Barleywine
2489,Mike Hess Brewing Company,11.50 %,Mike Hess Ordeum Rex Barley Wine
2490,Barnstormer Brewing and Pizzeria,7 %,Barnstormer Dead Stick Stout
2491,Hangar 24 Craft Brewery,13.90 %,Hangar 24 Barrel Roll No. 04 : Hammerhead - Bourbon Barrel Aged with Chai Tea
2492,8 Wired Brewing,5.50 %,8 Wired Flat White Coffee Milk Stout
2493,De Proefbrouwerij,13 %,Omnipollo Erzulie Barley Wine
2494,Les Brasseurs du Temps,9 %,Les Brasseurs du Temps Mea Magna Culpa
2495,Fredericksburg Brewing Company,5.30 %,Fredericksburg Enchanted Rock Red Ale
2496,Pizza Port &#40; Solana Beach &#41;,9.80 %,Pizza Port Old Boneyards Barleywine
2497,Sprague Farm & Brew Works,-,Sprague Farm Barbarian Barley Wine
2498,Crabtree Brewing Company,12 %,Crabtree Woody B. Barley Wine Ale
2499,BrewDog,10 %,BrewDog #MashTag 2015
2500,Pizza Boy Brewing,10 %,Pizza Boy / Chip Bender - Benders Barleywine
2501,Aztec Brewing Company,7.60 %,Aztec Sacrifice Red IPA
2502,Jackie O_s Pub & Brewery,11.50 %,Jackie O_s Bourbon Barrel Nutted Brick Kiln
2503,Peter Bs Brewpub,6.10 %,Peter Bs Dr. Strangelove
2504,Blue Hills Brewery,11.80 %,Blue Hills Fortis Pagus
2505,Telegraph Brewing Company,10 %,Telegraph Obscura Aurantium
2506,Strange Land Brewery,10.90 %,Strange Land Bishopsgate
2507,De Proefbrouwerij,18.30 %,Mikkeller Big Worster Barrel Aged Barley Wine Malaga Edition
2508,Hermit Thrush Brewery,13 %,Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine
2509,Trinity Brewhouse,9 %,Trinity Wolfs Breath Winter Warmer
2510,21st Amendment Brewery,9.50 %,21st Amendment Bourbon Barrel Lower da Boom Barleywine
2511,Flying Goose Brew Pub,9.40 %,Flying Goose Isle Of Pines Barley Wine
2512,Aardwolf,9.10 %,Aardwolf / Pinglehead How Heavy This Hop
2513,Microbrasserie Le Castor - Le Castor Brewing Co. .,9.50 %,Le Castor Vin No. 1 Grande RÃ © serve &#40; fÃ '' ts de rhum &#41;
2514,Devils Backbone Brewing Company,11 %,Devils Backbone Tectonic Barleywine
2515,Destihl Brewery,11.50 %,Destihl Triton Barleywine
2516,Hardywood Park Craft Brewery,12.50 %,Hardywood x RVA Beard League Barleywine 2014
2517,Amsterdam Brewing Company,10 %,Amsterdam X Sawdust City X Great Lakes X Indie Ale Barley Wine &#40; Oak &#41;
2518,American Brewing Company,10.50 %,American Old Glory Barleywine
2519,Absolution Brewing Company,7.20 %,Absolution Angel_s Demise
2520,Bullfrog Brewery,11.50 %,Bullfrog Oak Aged Old Toad Barleywine
2521,Birdsong Brewing,6 %,Birdsong Sticky Situation
2522,Relic Brewing Company,10.80 %,Relic Morgue Party
2523,Odd Side Ales,12 %,Odd Side Ales Colossal Oversight
2524,De Proefbrouwerij,11 %,Beer Here Farligwine
2525,Northampton Brewing Co. &#40; NB &#41;,4.50 %,Simeon Jones River Valley Amber Ale
2526,Barley Browns Brewpub,10.50 %,Barley Browns Sledwreck Winter Ale
2527,Carlow,9.60 %,Carlow O_Hara_s Barrel Aged Series Barley Wine
2528,4 Noses Brewing Company,9.50 %,4 Noses Bonaparte Barleywine &#40; Breckenridge Bourbon Barrel Aged &#41;
2529,Broadway Pub,10 %,Broadway Pub Elixir de Belphegor Barley Wine
2530,Eden Brewery &#40; Cumbria &#41;,5.50 %,Eden The Embalmer
2531,Amicas Pizza & Microbrew,12 %,Amicas Infinite Search
2532,Aardwolf,10.40 %,Aardwolf Whisperer in Darkness
2533,The Brew Gentlemen Beer Company,10.40 %,The Brew Gentlemen Nonstop Forever &#40; Batch 1 &#41;
2534,Laurelwood Public House & Brewery,-,Laurelwood Bourbon Barrel Olde Reliable
2535,AleSmith Brewing Company,6.66 %,AleSmith My Bloody Valentine
2536,Epic Brewing Company &#40; UT/CO &#41;,4.80 %,Epic Cross Fever Amber Ale
2537,Lagerheads Brewing Company,5.90 %,Lagerheads Bed Head Red
2538,Squatters Craft Beers,5.50 %,Squatters Radio From Hell the Brew &#033; Red as Hell Ale
2539,Blue Frog Brewery,7.65 %,Blue Frog Red Ale
2540,Abbeydale,4.60 %,Abbeydale Epiphany
2541,Bloomington Brewing Co. .,-,Bloomington Lambic-aged Ruby Bloom Amber
2542,Acadian Farms & Brewery,6.90 %,Acadian Farms India Red Ale &#40; IRA &#41;
2543,BridgePort Brewing,7.50 %,BridgePort Kingpin Double Red Ale
2544,Genesee Brewing Company &#40; North American Breweries &#41;,5.50 %,East Coast Kick Back Ale
2545,Hockley Valley Brewing & Malting Company,4.20 %,Hockley Valley Amber
2546,Trailhead Brewing Co. .,-,Trailhead Red Amber Ale
2547,603 Brewery,7.10 %,603 9th State Red IPA
2548,Beer Works,5 %,Beer Works Victory Red
2549,21st Amendment Brewery,7.60 %,21st Amendment Toaster Pastry
2550,Ruby Mountain Brewing Company,-,Ruby Mountain Angel Creek Amber Ale
2551,Baeltane Brewing,5.10 %,Baeltane Farmer_s Flock
2552,The Bruery,6.90 %,The Bruery Double Dry Hopped Loakal Red
2553,Kiuchi Brewery,6 %,Hitachino Nest Amber Ale
2554,Adirondack Pub and Brewery,5.60 %,Roscoe Trout Town American Amber Ale
2555,Anderson Valley Brewing Company,8.80 %,Anderson Valley Bahl Hornin _ Imperial Boont Amber Ale
2556,Auburn Alehouse &#40; CA &#41;,8.30 %,Auburn Alehouse Red Headed Hop Donkey
2557,Golden Triangle,5.50 %,Golden Triangle Hop Lobster
2558,Big Time Brewery,6 %,Big Time Matts Red Eye IPA
2559,Branchline Brewing,5.24 %,Branchline Evil Owl Amber
2560,Track 7 Brewing Company,6.25 %,Track 7 Daylight Amber
2561,Stillmank Brewing Company,5.10 %,Wisco Disco
2562,Boneyard Beer Company,6.50 %,Boneyard Skunkape India Red Ale
2563,Rivertowne Pour House,9.30 %,Rivertowne Patrick_s Poison
2564,Black Diamond Brewing Company,5.70 %,Black Diamond Steep Trail Amber Ale
2565,Upland Brewing Company,5.60 %,Upland Easy Chair Amber Ale
2566,Cerveses Alpha,5.80 %,Alpha Smoked Red Ale
2567,JailHouse Brewing Co,6 %,JailHouse Conjugal Visit
2568,Scuttlebutt Brewing Co. .,5 %,Scuttlebutt Tell Tale Red
2569,Redhook Brewery,5.80 %,Redhook CopperHook Spring Ale
2570,Stone Brewing Company,9.50 %,21st Amendment / Firestone Walker / Stone El Camino &#40; Un &#41; Real Black Ale
2571,Minhas Craft Brewery,5.50 %,Gnarly Oak Hazelnut Dark
2572,Lengthwise Brewery,5.60 %,Lengthwise Triple Hop Red Ale
2573,21st Amendment Brewery,6.30 %,21st Amendment Red Headed Stranger
2574,Evan Evans,4 %,Archers Single Hop Amber Ale
2575,Fish Brewing Company/Leavenworth Beers,5 %,Fish Tale Vicious Circle Amber Ale
2576,Yalobusha Brewing Company,5.60 %,Yalobusha Copperhead Amber Ale
2577,The Duck-Rabbit Craft Brewery,5.50 %,The Duck-Rabbit Amber Ale
2578,Bricktown Brewery / Blackwater Grill,-,Bricktown Rudolphs Red Nose Ale
2579,Brewery Terra Firma,5.70 %,Brewery Terra Firma Manitou Amber Ale
2580,Indian Wells Brewing,5.50 %,Ballistic Brewing Gorgon Red Ale
2581,Flying Monkeys Craft Brewery,5 %,Flying Monkeys Amber Ale
2582,Worthy Brewing Company,8 %,Worthy Eruption Imperial Red Ale
2583,Howe Sound Brewing,7.50 %,Howe Sound Three Beavers Imperial Red Ale
2584,Schmohz Brewing Co. .,5.30 %,Schmohz Amber Tease
2585,Sapporo Breweries,5.50 %,Sapporo Yebisu Kohaku
2586,961 Beer - Gravity Brewing,5.50 %,961 Red Ale
2587,Boston Beer Company,5.70 %,Samuel Adams Mighty Oak Ale
2588,Wadworth,3 %,Wadworth Light Ale
2589,Wadworth,3.80 %,Wadworth Ipanema
2590,Wadworth,3.60 %,Wadworth Henrys Smooth
2591,Wadworth,5 %,Wadworth Heather & Honey
2592,Wadworth,4.10 %,Wadworth Dray Bells
2593,Wadworth,5 %,Wadworth Cooper ¡ ¯ s Vice
2594,Wadworth,4.10 %,Wadworth Corvus Stout
2595,Wadworth,6.20 %,Ushers Ruby Ale
2596,Wadworth,4.30 %,Wadworth / Dungarvan Copper Coast Irish Red Ale
2597,Wadworth,4.50 %,Wadworth Crimson Dawn
2598,Stevens Point Brewery,6.20 %,Berghoff Reppin _ Red Ale
2599,Urban Legend Brewing Company,8.80 %,Urban Legend You Big Dummy
2600,Mountain Goat Beer &#40; Asahi Holdings - Australia &#41;,5.20 %,Mountain Goat Fancy Pants Amber Ale
2601,Liberty Street Brewing Company,5.20 %,Liberty Street Red Glare Amber Ale
2602,Radiant Pig Beer Company,6.20 %,Radiant Pig Gangster Duck American Red Ale
2603,Brewmaster_s Tavern &#40; Opa-Opa Brewing &#41;,3.40 %,Banner American Ale
2604,Great Raft Brewing,5 %,Great Raft Make Believer
2605,Emmetts Tavern and Brewing Company,5.20 %,Emmetts McCarthy American Red
2606,Cigar City Brewing,5 %,Cigar City Sertoma Smoke
2607,High Noon Saloon & Brewery,5.50 %,High Noon Annies Amber Ale
2608,Bucket List Brewing,6.70 %,Bucket List Storm Cat
2609,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,-,Fire Station 5 Fire Boat Amber
2610,Big Choice Brewing,6.70 %,Big Choice Disconnected Red Ale
2611,Big Dog_s Brewing Co. .,5.50 %,Big Dog_s Honey Amber Ale
2612,Santa Clara Valley Brewing,10 %,Santa Clara Valley New Almaden Red
2613,Bespoke,3.50 %,Bespoke Raging Bull
2614,Coronado Brewing Company,5.70 %,Coronado Mermaids Red Ale
2615,Half Moon Bay Brewing Company,4.80 %,Half Moon Bay Mavericks Amber Ale
2616,Mehana Brewing Company,5.40 %,Hawaii Nui Sunset Amber Ale
2617,Big Horn Brewing Company &#40; Ram International &#41;,5.80 %,Big Horn Bourbon Buttface Amber
2618,Legacy Brewing,7.10 %,Legacy Bourbon Barrel Hedonism Red
2619,Companyia Cervesera del Montseny,7 %,Omnipollo / NÃ ³ mada En el Bosque Red
2620,Two Beers Brewing Co. .,5.20 %,Two Beers Immersion Amber Ale
2621,Black Shirt Brewing Company,7.09 %,Black Shirt American India Red Ale
2622,Mad River Brewery,6.50 %,Mad River Jamaica Red Ale
2623,Squatters Craft Beers,4 %,Squatters Emigration Amber Ale
2624,Sawgrass Brewing Company,5.60 %,Sawgrass Flat Tired Amber Ale
2625,10 Barrel Brewing &#40; AB InBev &#41;,11.50 %,10 Barrel Rare Breed Imperial Red
2626,Costa Rica_s Craft Brewing Co. .,5 %,Costa Rica_s Segua Red Ale
2627,Central City Brewers + Distillers,5.50 %,Central City Red Racer India Style Red Ale
2628,Heavy Seas Brewing Company,-,Phillips Amber Ale
2629,Hi-Wire Brewing,7 %,Hi-Wire Lion Tamer Red Rye
2630,Georgetown Brewing Company,6.20 %,Georgetown Choppers Red Ale
2631,Boscos Brewing Company &#40; Roma Pomodori &#41;,-,Boscos Derailleur Ale
2632,Revolution Brewing Company,6.30 %,Revolution Fistmas Ale
2633,Fordham Brewing Company &#40; Coastal Brewing Co. &#41;,6.50 %,Fordham Close Encounter Harvest Ale
2634,Battenkill Brewing Company,-,Battenkill Harvest Moon Amber Ale
2635,Bridge Brew Works,-,Bridge Brew Works The Blunt
2636,Piney River Brewing Company,-,Piney River McKinney Eddy Amber Ale
2637,Elk Mountain Brewing Company,-,Elk Mountain Devils Head Red
2638,Mickey Finns Brewery & Pub,5.60 %,Mickey Finns Abana Amber Ale
2639,Kane Brewing Company,9.20 %,Kane Hop Lab # 4 - Imperial Red
2640,Kemptown,4.50 %,Brighton Bier Red Rye
2641,Saint Arnold Brewing Company,5.50 %,Saint Arnold Amber Ale
2642,Broken Tooth Brewing Company,6.10 %,Broken Tooth Something Red
2643,Lagerheads Brewing Company,8 %,Lagerheads Winter Mischief
2644,Black Husky Brewing,6.60 %,Black Husky Harold The Red Ale
2645,Eastern Shore Brewing,5 %,Eastern Shore St. Michaels Ale
2646,Broad Brook Brewing Company,6.10 %,Broad Brook Ale
2647,4 Noses Brewing Company,7.70 %,4 Noses One Point Five IPA
2648,A1A Ale Works,5.42 %,A1A Ale Works Red Brick Ale
2649,Brewsters Brewing Co. - Alberta,8.50 %,Brewsters Pursuit of Hoppiness
2650,Portsmouth Brewing,-,Portsmouth Brewing Red Bird Ale
2651,Round Barn Brewery & Winery,5.30 %,Round Barn Indecision Ale
2652,Marin Brewing Company,5 %,Marin Albion Amber Ale
2653,Lonerider Brewing Company,7.30 %,Lonerider Red Spur
2654,Granville Island &#40; Brewery - MolsonCoors &#41;,5.50 %,Granville Island Gastown Amber Ale
2655,Midland Brewing Company,5.30 %,Midland Copper Harbor Ale
2656,BruRm @ BAR,-,BruRm AmBAR Ale
2657,Pub Dog Brewing Company,7.30 %,Local Option Mourning Wood
2658,Southern Oregon Brewing Co. .,6.30 %,Southern Oregon Woodshed Red
2659,Broadhead Brewing Company,4.80 %,Broadhead Grindstone Amber
2660,Atwater Block Brewery,5 %,Atwater Rost
2661,Black Bear Brewery,4.50 %,Black Bear Gearhead Ale
2662,Mayday Brewery,6 %,Mayday Angry Redhead
2663,Golden Valley Brewery,5.50 %,Golden Valley Red Thistle Ale
2664,De Rustica Meadery,-,De Rustica Red Pyment
2665,Coors Brewing Company &#40; MillerCoors &#41;,5.90 %,Blue Moon Valencia Grove Amber Ale
2666,Cervejaria Bamberg,5 %,Bamberg Franconian Rhapsody
2667,Artisan_s Brewery and Italian Grill,5 %,Artisan_s Toasted Amber Ale
2668,Cascade Brewing,5 %,Cascade Amber
2669,Boulevard Brewing Company &#40; Duvel-Moortgat &#41;,3.30 %,Boulevard Tenpenny Ale
2670,Mountain Sun Pub & Brewery,5.70 %,Mountain Sun Annapurna Amber
2671,F.X. Matt Brewing Company,-,Fiddlers Green Amber
2672,Destihl Brewery,-,Destihl Barrel Aged Deadhead Double Red Ale
2673,Fin City Brewing Company,5.80 %,Fin City Jackspot Amber Ale
2674,Peabody Heights Brewery,5.25 %,Public Works Red Cent Amber
2675,Stevens Point Brewery,5.40 %,Horny Goat Red Planet Red Ale
2676,Bear Republic Brewing Company,9.20 %,Bear Republic Altered Beast
2677,Coalition Brewing,5.75 %,Coalition King Kitty Red Ale
2678,Bison Brewing Company,6 %,Bison Organic Red Ale
2679,Pig Minds Brewing Co. .,5.50 %,Pig Minds Vanilla Bitch Slap
2680,Day Block Brewing Company,5.30 %,Day Block Frank_s Red Ale
2681,Alley Kat Brewing Company,-,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;
2682,Bells Brewery,5.80 %,Bells Amber Ale
2683,Pipeworks Brewing Company,8.50 %,Pipeworks Blood of the Unicorn
2684,38 State Brewing Company,5.40 %,38 State Irish Red Ale
2685,Church-Key Brewing,-,Church-Key Tobacco Road
2686,Caldera Brewing Company,5.40 %,Caldera Dry Hop Orange
2687,Empyrean Brewing Company,6 %,Empyrean Winter Axis Festiv_Ale
2688,Estes Park Brewery,4.50 %,Estes Park Redrum Ale
2689,Ei8ht Ball Brewing,7.50 %,Ei8ht Ball Red Drink
2690,Long Valley Pub and Brewery,4.50 %,Long Valley German Valley Amber
2691,Keuka Brewing Company,5 %,Keuka Briglin Road Red
2692,Olde Main Brewing Co. .,5.50 %,Olde Main Long Face Amber
2693,Backyard,4.20 %,Backyard January S_Ale
2694,Rockyard Brewing Company,5 %,Rockyard Redhawk Ale
2695,Pivovar &#268; ernÃ ¡ Hora &#40; Pivovary Lobkowicz &#41;,6.30 %,&#268; ernÃ ¡ Hora 1530
2696,Basil Ts &#40; Red Bank &#41;,5 %,Basil Ts Beer of the Dragon
2697,Railway City Brewing Company,4.40 %,Railway City Iron Spike Copper Ale
2698,Moosehead Brewery,5 %,Clancys Amber
2699,El Segundo Brewing Company,6.70 %,El Segundo Station No. 1
2700,Block 15 Brewery,12.50 %,Block 15 Hellion
2701,Arizona Wilderness Brewing Company,6 %,Arizona Wilderness Red Rock Secret
2702,Tenaya Creek Brewery,6.70 %,Tenaya Creek Red Ryder
2703,Deschutes Brewery,5.30 %,Deschutes Cinder Cone Red Ale
2704,Devils Backbone Brewing Company,5.40 %,Devils Backbone Montpelier_s Best Ambition Ale
2705,Lexington Avenue Brewery,8 %,Lexington Avenue Eleanor_s Rye
2706,Shmaltz Brewing Company,4.80 %,Coney Island 1609 Amber Ale
2707,Saint Arnould,6.20 %,Saint Arnould Vlimeuse
2708,Glutenberg Craft Brewery,5 %,Glutenberg Rousse
2709,Against the Grain Brewery,7.20 %,Against the Grain The Wrath of the Krauth of Khan
2710,Dark Horse Brewing Company,5.50 %,Dark Horse Amber Ale
2711,Tenute Collesi,7.50 %,Collesi Imper Ale Ambrata Fiat Lux
2712,HopTown Brewing Company,5.50 %,HopTown Paint the Town Red
2713,Ice Harbor Brewing Company,5.70 %,Ice Harbor Runaway Red Ale
2714,Geneva Lake Brewing Company,5 %,Geneva Lake Cedar Point Amber Ale
2715,Ellis Island Casino & Brewery,6 %,Ellis Island Amber Ale
2716,Anheuser-Busch InBev,-,1904 American Red
2717,Red Brick Brewing Company,5.30 %,Atlanta Laughing Skull Amber Ale &#40; 2009 - present &#41;
2718,Chatham Brewing,5.50 %,Chatham Maple Amber
2719,Big Dog_s Brewing Co. .,9.10 %,Big Dog_s Alpha Dog Double Red
2720,Genesee Brewing Company &#40; North American Breweries &#41;,4.50 %,Cheers Norm_s Amber Ale
2721,Strawn Brewing Company,6 %,Strawn Amber Ale
2722,Madhouse Brewing Company,8.50 %,Madhouse Venture Series Oak Aged Imperial Red
2723,Iron Hill Lancaster,7.50 %,Iron Hill Big Red Wibby
2724,Silver Gulch Brewing & Bottling Co. .,5 %,Silver Gulch Copper Creek Amber Ale
2725,Widmer Brothers Brewing Company,5.30 %,Widmer Brothers Drop Top Amber Ale
2726,Southbound Brewing Company,7.30 %,Southbound Fade to Red
2727,Firefly Hollow Brewing Company,6.30 %,Firefly Hollow Moonrise Amber
2728,Pizza Port &#40; Ocean Beach &#41;,9.50 %,Pizza Port Rhino Chaser Imperial Red Ale
2729,Noble Ale Works,7.20 %,Noble Ale Works Alpha Red
2730,Zion Canyon Brewing Company,4 %,Zion Canyon Springdale Amber Ale
2731,Granville Island &#40; Brewery - MolsonCoors &#41;,5.60 %,Granville Island Swing Span Amber Ale
2732,Thirsty Dog Brewing Company,5.90 %,Thirsty Dog Hoppus Maximus
2733,Falling Sky Brewing,6.30 %,Falling Sky Reelin _ In the Oats Stout
2734,Ale Asylum,7.80 %,Ale Asylum Limited # 8 : Phantasm Autumn Ale
2735,Maumee Bay Brewing Co. .,5 %,Maumee Bay Fallen Timbers Red Ale
2736,Kuhnhenn Brewing,6 %,Kuhnhenn Red Run Red Ale
2737,Martens,5 %,Boot Tread
2738,Breakside Brewery,10.30 %,Breakside Alan from the Wood
2739,2cabeÃ § as,5 %,2cabeÃ § as Sunset American Pale Ale
2740,Okanagan Spring Brewery &#40; Sapporo &#41;,5 %,Okanagan Spring Cloudy Amber Ale
2741,Angry Minnow,4.50 %,Angry Minnow Nut Red Ale
2742,De Proefbrouwerij,4.70 %,Beer Here Dead Cat
2743,Mudshark Brewing Company,5.20 %,Mudshark Scorpion Amber Ale
2744,The Brew on Broadway &#40; BoB &#41;,5.70 %,BoB The Griffin Ryerish Redhead Ale
2745,Battered Boar Brewing Company,7 %,Battered Boar Briarpatch Amber Ale
2746,Four Sons Brewing,5.20 %,Four Sons Going &#40; Coco &#41; Nuts
2747,Renaissance Brewing,4.40 %,8 Wired Semiconductor Session IPA
2748,Bent Hill Brewery,4.80 %,Bent Hill Maple Irish Red Ale
2749,Chicago Brewing Company,4.50 %,Chicago Ramblin Reck Amber Ale
2750,Big Horn Brewing Company &#40; Ram International &#41;,5.80 %,Big Horn Buttface Amber Ale
2751,Beer Valley Brewing Company,7 %,Beer Valley Jackalope Imperial Pumpkin Porter
2752,Kilannan Brewing Company,4.20 %,Kilannan 100 Mile Rye Pale Ale
2753,Kawaba Beer,5 %,Kawaba Sunrise Ale
2754,Pair O _ Dice Brewing Company,5.20 %,Pair O _ Dice Hop Bet Red Ale &#40; Red IPA &#41;
2755,Weeping Radish Farm Brewery,4.90 %,Weeping Radish Ruddy Raddish
2756,Crooked Ladder Brewing Company,5 %,Crooked Ladder Gypsy Red
2757,Sierra Nevada Brewing Company,6.20 %,Sierra Nevada Flipside Red IPA
2758,Two Roads Brewing Company,7 %,Evil Twin Hop Flood
2759,Infamous Brewing Company,5.50 %,Infamous Bugsy_s Firebrush Amber
2760,Big Buck Brewery,5.50 %,Big Buck Redbird Ale
2761,Barrio Brewing Co. .,-,Barrio Rojo
2762,Ruhstaller,6.20 %,Ruhstaller The Kenyan [ v. 2 ]
2763,The Brew Hub,8.50 %,The Brew Hub Diver Down
2764,Fearless Brewing Company,7.50 %,Fearless Loki Red Ale
