pub_id,researchers,conf_journal,doc_year
51693,"dc tsichritzis , o nierstrasz","acm press frontier series ,",1989.0
51694,l rayleigh,"phil . mag ,",
51695,m hart,"new directions for adult and continuing education ,",2005.0
51696,"s teufel , b teufel","acm sigois bulletin ,",1995.0
51697,faw george,"vldb ,",1998.0
51698,"j underkoffler , h ishii","proc . of acm chiâ ?? 99 ,",
51699,"l lakshmanan , j pei , y zhao",,
51700,"dh fishman , p lyngbaek , b mahbod , ma neimat , t","acm press frontier series ,",1989.0
51701,b cui,"ieee transactions on knowledge and data engineering. ,",2004.0
51702,r bayer,"proceedings of the international conference on very large & hellip ; ,",1995.0
51703,dw pfaff,,1980.0
51704,"a moenkeberg , g weikum","proc . of the 18th vldb conf. , canada ,",
51705,"by smith , ka rodgers , prl browne","proceedings of the 23rd new zealand geothermal workshop , & hellip ; ,",
51706,"t arnold-moore , p anderson , r sacks-davis","proceedings of the second acm international conference on & hellip ; ,",1997.0
51707,"j grando , g labaune","& hellip ; on electromagnetic compatibility , 7th , zurich , switzerland , & hellip ; ,",1987.0
51708,"a dzielinski , r zbikowski","applied mathematics and computer science ,",1996.0
51709,"g antoshenkov , m ziauddin","the vldb journal the international journal on very large & hellip ; ,",1996.0
51710,jg cibulka,"new directions for program evaluation ,",
51711,"dl donoho , j jin","technical report , stanford university ,",
51712,er guthrie,,1954.0
51713,"d miller , j shamsie","the academy of management journal ,",1996.0
51714,"gc roman , kc cox",,
51715,"ma virmani , v caso , a spadoni , s rossi , f russo , f","annals-new york academy of sciences ,",2001.0
51716,ea wintner,"studies in molecular replication . acc . chem . res ,",
51717,ew cheney,,
51718,t hoffman,"computerworld ,",
51719,"di howetls , nj fiddian , wa gray , ass meta -","proc . 12th intl. conf . on vldb ,",
51720,"j song , a iyengar , e levy-abegnoli , d dias","computer networks ,",2002.0
51721,d foote,"computerworld ,",
51722,d gwatkin,"icpd at ,",
51723,"k sagonas , t swift , ds warren",,
51724,j dadoly,"ecology and environment , inc. , seattle ,",
51725,m stonebraker,"sigmod record ,",1994.0
51726,"h bowen , j schuster",,1986.0
51727,r hippe,,1979.0
51728,c herot,"acm tods ,",
51729,"mwn deininger , jm goldman , n lydon , jv melo","blood-new york - ,",1997.0
51730,e parzen,,1967.0
51731,"jm massicotte , rb stewart , dp poppas",,
51732,"j beasley , h ramamurthy , j ramirez-angulo , m","electronic letters ,",1993.0
51733,d vargha,"electronic design ,",
51734,"a maedche , b motik , l stojanovic","the vldb journal the international journal on very large & hellip ; ,",2003.0
51735,lv orman,,
51736,"f banchilon , r ramakrishnan","proc . sixth acm sigact-sigmod-sigart symp . on principles of & hellip ; ,",
51737,"f moser , a kraisse",international conference on very large,
51738,"a levin , c lin","san diego ( mimeographed ) ,",
51739,"r srikant , r agrawal",,1996.0
51740,"mowga elisa , bac catlin , cwcwk hon , akea ghafoor ,","sigmod record ,",2005.0
51741,"ps schenker , et baumgartner , pg backes , h","montreal canada , june ,",
51742,t wright,"bt technology journal ,",2001.0
51743,"wp yan , paea larson",international conference on very large data bases ( vldbâ ?? 95,
51744,"m smucker , j allan",,2005.0
51745,"l rosenman , s winocur","proceedings of the 23rd annual conference of australian & hellip ; ,",
51746,ko ` neil,"journal of emergency nursing ,",1994.0
51747,"dw chadwick , ag marson","cochrane database syst rev ,",2000.0
51748,"s ceri , p fraternali , s paraboschi , l tanca","acm transactions on database systems ,",1994.0
51749,"en hanson , rc testing","proceedings of acm sigmod , san diego , ca , june ,",
51750,j wijsen,"acm transactions on database systems ,",1999.0
51751,å 1/2 å 1/2,"acc . chem . res ,",
51752,"m bozga , s graf , l mounier","lecture notes in computer science ,",2002.0
51753,d radcliff,"computerworld ,",
51754,"l liu , w han , d buttler , c pu , w tang","sigmod conference ,",
51755,"m antonioletti , m atkinson , r baxter , a borley ,",,
51756,s hibino,,
51757,"a farago , vr syrotiuk","proceedings acm mobicom ,",
51758,s montgomery,proceedings of the 25 thasee/ieee frontiers in education,
51759,"pg selfridge , d srivastava , lo wilson","management of data ( sigmod ) ,",
51760,m barke,"geography ,",
51761,"jh hoeffner , jl mcclelland","proceedings of the 25 thchild language research forum ,",
51762,g antoshenkov,,
51763,d seligsohn,"contributions to primatology ,",1977.0
51764,"rj roberge , e lin , ep krenzelok","journal of emergency medicine ,",2000.0
51765,jm ball,to,
51766,"b gamrath , l del monte , k richards","journal of emergency nursing ,",1998.0
51767,"gf nyre , fa zhonga","new directions for higher education ,",1975.0
51768,"h heinonen-tanski , em niskanen , mm mielonenâ ? ¦",,1998.0
51769,"t westmann , d kossmann , s helmer , g moerkotte","sigmod record ,",2000.0
51770,"mj glasson , w barter , dh cohen , jd bowdler","pediatric radiology ,",1975.0
51771,d russell,"journal of personality and social psychology ,",
51772,jp gibbs,"economic geography ,",1963.0
51773,"rj bulman , cb wortman","journal of personality and social psychology ,",1977.0
51774,ae strategy,"acc . chem . res ,",1998.0
51775,"t wells , es vogel",,
51776,i gubbio,"proc . 10th international vldb conference ,",
51777,"s newell , j huang , c tansley","proceedings of the 23rd international conference on & hellip ; ,",
51778,rp geyer,"fed proc ,",1970.0
51779,ga wiggins,,
51780,"d hislop , z lacroix , g moeller","sigmod record ,",2004.0
51781,s abramsky,"lecture notes in computer science ,",1996.0
51782,wl hedges,"wisconsin studies in contemporary literature ,",1967.0
51783,p de salud,,
51784,p marrow,"bt technology journal ,",2000.0
51785,b steensgaard,"proceedings of the 23rd acmsigplansymposium on & hellip ; ,",
51786,gb doern,,1999.0
51787,"a novak , g ossbahr","proc . 26th int . machine tool design and research conf ,",
51788,ta spargens jr,,
51789,cm gold,,1997.0
51790,p thibodeau,,
51791,w ebeling,"contributions to plasma physics ,",1990.0
51792,"s meuser , pa stevenson , hj pflã 1/4 ger","proceedings of the 23rd gã ¶ ttingen neurobiology conference ,",
51793,"p de bruyne , r korolnik",,
51794,n bohr,"phil . mag ,",
51795,"g copeland , t keller",proc . of 1989 acm sigmod conf . on management of,
51796,"i roberts , h owen , p lumb , c macdougall",,
51797,a howatson,"phil . mag ,",
51798,ani shosh,proceedings of the international conference of,
51799,"jr fernandez , mw mutka","computer networks ,",1999.0
51800,"pm bongers , ild houtman","proceedings of the 25 thinternational conference on & hellip ; ,",
51801,sj vaughan-nichols,,
51802,ga parker,"proceedings : biological sciences ,",1990.0
51803,"ts chua , j li , bc ooi , kl tan","proceedings of the fourth acm international conference on & hellip ; ,",1997.0
51804,"rkv kothuri , s ravada , j sharma , j banerjee","proc . acm sigmod int . conf . on management of data ,",
51805,g siampos,,1973.0
51806,r jacob,"university of wisconsin ,",
51807,", l perego , m cardellini , ma marini , s frontoni , f","diabetes-new york - . ,",2004.0
51808,"sl chuang , ht pu , wh lu , lf chien","proceedings of the 23rd annual international acm sigir & hellip ; ,",2000.0
51809,"t sasaki , m sasaki","acm sigsam bulletin ,",1997.0
51810,a seed,"computerworld. ,",1985.0
51811,dl tennenhouse,proceedings of,
51812,rc daley,,
51813,"a borgida , rj brachman , dl mcguinness , l alperin",proc . of the 1989 acm sigmod intl. conf . on management of,
51814,"l kristiansen , pj voda",,
51815,da denton,,1982.0
51816,l kernel,,
51817,"s bartolini , ca prete","information & software technology ,",2002.0
51818,"rv aguilera , g jackson","academy of management review ,",2003.0
51819,m brandel,"computerworld ,",
51820,"m osarchuk , sj tatz","journal of personality and social psychology ,",1973.0
51821,s automatisch und ohne vorherige kenntnis,proc of the 28th gottingen neurobiology conference,
51822,"a merlin , h back","proc . of ,",
51823,kj vaughn,,2000.0
51824,"oy novoselâ ?? skii , vn filinov , ii kryuchkov",at .,
51825,h riehl,,
51826,b kraimeche,"computer networks ,",2000.0
51827,"wk jackson , rd simpson","new directions for teaching and learning ,",1994.0
51828,"f eliassen , r karlsen","sigmod record ,",1991.0
51829,pp gogia,,
51830,"t imielinski , wl jr.","vldb ,",
51831,h shuka,,1987.0
51832,dy cheng,,1986.0
51833,"a iliasov , a romanovsky",,
51834,"jwm arvind , rs nikhil , je stoy",,1996.0
51835,j bosch,,
51836,"g eddon , h eddon",,
51837,r tateson,"bt technology journal ,",2000.0
51838,jj dudley,"dissertation , university of california , santa barbara ,",
51839,"k mikhalev , y piskunov",proc . 21st int . conf . on low temp .,
51840,l bickman,"new directions for program evaluation , san francisco : jossey & hellip ; ,",
51841,"r shapiro , ml jordan , vp scantlebury , c vivas","transplantation proceedings ,",1995.0
51842,j ahern,"social studies and the young learner ,",1991.0
51843,"tb pedersen , cs jensen , ce dyreson",,
51844,a polli,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
51845,"rf zammuto , ej o'connor","the academy of management review ,",1992.0
51846,n leandros,"athens , greece : kastaniotis ,",
51847,"azh lu , s zheng , yllzw ji , z tian",,
51848,"k ramji , vk goel , vh saran","proceedings of the i mech e part d journal of automobile & hellip ; ,",2002.0
51849,ql han,,
51850,"r meir , g ratsch","lecture notes in computer science ,",2003.0
51851,"j gray , p helland , poâ ?? neil","proceedings of the 1996 acm sigmod international conference & hellip ; ,",
51852,"p gomes , p gago , c bento , e costa","procs . of the european conference on artificial intelligence & hellip ; ,",
51853,"m garofalakis , y ioannidis",to,
51854,dt brooks,,2002.0
51855,"sb magazine , bb guide","pc magazine ,",2001.0
51856,"m levene , a poulovassilis , k benkerimi , s schwartz","acm sigmod record ,",1993.0
51857,"il loscalzo , m catapano , j loscalzo , a sama","journal of emergency medicine ,",1995.0
51858,d heckâ ? ¦,"proc . 28th int . cosmic ray conf . ( tsukuba ) ,",
51859,"s adlakha , s ganeriwal , c schurgers , mb srivastava","proceedings of acm sensys ,",
51860,"la gennetian , da crosby , c dowsett , a huston",,2004.0
51861,ve shelford,"md ,",
51862,"b schoelkopf , aj smola , kr mueller","lecture notes in computer science ,",1997.0
51863,"jw dean jr , de bowen","the academy of management review ,",1994.0
51864,"dh lee , sm reddy","proc . int . conf . computer-aided design ,",
51865,w viewer,"inc. , san diego ,",
51866,hv jagadish,"sigmod conference ,",2000.0
51867,"t isobe , s makino , db montgomery","academy of management journal ,",2000.0
51868,"sd johnson , sr aragon","new directions for adult and continuing education ,",2003.0
51869,r king,"santa barbara ,",
51870,"w sondermann , m zarth","& hellip ; meeting nato/ccms , demonstration of remedial action & hellip ; ,",
51871,jan lee,"history of programming languages -- ii table of contents ,",1996.0
51872,m feldstein,"what have i ,",
51873,"v sander , i foster , a roy , l winkler","computer networks ,",2000.0
51874,"tk shih , yj liu , k hsieh",,
51875,"a sridharan , s moon , c diot","proceedings of acm sigcomm internet measurement conference ,",
51876,"j cassell , c pelachaud , n badler , m steedman , b","proc . acm siggraph ,",
51877,j praise,,1999.0
51878,w oney,,
51879,"i motakis , c zaniolo","journal of systems integration ,",1997.0
51880,"v anantharaman , r sivakumar",proceedings of acm,
51881,"wr canders , n ueffing , u schrader-hausmann",,1994.0
51882,m blodgett,"computerworld ,",
51883,hu thiele,,1977.0
51884,j mccarthy,"new directions for higher education ,",1980.0
51885,dp marä ± n,,
51886,"s gallinat , otu edling","at ,",
51887,"cg plaxton , ew mayr","technical report stan-cs-89-1269 , stanford university , 1989 . to",
51888,"sc binari , hb dietrich , w kruppa , g kelner , ns","proc . int . conf . nitride semiconductors ,",
51889,"j miloszewska , h trembacz , m malecki , p janik",,
51890,"a sohn , y kodama , m sato , h sakane , h yamada , s","procs . acm/ieee parallel architecture and compilation & hellip ; ,",
51891,"s avrameas , pk nakane , m papamichail , aj pesce","international congress , athens , greece , september ,",
51892,rk lenstra,history of mathematical,
