record_id,publication_venue,collaborators,document_title
2149,vldb,"stratis viglas , josef burger , leonidas galanis , jeffrey f. naughton , alan halverson , rajasekar krishnamurthy , david j. dewitt , feng tian , ameet kini , yuan wang , ajith nagaraja rao",mixed mode xml query processing
2150,sigmod conference,"chung-min chen , nick roussopoulos",adaptive selectivity estimation using query feedback
2151,vldb j.,"jayant r. haritsa , binto george",secure bufering in firm real-time database systems
2152,vldb j.,edward e. cobb,the impact of technology on commercial transaction processing
2153,sigmod conference,"peter m. schwarz , laura m. haas , vanja josifovski , eileen tien lin",garlic : a new flavor of federated query processing for db2
2154,vldb j.,"tiziana catarci , john cardiff , giuseppe santucci",graphical interaction with heterogeneous databases
2155,sigmod record,themistoklis palpanas,knowledge discovery in data warehouses
2156,vldb,"laks v. s. lakshmanan , frédéric gingras",nd-sql : a multi-dimensional language for interoperability and olap
2157,vldb,"eike schallehn , ingolf geist , kai-uwe sattler",quiet : continuous query-driven index tuning
2158,sigmod conference,"seth j. white , david j. dewitt",implementing crash recovery in quickstore : a performance study
2159,vldb,"david shutt , jason zander , brian harry , paul sanders , philip a. bernstein",the microsoft repository
2160,sigmod record,akmal b. chaudhri,an annotated bibliography of benchmarks for object databases
2161,vldb,"zografoula vagena , shu-yao chien , vassilis j. tsotras , carlo zaniolo , donghui zhang",efficient structural joins on indexed xml documents
2162,vldb,werner kießling,foundations of preferences in database systems
2163,sigmod record,"fernando berzal galiano , nicolás marín",data mining : concepts and techniques - book review
2164,sigmod conference,"abraham silberschatz , sumit ganguly , yossi matias , phillip b. gibbons",bifocal sampling for skew-resistant join size estimation
2165,vldb,"bertram ludäscher , pratik mukhopadhyay , yannis papakonstantinou",a transducer-based xml query processor
2166,vldb,"anuradha bhamidipaty , sunita sarawagi , chandra mouli , alok kirpal",alias : an active learning led interactive deduplication system
2167,sigmod conference,"dimitris papadias , timos k. sellis , yannis theodoridis , max j. egenhofer",topological relations in the world of minimum bounding rectangles : a study with r-trees
2168,vldb,"bernhard zeller , alfons kemper",experience report : exploiting advanced database optimization features for large-scale sap r/3 installations
2169,sigmod record,"johann christoph freytag , ulrike jaeger",an annotated bibliography on active databases
2170,vldb,"pradeep shenoy , philip bohannon , p. p. s. narayan , henry f. korth , sumit ganguly",optimizing view queries in rolex to support navigable result trees
2171,vldb,"fei sha , tatiana chan-sine-ying , georges gardarin , tuyet-tram dang-ngoc , jean-luc darroux , luc bouganim",miro web : integrating multiple data sources through semistructured data types
2172,sigmod conference,"georges gardarin , fernando machuca , philippe pucheral",ofl : a functional execution model for object query languages
2173,sigmod record,"tiziana catarci , isabel f. cruz","information visualization , guest editors ' foreword"
2174,sigmod conference,"philip a. bernstein , patrick e. o'neil , hal berenson , elizabeth j. o'neil , jim melton , jim gray",a critique of ansi sql isolation levels
2175,vldb,"oliver po , divyakant agrawal , radu sion , wen-syan li , wang-pin hsiung , dmitri v. kalashnikov , k. selçuk candan",issues and evaluations of caching solutions for web application acceleration
2176,sigmod record,"alexandros labrinidis , nick roussopoulos",generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl
2177,sigmod conference,"jochen doppelhammer , donald kossmann , thomas höppler , alfons kemper",database performance in the real world - tpc-d and sap r/3 ( experience paper )
2178,sigmod record,azer bestavros,advances in real-time database systems research
2179,vldb j.,"david j. dewitt , navin kabra",opt + + : an object-oriented implementation for extensible database query optimization
2180,vldb,sudarshan s. chawathe,comparing hierarchical data in external memory
2181,sigmod record,"jim melton , andrew eisenberg",standards in practice
2182,vldb,"s. sudarshan , h. v. jagadish , rajeev rastogi , abraham silberschatz , daniel f. lieuwen",dalí : a high performance main memory storage manager
2183,vldb,"narain h. gehani , william d. roome , h. v. jagadish",odefs : a file system interface to an object-oriented database
2184,sigmod record,leonid libkin,"some remarks on variable independence , closure , and orthographic dimension in constraint databases"
2185,vldb,"sin yeung lee , tok wang ling",further improvements on integrity constraint checking for stratifiable deductive databases
2186,vldb,"eric simon , esther pacitti , pascale minet",fast algorithms for maintaining replica consistency in lazy master replicated databases
2187,vldb,dieter gawlick,scalablity and availability in oracle7 7.3
2188,vldb,"raymond t. ng , edwin m. knorr",algorithms for mining distance-based outliers in large datasets
2189,sigmod conference,"chun zhang , guy m. lohman , jun rao , nimrod megiddo",automating physical database design in a parallel database
2190,vldb,"christos faloutsos , byoung-kee yi",fast time sequence indexing for arbitrary lp norms
2191,sigmod record,"themis panayiotopoulos , efstathios v. ioannidis , constantine d. spyropoulos , stavros kokkotos",on the issue of valid time ( s ) in temporal databases
2192,vldb,"jennifer widom , elena baralis",an algebraic approach to rule analysis in expert database systems
2193,vldb,"dan suciu , rada chirkova , alon y. halevy",a formal perspective on the view selection problem
2194,sigmod record,"erik duval , eddy forte , kris cardinaels , koen hendrikx , florence haenni , maria wentland forte , florence simillion , ken warkentyne , e. vervaet",semantic and pedagogic interoperability mechanisms in the ariadne educational repository
2195,sigmod conference,"c. mohan , joseph m. hellerstein , marcel kornacker",concurrency and recovery in generalized search trees
2196,vldb,"s. sudarshan , arvind hulgeri",parametric query optimization for linear and piecewise linear cost functions
2197,vldb,"luis gravano , h. v. jagadish , panagiotis g. ipeirotis , s. muthukrishnan , divesh srivastava , nick koudas",approximate string joins in a database ( almost ) for free
2198,sigmod record,arie segev,editor 's ( farewell ) notes
2199,vldb,"viswanath poosala , yannis e. ioannidis",histogram-based approximation of set-valued query-answers
2200,vldb,"paolo merialdo , giansalvatore mecca , paolo atzeni",to weave the web
2201,vldb,"ashok joshi , n. macnaughton , juan loaiza , m. keihl , tirthankar lahiri , william bridge",the oracle universal server buffer
2202,vldb,"ioana stanoi , amr el abbadi , divyakant agrawal , mirek riedewald",discovery of influence sets in frequently updated databases
2203,sigmod record,ling liu,editor 's notes
2204,vldb j.,"naci ishakbeyoglu , z. meral özsoyoglu",maintenance of implication integrity constraints under updates to constraints
2205,vldb,"mark r. tuttle , david b. lomet",redo recovery after system crashes
2206,sigmod conference,"hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay",middle-tier database caching for e-business
2207,vldb,j. d. tygar,atomicity versus anonymity : distributed transactions for electronic commerce
2208,acm trans . database syst .,"ouri wolfson , yixiu huang , sushil jajodia",an adaptive data replication algorithm
2209,sigmod conference,"iakovos motakis , carlo zaniolo",temporal aggregation in active database rules
2210,vldb,"jeffrey f. naughton , avi pfeffer , joseph m. hellerstein",generalized search trees for database systems
2211,sigmod record,jennifer widom,editor 's notes
2212,sigmod conference,"ashok joshi , ron weiss , amit ganesh , tirthankar lahiri",fast-start : quick fault recovery in oracle
2213,sigmod conference,"matthias jarke , stephan jacobs , michael gebhardt",a toolkit for negotiation support interfaces to multi-dimensional data
2214,sigmod record,xiaolei qian,"announcements from nsf , nasa , and elsewhere"
2215,sigmod conference,"phillip b. gibbons , gary valentin , todd c. mowry , shimin chen",fractal prefetching b ± trees : optimizing both cache and disk performance
2216,vldb,"renée j. miller , mauricio a. hernández , laura m. haas",schema mapping as query discovery
2217,sigmod conference,hamid pirahesh,object-oriented features of db2 client/server
2218,sigmod record,"rainer a. sommer , david bailey , thomas r. gulledge",the n-tier hub technology
2219,sigmod conference,william w. cohen,integration of heterogeneous databases without common domains using queries based on textual similarity
2220,sigmod conference,"phillip b. gibbons , yossi matias",new sampling-based summary statistics for improving approximate query answers
2221,sigmod conference,"donald kossmann , michael j. franklin , björn þór jónsson",performance tradeoffs for client-server query processing
2222,sigmod record,"stratos idreos , manolis koubarakis , christos tryfonopoulos , yannis drougas",selective information dissemination in p2p networks : problems and solutions
2223,sigmod conference,"surajit chaudhuri , ashraf aboulnaga",self-tuning histograms : building histograms without looking at data
2224,sigmod record,"roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh",lore : a database management system for semistructured data
2225,vldb,david w. adler,db2 spatial extender - spatial data within the rdbms
2226,vldb,"s. muthukrishnan , nick koudas , piotr indyk",identifying representative trends in massive time series data sets using sketches
2227,sigmod conference,"dennis shasha , yunyue zhu",warping indexes with envelope transforms for query by humming
2228,vldb,"l. pedro , v. kotov , i. papadopoulos , l. mapelli , a. ribeiro , a. amorim , r. hart , m. nassiakou , h. wolters , n. parrington , d. liko , yu . ryabov , r. jones , i. alexandrov , l. lucio , i. soloviev , m. caprini , e. badescu , s. kolos , m. dobson , l. moneta , d. schweiger , m. barczyk , a. kazarov , d. burckhart-chromek , m. mineev , j. flammer",obk - an online high energy physics ' meta-data repository
2229,sigmod conference,"shinichi morishita , yasuhiko morimoto , takeshi tokuyama , takeshi fukuda","data mining using two-dimensional optimized accociation rules : scheme , algorithms , and visualization"
2230,vldb,"n. l. belkhodja , mourad ouzzani , m. a. atroun",a top-down approach for two level serializability
2231,vldb,"sacha berger , christoph wieser , sebastian schaffert , françois bry",xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data
2232,sigmod conference,leonidas fegaras,query unnesting in object-oriented databases
2233,vldb,"jochen van den bercken , bernhard seeger",an evaluation of generic bulk loading techniques
2234,vldb,nam huyn,scientific olap for the biotech domain
2235,sigmod conference,"ramakrishnan srikant , rakesh agrawal",privacy-preserving data mining
2236,sigmod conference,"reynold cheng , dmitri v. kalashnikov , sunil prabhakar",evaluating probabilistic queries over imprecise data
2237,sigmod record,"sunil prabhakar , reynold cheng",managing uncertainty in sensor database
2238,sigmod conference,"richard r. muntz , leana golubchik , steven berson",fault tolerant design of multimedia servers
2239,sigmod record,c. j. date,edgar f. codd : a tribute and personal memoir
2240,sigmod record,"meikel pöss , chris floyd",new tpc benchmarks for decision support and web commerce
2241,sigmod record,"ramaraju kalidindi , vijay kumar , rajgopal kannan , s. sitharama iyengar",energy and rate based mac protocol for wireless sensor networks
2242,vldb,"clement t. yu , weiyi meng , george philip",distributed top-n query processing with possibly uncooperative local systems
2243,vldb,"jignesh m. patel , laurie hammel",searching on the secondary structure of protein sequences
2244,sigmod record,karl aberer,guest editor 's introduction
2245,sigmod conference,"arvind nithrakashyap , rajendran m. sivasankaran , jayavel shanmugasundaram , krithi ramamritham",efficient concurrency control for broadcast environments
2246,vldb,"ramakrishnan srikant , rakesh agrawal",mining generalized association rules
2247,sigmod record,"margaret h. dunham , abdelsalam helal",mobile computing and databases : anything new ?
2248,sigmod record,"leslie d. fife , le gruenwald",research issues for data communication in mobile ad-hoc network database systems
2249,sigmod conference,"renée j. miller , yuping yang",association rules over interval data
2250,sigmod record,"reinhard pichler , christoph koch , georg gottlob",xpath processing in a nutshell
2251,sigmod conference,"jun zhang , dimitris papadias , manli zhu , yufei tao , dik lun lee",location-based spatial queries
2252,vldb,"valérie issarny , patrick valduriez , khaled yagoub , daniela florescu",building and customizing data-intensive web sites using weave
2253,sigmod conference,"luis gravano , nicolas bruno , surajit chaudhuri",stholes : a multidimensional workload-aware histogram
2254,sigmod record,"jeroen hoppenbrouwers , mike p. papazoglou",contextualizing the information space in federated digital libraries
2255,vldb j.,"rada chirkova , dan suciu , alon y. halevy",a formal perspective on the view selection problem
2256,vldb,"jim gray , betty salzberg , stefano ceri , andreas reuter , gerhard weikum",databases and workflow management : what is it all about ? ( panel )
2257,sigmod record,leonard j. seligman,industry perspectives
2258,vldb,"laks v. s. lakshmanan , jian pei , jiawei han",quotient cube : how to summarize the semantics of a data cube
2259,sigmod conference,"charu c. aggarwal , philip s. yu",finding generalized projected clusters in high dimensional spaces
2260,sigmod record,marianne winslett,hector garcia-molina speaks out
2261,sigmod conference,"james j. lu , guido moerkotte , joachim schü , v. s. subrahmanian",efficient maintenance of materialized mediated views
2262,vldb,"rainer gallersdörfer , matthias nicola",improving performance in replicated databases through relaxed coherency
2263,vldb,nelson mendonça mattos,supporting procedural constructs in sql compilers
2264,vldb,dave liles,the zero latency enterprise
2265,sigmod record,"jeanne vanbriesen , paul s. fischbeck , christos faloutsos , anastassia ailamaki , mitchell j. small",an environmental sensor network to determine drinking water quality and security
2266,acm trans . database syst .,"surajit chaudhuri , nicolas bruno , luis gravano",top-k selection queries over relational databases : mapping strategies and performance evaluation
2267,acm trans . database syst .,"z. meral özsoyoglu , tolga bozkaya",indexing large metric spaces for similarity search queries
2268,sigmod conference,"carlotta domeniconi , vassilis j. tsotras , george kollios , dimitrios gunopulos",approximating multi-dimensional aggregate range queries over real attributes
2269,vldb,anand deshpande,linking business to deliver value : a data management challenge
2270,sigmod conference,"hans-peter kriegel , daniel a. keim",visdb : a system for visualizing large databases
2271,vldb,"surojit chatterjee , gholamhosein sheikholeslami , aidong zhang",wavecluster : a multi-resolution clustering approach for very large spatial databases
2272,sigmod conference,john r. smith,mpeg-7 standard for multimedia databases
2273,sigmod conference,"nick koudas , h. v. jagadish , divesh srivastava",on effective multi-dimensional indexing for strings
2274,sigmod conference,anand rajaraman,e-commerce database issues and experience
2275,vldb,"anandi herlekar , atul deopujari , shaymsunder gopale , shridhar shukla , krithi ramamritham",entrans : a system for flexible consistency maintenance in directory applications
2276,sigmod conference,"samuel madden , wei hong , joseph m. hellerstein , michael j. franklin",the design of an acquisitional query processor for sensor networks
2277,sigmod conference,"gautam das , surajit chaudhuri , brian babcock",dynamic sample selection for approximate query processing
2278,sigmod conference,"mitch cherniack , stanley b. zdonik",changing the rules : transformations for rule-based optimizers
2279,vldb,"joseph m. hellerstein , vijayshankar raman",potter 's wheel : an interactive data cleaning system
2280,vldb,"jens teubner , torsten grust , maurice van keulen",staircase join : teach a relational dbms to watch its ( axis ) steps
2281,vldb,sergey brin,near neighbor search in large metric spaces
2282,vldb,chris jermaine,robust estimation with sampling and approximate pre-aggregation
2283,sigmod record,xiaolei qian,jumping on the nii bandwagon
2284,sigmod conference,"henrique paques , ling liu , david buttler , calton pu",ominisearch : a method for searching dynamic content on the web
2285,sigmod conference,times-ten team,mid-tier caching : the timesten approach
2286,vldb,"bettina kemme , gustavo alonso","do n't be lazy , be consistent : postgres-r , a new way to implement database replication"
2287,sigmod record,"fèlix saltor , uwe hohenstein , ralf-detlef kutsche , wilhelm hasselbring , gunter saake , stefan conrad , mark roantree",engineering federated information systems : report of efis '99 workshop
2288,vldb,"michele melchiori , silvana castano , g. malvezzi , domenico beneventano , r. guidetti , alberto corni , sonia bergamaschi , maurizio vincini",information integration : the momis project demonstration
2289,sigmod record,"guido moerkotte , alfons kemper , carsten andreas gerlhof",on the cost of monitoring and reorganization of object bases for clustering
2290,sigmod record,"leonard loureiro , yi deng , carlos ordonez 0002 , mario sanchez , cyril u. orji , wei sun , artyom shaposhnikov , naphtali rishe , michael alexopoulos , david barton",florida international university high performance database research center
2291,vldb,"dimitri tombroff , eric simon , françois llirbat",using versions in update transactions : application to integrity checking
2292,sigmod conference,"jeffrey f. naughton , yihong zhao , prasad deshpande",an array-based algorithm for simultaneous multidimensional aggregates
2293,sigmod record,"khoa doan , catherine plaisant , ben shneiderman , tom bruns",query previews for networked information systems : a case study with nasa environmental data
2294,sigmod conference,"shiby thomas , rakesh agrawal , sunita sarawagi",integrating mining with relational database systems : alternatives and implications
2295,sigmod record,"john m. tyler , kosmas karadimitriou",min-max compression methods for medical image databases
2296,sigmod record,jeff sidell,the mariposa distributed database management system
2297,vldb,"bennet vance , richard swagerman , michael j. carey , srinivasa narayanan , nelson mendonça mattos , donald d. chamberlin , doug doole , serge rielau","o-o , what have they done to db2 ?"
2298,sigmod conference,"shamkant b. navathe , kiran j. achyutuni , edward omiecinski",two techniques for on-line index modification in shared nothing parallel databases
2299,vldb,"ramez elmasri , leonidas fegaras",query engines for web-accessible xml data
2300,vldb,"elizabeth hamel , serge bourbonnais , bruce g. lindsay , tuong c. truong , chengfei liu , jens stankiewitz",capturing global transactions from multiple recovery log files in a partitioned database system
2301,vldb j.,"joachim hammer , youzhong liu , chunbo huang , yihua huang , herman lam , liu wang , haifei li , stanley y. w. su , charnyote pluempitiwiriyawej , minsoo lee",an internet-based negotiation server for e-commerce
2302,acm trans . database syst .,"mengchi liu , tok wang ling , gillian dobbie",a logical foundation for deductive object-oriented databases
2303,sigmod conference,"hasan davulcu , michael kifer , i. v. ramakrishnan , juliana freire",a layered architecture for querying dynamic web content
2304,sigmod record,"ken smith , leo obrst",unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems
2305,vldb j.,"myra spiliopoulou , bettina berendt",analysis of navigation behaviour in web sites integrating multiple information systems
2306,sigmod record,z. meral özsoyoglu,vice chair 's message
2307,acm trans . database syst .,"yiu-kai ng , david w. embley , wai yin mok",a normal form for precisely characterizing redundancy in nested relations
2308,vldb,"kyuseok shim , kaushik chakrabarti , minos n. garofalakis , rajeev rastogi",approximate query processing using wavelets
2309,vldb,"motomichi toyama , yoko maeda",actiview : adaptive data presentation using supersql
2310,vldb,"alfons kemper , guido moerkotte , klaus peithner , michael steinbrunn",bypassing joins in disjunctive queries
2311,vldb,"michael j. rothman , john p. nearhos , marisa s. viveros",applying data mining techniques to a health insurance information system
2312,sigmod record,serge abiteboul,on views and xml
2313,sigmod record,"ada wai-chee fu , man hon wong , chan man kuok",mining fuzzy association rules in databases
2314,vldb,"peter zabback , christof hasse , gerhard weikum , axel mönkeberg",self-tuning database technology and information services : from wishful thinking to viable engineering
2315,sigmod record,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",deeds towards a distributed and active real-time database system
2316,sigmod conference,"zohreh nazeri , paul ostwald , eric bloedorn",experiences in mining aviation safety data
2317,sigmod conference,"jennifer widom , chris olston , jing jiang",adaptive filters for continuous queries over distributed data streams
2318,sigmod conference,"sushil jajodia , xiaoyang sean wang , elisa bertino , claudio bettini",semantic assumptions and query evaluation in temporal databases
2319,sigmod conference,"chengyu sun , divyakant agrawal , amr el abbadi",hardware acceleration for spatial selections and joins
2320,vldb j.,"gerhard weikum , peter zabback , peter scheuermann",data partitioning and load balancing in parallel disk systems
2321,vldb j.,gennady antoshenkov,dictionary-based order-preserving string compression
2322,sigmod record,c. j. date,"a response to r. camps ' article `` domains , relations and religious wars ''"
2323,sigmod record,m. tamer özsu,chair 's message
2324,sigmod conference,"yannis kotidis , nick roussopoulos",an alternative storage organization for rolap aggregate views based on cubetrees
2325,sigmod record,michael j. franklin,editor 's notes
2326,sigmod conference,"juliana freire , rajeev rastogi , michael benedikt , wenfei fan , chee yong chan",capturing both types and constraints in data integration
2327,sigmod record,"reagan moore , bertram ludäscher , richard marciano","preservation of digital data with self-validating , self-instantiating knowledge-based archives"
2328,acm trans . database syst .,"david s. reiner , arnon rosenthal",tools and transformations - rigorous and otherwise - for practical database design
2329,sigmod record,byung suk lee,normalization in oodb design
2330,vldb,"gio wiederhold , abraham silberschatz , gerhard rossbach , raghu ramakrishnan , jaco zijlstra , hector garcia-molina",scientific journals : extinction or explosion ? ( panel )
2331,vldb,"tova milo , sagit zohar",using schema matching to simplify heterogeneous data translation
2332,vldb,"ronald c. unrau , kaladhar voruganti , m. tamer özsu",an asynchronous avoidance-based cache consistency algorithm for client caching dbmss
2333,sigmod conference,"bishwaranjan bhattacharjee , sriram padmanabhan , matthew huras , leslie cranston , timothy malkemus",multi-dimensional clustering : a new data layout scheme in db2
2334,vldb,guido moerkotte,incorporating xsl processing into database engines
2335,vldb,"michael j. franklin , sirish chandrasekaran",streaming queries over streaming data
2336,vldb,sridhar ramaswamy,e.piphany epicenter technology overview
2337,sigmod conference,"v. s. subrahmanian , elisa bertino , pierangela samarati , sushil jajodia",a unified framework for enforcing multiple access control policies
2338,vldb j.,"david j. dewitt , ravishankar ramamurthy , qi su",a case for fractured mirrors
2339,sigmod conference,praveen seshadri,building notification services with microsoft sqlserver
2340,vldb,"s. muthukrishnan , h. v. jagadish , nick koudas",mining deviants in a time series database
2341,vldb,"damianos chatziantoniou , kenneth a. ross",querying multiple features of groups in relational databases
2342,vldb,"thanos papadimitriou , andrey balmin , yannis papakonstantinou",hypothetical queries in an olap environment
2343,sigmod record,"george m. mohay , m. corney , a. anderson , olivier y. de vel",mining email content for author identification forensics
2344,sigmod conference,"chen li , ramana yerneni , jeffrey d. ullman , hector garcia-molina",computing capabilities of mediators
2345,sigmod conference,"hector garcia-molina , jennifer widom , brad adelberg",the strip rule system for efficiently maintaining derived data
2346,vldb,"yufei tao , dimitris papadias",adaptive index structures
2347,vldb,"masahiko tsukamoto , shojiro nishio , tsutomu terada , rie sawai , yin-huei loh",functional properties of information filtering
2348,sigmod conference,"hector garcia-molina , anthony tomasic , kurt a. shoens",incremental updates of inverted lists for text document retrieval
2349,sigmod conference,"lory d. molesky , krithi ramamritham",recovery protocols for shared memory database systems
2350,sigmod conference,"karl aberer , klemens böhm",hyperstorm - administering structured documents using object-oriented database technology
2351,sigmod conference,"yannis e. ioannidis , minos n. garofalakis",multi-dimensional resource scheduling for parallel queries
2352,vldb,umeshwar dayal,"industrial panel on data warehousing technologies : experiences , challenges , and directions"
2353,vldb,"dennis shasha , theodore johnson",2q : a low overhead high performance buffer management replacement algorithm
2354,sigmod conference,"daniel a. keim , markus wawryniuk , alexander hinneburg",hd-eye : visual clustering of high dimensional data
2355,vldb,"sunita sarawagi , gayatri sathe",intelligent rollups in multidimensional olap data
2356,acm trans . database syst .,rosa meo,theory of dependence values
2357,sigmod conference,"v. s. subrahmanian , sibel adali , maria luisa sapino , piero a. bonatti",a multi-similarity algebra
2358,vldb,"matthias jarke , jörg köller , thomas list",the challenge of process data warehousing
2359,sigmod record,opher etzion,report on ngits ' 99 : the 4th international workshop on next generation information technologies and systems
2360,sigmod record,xiaolei qian,scientist 's called upon to take actions
2361,vldb,"alberto o. mendelzon , alejandro a. vaisman",temporal queries in olap
2362,acm trans . database syst .,jef wijsen,temporal fds on complex objects
2363,sigmod record,jeff richey,condition handling in sql persistent stored modules
2364,sigmod conference,"krithi ramamritham , hoshi mistry , prasan roy , s. sudarshan",materialized view selection and maintenance using multi-query optimization
2365,sigmod conference,"hector garcia-molina , narayanan shivakumar",wave-indices : indexing evolving databases
2366,vldb,"sihem amer-yahia , mary f. fernandez , yu xu , divesh srivastava",phrase matching in xml
