beer_pk,brew_type,beer_strength,beer_title,beer_factory_name
2455,Barley Wine,10.30 %,Sockeye Old Devils Tooth Barleywine,Sockeye Brewing
2456,Barley Wine,10.40 %,5 Seasons North Cloud 9 Barleywine,5 Seasons North
2457,Barley Wine,12.50 %,FiftyFifty Cherry Annularity,FiftyFifty Brewing Company
2458,American Strong Ale,7 %,New Albanian Hoosier Daddy Crimson & Cream Ale,New Albanian Brewing Company
2459,Barley Wine,12 %,Brouhaha Gaz de Course,Broue Pub Brouhaha
2460,Barley Wine,9.10 %,Hay Camp Hoplessness Barleywine,Hay Camp Brewing Company
2461,Barley Wine,11 %,Du Lac Saint-Jean Frappabord,Microbrasserie du Lac Saint-Jean
2462,Barley Wine,8.70 %,Port Jeff Cold North Wind,Port Jeff Brewing Company
2463,Barley Wine,9.70 %,Lompoc Bourbon Barrel Aged Old Tavern Rat,Lompoc Brewing
2464,Golden Ale/Blond Ale,4.70 %,10 Barrel Mike Saw a Sasquatch Session Ale,10 Barrel Brewing &#40; AB InBev &#41;
2465,Belgian Strong Ale,7.50 %,Crazy Mountain Old Soul Belgian Strong Ale,Crazy Mountain Brewing Company
2466,Barley Wine,9.80 %,Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company
2467,Barley Wine,11 %,Barrington Yule Fuel,Barrington / Berkshire Mountain Brewery
2468,Barley Wine,13 %,Walking Man Bourbon Barrel Old Stumblefoot,Walking Man Brewing
2469,Barley Wine,10 %,Equinox Midwinter Warmer,Equinox Brewing
2470,Barley Wine,-,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing
2471,Oktoberfest/M Ã $ rzen,-,Airways Autumnfest Lager,Airways Brewing Company
2472,American Strong Ale,8 %,Lighthouse Siren Red Ale,Lighthouse Brewing &#40; Canada &#41;
2473,Barley Wine,9.60 %,Bluejacket High Society,Bluejacket
2474,American Strong Ale,10 %,Barley BB10Â ° &#40; Dexi &#41;,Birrificio Barley
2475,Barley Wine,11.50 %,Capitol City Slobberknocker Barleywine,Capitol City Brewing Company
2476,Barley Wine,11.50 %,Beer Works Hercules Strong Ale,Beer Works
2477,Imperial IPA,8.50 %,AleSmith YuleSmith &#40; Summer &#41; India Pale Ale,AleSmith Brewing Company
2478,Abbey Dubbel,9.20 %,Ale Asylum Diablo Belga,Ale Asylum
2479,Barley Wine,16 %,Birra del Borgo Sedicigradi,Birra del Borgo
2480,Barley Wine,9.90 %,Brewsters Blue Monk Barley Wine,Brewsters Brewing Co. - Alberta
2481,American Strong Ale,8.80 %,Motor City Winter Ale,Motor City Brewing Works
2482,Barley Wine,14 %,Side Project Anabasis,Perennial Artisan Ales
2483,Barley Wine,15.20 %,De Molen Bommen & Granaten Cascade Dry Hopped,Brouwerij de Molen
2484,Barley Wine,12.50 %,Empire Barley Wine,Empire Brewing Company
2485,Amber Ale,5 %,Quidi Vidi 1892 Traditional Ale,Quidi Vidi Brewing Company
2486,Smoked,5.50 %,Barrier Undertow Dunkel Rauch,Barrier Brewing Company
2487,Barley Wine,16 %,Devils Canyon Barrel of Monkeys Barleywine,Devils Canyon Brewing Co. .
2488,Barley Wine,10 %,Wormtown Beer Goggles Barleywine,Wormtown Brewing Co. .
2489,Barley Wine,11.50 %,Mike Hess Ordeum Rex Barley Wine,Mike Hess Brewing Company
2490,Stout,7 %,Barnstormer Dead Stick Stout,Barnstormer Brewing and Pizzeria
2491,Barley Wine,13.90 %,Hangar 24 Barrel Roll No. 04 : Hammerhead - Bourbon Barrel Aged with Chai Tea,Hangar 24 Craft Brewery
2492,Sweet Stout,5.50 %,8 Wired Flat White Coffee Milk Stout,8 Wired Brewing
2493,Barley Wine,13 %,Omnipollo Erzulie Barley Wine,De Proefbrouwerij
2494,Barley Wine,9 %,Les Brasseurs du Temps Mea Magna Culpa,Les Brasseurs du Temps
2495,Amber Ale,5.30 %,Fredericksburg Enchanted Rock Red Ale,Fredericksburg Brewing Company
2496,Barley Wine,9.80 %,Pizza Port Old Boneyards Barleywine,Pizza Port &#40; Solana Beach &#41;
2497,Barley Wine,-,Sprague Farm Barbarian Barley Wine,Sprague Farm & Brew Works
2498,Barley Wine,12 %,Crabtree Woody B. Barley Wine Ale,Crabtree Brewing Company
2499,Barley Wine,10 %,BrewDog #MashTag 2015,BrewDog
2500,Barley Wine,10 %,Pizza Boy / Chip Bender - Benders Barleywine,Pizza Boy Brewing
2501,India Pale Ale &#40; IPA &#41;,7.60 %,Aztec Sacrifice Red IPA,Aztec Brewing Company
2502,Barley Wine,11.50 %,Jackie O_s Bourbon Barrel Nutted Brick Kiln,Jackie O_s Pub & Brewery
2503,India Pale Ale &#40; IPA &#41;,6.10 %,Peter Bs Dr. Strangelove,Peter Bs Brewpub
2504,Barley Wine,11.80 %,Blue Hills Fortis Pagus,Blue Hills Brewery
2505,Barley Wine,10 %,Telegraph Obscura Aurantium,Telegraph Brewing Company
2506,Barley Wine,10.90 %,Strange Land Bishopsgate,Strange Land Brewery
2507,Barley Wine,18.30 %,Mikkeller Big Worster Barrel Aged Barley Wine Malaga Edition,De Proefbrouwerij
2508,Barley Wine,13 %,Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine,Hermit Thrush Brewery
2509,Barley Wine,9 %,Trinity Wolfs Breath Winter Warmer,Trinity Brewhouse
2510,Barley Wine,9.50 %,21st Amendment Bourbon Barrel Lower da Boom Barleywine,21st Amendment Brewery
2511,Barley Wine,9.40 %,Flying Goose Isle Of Pines Barley Wine,Flying Goose Brew Pub
2512,Imperial IPA,9.10 %,Aardwolf / Pinglehead How Heavy This Hop,Aardwolf
2513,Barley Wine,9.50 %,Le Castor Vin No. 1 Grande RÃ © serve &#40; fÃ '' ts de rhum &#41;,Microbrasserie Le Castor - Le Castor Brewing Co. .
2514,Barley Wine,11 %,Devils Backbone Tectonic Barleywine,Devils Backbone Brewing Company
2515,Barley Wine,11.50 %,Destihl Triton Barleywine,Destihl Brewery
2516,Barley Wine,12.50 %,Hardywood x RVA Beard League Barleywine 2014,Hardywood Park Craft Brewery
2517,Barley Wine,10 %,Amsterdam X Sawdust City X Great Lakes X Indie Ale Barley Wine &#40; Oak &#41;,Amsterdam Brewing Company
2518,Barley Wine,10.50 %,American Old Glory Barleywine,American Brewing Company
2519,India Pale Ale &#40; IPA &#41;,7.20 %,Absolution Angel_s Demise,Absolution Brewing Company
2520,Barley Wine,11.50 %,Bullfrog Oak Aged Old Toad Barleywine,Bullfrog Brewery
2521,American Pale Ale,6 %,Birdsong Sticky Situation,Birdsong Brewing
2522,Barley Wine,10.80 %,Relic Morgue Party,Relic Brewing Company
2523,Barley Wine,12 %,Odd Side Ales Colossal Oversight,Odd Side Ales
2524,Barley Wine,11 %,Beer Here Farligwine,De Proefbrouwerij
2525,Amber Ale,4.50 %,Simeon Jones River Valley Amber Ale,Northampton Brewing Co. &#40; NB &#41;
2526,Old Ale,10.50 %,Barley Browns Sledwreck Winter Ale,Barley Browns Brewpub
2527,Barley Wine,9.60 %,Carlow O_Hara_s Barrel Aged Series Barley Wine,Carlow
2528,Barley Wine,9.50 %,4 Noses Bonaparte Barleywine &#40; Breckenridge Bourbon Barrel Aged &#41;,4 Noses Brewing Company
2529,Barley Wine,10 %,Broadway Pub Elixir de Belphegor Barley Wine,Broadway Pub
2530,Black IPA,5.50 %,Eden The Embalmer,Eden Brewery &#40; Cumbria &#41;
2531,Imperial Stout,12 %,Amicas Infinite Search,Amicas Pizza & Microbrew
2532,Barley Wine,10.40 %,Aardwolf Whisperer in Darkness,Aardwolf
2533,Barley Wine,10.40 %,The Brew Gentlemen Nonstop Forever &#40; Batch 1 &#41;,The Brew Gentlemen Beer Company
2534,Barley Wine,-,Laurelwood Bourbon Barrel Olde Reliable,Laurelwood Public House & Brewery
2535,Amber Ale,6.66 %,AleSmith My Bloody Valentine,AleSmith Brewing Company
2536,Amber Ale,4.80 %,Epic Cross Fever Amber Ale,Epic Brewing Company &#40; UT/CO &#41;
2537,Amber Ale,5.90 %,Lagerheads Bed Head Red,Lagerheads Brewing Company
2538,Amber Ale,5.50 %,Squatters Radio From Hell the Brew &#033; Red as Hell Ale,Squatters Craft Beers
2539,American Strong Ale,7.65 %,Blue Frog Red Ale,Blue Frog Brewery
2540,Golden Ale/Blond Ale,4.60 %,Abbeydale Epiphany,Abbeydale
2541,Sour/Wild Ale,-,Bloomington Lambic-aged Ruby Bloom Amber,Bloomington Brewing Co. .
2542,India Pale Ale &#40; IPA &#41;,6.90 %,Acadian Farms India Red Ale &#40; IRA &#41;,Acadian Farms & Brewery
2543,American Strong Ale,7.50 %,BridgePort Kingpin Double Red Ale,BridgePort Brewing
2544,Amber Ale,5.50 %,East Coast Kick Back Ale,Genesee Brewing Company &#40; North American Breweries &#41;
2545,Amber Ale,4.20 %,Hockley Valley Amber,Hockley Valley Brewing & Malting Company
2546,Amber Ale,-,Trailhead Red Amber Ale,Trailhead Brewing Co. .
2547,India Pale Ale &#40; IPA &#41;,7.10 %,603 9th State Red IPA,603 Brewery
2548,Amber Ale,5 %,Beer Works Victory Red,Beer Works
2549,India Pale Ale &#40; IPA &#41;,7.60 %,21st Amendment Toaster Pastry,21st Amendment Brewery
2550,Amber Ale,-,Ruby Mountain Angel Creek Amber Ale,Ruby Mountain Brewing Company
2551,Saison,5.10 %,Baeltane Farmer_s Flock,Baeltane Brewing
2552,Amber Ale,6.90 %,The Bruery Double Dry Hopped Loakal Red,The Bruery
2553,Amber Ale,6 %,Hitachino Nest Amber Ale,Kiuchi Brewery
2554,Amber Ale,5.60 %,Roscoe Trout Town American Amber Ale,Adirondack Pub and Brewery
2555,American Strong Ale,8.80 %,Anderson Valley Bahl Hornin _ Imperial Boont Amber Ale,Anderson Valley Brewing Company
2556,American Strong Ale,8.30 %,Auburn Alehouse Red Headed Hop Donkey,Auburn Alehouse &#40; CA &#41;
2557,American Pale Ale,5.50 %,Golden Triangle Hop Lobster,Golden Triangle
2558,India Pale Ale &#40; IPA &#41;,6 %,Big Time Matts Red Eye IPA,Big Time Brewery
2559,Amber Ale,5.24 %,Branchline Evil Owl Amber,Branchline Brewing
2560,Amber Ale,6.25 %,Track 7 Daylight Amber,Track 7 Brewing Company
2561,Amber Ale,5.10 %,Wisco Disco,Stillmank Brewing Company
2562,India Pale Ale &#40; IPA &#41;,6.50 %,Boneyard Skunkape India Red Ale,Boneyard Beer Company
2563,American Strong Ale,9.30 %,Rivertowne Patrick_s Poison,Rivertowne Pour House
2564,Amber Ale,5.70 %,Black Diamond Steep Trail Amber Ale,Black Diamond Brewing Company
2565,Amber Ale,5.60 %,Upland Easy Chair Amber Ale,Upland Brewing Company
2566,Smoked,5.80 %,Alpha Smoked Red Ale,Cerveses Alpha
2567,Amber Ale,6 %,JailHouse Conjugal Visit,JailHouse Brewing Co
2568,Amber Ale,5 %,Scuttlebutt Tell Tale Red,Scuttlebutt Brewing Co. .
2569,Amber Ale,5.80 %,Redhook CopperHook Spring Ale,Redhook Brewery
2570,American Strong Ale,9.50 %,21st Amendment / Firestone Walker / Stone El Camino &#40; Un &#41; Real Black Ale,Stone Brewing Company
2571,Amber Ale,5.50 %,Gnarly Oak Hazelnut Dark,Minhas Craft Brewery
2572,Amber Ale,5.60 %,Lengthwise Triple Hop Red Ale,Lengthwise Brewery
2573,Amber Ale,6.30 %,21st Amendment Red Headed Stranger,21st Amendment Brewery
2574,Amber Ale,4 %,Archers Single Hop Amber Ale,Evan Evans
2575,Amber Ale,5 %,Fish Tale Vicious Circle Amber Ale,Fish Brewing Company/Leavenworth Beers
2576,Amber Ale,5.60 %,Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company
2577,Amber Ale,5.50 %,The Duck-Rabbit Amber Ale,The Duck-Rabbit Craft Brewery
2578,English Strong Ale,-,Bricktown Rudolphs Red Nose Ale,Bricktown Brewery / Blackwater Grill
2579,Amber Ale,5.70 %,Brewery Terra Firma Manitou Amber Ale,Brewery Terra Firma
2580,Amber Ale,5.50 %,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing
2581,Amber Ale,5 %,Flying Monkeys Amber Ale,Flying Monkeys Craft Brewery
2582,American Strong Ale,8 %,Worthy Eruption Imperial Red Ale,Worthy Brewing Company
2583,American Strong Ale,7.50 %,Howe Sound Three Beavers Imperial Red Ale,Howe Sound Brewing
2584,Amber Ale,5.30 %,Schmohz Amber Tease,Schmohz Brewing Co. .
2585,Amber Lager/Vienna,5.50 %,Sapporo Yebisu Kohaku,Sapporo Breweries
2586,Amber Ale,5.50 %,961 Red Ale,961 Beer - Gravity Brewing
2587,Amber Ale,5.70 %,Samuel Adams Mighty Oak Ale,Boston Beer Company
2588,Bitter,3 %,Wadworth Light Ale,Wadworth
2589,Bitter,3.80 %,Wadworth Ipanema,Wadworth
2590,Bitter,3.60 %,Wadworth Henrys Smooth,Wadworth
2591,Traditional Ale,5 %,Wadworth Heather & Honey,Wadworth
2592,Bitter,4.10 %,Wadworth Dray Bells,Wadworth
2593,Fruit Beer,5 %,Wadworth Cooper ¡ ¯ s Vice,Wadworth
2594,Stout,4.10 %,Wadworth Corvus Stout,Wadworth
2595,English Strong Ale,6.20 %,Ushers Ruby Ale,Wadworth
2596,Irish Ale,4.30 %,Wadworth / Dungarvan Copper Coast Irish Red Ale,Wadworth
2597,Bitter,4.50 %,Wadworth Crimson Dawn,Wadworth
2598,Amber Ale,6.20 %,Berghoff Reppin _ Red Ale,Stevens Point Brewery
2599,American Strong Ale,8.80 %,Urban Legend You Big Dummy,Urban Legend Brewing Company
2600,Amber Ale,5.20 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer &#40; Asahi Holdings - Australia &#41;
2601,Amber Ale,5.20 %,Liberty Street Red Glare Amber Ale,Liberty Street Brewing Company
2602,Amber Ale,6.20 %,Radiant Pig Gangster Duck American Red Ale,Radiant Pig Beer Company
2603,Amber Ale,3.40 %,Banner American Ale,Brewmaster_s Tavern &#40; Opa-Opa Brewing &#41;
2604,Session IPA,5 %,Great Raft Make Believer,Great Raft Brewing
2605,Amber Ale,5.20 %,Emmetts McCarthy American Red,Emmetts Tavern and Brewing Company
2606,Amber Ale,5 %,Cigar City Sertoma Smoke,Cigar City Brewing
2607,Amber Ale,5.50 %,High Noon Annies Amber Ale,High Noon Saloon & Brewery
2608,India Pale Ale &#40; IPA &#41;,6.70 %,Bucket List Storm Cat,Bucket List Brewing
2609,Amber Ale,-,Fire Station 5 Fire Boat Amber,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;
2610,Amber Ale,6.70 %,Big Choice Disconnected Red Ale,Big Choice Brewing
2611,Amber Ale,5.50 %,Big Dog_s Honey Amber Ale,Big Dog_s Brewing Co. .
2612,American Strong Ale,10 %,Santa Clara Valley New Almaden Red,Santa Clara Valley Brewing
2613,Golden Ale/Blond Ale,3.50 %,Bespoke Raging Bull,Bespoke
2614,Amber Ale,5.70 %,Coronado Mermaids Red Ale,Coronado Brewing Company
2615,Amber Ale,4.80 %,Half Moon Bay Mavericks Amber Ale,Half Moon Bay Brewing Company
2616,Amber Ale,5.40 %,Hawaii Nui Sunset Amber Ale,Mehana Brewing Company
2617,Amber Ale,5.80 %,Big Horn Bourbon Buttface Amber,Big Horn Brewing Company &#40; Ram International &#41;
2618,American Strong Ale,7.10 %,Legacy Bourbon Barrel Hedonism Red,Legacy Brewing
2619,Amber Ale,7 %,Omnipollo / NÃ ³ mada En el Bosque Red,Companyia Cervesera del Montseny
2620,Amber Ale,5.20 %,Two Beers Immersion Amber Ale,Two Beers Brewing Co. .
2621,American Strong Ale,7.09 %,Black Shirt American India Red Ale,Black Shirt Brewing Company
2622,Amber Ale,6.50 %,Mad River Jamaica Red Ale,Mad River Brewery
2623,Amber Ale,4 %,Squatters Emigration Amber Ale,Squatters Craft Beers
2624,Amber Ale,5.60 %,Sawgrass Flat Tired Amber Ale,Sawgrass Brewing Company
2625,American Strong Ale,11.50 %,10 Barrel Rare Breed Imperial Red,10 Barrel Brewing &#40; AB InBev &#41;
2626,Irish Ale,5 %,Costa Rica_s Segua Red Ale,Costa Rica_s Craft Brewing Co. .
2627,Irish Ale,5.50 %,Central City Red Racer India Style Red Ale,Central City Brewers + Distillers
2628,Amber Ale,-,Phillips Amber Ale,Heavy Seas Brewing Company
2629,Specialty Grain,7 %,Hi-Wire Lion Tamer Red Rye,Hi-Wire Brewing
2630,Amber Ale,6.20 %,Georgetown Choppers Red Ale,Georgetown Brewing Company
2631,English Pale Ale,-,Boscos Derailleur Ale,Boscos Brewing Company &#40; Roma Pomodori &#41;
2632,Spice/Herb/Vegetable,6.30 %,Revolution Fistmas Ale,Revolution Brewing Company
2633,Amber Ale,6.50 %,Fordham Close Encounter Harvest Ale,Fordham Brewing Company &#40; Coastal Brewing Co. &#41;
2634,Amber Ale,-,Battenkill Harvest Moon Amber Ale,Battenkill Brewing Company
2635,English Pale Ale,-,Bridge Brew Works The Blunt,Bridge Brew Works
2636,Amber Ale,-,Piney River McKinney Eddy Amber Ale,Piney River Brewing Company
2637,Irish Ale,-,Elk Mountain Devils Head Red,Elk Mountain Brewing Company
2638,Amber Ale,5.60 %,Mickey Finns Abana Amber Ale,Mickey Finns Brewery & Pub
2639,American Strong Ale,9.20 %,Kane Hop Lab # 4 - Imperial Red,Kane Brewing Company
2640,Amber Ale,4.50 %,Brighton Bier Red Rye,Kemptown
2641,Amber Ale,5.50 %,Saint Arnold Amber Ale,Saint Arnold Brewing Company
2642,Amber Ale,6.10 %,Broken Tooth Something Red,Broken Tooth Brewing Company
2643,Spice/Herb/Vegetable,8 %,Lagerheads Winter Mischief,Lagerheads Brewing Company
2644,Amber Ale,6.60 %,Black Husky Harold The Red Ale,Black Husky Brewing
2645,Amber Ale,5 %,Eastern Shore St. Michaels Ale,Eastern Shore Brewing
2646,Premium Bitter/ESB,6.10 %,Broad Brook Ale,Broad Brook Brewing Company
2647,India Pale Ale &#40; IPA &#41;,7.70 %,4 Noses One Point Five IPA,4 Noses Brewing Company
2648,Amber Ale,5.42 %,A1A Ale Works Red Brick Ale,A1A Ale Works
2649,Imperial IPA,8.50 %,Brewsters Pursuit of Hoppiness,Brewsters Brewing Co. - Alberta
2650,California Common,-,Portsmouth Brewing Red Bird Ale,Portsmouth Brewing
2651,Amber Ale,5.30 %,Round Barn Indecision Ale,Round Barn Brewery & Winery
2652,Amber Ale,5 %,Marin Albion Amber Ale,Marin Brewing Company
2653,Amber Ale,7.30 %,Lonerider Red Spur,Lonerider Brewing Company
2654,Amber Ale,5.50 %,Granville Island Gastown Amber Ale,Granville Island &#40; Brewery - MolsonCoors &#41;
2655,Irish Ale,5.30 %,Midland Copper Harbor Ale,Midland Brewing Company
2656,Amber Ale,-,BruRm AmBAR Ale,BruRm @ BAR
2657,Amber Ale,7.30 %,Local Option Mourning Wood,Pub Dog Brewing Company
2658,Amber Ale,6.30 %,Southern Oregon Woodshed Red,Southern Oregon Brewing Co. .
2659,Amber Ale,4.80 %,Broadhead Grindstone Amber,Broadhead Brewing Company
2660,Amber Lager/Vienna,5 %,Atwater Rost,Atwater Block Brewery
2661,Amber Ale,4.50 %,Black Bear Gearhead Ale,Black Bear Brewery
2662,Amber Ale,6 %,Mayday Angry Redhead,Mayday Brewery
2663,Irish Ale,5.50 %,Golden Valley Red Thistle Ale,Golden Valley Brewery
2664,Mead,-,De Rustica Red Pyment,De Rustica Meadery
2665,Amber Ale,5.90 %,Blue Moon Valencia Grove Amber Ale,Coors Brewing Company &#40; MillerCoors &#41;
2666,Smoked,5 %,Bamberg Franconian Rhapsody,Cervejaria Bamberg
2667,Amber Ale,5 %,Artisan_s Toasted Amber Ale,Artisan_s Brewery and Italian Grill
2668,Amber Ale,5 %,Cascade Amber,Cascade Brewing
2669,Bitter,3.30 %,Boulevard Tenpenny Ale,Boulevard Brewing Company &#40; Duvel-Moortgat &#41;
2670,Amber Ale,5.70 %,Mountain Sun Annapurna Amber,Mountain Sun Pub & Brewery
2671,Amber Ale,-,Fiddlers Green Amber,F.X. Matt Brewing Company
2672,American Strong Ale,-,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery
2673,Amber Ale,5.80 %,Fin City Jackspot Amber Ale,Fin City Brewing Company
2674,Amber Ale,5.25 %,Public Works Red Cent Amber,Peabody Heights Brewery
2675,Amber Ale,5.40 %,Horny Goat Red Planet Red Ale,Stevens Point Brewery
2676,Imperial IPA,9.20 %,Bear Republic Altered Beast,Bear Republic Brewing Company
2677,Amber Ale,5.75 %,Coalition King Kitty Red Ale,Coalition Brewing
2678,Amber Ale,6 %,Bison Organic Red Ale,Bison Brewing Company
2679,Amber Ale,5.50 %,Pig Minds Vanilla Bitch Slap,Pig Minds Brewing Co. .
2680,Amber Ale,5.30 %,Day Block Frank_s Red Ale,Day Block Brewing Company
2681,Irish Ale,-,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Alley Kat Brewing Company
2682,Amber Ale,5.80 %,Bells Amber Ale,Bells Brewery
2683,American Strong Ale,8.50 %,Pipeworks Blood of the Unicorn,Pipeworks Brewing Company
2684,Irish Ale,5.40 %,38 State Irish Red Ale,38 State Brewing Company
2685,Porter,-,Church-Key Tobacco Road,Church-Key Brewing
2686,India Pale Ale &#40; IPA &#41;,5.40 %,Caldera Dry Hop Orange,Caldera Brewing Company
2687,Amber Ale,6 %,Empyrean Winter Axis Festiv_Ale,Empyrean Brewing Company
2688,Premium Bitter/ESB,4.50 %,Estes Park Redrum Ale,Estes Park Brewery
2689,Imperial IPA,7.50 %,Ei8ht Ball Red Drink,Ei8ht Ball Brewing
2690,Amber Ale,4.50 %,Long Valley German Valley Amber,Long Valley Pub and Brewery
2691,Amber Ale,5 %,Keuka Briglin Road Red,Keuka Brewing Company
2692,Amber Ale,5.50 %,Olde Main Long Face Amber,Olde Main Brewing Co. .
2693,Golden Ale/Blond Ale,4.20 %,Backyard January S_Ale,Backyard
2694,Scottish Ale,5 %,Rockyard Redhawk Ale,Rockyard Brewing Company
2695,Imperial Pils/Strong Pale Lager,6.30 %,&#268; ernÃ ¡ Hora 1530,Pivovar &#268; ernÃ ¡ Hora &#40; Pivovary Lobkowicz &#41;
2696,Spice/Herb/Vegetable,5 %,Basil Ts Beer of the Dragon,Basil Ts &#40; Red Bank &#41;
2697,Amber Ale,4.40 %,Railway City Iron Spike Copper Ale,Railway City Brewing Company
2698,Amber Ale,5 %,Clancys Amber,Moosehead Brewery
2699,Amber Ale,6.70 %,El Segundo Station No. 1,El Segundo Brewing Company
2700,Belgian Strong Ale,12.50 %,Block 15 Hellion,Block 15 Brewery
2701,Amber Ale,6 %,Arizona Wilderness Red Rock Secret,Arizona Wilderness Brewing Company
2702,Specialty Grain,6.70 %,Tenaya Creek Red Ryder,Tenaya Creek Brewery
