acm_id,event_year,pub_desc,journal_name
954,1997,dynamic memory adjustment for external mergesort,very large data bases
955,1997,m-tree : an efficient access method for similarity search in metric spaces,very large data bases
956,1997,integrating sql databases with content-specific search engines,very large data bases
957,1997,the oracle universal server buffer,very large data bases
958,1997,the case for enhanced abstract data types,very large data bases
959,1997,caprera : an activity framework for transaction processing on wide-area networks,very large data bases
960,1998,hash joins and hash teams in microsoft sql server,very large data bases
961,1998,nd-sql : a multi-dimensional language for interoperability and olap,very large data bases
962,1998,algorithms for querying by spatial structure,very large data bases
963,1998,expiring data in a warehouse,very large data bases
964,1998,fast high-dimensional data search in incomplete databases,very large data bases
965,1998,bank of america case study : the information currency advantage,very large data bases
966,1998,plan-per-tuple optimization solution - parallel execution of expensive user-defined functions,very large data bases
967,1998,querying continuous time sequences,very large data bases
968,1998,"ratio rules : a new paradigm for fast , quantifiable data mining",very large data bases
969,1998,"design , implementation , and performance of the lham log-structured history data access method",very large data bases
970,1998,scalable techniques for mining causal structures,very large data bases
971,1998,heterogeneous database query optimization in db2 universal datajoiner,very large data bases
972,1997,towards an odmg-compliant visual object query language,very large data bases
973,1997,effective memory use in a media server,very large data bases
974,1998,architecture of oracle parallel server,very large data bases
975,1998,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,very large data bases
976,1998,filtering with approximate predicates,very large data bases
977,1998,starting ( and sometimes ending ) a database company,very large data bases
978,1998,the adabas buffer pool manager,very large data bases
979,1998,the cubetree storage organization,very large data bases
980,1998,datablitz : a high performance main-memory storage manager,very large data bases
981,1998,small materialized aggregates : a light weight index structure for data warehousing,very large data bases
982,1998,inferring function semantics to optimize queries,very large data bases
983,1998,a single pass computing engine for interactive analysis of vldbs,very large data bases
984,1998,on the discovery of interesting patterns in association rules,very large data bases
985,1998,technology and the future of commerce and finance ( abstract ),very large data bases
986,1998,incremental maintenance for materialized views over semistructured data,very large data bases
987,1998,the drill down benchmark,very large data bases
988,1998,reducing the braking distance of an sql query engine,very large data bases
989,1998,issues in developing very large data warehouses,very large data bases
990,1998,is web-site management a database problem ?,very large data bases
991,1998,a database system for real-time event aggregation in telecommunication,very large data bases
992,1998,a raster approximation for processing of spatial joins,very large data bases
993,1998,diag-join : an opportunistic join algorithm for 1 : n relationships,very large data bases
994,1998,the heterogeneity problem and middleware technology : experiences with and performance of database gateways,very large data bases
995,1998,bridging heterogeneity : research and practice of database middleware technology,very large data bases
996,1998,a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces,very large data bases
997,1998,resource scheduling for composite multimedia objects,very large data bases
998,1998,secure buffering in firm real-time database systems,very large data bases
999,1998,optimal histograms with quality guarantees,very large data bases
1000,1998,on optimal node splitting for r-trees,very large data bases
1001,1998,materialized view selection for multidimensional datasets,very large data bases
1002,1998,algorithms for mining association rules for binary segmentations of huge categorical databases,very large data bases
1003,1998,ibm 's db2 universal database demonstrations at vldb '98,very large data bases
1004,1998,checkpointing in oracle,very large data bases
1005,1998,determining text databases to search in the internet,very large data bases
1006,1998,safely and efficiently updating references during on-line reorganization,very large data bases
1007,1998,public : a decision tree classifier that integrates building and pruning,very large data bases
1008,1998,buffering and read-ahead strategies for external mergesort,very large data bases
1009,1998,mindreader : querying databases through multiple examples,very large data bases
1010,1998,rainforest - a framework for fast decision tree construction of large datasets,very large data bases
1011,1998,design and analysis of parametric query optimization algorithms,very large data bases
1012,1998,mining surprising patterns using temporal description length,very large data bases
1013,1998,performance measurements of tertiary storage devices,very large data bases
1014,1998,using schema matching to simplify heterogeneous data translation,very large data bases
1015,1998,dtl 's dataspot : database exploration using plain language,very large data bases
1016,1998,bulk-loading techniques for object databases and an application to relational data,very large data bases
1017,1998,low-cost compensation-based query processing,very large data bases
1018,1998,the national medical knowledge bank,very large data bases
1019,1998,clustering categorical data : an approach based on dynamical systems,very large data bases
1020,1998,incremental clustering for mining in a data warehousing environment,very large data bases
1021,1998,selectivity estimation in extensible databases - a neural network approach,very large data bases
1022,1998,massive stochastic testing of sql,very large data bases
1023,1998,improving adaptable similarity query processing by using approximations,very large data bases
1024,1996,querying a multilevel database : a logical analysis,very large data bases
1025,1997,selectivity estimation without the attribute value independence assumption,very large data bases
1026,1997,a foundation for multi-dimensional databases,very large data bases
1027,1997,concurrent garbage collection in o2,very large data bases
1028,1997,recovering information from summary data,very large data bases
1029,1997,critical database technologies for high energy physics,very large data bases
1030,1997,integrating reliable memory in databases,very large data bases
1031,1997,multiple-view self-maintenance in data warehousing environments,very large data bases
1032,1997,garbage collection in object oriented databases using transactional cyclic reference counting,very large data bases
1033,1997,an efficient cost-driven index selection tool for microsoft sql server,very large data bases
1034,1997,implementing abstract objects with inheritance in datalogneg,very large data bases
1035,1997,optimizing queries with universal quantification in object-oriented and object-relational databases,very large data bases
1036,1997,a one-pass algorithm for accurately estimating quantiles for disk-resident data,very large data bases
1037,1997,efficient construction of regression trees with range and region splitting,very large data bases
1038,1997,geo/environmental and medical data management in the rasdaman system,very large data bases
1039,1997,adaptive data broadcast in hybrid networks,very large data bases
1040,1996,integrating triggers and declarative constraints in sql database sytems,very large data bases
1041,1996,on the computation of multidimensional aggregates,very large data bases
1042,1996,a new sql-like operator for mining association rules,very large data bases
1043,1996,how system 11 sql server became fast,very large data bases
1044,1996,the x-tree : an index structure for high-dimensional data,very large data bases
1045,1996,intra-transaction parallelism in the mapping of an object model to a relational multi-processor system,very large data bases
1046,1996,querying multiple features of groups in relational databases,very large data bases
1047,1996,answering queries with aggregation using views,very large data bases
1048,1996,database management systems and the internet,very large data bases
1049,1996,query decomposition and view maintenance for query languages for unstructured data,very large data bases
1050,1996,reordering query execution in tertiary memory databases,very large data bases
1051,1996,dwms : data warehouse management system,very large data bases
1052,1996,the design and implementation of a sequence database system,very large data bases
1053,1996,pesto : an integrated query/browser for object databases,very large data bases
1054,1996,clustering techniques for minimizing external path length,very large data bases
1055,1996,the role of integrity constraints in database interoperation,very large data bases
1056,1995,scientific journals : extinction or explosion ? ( panel ),very large data bases
1057,2001,information management for genome level bioinformatics,very large data bases
1058,1999,"physical data independence , constraints , and optimization with universal plans",very large data bases
1059,2000,olap + + : powerful and easy-to-use federations of olap and object databases,very large data bases
1060,1995,neurorule : a connectionist approach to data mining,very large data bases
1061,1995,the double life of the transaction abstraction : fundamental principle and evolving system concept,very large data bases
1062,2001,managing business processes via workflow technology,very large data bases
1063,1994,cache conscious algorithms for relational query processing,very large data bases
1064,1997,resource scheduling in enhanced pay-per-view continuous media databases,very large data bases
1065,1997,sting : a statistical information grid approach to spatial data mining,very large data bases
1066,1996,performance of future database systems : bottlenecks and bonananzas,very large data bases
1067,1996,watchman : a data warehouse intelligent cache manager,very large data bases
1068,1999,mining deviants in a time series database,very large data bases
1069,1999,hyper-programming in java,very large data bases
1070,1998,koda - the architecture and interface of a data model independent kernel,very large data bases
1071,1998,experiences in federated databases : from iro-db to miro-web,very large data bases
1072,1997,algorithms for materialized view design in data warehousing environment,very large data bases
1073,1997,data warehouse configuration,very large data bases
1074,1997,efficient user-adaptable similarity search in large multimedia databases,very large data bases
1075,1997,using probabilistic information in data integration,very large data bases
1076,1997,the complexity of transformation-based join enumeration,very large data bases
1077,1997,gte superpages : using ir techniques for searching complex objects,very large data bases
1078,1997,"using taxonomy , discriminants , and signatures for navigating in text databases",very large data bases
1079,1997,multidimensional access methods : trees have grown everywhere,very large data bases
1080,1997,"the network as a global database : challenges of interoperability , proactivity , interactiveness , legacy",very large data bases
1081,1997,vertical data migration in large near-line document archives based on markov-chain predictions,very large data bases
1082,1997,on-demand data elevation in hierarchical multimedia storage servers,very large data bases
1083,1997,describing and using query capabilities of heterogeneous sources,very large data bases
1084,1997,fast incremental maintenance of approximate histograms,very large data bases
1085,1997,facilitating multimedia database exploration through visual interfaces and perpetual query reformulations,very large data bases
1086,1997,evaluation of main memory join algorithms for joins with set comparison join predicates,very large data bases
1087,1997,finding data in the neighborhood,very large data bases
1088,1996,sampling large databases for association rules,very large data bases
1089,1996,information retrieval from an incomplete data cube,very large data bases
1090,1996,modeling skewed distribution using multifractals and the ` 80-20 ' law,very large data bases
1091,1996,extracting large data sets using db2 parallel edition,very large data bases
1092,1996,effective & ; efficient document ranking without using a large lexicon,very large data bases
1093,1996,estimation of query-result distribution and its application in parallel-join load balancing,very large data bases
1094,1996,disseminating updates on broadcast disks,very large data bases
1095,1996,the changing landscape of the software industry and its implications for india,very large data bases
1096,1996,scalablity and availability in oracle7 7.3,very large data bases
1097,1996,optimization of queries with user-defined predicates,very large data bases
1098,1996,semantic data caching and replacement,very large data bases
1099,1996,loading the data warehouse across various parallel architectures,very large data bases
1100,1996,dynamic load balancing in hierarchical parallel database systems,very large data bases
1101,1996,further improvements on integrity constraint checking for stratifiable deductive databases,very large data bases
1102,1996,obtaining complete answers from incomplete databases,very large data bases
1103,1996,modeling design versions,very large data bases
1104,1995,applying database technology in the adsm mass storage system,very large data bases
1105,1995,hot block clustering for disk arrays with dynamic striping,very large data bases
1106,1995,processing object-oriented queries with invertible late bound functions,very large data bases
1107,1995,type classification of semi-structured documents,very large data bases
1108,1995,mining generalized association rules,very large data bases
1109,1995,metrics for accessing heterogeneous data : is there any hope ? ( panel ),very large data bases
1110,1995,from vldb to vmldb ( very many large data bases ) : dealing with large-scale semantic heterogenity,very large data bases
1111,1995,high-concurrency locking in r-trees,very large data bases
1112,1995,efficient search of multi-dimensional b-trees,very large data bases
1113,1995,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation",very large data bases
1114,1995,promises and realities of active database systems,very large data bases
1115,1995,databases and workflow management : what is it all about ? ( panel ),very large data bases
1116,1995,database de-centralization - a practical approach,very large data bases
1117,1995,retrieval of composite multimedia objects,very large data bases
1118,1995,flexible relations - operational support of variant relational structures,very large data bases
1119,1995,schema and database evolution in the o2 object database system,very large data bases
1120,1996,analysis of n-dimensional quadtrees using the hausdorff fractal dimension,very large data bases
1121,1996,implementation and analysis of a parallel collection query language,very large data bases
1122,1996,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system",very large data bases
1123,1996,the structured information manager : a database system for sgml documents,very large data bases
1124,1996,cache coherency in oracle parallel server,very large data bases
1125,1996,cost-based selection of path expression processing algorithms in object-oriented databases,very large data bases
1126,1996,object fusion in mediator systems,very large data bases
1127,1996,what is the data warehousing problem ? ( are materialized views the answer ? ),very large data bases
1128,1996,constructing efficient decision trees by using optimized numeric association rules,very large data bases
1129,1996,zoo : a desktop experiment management environment,very large data bases
1130,1996,fast nearest neighbor search in medical image databases,very large data bases
1131,1996,storage estimation for multidimensional aggregates in the presence of hierarchies,very large data bases
1132,1996,sprint : a scalable parallel classifier for data mining,very large data bases
1133,1996,bellcore 's adapt/x harness system for managing information on internet and intranets,very large data bases
1134,1996,tribeca : a stream database manager for network traffic analysis,very large data bases
1135,1996,schemasql - a language for interoperability in relational multi-database systems,very large data bases
1136,1996,the query optimizer in tandem 's new serverware sql product,very large data bases
1137,1996,"tpc-d : the challenges , issues and results",very large data bases
1138,1996,querying heterogeneous information sources using source descriptions,very large data bases
1139,1996,supporting state-wide immunisation tracking using multi-paradigm workflow technology,very large data bases
1140,1996,supporting procedural constructs in sql compilers,very large data bases
1141,1996,filter trees for managing spatial data over a range of size granularities,very large data bases
1142,1996,of objects and databases : a decade of turmoil,very large data bases
1143,1996,applying data mining techniques to a health insurance information system,very large data bases
1144,1996,query processing techniques for multiversion access methods,very large data bases
1145,1996,incremental maintenance of externally materialized views,very large data bases
1146,1996,mineset ( tm ) : a system for high-end data mining and visualization,very large data bases
1147,1996,efficient snapshot differential algorithms for data warehousing,very large data bases
1148,1996,eroc : a toolkit for building neato query optimizers,very large data bases
1149,1996,supporting periodic authorizations and temporal reasoning in database access control,very large data bases
1150,1996,coalescing in temporal databases,very large data bases
1151,1996,practical issues with commercial use of federated databases,very large data bases
1152,1997,synchronization and recovery in a client-server storage system,the vldb journal -- the international journal on very large data bases
1153,1997,heuristic and randomized optimization for the join ordering problem,the vldb journal -- the international journal on very large data bases
1154,1997,sing the truth about ad hoc join costs,the vldb journal -- the international journal on very large data bases
1155,1997,concurrency and recovery for index trees,the vldb journal -- the international journal on very large data bases
1156,1997,query processing over object views of relational data,the vldb journal -- the international journal on very large data bases
1157,1997,erratum-a database model for object dynamics,the vldb journal -- the international journal on very large data bases
1158,1997,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,the vldb journal -- the international journal on very large data bases
1159,1997,exact : an extensible approach to active object-oriented databases,the vldb journal -- the international journal on very large data bases
1160,1997,data placement in shared-nothing parallel database systems,the vldb journal -- the international journal on very large data bases
1161,1997,analysis of locking behavior in three real database systems,the vldb journal -- the international journal on very large data bases
1162,1997,graphical interaction with heterogeneous databases,the vldb journal -- the international journal on very large data bases
1163,1997,a database model for object dynamics,the vldb journal -- the international journal on very large data bases
1164,1997,parametric query optimization,the vldb journal -- the international journal on very large data bases
1165,1997,on applying hash filters to improving the execution of multi-join queries,the vldb journal -- the international journal on very large data bases
1166,1997,the impact of object technology on commercial transaction processing,the vldb journal -- the international journal on very large data bases
1167,1997,concurrency control in hierarchical multidatabase systems,the vldb journal -- the international journal on very large data bases
1168,1998,introduction,the vldb journal -- the international journal on very large data bases
1169,1998,spatial and temporal content-based access to hypervideo databases,the vldb journal -- the international journal on very large data bases
1170,1998,optimal clip ordering for multi-clip queries,the vldb journal -- the international journal on very large data bases
1171,1998,integrating symbolic images into a multimedia database system using classification and abstraction approaches,the vldb journal -- the international journal on very large data bases
1172,1998,approximate similarity retrieval with m-trees,the vldb journal -- the international journal on very large data bases
1173,1998,delivering presentations from multimedia servers,the vldb journal -- the international journal on very large data bases
1174,1997,"the hb $ ^ \ \ pi $ - tree : a multi-attribute index supporting concurrency , recovery and node consolidation",the vldb journal -- the international journal on very large data bases
1175,1997,dictionary-based order-preserving string compression,the vldb journal -- the international journal on very large data bases
1176,1998,a logical view of structured files,the vldb journal -- the international journal on very large data bases
1177,1998,fast image retrieval using color-spatial information,the vldb journal -- the international journal on very large data bases
1178,1998,guest editorial,the vldb journal -- the international journal on very large data bases
1179,1998,enhanced abstract data types in object-relational databases,the vldb journal -- the international journal on very large data bases
1180,1998,integrated document caching and prefetching in storage hierarchies based on markov-chain predictions,the vldb journal -- the international journal on very large data bases
1181,1998,"scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies",the vldb journal -- the international journal on very large data bases
1182,1998,garbage collection in object-oriented databases using transactional cyclic reference counting,the vldb journal -- the international journal on very large data bases
1183,1998,integrating reliable memory in databases,the vldb journal -- the international journal on very large data bases
1184,2002,speeding up construction of pmr quadtree-based spatial indexes,the vldb journal -- the international journal on very large data bases
1185,2002,spatial indexing of high-dimensional data based on relative approximation,the vldb journal -- the international journal on very large data bases
1186,2002,query processing techniques for arrays,the vldb journal -- the international journal on very large data bases
1187,2002,an authorization system for digital libraries,the vldb journal -- the international journal on very large data bases
1188,2001,designing wrapper components for e-services in integrating heterogeneous systems,the vldb journal -- the international journal on very large data bases
1189,2001,guest editorial,the vldb journal -- the international journal on very large data bases
1190,2002,a template model for multidimensional inter-transactional association rules,the vldb journal -- the international journal on very large data bases
1191,2002,efficient similarity search for market basket data,the vldb journal -- the international journal on very large data bases
1192,1996,semantic and schematic similarities between database objects : a context-based approach,the vldb journal -- the international journal on very large data bases
1193,1996,an asymptotically optimal multiversion b-tree,the vldb journal -- the international journal on very large data bases
1194,1996,building knowledge base management systems,the vldb journal -- the international journal on very large data bases
1195,1996,query processing and optimization in oracle rdb,the vldb journal -- the international journal on very large data bases
1196,2002,locating and accessing data repositories with websemantics,the vldb journal -- the international journal on very large data bases
1197,2002,searching in metric spaces by spatial approximation,the vldb journal -- the international journal on very large data bases
1198,2002,efficient retrieval of similar shapes,the vldb journal -- the international journal on very large data bases
1199,2002,indexing of now-relative spatio-bitemporal data,the vldb journal -- the international journal on very large data bases
1200,1996,join algorithm costs revisited,the vldb journal -- the international journal on very large data bases
1201,1996,a taxonomy of correctness criteria in database applications,the vldb journal -- the international journal on very large data bases
1202,1996,a predicate-based caching scheme for client-server database architectures,the vldb journal -- the international journal on very large data bases
1203,1996,mariposa : a wide-area distributed database system,the vldb journal -- the international journal on very large data bases
1204,1996,access path support for referential integrity in sql2,the vldb journal -- the international journal on very large data bases
1205,1996,index nesting - an efficient approach to indexing in object-oriented databases,the vldb journal -- the international journal on very large data bases
1206,1996,a complete temporal relational algebra,the vldb journal -- the international journal on very large data bases
1207,1996,the design and implementation of k : a high-level knowledge-base programming language of osam * . kbms,the vldb journal -- the international journal on very large data bases
1208,1996,the gmap : a versatile tool for physical data independence,the vldb journal -- the international journal on very large data bases
1209,1996,algebraic query optimisation for database programming languages,the vldb journal -- the international journal on very large data bases
1210,1997,a configurable type hierarchy index for oodb,the vldb journal -- the international journal on very large data bases
1211,1997,using extended feature objects for partial similarity retrieval,the vldb journal -- the international journal on very large data bases
1212,1996,parallelizing oodbms traversals : a performance evaluation,the vldb journal -- the international journal on very large data bases
1213,1996,priority assignment in real-time active databases,the vldb journal -- the international journal on very large data bases
1214,1996,type-safe relaxing of schema consistency rules for flexible modelling in oodbms,the vldb journal -- the international journal on very large data bases
1215,1996,an experimental object-based sharing system for networked databases,the vldb journal -- the international journal on very large data bases
1216,2000,guest editorial,the vldb journal -- the international journal on very large data bases
1217,2000,optimizing multiple dimensional queries simultaneously in multidimensional databases,the vldb journal -- the international journal on very large data bases
1218,2000,learning response time for websources using query feedback and application in query optimization,the vldb journal -- the international journal on very large data bases
1219,2000,semantic caching of web queries,the vldb journal -- the international journal on very large data bases
1220,2000,effective timestamping in databases,the vldb journal -- the international journal on very large data bases
1221,2000,quantifiable data mining using ratio rules,the vldb journal -- the international journal on very large data bases
1222,2000,update propagation strategies to improve freshness in lazy master replicated databases,the vldb journal -- the international journal on very large data bases
1223,2000,wavecluster : a wavelet-based clustering approach for spatial data in very large databases,the vldb journal -- the international journal on very large data bases
1224,2000,the lham log-structured history data access method,the vldb journal -- the international journal on very large data bases
1225,2000,secure buffering in firm real-time database systems,the vldb journal -- the international journal on very large data bases
1226,2000,distance-based outliers : algorithms and applications,the vldb journal -- the international journal on very large data bases
1227,2000,clustering categorical data : an approach based on dynamical systems,the vldb journal -- the international journal on very large data bases
1228,2002,an xml query engine for network-bound data,the vldb journal -- the international journal on very large data bases
1229,2002,efficient filtering of xml documents with xpath expressions,the vldb journal -- the international journal on very large data bases
1230,2000,functional-join processing,the vldb journal -- the international journal on very large data bases
1231,2000,foreword by the vldb '98 pc chairmen,the vldb journal -- the international journal on very large data bases
1232,2002,timber : a native xml database,the vldb journal -- the international journal on very large data bases
1233,2002,anatomy of a native xml base management system,the vldb journal -- the international journal on very large data bases
1234,2002,tree pattern query minimization,the vldb journal -- the international journal on very large data bases
1235,2002,efficient schemes for managing multiversionxml documents,the vldb journal -- the international journal on very large data bases
1236,2003,description logics for semantic query optimization in object-oriented database systems,acm transactions on database systems ( tods )
1237,2003,a simple algorithm for finding frequent elements in streams and bags,acm transactions on database systems ( tods )
1238,2003,adaptive algorithms for set containment joins,acm transactions on database systems ( tods )
1239,2002,guest editorial,the vldb journal -- the international journal on very large data bases
1240,2000,picodmbs : scaling down database techniques for the smartcard,very large data bases
1241,2001,picodbms : validation and experience,very large data bases
1242,2001,netcube : a scalable tool for fast data mining and compression,very large data bases
1243,2001,db2 spatial extender - spatial data within the rdbms,very large data bases
1244,1999,the persistent cache : improving oid indexing in temporal object-oriented database systems,very large data bases
1245,2000,efficient numerical error bounding for replicated network services,very large data bases
1246,2000,memex : a browsing assistant for collaborative archiving and mining of surf trails,very large data bases
1247,2000,building and customizing data-intensive web sites using weave,very large data bases
1248,1998,"advanced data processing in krisys : modeling concepts , implementation techniques , and client/server issues",the vldb journal -- the international journal on very large data bases
1249,1998,maintenance of implication integrity constraints under updates to constraints,the vldb journal -- the international journal on very large data bases
1250,1998,data partitioning and load balancing in parallel disk systems,the vldb journal -- the international journal on very large data bases
1251,1998,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,the vldb journal -- the international journal on very large data bases
1252,1998,a flexible and recoverable client/server database event notification system,the vldb journal -- the international journal on very large data bases
1253,1998,"optimizing relational queries in connection hypergraphs : nested queries , views , and binding propagations",the vldb journal -- the international journal on very large data bases
1254,1999,opt + + : an object-oriented implementation for extensible database query optimization,the vldb journal -- the international journal on very large data bases
1255,1999,constant time permutation : an efficient block allocation strategy for variable-bit-rate continuous media data,the vldb journal -- the international journal on very large data bases
1256,1999,the intrinsic problems of structural heterogeneity and an approach to their solution,the vldb journal -- the international journal on very large data bases
1257,1999,fast joins using join indices,the vldb journal -- the international journal on very large data bases
1258,1999,efficient support for interactive service in multi-resolution vod systems,the vldb journal -- the international journal on very large data bases
1259,1999,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,the vldb journal -- the international journal on very large data bases
1260,1999,mil primitives for querying a fragmented world,the vldb journal -- the international journal on very large data bases
1261,1999,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,the vldb journal -- the international journal on very large data bases
1262,2001,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,the vldb journal -- the international journal on very large data bases
1263,2001,a graph-theoretic model for optimizing queries involving methods,the vldb journal -- the international journal on very large data bases
1264,2001,hmap - a temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,the vldb journal -- the international journal on very large data bases
1265,2001,supporting efficient multimedia database exploration,the vldb journal -- the international journal on very large data bases
1266,2000,progressive evaluation of nested aggregate queries,the vldb journal -- the international journal on very large data bases
1267,2001,combining multi-visual features for efficient indexing in a large image database,the vldb journal -- the international journal on very large data bases
1268,2000,optimizing database architecture for the new bottleneck : memory access,the vldb journal -- the international journal on very large data bases
1269,2000,online dynamic reordering,the vldb journal -- the international journal on very large data bases
1270,2000,exploiting early sorting and early partitioning for decision support query processing,the vldb journal -- the international journal on very large data bases
1271,2000,one-dimensional and multi-dimensional substring selectivity estimation,the vldb journal -- the international journal on very large data bases
1272,2000,guest editorial,the vldb journal -- the international journal on very large data bases
1273,2000,context-based prefetch - an optimization for implementing objects on relations,the vldb journal -- the international journal on very large data bases
1274,2000,view management in multimedia databases,the vldb journal -- the international journal on very large data bases
1275,2000,dynamic vp-tree indexing for n-nearest neighbor search given pair-wise distances,the vldb journal -- the international journal on very large data bases
1276,2000,unql : a query language and algebra for semistructured data based on structural recursion,the vldb journal -- the international journal on very large data bases
1277,2000,checking the temporal integrity of interactive multimedia documents,the vldb journal -- the international journal on very large data bases
1278,2000,declarative specification of web sites with s,the vldb journal -- the international journal on very large data bases
1279,2000,analysis of navigation behaviour in web sites integrating multiple information systems,the vldb journal -- the international journal on very large data bases
1280,2001,mining multi-dimensional constrained gradients in data cubes,very large data bases
1281,2001,storage and querying of e-commerce data,very large data bases
1282,2001,surfing wavelets on streams : one-pass summaries for approximate aggregate queries,very large data bases
1283,2001,data staging for on-demand broadcast,very large data bases
1284,2001,data management for pervasive computing,very large data bases
1285,2001,flexible and scalable digital library search,very large data bases
1286,2001,indexing the distance : an efficient method to knn processing,very large data bases
1287,2001,an extendible hash for multi-precision similarity querying of image databases,very large data bases
1288,2001,collaborative analytical processing - dream or reality ? ( panel abstract ),very large data bases
1289,2001,a data warehousing architecture for enabling service provisioning process,very large data bases
1290,2001,aggregate maintenance for data warehousing in informix red brick vista,very large data bases
1291,2001,self-similarity in the web,very large data bases
1292,2001,supervised wrapper generation with lixto,very large data bases
1293,2001,dynamic pipeline scheduling for improving interactive query performance,very large data bases
1294,2001,enabling end-users to construct data-intensive web-sites from xml repositories : an example-based approach,very large data bases
1295,2001,the worlinfo assistant : spatio-temporal information integration on the web,very large data bases
1296,2001,views in a large scale xml repository,very large data bases
1297,1994,automated resolution of semantic heterogeneity in multidatabases,acm transactions on database systems ( tods )
1298,2001,comparing hybrid peer-to-peer systems,very large data bases
1299,1994,using semantic values to facilitate interoperability among heterogeneous information systems,acm transactions on database systems ( tods )
1300,2001,"improving business process quality through exception understanding , prediction , and prevention",very large data bases
1301,1994,on completeness of historical relational query languages,acm transactions on database systems ( tods )
1302,2001,generic schema matching with cupid,very large data bases
1303,1994,tools and transformations-rigorous and otherwise-for practical database design,acm transactions on database systems ( tods )
1304,2001,an evaluation of generic bulk loading techniques,very large data bases
1305,1994,in memory of bob kooi ( 1951-1993 ),acm sigmod record
1306,2001,fast evaluation techniques for complex similarity queries,very large data bases
1307,1994,observations on the odmg-93 proposal for an object-oriented database language,acm sigmod record
1308,2001,visual web information extraction with lixto,very large data bases
1309,1994,amalgamating knowledge bases,acm transactions on database systems ( tods )
1310,2001,webfilter : a high-throughput xml-based publish and subscribe system,very large data bases
1311,1994,index structures for selective dissemination of information under the boolean model,acm transactions on database systems ( tods )
1312,2001,ontology-based support for digital government,very large data bases
1313,2001,a fast index for semistructured data,very large data bases
1314,2001,the propel distributed services platform,very large data bases
1315,2001,approximate string joins in a database ( almost ) for free,very large data bases
1316,2001,change-centric management of versions in an xml warehouse,very large data bases
1317,1994,a taxonomy for secure object-oriented databases,acm transactions on database systems ( tods )
1318,2001,vxmlr : a visual xml-relational database system,very large data bases
1319,1994,a modified random perturbation method for database security,acm transactions on database systems ( tods )
1320,2001,querying xml views of relational data,very large data bases
1321,2001,hyperqueries : dynamic distributed query processing on the internet,very large data bases
1322,1994,altruistic locking,acm transactions on database systems ( tods )
1323,2001,warlock : a data allocation tool for parallel warehouses,very large data bases
1324,2001,discovery of influence sets in frequently updated databases,very large data bases
