beer_identifier,maker_name,alcohol_pct,beer_desc,brew_style
1861,La Vella Caravana,6 %,HOPe Bohemic,Amber Ale
1862,Flathead Lake Brewing Company,5.60 %,Flathead Lake Dock Start Amber Ale,Amber Ale
1863,Speakeasy Ales and Lagers,6.10 %,Speakeasy Wet Hop Prohibition Red Ale,Amber Ale
1864,Blind Bat Brewery,5 %,Blind Bat Eye Chart Ale,Premium Bitter/ESB
1865,Emerson_s Brewing Company &#40; Lion Breweries - NZ &#41;,6 %,Emerson_s Brewers Reserve Oreti Red,India Pale Ale &#40; IPA &#41;
1866,Big Alice Brewing,11.70 %,Big Alice No. 0066 - Red Oak IPA,Imperial IPA
1867,Firetrucker Brewery,5.20 %,Firetrucker First Responder Red,Amber Ale
1868,Nevin_s Brewing Company,6 %,Nevin_s Red Ain_t Dead / ReplicAle 2014,Amber Ale
1869,Aguila del Sur,4.50 %,Aguila del Sur Premium Rubia,Premium Lager
1870,Lake Placid Pub & Brewery,5 %,Lake Placid Barkeater Amber Ale,Amber Ale
1871,Naked City Brewing,-,Naked City Scarlet Street,American Strong Ale
1872,HopDog BeerWorks,6.50 %,HopDog BeerWorks Zombie Fish Puncher,India Pale Ale &#40; IPA &#41;
1873,Freetail Brewing Co. .,6.40 %,Freetail Fluck_s Incapacitor,Amber Ale
1874,Hoppy Brewing Company,5.60 %,Hoppy Stony Face Red Ale,Amber Ale
1875,Butterfield Brewing Company,5.70 %,Butterfield Bridalveil Amber Ale,Amber Ale
1876,Dragas Brewing,5.60 %,Dragas Pacific at Sunset,Amber Ale
1877,VG Noster,6 %,Deva Amber,Amber Ale
1878,Catawba Valley Brewing Company,5.40 %,Catawba Valley King Coconut Porter,Porter
1879,Barrier Brewing Company,5.20 %,Barrier Willamette Valley Amber Ale,Amber Ale
1880,Fox River Brewing Co. .,-,Fox River Wisconsin Red Ale,Amber Ale
1881,Barrier Brewing Company,6.60 %,Barrier Bulkhead American Red Ale,Amber Ale
1882,23rd Street Brewery,-,23rd Street Coconut Rum Infused Brown Ale,Brown Ale
1883,Berkeley Springs Brewing Company,5.30 %,Berkeley Springs American Amber Ale,Amber Ale
1884,Taps Fish House and Brewery,5.80 %,Taps Lillie_s Q Hog Tied Amber Ale,Amber Ale
1885,Brandecker SÃ ¶ rhÃ ¡ z,6.25 %,armando_otchoa_s Allied Forces - Hangover D.S.O.T.G. Rasta,India Pale Ale &#40; IPA &#41;
1886,Blue Heron Brewpub,6.20 %,Blue Heron Corey_s American Pale Ale &#40; C.A.P.A. &#41;,American Pale Ale
1887,Bonfire Brewing,-,Bonfire High Altitude Pale Ale &#40; H.A.P.A. &#41;,American Pale Ale
1888,Leinenkugel Brewing Company &#40; Tenth & Blake Beer Co. &#41;,-,Leinenkugels Auburn Ale,Amber Ale
1889,Rock Bottom Orland Park,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,American Strong Ale
1890,101 North Brewing Company,8.80 %,101 North High Gravity,Imperial IPA
1891,Bear Republic Brewing Company,7.30 %,Bear Republic New Oak Red Rocket Ale,Amber Ale
1892,Loose Shoe Brewing Company,5.50 %,Loose Shoe SlÃ ¡ inte Irish Red Ale,Irish Ale
1893,Acorn,5 %,Acorn Aurora IPA,American Pale Ale
1894,Ironworks Brewery and Pub,7.20 %,Ironworks Tanglefoot Red,Amber Ale
1895,10 Barrel Brewing &#40; AB InBev &#41;,7.50 %,10 Barrel Beernog,American Strong Ale
1896,1516 Brewing Company,-,1516 M&N Amber Ale &#40; Whole Leaf Hopped &#41;,Amber Ale
1897,Dust Bowl Brewing Company,7.10 %,Dust Bowl Dr. Rudi Es Muy Caliente,American Strong Ale
1898,Laitilan Wirvoitusjuomatehdas,4.30 %,Laitilan Kukko Ale,Amber Ale
1899,Birrificio Geco,6.60 %,Geco Inoki,India Pale Ale &#40; IPA &#41;
1900,Goose Island Beer Company &#40; Brewpubs &#41;,6 %,Goose Island Red Felt Ale,Amber Ale
1901,5 Seasons Westside,-,5 Seasons Westside Free Form Jazz Odysee Belgian Amber on Oak & Armagnac,Belgian Strong Ale
1902,Dead Frog Brewery,5 %,Dead Frog Winter Seasonal Amber Ale,Amber Ale
1903,Elgoods,3.70 %,Elgoods Copper Feelgood,Bitter
1904,Far West,5.20 %,Far West Red Wine Ale,Amber Ale
1905,Copper Canyon Brewery Restaurant &#40; MI &#41;,6.50 %,Copper Canyon Devils Peak Ale,India Pale Ale &#40; IPA &#41;
1906,Red Squirrel,5.40 %,Red Squirrel White Mountain American IPA,American Pale Ale
1907,Les Brasseurs du Hameau,7 %,Les Brasseurs du Hameau Rhumantony,Spice/Herb/Vegetable
1908,Bauhaus Brew Labs,6.70 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,India Pale Ale &#40; IPA &#41;
1909,Ghost River Brewing &#40; Roma Pomodori &#41;,5 %,Ghost River Riverbank Red,Irish Ale
1910,7venth Sun Brewery,4.90 %,7venth Sun Midnight Moonlight - Blood Orange Mimosa,Berliner Weisse
1911,Proof Brewing Company,7.50 %,Proof Abandoned Planet Imperial Red Ale,Amber Ale
1912,AleSmith Brewing Company,6.66 %,AleSmith Evil Dead Red,Amber Ale
1913,Ass Clown Brewing Company,7.10 %,Ass Clown Salted Ginger Black Sour,Sour/Wild Ale
1914,Fox & Hounds Brewpub ( Malt House Brewing Co. ),-,Fox & Hounds Redtail Ale,Amber Ale
1915,Naked City Brewing,4.80 %,Naked City McGuffin Amber Ale,Amber Ale
1916,Base Camp Brewing Company,4.10 %,Base Camp Uncommon Ground Dunkel,Dunkel/Tmav Ã 1/2
1917,Vice District Brewing Company,8.50 %,Vice District Fire Mouth Red,American Strong Ale
1918,Coronado Brewing Company,4.50 %,Coronado Shrunken Head Red,Session IPA
1919,Carbondale Craft Beer,-,Little Egypt Red Ale,Amber Ale
1920,Arrowhead Brewing,6.66 %,Arrowhead RedRum Rhubarb Rye-P-A,Fruit Beer
1921,Chapman_s Brewing Company,10 %,Chapman_s Red RYEding Hood,Specialty Grain
1922,5 Seasons North,-,5 Seasons North Amber Alert,Amber Ale
1923,Grays Brewing Company,-,Grays Rathskeller Amber Ale,Amber Ale
1924,Olympic Brewery,-,Genesis Red Ale,Irish Ale
1925,Pig Minds Brewing Co. .,8.20 %,Pig Minds Cherry Pippins,Amber Ale
1926,Husbryggeriet Jacobsen &#40; Carlsberg &#41;,4.60 %,Jacobsen Red Christmas Ale,Amber Ale
1927,_ s Antla,-,_ s Antla Festbier,Oktoberfest/M Ã $ rzen
1928,Raised Grain Brewing Company,6.73 %,Raised Grain Spring City Amber,Amber Ale
1929,Les Celliers AssociÃ © s,5 %,La BolÃ © e Bretonne Cidre Bouche Bio Brut,Cider
1930,Atwater Block Brewery,9 %,Atwater 1936,American Strong Ale
1931,Bier Brewery,7.80 %,Bier Brewery Megalodon,American Strong Ale
1932,Honeydew Apiaries,12 %,Honeydew Apiaries The Golden Drop,Mead
1933,Gulden Spoor,5.80 %,Binckse Belofte,Amber Ale
1934,Spring House Brewing Company,8.30 %,Spring House Atomic Raygun Imperial Red Ale,American Strong Ale
1935,Aylesbury,4.20 %,Aylesbury Red Right Hand,Bitter
1936,16 Mile Brewing Company,6.20 %,16 Mile Regal Eagle,Amber Ale
1937,Indianapolis Brewing Co. .,-,Indianapolis Duesseldorfer Amber Ale,Amber Ale
1938,Dunham Massey,4.10 %,Dunham Massey Ruby Sunset,Bitter
1939,_ ateckÃ 1/2 Pivovar &#40; Carlsberg &#41;,5.70 %,_ atec Xantho &#40; Dark Lager &#41;,Dunkel/Tmav Ã 1/2
1940,Twentse Bierbrouwerij,5.50 %,Twents Amber,Belgian Ale
1941,Northampton Brewing Co. &#40; NB &#41;,4.60 %,Picaroons Parcel of Rogues,Amber Ale
1942,Church-Key Brewing,9 %,Church-Key Riot Act Imperial Stout,Imperial Stout
1943,Vr_a &#269; ka Pivara,-,_ ampion Crno,Porter
1944,13 Virtues Brewing Company,5.60 %,13 Virtues Rip City Red,Amber Ale
1945,Adroit Theory Brewing Company,9.40 %,Adroit Theory Harbinger Redux 2.0,Amber Ale
1946,At Large Brewing,6.30 %,At Large Alibi Amber,Amber Ale
1947,Boxing Cat Brewery,5.20 %,Boxing Cat / Great Leap Yunnan Amber,Amber Ale
1948,Carolina Brewery,5.40 %,Carolina Brewery Copperline Amber Ale,Amber Ale
1949,Jaw Brew,4.60 %,Jaw Glide,Golden Ale/Blond Ale
1950,Coalition Brewing,6 %,Coalition Mutual Fermentation,Amber Ale
1951,Barley Johns Brew Pub,7.15 %,Barley Johns Wretched Red Ale,Irish Ale
1952,AleSmith Brewing Company,5 %,AleSmith Nut Brown Ale - Vietnamese Coffee,Brown Ale
1953,Chatham Brewing,-,Chatham Summer Hummer,Cream Ale
1954,Lake Charlevoix Brewing Company,5.80 %,Lake Charlevoix Round Lake Red,Irish Ale
1955,Flat 12 Bierwerks,-,Flat 12 Barrel Aged Moustache Ride Red,Amber Ale
1956,Sycamore Brewing,4.30 %,Sycamore Jubilee Session Amber,Amber Ale
1957,Oliphant Brewing Company,7.90 %,Oliphant Ant Ray Cow Pants,Spice/Herb/Vegetable
1958,Appalachian Mountain Brewery,4.70 %,Appalachian Mountain Honey Badger Blonde,Golden Ale/Blond Ale
1959,_ La FÃ '' t,5.20 %,_ La FÃ '' t Rouquine,Amber Ale
1960,Man Cave Brewing Company,-,Man Cave Papakeechie_s Reserve,Irish Ale
1961,Elysian Brewing &#40; AB-InBev &#41;,5.60 %,Elysian Men_s Room Original Red,American Pale Ale
1962,Crannog Ales,7.50 %,Crannog Wobbly Toddler Red Milk Ale,English Strong Ale
1963,Bistronomy B2B,6.30 %,Bistronomy Ol _ Yelper Red,Specialty Grain
1964,Block 15 Brewery,7.30 %,Block 15 Millennium Falcon,Amber Ale
1965,13 Virtues Brewing Company,7.90 %,13 Virtues 21st Anniversary Double Red,American Strong Ale
1966,Pitchfork Brewing Company,5.50 %,Pitchfork Hudson Honey Bee Blonde,Golden Ale/Blond Ale
1967,Triton Brewing Company,5.40 %,Triton Magnificent Amber,Amber Ale
1968,Rusty Nickel Brewing Company,5.20 %,Rusty Nickel On The Border Amber Porter,Amber Ale
1969,Cabinet Mountain Brewing Company,7.10 %,Cabinet Mountain Ross Creek Red Ale,Amber Ale
1970,Catawba Island Brewing Company,6 %,Catawba Island McFadden Red Ale,Irish Ale
1971,1516 Brewing Company,-,1516 Eegit Yakima Stout,Stout
1972,La Fabrique des BiÃ ¨ res d_Anjou,6 %,BiÃ ¨ res d_Anjou La Piautre Rousse,Spice/Herb/Vegetable
1973,AleSmith Brewing Company,8.50 %,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,American Strong Ale
1974,10 Barrel Brewing &#40; AB InBev &#41;,6.70 %,10 Barrel Project Failed Red Ale,Amber Ale
1975,Black Forest Brewery,5.50 %,Black Forest Whistle Stop Amber Ale,Amber Ale
1976,Fire Mountain Brew House,5.90 %,Fire Mountain Brew House Carlton KÃ ¶ lsch,KÃ ¶ lsch
1977,Blue Tractor BBQ & Brewery,-,Blue Tractor Red Barn Ale,Amber Ale
1978,G.G. Brewers,6 %,G.G. Brewers Amberly Eyes,Amber Ale
1979,_ l_Abri de la TempÃªte,-,_ l_Abri de la TempÃªte Palabre de la Gourmande,Fruit Beer
1980,Maritime Pacific Brewing Co. .,5.50 %,Maritime Pacific Nightwatch Dark Amber Ale,Amber Ale
1981,Chilly Water Brewing Company,7.20 %,Chilly Water Buddy_s Hop Harvest Red Ale,Amber Ale
1982,Waddell_s Brewing Company,4.50 %,Waddell_s Fireman_s Amber Ale,Amber Ale
1983,Pizza Port &#40; Solana Beach &#41;,-,Pizza Port Acacia Amber Ale,Belgian Ale
1984,Microbrasserie Le Prospecteur,5.30 %,Le Prospecteur Rousse du Prospecteur,Irish Ale
1985,Handbrauerei Forstner,5 %,Forstner Das Rote,Amber Ale
1986,Redline Brewhouse,4.90 %,Redline Radio Banter,Amber Ale
1987,5 Seasons Westside,-,5 Seasons Westside Freudian Slip Vienna Lager,Amber Lager/Vienna
1988,Argyle Brewing Company,4.60 %,Argyle Alter Your Brew Altbier,Altbier
1989,5 Rabbit Cerveceria,6.70 %,5 Rabbit 5 Grass with Valencia Oranges Orange Blossom and Chamomile,American Pale Ale
1990,Ego Brygghus,6.20 %,Ego Forhekset Prinsesse,Amber Ale
1991,Festival,3.80 %,Festival Amber,Bitter
1992,Echigo Beer Company,5.50 %,Echigo Premium Red Ale,Amber Ale
1993,Sugar Ridge Brewery,5.50 %,Sugar Ridge Johnny Danger Copper Ale,Amber Ale
1994,21st Amendment Brewery,6.50 %,21st Amendment North Star Red Ale,Amber Ale
1995,Microbrasserie Charlevoix / Le Saint Pub,5.20 %,Charlevoix CuvÃ © e Les Petits Brasseurs,Amber Ale
1996,De Noord-Hollandse Bierbrouwerij,4.60 %,Amsterdam Brewboys Hop Riot Amber Ale,Amber Ale
1997,HBH ( _ uÃ ± oa ),5.50 %,HBH Rubia,American Pale Ale
1998,ZwanzigZ,4.80 %,ZwanzigZ English Ruby Mild,Mild Ale
1999,Caledonian &#40; Heineken UK &#41;,4.20 %,Caledonian Marching Orders,Bitter
2000,Dead Bear Brewing Company,5.50 %,Dead Bear Escanaba River Amber Ale,Amber Ale
2001,BJ_s Restaurant & Brewhouse,4.50 %,BJ_s Oasis Amber,Amber Ale
2002,Blasted Barley Beer Co. .,6.20 %,Blasted Barley Red White & Boom Amber,Amber Ale
2003,Benelux Brasserie Artisanale,5.30 %,Benelux Lager Rousse,Amber Lager/Vienna
2004,Microbrasserie Coaticook,-,Coaticook La Maplehurst,Amber Ale
2005,Brodies,7.40 %,Brodies Soho Superior IPA,India Pale Ale &#40; IPA &#41;
2006,Barnstar Brewing Company,5.50 %,Barnstar Saloon Girl Red,Amber Ale
2007,Avery Brewing Company,6.83 %,Avery Barrel-Aged Series 19 - Rufus Corvus,Sour/Wild Ale
2008,Blands Cider,5.80 %,Blands Scrumptious Dry Cider,Cider
2009,1st Republic Brewing Company,4.80 %,1st Republic Windsor Ale,Amber Ale
2010,Chehalem Valley Brewing Company,5 %,Chehalem Valley Summit Amber,Amber Ale
2011,Bellarine Brewing Company,5.20 %,Bellarine The Heads Ale,Irish Ale
2012,Brew Wharf,3.10 %,Brew Wharf How Now Brown Cow,Stout
2013,Brasserie Artisanale Albion,6.70 %,Albion La Berthelaise,Smoked
2014,Crooked Ewe Brewery,5.50 %,Crooked Ewe What_s My Name Amber Ale,Amber Ale
2015,The Brew Kettle,5.30 %,Ringneck Red Alert Amber,Amber Ale
2016,Brasserie de Roulier,5.40 %,Roulier Lamarieuse,Amber Ale
2017,Cervejaria Peter Von Brutschen,6 %,Heilige Red Ale,Amber Lager/Vienna
2018,Hidden Springs Ale Works,6.50 %,Hidden Springs Ginger Mullet,Amber Ale
2019,Genesee Brewing Company &#40; North American Breweries &#41;,-,Barrel Trolley Amber Ale,Amber Ale
2020,Yarra Flats Brewery,4.90 %,Buckleys Original Ale,English Pale Ale
2021,3 Daughters Brewing Company,11 %,3 Daughters 4 Redemption Barrel Aged Quad,Abt/Quadrupel
2022,Legenda SÃ ¶ rf &#337; zde,4.50 %,Legenda Pony,Golden Ale/Blond Ale
2023,Grand Armory Brewing,5.80 %,Grand Armory Dewey Hill Amber,Amber Ale
2024,Parisis,5 %,Les Brasseurs du Grand Paris Ligne 3,Amber Ale
2025,Jacks Brewing Co. &#40; formerly Fremont Brewing Co. &#41;,-,Jacks Red Ale,Amber Ale
2026,1516 Brewing Company,-,1516 Dark Wheat Ale,Wheat Ale
2027,10 Barrel Brewing &#40; AB InBev &#41;,7.50 %,10 Barrel Goodin _ Hoppy,India Pale Ale &#40; IPA &#41;
2028,BlackLab Brewhouse,5.50 %,BlackLab El Importador,Specialty Grain
2029,Blue Pants Brewery,7 %,Blue Pants Knickerbocker Red,Amber Ale
2030,Brasserie Grain d_Orge,8 %,Bressene,Belgian Strong Ale
2031,Mad Fox Brewing Company,8.50 %,Mad Fox Renegade Imperial Red IPA,American Strong Ale
2032,_ s Antla,-,_ s Antla Weihnachtsbier,Dunkler Bock
2033,RiviÃ ¨ re d_Ain,6.60 %,Maison de Brasseur Mont Bugey,Amber Lager/Vienna
2034,PÃ ¨ re Jakob,5 %,PÃ ¨ re Jakob AmbrÃ © e Bitter with Brewers Gold,Amber Lager/Vienna
2035,Wheeling Brewing Company,4.70 %,Wheeling Old Reymann_s Amber,Amber Ale
2036,Black Star Co-op Pub & Brewery,6 %,Black Star Co-op Pub & Brewery Truffle Dee,Belgian Ale
2037,La SociÃ © tÃ © Microbrasserie,-,La SociÃ © tÃ © Provocante,Amber Ale
2038,Copper Club Brewing,6.10 %,Copper Club F-Town Amber,Amber Ale
2039,Astoria Brewing Co. &#40; Wet Dog Cafe &#41;,6 %,Astoria Old Red Beard Amber Ale,Amber Ale
2040,Hop n _ Moose Brewing Company,-,Hop n _ Moose Sunnybank Red,Amber Ale
2041,Clifton Hill Brewpub,4.50 %,Clifton Hill Dark Ale,Porter
2042,Salty Nut Brewery,7 %,Salty Nut Miss Scarlett,Amber Ale
2043,Grande Brasserie de Nouvelle-CalÃ © donie SA ( Heineken ),5.80 %,Havannah,Amber Ale
2044,Against the Grain Brewery,11 %,Against the Grain / To _ l An Ale Fixation : BA Scotch and Rye,Imperial Stout
2045,Icicle Brewing Company,5 %,Icicle DirtyFace Amber,Amber Lager/Vienna
2046,Lance-Pierre,6 %,Lance-Pierre la Rouste,Premium Bitter/ESB
2047,Backcountry Brewery,5.40 %,Backcountry Switchback Amber,Amber Ale
2048,Midnight Sun Brewing Company,7.50 %,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,Amber Ale
2049,Cobra Brewing Company,6 %,Cobra Angry Leprechaun,Irish Ale
2050,450 North Brewing Company,5.20 %,450 North Copperhead Road Ale,Belgian Ale
2051,Wabash Brewing Company,5.30 %,Wabash 503 Amber Ale,Amber Ale
2052,Aeronaut &#40; Laine &#41;,5.10 %,Aeronaut Red Baron,American Pale Ale
2053,Drei Tannen,-,Drei Tannen Wildsau,Amber Lager/Vienna
2054,Brasserie de Bourbon ( Heineken ),5 %,Bourbon Rousse,Amber Ale
2055,Lake Superior Brewing Company,6.50 %,Lake Superior Mesabi Red,Amber Ale
2056,Angry Chair Brewing,9 %,Angry Chair First In A Flight,Imperial IPA
2057,De Sutter,5 %,De Sutter La Folie Douce,Belgian Ale
2058,Cerveza Artesana de la Mancha,5.40 %,Cervezart Malvados Rubia,Amber Ale
2059,The Freehouse,5.90 %,The Freehouse No . 7 Hoppy Amber,Amber Ale
2060,Bangin _ Banjo Brewing Company,-,Bangin _ Banjo Judy_s Amber,Amber Ale
2061,Shmaltz Brewing Company,5.40 %,Star Trek Vulcan Ale - The Genesis Effect,India Pale Ale &#40; IPA &#41;
2062,Cigar City Brewing,7.40 %,Cigar City Citrus Wizard,Amber Ale
2063,Rockbottom Brewpub,7.50 %,Rockbottom FizzGig,Amber Ale
2064,Seapine Brewing Company,7.30 %,Seapine Skipine Bomb Hole Winter Ale,American Strong Ale
2065,2 Way Brewing Company,-,2 Way Hop Project : Columbus,American Pale Ale
2066,Second Salem Brewing Company,6.66 %,Second Salem Beast of Bray Road Ale,American Strong Ale
2067,Microbrasserie l_Hermite,5.50 %,L_Hermite AmÃ © ricain Amber Ale,Amber Ale
2068,Red Yeti Brewing Company,7 %,Red Yeti Stepchild Amber,Amber Ale
2069,Alpine Beer Company &#40; CA &#41;,6.20 %,Alpine Beer Company Red Card Ale,Amber Ale
2070,Lofty Brewing Company,5.40 %,Lofty Zeb_s American Red Ale,Amber Ale
2071,23rd Street Brewery,-,23rd Street Pumpkin Ale Bourbon Barrel Aged,Specialty Grain
2072,Amsterdam Brewing Company,5 %,Amsterdam Session Stout,Stout
2073,Haven Gastropub + Brewery,9 %,Haven Right Said Red,American Strong Ale
2074,4 Hands Brewing Company,8.50 %,4 Hands Sugar & Spice,Spice/Herb/Vegetable
2075,Manantler Craft Brewing,5.70 %,Manantler Bootleg Glory,American Pale Ale
2076,Deep Creek Brewing Co,5.70 %,Deep Creek Little Armoured One,Amber Ale
2077,Busted Knuckle Brewery,-,Busted Knuckle Fender Bender Blackberry Amber,Fruit Beer
2078,8th Wonder Brewery,-,8th Wonder Rocket Fuel,Porter
2079,Backroom Brewery,6 %,Backroom Holiday Market Ale - Rosemary & Orange Zest,Spice/Herb/Vegetable
2080,FlyBoy Brewing,5.50 %,FlyBoy Betty_s Red Ale,Amber Ale
2081,HoppebrÃ $ u,5.60 %,HoppebrÃ $ u Wuidsau,Amber Ale
2082,7 Fjell Bryggeri,4.70 %,7 Fjell Bryggeri Hurragutt,Amber Ale
2083,Amber,8 %,Amber Double IPA,Imperial IPA
2084,Austin Beer Garden Brewery,5.70 %,Austin Beer Garden Road Trip,Saison
2085,Baird Brewing Co. .,-,Baird Smoked Amber Ale,Smoked
2086,Wildlife Brewing & Pizza,6.50 %,Wildlife 9 Grain Amber,Amber Ale
2087,Barba Roja de Anapa,4.50 %,Barba Roja Morena,Dunkler Bock
2088,7 Fjell Bryggeri,6.80 %,7 Fjell Kniksen India Red Ale,Amber Ale
2089,The Eldo Brewery & Taproom,5.60 %,The Eldo Secret Trail Ale,Amber Ale
2090,Delafield Brewhaus,4.50 %,Leisure Amber,Amber Ale
2091,Daytona Beach Brewing Company,5.90 %,Daytona Beach FL Wildflower Unite Red Ale,Amber Ale
2092,Artifex Brewing Company,5.70 %,Artifex The Beach House Wheat,Wheat Ale
2093,Wet Head Brewery,5.40 %,Wet Head Slaughter Amber Ale,Amber Ale
2094,Ramses Bier,6.60 %,Ramses Bier Pardoen Koele Kikker,Amber Ale
