beer_identifier,beer_flavor,beer_product,alcohol_by_volume
3614,American Amber / Red Ale,AmpÃ ¨ re,4.90 %
3615,American Amber / Red Ale,Ringneck Red Ale,-
3616,American Amber / Red Ale,Lamarieuse,5.40 %
3617,American Amber / Red Ale,Heilige Red Ale,6.00 %
3618,American Amber / Red Ale,Half Past Red,6.20 %
3619,American Amber / Red Ale,Ginger Mullet,6.50 %
3620,American Amber / Red Ale,Barrel Aged Bloodsmoke,11.00 %
3621,American Amber / Red Ale,Barrel Aged Wilfred,8.00 %
3622,American Amber / Red Ale,Buckleys Original Ale,4.50 %
3623,American Amber / Red Ale,Matanzas River Red Ale,6.20 %
3624,American Amber / Red Ale,Harbinger Redux 2.0 ( Ghost 223 ),8.50 %
3625,American Amber / Red Ale,Louie _ ™ s Demise Amber Ale,5.50 %
3626,American Amber / Red Ale,Starlord 's Mixtape / Groot Drank Imperial Red Ale,8.20 %
3627,American Amber / Red Ale,Redemption,4.50 %
3628,American Amber / Red Ale,Legenda Pony,4.50 %
3629,American Amber / Red Ale,Dewey Hill,5.80 %
3630,American Amber / Red Ale,Dice Roller Red,5.50 %
3631,American Amber / Red Ale,Mine Is n't Red ( ReplicAle 2014 ),5.40 %
3632,American Amber / Red Ale,Weekender American Amber Ale,5.20 %
3633,American Amber / Red Ale,Ligne 3,5.00 %
3634,American Amber / Red Ale,Extra Red With Chipotle,7.20 %
3635,American Amber / Red Ale,Jack 's Red Ale,4.50 %
3636,American Amber / Red Ale,Hans MÃ 1/4 ller Dreistern,6.10 %
3637,American Amber / Red Ale,Dark Ale,5.10 %
3638,American Amber / Red Ale,Red Owl,6.40 %
3639,American Amber / Red Ale,El Importador,5.50 %
3640,American Amber / Red Ale,M_S RVR Red,6.25 %
3641,American Amber / Red Ale,Bresse,-
3642,American Amber / Red Ale,Hop Communion,6.90 %
3643,American Amber / Red Ale,Renegade Imperial Red,8.60 %
3644,American Amber / Red Ale,Weihnachts Bier,5.20 %
3645,American Amber / Red Ale,Mont Bugey,-
3646,American Amber / Red Ale,Gold Ambree,6.50 %
3647,American Amber / Red Ale,Old Reymann 's Amber,6.20 %
3648,American Amber / Red Ale,Truffle Dee,6.00 %
3649,American Amber / Red Ale,Provocante,-
3650,American Amber / Red Ale,F-Town Amber,5.50 %
3651,American Amber / Red Ale,Sunnybank Red,-
3652,American Amber / Red Ale,Commander Clifford _ ™ s Imperial Red Ale,9.00 %
3653,American Amber / Red Ale,Clifton Hill Dark Ale,4.50 %
3654,American Amber / Red Ale,Miss Scarlett,7.00 %
3655,American Amber / Red Ale,Havannah,5.80 %
3656,American Amber / Red Ale,La Torgnole,5.00 %
3657,American Amber / Red Ale,The Fix,6.60 %
3658,American Amber / Red Ale,Dirtyface Amber,5.00 %
3659,American Amber / Red Ale,La Rouste,5.70 %
3660,American Amber / Red Ale,Foxtail Red,5.50 %
3661,American Amber / Red Ale,Double Red Hot Ale,7.57 %
3662,American Amber / Red Ale,Angry Leprechaun,5.00 %
3663,American Amber / Red Ale,Copper Head,5.40 %
3664,American Amber / Red Ale,Bonefish Amber Ale,4.90 %
3665,American Amber / Red Ale,503 Amber,5.30 %
3666,American Amber / Red Ale,Secret Valley Rail Ale,5.80 %
3667,American Amber / Red Ale,Red Baron,6.40 %
3668,American Amber / Red Ale,Wet Hopped Red Ale,5.80 %
3669,American Amber / Red Ale,Wildsau,-
3670,American Amber / Red Ale,Bourbon Rousse,5.00 %
3671,American Amber / Red Ale,First Chair,5.70 %
3672,American Amber / Red Ale,Copperhead,5.20 %
3673,American Amber / Red Ale,La Douce,6.00 %
3674,American Amber / Red Ale,Malvados Rubia,5.40 %
3675,American Amber / Red Ale,No. 7 Hoppy Amber,5.90 %
3676,American Amber / Red Ale,Bitter Robot Red,5.90 %
3677,American Amber / Red Ale,Malvados Roja,5.75 %
3678,American Amber / Red Ale,Judy 's,5.50 %
3679,American Amber / Red Ale,Vulcan Ale - Genesis Effect,-
3680,American Amber / Red Ale,Red Scandinavian Sky-High Lager,5.00 %
3681,American Amber / Red Ale,FizzGig,7.50 %
3682,American Amber / Red Ale,Average Amber,5.70 %
3683,American Amber / Red Ale,Antelope Amber Ale,4.00 %
3684,American Amber / Red Ale,Skipine Bomb Hole,7.30 %
3685,American Amber / Red Ale,AmbrÃ ©,6.00 %
3686,American Amber / Red Ale,Project Y,5.50 %
3687,American Amber / Red Ale,The Beast Of Bray Road,6.66 %
3688,American Amber / Red Ale,Batch # 0065 - American Amber,5.40 %
3689,American Amber / Red Ale,Americain Amber Ale,5.50 %
3690,American Amber / Red Ale,Stepchild Amber,-
3691,American Amber / Red Ale,Hollbeer AmbrÃ © e,6.00 %
3692,American Amber / Red Ale,Zeb 's American Red Ale,5.40 %
3693,American Amber / Red Ale,Bourbon Barrel Ale,-
3694,American Amber / Red Ale,Bisk-Hops,5.00 %
3695,American Amber / Red Ale,Amsterdam Session,4.30 %
3696,American Amber / Red Ale,Right Said Red,9.86 %
3697,American Amber / Red Ale,Sugar N ' Spice,5.90 %
3698,American Amber / Red Ale,Firehouse 28 Red Ale,5.10 %
3699,American Amber / Red Ale,Bootleg Glory,5.70 %
3700,American Amber / Red Ale,Little Armoured One,5.70 %
3701,American Amber / Red Ale,Fender Bender,6.20 %
3702,American Amber / Red Ale,Rocket Fuel,-
3703,American Amber / Red Ale,La BÃ '' cheronne,4.60 %
3704,American Amber / Red Ale,Holiday Market Ale,-
3705,American Amber / Red Ale,Betty 's Red Ale,5.50 %
3706,American Amber / Red Ale,Wuidsau,5.60 %
3707,American Amber / Red Ale,Hurragutt,4.70 %
3708,American Amber / Red Ale,Double Amber,10.40 %
3709,American Amber / Red Ale,Right Point Red,5.90 %
3710,American Amber / Red Ale,Road Trip,4.80 %
3711,American Amber / Red Ale,Red No. 14,5.80 %
3712,American Amber / Red Ale,9 Grain Amber,6.50 %
3713,American Amber / Red Ale,Micoua,-
3714,American Amber / Red Ale,Morena,5.20 %
3715,American Amber / Red Ale,Kniksen India Red Ale,6.80 %
3716,American Amber / Red Ale,Secret Trail Ale,5.60 %
3717,American Amber / Red Ale,Leisure Amber,4.50 %
3718,American Amber / Red Ale,AmÃ © ricain Amber Ale 2.0,4.70 %
3719,American Amber / Red Ale,Warpaint Red Ale,5.50 %
3720,American Amber / Red Ale,Daytona Red Ale,5.30 %
3721,American Amber / Red Ale,Slaughter Amber Ale,5.70 %
3722,American Amber / Red Ale,Koele Kikker,6.60 %
3723,American Amber / Red Ale,Ale Asylum Ambergeddon,6.70 %
3724,American Amber / Red Ale,Church Lady,5.50 %
3725,American Amber / Red Ale,WetLands BSR,6.30 %
3726,American Amber / Red Ale,Big Willies,5.50 %
3727,American Amber / Red Ale,Cu 29,5.50 %
3728,American Amber / Red Ale,Gudo,5.50 %
3729,American Amber / Red Ale,La Filaj,4.80 %
3730,American Amber / Red Ale,Bunpat Rossa,4.50 %
3731,American Amber / Red Ale,Allosaurus Amber,4.00 %
3732,American Amber / Red Ale,Firebrand Amber Ale,5.70 %
3733,American Amber / Red Ale,Blood Orange Amber,-
3734,American Amber / Red Ale,Stone Bridge Amber,7.50 %
3735,American Amber / Red Ale,Semuta,6.90 %
3736,American Amber / Red Ale,Caramel Apple,4.90 %
3737,American Amber / Red Ale,Southport Red,-
3738,American Amber / Red Ale,Witch Hunter,4.30 %
3739,American Amber / Red Ale,The Ginger Bear,5.70 %
3740,American Amber / Red Ale,MPC,5.20 %
3741,American Amber / Red Ale,Lake Ann Amber,5.30 %
3742,American Amber / Red Ale,Hopkins Ale Rousse,-
3743,American Amber / Red Ale,Red Sea Ale,5.80 %
3744,American Amber / Red Ale,Karlstad Red Ale,5.60 %
3745,American Amber / Red Ale,Heartbreaker,6.90 %
3746,American Amber / Red Ale,Red Ryder,7.80 %
3747,American Amber / Red Ale,Les 3 Loups AmbrÃ © e,6.50 %
3748,American Amber / Red Ale,Monkey King Amber Ale,5.00 %
3749,American Amber / Red Ale,Praxis Ambar,5.50 %
3750,American Amber / Red Ale,Haywagon Red,4.40 %
3751,American Amber / Red Ale,Red Galaxy Ale,5.00 %
3752,American Amber / Red Ale,The Entertainer,12.00 %
3753,American Amber / Red Ale,BLK6 .22,6.20 %
3754,American Amber / Red Ale,Canadian Red Ale,6.40 %
3755,American Amber / Red Ale,I2RA,-
3756,American Amber / Red Ale,Not So Amber `` Amber '',-
3757,American Amber / Red Ale,Spotlight Series - Team Miller / Tomei REDiculous Imperial Red Ale,9.70 %
3758,American Amber / Red Ale,Neudorf Red Ale,-
3759,American Amber / Red Ale,Three More Weeks,4.40 %
3760,American Amber / Red Ale,Sheps Amber Ale,-
3761,American Amber / Red Ale,Ruby,4.60 %
3762,American Amber / Red Ale,Oak Aged Last Call,8.00 %
3763,American Amber / Red Ale,Bee Transfixed Honey Amber Ale,-
3764,American Amber / Red Ale,Rubi Ale,5.90 %
3765,American Amber / Red Ale,Axum Bold As Love,7.00 %
3766,American Amber / Red Ale,Jack Of Clubs,4.50 %
3767,American Amber / Red Ale,La BarFumÃ © e,6.50 %
3768,American Amber / Red Ale,Blue Boar,4.00 %
3769,American Amber / Red Ale,Rochelle Rochelle,5.60 %
3770,American Amber / Red Ale,The Village Idiot,-
3771,American Amber / Red Ale,Irish Clover,5.20 %
3772,American Amber / Red Ale,Crown,4.80 %
3773,American Amber / Red Ale,Evil Crawfish,9.00 %
3774,American Amber / Red Ale,EHOP,8.00 %
3775,American Amber / Red Ale,Fall Harvest,6.70 %
3776,American Amber / Red Ale,Raining Blood Imperial Red,8.50 %
3777,American Amber / Red Ale,JalapeÃ ± o Mango Red Ale,7.20 %
3778,American Amber / Red Ale,Rooster Redred,-
3779,American Amber / Red Ale,Aphrodite Red Ale,-
3780,American Amber / Red Ale,Pepper Amber,5.50 %
3781,American Amber / Red Ale,SaazAmatazz,5.20 %
3782,American Amber / Red Ale,PDX - > LEX,-
3783,American Amber / Red Ale,Valeria,7.20 %
3784,American Amber / Red Ale,Art Deco,5.00 %
3785,American Amber / Red Ale,Meat Market,7.50 %
3786,American Amber / Red Ale,Nug Amber,5.50 %
3787,American Amber / Red Ale,Local 117,3.90 %
3788,American Amber / Red Ale,First Tracks Amber Ale,5.10 %
3789,American Amber / Red Ale,Friend Zone,6.50 %
3790,American Amber / Red Ale,No. 22 Honey Red Ale,5.50 %
3791,American Amber / Red Ale,Affliction,6.10 %
3792,American Amber / Red Ale,Oddfellow 's Ale,-
3793,American Amber / Red Ale,Pioneer,5.40 %
3794,American Amber / Red Ale,Double Hop Amber,6.10 %
3795,American Amber / Red Ale,Qualityrolexbase,-
3796,American Amber / Red Ale,BiÃ ¨ re Aux Noix,5.00 %
3797,American Amber / Red Ale,Inland Red Ale,5.00 %
3798,American Amber / Red Ale,Acai And Pink Peppercorn Abandoned Planet,8.00 %
3799,American Amber / Red Ale,Elbhang Rot,4.70 %
3800,American Amber / Red Ale,Vital Infrared Imperial Red,9.40 %
3801,American Amber / Red Ale,BFH,5.50 %
3802,American Amber / Red Ale,Oatmeal Amber Ale,5.70 %
3803,American Amber / Red Ale,Bad Polaroid,6.00 %
3804,American Amber / Red Ale,Wildcat Amber,5.30 %
3805,American Amber / Red Ale,Du Parc,-
3806,American Amber / Red Ale,Cascazilla Aged On Cherry Wood,7.00 %
3807,American Amber / Red Ale,Columbus And Rye,5.30 %
3808,American Amber / Red Ale,Rojo,6.00 %
3809,American Amber / Red Ale,Morency,-
3810,American Amber / Red Ale,Simcoe And Rye,5.60 %
3811,American Amber / Red Ale,Plan Bee,6.40 %
3812,American Amber / Red Ale,Trouser Punch Ale,5.20 %
3813,American Amber / Red Ale,Photobomb Imperial Red Ale,8.50 %
3814,American Amber / Red Ale,Harvest Lager,-
3815,American Amber / Red Ale,Wood * Boat Amber Ale,-
3816,American Amber / Red Ale,Chiniquy,4.00 %
3817,American Amber / Red Ale,Nugget Centennial Amber,6.50 %
3818,American Amber / Red Ale,Alpine Mountain Amber Ale,5.90 %
3819,American Amber / Red Ale,Ploughshare Ale,4.40 %
3820,American Amber / Red Ale,Shelf Conscious,5.00 %
3821,American Amber / Red Ale,Amarillo Amber,6.50 %
3822,American Amber / Red Ale,Altered Amber,-
3823,American Amber / Red Ale,Nelson Sauvin,8.00 %
3824,American Amber / Red Ale,Ricochet,5.50 %
3825,American Amber / Red Ale,Sore Amber,5.50 %
3826,American Amber / Red Ale,Scarlet Fever Hoppy Red Ale,7.00 %
3827,American Amber / Red Ale,Grid Iron Amber Ale,5.60 %
3828,American Amber / Red Ale,Massive Political Corruption,4.50 %
3829,American Amber / Red Ale,Akmenrags ( Place On West Coast Of Latvia ),4.50 %
3830,American Amber / Red Ale,Peanut Butter Amber,-
3831,American Amber / Red Ale,Louisiana Amber,6.60 %
3832,American Amber / Red Ale,Hopton Golden Ale,-
3833,American Amber / Red Ale,Clarens Red,4.50 %
3834,American Amber / Red Ale,Hellboy Right Hand Of Doom Red Ale,-
3835,American Amber / Red Ale,Cardinal Red Ale,5.20 %
3836,American Amber / Red Ale,Jazz ( Vieillie Sur ChÃªne ),5.00 %
3837,American Amber / Red Ale,Batch # 90 Amber Gambler,5.80 %
3838,American Amber / Red Ale,Lucille Red Ale,5.30 %
3839,American Amber / Red Ale,Aurora Amber Ale,6.00 %
3840,American Amber / Red Ale,The Visitor Red Ale,5.80 %
3841,American Amber / Red Ale,RÃ ¶ da Havet Red Ale,5.40 %
3842,American Amber / Red Ale,Red Headed Slut Amber Ale,6.50 %
3843,American Amber / Red Ale,American Bitter,4.50 %
3844,American Amber / Red Ale,Mid Arbor Red Ale,4.40 %
3845,American Amber / Red Ale,Rubottom 's Red,5.00 %
3846,American Amber / Red Ale,Red Beard Red Ale,4.30 %
3847,American Amber / Red Ale,Seduction,5.20 %
3848,American Amber / Red Ale,Ambah Ale,5.90 %
3849,American Amber / Red Ale,Le Rubis De La Rousse,-
3850,American Amber / Red Ale,La Petra Tostada,5.00 %
3851,American Amber / Red Ale,Anvil Amber,5.00 %
3852,American Amber / Red Ale,Big Bully Amber Ale,5.00 %
3853,American Amber / Red Ale,Amber Lite,3.00 %
3854,American Amber / Red Ale,Galaxy Red Ale,5.70 %
3855,American Amber / Red Ale,Money,6.00 %
3856,American Amber / Red Ale,Arson Amber,5.80 %
3857,American Amber / Red Ale,Brewed Arson Amber,5.80 %
3858,American Amber / Red Ale,Diwall AmbrÃ © e,6.00 %
3859,American Amber / Red Ale,Uncle Ernie _ ™ s Amber Ale,-
3860,American Amber / Red Ale,L'Envie,-
3861,American Amber / Red Ale,Capone,8.10 %
3862,American Amber / Red Ale,Wise Guy Amber,7.50 %
3863,American Amber / Red Ale,Triple Honey,9.00 %
3864,American Amber / Red Ale,Sunrise Red,6.00 %
3865,American Amber / Red Ale,Stinson Amber,5.00 %
3866,American Amber / Red Ale,BiÃ ¨ re De Ferme AmbrÃ © e,6.00 %
3867,American Amber / Red Ale,Democratic Imperial Red Ale,9.00 %
3868,American Amber / Red Ale,La Devil 's Roc,-
3869,American Amber / Red Ale,Jubileum Ale,6.50 %
3870,American Amber / Red Ale,The Chief Beer,5.00 %
3871,American Amber / Red Ale,Give Me Back My Wig,6.10 %
3872,American Amber / Red Ale,La TrÃ ¨ s Douce,4.50 %
3873,American Amber / Red Ale,Tans-Atlantic Imperial Red,-
3874,American Amber / Red Ale,Red Harvest,-
3875,American Amber / Red Ale,The Pamber,5.60 %
3876,American Amber / Red Ale,Chkalov Red Ale,6.70 %
3877,American Amber / Red Ale,Chefs Ale,6.30 %
3878,American Amber / Red Ale,Rosewood Red,-
3879,American Amber / Red Ale,Dead River Amber Ale,5.00 %
3880,American Amber / Red Ale,Fern Draught,4.00 %
3881,American Amber / Red Ale,Wiggly Field,5.50 %
3882,American Amber / Red Ale,Amber Ale - Batch # 01,4.10 %
3883,American Amber / Red Ale,Main Drag Amber,5.50 %
3884,American Amber / Red Ale,Rousse _ L _ ™ _ rable,5.00 %
3885,American Amber / Red Ale,Rousse GoÃ '' t,5.00 %
3886,American Amber / Red Ale,Spawning Sockeye Ale,5.50 %
3887,American Amber / Red Ale,Olympic Peninsula Ale,-
3888,American Amber / Red Ale,5 Sisters,4.30 %
3889,American Amber / Red Ale,Wild Beast Amber Ale,6.00 %
3890,American Amber / Red Ale,Smokey The Ambear,5.00 %
3891,American Amber / Red Ale,Ryno 's,5.80 %
3892,American Amber / Red Ale,River Valley Red Ale,5.00 %
3893,American Amber / Red Ale,Hibiscus Red,6.20 %
3894,American Amber / Red Ale,4 Pines Keller Door Big Mark Red Ale,4.70 %
3895,American Amber / Red Ale,Mainstay Amber,3.50 %
3896,American Amber / Red Ale,Moxie Ale,5.20 %
3897,American Amber / Red Ale,Heal & Grow,5.80 %
3898,American Amber / Red Ale,16-Hour Dry Hopped Amber,6.80 %
3899,American Amber / Red Ale,Pacific Red Ale,5.50 %
3900,American Amber / Red Ale,Oho-Rojo,6.10 %
3901,American Amber / Red Ale,Sutton Hoo,4.70 %
3902,American Amber / Red Ale,Red Beard IRA,-
3903,American Amber / Red Ale,Happiness,3.50 %
3904,American Amber / Red Ale,Rousse Classique,5.00 %
3905,American Amber / Red Ale,Equinox,6.30 %
3906,American Amber / Red Ale,Sandalwood Ale,6.70 %
3907,American Amber / Red Ale,Ankerla Kolonial Red Ale,7.00 %
3908,American Amber / Red Ale,Galarneau,5.00 %
3909,American Amber / Red Ale,Honey I Shrunk The Figs,6.50 %
3910,American Amber / Red Ale,Rediculous,6.70 %
3911,American Amber / Red Ale,Unhinged Amber,7.40 %
3912,American Amber / Red Ale,Special Ale Aged With Chocolate And Arbol Chiles,4.50 %
3913,American Amber / Red Ale,Hopstock,5.50 %
3914,American Amber / Red Ale,Sumter Street Amber,5.20 %
3915,American Amber / Red Ale,BiÃ ¨ re Du Vercors AmbrÃ © e,5.00 %
3916,American Amber / Red Ale,3 Speed,6.30 %
3917,American Amber / Red Ale,Honey Basil Amber,7.40 %
3918,American Amber / Red Ale,Harvest,6.70 %
3919,American Amber / Red Ale,Ruby Red,6.20 %
3920,American Amber / Red Ale,Crouching Tiger Ragin ' Bull,5.00 %
3921,American Amber / Red Ale,Navigation Brewing Co. . American Amber Ale,5.14 %
3922,American Amber / Red Ale,Riverport Traditional Ale,5.00 %
3923,American Amber / Red Ale,Red Point IPA,7.50 %
3924,American Amber / Red Ale,Malty Amber,-
3925,American Amber / Red Ale,AmbrÃ © e St Guillaume,-
3926,American Amber / Red Ale,1837 Red Special Edition,5.40 %
3927,American Amber / Red Ale,Rubber City Red,4.50 %
3928,American Amber / Red Ale,Liar 's Moon,4.80 %
3929,American Amber / Red Ale,Raybuck Red Ale,6.40 %
3930,American Amber / Red Ale,Resin Red,6.00 %
3931,American Amber / Red Ale,Weekender Amber Ale,5.70 %
3932,American Amber / Red Ale,Sentinel Amber Ale,3.80 %
3933,American Amber / Red Ale,Graupel,5.90 %
3934,American Amber / Red Ale,Get Down Ruby Red,-
3935,American Amber / Red Ale,Papabeers Ruby Jazz Ale Special Edition,5.30 %
3936,American Amber / Red Ale,Arago Amber,5.50 %
3937,American Amber / Red Ale,Dog And Bull,5.00 %
3938,American Amber / Red Ale,Imperial Ruby,8.70 %
3939,American Amber / Red Ale,Cold Water Amber,6.00 %
3940,American Amber / Red Ale,Harvest Amber,5.50 %
3941,American Amber / Red Ale,Red Storm Ryesing,5.70 %
