bev_id,brewery,beer_style,beer_nm
932,Minneapolis Town Hall Brewery,American Amber / Red Ale,Rise Of The Phoenix
933,Crow Peak Brewing,American Amber / Red Ale,Red Water
934,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Penn 's Curse Amber
935,Minneapolis Town Hall Brewery,American Amber / Red Ale,Anniversary Ale 2014
936,Acoustic Ales Brewing Experiment,American Amber / Red Ale,Mosh Pit
937,Stony Creek Brewery,American Amber / Red Ale,Crum
938,_ lvisholt BrugghÃºs,American Amber / Red Ale,MÃ ³ ri
939,New Belgium Brewing,American Amber / Red Ale,Fat Tire
940,Birra Del Borgo,American Amber / Red Ale,BdbBi ( G ) Bodyibu
941,Moskovskaya Pivovarennaya Kompaniya,American Amber / Red Ale,Ale Mohnaty Shmel
942,Minneapolis Town Hall Brewery,American Amber / Red Ale,Columbus Red
943,CODA Brewing Co. .,American Amber / Red Ale,Dogcatcher
944,Sick N Twisted Brewing Co. .,American Amber / Red Ale,Naughty Redhead Imperial Red Ale
945,Belching Beaver Brewery,American Amber / Red Ale,Blushing Beaver
946,Indiana City Brewing Company,American Amber / Red Ale,Crimson Bombshell
947,Firestone Walker Brewing Co. .,American Amber / Red Ale,Yard House Amber Ale
948,GoodLife Brewing Company & Bier Hall,American Amber / Red Ale,Redside India Red Ale
949,Wicked Weed Brewing,American Amber / Red Ale,Comet
950,Boulevard Brewing Co. .,American Amber / Red Ale,Tasting Room Series : Red IPA
951,SLO Brewing Co. .,American Amber / Red Ale,Reggae Red
952,Heritage Brewing Co. .,American Amber / Red Ale,Revolution
953,Flying Goose Brew Pub & Grille,American Amber / Red Ale,Ragged Mountain Red Ale
954,Le Grimoire,American Amber / Red Ale,Grimousse
955,Crooked Fence Brewing,American Amber / Red Ale,Trainwreck Red
956,Wicked Weed Brewing,American Amber / Red Ale,Decoy Red
957,2 Brothers Brewery,American Amber / Red Ale,Grizz
958,Brewsters Brewing Company & Restaurant - Oliver Square,American Amber / Red Ale,Hammerhead Red Ale
959,Cigar City Brewing,American Amber / Red Ale,Grass Fed Red
960,Howe Sound Inn & Brewing Company,American Amber / Red Ale,Super Jupiter Grapefruit ISA
961,Chama River Brewing Company,American Amber / Red Ale,Rio Chama Amber Ale
962,Howe Sound Inn & Brewing Company,American Amber / Red Ale,Boomer 's Canadian Red Ale
963,_ gir Bryggeri,American Amber / Red Ale,_ gir Rallar Amber Ale
964,Deschutes Brewery,American Amber / Red Ale,India Red Delicious
965,High Hops Brewery,American Amber / Red Ale,The Honeyed One
966,Bison Brewing,American Amber / Red Ale,Red Reuben
967,BrickHouse Brewery,American Amber / Red Ale,Boy 's Red
968,The Portland Hotel & James Squire Brewhouse,American Amber / Red Ale,Highwayman Thrice Hopped Red Ale
969,McMenamins,American Amber / Red Ale,Red Riser IRA
970,Triple Rock Brewery & Alehouse,American Amber / Red Ale,Monkey Head
971,Wisconsin Dells Brewing Co. .,American Amber / Red Ale,Dells Chief Amber Ale
972,Wildcard Brewing,American Amber / Red Ale,Double Down Imperial Red
973,3 Daughters Brewing,American Amber / Red Ale,Rod Bender
974,Red Car Brewery and Restaurant,American Amber / Red Ale,Motorman Reserve
975,Rumspringa Brewing Company,American Amber / Red Ale,Rumspringa Red Caboose Ale
976,Hall Brewing Co. .,American Amber / Red Ale,Farmhouse Red Ale
977,JT Schmid 's Restaurant & Brewery,American Amber / Red Ale,JT Schmid 's Emil 's Amber Ale
978,The Unknown Brewing Co. .,American Amber / Red Ale,Hospitali-Tea
979,Blue & Gray Brewing Co. .,American Amber / Red Ale,Christmas Cranberry Ale
980,Milly 's Tavern / Stark Brewing Company,American Amber / Red Ale,Milly 's Tasha 's Red Tail Ale
981,Iron Hill Brewery & Restaurant,American Amber / Red Ale,Hoppopotamus
982,Point Ybel Brewing Company,American Amber / Red Ale,Sanibel Red Island Ale
983,Tall Tales Brewing,American Amber / Red Ale,Back Draft
984,Gore Range Brewery,American Amber / Red Ale,Fly Fisher Red
985,Naked Dove Brewing Company,American Amber / Red Ale,Nice And Naughty Christmas Ale
986,The LAB ( Lexington Avenue Brewery ),American Amber / Red Ale,Waves Of Grain
987,Prairie Fire Brewing Co. .,American Amber / Red Ale,Bushwacker
988,Blackfoot River Brewing Company,American Amber / Red Ale,MacKenzie River Driftboat Amber
989,The Brewerie At Union Station,American Amber / Red Ale,Apparition Amber Ale
990,Battlefield Brew Works,American Amber / Red Ale,Red Circle Ale
991,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,Scratch Beer 176 - 2015 ( Red Ale )
992,Big Dog 's Draft House,American Amber / Red Ale,Rebel Red
993,Purrumbete Brewing Company ( Red Duck ),American Amber / Red Ale,Red Duck Amber Ale
994,Big Rig Brewery,American Amber / Red Ale,Big Rig Rideau Red
995,Casa Cervecera Quinta Normal S.A.,American Amber / Red Ale,Quimera Amber Ale
996,People 's Brewing Company,American Amber / Red Ale,Aberrant Amber
997,Northwest Brewing Company,American Amber / Red Ale,Chinook Copper Ale
998,Dangerous Man Brewing,American Amber / Red Ale,Rooibos Red Ale With Vanilla
999,11 Below Brewing,American Amber / Red Ale,Oso Bueno
1000,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,Scratch Beer 200 - 2015 ( Red Steam Common Ale )
1001,Pizza Port Solana Beach,American Amber / Red Ale,Red Leader Rebel Red
1002,The Weed Company,American Amber / Red Ale,Weed Amber Ale
1003,Burley Oak Brewery,American Amber / Red Ale,Assawoman Amber
1004,Catawba Brewing Co. .,American Amber / Red Ale,Indian Red Head
1005,Grayton Beer Company,American Amber / Red Ale,1890 Founder 's Ale
1006,Fulton Beer,American Amber / Red Ale,The Libertine ( Heaven Hill Barrel-Aged )
1007,Sherwood Brewing Company,American Amber / Red Ale,Mistress Jade 's Hemp Ale
1008,Fort Myers Brewing Company,American Amber / Red Ale,Red Tape
1009,Revolver Brewing,American Amber / Red Ale,Cinnamon Girl
1010,Laurelwood Public House & Brewery,American Amber / Red Ale,Red Elephant
1011,Fairhope Brewing Company,American Amber / Red Ale,I Drink Therefore I Amber
1012,Revolution Brewing Company,American Amber / Red Ale,Battle Of Wil 's
1013,Seventh Son Brewing Co. .,American Amber / Red Ale,Firecat
1014,Back Street Brewery,American Amber / Red Ale,Back Street Rita Red Ale
1015,Exile Brewing Co. .,American Amber / Red Ale,Chill Clinton
1016,Berkshire Brewing Company Inc. .,American Amber / Red Ale,Hoosac Tunnel Pale Ale
1017,Backwoods Brewing Company,American Amber / Red Ale,Big Cedar IRA
1018,La Cumbre Brewing Co. .,American Amber / Red Ale,Imperial Red Ryeot
1019,County Durham Brewing Company,American Amber / Red Ale,Durham Red Dragon
1020,Microbrasserie Le Naufrageur,American Amber / Red Ale,La Colborne
1021,Blue Mountain Brewery,American Amber / Red Ale,Cheer Beer
1022,Olde Richmond Beer Company,American Amber / Red Ale,Olde Richmond Batch No. 9 Red Ale
1023,River City Brewing Company,American Amber / Red Ale,Red Rooster Ale
1024,Straight To Ale,American Amber / Red Ale,Rocket City Red
1025,Big Bear Mountain Brewery,American Amber / Red Ale,Ant Hill Red Ale
1026,Veterans United Craft Brewery,American Amber / Red Ale,Scout Dog 44
1027,Black Lotus Brewery,American Amber / Red Ale,Red Tao
1028,Out of Bounds Brewing Company,American Amber / Red Ale,Rusted Butte Red Ale
1029,Persimmon Hollow Brewing,American Amber / Red Ale,Paddle Wheeler
1030,Silver Peak Restaurant & Brewery,American Amber / Red Ale,Sierra Amber Ale
1031,Rock Art Brewery,American Amber / Red Ale,Stowe Mountain Lodge Hourglass Ale
1032,Motorworks Brewing,American Amber / Red Ale,Roll Cage Red
1033,Church Brew Works,American Amber / Red Ale,Absolution Ale
1034,Argilla Brewing Co. .,American Amber / Red Ale,Argilla Amber
1035,Belmont Brewing Company,American Amber / Red Ale,Top Sail
1036,Allentown Brew Works,American Amber / Red Ale,10 On The Richter Scale
1037,Cannonball Creek Brewing Company,American Amber / Red Ale,Victorville Red
1038,World Brews,American Amber / Red Ale,R.J. King Wingwalker Winter Brew
1039,Sierra Nevada Brewing Co. .,American Amber / Red Ale,Side Car
1040,Plattsburgh Brewing Company,American Amber / Red Ale,Plucky Rooster Ale
1041,Lawson 's Finest Liquids,American Amber / Red Ale,292 Ale
1042,Hockley Valley Brewing Co. .,American Amber / Red Ale,Legends Of The Bay Giant 's Tomb
1043,Golden Lion Brewing Company / Pub & Brasserie le Lion D'Or,American Amber / Red Ale,AmbrÃ © e D'Amour
1044,The Port Gastropub / Sea Level Brewing Company,American Amber / Red Ale,Rojo Mojo Red Ale
1045,Oakshire Brewing,American Amber / Red Ale,Ride Your Bike Double Red Ale
1046,Begyle Brewing Company,American Amber / Red Ale,Pancake Junkie
1047,Naked City Taphouse,American Amber / Red Ale,Screening Room Red
1048,Block 15 Brewery & Restaurant,American Amber / Red Ale,Ridgeback Red
1049,Three Notch 'd Brewing Company,American Amber / Red Ale,Mosaic IRA
1050,Microbrasserie Du Lac-Saint-Jean,American Amber / Red Ale,Boutefeu
1051,Generations Brewing,American Amber / Red Ale,Pretzel City Amber
1052,The Tin Whistle Brewing Company,American Amber / Red Ale,Kettle Valley Amber Ale
1053,Wynwood Brewing Company,American Amber / Red Ale,Wynwood Fox
1054,8th Wonder Brewery,American Amber / Red Ale,Feight
1055,Old Rail Brewing Company,American Amber / Red Ale,Rusted Rail Ale
1056,Breaker Brewing Company,American Amber / Red Ale,Anthracite Ale
1057,Minneapolis Town Hall Brewery,American Amber / Red Ale,Amber Falcon
1058,Paradox Brewery,American Amber / Red Ale,Paradox Red Ale
1059,The Wild Beer Co. .,American Amber / Red Ale,Scarlet Fever
1060,Bricktown Brewery,American Amber / Red Ale,46 Star Oklahoma Amber Ale
1061,Silver Moon Brewing,American Amber / Red Ale,Voodoo Dog
1062,Angry Hank 's Microbrewery,American Amber / Red Ale,Street Fight
1063,Marshall Wharf Brewing Company / Three Tides Restaurant,American Amber / Red Ale,Pinchy
1064,Freetail Brewing Company,American Amber / Red Ale,Sixth Anniversary Imperial Red
1065,Ladyface Ale Companie,American Amber / Red Ale,Reyes Adobe Imperial Red
1066,Minneapolis Town Hall Brewery,American Amber / Red Ale,Festivus 2014
1067,Foundation Brewing Company,American Amber / Red Ale,Prototype 9.29.15
1068,Compania Cervecera Del Sur Del Peru S.A. ( Cervesur ),American Amber / Red Ale,CusqueÃ ± a Red Lager
1069,Colorado Mountain Brewery,American Amber / Red Ale,Ole 59er Amber Ale
1070,Valley Brewing Company,American Amber / Red Ale,Indian Red Ale
1071,Mother Earth Brew Co. .,American Amber / Red Ale,Righteously Hopped Red IPA
1072,Bosque Brewing Co. .,American Amber / Red Ale,Brewer 's Boot Amber Ale
1073,Thirsty Bear Brewing Company,American Amber / Red Ale,Grizzly Bear Red Ale
1074,Middleton Brewing,American Amber / Red Ale,Bobcat Imperial Red
1075,City Star Brewing Company,American Amber / Red Ale,Red Necktar
1076,Brass Cannon Brewing,American Amber / Red Ale,Muzzle Flash
1077,The Five Points Brewing Company,American Amber / Red Ale,Hook Island Red
1078,Pizza Port Solana Beach,American Amber / Red Ale,HATER
1079,Beard & Brau,American Amber / Red Ale,Red Tail
1080,Sierra Madre Brewing Co. .,American Amber / Red Ale,Ocho Reales
1081,American Sky Brewing Co. .,American Amber / Red Ale,American Sky Amber Salute
1082,Core Brewing & Distilling Co. .,American Amber / Red Ale,Arkansas Red Ale
1083,Burnside Brewing Co. .,American Amber / Red Ale,Too Sticky To Roll
1084,CB Craft Brewers,American Amber / Red Ale,Duff 's Microbrew
1085,Garage Project,American Amber / Red Ale,Angry Peaches
1086,Elliott Bay Brewing Co. .,American Amber / Red Ale,Red Von Boorien
1087,River City Brewing Company,American Amber / Red Ale,Woodenhead Ale
1088,Gella 's Diner & Lb . Brewing Co. .,American Amber / Red Ale,No. 03 Amber Ale
1089,Uncle Billy 's Brew & Que,American Amber / Red Ale,Uncle Billy 's Organic Amber
1090,Birra Moretti ( Heineken ),American Amber / Red Ale,Birra Moretti Red Ale
1091,Sarasota Brewing Company,American Amber / Red Ale,Sunset Red
1092,LynLake Brewery,American Amber / Red Ale,Rubbish Oat Amber Ale
1093,Old Dominion Brewing Company,American Amber / Red Ale,J. Paul 's 1889 Amber Ale
1094,Anacortes Brewery & Rockfish Grill,American Amber / Red Ale,Anacortes Red Ale
1095,Liberty Steakhouse Brewery,American Amber / Red Ale,Rocket 's Red Ale
1096,Indiana City Brewing Company,American Amber / Red Ale,Red Collar
1097,Crooked Can Brewing Company,American Amber / Red Ale,McSwagger 's
1098,Dragonmead Microbrewery,American Amber / Red Ale,Dragonmead Crooked Door Amber Ale
1099,Lily 's Seafood & B.C.,American Amber / Red Ale,Reggie 's French River Red
1100,Monkish Brewing Co. .,American Amber / Red Ale,Red Table
1101,Cerveses Almog_ver,American Amber / Red Ale,Almog_ver Cervesa Artesanal
1102,Barley Forge Brewing Co. .,American Amber / Red Ale,El Paisano
1103,Outer Light Brewing Company,American Amber / Red Ale,Lonesome Boatman Ale
1104,The Brewery At Lake Tahoe,American Amber / Red Ale,Alpine Amber Ale
1105,Porcupine Quill Micro Brewery and Deli,American Amber / Red Ale,Quills Karoo Red
1106,Marble Brewery,American Amber / Red Ale,Cuvee Rouge ( 2015 Bottled Vintage )
1107,Thump Keg Brewing Co. .,American Amber / Red Ale,Agave Amber Ale
1108,Draught House Pub & Brewery,American Amber / Red Ale,Red Planet
1109,Columbus Brewing Company,American Amber / Red Ale,Columbus Kashmir
1110,Port Townsend Brewing Company,American Amber / Red Ale,Reel Amber
1111,Solvang Brewing Company,American Amber / Red Ale,Dansk Amber Ale
1112,Abandon Brewing Co. .,American Amber / Red Ale,BCA
1113,San Luis Valley Brewing Company,American Amber / Red Ale,Alamosa Amber
1114,War Horse Brewing Company,American Amber / Red Ale,East Coast Amber Ale
1115,Roundabout Brewery,American Amber / Red Ale,Rusted Route Amber Ale
1116,Iron Hill Brewery & Restaurant,American Amber / Red Ale,Big Rye Wibby
1117,4 Hands Brewing Co. .,American Amber / Red Ale,Vigilante
1118,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,Iron Mike 's Amber Ale
1119,Hollister Brewing Co. .,American Amber / Red Ale,Fire Dragon
1120,Hamburg Brewing Company,American Amber / Red Ale,House Dressing
1121,Green Man Brewery,American Amber / Red Ale,Green Man The Blood Of My Enemies
1122,Lefty 's Brewing Company,American Amber / Red Ale,Maple Ale
1123,Redondo Beach Brewing,American Amber / Red Ale,Rat Beach Red Ale
1124,Hotel-Gasthof HÃ $ ffner BrÃ $ u,American Amber / Red Ale,HÃ $ ffner Hopfenstopfer Dark Red Temptation
1125,Kettle House Brewing Co. .,American Amber / Red Ale,Lake Missoula Amber
1126,Tampa Bay Brewing Co. .,American Amber / Red Ale,Two Redeyes Ales
1127,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,Island Ale
1128,Yeastie Boys,American Amber / Red Ale,Hud-a-wa ' Strong
1129,Blue Tractor BBQ & Brewery,American Amber / Red Ale,Red Barn Amber Ale
1130,Haymarket Pub & Brewery,American Amber / Red Ale,Jananna Dance Red Headed Ale
1131,Independence Brewing Co. .,American Amber / Red Ale,Independence Rood
1132,Lawson 's Finest Liquids,American Amber / Red Ale,Equinox Extra XPA
1133,Woodcock Brothers Brewing Company,American Amber / Red Ale,Woodcock Brothers Amber
1134,Blind Tiger Brewery & Restaurant,American Amber / Red Ale,Little Red Corvette
1135,Modus Operandi Brewing Co. .,American Amber / Red Ale,The Former Tenant
1136,Crystal Springs Brewing Company,American Amber / Red Ale,South Ridge Amber Ale
1137,Glasstown Brewing Co. .,American Amber / Red Ale,Glasstown Founders Ale
1138,Mountain Toad Brewing,American Amber / Red Ale,Apex Amber
1139,Cervejaria DaDo Bier,American Amber / Red Ale,DaDo Bier Red Ale
1140,Epic Ales,American Amber / Red Ale,Simple Ale
1141,Downtown Joe 's American Bar And Grill,American Amber / Red Ale,Tail Waggin ' Amber Ale
1142,Denizens Brewing Co. .,American Amber / Red Ale,Big Red Norm
1143,Coastal Empire Beer Co. .,American Amber / Red Ale,Southern Delight
1144,Caldera Brewing Company,American Amber / Red Ale,Caldera Big Island Red Sea
1145,Blue Pants Brewery,American Amber / Red Ale,Big & Tall # 2
1146,Roosters Brewing Company and Restaurant,American Amber / Red Ale,Two-Bit Amber
1147,Institution Ale Company,American Amber / Red Ale,Sedation
1148,Roscoe Beer Co. .,American Amber / Red Ale,Trout Town Rainbow Red Ale
1149,The Beer 'd Brewing Co. .,American Amber / Red Ale,Get To The Choppa
1150,Great Baraboo Brewing Company,American Amber / Red Ale,Snake Eye Canyon Red Ale
1151,Bold City Brewery,American Amber / Red Ale,European Street Cafe Lamp Post Ale
1152,Aeronaut Brewing Company,American Amber / Red Ale,Red Galaxy
1153,Boxing Cat Brewery,American Amber / Red Ale,Ring Side Red
1154,Omaha Jack 's Grillhouse & Brewery,American Amber / Red Ale,Jacked Up Red
1155,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,North Star Amber Ale
1156,Beaver Brewing Company,American Amber / Red Ale,Basil
1157,White Lion Brewing Company,American Amber / Red Ale,Insane Mane Red Ale
1158,District ChopHouse & Brewery,American Amber / Red Ale,Velvet Amber
1159,Wicked Weed Brewing,American Amber / Red Ale,Mint Julep
1160,Big Rock Brewery,American Amber / Red Ale,Henry Hudson 's Bale House Ale
1161,Sockeye Grill & Brewery,American Amber / Red Ale,Angel 's Perch Amber
1162,Double Barley Brewing,American Amber / Red Ale,Give Em Hell
1163,Old Schoolhouse Brewery,American Amber / Red Ale,Blazing Amber
1164,Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,Journeymen
1165,Kinnegar Brewing Company,American Amber / Red Ale,Devil 's Backbone
1166,Starkey 's Lookout,American Amber / Red Ale,Belgian Amber
1167,Kingdom Brewing,American Amber / Red Ale,Round Barn Red
1168,Kassik 's Kenai Brew Stop,American Amber / Red Ale,Orion 's Quest Red Ale
1169,Lynnwood Grill & Brewing Concern,American Amber / Red Ale,Bill & Ted 's Excellent Amber
1170,Lakewood Brewing Company,American Amber / Red Ale,Lakewood Manimal
1171,Fair Winds Brewing Company,American Amber / Red Ale,Running Light Red
1172,Prescott Brewing Company,American Amber / Red Ale,Manzanita Red
1173,Tahoe Mountain Brewing Co. .,American Amber / Red Ale,Ranch Dog Red
1174,Vancouver Island Brewery,American Amber / Red Ale,High Trail Honey Ale
1175,Bottle Logic Brewing,American Amber / Red Ale,Red-Ioactive
1176,Books & Brews,American Amber / Red Ale,Shogun Soba
1177,Island Hoppin ' Brewery,American Amber / Red Ale,Old Madrona
1178,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,Brewmaster 's Reserve Imperial Red Ale
1179,Modern Times Beer,American Amber / Red Ale,Mega Blazing World
1180,Sequoia Brewing Company,American Amber / Red Ale,Big Horn
1181,Utah Brewers Cooperative,American Amber / Red Ale,Squatters Respect Your Mother Organic Amber Ale
1182,Spoonwood Brewing Company,American Amber / Red Ale,Smoke & Oats
1183,Bog Iron Brewing,American Amber / Red Ale,Slap Happy
1184,612 Brew,American Amber / Red Ale,Main Stage - Amber Ale
1185,Bullfrog Brewery,American Amber / Red Ale,Dread Double Red Ale
1186,Rustic Road Brewing Company,American Amber / Red Ale,Hazelnut Harvest
1187,Swamp Head Brewery,American Amber / Red Ale,Batch 800 - PB&J Amber Ale
1188,Rogue Ales,American Amber / Red Ale,Chatoe Rogue OREgasmic Ale
1189,Amnesia Brewing,American Amber / Red Ale,Crystal Red
1190,Twelve Bar Brews,American Amber / Red Ale,Turnaround Red
1191,Wicked Weed Brewing,American Amber / Red Ale,Wicked Tea Party
1192,Ocean Avenue Brewery,American Amber / Red Ale,Red Sunshine
1193,Sigtuna Brygghus,American Amber / Red Ale,Sigtuna RÃ ¶ d PÃ ¥ sk
1194,Hellbender Brewing Company,American Amber / Red Ale,Red Line Ale
1195,Fargo Brewing Company,American Amber / Red Ale,Mighty Red
1196,Ocelot Brewing Company,American Amber / Red Ale,Hangman
1197,Seven Brides Brewing,American Amber / Red Ale,Emily 's Ember
1198,Hi-Wire Brewing,American Amber / Red Ale,Reds Rye
1199,Bagby Beer Company,American Amber / Red Ale,Hop Whompus
1200,Iron Hill Brewery & Restaurant,American Amber / Red Ale,Hopkowski
1201,Crank Arm Brewing,American Amber / Red Ale,Reflector
1202,Banks ( Barbados ) Breweries Limited,American Amber / Red Ale,Banks Amber Ale
1203,Brasseurs Sans Gluten,American Amber / Red Ale,Glutenberg 8
1204,JoBoy 's Brew Pub,American Amber / Red Ale,Manheim Red
1205,Black Star Co-op Pub & Brewery,American Amber / Red Ale,Double Dee
1206,Three Creeks Brewing Co. .,American Amber / Red Ale,Firestorm Red
1207,Centennial Beer Co. .,American Amber / Red Ale,All American Red Ale
1208,Il Vicino Brewery Canteen,American Amber / Red Ale,Dougie Style Amber
1209,Purrumbete Brewing Company ( Red Duck ),American Amber / Red Ale,Red Duck Hoppy Amber
1210,Imperial Oak Brewing,American Amber / Red Ale,Roil Red
1211,Black Forest Brew Haus & Grill,American Amber / Red Ale,Black Forest Grateful Red
1212,Australian Hotel & Brewery,American Amber / Red Ale,Extra Hoppy Ale
1213,Wolf Creek Brewing,American Amber / Red Ale,Timberwolf Bourbon-Oaked Red
1214,Northwoods Brewpub and Grill,American Amber / Red Ale,Red Cedar Ale
1215,Galatea Spirits,American Amber / Red Ale,S : t Eriks Amber Ale
1216,Wolf Creek Brewing,American Amber / Red Ale,Mountain Hawk Red Ale
1217,Dead Frog Brewing,American Amber / Red Ale,Hyper Combo Red Rye IPA
1218,Elevator Brewery & Draught Haus,American Amber / Red Ale,Bourbon Barrel Aged Horus Imperial Red
1219,Oskar Blues Grill & Brew,American Amber / Red Ale,Bulleit Bourbon Barrel Aged G'Knight
1220,American Honor Beer Company,American Amber / Red Ale,Declaration Ale
1221,Bilbo 's Pizza,American Amber / Red Ale,Dragon Red Ale
1222,Phat Matt 's Brewing Co. .,American Amber / Red Ale,Phat Matt 's Red
1223,Seabright Brewery,American Amber / Red Ale,Sacrilicious Ale
1224,Third Street Aleworks,American Amber / Red Ale,Stepchild Red Ale
1225,Black Sky Brewery,American Amber / Red Ale,Petal To The Metal
1226,Dead Frog Brewing,American Amber / Red Ale,Red Dragon Imperial Red Ale
1227,LowDown Brewery + Kitchen,American Amber / Red Ale,The Boxer India Red Ale
1228,Blue Corn Brewery,American Amber / Red Ale,Atalaya Amber
1229,Fitger 's Brewhouse,American Amber / Red Ale,Daisy Ale
1230,Council Rock Brewery,American Amber / Red Ale,Sleeping Lion Red
1231,Columbia Brewery,American Amber / Red Ale,Kootenay True Ale
1232,Gonzo 's Biggdogg Brewing,American Amber / Red Ale,Burning Sun Red
1233,Main St. Grille & Brewing Company,American Amber / Red Ale,River Rat Amber Ale
1234,Fortnight Brewing Company,American Amber / Red Ale,Coffee Amber
1235,Pizza Port Solana Beach,American Amber / Red Ale,Cardiff Chronic
1236,Absolution Brewing Company,American Amber / Red Ale,Cardinal Sin
1237,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,Crater Lake Amber Ale
