product_key,p_title,base_price,detailed_info
346,panasonic nnsd797s 1.6 cu . ft. genius prestige inverter stainless steel microwave oven,,
347,panasonic 2.2 cu . ft. stainless steel luxury full size countertop microwave oven nnsd967ss,,
348,panasonic nnsn667b 1.2 cu . ft. countertop microwave oven in black,108.63,
349,panasonic nnsn667w 1.2 cu . ft. countertop microwave oven in white,107.81,
350,sony slvd380p dvd/vcr combo,,"vhs , dvd-r , cd-r dvd video , mp3 playback progressive scan"
351,sony dvpns57p dvd player dvpns57pb,39.0,"dvd + rw , dvd-rw , dvd + r , dvd-r , cd-rw dvd video , svcd , video cd , jpeg , mp3 playback 1 disc ( s ) progressive scan black"
352,pioneer cd-r55 wireless remote for avic-d3 / 4900dvd cdr55,14.05,
353,whirlpool duet sport 27 '' electric dryer wed8300swh 6.7 cubic foot capacity,673.29,
354,frigidaire 27 '' electric stack washer dryer combo fex831wh extra-large capacity wash tub,895.39,
355,nikon 18-200mm 3.5-5 .6 g ed dx afs vr zoom wide angle nikkor lens niko_215930348,629.0,
356,universal remote control mrf-350 addressable narrow band rf base station with rfx-250 antenna,174.72,
357,nikon en-el10 no-mem lithium-ion camera battery 25752,21.26,lithium ion ( li-ion ) 3.7 v dc photo battery
358,nikon 55-200mm f/4 -5.6 g ed if af-s dx vr zoom telephoto nikkor lens niko_216687518,189.95,
359,kensington combosaver ultra notebook lock k64516us,,combosaver ultra combination notebook lock
360,hoover company #u5140900 wide path bag up vac,,
361,electrolux homecare #el012a electro h12 hepa filter,,
362,irobot roomba scooba robot floor washer,,
363,canon speedlite 580ex ii flash light 1946b002,,"ttl , e-ttl"
364,altec lansing inmotion im600 portable audio speaker system im600,,
365,canon fax-jx200 fax machine 1735b002aa,,monochrome copier 1.33 cpm mono inkjet
366,canon pg-40 twin pack black ink cartridge 0615b013,,black
367,logitech v220 cordless optical mouse for notebooks 910-000153,,
368,yamaha nx-u10 usb powered stereo speaker nx-u10sl,,2.0-channel silver
369,lacie big disk ethernet network storage server 301239u,,lacie ethernet big disk 2tb usb 2.0 16mb 7200rpm network attached storage
370,tivo 80 hour dvr recorder,,
371,tvio wireless usb network adpator,,
372,plantronics voyager 510 bluetooth headset,,
373,kenwood ipod direct cable kcaip200,19.72,"1 x proprietary 1 x mini-phone stereo , 1 x type a"
374,kenwood ipod-video direct adapter kcaip300v,26.0,"proprietary male to type a male usb , 2 x mini-phone male 4.92 ft"
375,"lg electronics lsc21943st 21.0 cu . ft. counter-depth side-by-side refrigerator with 3 spill-protector glass shelves , spaceplus ice system , digital led display and customcube automatic ice maker",,
376,lg electronics dle2516w 27 ' electric dryer,,
377,"lg electronics dlg2526w 27 ' gas dryer with 7.0 cu . ft. capacity , 5 dry programs , 5 temperature controls , 5 drying levels and sensor dry system",,
378,"lg electronics wm2016cw 27 ' front-load washer with 3.5 cu . ft. capacity , 5 wash programs , 5 temperature levels , 1050 rpm maximum and senseclean system",699.0,
379,computer speakers srsa212/blk,22.53,
380,sony mdr-q68lw stereo earphone mdrq68lw,19.05,- stereo
381,sony srs-btm30 wireless stereo bluetooth speaker srsbtm30,,
382,logitech digital precision pc gaming headset 981-000040,31.99,logitech digital precision pc headset
383,logitech quickcam pro 9000 webcam 960-000048,,logitech quickcam pro 9000
384,sirius scc1 universal vehicle tuner,64.72,
385,audiovox xmck5p expressez satellite radio xmck5p,,audiovox xpress ez xm radio receiver with vehicle kit
386,audiovox xpress r xm radio receiver with vehicle kit xmck20p,76.42,
387,monster cable ifreeplay cordless headphone ai sh hphone,,connectivity : wireless stereo behind-the-neck
388,lacie big disk extreme + hard drive 301199u,,lacie big disk extreme 1tb hard drive triple interface ( usb 2.0 & firewire 400/800 ) external hard drive
389,audiovox satellite radio tuner,,terk xmrvrfm002 commandermt universal in-car xm receiver
390,sirius 14230 50-ft antenna extension cable dei14230,,
391,logitech cordless desktop wave 920-000264,,
392,uniden dect 6.0 1.9 ghz cordless phone dect2080-2,46.72,1 x phone line ( s )
393,uniden dcx200 dect 6.0 accessory handset & charger,,
394,sharp 1100 watt over the counter microwave,,
395,garmin suction cup mount/12-volt adapter kit 010-10979-00,,navigator starter kit
396,sony psp core system ( piano black ) ( slim model with av video out port ) 98510,,
397,unreal tournament iii 26991,,
398,tivo hd digital video recorder up to 20 hours in hd ! tcd652160,259.99,
399,nikon digital camera leather case 5811,7.99,leather black
400,logitech v470 cordless laser mouse for notebooks 910-000298,,logitech v470 bluetooth notebook mouse blue
401,sony vrdmc5 digital video recorder,166.29,"dvd + rw , dvd-rw , dvd + r , memory stick , memory stick duo , secure digital ( sd ) card , xd-picture card , compactflash ( cf ) dvd video , mp3 1 disc 12hour recording"
402,logitech mx air rechargeable cordless air mouse 931633-0403,,laser usb
403,monster cable icable a ic mini ip-3 s audio stereo cable 123870,,1 x mini-phone stereo 1 x mini-phone stereo 3ft
404,bracketron ipod docking kit,4.65,bracketron ipm-202-bl pro series ipod docking kit
405,bracketron nav-mat portable gps dash mount ufm-100-bl,,bracketron nav-mat portable gps dash mount
406,233xsgg skagen,70.0,
407,seiko sxda04,138.0,
408,canon pixma mx310 multifunction photo printer 2184b002,89.99,"canon pixma mx310 office all-in-one printer , scanner , copier and fax with high-speed auto document feeder"
409,canon pixma mx700 multifunction photo printer 2186b002,,canon pixma mx700 office all-in-one printer
410,canon canonscan 8800f flatbed scanner 2168b002,235.5,canon canoscan 8800f
411,peerless smartmount 700 series articulating wall arm,,peerless sa745pu articulating wall arm for 32 ' to 45 ' lcd and plasma screens piano black
412,peerless smartmount 700 series articulating wall arm,,peerless sa750pu articulating wall arm for 32 ' to 50 ' lcd and plasma screens piano black
413,belkin orange cushtop,,
414,sony lcs-twa/r cyber-shot camera case,27.92,top loading leather red
415,sony lcs-twa/b cyber-shot camera case lcstwa/b,34.0,top loading leather black
416,denon avr-3808ci a/v receiver avr3808ci,1698.0,"dolby pro logic iix , dolby digital surround , dts-es , dts neo :6 , dts 96/24 , neural surroundfm , am , xm"
417,denon avr-4308ci a/v receiver avr4308ci,1849.77,"dolby pro logic iix , dolby digital surround , dts-es , dts neo :6 , dts 96/24 , neural surroundfm , am , xm"
418,canon eos 40d digital slr camera 1901b004,849.95,canon eos 40d 10 megapixel digital slr camera body only
419,canon eos 40d digital slr camera with ef 28-135mm f/3 .5 -5.6 is usm lens 1901b017,1029.88,canon eos 40d digital slr camera with 28-135mm lens
420,ge 24775 amplified quantum hdtv antenna,,
421,canon psc-1000 semi-hard leather case 2350b001,16.97,leather burgundy
422,"lg 7.3 cu.ft . front control , st drum , chrome door trim ( pearl gray )",,
423,lg electric dryer with 9 drying programs,,
424,lg xl capacity electric dryer,,
425,lg 3.8 cu . ft. 7-cycle extra-large capacity washer white,,
426,lg 4.0 cu . ft. capacity front load washer w / sanitary cycle,,
427,tivo tiv652160 tivo high definition,,
428,nintendo ds lite ( crimson & black ) usgsrmkb,,
429,sony mdrex81lp comfort fit ear hanger headphones - choose color ( black ),,
430,lacie little disk hard drive 301278,79.99,lacie little disk 250gb usb 2.0 5400rpm portable external hard drive
431,apple ipod shuffle 1gb mp3 player mb226ll/a,,1gb flash memory silver
432,speck products toughskin for ipod classic ic-blk-ts,12.95,rubber black
433,sony universal remote control rm-ez4,12.72,"tv , cable box universal remote"
434,klipsch roomgroove wireless ipod speaker system 1006602,199.99,black
435,sony 2gb memory stick micro ( m2 ) msa2gd,,2 gb
