entry_id,track,duration_min,music_style,issue_date,album,artist_title,copyright_info,music_price
19,Tropico,27:07:00,"Alternative , Music",6-Dec-13,Tropico - Single,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,Album Only
20,Blue Jeans ( Penguin Prison Remix ),5:36,"Alternative , Music , Rock , Adult Alternative",1-May-12,Blue Jeans ( Remixes ) - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
21,Blue Jeans ( Penguin Prison Remix ),5:36,"Alternative , Music , Rock , Adult Alternative",1-May-12,Blue Jeans ( Remixes ) - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
22,I Need Somebody Tonight ( feat . Thelma Houston ) [ Audiowhores Remix ],3:08,"Dance , Music",15-Jul-13,Hed Kandi Ibiza 2013,Joey Negro,2013 Hed Kandi Records,$ 1.29
23,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
24,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
25,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ],6:52,"Alternative , Music , Dance , Rock , Adult Alternative , Electronic",25-Feb-14,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ] - Single,Lana Del Rey & Cedric Gervais,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
26,Blue Jeans ( Penguin Prison Remix ),5:36,"Alternative , Music , Rock , Adult Alternative",1-May-12,Blue Jeans ( Remixes ) - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
27,Ultraviolence ( Hook N Sling Remix ),5:29,"Alternative , Music",15-Feb-15,Ultraviolence ( Hook N Sling Remix ) - Single,Lana Del Rey,2015 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
28,Blue Jeans ( Penguin Prison Remix ),5:36,"Alternative , Music , Rock , Adult Alternative",1-May-12,Blue Jeans ( Remixes ) - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
29,West Coast ( MK Remix ),5:26,"Alternative , Music , Rock",13-Jul-14,West Coast ( Remix EP ),Lana Del Rey,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
30,Face Down Earth ( HK Tropical House Edit ) [ Urban Contact Remix ],3:26,"Dance , Music",3-May-15,Hed Kandi Tropical House,Olympique,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,$ 1.29
31,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),5:19,"Alternative , Music , Rock , Adult Alternative",28-Feb-12,Video Games Remixes - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 0.99
32,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),5:19,"Alternative , Music , Rock , Adult Alternative",28-Feb-12,Video Games Remixes - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 0.99
33,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
34,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
35,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
36,West Coast ( MK Remix ),5:26,"Alternative , Music , Rock",13-Jul-14,West Coast ( Remix EP ),Lana Del Rey,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
37,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
38,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
39,Wasting Time ( HK Deep Disco Edit ),4:04,"Dance , Music",25-Jan-15,Hed Kandi : Deep Disco,Lucas Nord,2014 Hed Kandi Records/Ministry of Sound Recordings Ltd,$ 1.29
40,Bring Me Joy ( HK Miami 2015 Edit ),4:44,"Dance , Music",22-Feb-15,Hed Kandi Miami 2015,DJ Eibhlin,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,$ 1.29
41,Blue Jeans ( Penguin Prison Remix ),5:36,"Alternative , Music , Rock , Adult Alternative",1-May-12,Blue Jeans ( Remixes ) - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
42,Video Games ( Omid 16B Instrumental Reprise ),2:35,"Dance , Music , Rock , Adult Alternative",21-Jan-13,Blue Jeans Omid 16B Remixes,Lana Del Rey,2013 Alola Records,$ 1.29
43,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
44,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
45,Tropico,27:07:00,"Alternative , Music",6-Dec-13,Tropico - Single,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,Album Only
46,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],8:13,"Alternative , Music , Rock",19-Nov-12,Ride ( Remixes ),Lana Del Rey,2012 Polydor Ltd. ( UK ),$ 1.29
47,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],8:13,"Alternative , Music , Rock",19-Nov-12,Ride ( Remixes ),Lana Del Rey,2012 Polydor Ltd. ( UK ),$ 1.29
48,Video Games ( Omid 16B Instrumental Reprise ),2:35,"Dance , Music , Rock , Adult Alternative",21-Jan-13,Blue Jeans Omid 16B Remixes,Lana Del Rey,2013 Alola Records,$ 1.29
49,Video Games ( Omid 16B Instrumental Reprise ),2:35,"Dance , Music , Rock , Adult Alternative",21-Jan-13,Blue Jeans Omid 16B Remixes,Lana Del Rey,2013 Alola Records,$ 1.29
50,Video Games ( Omid 16B Instrumental Reprise ),2:35,"Dance , Music , Rock , Adult Alternative",21-Jan-13,Blue Jeans Omid 16B Remixes,Lana Del Rey,2013 Alola Records,$ 1.29
51,Video Games ( Omid 16B Instrumental Reprise ),2:35,"Dance , Music , Rock , Adult Alternative",21-Jan-13,Blue Jeans Omid 16B Remixes,Lana Del Rey,2013 Alola Records,$ 1.29
52,Video Games ( Omid 16B Instrumental Reprise ),2:35,"Dance , Music , Rock , Adult Alternative",21-Jan-13,Blue Jeans Omid 16B Remixes,Lana Del Rey,2013 Alola Records,$ 1.29
53,Video Games ( Omid 16B Instrumental Reprise ),2:35,"Dance , Music , Rock , Adult Alternative",21-Jan-13,Blue Jeans Omid 16B Remixes,Lana Del Rey,2013 Alola Records,$ 1.29
54,Over and Out ( Miami Sessions 2013 Edit ) [ Instrumental Mix ],6:42,"Dance , Music",10-Mar-13,Miami Sessions 2013 - Ministry of Sound,Kink & Marc Romboy,2013 Ministry of Sound Recordings Limited,$ 1.29
55,Twisted Sister ( Ibiza Sessions 2013 Edit ) [ DJ Hell 's Dehousing Berlin Mix ],4:53,"Dance , Music",9-Jun-13,Ibiza Sessions 2013 - Ministry of Sound,M.A.N.D.Y.,2013 Ministry of Sound Recordings Limited,$ 1.29
56,Summertime Sadness ( MK Lee Foss Cold Blooded Remix ),5:40,"Dance , Music",16-Jun-13,Hed Kandi Beach House 2013,Lana Del Rey,2013 Hed Kandi Records,$ 1.29
57,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
58,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
59,This Is What Makes Us Girls,4:00,"Alternative , Music , Rock , Adult Alternative",6-Aug-13,Born To Die,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
60,Falling ( Commited To Sparkle Motion ) [ Ibiza Annual 2013 Edit ] [ Axwell Radio Edit ],3:05,"Dance , Music",2-Sep-13,Ibiza Annual 2013 - Ministry of Sound,Discopolis,2013 Ministry of Sound Recordings Ltd.,Album Only
61,Tropico,27:07:00,"Alternative , Music",6-Dec-13,Tropico - Single,Lana Del Rey,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,Album Only
62,Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ],2:43,"Dance , Music",10-Feb-14,"Eat , Sleep , Rave , Repeat - Ministry of Sound",Breach,2014 Ministry of Sound Recordings Ltd,Album Only
63,West Coast ( MK Remix ),5:26,"Alternative , Music , Rock",13-Jul-14,West Coast ( Remix EP ),Lana Del Rey,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
64,Abandon Window ( TMATNB Edit ),4:54,"Dance , Music , Electronic",28-Sep-14,The Morning After the Night Before - Ministry of Sound,Jon Hopkins,2014 Ministry of Sound Recordings Ltd,$ 1.29
65,All of Me ( Ti ' âsto 's Birthday Treatment Remix - Radio Edit ),4:10,"Pop , Music",5-Aug-14,"Now Party Anthems , Vol . 2",John Legend,"This compilation ( P ) 2014 UMG Recordings , Inc. and Sony Music Entertainment",Album Only
66,A Mother 's Prayer,3:41,"Soundtrack , Music",11-Mar-14,Gim me Shelter ( Original Soundtrack Album ),C ' © line Dion,"2014 Day Twenty-Eight Films Apple , Llc Under Exclusive License To Milan Entertainment Inc.",Album Only
67,This Is What It Feels Like ( feat . Trevor Guthrie ),3:23,"Fitness & Workout , Music",17-Dec-13,NOW That 's What I Call a Workout 3,Armin van Buuren,"2013 UMG Recordings , Inc. and Sony Music Entertainment",Album Only
68,Boy ( Mk Deep Dub ),7:08,"Dance , Music",15-Nov-13,Defected Presents House Masters - MK ( Second Edition ),K.E.L.S.E.Y.,2013 Defected Records Limited,$ 1.29
69,Deflowered ( Hieroglyphic Being Remix ),6:56,"Dance , Music , Electronic , Rock , Jungle/Drum 'n' bass",21-Oct-13,Soul Music,Special Request,2013 Houndstooth,$ 1.29
70,Addicted 2 the Bass ( EDM Euphoria 2013 Edit ) [ Daahype 's Trap VIP ],3:11,"Dance , Music",16-Sep-13,EDM Euphoria 2013,Wideboys,2013 Euphoria,$ 1.29
71,Bullet That Saved Me ( Pump It Up Edit ) [ feat . Underdown ] [ Festival Mix ],3:50,"Fitness & Workout , Music",8-Sep-13,Pump It Up - Ultimate Dance Workout - Ministry of Sound,Tritonal,2013 Ministry of Sound Recordings Ltd.,$ 1.29
72,Claire,6:59,"Dance , Music",21-Jul-13,Chilled House Ibiza 2013 - Ministry of Sound,Clarian & Guy Gerber,2013 Ministry of Sound Recordings Limited,$ 1.29
73,Night Light ( Running Trax Summer 60 Min Mix ) [ Joe Goddard Remix ],5:31,"Fitness & Workout , Music , Pop",8-Jul-13,Running Trax Summer 2013 - Ministry of Sound,Jessie Ware,2013 Ministry of Sound Recordings Limited,$ 1.29
74,RAC Radio ( Continuous DJ Mix ),1:01:40,"Electronic , Music , Dance",6-Nov-12,Chapter One,RAC,2012 RAC Records,Album Only
75,Hallelujah Anyway ( Larse Vocal Edit ),3:03,"Dance , Music",23-Sep-12,Hed Kandi Nu Disco,Candi Staton,2012 Hed Kandi Records,Album Only
76,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),5:19,"Alternative , Music , Rock , Adult Alternative",28-Feb-12,Video Games Remixes - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 0.99
77,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),5:19,"Alternative , Music , Rock , Adult Alternative",28-Feb-12,Video Games Remixes - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 0.99
78,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),5:19,"Alternative , Music , Rock , Adult Alternative",28-Feb-12,Video Games Remixes - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 0.99
79,Blue Jeans ( Penguin Prison Remix ),5:36,"Alternative , Music , Rock , Adult Alternative",1-May-12,Blue Jeans ( Remixes ) - EP,Lana Del Rey,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
80,DonŠ -- Èt Go ( feat . Josh Kumra ),3:57,"Pop , Music",2-Sep-12,The Chillout Session - Ministry of Sound,Wretch 32,2012 Ministry of Sound Recordings Limited,$ 1.29
81,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],8:13,"Alternative , Music , Rock",19-Nov-12,Ride ( Remixes ),Lana Del Rey,2012 Polydor Ltd. ( UK ),$ 1.29
82,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],8:13,"Alternative , Music , Rock",19-Nov-12,Ride ( Remixes ),Lana Del Rey,2012 Polydor Ltd. ( UK ),$ 1.29
83,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],8:13,"Alternative , Music , Rock",19-Nov-12,Ride ( Remixes ),Lana Del Rey,2012 Polydor Ltd. ( UK ),$ 1.29
84,Once Upon a Dream,3:20,"Soundtrack , Music",27-May-14,Maleficent ( Original Motion Picture Soundtrack ),Lana Del Rey,2014 Walt Disney Records,$ 1.29
85,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
86,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
87,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
88,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
89,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
90,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
91,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
92,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
93,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
94,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
95,Rise,3:03,"Pop , Music , Rock",,Revival,Selena Gomez,2015 Interscope Records,Album Only
96,Rise,3:03,"Pop , Music , Rock",,Revival,Selena Gomez,2015 Interscope Records,Album Only
97,Rise,3:03,"Pop , Music , Rock",,Revival,Selena Gomez,2015 Interscope Records,Album Only
98,Rise,3:03,"Pop , Music , Rock",,Revival,Selena Gomez,2015 Interscope Records,Album Only
99,Rise,3:03,"Pop , Music , Rock",,Revival,Selena Gomez,2015 Interscope Records,Album Only
100,Rise,3:03,"Pop , Music , Rock",,Revival,Selena Gomez,2015 Interscope Records,Album Only
101,Rise,3:03,"Pop , Music , Rock",,Revival,Selena Gomez,2015 Interscope Records,Album Only
102,Rise,3:03,"Pop , Music , Rock",,Revival,Selena Gomez,2015 Interscope Records,Album Only
103,Rise,3:03,"Pop , Music , Rock",,Revival,Selena Gomez,2015 Interscope Records,Album Only
104,This Is What It Feels Like ( feat . Trevor Guthrie ),3:23,"Fitness & Workout , Music",17-Dec-13,NOW That 's What I Call a Workout 3,Armin van Buuren,"2013 UMG Recordings , Inc. and Sony Music Entertainment",Album Only
105,VHS Outro ( Interlude ),1:25,"Alternative , Music , Rock , Adult Alternative",30-Jun-15,VHS,X Ambassadors,2015 KIDinaKORNER/Interscope Records,$ 1.29
106,VHS Outro ( Interlude ),1:25,"Alternative , Music , Rock , Adult Alternative",30-Jun-15,VHS,X Ambassadors,2015 KIDinaKORNER/Interscope Records,$ 1.29
107,VHS Outro ( Interlude ),1:25,"Alternative , Music , Rock , Adult Alternative",30-Jun-15,VHS,X Ambassadors,2015 KIDinaKORNER/Interscope Records,$ 1.29
108,VHS Outro ( Interlude ),1:25,"Alternative , Music , Rock , Adult Alternative",30-Jun-15,VHS,X Ambassadors,2015 KIDinaKORNER/Interscope Records,$ 1.29
109,VHS Outro ( Interlude ),1:25,"Alternative , Music , Rock , Adult Alternative",30-Jun-15,VHS,X Ambassadors,2015 KIDinaKORNER/Interscope Records,$ 1.29
110,VHS Outro ( Interlude ),1:25,"Alternative , Music , Rock , Adult Alternative",30-Jun-15,VHS,X Ambassadors,2015 KIDinaKORNER/Interscope Records,$ 1.29
111,Place of Love ( feat . Filburt ) [ MP Edit ],5:42,"Dance , Music",16-Feb-14,Chilled House Session 2014 - Ministry of Sound,Good Guy Mikesh,2014 Ministry of Sound Recordings Ltd,$ 1.29
112,Falling ( Commited To Sparkle Motion ) [ Ibiza Annual 2013 Edit ] [ Axwell Radio Edit ],3:05,"Dance , Music",2-Sep-13,Ibiza Annual 2013 - Ministry of Sound,Discopolis,2013 Ministry of Sound Recordings Ltd.,Album Only
113,The Renegade ( Addicted To Bass Winter 2013 Edit ),2:18,"Dance , Music",30-Sep-13,Addicted To Bass Winter 2013 - Ministry of Sound,Friend Within,2013 Ministry of Sound Recordings Ltd.,Album Only
114,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],4:02,"Dance , Music",26-Feb-10,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,Wiley & Naughty Boy,2010 The copyright in this sound recording is owned by Virgin Records Ltd,$ 1.29
115,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],4:02,"Dance , Music",26-Feb-10,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,Wiley & Naughty Boy,2010 The copyright in this sound recording is owned by Virgin Records Ltd,$ 1.29
116,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],4:02,"Dance , Music",26-Feb-10,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,Wiley & Naughty Boy,2010 The copyright in this sound recording is owned by Virgin Records Ltd,$ 1.29
117,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],4:02,"Dance , Music",26-Feb-10,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,Wiley & Naughty Boy,2010 The copyright in this sound recording is owned by Virgin Records Ltd,$ 1.29
118,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],4:02,"Dance , Music",26-Feb-10,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,Wiley & Naughty Boy,2010 The copyright in this sound recording is owned by Virgin Records Ltd,$ 1.29
119,Here It Comes,7:40,"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Contemporary",8-Oct-13,Our Version of Events ( Deluxe Edition ),Emeli Sand ' © & Rick Smith,2013 Virgin Records Ltd,$ 1.29
120,Felt Mountain,4:14,"Soundtrack , Music",4-Feb-14,Vampire Academy ( Music From the Motion Picture ),Goldfrapp,"2014 Universal Music Enterprises , a Division of UMG Recordings , Inc.",Album Only
121,Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ],2:43,"Dance , Music",10-Feb-14,"Eat , Sleep , Rave , Repeat - Ministry of Sound",Breach,2014 Ministry of Sound Recordings Ltd,Album Only
122,Drop the Game ( R&B Mixtape Edit ),3:42,"R&B / Soul , Music",23-Mar-14,R&B Mixtape - Ministry of Sound,Flume & Chet Faker,2014 Ministry of Sound Recordings Ltd,Album Only
123,Kick Out the Epic M ********** r ( Dada Life 2015 Epic Remix ),2:48,"Electronic , Music",3-Mar-15,Dada Life Presents : Welcome to Dada Land,Dada Life,2015 So Bleeped AB,$ 1.29
124,Gal a Bubble,3:31,"Reggae , Music",25-Nov-14,"Strictly the Best , Vol . 51",Konshens,"2014 VP Music Group , Inc",$ 1.29
125,Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ],2:43,"Dance , Music",10-Feb-14,"Eat , Sleep , Rave , Repeat - Ministry of Sound",Breach,2014 Ministry of Sound Recordings Ltd,Album Only
126,Smoke the Herb,3:06,"Reggae , Music",23-Jul-13,Reggae Gold 2013,Bounty Killer,"2013 VP Music Group , Inc",$ 0.99
127,Wrapped Up ( Live ),3:01,"Pop , Music",21-Apr-15,Radio Disney Music Awards,Olly Murs,2015 Walt Disney Records,Album Only
128,#Selfie,3:04,"Soundtrack , Music",17-Feb-15,The Duff ( Original Motion Picture Soundtrack ),The Chainsmokers,"2015 2015 Island Records , a division of UMG Recordings , Inc. 1755 Broadway , New York , New York 10019 . Motion Picture Photos .",Album Only
129,Stronger ( Back On the Ground ),4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",2-Feb-10,Who I Am,Nick Jonas & The Administration,2010 Jonas Enterprises,$ 0.99
