pub_id,title_name,pub_authors,article_year,pub_forum
541,java support for data-intensive systems : experiences building the telegraph dataflow system,"michael j. franklin , samuel madden , joseph m. hellerstein , mehul a. shah",2001,sigmod record
542,optimizing queries with universal quantification in object-oriented and object-relational databases,"guido moerkotte , jens claußen , klaus peithner , alfons kemper",1997,vldb
543,an efficient bitmap encoding scheme for selection queries,"chee yong chan , yannis e. ioannidis",1999,sigmod conference
544,the third manifesto,"c. j. date , hugh darwen",1995,sigmod record
545,data placement in shared-nothing parallel database systems,"manish mehta , david j. dewitt",1997,vldb j.
546,the bess object storage manager : architecture overview,"alexandros biliris , euthimios panagos",1996,sigmod record
547,the cougar project : a work-in-progress report,"agathoniki trigoni , rajmohan rajaraman , alan j. demers , yong yao , johannes gehrke",2003,sigmod record
548,model-based information integration in a neuroscience mediator system,"bertram ludäscher , amarnath gupta , maryann e. martone",2000,vldb
549,space-efficient online computation of quantile summaries,"sanjeev khanna , michael greenwald",2001,sigmod conference
550,chip-secured data access : reconciling access rights with data encryption,"philippe pucheral , lilan wu , luc bouganim , françois dang ngoc",2003,vldb
551,the pointcast network,"vibha dayal , satish ramakrishnan",1998,sigmod conference
552,integration approaches for cim,moira c. norrie,1995,sigmod conference
553,toward network data independence,joseph m. hellerstein,2003,sigmod record
554,cq : a personalized update monitoring toolkit,"david buttler , tong zhou , ling liu , paul benninghoff , wei han , calton pu , fenghua yu , wei tang , john biggs",1998,sigmod conference
555,the lowell report,"hans-jörg schek , michael stonebraker , jim gray , jeffrey d. ullman",2003,sigmod conference
556,distributing queries over low-power wireless sensor networks,"samuel madden , joseph m. hellerstein",2002,sigmod conference
557,closest pair queries in spatial databases,"yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos",2000,sigmod conference
558,control strategies for complex relational query processing in shared nothing systems,"lionel brunie , harald kosch",1996,sigmod record
559,database selection using actual physical and acquired logical collection resources in a massive domain-specific operational environment,"xi s. guo , jack g. conrad , peter jackson , monem meziou",2002,vldb
560,generic schema matching with cupid,"philip a. bernstein , erhard rahm , jayant madhavan",2001,vldb
561,a query language and optimization techniques for unstructured data,"gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu",1996,sigmod conference
562,bess : storage support for interactive visualization systems,"william o'connell , thomas a. funkhouser , alexandros biliris , euthimios panagos",1996,sigmod conference
563,optimizing object queries using an effective calculus,"leonidas fegaras , david maier",2000,acm trans . database syst .
564,an early look at xquery,"andrew eisenberg , jim melton",2002,sigmod record
565,the complexity of transformation-based join enumeration,"césar a. galindo-legaria , martin l. kersten , arjan pellenkoft",1997,vldb
566,gembase : a geometric mediator for brain analysis with surface ensembles,"amarnath gupta , simone santini",2002,vldb
567,a data transformation system for biological data sources,"susan b. davidson , limsoon wong , kyle hart , peter buneman , g. christian overton",1995,vldb
568,similarity search in high dimensions via hashing,"rajeev motwani , aristides gionis , piotr indyk",1999,vldb
569,object normal forms and dependency constraints for object-oriented schemata,"zahir tari , stefano spaccapietra , john stokes",1997,acm trans . database syst .
570,cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications,"wang-pin hsiung , kunihiro taniguchi , yusuf akca , oliver po , wen-syan li , divyakant agrawal , k. selçuk candan",2003,vldb
571,structural function inlining technique for structurally recursive xml queries,"jun-ki min , chin-wan chung , chang-won park",2002,vldb
572,offering a precision-performance tradeoff for aggregation queries over replicated data,"jennifer widom , chris olston",2000,vldb
573,tavant system architecture for sell-side channel management,"subbu n. subramanian , srinivasa narayanan",2001,vldb
574,clustering validity checking methods : part ii,"michalis vazirgiannis , maria halkidi , yannis batistakis",2002,sigmod record
575,reminiscences on influential papers,"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",2002,sigmod record
576,efficient evaluation of queries in a mediator for websources,"tolga urhan , laura bright , vladimir zadorozhny , maria-esther vidal , louiqa raschid",2002,sigmod conference
577,d ( k ) - index : an adaptive structural summary for graph-structured data,"chen qun , andrew lim , kian win ong",2003,sigmod conference
578,are quorums an alternative for data replication ?,"bettina kemme , ricardo jiménez-peris , marta patiño-martínez , gustavo alonso",2003,acm trans . database syst .
579,"probabilistic temporal databases , i : algebra","alex dekhtyar , robert ross , v. s. subrahmanian",2001,acm trans . database syst .
580,implementing the spirit of sql-99,paul brown,1999,sigmod conference
581,content integration for e-business,"joseph m. hellerstein , michael stonebraker",2001,sigmod conference
582,designing and mining multi-terabyte astronomy archives : the sloan digital sky survey,"alexander s. szalay , donald r. slutz , ani thakar , jim gray , peter z. kunszt",2000,sigmod conference
583,mining needle in a haystack : classifying rare classes via two-phase rule induction,"ramesh c. agarwal , mahesh v. joshi",2001,sigmod conference
584,sqlem : fast clustering in sql using the em algorithm,"paul cereghini , carlos ordonez",2000,sigmod conference
585,s-topss : semantic toronto publish/subscribe system,"ioana burcea , milenko petrovic , hans-arno jacobsen",2003,vldb
586,managing business processes via workflow technology,frank leymann,2001,vldb
587,control : continuous output and navigation technology with refinement on-line,"bruce lo , tali roth , ron avnur , joseph m. hellerstein , chris olston , kirk wylie , bhaskaran raman , vijayshankar raman",1998,sigmod conference
588,a metadatabase system for semantic image search by a mathematical model of meaning,"yasushi kiyoki , takanari hayama , takashi kitagawa",1994,sigmod record
589,dlfm : a transactional resource manager,"hui-i hsiao , inderpal narang",2000,sigmod conference
590,hypertext databases and data mining,soumen chakrabarti,1999,sigmod conference
591,dynamic service matchmaking among agents in open information environments,"matthias klusch , katia p. sycara , seth widoff , jianguo lu",1999,sigmod record
592,open issues in parallel query optimization,"waqar hasan , patrick valduriez , daniela florescu",1996,sigmod record
593,database issues in telecommunications network management,ilsoo ahn,1994,sigmod conference
594,mapinfo spatialware : a spatial information server for rdbms,chebel mina,1998,vldb
595,efficient and cost-effective techniques for browsing and indexing large video databases,"kien a. hua , jung-hwan oh",2000,sigmod conference
596,the generalized pre-grouping transformation : aggregate-query optimization in the presence of dependencies,"timos k. sellis , aris tsois",2003,vldb
597,mineset ( tm ) : a system for high-end data mining and visualization,?,1996,vldb
598,krdb ' 98 : the 5th international workshop on knowledge representation meets databases,"alexander borgida , martin staudt , vinay k. chaudhri",1998,sigmod record
599,the drill down benchmark,"peter a. boncz , tim rühl , fred kwakkel",1998,vldb
600,"fast , randomized join-order selection - why use transformations ?","arjan pellenkoft , césar a. galindo-legaria , martin l. kersten",1994,vldb
601,expressing business rules,ronald g. ross,2000,sigmod conference
602,fast joins using join indices,"kenneth a. ross , zhe li",1999,vldb j.
603,discovering all most specific sentences,"sanjeev saluja , hannu toivonen , roni khardon , heikki mannila , ram sewak sharm , dimitrios gunopulos",2003,acm trans . database syst .
604,adaptive multi-stage distance join processing,"sukho lee , bongki moon , hyoseop shin",2000,sigmod conference
605,falcon : feedback adaptive loop for content-based retrieval,"christos faloutsos , leejay wu , katia p. sycara , terry r. payne",2000,vldb
606,the fittest survives : an adaptive approach to query optimization,"kian-lee tan , son dao , hongjun lu",1995,vldb
607,building database-driven electronic catalogs,sherif danish,1998,sigmod record
608,content-based image indexing,tzi-cker chiueh,1994,vldb
609,towards self-tuning data placement in parallel database systems,"mong-li lee , beng chin ooi , anirban mondal , kian-lee tan , masaru kitsuregawa",2000,sigmod conference
610,efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari",1995,sigmod conference
611,rondo : a programming platform for generic model management,"philip a. bernstein , erhard rahm , sergey melnik",2003,sigmod conference
612,optimization techniques for queries with expensive methods,joseph m. hellerstein,1998,acm trans . database syst .
613,eliminating costly redundant computations from sql trigger executions,"françois llirbat , françoise fabret , eric simon",1997,sigmod conference
614,the need for distributed asynchronous transactions,"lyman do , prabhu ram , pamela drew",1999,sigmod conference
615,cache portal : technology for accelerating database-driven e-commerce web sites,"yusuf akca , cemal yilmaz , k. selçuk candan , wen-syan li , wei-kuang waine huang , qiong luo , divyakant agrawal , wang-pin hsiung , oliver po",2001,vldb
616,mv3r-tree : a spatio-temporal access method for timestamp and interval queries,"dimitris papadias , yufei tao",2001,vldb
617,"o-o , what 's happening to db2 ?","richard swagerman , nelson mendonça mattos , michael j. carey , srinivasa narayanan , bennet vance , doug doole , serge rielau , donald d. chamberlin",1999,sigmod conference
618,comparing hybrid peer-to-peer systems,"beverly yang , hector garcia-molina",2001,vldb
619,datasplash,"vuk ercegovac , allison woodruff , michael stonebraker , mark lin , mybrid spalding , alexander aiken , chris olston , michael chu",1998,sigmod conference
620,a case for dynamic view management,"nick roussopoulos , yannis kotidis",2001,acm trans . database syst .
621,chameleon : an extensible and customizable tool for web data translation,"riccardo torlone , paolo atzeni",2003,vldb
622,a workflow-based electronic marketplace on the web,"ibrahim cingil , nazife dimililer , nesime tatbul , ilker durusoy , asuman dogac , pinar koksal , sena nural arpinar",1998,sigmod record
623,learning to match ontologies on the semantic web,"jayant madhavan , robin dhamankar , alon y. halevy , pedro domingos , anhai doan",2003,vldb j.
624,ansi sql hierarchical processing can fully integrate native xml,michael m. david,2003,sigmod record
625,the adabas buffer pool manager,harald schöning,1998,vldb
626,gigascope : high performance network monitoring with an sql interface,"yuan gao , theodore johnson , charles d. cranor , vladislav shkapenyuk , oliver spatscheck",2002,sigmod conference
627,the merge/purge problem for large databases,"salvatore j. stolfo , mauricio a. hernández",1995,sigmod conference
628,query processing in spatial network databases,"nikos mamoulis , jun zhang , dimitris papadias , yufei tao",2003,vldb
629,a nanotechnology-based approach to data storage,"b. gotsmann , a. dholakia , g. cherubini , walter häberle , h. pozidis , michel despont , richard stutz , p. bächtold , c. hagleitner , t. r. albrecht , hugo e. rothuizen , gerd k. binnig , d. jubin , a. pantazi , m. a. lantz , e. eleftheriou , urs dürig , t. loeliger , peter vettiger , d. wiesmann , ute drechsler",2003,vldb
630,fast high-dimensional data search in incomplete databases,"kian-lee tan , cheng hian goh , beng chin ooi",1998,vldb
631,a template model for multidimensional inter-transactional association rules,"jeffrey xu yu , hongjun lu , ling feng , jiawei han",2002,vldb j.
632,boat-optimistic decision tree construction,"wei-yin loh , raghu ramakrishnan , venkatesh ganti , johannes gehrke",1999,sigmod conference
633,continuously adaptive continuous queries over streams,"samuel madden , mehul a. shah , vijayshankar raman , joseph m. hellerstein",2002,sigmod conference
634,diluting acid,"peter thanisch , colin stirling , tim kempster",1999,sigmod record
635,applying database visualization to the world wide web,"alberto o. mendelzon , dimitra vista , masum z. hasan",1996,sigmod record
636,dtd-directed publishing with attribute translation grammars,"michael benedikt , aoying zhou , rajeev rastogi , shihui zheng , chee yong chan , wenfei fan",2002,vldb
637,primitives for workload summarization and implications for sql,"surajit chaudhuri , prasanna ganesan , vivek r. narasayya",2003,vldb
638,safely and efficiently updating references during on-line reorganization,"betty salzberg , chendong zou",1998,vldb
639,an efficient method for checking object-oriented database schema correctness,"michele missikoff , anna formica , hans dietmar gröger",1998,acm trans . database syst .
640,reordering query execution in tertiary memory databases,"michael stonebraker , sunita sarawagi",1996,vldb
641,how system 11 sql server became fast,t. k. rengarajan,1996,vldb
642,moving up the food chain : supporting e-commerce applications on databases,anant jhingran,2000,sigmod record
643,apex : an adaptive path index for xml data,"chin-wan chung , kyuseok shim , jun-ki min",2002,sigmod conference
644,index configuration in object-oriented databases,elisa bertino,1994,vldb j.
645,continuous nearest neighbor search,"dimitris papadias , yufei tao , qiongmao shen",2002,vldb
646,chair 's message,m. tamer özsu,2002,sigmod record
647,towards a richer web object model,frank manola,1998,sigmod record
648,homer : a model-based case tool for data-intensive web sites,"paolo atzeni , paolo merialdo , marco pecorone , marco magnante , giansalvatore mecca",2000,sigmod conference
649,performance of data-parallel spatial operations,"hanan samet , erik g. hoel",1994,vldb
650,managing large systems with db2 udb,chris eaton,1998,sigmod conference
651,dbcache : middle-tier database caching for highly scalable e-business architectures,"c. mohan , sailesh krishnamurthy , mehmet altinel , christof bornhövd , hamid pirahesh , berthold reinwald",2003,sigmod conference
652,"information translation , mediation , and mosaic-based browsing in the tsimmis system","yannis papakonstantinou , joachim hammer , jennifer widom , jeffrey d. ullman , hector garcia-molina , kelly ireland",1995,sigmod conference
653,reminiscences on influential papers,"jun rao , kenneth a. ross , johannes gehrke",2003,sigmod record
654,"review of the data warehouse toolkit : the complete guide to dimensional modeling ( 2nd edition ) by ralph kimball , margy ross . john wiley & sons , inc. 2002",alexander a. anisimov,2003,sigmod record
655,adaptive precision setting for cached approximate values,"boon thau loo , jennifer widom , chris olston",2001,sigmod conference
656,extracting schema from semistructured data,"serge abiteboul , rajeev motwani , svetlozar nestorov",1998,sigmod conference
657,maximizing the output rate of multi-way join queries over streaming information sources,"josef burger , jeffrey f. naughton , stratis viglas",2003,vldb
658,fibonacci : a programming language for object databases,"antonio albano , renzo orsini , giorgio ghelli",1995,vldb j.
659,a theory of redo recovery,"mark r. tuttle , david b. lomet",2003,sigmod conference
660,an empirical performance study of the ingres search accelerator for a large property management database system,"john g. hughes , david a. bell , sarabjot s. anand",1994,vldb
661,distance-based indexing for high-dimensional metric spaces,"z. meral özsoyoglu , tolga bozkaya",1997,sigmod conference
662,provision of market services for eco compliant electronic market places,"sena nural arpinar , asuman dogac",2000,sigmod record
663,report on the 2001 sigmod and pods awards,philip a. bernstein,2001,sigmod record
664,disseminating updates on broadcast disks,"swarup acharya , stanley b. zdonik , michael j. franklin",1996,vldb
665,"watermarking relational data : framework , algorithms and analysis","peter j. haas , rakesh agrawal , jerry kiernan",2003,vldb j.
666,"title , foreword , preface to the special issue on spatial database systems , index vol . 3",?,1994,vldb j.
667,research in database engineering at the university of namur,jean-luc hainaut,2003,sigmod record
668,maintaining database consistency in presence of value dependencies in multidatabase systems,"michèle cart , claire morpain , jean-françois pons , jean ferrié",1996,sigmod conference
669,integrating and customizing heterogeneous e-commerce applications,"anat eyal , tova milo",2001,vldb j.
670,a semantic modeling approach for image retrieval by content,"ricky k. taira , ion tim ieong , wesley w. chu",1994,vldb j.
671,guest editorial,"yannis e. ioannidis , raghu ramakrishnan , philip a. bernstein",2003,vldb j.
672,electronic market : the roadmap for university libraries and members to survive in the information jungle,"peter c. lockemann , bethina schmitt , michael christoffel , sebastian pulkowski",1998,sigmod record
673,altruistic locking,"jeannie shands , kenneth salem , hector garcia-molina",1994,acm trans . database syst .
674,query processing in tertiary memory databases,sunita sarawagi,1995,vldb
675,component-based e-commerce : assesment of current practices and future directions,"martin bichler , arie segev , j. leon zhao",1998,sigmod record
676,"pattern matching and pattern discovery in scientific , program , and document databases","kaizhong zhang , dennis shasha , jason tsong-li wang",1995,sigmod conference
677,building scalable internet applications with oracle8i server,"olga peschansky , josé alberto fernández , julie basu",2000,vldb
678,the montage extensible datablade achitecture,michael ubell,1994,sigmod conference
679,quorum consensus in nested transaction systems,"kenneth j. goldman , nancy a. lynch",1994,acm trans . database syst .
680,model and verification of a data manager based on aries,dean kuo,1996,acm trans . database syst .
681,spatial queries in dynamic environments,"yufei tao , dimitris papadias",2003,acm trans . database syst .
682,learning response time for websources using query feedback and application in query optimization,"jean-robert gruser , vladimir zadorozhny , louiqa raschid , tao zhan",2000,vldb j.
683,virtual database technology,"venky harinarayan , ashish gupta , anand rajaraman",1997,sigmod record
684,time management for new faculty,"anastassia ailamaki , johannes gehrke",2003,sigmod record
685,much ado about shared-nothing,"michael g. norman , peter thanisch , thomas zurek",1996,sigmod record
686,optimized query execution in large search engines with global page ordering,"torsten suel , xiaohui long",2003,vldb
687,query optimization at the crossroads ( panel ),surajit chaudhuri,1997,sigmod conference
688,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",1997,sigmod conference
689,chair 's message,m. tamer özsu,2003,sigmod record
690,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",2001,sigmod conference
691,the p operator : discovering and ranking associations on the semantic web,"kemafor anyanwu , amit p. sheth",2002,sigmod record
692,repositories and object oriented databases,philip a. bernstein,1998,sigmod record
693,editor 's notes,ling liu,2002,sigmod record
694,gte superpages : using ir techniques for searching complex objects,"steven d. whitehead , himanshu sinha , michael murphy",1997,vldb
695,a data model and data structures for moving objects databases,"markus schneider , enrico nardelli , luca forlizzi , ralf hartmut güting",2000,sigmod conference
696,middle east technical university software research and development center,asuman dogac,1996,sigmod record
697,the handwritten trie : indexing electronic ink,"padmavathi vallabhaneni , daniel barbará , walid g. aref",1995,sigmod conference
698,research issues in federated database systems : report of efdbs '97 workshop,"fèlix saltor , mark roantree , mark w. w. vermeer , wilhelm hasselbring , martin schönhoff , markus strässler , barry eaglestone , stefan conrad",1997,sigmod record
699,dynamic multidimensional histograms,"piotr indyk , sudipto guha , nitin thaper , nick koudas",2002,sigmod conference
700,inverted files versus signature files for text indexing,"kotagiri ramamohanarao , justin zobel , alistair moffat",1998,acm trans . database syst .
701,aggregation algorithms for very large compressed data warehouses,"jaideep srivastava , jianzhong li , doron rotem",1999,vldb
702,delivering presentations from multimedia servers,"nevzat hurkan balkir , gultekin özsoyoglu",1998,vldb j.
703,automated resolution of semantic heterogeneity in multidatabases,"a. r. hurson , simin h. pakzad , m. w. bright",1994,acm trans . database syst .
704,chair 's message,m. tamer özsu,2001,sigmod record
705,book review column,karl aberer,2002,sigmod record
706,the design and performance evaluation of alternative xml storage strategies,"david j. dewitt , jianjun chen , chun zhang , feng tian",2002,sigmod record
707,containment of conjunctive queries : beyond relations as sets,"raghu ramakrishnan , yannis e. ioannidis",1995,acm trans . database syst .
708,from the guest editors - special section on data management issues in mobile computing,"margaret h. dunham , abdelsalam helal",1995,sigmod record
709,a one-pass aggregation algorithm with the optimal buffer size in multidimensional olap,"yang-sae moon , young-koo lee , il-yeol song , kyu-young whang",2002,vldb
710,turbo-charging vertical mining of large databases,"jayant r. haritsa , devavrat shah , s. sudarshan , pradeep shenoy , mayank bawa , gaurav bhalotia",2000,sigmod conference
711,predator : an or-dbms with enhanced data types,"praveen seshadri , mark paskin",1997,sigmod conference
712,exploiting main memory dbms features to improve real-time concurrency control protocols,"özgür ulusoy , alejandro p. buchmann",1996,sigmod record
713,approximate query processing : taming the terabytes,"minos n. garofalakis , phillip b. gibbons",2001,vldb
714,querying multi-dimensional data indexed using the hilbert space-filling curve,"peter j. h. king , jonathan k. lawder",2001,sigmod record
715,theory of answering queries using views,alon y. halevy,2000,sigmod record
716,griddb : a database interface to the grid,"david t. liu , devesh parekh , michael j. franklin",2003,sigmod conference
717,controlling access to published data using cryptography,"gerome miklau , dan suciu",2003,vldb
718,approximate query processing using wavelets,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti",2001,vldb j.
719,minimal probing : supporting expensive predicates for top-k queries,"kevin chen-chuan chang , seung-won hwang",2002,sigmod conference
720,"advanced data processing in krisys : modeling concepts , implementation techniques , and client/server issues","nelson mendonça mattos , joachim thomas , theo härder , stefan deßloch , bernhard mitschang",1998,vldb j.
721,letter to sigmod record editor,nazih elderini,2002,sigmod record
722,progress on hpcc and nii,marianne winslett,1994,sigmod record
723,an aspect of query optimization in multidatabase systems ( extended abstract ),"chiang lee , hongjun lu , chia-jung chen",1995,sigmod record
724,novel approaches in query processing for moving object trajectories,"yannis theodoridis , dieter pfoser , christian s. jensen",2000,vldb
725,microsoft english query 7.5 : automatic extraction of semantics from relational databases and olap cubes,adam blum,1999,vldb
726,reminiscences on influential papers,"kenneth a. ross , anastassia ailamaki , alfred v. aho",2002,sigmod record
727,rate-based query optimization for streaming information sources,"jeffrey f. naughton , stratis viglas",2002,sigmod conference
728,emc information sharing : direct access to mvs data from unix and nt,walt kohler,1999,sigmod conference
729,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",1998,vldb
730,data warehousing and business intelligence for e-commerce - book review,frank g. goethals,2002,sigmod record
731,selectivity estimation using probabilistic models,"daphne koller , lise getoor , benjamin taskar",2001,sigmod conference
732,bridging heterogeneity : research and practice of database middleware technology,"günter sauter , fernando de ferreira rezende",1998,vldb
733,"what do those weird xml types want , anyway ?",steven j. derose,1999,vldb
734,report on the 4th international conference on mobile data management,"panos k. chrysanthis , arkady b. zaslavsky , morris sloman",2003,sigmod record
735,a prototype content-based retrieval system that uses virtual images to save space,"leonard brown , le gruenwald",2001,vldb
736,warehousing workflow data : challenges and opportunities,"umeshwar dayal , ming-chien shan , angela bonifati , fabio casati",2001,vldb
737,declustering databases on heterogeneous disk systems,"doron rotem , sridhar seshadri , ling tony chen",1995,vldb
738,toward learning based web query processing,"yanlei diao , hongjun lu , zengping tian , songting chen",2000,vldb
739,information finding in a digital library : the stanford perspective,"tak w. yan , hector garcia-molina",1995,sigmod record
740,fast image retrieval using color-spatial information,"kian-lee tan , tat-seng chua , beng chin ooi , wynne hsu",1998,vldb j.
741,delivering high availability for inktomi search engines,eric a. brewer,1998,sigmod conference
742,the araneus web-base management system,"giansalvatore mecca , paolo merialdo , alessandro masci , paolo atzeni , giuseppe sindoni",1998,sigmod conference
743,cure : an efficient clustering algorithm for large databases,"sudipto guha , rajeev rastogi , kyuseok shim",1998,sigmod conference
744,algorithms for materialized view design in data warehousing environment,"kamalakar karlapalem , jian yang , qing li",1997,vldb
745,enhanced hypertext categorization using hyperlinks,"byron dom , piotr indyk , soumen chakrabarti",1998,sigmod conference
746,lore : a lightweight object repository for semistructured data,"janet l. wiener , jason mchugh , serge abiteboul , qingshan luo , anand rajaraman , dallan quass , jeffrey d. ullman , roy goldman , hugo rivero , jennifer widom , svetlozar nestorov , kevin haas",1996,sigmod conference
747,vqbd : exploring semistructured data,"jihwang yeo , sudarshan s. chawathe , thomas baby",2001,sigmod conference
748,the grid : an application of the semantic web,"carole a. goble , david de roure",2002,sigmod record
749,grid and applications ( industrial session ),frank leymann,2003,vldb
750,"i3 : intelligent , interactive investigaton of olap data cubes","sunita sarawagi , gayatri sathe",2000,sigmod conference
751,algebraic change propagation for semijoin and outerjoin queries,"timothy griffin , bharat kumar",1998,sigmod record
752,checking the temporal integrity of interactive multimedia documents,"s. tserkezoglou , timos k. sellis , barbara pernici , michalis vazirgiannis , isabelle mirbel",2000,vldb j.
753,efficient filtering of xml documents with xpath expressions,"rajeev rastogi , pascal felber , chee yong chan , minos n. garofalakis",2002,vldb j.
754,"of crawlers , portals , mice and men : is there more to mining the web ? ( panel )","kyuseok shim , rajeev rastogi , minos n. garofalakis , sridhar ramaswamy",1999,sigmod conference
755,design and user testing of a multi-paradigm query interface to an object-oriented database,"dac khoa doan , alistair c. kilgour , norman w. paton",1995,sigmod record
756,efficient checking of temporal integrity constraints using bounded history encoding,jan chomicki,1995,acm trans . database syst .
757,what is the nearest neighbor in high dimensional spaces ?,"charu c. aggarwal , alexander hinneburg , daniel a. keim",2000,vldb
758,dtl 's dataspot : database exploration as easy as browsing the web,"gadi entin , shai geva , eran palmon , shaul dar",1998,sigmod conference
759,3d geographic network displays,"taosong he , stephen g. eick , kenneth c. cox",1996,sigmod record
760,"data-driven , one-to-one web site generation for data-intensive applications","stefano paraboschi , piero fraternali , stefano ceri",1999,vldb
761,processing star queries on hierarchically-clustered fact tables,"nikos karayannidis , frank ramsak , timos k. sellis , rudolf bayer , robert fenk , klaus elhardt , volker markl , roland pieringer , aris tsois",2002,vldb
762,winnowing : local algorithms for document fingerprinting,"alexander aiken , daniel shawcross wilkerson , saul schleimer",2003,sigmod conference
763,access path support for referential integrity in sql2,"joachim reinert , theo härder",1996,vldb j.
764,enhanced nearest neighbour search on the r-tree,"ada wai-chee fu , king lum cheung",1998,sigmod record
765,eos : an extensible object store,"euthimios panagos , alexandros biliris",1994,sigmod conference
766,schemasql - a language for interoperability in relational multi-database systems,"fereidoon sadri , laks v. s. lakshmanan , iyer n. subramanian",1996,vldb
767,reconciling schemas of disparate data sources : a machine-learning approach,"anhai doan , pedro domingos , alon y. halevy",2001,sigmod conference
768,optimal clip ordering for multi-clip queries,"raymond t. ng , paul shum",1998,vldb j.
769,process automation as the foundation for e-business,"fabio casati , ming-chien shan",2000,vldb
770,research issues in active database systems : report from the closing panel at ride-ads '94,jennifer widom,1994,sigmod record
771,acm tods in this internet age,richard t. snodgrass,2003,sigmod record
772,algorithms for querying by spatial structure,"nikos mamoulis , dimitris papadias , vasilis delis",1998,vldb
773,query by diagram : a graphical environment for querying databases,"giuseppe santucci , tiziana catarci",1994,sigmod conference
774,user-defined table operators : enhancing extensibility for ordbms,"bernhard mitschang , michael jaedicke",1999,vldb
775,guest editor 's introduction,asuman dogac,2002,sigmod record
776,xrank : ranked keyword search over xml documents,"feng shao , lin guo , chavdar botev , jayavel shanmugasundaram",2003,sigmod conference
777,chair 's message,richard t. snodgrass,1998,sigmod record
778,infering structure in semistructured data,"rajeev motwani , serge abiteboul , svetlozar nestorov",1997,sigmod record
779,efficacious data cube exploration by semantic summarization and compression,"jian pei , laks v. s. lakshmanan , yan zhao",2003,vldb
780,high-performance sorting on networks of workstations,"david e. culler , joseph m. hellerstein , david a. patterson , andrea c. arpaci-dusseau , remzi h. arpaci-dusseau",1997,sigmod conference
781,transactional information systems - book review,marc h. scholl,2001,sigmod record
782,polymorphism and type inference in database programming,"atsushi ohori , peter buneman",1996,acm trans . database syst .
783,an effective deductive object-oriented database through language integration,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes",1994,vldb
784,cache conscious indexing for decision-support in main memory,"kenneth a. ross , jun rao",1999,vldb
785,analyzing quantitative databases : image is everything,"reuven kashi , nathan s. netanyahu , amihood amir",2001,vldb
786,dbcache : database caching for web application servers,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",2002,sigmod conference
787,iterative dynamic programming : a new class of query optimization algorithms,"donald kossmann , konrad stocker",2000,acm trans . database syst .
788,high-concurrency locking in r-trees,"douglas banks , marcel kornacker",1995,vldb
789,electronic commerce : tutorial,"nabil r. adam , yelena yesha",1998,sigmod conference
