beer_ref,brew_style,beer_product,beer_factory_name
1827,Brown Ale,Hops Flying Squirrel Nut Brown Ale,Hops Grillhouse & Brewery &#40; Corp HQ &#41;
1828,Mild Ale,DC Brau / Oliver_s Burial at Sea,DC Brau Brewing Company
1829,Smoked,Broken Tooth Great Land Campfire Lager,Broken Tooth Brewing Company
1830,Amber Ale,Batch &#40; AUS &#41; Statler Amber Ale,Batch Brewing Company &#40; AUS &#41;
1831,Fruit Beer,Artzner Perle Des _ les,Artzner
1832,American Strong Ale,3 Sheeps Autumnal Hoppiness Harvest Ale,3 Sheeps Brewing Company
1833,Fruit Beer,Bad Seed Raspberry Red Ale,Bad Seed
1834,Amber Ale,Bridger Session Amber Ale,Bridger Brewing
1835,American Pale Ale,Sly Fox M. Bier Amber,Sly Fox Brewing Company
1836,Amber Ale,One Barrel Wrenclaw Red Ale,One Barrel Brewing Company
1837,India Pale Ale &#40; IPA &#41;,Rogue Captain Sigs Deadliest Ale &#40; Northwestern Ale &#41;,Rogue Ales
1838,Amber Ale,Mooselick Moose Hide Amber Ale,Mooselick Brewing
1839,Amber Ale,Nebraska / Rock Brothers 311 Amber Ale,Nebraska Brewing Company
1840,Amber Ale,Heavy Riff Shady Lane Amber Ale,Heavy Riff Brewing Company
1841,Amber Ale,Rupert_s Match The Drapes Amber Ale,Rupert_s Brew House
1842,Amber Ale,Clockwork Cartside Red,Clockwork &#40; Maclay &#41;
1843,Imperial IPA,Thr3e Wise Men Double Pagoda Pit Road Red,Thr3e Wise Men
1844,India Pale Ale &#40; IPA &#41;,Alameda Wasco Indian Summer Ale,Alameda Brewing Co. .
1845,Amber Ale,Pump House Firechiefs Red Ale,Pump House Brewery
1846,Premium Bitter/ESB,Cottage Delight Metrognome,Staffordshire &#40; prev Leek &#41;
1847,Cream Ale,508 Cocoa for Coconuts &#033;,508 Gastrobrewery
1848,Doppelbock,Red Lodge Resurrection Doppelbock,Red Lodge Ales
1849,Imperial Pils/Strong Pale Lager,Sockeye Freds Raging Red,Sockeye Brewing
1850,Spice/Herb/Vegetable,Ale Industries Spring Fling,Ale Industries
1851,Specialty Grain,Jing A &#40; Blushing Geija &#41; Koji Red Ale,Jing A &#40; &#20140; A &#41; Capital Brewing Co. .
1852,Traditional Ale,Dieu du Ciel Clef des Champs,Dieu du Ciel
1853,Premium Bitter/ESB,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub
1854,American Strong Ale,Bold City 1901 Red Ale,Bold City Brewery
1855,BiÃ ¨ re de Garde,De la Soif Barbe Torte AmbrÃ © e Au BlÃ © Noir,De la Soif
1856,American Pale Ale,Burdock Fresh Hop Pale Ale,Burdock
1857,Session IPA,Old Abbey Brett Trois Red Rye ISA,Old Abbey Ales
1858,Belgian Ale,ChÃ cents teau de Moulinsard La Rousse Au Bourbon,Riva Brouwerij &#40; Duvel-Moortgat &#41;
1859,Amber Ale,Willoughby American Amber Ale,Willoughby Brewing Co. .
1860,Amber Ale,Pokertree Red Earl Ruby Ale,Pokertree
1861,Amber Ale,HOPe Bohemic,La Vella Caravana
1862,Amber Ale,Flathead Lake Dock Start Amber Ale,Flathead Lake Brewing Company
1863,Amber Ale,Speakeasy Wet Hop Prohibition Red Ale,Speakeasy Ales and Lagers
1864,Premium Bitter/ESB,Blind Bat Eye Chart Ale,Blind Bat Brewery
1865,India Pale Ale &#40; IPA &#41;,Emerson_s Brewers Reserve Oreti Red,Emerson_s Brewing Company &#40; Lion Breweries - NZ &#41;
1866,Imperial IPA,Big Alice No. 0066 - Red Oak IPA,Big Alice Brewing
1867,Amber Ale,Firetrucker First Responder Red,Firetrucker Brewery
1868,Amber Ale,Nevin_s Red Ain_t Dead / ReplicAle 2014,Nevin_s Brewing Company
1869,Premium Lager,Aguila del Sur Premium Rubia,Aguila del Sur
1870,Amber Ale,Lake Placid Barkeater Amber Ale,Lake Placid Pub & Brewery
1871,American Strong Ale,Naked City Scarlet Street,Naked City Brewing
1872,India Pale Ale &#40; IPA &#41;,HopDog BeerWorks Zombie Fish Puncher,HopDog BeerWorks
1873,Amber Ale,Freetail Fluck_s Incapacitor,Freetail Brewing Co. .
1874,Amber Ale,Hoppy Stony Face Red Ale,Hoppy Brewing Company
1875,Amber Ale,Butterfield Bridalveil Amber Ale,Butterfield Brewing Company
1876,Amber Ale,Dragas Pacific at Sunset,Dragas Brewing
1877,Amber Ale,Deva Amber,VG Noster
1878,Porter,Catawba Valley King Coconut Porter,Catawba Valley Brewing Company
1879,Amber Ale,Barrier Willamette Valley Amber Ale,Barrier Brewing Company
1880,Amber Ale,Fox River Wisconsin Red Ale,Fox River Brewing Co. .
1881,Amber Ale,Barrier Bulkhead American Red Ale,Barrier Brewing Company
1882,Brown Ale,23rd Street Coconut Rum Infused Brown Ale,23rd Street Brewery
1883,Amber Ale,Berkeley Springs American Amber Ale,Berkeley Springs Brewing Company
1884,Amber Ale,Taps Lillie_s Q Hog Tied Amber Ale,Taps Fish House and Brewery
1885,India Pale Ale &#40; IPA &#41;,armando_otchoa_s Allied Forces - Hangover D.S.O.T.G. Rasta,Brandecker SÃ ¶ rhÃ ¡ z
1886,American Pale Ale,Blue Heron Corey_s American Pale Ale &#40; C.A.P.A. &#41;,Blue Heron Brewpub
1887,American Pale Ale,Bonfire High Altitude Pale Ale &#40; H.A.P.A. &#41;,Bonfire Brewing
1888,Amber Ale,Leinenkugels Auburn Ale,Leinenkugel Brewing Company &#40; Tenth & Blake Beer Co. &#41;
1889,American Strong Ale,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park
1890,Imperial IPA,101 North High Gravity,101 North Brewing Company
1891,Amber Ale,Bear Republic New Oak Red Rocket Ale,Bear Republic Brewing Company
1892,Irish Ale,Loose Shoe SlÃ ¡ inte Irish Red Ale,Loose Shoe Brewing Company
1893,American Pale Ale,Acorn Aurora IPA,Acorn
1894,Amber Ale,Ironworks Tanglefoot Red,Ironworks Brewery and Pub
1895,American Strong Ale,10 Barrel Beernog,10 Barrel Brewing &#40; AB InBev &#41;
1896,Amber Ale,1516 M&N Amber Ale &#40; Whole Leaf Hopped &#41;,1516 Brewing Company
1897,American Strong Ale,Dust Bowl Dr. Rudi Es Muy Caliente,Dust Bowl Brewing Company
1898,Amber Ale,Laitilan Kukko Ale,Laitilan Wirvoitusjuomatehdas
1899,India Pale Ale &#40; IPA &#41;,Geco Inoki,Birrificio Geco
1900,Amber Ale,Goose Island Red Felt Ale,Goose Island Beer Company &#40; Brewpubs &#41;
1901,Belgian Strong Ale,5 Seasons Westside Free Form Jazz Odysee Belgian Amber on Oak & Armagnac,5 Seasons Westside
1902,Amber Ale,Dead Frog Winter Seasonal Amber Ale,Dead Frog Brewery
1903,Bitter,Elgoods Copper Feelgood,Elgoods
1904,Amber Ale,Far West Red Wine Ale,Far West
1905,India Pale Ale &#40; IPA &#41;,Copper Canyon Devils Peak Ale,Copper Canyon Brewery Restaurant &#40; MI &#41;
1906,American Pale Ale,Red Squirrel White Mountain American IPA,Red Squirrel
1907,Spice/Herb/Vegetable,Les Brasseurs du Hameau Rhumantony,Les Brasseurs du Hameau
1908,India Pale Ale &#40; IPA &#41;,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,Bauhaus Brew Labs
1909,Irish Ale,Ghost River Riverbank Red,Ghost River Brewing &#40; Roma Pomodori &#41;
1910,Berliner Weisse,7venth Sun Midnight Moonlight - Blood Orange Mimosa,7venth Sun Brewery
1911,Amber Ale,Proof Abandoned Planet Imperial Red Ale,Proof Brewing Company
1912,Amber Ale,AleSmith Evil Dead Red,AleSmith Brewing Company
1913,Sour/Wild Ale,Ass Clown Salted Ginger Black Sour,Ass Clown Brewing Company
1914,Amber Ale,Fox & Hounds Redtail Ale,Fox & Hounds Brewpub ( Malt House Brewing Co. )
1915,Amber Ale,Naked City McGuffin Amber Ale,Naked City Brewing
1916,Dunkel/Tmav Ã 1/2,Base Camp Uncommon Ground Dunkel,Base Camp Brewing Company
1917,American Strong Ale,Vice District Fire Mouth Red,Vice District Brewing Company
1918,Session IPA,Coronado Shrunken Head Red,Coronado Brewing Company
1919,Amber Ale,Little Egypt Red Ale,Carbondale Craft Beer
1920,Fruit Beer,Arrowhead RedRum Rhubarb Rye-P-A,Arrowhead Brewing
1921,Specialty Grain,Chapman_s Red RYEding Hood,Chapman_s Brewing Company
1922,Amber Ale,5 Seasons North Amber Alert,5 Seasons North
1923,Amber Ale,Grays Rathskeller Amber Ale,Grays Brewing Company
1924,Irish Ale,Genesis Red Ale,Olympic Brewery
1925,Amber Ale,Pig Minds Cherry Pippins,Pig Minds Brewing Co. .
1926,Amber Ale,Jacobsen Red Christmas Ale,Husbryggeriet Jacobsen &#40; Carlsberg &#41;
1927,Oktoberfest/M Ã $ rzen,_ s Antla Festbier,_ s Antla
1928,Amber Ale,Raised Grain Spring City Amber,Raised Grain Brewing Company
1929,Cider,La BolÃ © e Bretonne Cidre Bouche Bio Brut,Les Celliers AssociÃ © s
1930,American Strong Ale,Atwater 1936,Atwater Block Brewery
1931,American Strong Ale,Bier Brewery Megalodon,Bier Brewery
1932,Mead,Honeydew Apiaries The Golden Drop,Honeydew Apiaries
1933,Amber Ale,Binckse Belofte,Gulden Spoor
1934,American Strong Ale,Spring House Atomic Raygun Imperial Red Ale,Spring House Brewing Company
1935,Bitter,Aylesbury Red Right Hand,Aylesbury
1936,Amber Ale,16 Mile Regal Eagle,16 Mile Brewing Company
1937,Amber Ale,Indianapolis Duesseldorfer Amber Ale,Indianapolis Brewing Co. .
1938,Bitter,Dunham Massey Ruby Sunset,Dunham Massey
1939,Dunkel/Tmav Ã 1/2,_ atec Xantho &#40; Dark Lager &#41;,_ ateckÃ 1/2 Pivovar &#40; Carlsberg &#41;
1940,Belgian Ale,Twents Amber,Twentse Bierbrouwerij
1941,Amber Ale,Picaroons Parcel of Rogues,Northampton Brewing Co. &#40; NB &#41;
1942,Imperial Stout,Church-Key Riot Act Imperial Stout,Church-Key Brewing
1943,Porter,_ ampion Crno,Vr_a &#269; ka Pivara
1944,Amber Ale,13 Virtues Rip City Red,13 Virtues Brewing Company
1945,Amber Ale,Adroit Theory Harbinger Redux 2.0,Adroit Theory Brewing Company
1946,Amber Ale,At Large Alibi Amber,At Large Brewing
1947,Amber Ale,Boxing Cat / Great Leap Yunnan Amber,Boxing Cat Brewery
1948,Amber Ale,Carolina Brewery Copperline Amber Ale,Carolina Brewery
1949,Golden Ale/Blond Ale,Jaw Glide,Jaw Brew
1950,Amber Ale,Coalition Mutual Fermentation,Coalition Brewing
1951,Irish Ale,Barley Johns Wretched Red Ale,Barley Johns Brew Pub
1952,Brown Ale,AleSmith Nut Brown Ale - Vietnamese Coffee,AleSmith Brewing Company
1953,Cream Ale,Chatham Summer Hummer,Chatham Brewing
1954,Irish Ale,Lake Charlevoix Round Lake Red,Lake Charlevoix Brewing Company
1955,Amber Ale,Flat 12 Barrel Aged Moustache Ride Red,Flat 12 Bierwerks
1956,Amber Ale,Sycamore Jubilee Session Amber,Sycamore Brewing
1957,Spice/Herb/Vegetable,Oliphant Ant Ray Cow Pants,Oliphant Brewing Company
1958,Golden Ale/Blond Ale,Appalachian Mountain Honey Badger Blonde,Appalachian Mountain Brewery
1959,Amber Ale,_ La FÃ '' t Rouquine,_ La FÃ '' t
1960,Irish Ale,Man Cave Papakeechie_s Reserve,Man Cave Brewing Company
1961,American Pale Ale,Elysian Men_s Room Original Red,Elysian Brewing &#40; AB-InBev &#41;
1962,English Strong Ale,Crannog Wobbly Toddler Red Milk Ale,Crannog Ales
1963,Specialty Grain,Bistronomy Ol _ Yelper Red,Bistronomy B2B
1964,Amber Ale,Block 15 Millennium Falcon,Block 15 Brewery
1965,American Strong Ale,13 Virtues 21st Anniversary Double Red,13 Virtues Brewing Company
1966,Golden Ale/Blond Ale,Pitchfork Hudson Honey Bee Blonde,Pitchfork Brewing Company
1967,Amber Ale,Triton Magnificent Amber,Triton Brewing Company
1968,Amber Ale,Rusty Nickel On The Border Amber Porter,Rusty Nickel Brewing Company
1969,Amber Ale,Cabinet Mountain Ross Creek Red Ale,Cabinet Mountain Brewing Company
1970,Irish Ale,Catawba Island McFadden Red Ale,Catawba Island Brewing Company
1971,Stout,1516 Eegit Yakima Stout,1516 Brewing Company
1972,Spice/Herb/Vegetable,BiÃ ¨ res d_Anjou La Piautre Rousse,La Fabrique des BiÃ ¨ res d_Anjou
1973,American Strong Ale,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,AleSmith Brewing Company
1974,Amber Ale,10 Barrel Project Failed Red Ale,10 Barrel Brewing &#40; AB InBev &#41;
1975,Amber Ale,Black Forest Whistle Stop Amber Ale,Black Forest Brewery
1976,KÃ ¶ lsch,Fire Mountain Brew House Carlton KÃ ¶ lsch,Fire Mountain Brew House
1977,Amber Ale,Blue Tractor Red Barn Ale,Blue Tractor BBQ & Brewery
1978,Amber Ale,G.G. Brewers Amberly Eyes,G.G. Brewers
1979,Fruit Beer,_ l_Abri de la TempÃªte Palabre de la Gourmande,_ l_Abri de la TempÃªte
1980,Amber Ale,Maritime Pacific Nightwatch Dark Amber Ale,Maritime Pacific Brewing Co. .
1981,Amber Ale,Chilly Water Buddy_s Hop Harvest Red Ale,Chilly Water Brewing Company
1982,Amber Ale,Waddell_s Fireman_s Amber Ale,Waddell_s Brewing Company
1983,Belgian Ale,Pizza Port Acacia Amber Ale,Pizza Port &#40; Solana Beach &#41;
1984,Irish Ale,Le Prospecteur Rousse du Prospecteur,Microbrasserie Le Prospecteur
1985,Amber Ale,Forstner Das Rote,Handbrauerei Forstner
1986,Amber Ale,Redline Radio Banter,Redline Brewhouse
1987,Amber Lager/Vienna,5 Seasons Westside Freudian Slip Vienna Lager,5 Seasons Westside
1988,Altbier,Argyle Alter Your Brew Altbier,Argyle Brewing Company
1989,American Pale Ale,5 Rabbit 5 Grass with Valencia Oranges Orange Blossom and Chamomile,5 Rabbit Cerveceria
1990,Amber Ale,Ego Forhekset Prinsesse,Ego Brygghus
1991,Bitter,Festival Amber,Festival
1992,Amber Ale,Echigo Premium Red Ale,Echigo Beer Company
1993,Amber Ale,Sugar Ridge Johnny Danger Copper Ale,Sugar Ridge Brewery
1994,Amber Ale,21st Amendment North Star Red Ale,21st Amendment Brewery
1995,Amber Ale,Charlevoix CuvÃ © e Les Petits Brasseurs,Microbrasserie Charlevoix / Le Saint Pub
1996,Amber Ale,Amsterdam Brewboys Hop Riot Amber Ale,De Noord-Hollandse Bierbrouwerij
1997,American Pale Ale,HBH Rubia,HBH ( _ uÃ ± oa )
1998,Mild Ale,ZwanzigZ English Ruby Mild,ZwanzigZ
1999,Bitter,Caledonian Marching Orders,Caledonian &#40; Heineken UK &#41;
2000,Amber Ale,Dead Bear Escanaba River Amber Ale,Dead Bear Brewing Company
2001,Amber Ale,BJ_s Oasis Amber,BJ_s Restaurant & Brewhouse
2002,Amber Ale,Blasted Barley Red White & Boom Amber,Blasted Barley Beer Co. .
2003,Amber Lager/Vienna,Benelux Lager Rousse,Benelux Brasserie Artisanale
2004,Amber Ale,Coaticook La Maplehurst,Microbrasserie Coaticook
2005,India Pale Ale &#40; IPA &#41;,Brodies Soho Superior IPA,Brodies
2006,Amber Ale,Barnstar Saloon Girl Red,Barnstar Brewing Company
2007,Sour/Wild Ale,Avery Barrel-Aged Series 19 - Rufus Corvus,Avery Brewing Company
2008,Cider,Blands Scrumptious Dry Cider,Blands Cider
2009,Amber Ale,1st Republic Windsor Ale,1st Republic Brewing Company
2010,Amber Ale,Chehalem Valley Summit Amber,Chehalem Valley Brewing Company
2011,Irish Ale,Bellarine The Heads Ale,Bellarine Brewing Company
2012,Stout,Brew Wharf How Now Brown Cow,Brew Wharf
2013,Smoked,Albion La Berthelaise,Brasserie Artisanale Albion
2014,Amber Ale,Crooked Ewe What_s My Name Amber Ale,Crooked Ewe Brewery
2015,Amber Ale,Ringneck Red Alert Amber,The Brew Kettle
2016,Amber Ale,Roulier Lamarieuse,Brasserie de Roulier
2017,Amber Lager/Vienna,Heilige Red Ale,Cervejaria Peter Von Brutschen
2018,Amber Ale,Hidden Springs Ginger Mullet,Hidden Springs Ale Works
2019,Amber Ale,Barrel Trolley Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
2020,English Pale Ale,Buckleys Original Ale,Yarra Flats Brewery
2021,Abt/Quadrupel,3 Daughters 4 Redemption Barrel Aged Quad,3 Daughters Brewing Company
2022,Golden Ale/Blond Ale,Legenda Pony,Legenda SÃ ¶ rf &#337; zde
2023,Amber Ale,Grand Armory Dewey Hill Amber,Grand Armory Brewing
2024,Amber Ale,Les Brasseurs du Grand Paris Ligne 3,Parisis
2025,Amber Ale,Jacks Red Ale,Jacks Brewing Co. &#40; formerly Fremont Brewing Co. &#41;
2026,Wheat Ale,1516 Dark Wheat Ale,1516 Brewing Company
2027,India Pale Ale &#40; IPA &#41;,10 Barrel Goodin _ Hoppy,10 Barrel Brewing &#40; AB InBev &#41;
2028,Specialty Grain,BlackLab El Importador,BlackLab Brewhouse
2029,Amber Ale,Blue Pants Knickerbocker Red,Blue Pants Brewery
2030,Belgian Strong Ale,Bressene,Brasserie Grain d_Orge
2031,American Strong Ale,Mad Fox Renegade Imperial Red IPA,Mad Fox Brewing Company
2032,Dunkler Bock,_ s Antla Weihnachtsbier,_ s Antla
2033,Amber Lager/Vienna,Maison de Brasseur Mont Bugey,RiviÃ ¨ re d_Ain
2034,Amber Lager/Vienna,PÃ ¨ re Jakob AmbrÃ © e Bitter with Brewers Gold,PÃ ¨ re Jakob
2035,Amber Ale,Wheeling Old Reymann_s Amber,Wheeling Brewing Company
2036,Belgian Ale,Black Star Co-op Pub & Brewery Truffle Dee,Black Star Co-op Pub & Brewery
2037,Amber Ale,La SociÃ © tÃ © Provocante,La SociÃ © tÃ © Microbrasserie
2038,Amber Ale,Copper Club F-Town Amber,Copper Club Brewing
2039,Amber Ale,Astoria Old Red Beard Amber Ale,Astoria Brewing Co. &#40; Wet Dog Cafe &#41;
2040,Amber Ale,Hop n _ Moose Sunnybank Red,Hop n _ Moose Brewing Company
2041,Porter,Clifton Hill Dark Ale,Clifton Hill Brewpub
2042,Amber Ale,Salty Nut Miss Scarlett,Salty Nut Brewery
2043,Amber Ale,Havannah,Grande Brasserie de Nouvelle-CalÃ © donie SA ( Heineken )
2044,Imperial Stout,Against the Grain / To _ l An Ale Fixation : BA Scotch and Rye,Against the Grain Brewery
2045,Amber Lager/Vienna,Icicle DirtyFace Amber,Icicle Brewing Company
2046,Premium Bitter/ESB,Lance-Pierre la Rouste,Lance-Pierre
2047,Amber Ale,Backcountry Switchback Amber,Backcountry Brewery
2048,Amber Ale,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,Midnight Sun Brewing Company
2049,Irish Ale,Cobra Angry Leprechaun,Cobra Brewing Company
2050,Belgian Ale,450 North Copperhead Road Ale,450 North Brewing Company
2051,Amber Ale,Wabash 503 Amber Ale,Wabash Brewing Company
2052,American Pale Ale,Aeronaut Red Baron,Aeronaut &#40; Laine &#41;
2053,Amber Lager/Vienna,Drei Tannen Wildsau,Drei Tannen
2054,Amber Ale,Bourbon Rousse,Brasserie de Bourbon ( Heineken )
2055,Amber Ale,Lake Superior Mesabi Red,Lake Superior Brewing Company
2056,Imperial IPA,Angry Chair First In A Flight,Angry Chair Brewing
2057,Belgian Ale,De Sutter La Folie Douce,De Sutter
2058,Amber Ale,Cervezart Malvados Rubia,Cerveza Artesana de la Mancha
2059,Amber Ale,The Freehouse No . 7 Hoppy Amber,The Freehouse
2060,Amber Ale,Bangin _ Banjo Judy_s Amber,Bangin _ Banjo Brewing Company
2061,India Pale Ale &#40; IPA &#41;,Star Trek Vulcan Ale - The Genesis Effect,Shmaltz Brewing Company
2062,Amber Ale,Cigar City Citrus Wizard,Cigar City Brewing
2063,Amber Ale,Rockbottom FizzGig,Rockbottom Brewpub
2064,American Strong Ale,Seapine Skipine Bomb Hole Winter Ale,Seapine Brewing Company
2065,American Pale Ale,2 Way Hop Project : Columbus,2 Way Brewing Company
2066,American Strong Ale,Second Salem Beast of Bray Road Ale,Second Salem Brewing Company
2067,Amber Ale,L_Hermite AmÃ © ricain Amber Ale,Microbrasserie l_Hermite
2068,Amber Ale,Red Yeti Stepchild Amber,Red Yeti Brewing Company
2069,Amber Ale,Alpine Beer Company Red Card Ale,Alpine Beer Company &#40; CA &#41;
2070,Amber Ale,Lofty Zeb_s American Red Ale,Lofty Brewing Company
2071,Specialty Grain,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery
2072,Stout,Amsterdam Session Stout,Amsterdam Brewing Company
2073,American Strong Ale,Haven Right Said Red,Haven Gastropub + Brewery
2074,Spice/Herb/Vegetable,4 Hands Sugar & Spice,4 Hands Brewing Company
2075,American Pale Ale,Manantler Bootleg Glory,Manantler Craft Brewing
2076,Amber Ale,Deep Creek Little Armoured One,Deep Creek Brewing Co
2077,Fruit Beer,Busted Knuckle Fender Bender Blackberry Amber,Busted Knuckle Brewery
2078,Porter,8th Wonder Rocket Fuel,8th Wonder Brewery
2079,Spice/Herb/Vegetable,Backroom Holiday Market Ale - Rosemary & Orange Zest,Backroom Brewery
2080,Amber Ale,FlyBoy Betty_s Red Ale,FlyBoy Brewing
2081,Amber Ale,HoppebrÃ $ u Wuidsau,HoppebrÃ $ u
2082,Amber Ale,7 Fjell Bryggeri Hurragutt,7 Fjell Bryggeri
2083,Imperial IPA,Amber Double IPA,Amber
2084,Saison,Austin Beer Garden Road Trip,Austin Beer Garden Brewery
2085,Smoked,Baird Smoked Amber Ale,Baird Brewing Co. .
2086,Amber Ale,Wildlife 9 Grain Amber,Wildlife Brewing & Pizza
2087,Dunkler Bock,Barba Roja Morena,Barba Roja de Anapa
2088,Amber Ale,7 Fjell Kniksen India Red Ale,7 Fjell Bryggeri
2089,Amber Ale,The Eldo Secret Trail Ale,The Eldo Brewery & Taproom
2090,Amber Ale,Leisure Amber,Delafield Brewhaus
2091,Amber Ale,Daytona Beach FL Wildflower Unite Red Ale,Daytona Beach Brewing Company
2092,Wheat Ale,Artifex The Beach House Wheat,Artifex Brewing Company
2093,Amber Ale,Wet Head Slaughter Amber Ale,Wet Head Brewery
2094,Amber Ale,Ramses Bier Pardoen Koele Kikker,Ramses Bier
2095,Amber Ale,Ale Asylum Ambergeddon,Ale Asylum
2096,Amber Ale,Coal Creek TAP The Church Lady,Coal Creek TAP Brewery
2097,American Strong Ale,Wet Head Wetlands Bitter Sweet Red &#40; BSR &#41;,Wet Head Brewery
2098,Scotch Ale,Imperial Oak Wee Willie_s Big Breakfast,Imperial Oak Brewing
2099,Amber Ale,Right Eye CU29,Right Eye Brewing Company
2100,Amber Ale,Sarungano Gudo,Sarungano Brewing
2101,Amber Ale,Bunpat Rossa,Birrificio Sagrin
2102,Amber Ale,Vernal Allosaurus Amber,Vernal Brewing Co. .
2103,Amber Ale,Manor Hill Stone Bridge Amber,Manor Hill Brewing
2104,Saison,Benelux Semuta,Benelux Brasserie Artisanale
2105,Cider,401 Caramel Apple Cider,401 Cider Brewery
2106,Bitter,Neath Witch Hunter,Neath
2107,India Pale Ale &#40; IPA &#41;,Beardslee Four Ginger IPA,Beardslee Alehouse
2108,Belgian Ale,la VallÃ © e du Giffre La Petit MPC,la VallÃ © e du Giffre
2109,Amber Ale,Lake Ann Amber,Lake Ann Brewing Company
2110,Irish Ale,5 Seasons North Connemara Irish Red Ale,5 Seasons North
2111,Cider,Blaengawney Heartbreaker Cider &#40; Draught &#41;,Blaengawney Cider
2112,Specialty Grain,Baylands Red Ryder IPA,Baylands Brewery
2113,Amber Ale,Praxis Ambar,Praxis
2114,Amber Ale,Chelsea Haywagon Red,Chelsea Alehouse
2115,Amber Ale,Appalachian Mountain Switchback Amber Ale,Appalachian Mountain Brewery
2116,Amber Ale,Yaletown Red Galaxy Ale,Yaletown Brewing Co. .
2117,Amber Ale,1925 BLK6 .22,The 1925 Microbrewery & Restaurant
2118,Amber Ale,Altes Tramdepot Canadian Red Ale,Altes Tramdepot
2119,Amber Ale,Pac City Not So Amber Ale,Pac City Brewery
2120,Irish Ale,Bendorf Neudorf Red Ale,Bendorf
2121,Amber Ale,Sheps Amber Ale,The Good Shepherds Brewing Co. .
2122,India Pale Ale &#40; IPA &#41;,Brighton Bier South Coast IPA,Kemptown
2123,Mild Ale,1648 Ruby Mild,1648
2124,Amber Ale,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery
2125,India Pale Ale &#40; IPA &#41;,Baguales Rubia,Baguales
2126,Imperial Stout,Blackjack Blackberry King of Clubs,Blackjack
2127,Scottish Ale,Battered Boar Blue Face Scottish Ale,Battered Boar Brewing Company
2128,Amber Ale,Triple Crossing Rochelle Rochelle,Triple Crossing Brewing Company
2129,Amber Ale,5 Paddles The Village Idiot,5 Paddles Brewing Company
2130,Imperial IPA,18th Street Under Crown,18th Street Brewery
2131,Sour Red/Brown,American Fall Harvest Sour Ale,American Brewing Company
2132,Fruit Beer,Amber_s Australian Mountain Pepper Berry Lager,Hog_s Head Brewing Company
2133,Amber Ale,Beer Valley Owyhee Amber Ale,Beer Valley Brewing Company
2134,Amber Ale,Half Pints SaazAmatazz,Half Pints Brewing Co. .
2135,Golden Ale/Blond Ale,Blackwater Art Deco,Salopian
