media_id,copyright_text,music_release_date,track,album_title_nm,musical_length,style,performer
42,2013 Alola Records,21-Jan-13,Video Games ( Omid 16B Instrumental Reprise ),Blue Jeans Omid 16B Remixes,2:35,"Dance , Music , Rock , Adult Alternative",Lana Del Rey
43,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
44,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
45,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Dec-13,Tropico,Tropico - Single,27:07:00,"Alternative , Music",Lana Del Rey
46,2012 Polydor Ltd. ( UK ),19-Nov-12,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Ride ( Remixes ),8:13,"Alternative , Music , Rock",Lana Del Rey
47,2012 Polydor Ltd. ( UK ),19-Nov-12,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Ride ( Remixes ),8:13,"Alternative , Music , Rock",Lana Del Rey
48,2013 Alola Records,21-Jan-13,Video Games ( Omid 16B Instrumental Reprise ),Blue Jeans Omid 16B Remixes,2:35,"Dance , Music , Rock , Adult Alternative",Lana Del Rey
49,2013 Alola Records,21-Jan-13,Video Games ( Omid 16B Instrumental Reprise ),Blue Jeans Omid 16B Remixes,2:35,"Dance , Music , Rock , Adult Alternative",Lana Del Rey
50,2013 Alola Records,21-Jan-13,Video Games ( Omid 16B Instrumental Reprise ),Blue Jeans Omid 16B Remixes,2:35,"Dance , Music , Rock , Adult Alternative",Lana Del Rey
51,2013 Alola Records,21-Jan-13,Video Games ( Omid 16B Instrumental Reprise ),Blue Jeans Omid 16B Remixes,2:35,"Dance , Music , Rock , Adult Alternative",Lana Del Rey
52,2013 Alola Records,21-Jan-13,Video Games ( Omid 16B Instrumental Reprise ),Blue Jeans Omid 16B Remixes,2:35,"Dance , Music , Rock , Adult Alternative",Lana Del Rey
53,2013 Alola Records,21-Jan-13,Video Games ( Omid 16B Instrumental Reprise ),Blue Jeans Omid 16B Remixes,2:35,"Dance , Music , Rock , Adult Alternative",Lana Del Rey
54,2013 Ministry of Sound Recordings Limited,10-Mar-13,Over and Out ( Miami Sessions 2013 Edit ) [ Instrumental Mix ],Miami Sessions 2013 - Ministry of Sound,6:42,"Dance , Music",Kink & Marc Romboy
55,2013 Ministry of Sound Recordings Limited,9-Jun-13,Twisted Sister ( Ibiza Sessions 2013 Edit ) [ DJ Hell 's Dehousing Berlin Mix ],Ibiza Sessions 2013 - Ministry of Sound,4:53,"Dance , Music",M.A.N.D.Y.
56,2013 Hed Kandi Records,16-Jun-13,Summertime Sadness ( MK Lee Foss Cold Blooded Remix ),Hed Kandi Beach House 2013,5:40,"Dance , Music",Lana Del Rey
57,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
58,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
59,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
60,2013 Ministry of Sound Recordings Ltd.,2-Sep-13,Falling ( Commited To Sparkle Motion ) [ Ibiza Annual 2013 Edit ] [ Axwell Radio Edit ],Ibiza Annual 2013 - Ministry of Sound,3:05,"Dance , Music",Discopolis
61,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Dec-13,Tropico,Tropico - Single,27:07:00,"Alternative , Music",Lana Del Rey
62,2014 Ministry of Sound Recordings Ltd,10-Feb-14,Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ],"Eat , Sleep , Rave , Repeat - Ministry of Sound",2:43,"Dance , Music",Breach
63,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,13-Jul-14,West Coast ( MK Remix ),West Coast ( Remix EP ),5:26,"Alternative , Music , Rock",Lana Del Rey
64,2014 Ministry of Sound Recordings Ltd,28-Sep-14,Abandon Window ( TMATNB Edit ),The Morning After the Night Before - Ministry of Sound,4:54,"Dance , Music , Electronic",Jon Hopkins
65,"This compilation ( P ) 2014 UMG Recordings , Inc. and Sony Music Entertainment",5-Aug-14,All of Me ( Ti ' âsto 's Birthday Treatment Remix - Radio Edit ),"Now Party Anthems , Vol . 2",4:10,"Pop , Music",John Legend
66,"2014 Day Twenty-Eight Films Apple , Llc Under Exclusive License To Milan Entertainment Inc.",11-Mar-14,A Mother 's Prayer,Gim me Shelter ( Original Soundtrack Album ),3:41,"Soundtrack , Music",C ' © line Dion
67,"2013 UMG Recordings , Inc. and Sony Music Entertainment",17-Dec-13,This Is What It Feels Like ( feat . Trevor Guthrie ),NOW That 's What I Call a Workout 3,3:23,"Fitness & Workout , Music",Armin van Buuren
68,2013 Defected Records Limited,15-Nov-13,Boy ( Mk Deep Dub ),Defected Presents House Masters - MK ( Second Edition ),7:08,"Dance , Music",K.E.L.S.E.Y.
69,2013 Houndstooth,21-Oct-13,Deflowered ( Hieroglyphic Being Remix ),Soul Music,6:56,"Dance , Music , Electronic , Rock , Jungle/Drum 'n' bass",Special Request
70,2013 Euphoria,16-Sep-13,Addicted 2 the Bass ( EDM Euphoria 2013 Edit ) [ Daahype 's Trap VIP ],EDM Euphoria 2013,3:11,"Dance , Music",Wideboys
71,2013 Ministry of Sound Recordings Ltd.,8-Sep-13,Bullet That Saved Me ( Pump It Up Edit ) [ feat . Underdown ] [ Festival Mix ],Pump It Up - Ultimate Dance Workout - Ministry of Sound,3:50,"Fitness & Workout , Music",Tritonal
72,2013 Ministry of Sound Recordings Limited,21-Jul-13,Claire,Chilled House Ibiza 2013 - Ministry of Sound,6:59,"Dance , Music",Clarian & Guy Gerber
73,2013 Ministry of Sound Recordings Limited,8-Jul-13,Night Light ( Running Trax Summer 60 Min Mix ) [ Joe Goddard Remix ],Running Trax Summer 2013 - Ministry of Sound,5:31,"Fitness & Workout , Music , Pop",Jessie Ware
74,2012 RAC Records,6-Nov-12,RAC Radio ( Continuous DJ Mix ),Chapter One,1:01:40,"Electronic , Music , Dance",RAC
75,2012 Hed Kandi Records,23-Sep-12,Hallelujah Anyway ( Larse Vocal Edit ),Hed Kandi Nu Disco,3:03,"Dance , Music",Candi Staton
76,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,28-Feb-12,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Video Games Remixes - EP,5:19,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
77,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,28-Feb-12,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Video Games Remixes - EP,5:19,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
78,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,28-Feb-12,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Video Games Remixes - EP,5:19,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
79,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,1-May-12,Blue Jeans ( Penguin Prison Remix ),Blue Jeans ( Remixes ) - EP,5:36,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
80,2012 Ministry of Sound Recordings Limited,2-Sep-12,DonŠ -- Èt Go ( feat . Josh Kumra ),The Chillout Session - Ministry of Sound,3:57,"Pop , Music",Wretch 32
81,2012 Polydor Ltd. ( UK ),19-Nov-12,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Ride ( Remixes ),8:13,"Alternative , Music , Rock",Lana Del Rey
82,2012 Polydor Ltd. ( UK ),19-Nov-12,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Ride ( Remixes ),8:13,"Alternative , Music , Rock",Lana Del Rey
83,2012 Polydor Ltd. ( UK ),19-Nov-12,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Ride ( Remixes ),8:13,"Alternative , Music , Rock",Lana Del Rey
84,2014 Walt Disney Records,27-May-14,Once Upon a Dream,Maleficent ( Original Motion Picture Soundtrack ),3:20,"Soundtrack , Music",Lana Del Rey
85,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
86,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
87,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
88,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
89,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
90,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
91,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
92,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
93,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
94,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
95,2015 Interscope Records,,Rise,Revival,3:03,"Pop , Music , Rock",Selena Gomez
96,2015 Interscope Records,,Rise,Revival,3:03,"Pop , Music , Rock",Selena Gomez
97,2015 Interscope Records,,Rise,Revival,3:03,"Pop , Music , Rock",Selena Gomez
98,2015 Interscope Records,,Rise,Revival,3:03,"Pop , Music , Rock",Selena Gomez
99,2015 Interscope Records,,Rise,Revival,3:03,"Pop , Music , Rock",Selena Gomez
100,2015 Interscope Records,,Rise,Revival,3:03,"Pop , Music , Rock",Selena Gomez
101,2015 Interscope Records,,Rise,Revival,3:03,"Pop , Music , Rock",Selena Gomez
102,2015 Interscope Records,,Rise,Revival,3:03,"Pop , Music , Rock",Selena Gomez
103,2015 Interscope Records,,Rise,Revival,3:03,"Pop , Music , Rock",Selena Gomez
104,"2013 UMG Recordings , Inc. and Sony Music Entertainment",17-Dec-13,This Is What It Feels Like ( feat . Trevor Guthrie ),NOW That 's What I Call a Workout 3,3:23,"Fitness & Workout , Music",Armin van Buuren
105,2015 KIDinaKORNER/Interscope Records,30-Jun-15,VHS Outro ( Interlude ),VHS,1:25,"Alternative , Music , Rock , Adult Alternative",X Ambassadors
106,2015 KIDinaKORNER/Interscope Records,30-Jun-15,VHS Outro ( Interlude ),VHS,1:25,"Alternative , Music , Rock , Adult Alternative",X Ambassadors
107,2015 KIDinaKORNER/Interscope Records,30-Jun-15,VHS Outro ( Interlude ),VHS,1:25,"Alternative , Music , Rock , Adult Alternative",X Ambassadors
108,2015 KIDinaKORNER/Interscope Records,30-Jun-15,VHS Outro ( Interlude ),VHS,1:25,"Alternative , Music , Rock , Adult Alternative",X Ambassadors
109,2015 KIDinaKORNER/Interscope Records,30-Jun-15,VHS Outro ( Interlude ),VHS,1:25,"Alternative , Music , Rock , Adult Alternative",X Ambassadors
110,2015 KIDinaKORNER/Interscope Records,30-Jun-15,VHS Outro ( Interlude ),VHS,1:25,"Alternative , Music , Rock , Adult Alternative",X Ambassadors
111,2014 Ministry of Sound Recordings Ltd,16-Feb-14,Place of Love ( feat . Filburt ) [ MP Edit ],Chilled House Session 2014 - Ministry of Sound,5:42,"Dance , Music",Good Guy Mikesh
112,2013 Ministry of Sound Recordings Ltd.,2-Sep-13,Falling ( Commited To Sparkle Motion ) [ Ibiza Annual 2013 Edit ] [ Axwell Radio Edit ],Ibiza Annual 2013 - Ministry of Sound,3:05,"Dance , Music",Discopolis
113,2013 Ministry of Sound Recordings Ltd.,30-Sep-13,The Renegade ( Addicted To Bass Winter 2013 Edit ),Addicted To Bass Winter 2013 - Ministry of Sound,2:18,"Dance , Music",Friend Within
114,2010 The copyright in this sound recording is owned by Virgin Records Ltd,26-Feb-10,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,4:02,"Dance , Music",Wiley & Naughty Boy
115,2010 The copyright in this sound recording is owned by Virgin Records Ltd,26-Feb-10,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,4:02,"Dance , Music",Wiley & Naughty Boy
116,2010 The copyright in this sound recording is owned by Virgin Records Ltd,26-Feb-10,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,4:02,"Dance , Music",Wiley & Naughty Boy
117,2010 The copyright in this sound recording is owned by Virgin Records Ltd,26-Feb-10,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,4:02,"Dance , Music",Wiley & Naughty Boy
118,2010 The copyright in this sound recording is owned by Virgin Records Ltd,26-Feb-10,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,4:02,"Dance , Music",Wiley & Naughty Boy
119,2013 Virgin Records Ltd,8-Oct-13,Here It Comes,Our Version of Events ( Deluxe Edition ),7:40,"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Contemporary",Emeli Sand ' © & Rick Smith
120,"2014 Universal Music Enterprises , a Division of UMG Recordings , Inc.",4-Feb-14,Felt Mountain,Vampire Academy ( Music From the Motion Picture ),4:14,"Soundtrack , Music",Goldfrapp
121,2014 Ministry of Sound Recordings Ltd,10-Feb-14,Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ],"Eat , Sleep , Rave , Repeat - Ministry of Sound",2:43,"Dance , Music",Breach
122,2014 Ministry of Sound Recordings Ltd,23-Mar-14,Drop the Game ( R&B Mixtape Edit ),R&B Mixtape - Ministry of Sound,3:42,"R&B / Soul , Music",Flume & Chet Faker
123,2015 So Bleeped AB,3-Mar-15,Kick Out the Epic M ********** r ( Dada Life 2015 Epic Remix ),Dada Life Presents : Welcome to Dada Land,2:48,"Electronic , Music",Dada Life
124,"2014 VP Music Group , Inc",25-Nov-14,Gal a Bubble,"Strictly the Best , Vol . 51",3:31,"Reggae , Music",Konshens
125,2014 Ministry of Sound Recordings Ltd,10-Feb-14,Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ],"Eat , Sleep , Rave , Repeat - Ministry of Sound",2:43,"Dance , Music",Breach
126,"2013 VP Music Group , Inc",23-Jul-13,Smoke the Herb,Reggae Gold 2013,3:06,"Reggae , Music",Bounty Killer
127,2015 Walt Disney Records,21-Apr-15,Wrapped Up ( Live ),Radio Disney Music Awards,3:01,"Pop , Music",Olly Murs
128,"2015 2015 Island Records , a division of UMG Recordings , Inc. 1755 Broadway , New York , New York 10019 . Motion Picture Photos .",17-Feb-15,#Selfie,The Duff ( Original Motion Picture Soundtrack ),3:04,"Soundtrack , Music",The Chainsmokers
129,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
130,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
131,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
132,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
133,"2015 Ultra Records , LLC",24-Feb-15,Bricks ( feat . Migos ),Ultra Dance 16,4:23,"Dance , Music , Electronic",Carnage
134,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",20-Jun-14,I See Fire,x ( Deluxe Edition ),4:59,"Singer/Songwriter , Music",Ed Sheeran
135,"Compilation 2013 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",5-Feb-13,Safe and Sound ( NOW What 's Next Bonus Track ),Now 45,3:12,"Pop , Music",Capital Cities
136,2012 Warner Music UK LImited,3-Sep-12,The A Team ( Live ),iTunes Festival : London 2012 - EP,5:01,"Singer/Songwriter , Music",Ed Sheeran
137,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",9-Jan-15,Credit,Title ( Deluxe ),2:51,"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop",Meghan Trainor
