unique_id,producer,model_no,product_title,list_price,prod_group
1707,,1710,paperpro desktop ecostapler 20 sheet capacity,20.88,stationery & office machinery
1708,,16640,pendaflex straight cut conversion folders letter manila box of 100,33.94,stationery & office machinery
1709,,11218,quality park redi-seal security tinted envelope white 500 box,46.94,stationery & office machinery
1710,,55011,boise aspen 50 office paper 8-1 2 5000 sheets per carton,52.88,stationery & office machinery
1711,,15320,smead file folders 1 2 cut 1-ply top tab manila 100 box,34.05,stationery & office machinery
1712,,d66174,black n red casebound notebook ruled white 96 sheets pad,8.27,stationery & office machinery
1713,,36226,quality park classic style invitation envelope contemporary white,52.94,stationery & office machinery
1714,,s59720,s j paper mla end tab classification folder,64.94,stationery & office machinery
1715,,4054bl,safco stow and go cart black,49.0,storage
1716,,ds420va,post-it flags dispenser flags assorted-size assorted colors 340pk,24.94,stationery & office machinery
1717,,3284,tops daily attendance card 8-1 2 x 11 50 forms,8.86,stationery & office machinery
1718,,,kodak esp 3250 all-in-one printer value bundle,58.0,printers
1719,,,wintec filemate 2pack 4gb micro sdhc memory card with sd adapter value bundle,12.0,camera and camcorder accessories
1720,,70121,smead a-z indexed expanding files 21 pockets kraft letter brown,12.47,stationery & office machinery
1721,five star,,five star 5-subject wirebound trend notebook wide rule pink,5.0,stationery & office machinery
1722,,,prismacolor col-erase pencil with eraser 12 pack,6.47,stationery & office machinery
1723,,,five star 1-subject wirebound wide rule trend notebook blue 5 pack,9.5,electronics-inflexible kit
1724,dixie,fh207,dixie heavyweight plastic forks 100ct,7.15,house wares
1725,,,bic round stic ball pen black 1-dozen 3-pack,3.0,electronics - general
1726,guardian,eg020304,guardian ecoguard indoor rubber wiper mats 24 x 36 charcoal,23.97,rugs
1727,hp,,hp touchpad - touchstone charging dock stand,35.0,electronics - general
1728,scosche,sa68,scosche convertible 6 speaker adapter,11.88,car stereos
1729,kingston,khx1800c9d3k2/4g,kingston hyperx 4gb kit 2 x 2gb ddr3 desktop memory module,83.99,memory
1730,maxell,cd-355,maxell multi-colored slim cd dvd clamshells - 20 pack,5.88,electronics - general
1731,seiko,slp-35l,seiko slp-35l slide label,14.88,stationery & office machinery
1732,patriot,psf16gsdhc10,patriot memory 16gb lx series sd card high-capacity,49.98,usb drives
1733,da-lite,90751,da-lite deluxe skirt adapter bracket for fast fold screens,6.99,electronics - general
1734,dell,330-0043,dell series 11 black ink,15.97,printers
1735,generic,wmmc-1,magnetic hook black,0.0,stationery & office machinery
1736,kimberly-clark professional,02920,kimberly-clark professional scott recycled c-fold hand towels 200 sheets 12 ct,46.97,home care
1737,belkin,f8z514tt064,belkin sport armband for ipod nano black,18.88,mp3 accessories
1738,kodak,70554,kodak white paper cd dvd sleeves 500 pack,16.99,mp3 accessories
1739,roocase,218564,roocase 2-pack capacitive stylus for ipad 2 tablet,19.99,electronics - general
1740,comprehensive,fp-bp,comprehensive f plug to bnc plug set of 25,59.75,tv accessories
1741,maxell,190242 jt-pu,maxell juicy tunes earbuds green,9.88,electronics - general
1742,scosche,cj1278b,scosche 1974-99 chrysler multi kit with 1 cd storage pocket,8.68,car stereos
1743,vizio,rbe320vl,vizio 32 class lcd 720p 60hz hdtv e320vl refurbished,287.0,electronics : flat panel tv
1744,pioneer,deh-44hd,pioneer deh-44hd ipod hd,0.0,car stereos
1745,duracell,4133300407,duracell coppertop aa batteries 6pk,0.0,electronics - general
1746,quartet,48124,quartet magnetic shelf 11,5.97,stationery & office machinery
1747,,,bic 0.9 mm mechanical pencil 10 ct. 3-pack,6.18,electronics - general
1748,bigelow,30568,bigelow green tea assortment 64ct,12.97,beverages
1749,general electric,18234,ge 3-way rocker switch,0.0,electronics - general
1750,boss,cx154dvc,boss audio cx154dvc chaos exxtreme 15 dvc subwoofer,64.0,portable audio
1751,maxell,630020,maxell 630020 12x high-speed rewritable cd-rw - single,1.98,mp3 accessories
1752,comprehensive,db25m,comprehensive 25-pin male connector with hood set of 25,69.0,tv accessories
1753,,pn925,pendaflex recycled top tab file guides 25 set,12.77,stationery & office machinery
1754,dixie,kh207,dixie heavyweight knives 100ct,7.15,house wares
1755,crucial technology,ct064m4ssd2cca,crucial technology 64gb m4 2.5 sata solid state drive kit,159.15,hard drives
1756,dane-elec,da-zmp-16g-ca-g2-r,dane-elec 16gb capless usb drive - gray silver,21.67,usb drives
1757,ge,33310,ge rg6 coax cable 6,0.0,electronics - general
1758,fellowes,8030401,fellowes goriser laptop elevator,21.88,electronics - general
1759,lenovo,9960alu,lenovo black thinkcentre m58 desktop pc with intel core 2 duo e7500 processor 250gb hard drive and windows 7 professional,599.0,desktop computers
1760,tops business forms,99708,tops docket gold spiral steno book gregg rule 6 white 100 sheets,5.77,stationery & office machinery
1761,buffalo technology,lswx10tlr1,buffalo technology linkstation duo 1 tb 2 x 500 gb network attached storage ls-wx1 .0 tl r1,192.63,networking
1762,targus,tdp017us,targus citygear 160 cd dvd case,21.46,electronics - general
1763,generic,13833,ghostline poster kit,0.0,stationery & office machinery
1764,lenovo,40245fu,lenovo black ideacentre a700 4024-5fu all-in-one desktop pc with intel core i3 processor 23 hd led backlit display windows 7 home premium 64-bit,979.0,desktop computers
1765,bower,bower sapm,bower micro lens cleaner for small digital cameras,8.74,photography - general
1766,mace security,80202,mace 95db window alarm,5.24,garden - general
1767,oki,4.332442 e7,oki 433244 toner 5000 page-yield,100.0,printers
1768,digipower,dps601,digipower dps-601 3 hour aa rechargeable battery kit with 4 2100mah endure aa batteries,25.88,photography - general
1769,middle atlantic,hdr-fan,middle atlantic hdr-4 external fan option,55.99,tv accessories
1770,cables to go,28102,cables to go 6 usb 2.0 cable,4.9,electronics - general
1771,lexmark,c9202kh,lexmark c9202 toner 14000 page-yield,288.86,printers
1772,oki,4.3324404 e7,oki 4332440 high-yield toner type c8 5000 page-yield,119.0,printers
1773,dixie,vireco0112,dixie viridian insulair ecosmart 12 ounce hot cups 30ct,9.37,house wares
1774,crown,cs0035br,crown cross-over indoor outdoor olefin poly wiper scraper mat 36 x 60 brown,59.97,home care
1775,just wireless,03158,just wireless moto micro usb car charger with usb port,0.0,electronics - general
1776,sharp,el1192bl,sharp el1192bl printing calculator,37.63,stationery & office machinery
1777,panasonic,kxfa132,panasonic kxfa132 film cartridge and film roll,49.84,camera and camcorder accessories
1778,,,walmart family mobile 3-line package,179.88,electronics - general
1779,elite screens,te84vw2,elite screens cinewhite cinetension2 series 64 overall height tension electric motorized screen - 84 diagonal,637.0,electronics - general
1780,,r4202,tyvek expansion mailer,38.94,stationery & office machinery
1781,dell,series 15 black,dell 15 standard yield black cartridge,18.97,printers
1782,,12244wh,tablemate plastic dinnerware 12 ounce bowls 125pk,20.97,house wares
1783,encore,21661,hoyle mahjongg pc mac,10.88,software
1784,dell,9vmv5,dell switch by design studio lids big giant plaid 17r,39.0,electronics - general
1785,bic,rt5711-red,bic triumph 537r roller pen 0.7 mm red 1-dozen,15.29,stationery & office machinery
1786,,00026,office snax bottled spring water 12ct,14.97,beverages
1787,rubbermaid commercial,263788gy,rubbermaid commercial brute dome top swing door lid for plastic gray waste container 32 gal,87.97,storage
1788,plantronics,ap15,plantronics vistaplus audio processor,141.31,electronics - general
1789,p3 international corporation,p4480,p3 international kill-a-watt graphic timer and electricity usage monitor,69.95,portable audio
1790,,vis6008,lathem time vis6008 ribbon purple,15.0,stationery & office machinery
1791,crown,te0046gy,crown tire-track scraper needlepunch polypropylene vinyl mat 48 x 72 gray,124.97,rugs
1792,cyber acoustics,ac401,cyber acoustics computer stereo silver headset microphone,14.84,electronics - general
1793,pioneer,ts-d1302r,pioneer 5.25 2-way speakers 35w,136.0,car stereos
1794,dixie,45scdx,dixie sage 3 ounce paper water cups 1200ct,42.97,house wares
1795,vizio,e421vo,vizio 42 class lcd 1080p 60hz hdtv e421vo,498.0,electronics : flat panel tv
1796,cables unlimited,aud-1000-50,cables unlimited - 3.5 mm 50 male to female stereo cable,9.88,electronics - general
1797,vizio,xvt553sv,vizio 55 class lcd 1080p 240hz hdtv xvt553sv refurbished,999.0,television
1798,innovera,15920,innovera eight-digit calculator,5.75,stationery & office machinery
1799,,,five star 1-subject wirebound wide rule notebook red 5 pack,9.5,electronics-inflexible kit
1800,tops business forms,35500,tops quadrille pads 8-1 2 x 11 green,11.47,stationery & office machinery
1801,rubbermaid commercial,g781,rubbermaid commercial blue polyvinyl alcohol sponge mop head refill,8.29,soi items - grocery hba pets
1802,hp,c6658an,hp 58 photo inkjet print cartridge c6658an,28.88,printers
1803,iris,usoa400,irispen express 6 usb pen scanner for pcs macs by iris,109.82,electronics - general
1804,solo,rs9cyw,solo cup company centerpiece mediumweight white foam dinnerware 9 diameter 125 pack,13.97,house wares
1805,sandisk,sdsdb016gaw11,sandisk 16gb sdhc memory card,34.54,usb drives
1806,energizer,ea92bp-8,energizer lithium aaa battery,21.0,electronics - general
1807,speck,spk-a0405,ipod touch 4 fitted case tasty cakes pink,0.0,mp3 accessories
1808,sentry,sentry microbuds,sentry microbuds earbuds ho243 red,10.0,mp3 accessories
1809,da-lite,84374,da-lite da-mat tensioned advantage electrol - av format 8 x 10 diagonal,3077.99,electronics - general
1810,microsoft,d1t00011,microsoft comfort optical mouse 3000 silver blue,19.95,mice
1811,fellowes,9182201,fellowes mouse pad and wrist support combination - blue gel,11.84,electronics - general
1812,apc,p7t10,apc essential surgearrest 7 outlet phone line protection 10 ft power cord p7t10,15.88,computers
1813,xantech,283tpd,xantech 283tpd designer twin plug blink emitter,14.88,stereos/audio
1814,quartet,48123,quartet mail organizer shelf,5.97,stationery & office machinery
1815,wilson jones,21403,wilson jones super heavy weight sheet protector,10.94,stationery & office machinery
1816,lexmark,e450h11a,lexmark e450h11a toner 11000 page-yield black,248.27,printers
1817,,,avery durable view binder with 1 ez-turn ring 3-pack bundle,6.68,electronics-inflexible kit
1818,hp,p6823wb,hp black pavilion p6823wb desktop pc bundle with amd phenom ii 521 dual-core processor 20 wled monitor 1tb hard drive and windows 7 home premium,498.0,desktop computers
1819,,7204,boardwalk pvc food wrap film,19.49,home - general
1820,lavazza,2431,lavazza gran filtro italian dark roast coffee 30ct,55.97,beverages
1821,mach speed,eclipsecld2pl,mach speed 2gb mp3 player cld2pl purple,22.0,mp3
1822,comprehensive,f-blcm,comprehensive f jack to jack barrel chassis mount set of 25,33.75,tv accessories
1823,,12jl,dart plastic vented lids 1000ct,21.97,house wares
1824,belkin,f2n028-06-gld,belkin f2n028-06-gld gold series monitor replacement cable,7.88,electronics - general
1825,philips,spp3160c/17,philips 6-outlet 3 surge protector,0.0,electronics - general
1826,,16j16,dart 16 ounce foam drink cups 1000ct,64.97,house wares
1827,casio,ex-zs10bk,casio exilim ex-zs10 14.1 mp digital camera black w 5x optical zoom 2.7 lcd display,120.0,digital cameras
1828,kimberly-clark professional,01510,kimberly-clark professional scott c-fold white paper towels 200 sheets 12 ct,61.97,home care
1829,viewsonic,3dv5,viewsonic pocket camcorder projector,129.98,camcorders
1830,,c3165fbl,san jamar adjustable frosted water cup dispenser,10.46,home - general
1831,da-lite,85691,da-lite matte white advantage manual with csr - av format 9 x 12 diagonal,1355.99,electronics - general
1832,arkon,sgt-7ss,arkon sgt-7ss sun shade for samsung galaxy tab,16.88,car stereos
1833,scosche,su03b,scosche 1993-up select subaru power 4-speaker connector,9.88,car stereos
1834,guardian,eg030504,guardian ecoguard indoor rubber wiper mats 36 x 60 charcoal,55.97,rugs
1835,,epflcc,eco-products flat compostable cold drink cup lids 1000ct,81.97,house wares
