ref_id,journal_title,pub_forum,contributors
545,data placement in shared-nothing parallel database systems,vldb j.,"manish mehta , david j. dewitt"
546,the bess object storage manager : architecture overview,sigmod record,"alexandros biliris , euthimios panagos"
547,the cougar project : a work-in-progress report,sigmod record,"agathoniki trigoni , rajmohan rajaraman , alan j. demers , yong yao , johannes gehrke"
548,model-based information integration in a neuroscience mediator system,vldb,"bertram ludäscher , amarnath gupta , maryann e. martone"
549,space-efficient online computation of quantile summaries,sigmod conference,"sanjeev khanna , michael greenwald"
550,chip-secured data access : reconciling access rights with data encryption,vldb,"philippe pucheral , lilan wu , luc bouganim , françois dang ngoc"
551,the pointcast network,sigmod conference,"vibha dayal , satish ramakrishnan"
552,integration approaches for cim,sigmod conference,moira c. norrie
553,toward network data independence,sigmod record,joseph m. hellerstein
554,cq : a personalized update monitoring toolkit,sigmod conference,"david buttler , tong zhou , ling liu , paul benninghoff , wei han , calton pu , fenghua yu , wei tang , john biggs"
555,the lowell report,sigmod conference,"hans-jörg schek , michael stonebraker , jim gray , jeffrey d. ullman"
556,distributing queries over low-power wireless sensor networks,sigmod conference,"samuel madden , joseph m. hellerstein"
557,closest pair queries in spatial databases,sigmod conference,"yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos"
558,control strategies for complex relational query processing in shared nothing systems,sigmod record,"lionel brunie , harald kosch"
559,database selection using actual physical and acquired logical collection resources in a massive domain-specific operational environment,vldb,"xi s. guo , jack g. conrad , peter jackson , monem meziou"
560,generic schema matching with cupid,vldb,"philip a. bernstein , erhard rahm , jayant madhavan"
561,a query language and optimization techniques for unstructured data,sigmod conference,"gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu"
562,bess : storage support for interactive visualization systems,sigmod conference,"william o'connell , thomas a. funkhouser , alexandros biliris , euthimios panagos"
563,optimizing object queries using an effective calculus,acm trans . database syst .,"leonidas fegaras , david maier"
564,an early look at xquery,sigmod record,"andrew eisenberg , jim melton"
565,the complexity of transformation-based join enumeration,vldb,"césar a. galindo-legaria , martin l. kersten , arjan pellenkoft"
566,gembase : a geometric mediator for brain analysis with surface ensembles,vldb,"amarnath gupta , simone santini"
567,a data transformation system for biological data sources,vldb,"susan b. davidson , limsoon wong , kyle hart , peter buneman , g. christian overton"
568,similarity search in high dimensions via hashing,vldb,"rajeev motwani , aristides gionis , piotr indyk"
569,object normal forms and dependency constraints for object-oriented schemata,acm trans . database syst .,"zahir tari , stefano spaccapietra , john stokes"
570,cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications,vldb,"wang-pin hsiung , kunihiro taniguchi , yusuf akca , oliver po , wen-syan li , divyakant agrawal , k. selçuk candan"
571,structural function inlining technique for structurally recursive xml queries,vldb,"jun-ki min , chin-wan chung , chang-won park"
572,offering a precision-performance tradeoff for aggregation queries over replicated data,vldb,"jennifer widom , chris olston"
573,tavant system architecture for sell-side channel management,vldb,"subbu n. subramanian , srinivasa narayanan"
574,clustering validity checking methods : part ii,sigmod record,"michalis vazirgiannis , maria halkidi , yannis batistakis"
575,reminiscences on influential papers,sigmod record,"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross"
576,efficient evaluation of queries in a mediator for websources,sigmod conference,"tolga urhan , laura bright , vladimir zadorozhny , maria-esther vidal , louiqa raschid"
577,d ( k ) - index : an adaptive structural summary for graph-structured data,sigmod conference,"chen qun , andrew lim , kian win ong"
578,are quorums an alternative for data replication ?,acm trans . database syst .,"bettina kemme , ricardo jiménez-peris , marta patiño-martínez , gustavo alonso"
579,"probabilistic temporal databases , i : algebra",acm trans . database syst .,"alex dekhtyar , robert ross , v. s. subrahmanian"
580,implementing the spirit of sql-99,sigmod conference,paul brown
581,content integration for e-business,sigmod conference,"joseph m. hellerstein , michael stonebraker"
582,designing and mining multi-terabyte astronomy archives : the sloan digital sky survey,sigmod conference,"alexander s. szalay , donald r. slutz , ani thakar , jim gray , peter z. kunszt"
583,mining needle in a haystack : classifying rare classes via two-phase rule induction,sigmod conference,"ramesh c. agarwal , mahesh v. joshi"
584,sqlem : fast clustering in sql using the em algorithm,sigmod conference,"paul cereghini , carlos ordonez"
585,s-topss : semantic toronto publish/subscribe system,vldb,"ioana burcea , milenko petrovic , hans-arno jacobsen"
586,managing business processes via workflow technology,vldb,frank leymann
587,control : continuous output and navigation technology with refinement on-line,sigmod conference,"bruce lo , tali roth , ron avnur , joseph m. hellerstein , chris olston , kirk wylie , bhaskaran raman , vijayshankar raman"
588,a metadatabase system for semantic image search by a mathematical model of meaning,sigmod record,"yasushi kiyoki , takanari hayama , takashi kitagawa"
589,dlfm : a transactional resource manager,sigmod conference,"hui-i hsiao , inderpal narang"
590,hypertext databases and data mining,sigmod conference,soumen chakrabarti
591,dynamic service matchmaking among agents in open information environments,sigmod record,"matthias klusch , katia p. sycara , seth widoff , jianguo lu"
592,open issues in parallel query optimization,sigmod record,"waqar hasan , patrick valduriez , daniela florescu"
593,database issues in telecommunications network management,sigmod conference,ilsoo ahn
594,mapinfo spatialware : a spatial information server for rdbms,vldb,chebel mina
595,efficient and cost-effective techniques for browsing and indexing large video databases,sigmod conference,"kien a. hua , jung-hwan oh"
596,the generalized pre-grouping transformation : aggregate-query optimization in the presence of dependencies,vldb,"timos k. sellis , aris tsois"
597,mineset ( tm ) : a system for high-end data mining and visualization,vldb,?
598,krdb ' 98 : the 5th international workshop on knowledge representation meets databases,sigmod record,"alexander borgida , martin staudt , vinay k. chaudhri"
599,the drill down benchmark,vldb,"peter a. boncz , tim rühl , fred kwakkel"
600,"fast , randomized join-order selection - why use transformations ?",vldb,"arjan pellenkoft , césar a. galindo-legaria , martin l. kersten"
601,expressing business rules,sigmod conference,ronald g. ross
602,fast joins using join indices,vldb j.,"kenneth a. ross , zhe li"
603,discovering all most specific sentences,acm trans . database syst .,"sanjeev saluja , hannu toivonen , roni khardon , heikki mannila , ram sewak sharm , dimitrios gunopulos"
604,adaptive multi-stage distance join processing,sigmod conference,"sukho lee , bongki moon , hyoseop shin"
605,falcon : feedback adaptive loop for content-based retrieval,vldb,"christos faloutsos , leejay wu , katia p. sycara , terry r. payne"
606,the fittest survives : an adaptive approach to query optimization,vldb,"kian-lee tan , son dao , hongjun lu"
607,building database-driven electronic catalogs,sigmod record,sherif danish
608,content-based image indexing,vldb,tzi-cker chiueh
609,towards self-tuning data placement in parallel database systems,sigmod conference,"mong-li lee , beng chin ooi , anirban mondal , kian-lee tan , masaru kitsuregawa"
610,efficient optimistic concurrency control using loosely synchronized clocks,sigmod conference,"barbara liskov , atul adya , robert gruber , umesh maheshwari"
611,rondo : a programming platform for generic model management,sigmod conference,"philip a. bernstein , erhard rahm , sergey melnik"
612,optimization techniques for queries with expensive methods,acm trans . database syst .,joseph m. hellerstein
613,eliminating costly redundant computations from sql trigger executions,sigmod conference,"françois llirbat , françoise fabret , eric simon"
614,the need for distributed asynchronous transactions,sigmod conference,"lyman do , prabhu ram , pamela drew"
615,cache portal : technology for accelerating database-driven e-commerce web sites,vldb,"yusuf akca , cemal yilmaz , k. selçuk candan , wen-syan li , wei-kuang waine huang , qiong luo , divyakant agrawal , wang-pin hsiung , oliver po"
616,mv3r-tree : a spatio-temporal access method for timestamp and interval queries,vldb,"dimitris papadias , yufei tao"
617,"o-o , what 's happening to db2 ?",sigmod conference,"richard swagerman , nelson mendonça mattos , michael j. carey , srinivasa narayanan , bennet vance , doug doole , serge rielau , donald d. chamberlin"
618,comparing hybrid peer-to-peer systems,vldb,"beverly yang , hector garcia-molina"
619,datasplash,sigmod conference,"vuk ercegovac , allison woodruff , michael stonebraker , mark lin , mybrid spalding , alexander aiken , chris olston , michael chu"
620,a case for dynamic view management,acm trans . database syst .,"nick roussopoulos , yannis kotidis"
621,chameleon : an extensible and customizable tool for web data translation,vldb,"riccardo torlone , paolo atzeni"
622,a workflow-based electronic marketplace on the web,sigmod record,"ibrahim cingil , nazife dimililer , nesime tatbul , ilker durusoy , asuman dogac , pinar koksal , sena nural arpinar"
623,learning to match ontologies on the semantic web,vldb j.,"jayant madhavan , robin dhamankar , alon y. halevy , pedro domingos , anhai doan"
624,ansi sql hierarchical processing can fully integrate native xml,sigmod record,michael m. david
625,the adabas buffer pool manager,vldb,harald schöning
626,gigascope : high performance network monitoring with an sql interface,sigmod conference,"yuan gao , theodore johnson , charles d. cranor , vladislav shkapenyuk , oliver spatscheck"
627,the merge/purge problem for large databases,sigmod conference,"salvatore j. stolfo , mauricio a. hernández"
628,query processing in spatial network databases,vldb,"nikos mamoulis , jun zhang , dimitris papadias , yufei tao"
629,a nanotechnology-based approach to data storage,vldb,"b. gotsmann , a. dholakia , g. cherubini , walter häberle , h. pozidis , michel despont , richard stutz , p. bächtold , c. hagleitner , t. r. albrecht , hugo e. rothuizen , gerd k. binnig , d. jubin , a. pantazi , m. a. lantz , e. eleftheriou , urs dürig , t. loeliger , peter vettiger , d. wiesmann , ute drechsler"
630,fast high-dimensional data search in incomplete databases,vldb,"kian-lee tan , cheng hian goh , beng chin ooi"
631,a template model for multidimensional inter-transactional association rules,vldb j.,"jeffrey xu yu , hongjun lu , ling feng , jiawei han"
632,boat-optimistic decision tree construction,sigmod conference,"wei-yin loh , raghu ramakrishnan , venkatesh ganti , johannes gehrke"
633,continuously adaptive continuous queries over streams,sigmod conference,"samuel madden , mehul a. shah , vijayshankar raman , joseph m. hellerstein"
634,diluting acid,sigmod record,"peter thanisch , colin stirling , tim kempster"
635,applying database visualization to the world wide web,sigmod record,"alberto o. mendelzon , dimitra vista , masum z. hasan"
636,dtd-directed publishing with attribute translation grammars,vldb,"michael benedikt , aoying zhou , rajeev rastogi , shihui zheng , chee yong chan , wenfei fan"
637,primitives for workload summarization and implications for sql,vldb,"surajit chaudhuri , prasanna ganesan , vivek r. narasayya"
638,safely and efficiently updating references during on-line reorganization,vldb,"betty salzberg , chendong zou"
639,an efficient method for checking object-oriented database schema correctness,acm trans . database syst .,"michele missikoff , anna formica , hans dietmar gröger"
640,reordering query execution in tertiary memory databases,vldb,"michael stonebraker , sunita sarawagi"
641,how system 11 sql server became fast,vldb,t. k. rengarajan
642,moving up the food chain : supporting e-commerce applications on databases,sigmod record,anant jhingran
643,apex : an adaptive path index for xml data,sigmod conference,"chin-wan chung , kyuseok shim , jun-ki min"
644,index configuration in object-oriented databases,vldb j.,elisa bertino
645,continuous nearest neighbor search,vldb,"dimitris papadias , yufei tao , qiongmao shen"
646,chair 's message,sigmod record,m. tamer özsu
647,towards a richer web object model,sigmod record,frank manola
648,homer : a model-based case tool for data-intensive web sites,sigmod conference,"paolo atzeni , paolo merialdo , marco pecorone , marco magnante , giansalvatore mecca"
649,performance of data-parallel spatial operations,vldb,"hanan samet , erik g. hoel"
650,managing large systems with db2 udb,sigmod conference,chris eaton
651,dbcache : middle-tier database caching for highly scalable e-business architectures,sigmod conference,"c. mohan , sailesh krishnamurthy , mehmet altinel , christof bornhövd , hamid pirahesh , berthold reinwald"
652,"information translation , mediation , and mosaic-based browsing in the tsimmis system",sigmod conference,"yannis papakonstantinou , joachim hammer , jennifer widom , jeffrey d. ullman , hector garcia-molina , kelly ireland"
653,reminiscences on influential papers,sigmod record,"jun rao , kenneth a. ross , johannes gehrke"
654,"review of the data warehouse toolkit : the complete guide to dimensional modeling ( 2nd edition ) by ralph kimball , margy ross . john wiley & sons , inc. 2002",sigmod record,alexander a. anisimov
655,adaptive precision setting for cached approximate values,sigmod conference,"boon thau loo , jennifer widom , chris olston"
656,extracting schema from semistructured data,sigmod conference,"serge abiteboul , rajeev motwani , svetlozar nestorov"
657,maximizing the output rate of multi-way join queries over streaming information sources,vldb,"josef burger , jeffrey f. naughton , stratis viglas"
658,fibonacci : a programming language for object databases,vldb j.,"antonio albano , renzo orsini , giorgio ghelli"
659,a theory of redo recovery,sigmod conference,"mark r. tuttle , david b. lomet"
660,an empirical performance study of the ingres search accelerator for a large property management database system,vldb,"john g. hughes , david a. bell , sarabjot s. anand"
661,distance-based indexing for high-dimensional metric spaces,sigmod conference,"z. meral özsoyoglu , tolga bozkaya"
662,provision of market services for eco compliant electronic market places,sigmod record,"sena nural arpinar , asuman dogac"
663,report on the 2001 sigmod and pods awards,sigmod record,philip a. bernstein
664,disseminating updates on broadcast disks,vldb,"swarup acharya , stanley b. zdonik , michael j. franklin"
665,"watermarking relational data : framework , algorithms and analysis",vldb j.,"peter j. haas , rakesh agrawal , jerry kiernan"
666,"title , foreword , preface to the special issue on spatial database systems , index vol . 3",vldb j.,?
667,research in database engineering at the university of namur,sigmod record,jean-luc hainaut
668,maintaining database consistency in presence of value dependencies in multidatabase systems,sigmod conference,"michèle cart , claire morpain , jean-françois pons , jean ferrié"
669,integrating and customizing heterogeneous e-commerce applications,vldb j.,"anat eyal , tova milo"
670,a semantic modeling approach for image retrieval by content,vldb j.,"ricky k. taira , ion tim ieong , wesley w. chu"
671,guest editorial,vldb j.,"yannis e. ioannidis , raghu ramakrishnan , philip a. bernstein"
672,electronic market : the roadmap for university libraries and members to survive in the information jungle,sigmod record,"peter c. lockemann , bethina schmitt , michael christoffel , sebastian pulkowski"
673,altruistic locking,acm trans . database syst .,"jeannie shands , kenneth salem , hector garcia-molina"
674,query processing in tertiary memory databases,vldb,sunita sarawagi
675,component-based e-commerce : assesment of current practices and future directions,sigmod record,"martin bichler , arie segev , j. leon zhao"
676,"pattern matching and pattern discovery in scientific , program , and document databases",sigmod conference,"kaizhong zhang , dennis shasha , jason tsong-li wang"
677,building scalable internet applications with oracle8i server,vldb,"olga peschansky , josé alberto fernández , julie basu"
678,the montage extensible datablade achitecture,sigmod conference,michael ubell
679,quorum consensus in nested transaction systems,acm trans . database syst .,"kenneth j. goldman , nancy a. lynch"
680,model and verification of a data manager based on aries,acm trans . database syst .,dean kuo
681,spatial queries in dynamic environments,acm trans . database syst .,"yufei tao , dimitris papadias"
682,learning response time for websources using query feedback and application in query optimization,vldb j.,"jean-robert gruser , vladimir zadorozhny , louiqa raschid , tao zhan"
683,virtual database technology,sigmod record,"venky harinarayan , ashish gupta , anand rajaraman"
684,time management for new faculty,sigmod record,"anastassia ailamaki , johannes gehrke"
685,much ado about shared-nothing,sigmod record,"michael g. norman , peter thanisch , thomas zurek"
686,optimized query execution in large search engines with global page ordering,vldb,"torsten suel , xiaohui long"
687,query optimization at the crossroads ( panel ),sigmod conference,surajit chaudhuri
688,strudel : a web-site management system,sigmod conference,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu"
689,chair 's message,sigmod record,m. tamer özsu
690,on supporting containment queries in relational database management systems,sigmod conference,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang"
691,the p operator : discovering and ranking associations on the semantic web,sigmod record,"kemafor anyanwu , amit p. sheth"
692,repositories and object oriented databases,sigmod record,philip a. bernstein
693,editor 's notes,sigmod record,ling liu
694,gte superpages : using ir techniques for searching complex objects,vldb,"steven d. whitehead , himanshu sinha , michael murphy"
695,a data model and data structures for moving objects databases,sigmod conference,"markus schneider , enrico nardelli , luca forlizzi , ralf hartmut güting"
696,middle east technical university software research and development center,sigmod record,asuman dogac
697,the handwritten trie : indexing electronic ink,sigmod conference,"padmavathi vallabhaneni , daniel barbará , walid g. aref"
698,research issues in federated database systems : report of efdbs '97 workshop,sigmod record,"fèlix saltor , mark roantree , mark w. w. vermeer , wilhelm hasselbring , martin schönhoff , markus strässler , barry eaglestone , stefan conrad"
699,dynamic multidimensional histograms,sigmod conference,"piotr indyk , sudipto guha , nitin thaper , nick koudas"
700,inverted files versus signature files for text indexing,acm trans . database syst .,"kotagiri ramamohanarao , justin zobel , alistair moffat"
701,aggregation algorithms for very large compressed data warehouses,vldb,"jaideep srivastava , jianzhong li , doron rotem"
702,delivering presentations from multimedia servers,vldb j.,"nevzat hurkan balkir , gultekin özsoyoglu"
703,automated resolution of semantic heterogeneity in multidatabases,acm trans . database syst .,"a. r. hurson , simin h. pakzad , m. w. bright"
704,chair 's message,sigmod record,m. tamer özsu
705,book review column,sigmod record,karl aberer
706,the design and performance evaluation of alternative xml storage strategies,sigmod record,"david j. dewitt , jianjun chen , chun zhang , feng tian"
707,containment of conjunctive queries : beyond relations as sets,acm trans . database syst .,"raghu ramakrishnan , yannis e. ioannidis"
708,from the guest editors - special section on data management issues in mobile computing,sigmod record,"margaret h. dunham , abdelsalam helal"
709,a one-pass aggregation algorithm with the optimal buffer size in multidimensional olap,vldb,"yang-sae moon , young-koo lee , il-yeol song , kyu-young whang"
710,turbo-charging vertical mining of large databases,sigmod conference,"jayant r. haritsa , devavrat shah , s. sudarshan , pradeep shenoy , mayank bawa , gaurav bhalotia"
711,predator : an or-dbms with enhanced data types,sigmod conference,"praveen seshadri , mark paskin"
712,exploiting main memory dbms features to improve real-time concurrency control protocols,sigmod record,"özgür ulusoy , alejandro p. buchmann"
713,approximate query processing : taming the terabytes,vldb,"minos n. garofalakis , phillip b. gibbons"
714,querying multi-dimensional data indexed using the hilbert space-filling curve,sigmod record,"peter j. h. king , jonathan k. lawder"
715,theory of answering queries using views,sigmod record,alon y. halevy
716,griddb : a database interface to the grid,sigmod conference,"david t. liu , devesh parekh , michael j. franklin"
717,controlling access to published data using cryptography,vldb,"gerome miklau , dan suciu"
718,approximate query processing using wavelets,vldb j.,"rajeev rastogi , minos n. garofalakis , kyuseok shim , kaushik chakrabarti"
719,minimal probing : supporting expensive predicates for top-k queries,sigmod conference,"kevin chen-chuan chang , seung-won hwang"
720,"advanced data processing in krisys : modeling concepts , implementation techniques , and client/server issues",vldb j.,"nelson mendonça mattos , joachim thomas , theo härder , stefan deßloch , bernhard mitschang"
721,letter to sigmod record editor,sigmod record,nazih elderini
722,progress on hpcc and nii,sigmod record,marianne winslett
723,an aspect of query optimization in multidatabase systems ( extended abstract ),sigmod record,"chiang lee , hongjun lu , chia-jung chen"
724,novel approaches in query processing for moving object trajectories,vldb,"yannis theodoridis , dieter pfoser , christian s. jensen"
725,microsoft english query 7.5 : automatic extraction of semantics from relational databases and olap cubes,vldb,adam blum
726,reminiscences on influential papers,sigmod record,"kenneth a. ross , anastassia ailamaki , alfred v. aho"
727,rate-based query optimization for streaming information sources,sigmod conference,"jeffrey f. naughton , stratis viglas"
728,emc information sharing : direct access to mvs data from unix and nt,sigmod conference,walt kohler
729,selectivity estimation in extensible databases - a neural network approach,vldb,"shaoyu zhou , m. seetha lakshmi"
730,data warehousing and business intelligence for e-commerce - book review,sigmod record,frank g. goethals
731,selectivity estimation using probabilistic models,sigmod conference,"daphne koller , lise getoor , benjamin taskar"
732,bridging heterogeneity : research and practice of database middleware technology,vldb,"günter sauter , fernando de ferreira rezende"
733,"what do those weird xml types want , anyway ?",vldb,steven j. derose
734,report on the 4th international conference on mobile data management,sigmod record,"panos k. chrysanthis , arkady b. zaslavsky , morris sloman"
735,a prototype content-based retrieval system that uses virtual images to save space,vldb,"leonard brown , le gruenwald"
736,warehousing workflow data : challenges and opportunities,vldb,"umeshwar dayal , ming-chien shan , angela bonifati , fabio casati"
737,declustering databases on heterogeneous disk systems,vldb,"doron rotem , sridhar seshadri , ling tony chen"
738,toward learning based web query processing,vldb,"yanlei diao , hongjun lu , zengping tian , songting chen"
739,information finding in a digital library : the stanford perspective,sigmod record,"tak w. yan , hector garcia-molina"
740,fast image retrieval using color-spatial information,vldb j.,"kian-lee tan , tat-seng chua , beng chin ooi , wynne hsu"
741,delivering high availability for inktomi search engines,sigmod conference,eric a. brewer
742,the araneus web-base management system,sigmod conference,"giansalvatore mecca , paolo merialdo , alessandro masci , paolo atzeni , giuseppe sindoni"
743,cure : an efficient clustering algorithm for large databases,sigmod conference,"sudipto guha , rajeev rastogi , kyuseok shim"
744,algorithms for materialized view design in data warehousing environment,vldb,"kamalakar karlapalem , jian yang , qing li"
745,enhanced hypertext categorization using hyperlinks,sigmod conference,"byron dom , piotr indyk , soumen chakrabarti"
746,lore : a lightweight object repository for semistructured data,sigmod conference,"janet l. wiener , jason mchugh , serge abiteboul , qingshan luo , anand rajaraman , dallan quass , jeffrey d. ullman , roy goldman , hugo rivero , jennifer widom , svetlozar nestorov , kevin haas"
747,vqbd : exploring semistructured data,sigmod conference,"jihwang yeo , sudarshan s. chawathe , thomas baby"
748,the grid : an application of the semantic web,sigmod record,"carole a. goble , david de roure"
749,grid and applications ( industrial session ),vldb,frank leymann
750,"i3 : intelligent , interactive investigaton of olap data cubes",sigmod conference,"sunita sarawagi , gayatri sathe"
751,algebraic change propagation for semijoin and outerjoin queries,sigmod record,"timothy griffin , bharat kumar"
752,checking the temporal integrity of interactive multimedia documents,vldb j.,"s. tserkezoglou , timos k. sellis , barbara pernici , michalis vazirgiannis , isabelle mirbel"
753,efficient filtering of xml documents with xpath expressions,vldb j.,"rajeev rastogi , pascal felber , chee yong chan , minos n. garofalakis"
754,"of crawlers , portals , mice and men : is there more to mining the web ? ( panel )",sigmod conference,"kyuseok shim , rajeev rastogi , minos n. garofalakis , sridhar ramaswamy"
755,design and user testing of a multi-paradigm query interface to an object-oriented database,sigmod record,"dac khoa doan , alistair c. kilgour , norman w. paton"
756,efficient checking of temporal integrity constraints using bounded history encoding,acm trans . database syst .,jan chomicki
757,what is the nearest neighbor in high dimensional spaces ?,vldb,"charu c. aggarwal , alexander hinneburg , daniel a. keim"
758,dtl 's dataspot : database exploration as easy as browsing the web,sigmod conference,"gadi entin , shai geva , eran palmon , shaul dar"
759,3d geographic network displays,sigmod record,"taosong he , stephen g. eick , kenneth c. cox"
760,"data-driven , one-to-one web site generation for data-intensive applications",vldb,"stefano paraboschi , piero fraternali , stefano ceri"
761,processing star queries on hierarchically-clustered fact tables,vldb,"nikos karayannidis , frank ramsak , timos k. sellis , rudolf bayer , robert fenk , klaus elhardt , volker markl , roland pieringer , aris tsois"
762,winnowing : local algorithms for document fingerprinting,sigmod conference,"alexander aiken , daniel shawcross wilkerson , saul schleimer"
763,access path support for referential integrity in sql2,vldb j.,"joachim reinert , theo härder"
764,enhanced nearest neighbour search on the r-tree,sigmod record,"ada wai-chee fu , king lum cheung"
765,eos : an extensible object store,sigmod conference,"euthimios panagos , alexandros biliris"
766,schemasql - a language for interoperability in relational multi-database systems,vldb,"fereidoon sadri , laks v. s. lakshmanan , iyer n. subramanian"
767,reconciling schemas of disparate data sources : a machine-learning approach,sigmod conference,"anhai doan , pedro domingos , alon y. halevy"
768,optimal clip ordering for multi-clip queries,vldb j.,"raymond t. ng , paul shum"
769,process automation as the foundation for e-business,vldb,"fabio casati , ming-chien shan"
770,research issues in active database systems : report from the closing panel at ride-ads '94,sigmod record,jennifer widom
771,acm tods in this internet age,sigmod record,richard t. snodgrass
772,algorithms for querying by spatial structure,vldb,"nikos mamoulis , dimitris papadias , vasilis delis"
773,query by diagram : a graphical environment for querying databases,sigmod conference,"giuseppe santucci , tiziana catarci"
774,user-defined table operators : enhancing extensibility for ordbms,vldb,"bernhard mitschang , michael jaedicke"
775,guest editor 's introduction,sigmod record,asuman dogac
776,xrank : ranked keyword search over xml documents,sigmod conference,"feng shao , lin guo , chavdar botev , jayavel shanmugasundaram"
777,chair 's message,sigmod record,richard t. snodgrass
778,infering structure in semistructured data,sigmod record,"rajeev motwani , serge abiteboul , svetlozar nestorov"
779,efficacious data cube exploration by semantic summarization and compression,vldb,"jian pei , laks v. s. lakshmanan , yan zhao"
780,high-performance sorting on networks of workstations,sigmod conference,"david e. culler , joseph m. hellerstein , david a. patterson , andrea c. arpaci-dusseau , remzi h. arpaci-dusseau"
781,transactional information systems - book review,sigmod record,marc h. scholl
782,polymorphism and type inference in database programming,acm trans . database syst .,"atsushi ohori , peter buneman"
783,an effective deductive object-oriented database through language integration,vldb,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes"
784,cache conscious indexing for decision-support in main memory,vldb,"kenneth a. ross , jun rao"
785,analyzing quantitative databases : image is everything,vldb,"reuven kashi , nathan s. netanyahu , amihood amir"
786,dbcache : database caching for web application servers,sigmod conference,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay"
787,iterative dynamic programming : a new class of query optimization algorithms,acm trans . database syst .,"donald kossmann , konrad stocker"
788,high-concurrency locking in r-trees,vldb,"douglas banks , marcel kornacker"
789,electronic commerce : tutorial,sigmod conference,"nabil r. adam , yelena yesha"
790,spatial and temporal content-based access to hypervideo databases,vldb j.,"ahmed k. elmagarmid , haitao jiang"
791,distributed processing over stand-alone systems and applications,vldb,"claus hagen , hans-jörg schek , gustavo alonso , markus tresch"
792,synchronizing a database to improve freshness,sigmod conference,"junghoo cho , hector garcia-molina"
793,the double life of the transaction abstraction : fundamental principle and evolving system concept,vldb,henry f. korth
794,density biased sampling : an improved method for data mining and clustering,sigmod conference,"christopher r. palmer , christos faloutsos"
795,the tsql2 final language definition announcement,sigmod record,?
796,efficient progressive skyline computation,vldb,"pin-kwang eng , kian-lee tan , beng chin ooi"
797,mpeg-7 and multimedia database systems,sigmod record,harald kosch
798,storage and querying of e-commerce data,vldb,"yirong xu , rakesh agrawal , amit somani"
799,dynamat : a dynamic view management system for data warehouses,sigmod conference,"nick roussopoulos , yannis kotidis"
800,how to summarize the universe : dynamic maintenance of quantiles,vldb,"martin strauss , s. muthukrishnan , yannis kotidis , anna c. gilbert"
801,parameterized complexity for the database theorist,sigmod record,martin grohe
802,editor 's notes,sigmod record,michael j. franklin
803,formal semantics and analysis of object queries,sigmod conference,gavin m. bierman
