object_id,author_team,publication_year,event_name
38605,"fg hayden , r atmar , m schillingâ ? ¦",,san
38606,s liao,,"information and software technology ,"
38607,g wang,,"see davis ,"
38608,j clifford,1991.0,proceedings of the 1991 acm sigmod international conference
38609,"sa watson , d michaeli , tm morris , g robinson , jd",,"procs aacr ,"
38610,"j varon , jm gonzalez , gl sternback , ee bellairs",1994.0,"journal of emergency medicine ,"
38611,"rc carrasco , j oncina , j calera-rubio",2001.0,"machine learning ,"
38612,sp luttrell,1989.0,"iee proceedings ,"
38613,r manakadan,1985.0,
38614,"s adal , vs subrahmanian",,"data structures and query processing , submitted for journal & hellip ; ,"
38615,"mt roth , f ozcan , lm haas",1999.0,"& hellip ; international conference on very large data bases table of & hellip ; ,"
38616,"r king , m novak",1992.0,"acm sigmod record ,"
38617,av filippasâ ? ¦,,"& hellip ; al. : theiasa racetrackmicrotronfacility in athens , greece ,"
38618,c thaiss,1988.0,"new directions for teaching and learning ,"
38619,ry calne,1970.0,"transplant proc ,"
38620,"a albani , a keiblinger , k turowski , c winnewisser",2003.0,"lecture notes in computer science ,"
38621,"m burke , s millar",1998.0,"aslib proceedings ,"
38622,"m crossley , nj davies , aj mcgrath , maz rejman -",1999.0,"bt technology journal ,"
38623,"hml davies , sa panaro",,
38624,"dw hosmer , s lemeshow",1989.0,
38625,"m bauer , d dengler , g paul , m meyer",2000.0,"communications-acm ,"
38626,epf chan,,
38627,"e diener , f fujita",1995.0,"journal of personality and social psychology ,"
38628,"r torlone , p atzeni",2004.0,"acm sigmod record ,"
38629,"j segen , s kumar",,
38630,re meier,,"see williams ,"
38631,se forrester,1998.0,"bt technology journal ,"
38632,r weston,,"computerworld ,"
38633,j brian,,"d. , university of california , santa"
38634,dw parkinson,2001.0,"bt technology journal ,"
38635,"ayh lu , r kuntzman , s west , m jacobson",,"i. biol . chem ,"
38636,"e amenta , d halfmann , mp young",1999.0,"mobilization-san diego - ,"
38637,"c albajar , r kinnunen , j tuominiemi , v karimaki , m",1991.0,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,"
38638,"h wang , s park , w fan , p yu",,proceedings of acm sigmod
38639,t gregorek,,"electronic house ,"
38640,vi utkin,1992.0,
38641,"r kimball , m ross",2003.0,"sigmod record ,"
38642,j lassman,2001.0,"journal of emergency nursing ,"
38643,m blodgett,,
38644,"b moeller , n hupert",,"electronic learning ,"
38645,n nahar,,
38646,"s bergamaschi , c sartori",,acm trans . on database
38647,g lawton,,
38648,"m storini , ma shea , df smart , eg cordaro",,proc . 26th int . cosmic ray
38649,"a vaz , e fernandes , m gomes",,"submitted for publication ,"
38650,"sc hsu , ihh lee",1994.0,"proceedings of siggraph ,"
38651,"k goto , y kambayashi",,
38652,"a trice , m treacy",,"san diego ,"
38653,je maglitta,,"computerworld ,"
38654,"dd clark , c partridge , jc ramming , j wroclawski",,proceedings of acm
38655,"m barrett , s sahayâ ? ¦",,
38656,"z nie , s kambhampati , t hernandez",2003.0,"proceedings of the international conference on very large & hellip ; ,"
38657,m jones,,"pc magazine ,"
38658,"aj borr , gr putzolu",,
38659,"ig richardson , hvc bidirectional",,"proc . 26th int . cosmic ray conf ,"
38660,"t gaasterland , j lobo",,vldb
38661,"h berenson , p bernstein , j gray , j melton",,"proceedings of the 1995 acm sigmod international conference & hellip ; ,"
38662,"b falsafi , da wood",1996.0,"computer sciences technical report-university of wisconsin & hellip ; ,"
38663,"m koyamada , k kinoshita , n iino , c kanagaki",,"proc . 29th japanese conf . rem . sens ,"
38664,d denning,,"ieee computer ,"
38665,da timofeev,,"geography ,"
38666,"t carnase , b gorkin , bm pedersen",1995.0,
38667,d rindskopf,1986.0,"new directions for program evaluation ,"
38668,"f korn , n sidiropoulos , c faloutsos , e siegel , z",,"proceedings of the 22nd international conference on very & hellip ; ,"
38669,"dg feitelson , l rudolph",1995.0,"lecture notes in computer science ,"
38670,cz qin,,
38671,"a zhao , j stasko",,submitted for
38672,"cm fiol , ma lyles",1985.0,"the academy of management review ,"
38673,d watson,1988.0,"journal of personality and social psychology ,"
38674,umr wang,,technical report microsoft
38675,wr borg,,"md ,"
38676,c frye,2003.0,"application development trends ,"
38677,te cyrs,,"new directions for teaching and learning ,"
38678,"w aref , d barbarã ¡ , p vallabhaneni",1995.0,"proceedings of the 1995 acm sigmod international conference & hellip ; ,"
38679,"j sousa , f pereira",,"cdc procs. , sydney , dcc ,"
38680,"h ashman , j verbyla",,"proceedings of acm hypertext ,"
38681,"js song , s satoh , cv ramamoorthy",,"proceedings of tenconâ ?? 87 , seoul , korea , august 25â ?? 28 ,"
38682,"g ã?zsoyoglu , v matos",1985.0,"proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,"
38683,"ab sinha , lv kale , b ramkumar",1993.0,
38684,"m helliwell , m perkowski",,"proc . acm/ieee design automation conf ,"
38685,ns english,,
38686,mo senge,2005.0,"acc . chem . res ,"
38687,r manning,,"the at ,"
38688,r bhashyam,,
38689,"aw lohman , b wirnitzer",,"proc . ieee ,"
38690,i diving,,"seattle ,"
38691,"m jaedicke , b mitschang , udt operators",,proceedings of the 25th international conference on very
38692,"j kiernan , e simon",1989.0,"sigmod record ,"
38693,r whiting,,"electronic business ,"
38694,d braess,1986.0,
38695,lf urwick,1947.0,
38696,"g banerjee , d sidhu",2002.0,"computer networks ,"
38697,ac yao,,
38698,"r agrawal , a borgida , hv jagadish",,proc . acm
38699,"a macnab , g vahala , l vahala , p pavlo",,
38700,s brandt,1998.0,
38701,da manolescu,,
38702,"w kiessling , g landherr",1983.0,"vldb ,"
38703,p honeyman,,"proc . 6th vldb ,"
38704,a de luca,,
38705,"s jajodia , d barbarã ¡ , a brodsky , l kerschberg , a",1997.0,"acm sigmod record ,"
38706,ca palomba,1997.0,"new directions for higher education ,"
38707,"s kumashiro , r rohrer , a strojwas",,"proc . int . electron devices meeting ,"
38708,"ea kudera , cm sullivan , ge johnson , ag birmingham",,"inc. , seattle , washington . appendices and ,"
38709,r kretzschmar,,"& hellip ; for atmospheric science lapeth , eth zurich , switzerland , & hellip ; ,"
38710,"t terasawa , k maezawa , m hoshino , n shimada , t",1999.0,"proc . 26th int . cosmic ray conf. , salt lake city ,"
38711,"de walling , ta quine",,"physical geography ,"
38712,"ã ? ã?ã?ã ? , ã ? ã ? , ã?ã ? ã ? , ã ? ã?ã?ã?ã ? , ã ? ã?ã?ã ? ,",2003.0,"sigmod record ,"
38713,fh allen,,acc . chem .
38714,h hoji,,"university of washington , seattle ,"
38715,soca note,,
38716,"ds choi , c bae , dj kim",2004.0,"proceedings of the i mech e part d journal of automobile & hellip ; ,"
38717,j korpela,1998.0,"ieee computer ,"
38718,jj kuttamathiathu,,"proc . int . congr . zool ,"
38719,p dickey,1997.0,
38720,"rr schmidt , c shahabi",,proceedings of the twenty-rst acm sigmod symposium on
38721,"g massonie , m gamier , jm bov",,"see ref ,"
38722,"d gregory , k bartlett , a de geus , gh socrates",,"proceedings of 23rd dac ,"
38723,ah segars,1994.0,"proceedings of the international conference on information & hellip ; ,"
38724,hh kausch,1987.0,"springer-verlag , ,"
38725,"ka hua , k vu , jh oh",1999.0,"proceedings of the seventh acm international conference on & hellip ; ,"
38726,"e kobayashi , r lord , m green , ni walker , n kamada ,",1999.0,"transplantation proceedings ,"
38727,"k hirao , y hata , m deguchi , i yao , m ogura , c",2000.0,"genes to cells ,"
38728,"e george , d scholten , c buechler",1996.0,"journal of emergency medicine ,"
38729,ef nemeth,1996.0,
38730,"b kouvaritakis , ja rossiter , aot chang",1992.0,"iee proceedings ,"
38731,"dd pollard , p segall",1987.0,"fracture mechanics of rock ,"
38732,"k yokoi , f kanehiro , k kaneko , k fujiwara , s",,
38733,s bozkurt,,
38734,"a pulvirenti , f garbagnati , e regalia , j coppa , a",2001.0,"transplantation proceedings ,"
38735,"ym wang , b vo , r roussev , c verbowski , a johnson",,
38736,"p herhold , e zimmermann , g fettweis",2005.0,"computer networks ,"
38737,"r krishnamurthy , s naqvi",1988.0,"vldb ,"
38738,"j davis , r week , c revett",,"bt technology journal ,"
38739,"o nierstrasz , dc tsichritzis",1989.0,"acm press frontier series ,"
38740,dm bloom,,
38741,"a kerminen , k jokinen",,"procs of the eacl workshop dialogue systems : interaction , & hellip ; ,"
38742,dd cooper,1998.0,"new directions for teaching and learning ,"
38743,"cj fombrun , nm tichy , ma devanna",1984.0,
38744,"ey wu , ww abadeer , lk han , sh lo , g hueckel",,"proc . irps ,"
38745,"tm mcmahon , k bã ¶ rner",2001.0,
38746,"ae kamal , gk janssens",1999.0,"computer networks ,"
38747,ec pielou,1975.0,
38748,y xiao,,"unpublished manuscript ,"
38749,"h jagdish , n koudas , s muthukrishnan",,"proc . vldb ,"
38750,cwf everitt,,"phil . mag ,"
38751,ma mcfarland,1990.0,"social studies and the young learner ,"
38752,"k ramamritham , r sivansakaran , ja stankovic , dt",,acm sigmod record . special issues on
38753,th havelock,,"phil . mag ,"
38754,of staffans,,
38755,"j bolz , p schroder",2003.0,"submitted for publication ,"
38756,"y xiao , k thulasiraman , g xue , a jã 1/4 ttner",,submitted for
38757,pa lawler,2003.0,"new directions for adult and continuing education ,"
38758,l copeland,,"computerworld ,"
38759,mc wu,,
38760,c hanes,1998.0,
38761,"n yorke-smith , c gervet",2003.0,"lecture notes in computer science ,"
38762,"s ghoshal , ca bartlett",1990.0,"the academy of management review ,"
38763,n petropoulos,,"demographic evolutions in post-war greece . athens : livanis ,"
38764,"g paxinos , c watson",,"san diego ,"
38765,"dh greenberg , u appenzeller",,
38766,"y li , kw wan , x yan , c xu",2005.0,"proceedings of the 13th annual acm international conference & hellip ; ,"
38767,"acms anthology , p edition , e edition",,
38768,"pp bringuier , r bouvier , n berger , e piaton",1993.0,"cytometry-new york - ,"
38769,po bengtssonâ ? ¦,,
38770,"s leonardi , d raz",,proc . of the 29th ann . acm symp . on theory of
38771,"rn swamy , r jones , a charif",,"proc . int . symp ,"
38772,"ae dorokhov , ae radzhabov , mk volkov",,"at . nucl ,"
38773,"s kokkotos , ev ioannidis , t panayiotopoulos , cd",1995.0,"sigmod record ,"
38774,ia dubuque,,
38775,"ca crowther , mj keirse",2000.0,"cochrane database syst rev ,"
38776,j eisenstein,,
38777,"sj garland , na lynch",1998.0,
38778,s costello,,
38779,v tannen,1994.0,"proceedings of the thirteenth acm sigact-sigmod-sigart & hellip ; ,"
38780,"p ram , l do , p drew",1999.0,"sigmod record ,"
38781,"pa sissel , ca hansman , ce kasworm",2001.0,"new directions for adult and continuing education ,"
38782,t bacot,,
38783,"sy wang , ht kung",2002.0,"computer networks ,"
38784,"jl diaz , df garcia , k kim , cg lee , ll bello , jm",2002.0,"proceedings of the 23rd ieee real-time systems symposium ( & hellip ; ,"
38785,"r hotaka , m tsubaki",,
38786,c murphy,2003.0,"new directions for higher education ,"
38787,"a itai , m rodeh",,"proceedings of the 25 symposium on foundations of computer & hellip ; ,"
38788,"pa bemstein , bt blaustein , em clark",,"proceedings of 6th int &#39; l conference on vldb ,"
38789,"r aharoni , e berger , r ziv",,submitted for
38790,mj zygmunt,2001.0,
38791,p cochrane,1994.0,"bt technology journal ,"
38792,"v josifovski , m fontoura , a barta",2005.0,"the vldb journal the international journal on very large & hellip ; ,"
38793,"m rothbart , b park",,"journal of personality and social psychology ,"
38794,"r epstein , e stonebraker",,"proc . acm sigmod ,"
38795,a verkeyn,,"proceedings of the first ph. d. symposium of the faculty of & hellip ; ,"
38796,"a chatterjee , a rakshit",2004.0,"ieee transactions on knowledge and data engineering ,"
38797,"r ghiya , lj hendren",,"san diego , ca ,"
38798,"o eriksson , b frostell",,"manuscript to ,"
38799,h wadley,1983.0,"zurich , switzerland , 28 nov. -2 dec. 1983 ,"
38800,"dj fein , nr burstein , gg fein , ld lindberg",,"md ,"
38801,j blumerâ ? ¦,,"proc . 28th intern . cosmic ray conference , tsukuba ,"
38802,je reynolds,1997.0,"journal of emergency nursing ,"
38803,h philip,,"ieee computer ,"
38804,t selhs,,"proceedings of the 1986 acmsigmod international conference & hellip ; ,"
38805,b altered,,
38806,"je sammet , dw waugh , rw reiter jr",,conference proceedings on
38807,"v anupam , cl bajaj",,
38808,"t idehara , t tatsukawa , i ogawa , y shimizu , k",,"proc . 21st int . conf . on infrared and millimeter waves , & hellip ; ,"
38809,"j banerjee , w kim",,"proceedings acm/sigmod annual conference on management of & hellip ; ,"
38810,pe hook,,"approaches to grammaticalization ,"
38811,å 1/2 å 1/2,,"acc . chem . res ,"
38812,"m tsangans , j naughton",,"proc . sigmod ,"
38813,n jonasson,,"technical university of denmark ,"
38814,d funaro,1992.0,
38815,bd davison,2003.0,"sigmod record ,"
38816,h kopetz,,"ieee computer ,"
38817,"r harper , c stone",,"submitted for publication ,"
38818,"g koloniari , y petrakis , e pitoura , t tsotsos",2005.0,"proceedings of the 14th acm international conference on & hellip ; ,"
38819,"k stoel , j hendler",,"submitted for publication ,"
38820,r main,,"computerworld ,"
38821,m schkolnick,,"vldb ,"
38822,pr krause,1993.0,
38823,b katalinic,,"proc . 29th cirp international seminar on manufacturing & hellip ; ,"
38824,r banker,,"information and software technology ,"
38825,"ag randolph , ee wang",2000.0,"cochrane database syst rev ,"
38826,"d van campenhout , h al-asaad , jp hayes , t mudge ,",1998.0,"acm transactions on design automation of electronic systems ,"
38827,"ro sylvester , rt oglesby",,"uw civil engineering . seattle , washington ,"
38828,k zimmerman,,"vldb ,"
38829,"n schwarz , gl clore",,"journal of personality and social psychology ,"
38830,"k czajkowski , i foster , c kesselman , v sander , s",2002.0,"lecture notes in computer science ,"
38831,"gh botorog , h kuchen",,
38832,"s kartashev , s kartashev",,"ieee computer ,"
38833,"d gigone , r hastie",1993.0,"journal of personality and social psychology ,"
38834,ai mal ` tsev,1973.0,
38835,"s munch , r dillmann",1997.0,"proceedings of acm iui ,"
38836,b mitchell-powell,1995.0,"social studies and the young learner ,"
38837,"jj collins , m eaton",,
38838,g weikum,2002.0,"acm sigmod record ,"
38839,j jacques,,& hellip ; sur la theorie de la demonstration . travaux soc . sciences
38840,m schrage,,"computerworld ,"
38841,"n stuurman , a floore , e middelkoop , r van driel , l",1997.0,"cellular and molecular biology letters ,"
38842,"s berchtold , da keim",,"acm sigmod ,"
38843,"j fowler , d baker , r dargahi , v kouramajian , h",,proceedings of acm
38844,"kg schulze , fs grodzinsky",,
38845,"ff so , ly leu , sr forrest",1990.0,
38846,"s arabia , ua emirates",,
38847,"rd wiggins , j bynner",,"life at ,"
38848,m mullen,,"proc of 10th vldb ,"
38849,"p chwelos , i benbasat , as dexter",,
38850,s davidson,,"acm transactions on database systems ,"
38851,"a shepherd , l kerschberg",1984.0,"proceedings of the 1984 acm sigmod international conference & hellip ; ,"
38852,"p baugh , a gillies , p jastrzebski",1993.0,"information and software technology ,"
38853,"z tian , r ramakrishnan , mb livny",,"proceedings of the 1996 acm sigmod international conference & hellip ; ,"
38854,"jl carter , vs iyengar , bk rosen",,"proc . int . test conf ,"
38855,rh carlson,1989.0,"new directions for program evaluation ,"
38856,l bondi,1998.0,"urban geography ,"
38857,"m chen , y choo , j li",1991.0,"acm press frontier series ,"
38858,db lomet,1983.0,"proceedings of the 1983 acm sigmod international conference & hellip ; ,"
38859,"eh cordes , rb dunlop",,"acc . chem . res ,"
38860,"am gulmezoglu , gj hofmeyr",2002.0,"cochrane database syst rev ,"
38861,"j lever , m wallace , b richards",1995.0,"bt technology journal ,"
38862,"s gibson , j samosky , a mor , c fyock , wel grimson ,",1997.0,"lecture notes in computer science ,"
38863,a halevy,2003.0,"sigmod record ,"
38864,"ld lambourn , h hartnett , ah devol",,"seattle , washington , university of washington , special & hellip ; ,"
38865,"sj richards , jg kirkby , id currie",,
38866,s fraser,1990.0,"journal of emergency nursing ,"
38867,d spector,1988.0,"acm sigplan notices ,"
38868,"w williams , m brown , a hero",1991.0,"proc . spie ,"
38869,"y song , j yu , g li , y li , y wang , r xu",1996.0,"acc . chem . res ,"
38870,jc seferis,,"national academy of athens , greece , march ,"
38871,"koâ ?? donovan , boâ ?? brien , j kinsella , d ruane , d",2002.0,
38872,"c beer873 beeri , r ramakrishnan",,"proc . of the 6th acm sigmod-sigact symposium on principles & hellip ; ,"
38873,ideas.repec.org,,
38874,"s mohanty , vk prasanna , s neema , j davis",,
38875,"mk miller , ss brenner",,"proc . 28th int . field emission symposium ,"
38876,"m szummer , r picard",,"bombay , india , jan ,"
38877,p wilbarger,,"zero to three ,"
38878,"j jacobson , m lewis",,
38879,y papakonstantinou,,
38880,"j gray , d slutz , as szalay , ar thakar",,"microsoft technical report msrtr-2002-01 , jan. ."
38881,cj leliveld,,"doctoral , zurich , switzerland ,"
38882,"p buneman , s khanna , k tajima , wc tan",2004.0,"acm transactions on database systems ,"
38883,t otsu,,"university of wisconsin ,"
38884,j valsa,1997.0,"radioengineering-prague - ,"
38885,s re,1994.0,
38886,"xs wang , c bettini , s jajodia",,"acm transactions on database systems ,"
38887,a segev,1992.0,"acm sigmod record ,"
38888,k padmaravu,1999.0,
38889,"m zaki , c aggarwal",,"proc . ninth acm sigkdd ,"
38890,cm de tillesse,,back to
38891,"u murad , g pinkas",1999.0,"lecture notes in computer science ,"
38892,"b jvd , b seeger",1996.0,
38893,"i domowitz , x wang",2002.0,"unpublished manuscript ,"
38894,si resnick,1987.0,
38895,"p reuter , i tobor , c schlick , s dedieu",2003.0,"proceedings of acm graphite 2003 ,"
38896,", ml giger , h macmahon",2000.0,"proc spie ,"
38897,"me hennecke , dg stork , k venkatesh prasad",1996.0,"nato asi series f computer and systems sciences ,"
38898,k county,1982.0,
38899,"jw ponton , r mckinnel",,
38900,"ph sweany , sj beatty",,"proceedings of the 25 thannual international symposium on & hellip ; ,"
38901,"l brosseau , l casimiro , s milne , v robinson , b",2002.0,"cochrane database syst rev ,"
38902,"rm dennis , ar beresford , km brown",2001.0,"bt technology journal ,"
38903,"j dalmau , hs gultekin , jb posner , y anti-huâ ? ¦",,
38904,"m nã?rgaard , nk poulsen , o ravn",,"technical university of denmark ,"
38905,"ph feiler , ge kaiser",,"information and software technology ,"
38906,"k hiram , t kato",,
38907,"br lucchesi , jl romson , sr jolly",,"see ref ,"
38908,d swartwout,,
38909,"on bjornstad , w falck , nc stenseth",1995.0,"proceedings : biological sciences ,"
38910,"le nielsen , j mcclain",1990.0,"social studies and the young learner ,"
38911,"f llirbat , e simon , d tombroff",1996.0,"rapport de recherche-institut national de recherche en & hellip ; ,"
38912,js greenberger,,"& hellip ; rk , eaves cj , eckner rj : demonstration of permanent factor -"
38913,dv routing,,proc . of
38914,"j li , d maier , k tufte , v papadimos , pa tucker",,
38915,"rb scheuhing , mr cascini",,"electronic manufacturing ,"
38916,allr reserved,1989.0,"sigmod record ,"
38917,v sikka,2005.0,"proceedings of the 2005 acm sigmod international conference & hellip ; ,"
38918,y lecun,1989.0,
38919,"m bonsangue , d drew",,"new directions for teaching and learning ,"
38920,"r schneider , m wavelet-matrixkompression",,"habilitation , technical university darmstadt ,"
38921,cm kellett,,"phd thesis , university of california , santa barbara , june"
38922,"pa bernstein , dw shipman , jb rothnie",,"acm transactions on database systems ,"
38923,as ibrahim,,
38924,tj cook,1978.0,"proceedings of the 1978 acm sigmod international conference & hellip ; ,"
38925,m woodman,1988.0,"information and software technology ,"
38926,d alban,,"gospel literature service , bombay ,"
38927,"gscs jensenl , rt snodgrass",2002.0,"sigmod record ,"
38928,rp rafuse,2004.0,
38929,jh dshalalow,1997.0,
38930,r freedle,,"unpublished manuscript ,"
38931,"eg hope , am stuart , jf chem",,"acc . chem . res ,"
38932,"r subrahmanyan , m orlowski , g huffman , i motorola",,
38933,d austinâ ? ¦,2003.0,
38934,a podanyâ ? ¦,1994.0,"social studies and the young learner ,"
38935,"j min , c chung , k shim",,"proceedings of sigmod ,"
38936,"d friedlander , pk robins",,"new york : manpower demonstration research corporation . & hellip ; ,"
38937,hg liljenvall,,phil .
38938,"r krishnamurthy , vt chakaravarthy , r kaushik , jf",,"data engineering , 2004 . proceedings . 20th international"
38939,"p shoval , o manor",1990.0,"information and software technology ,"
38940,"sd galbraith , np smart",1999.0,"lecture notes in computer science ,"
38941,"c bischof , f dilley",1995.0,"acm signum newsletter ,"
38942,"d luo , sb yao",,proceedings of the 1981 acm sigmod international conference
38943,"r katz , e wong",,"acm trans . database systems , mar ,"
38944,"ay levy , ao mendelzon",,"proc of the 16th acm sigact sigmod sigart symp on principles & hellip ; ,"
38945,d rose,,"proceedings of the 23rd symposium on rock mechanics . society & hellip ; ,"
38946,"ge hamot , m johnson",1998.0,"social studies and the young learner ,"
38947,uwm home,2004.0,
38948,a simmons,1983.0,"new directions for higher education ,"
38949,a park,,
38950,"t griffin , l libkin",,"acm sigmod ,"
38951,"a bracale , d pasquet , e bourdel , n fel",,"proc . 29th eur . microwave conf . ( eumc ) ,"
38952,"s nepal , u srinivasan , g reynolds",,"proc . of acm multimedia ,"
38953,"e liceaga-castro , jc kalkkuhl , rc linares",,"submitted for publication ,"
38954,"ap scott , sm baynes",,"proc . int . symp . reprod . physiol . fish ,"
38955,s rudkin,2005.0,"bt technology journal ,"
38956,"bt lilly , kk paliwal",,
38957,"en askov , ee gordon",1999.0,"new directions for adult and continuing education ,"
38958,a sheth,,"sigmod conference ,"
38959,"t nakagawa , m kunieda , sd liu",1985.0,"machine tool design and research , proceedings , 25 th & hellip ; ,"
38960,"m le goff , jl le bras , b deschamps , d rozuel , d",,proc . 29th eur . microwave
38961,"ej langer , j rodin",,"journal of personality and social psychology ,"
38962,"k wan , x yan , x yu , cs xu",,"proc . of acm mm ,"
38963,"m raposo , on oliveira jr",,
38964,as chernikov,,at .
38965,"n miyanaga , t inoue , h yoshida , k komada , t gonai",,"proceedings of the 25 th internal telecommunications energy & hellip ; ,"
38966,ed effectiveness,,
38967,"j wesson , mc du plessis , c oosthuizen",,
38968,m slater,1999.0,"bt technology journal ,"
38969,"pj lee , dj chen , cg chung",1994.0,"information and software technology ,"
38970,"md ` inverno , d kinny , m luck , m wooldridge",1998.0,"lecture notes in computer science ,"
38971,t panitz,1999.0,"new directions for teaching and learning ,"
38972,"j campbell , pb gibbons , s nath , p pillai , s seshan",2005.0,"proceedings of the 13th annual acm international conference & hellip ; ,"
38973,"lh kidder , m fine",1987.0,"new directions for program evaluation ,"
38974,dt ralph,2002.0,"bt technology journal ,"
38975,aao approach,2002.0,"sigmod record ,"
38976,"m broucke , md di benedetto , a sangiovanni -",2000.0,"lecture notes in computer science ,"
38977,"a delios , pw beamish",,
38978,do fontaine,2000.0,
38979,"j aitchison , h carter , r almas , g lawrence , t",,
38980,"t hã $ rder , g sauter , j thomas",1999.0,"the vldb journal the international journal on very large & hellip ; ,"
38981,"n ford , d miller",,"elvira-proceedings - ,"
38982,"a ogram , k sharma",,"see ref ,"
38983,"w kozaczynski , es liongosari , jq ning",1991.0,"information and software technology ,"
38984,j yoon,1998.0,
38985,p plimmer,1990.0,
38986,"t puchner , c egarter , c wimmer , f lederhilger , i",1993.0,
38987,"v poosala , ye ioannidis , pj haas , ej shekita",,acm sigmod international
38988,al adams,1980.0,"ph. d. thesis california univ. , santa barbara. ,"
38989,"b cantell , r collica , j ramãrez",,
38990,"r bliujute , cs jensen , s saltenis , g slivinskas",1998.0,"vldb ,"
38991,m rozierâ ? ¦,,in : same to
38992,"c stinson , c siechert",2000.0,
38993,s caldwell,1996.0,"contributions to economic analysis ,"
38994,"y gao , df wong",1998.0,"proceedings of the 1998 ieee/acm international conference on & hellip ; ,"
38995,"ahh ngu , qz sheng , dq huynh , r lei",2001.0,"the vldb journal the international journal on very large & hellip ; ,"
38996,"j undercoffer , f perich , a cedilnik , l kagal , a",,"& hellip ; issues on mobility of systems , users , data and computing ,"
38997,"k subieta , y kambayashi , j leszczylowski",1995.0,"proceedings of the international conference on very large & hellip ; ,"
38998,g boella,,
38999,"n chabini , w wolf",2004.0,"proceedings of the fourth acm international conference on & hellip ; ,"
39000,kk sabelfeld,1991.0,
39001,"r mehrotra , je gary",,
39002,my vardi,2001.0,"lecture notes in computer science ,"
39003,"s weintraub , j cary",1964.0,"wisconsin studies in contemporary literature ,"
39004,dl sparks,,"san diego ,"
39005,"md gebhardt , sc stearns",,
39006,usaewe station,,"unpublished technology demonstration plan , vicksburg , ms ,"
39007,m ancona,1995.0,"information and software technology ,"
39008,"m siegel , e sciore , s salveter",1992.0,"acm transactions on database systems ,"
39009,"c decleir , ms hacid",,
39010,"c busch , m herlihy , r wattenhofer",,
39011,ka brownlee,1965.0,
39012,"jh brandts , yp chen",,
39013,"p berenyi , k vicsi",,"procs . eurospeech ,"
39014,b meyer,,"ieee computer ,"
39015,"h mintzberg , ja waters",1982.0,"the academy of management journal ,"
39016,"jh fleming , jm darley",1989.0,"journal of personality and social psychology ,"
39017,"k rees , p bennett , r west , sg davey , s ebrahim",2004.0,"cochrane database syst rev ,"
39018,"dg feitelson , ma jette",1997.0,"lecture notes in computer science ,"
39019,"lfp van swam , cm eucken",,
