paper_id,creator_names,conf_abbrev,article_title,publication_yr
69,"c galindo-legaria , a pellenkoft , m kersten",vldb,"fast , randomized join-order selection - why use transformations ?",1994
70,,,foundations of statistical natural language processing - book review,2002
71,"j wiener , j naughton",vldb,bulk loading into an oodb : a performance study,1994
72,"r ng , j han",vldb,efficient and effective clustering methods for spatial data mining,1994
73,f neven,sigmod record,automata theory for xml researchers,2002
74,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,database research at the university of illinois at urbana-champaign,2002
75,"e brown , j callan , w croft",vldb,fast incremental indexing for full-text information retrieval,1994
76,,,chair 's message,2002
77,"a fu , d cheung",vldb,a transaction replication scheme for a replicated database with node autonomy,1994
78,,,treasurer 's message,2002
79,"m ouzzani , m atroun , n belkhodja",vldb,a top-down approach for two level serializability,1994
80,"j frohn , g lausen , h uphoff",vldb,access to objects by path expressions and rules,1994
81,,,report on the mobile search workshop at www 2002,2002
82,r gќting,vldb,graphdb : modeling and querying graphs in databases,1994
83,,,report on the web dynamics workshop at www 2002,2002
84,,,report on the 24th european colloquium on information retrieval research,2002
85,"a gutiщrrez , p pucheral , h steffen , j thщvenin",vldb,database graph views : a practical model to manage persistent graphs,1994
86,"a kemper , d kossmann",vldb,dual-buffering strategies in object bases,1994
87,"j melton , j michels , v josifovski , k kulkarni , p schwarz",sigmod record,sql/med - a status report,2002
88,m winslett,,hector garcia-molina speaks out,2002
89,"t johnson , d shasha",vldb,2q : a low overhead high performance buffer management replacement algorithm,1994
90,"m barja , n paton , a fernandes , m williams , a dinn",vldb,an effective deductive object-oriented database through language integration,1994
91,"s lightstone , g lohman , d zilio",sigmod record,toward autonomic computing with db2 universal database,2002
92,,,reminiscences on influential papers,2002
93,"e baralis , j widom",vldb,an algebraic approach to rule analysis in expert database systems,1994
94,,,report on the semantic web workshop at www 2002,2002
95,"r agrawal , r srikant",vldb,fast algorithms for mining association rules in large databases,1994
96,,,ontologies : a silver bullet for knowledge management and electronic commerce - book review,2002
97,"e haber , y ioannidis , m livny",vldb,opossum : desk-top schema management through customizable visualization,1995
98,"c goble , d roure",sigmod record,the grid : an application of the semantic web,2002
99,"r agrawal , g psaila , e wimmers , m zaяt",vldb,querying shapes of histories,1995
100,,,interview with david maier,2002
101,"g evangelidis , d lomet , b salzberg",vldb,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation",1995
102,,,small worlds : the dynamics of networks between order and randomness - book review,2002
103,"c kalus , p dadam",vldb,flexible relations - operational support of variant relational structures,1995
104,s sarawagi,vldb,query processing in tertiary memory databases,1995
105,"t finin , a joshi",sigmod record,"agents , turst , and information access on the semantic web",2002
106,"y sure , s staab , r studer",sigmod record,methodology for development and employment of ontology based knowledge management applications,2002
107,s brin,vldb,near neighbor search in large metric spaces,1995
108,"r ramakrishnan , h garcia-molina , g rossbach , a silberschatz , g wiederhold , j zijlstra",vldb,scientific journals : extinction or explosion ? ( panel ),1995
109,h jagadish,sigmod record,acm-sigmod digital review,2000
110,"d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong",sigmod record,querying multiple bioinformatics data sources : can semantic web research help ?,2002
111,"k anyanwu , a sheth",sigmod record,the p operator : discovering and ranking associations on the semantic web,2002
112,"a sistla , c yu , c liu , k liu",vldb,similarity based retrieval of pictures using indices on spatial relationships,1995
113,"m halkidi , y batistakis , m vazirgiannis",sigmod record,clustering validity checking methods : part ii,2002
114,a meier,vldb,providing database migration tools - a practicioner 's approach,1995
115,l liu,sigmod record,editor 's notes,2002
116,"l seligman , n belkin , e neuhold , m stonebraker , g wiederhold",vldb,metrics for accessing heterogeneous data : is there any hope ? ( panel ),1995
117,d vaskevitch,vldb,"very large databases : how large , how different ?",1995
118,k aberer,sigmod record,book review column,2002
119,"s huang , i kwan , c li",sigmod record,a study on the management of semantic transaction for efficient data retrieval,2002
120,"e simon , a dittrich",vldb,promises and realities of active database systems,1995
121,"j catozzi , s rabinovici",vldb,os support for vldbs : unix enhancements for the teradata data base,1995
122,,,reminiscences on influential papers,2002
123,m grohe,sigmod record,parameterized complexity for the database theorist,2002
124,g fecteau,vldb,managing a db2 parallel edition database,1995
125,"m roantree , a smeaton",sigmod record,research in information managment at dublin city university,2002
126,g hallmark,vldb,the oracle warehouse,1995
127,h spintzik,vldb,informix-online xps : a dynamically scalable rdbms for open parallel platforms,1995
128,,,report on the edbt '02 panel on scientific data integration,2002
129,"e amiel , m bellosta , e dujardin , e simon",vldb,supporting exceptions to schema consistency to ease schema evolution in oodbms,1994
130,"w han , d buttler , c pu",sigmod record,wrapping web data into xml,2001
131,d suciu,sigmod record,on database theory and xml,2001
132,"c collet , t coupaye , t svensen",vldb,naos - efficient and modular reactive capabilities in an object-oriented database system,1994
133,p fankhauser,sigmod record,xquery formal semantics : state and challenges,2001
134,"k brown , m mehta , m carey , m livny",vldb,towards automated performance tuning for complex workloads,1994
135,"a schmidt , f waas , m kersten , d florescu , m carey , i manolescu , r busse",sigmod record,why and how to benchmark xml databases,2001
136,"a levy , i mumick , y sagiv",vldb,query optimization by predicate move-around,1994
137,d lomet,sigmod record,the evolution of effective b-tree : page organization and techniques : a personal account,2001
138,"w hasan , r motwani",vldb,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,1994
139,"a tanaka , p valduriez",sigmod record,the ecobase project : database and web technologies for environmental information systems,2001
140,"m mohania , n sarda",vldb,some issues in design of distributed deductive databases,1994
141,"w li , c clifton",vldb,semantic integration in heterogeneous databases using neural networks,1994
142,"s chien , v tsotras , c zaniolo",sigmod record,xml document versioning,2001
143,"n idris , w gray , r churchhouse",vldb,providing dynamic security control in a federated database,1994
144,"b ludфscher , r marciano , r moore",sigmod record,"preservation of digital data with self-validating , self-instantiating knowledge-based archives",2001
145,,,"semantic web workshop : models , architectures and management",2001
146,"f ferrandina , t meyer , r zicari",vldb,implementing lazy database updates for an object database system,1994
147,"m teisseire , p poncelet , r cicchetti",vldb,towards event-driven modelling for database design,1994
148,,,reminiscences on influential papers,2001
149,,,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",2001
150,"v setzer , a zisman",vldb,new concurrency control algorithms for accessing and compacting b-trees,1994
151,"n gehani , h jagadish , w roome",vldb,odefs : a file system interface to an object-oriented database,1994
152,,,report on the 2001 sigmod and pods awards,2001
153,"p buneman , w fan , j simщon , s weinstein",sigmod record,constraints for semi-structured data and xml,2001
154,"c kilger , g moerkotte",vldb,indexing multiple sets,1994
155,,,editor 's notes,2001
156,"b sreenath , s seshadri",vldb,the hcc-tree : an efficient index structure for object oriented databases,1994
157,"e hoel , h samet",vldb,performance of data-parallel spatial operations,1994
158,"a eisenberg , j melton",sigmod record,sql/xml and the sqlx informal group of companies,2001
159,"c biancheri , j pazzaglia , g paddeu",sigmod record,eiha ?!? : deploying web and wap services using xml technology,2001
160,"t brinkhoff , h kriegel",vldb,the impact of global clustering on spatial database systems,1994
161,"m shah , s madden , m franklin , j hellerstein",sigmod record,java support for data-intensive systems : experiences building the telegraph dataflow system,2001
162,"a muntz , c ramiller",vldb,a requirement-based approach to data modeling and re-engineering,1994
163,"j melton , a eisenberg",sigmod record,sql multimedia and application packages ( sql/mm ),2001
164,"h steenhagen , p apers , h blanken , r by",vldb,from nested-loop to join queries in oodb,1994
165,"d gunopulos , n koudas",sigmod record,dimacs summer school tutorial on new frontiers in data mining,2001
166,"s chakravarthy , v krishnaprasad , e anwar , s kim",vldb,"composite events for active databases : semantics , contexts and detection",1994
167,,,report on the 8th international workshop on knowledge representation meets databases ( krdb ),2001
168,"b жzden , a biliris , r rastogi , a silberschatz",vldb,a low-cost storage server for movie on demand databases,1994
169,l liu,sigmod record,editor 's notes,2001
170,t chiueh,vldb,content-based image indexing,1994
171,"d dewitt , n kabra , j luo , j patel , j yu",vldb,client-server paradise,1994
172,"a sheth , j miller , k kochut , i arpinar",sigmod record,research in multi-organizational processes and semantic information brokering at the lsdis lab,2001
173,u чetintemel,sigmod record,on the academic interview circuit : an end-to-end discussion,2001
174,"s sripada , b wќthrich",vldb,cumulative updates,1994
175,"a shatdal , c kant , j naughton",vldb,cache conscious algorithms for relational query processing,1994
176,a labrinidis,sigmod record,introduction to the career forum column,2001
177,"a levy , a silberschatz , d srivastava , m zemankova",vldb,challenges for global information systems,1994
178,"s babu , j widom",sigmod record,continuous queries over data streams,2001
179,n huyn,sigmod record,data analysis and mining in the life sciences,2001
180,"n goodman , s rozen , l stein",vldb,building a laboratory information system around a c++ - based object-oriented dbms,1994
181,"m cochinwala , j bradley",vldb,a multidatabase system for tracking and retrieval of financial data,1994
182,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",sigmod record,a general techniques for querying xml documents using a relational database system,2001
183,"p bernstein , u dayal",vldb,an overview of repository technology,1994
184,k aberer,sigmod record,advanced xml data processing - guest editor 's introduction,2001
185,"b iyer , d wilhite",vldb,data compression support in databases,1994
186,r snodgrass,sigmod record,accessibility of the database literature,2001
187,,,treasurer 's message,2001
188,"s anand , d bell , j hughes",vldb,an empirical performance study of the ingres search accelerator for a large property management database system,1994
189,,,chair 's message,2001
190,"a rosenthal , l seligman",vldb,data integration in the large : the challenge of reuse,1994
191,"a labrinidis , a mendelzon",sigmod record,career-enhancing services at sigmod online,2001
192,m lesk,vldb,experiments on access to digital libraries : how can images and text be used together,1994
193,p bernstein,vldb,pc database systems - present and future,1994
194,l liu,sigmod record,editor 's notes,2001
195,"s stolfo , w lee , p chan , w fan , e eskin",sigmod record,data mining-based intrusion detectors : an overview of the columbia ids project,2001
196,"b babcock , c olston",sigmod conference,distributed top-k monitoring,2003
197,"a das , j gehrke , m riedewald",sigmod conference,approximate join processing over data streams,2003
198,"d barbarс , j couto , s jajodia , n wu",sigmod record,adam : a testbed for exploring the use of data mining in intrusion detection,2001
199,"j cabrera , l lewis , r mehra",sigmod record,detection and classification of intrusions and faults using sequences of system calls,2001
200,"w wang , h jiang , h lu , j yu",sigmod conference,containment join size estimation : models and methods,2003
201,"b martin , r cattell",vldb,relating distributed objects,1994
202,k aberer,sigmod record,book review column,2001
203,"t yan , j annevelink",vldb,integrating a structured-text retrieval system with an object-oriented database system,1994
204,l cardelli,sigmod record,describing semistructured data,2001
205,,,chair 's message,2001
206,s spaccapietra,vldb,user interfaces ; who cares ?,1994
207,,,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,2001
208,"m zemankova , y ioannidis",vldb,scientific databases - state of the art and future directions,1994
209,"w lee , w fan",sigmod record,mining system audit data : opportunities and challenges,2001
210,"r fagin , r kumar , d sivakumar",sigmod conference,efficient similarity search and classification via rank aggregation,2003
211,"y saygin , v verykios , c clifton",sigmod record,using unknowns to prevent discovery of association rules,2001
212,"a arasu , h garcia-molina",sigmod conference,extracting structured data from web pages,2003
213,"s chaudhuri , p ganesan , s sarawagi",sigmod conference,factorizing complex predicates in queries to exploit indexes,2003
214,"o vel , a anderson , m corney , g mohay",sigmod record,mining email content for author identification forensics,2001
215,,,transactional information systems - book review,2001
216,"i ilyas , j rao , g lohman , d gao , e lin",sigmod conference,estimating compilation time of a query optimizer,2003
217,"a deligiannakis , n roussopoulos",sigmod conference,extended wavelets for multiple measures,2003
218,,,information warfare and security - book review,2001
219,,,treasurer 's message,2000
220,,,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more",2001
221,"b babcock , s babu , m datar , r motwani",sigmod conference,chain : operator scheduling for memory minimization in data stream systems,2003
222,"g lohman , c galindo-legaria , m franklin , l seligman",sigmod record,sigmod 2001 industry sessions,2001
223,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,capturing both types and constraints in data integration,2003
224,,,reminiscences on influential papers,2001
225,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",sigmod conference,exchanging intensional xml data,2003
226,"o tsatalos , m solomon , y ioannidis",vldb,the gmap : a versatile tool for physical data independence,1994
227,"f tian , d dewitt , j chen , c zhang",sigmod record,the design and performance evaluation of alternative xml storage strategies,2002
228,,,guest editor 's introduction,2002
229,"s chaudhuri , k shim",vldb,including group-by in query optimization,1994
230,"f matthes , j schmidt",vldb,persistent threads,1994
231,"r sommer , t gulledge , d bailey",sigmod record,the n-tier hub technology,2002
232,i cingil,sigmod record,supporting global user profiles through trusted authorities,2002
233,"d davison , g graefe",vldb,memory-contention responsive hash joins,1994
234,"c quix , m schoop , m jeusfeld",sigmod record,business data management for b2b electronic commerce,2002
235,"m mediano , m casanova , m dreux",vldb,v-trees - a storage method for long vector data,1994
236,"t gaasterland , j lobo",vldb,qualified answers that reflect user needs and preferences,1994
237,"z cui , d jones , p o'brien",sigmod record,semantic b2b integration : issues in ontology-based applications,2002
238,"w litwin , m neimat , d schneider",vldb,rp * : a family of order preserving scalable distributed data structures,1994
239,c bussler,sigmod record,the role of b2b engines in b2b integration architectures,2002
240,"m ball , m ma , l raschid , z zhao",sigmod record,supply chain infrastructures : system integration and information sharing,2002
241,"s chawathe , m chen , p yu",vldb,on index selection schemes for nested object hierarchies,1994
242,,,interview with avi silberschatz,2002
243,"a sistla , c yu , r haddad",vldb,reasoning about spatial relationships in picture retrieval systems,1994
244,,,what will be - book review,2002
245,"h lu , b ooi , k tan",vldb,on spatially partitioned temporal join,1994
246,"r hjelsvold , r midtstraum",vldb,modelling and querying video data,1994
247,m stonebraker,sigmod record,too much middleware,2002
248,"a pirotte , e zimсnyi , d massart , t yakusheva",vldb,materialization : a powerful and ubiquitous abstraction pattern,1994
249,d suciu,sigmod record,the xml typechecking problem,2002
250,,,report on the 18th british national conference on databases ( bncod ),2002
251,"r ng , j yang",vldb,maximizing buffer and disk utilizations for news on-demand,1994
252,,,reminiscences on influential papers,2002
253,"a poulovassilis , c small",vldb,investigation of algebraic query optimisation techniques for database programming languages,1994
254,"z xie , j han",vldb,join index hierarchies for supporting efficient navigations in object-oriented databases,1994
255,n elderini,,letter to sigmod record editor,2002
256,"i kamel , c faloutsos",vldb,hilbert r-tree : an improved r-tree using fractals,1994
257,r snodgrass,sigmod record,why i like working in academia,2002
258,"p vassiliadis , t sellis",sigmod record,a survey of logical models for olap databases,1999
259,"l lakshmanan , j pei , y zhao",sigmod conference,qc-trees : an efficient summary structure for semantic olap,2003
260,"k jacob , d shasha",sigmod record,fintime - a financial time series benchmark,1999
261,"a witkowski , s bellamkonda , t bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian",sigmod conference,spreadsheets in rdbms for olap,2003
262,"l guo , f shao , c botev , j shanmugasundaram",sigmod conference,xrank : ranked keyword search over xml documents,2003
263,"t kempster , c stirling , p thanisch",sigmod record,diluting acid,1999
264,"s al-khalifa , c yu , h jagadish",sigmod conference,querying structured text in an xml database,2003
265,"s gatziu , m jeusfeld , m staudt , y vassiliou",sigmod record,design and management of data warehouses : report on the dmdw '99 workshop,1999
266,"h wang , s park , w fan , p yu",sigmod conference,vist : a dynamic index method for querying xml data by tree structures,2003
267,m franklin,sigmod record,editor 's notes,1999
268,"r sion , m atallah , s prabhakar",sigmod conference,rights protection for relational data,2003
269,"a eisenberg , j melton",sigmod record,sql standardization : the next steps,2000
270,,,reminiscences on influential papers,2000
271,"r agrawal , a evfimievski , r srikant",sigmod conference,information sharing across private databases,2003
272,"g dong , j su",sigmod record,incremental maintenance of recursive views using relational calculus/sql,2000
273,"s schleimer , d wilkerson , a aiken",sigmod conference,winnowing : local algorithms for document fingerprinting,2003
274,"t johnson , t dasu",sigmod conference,data quality and data cleaning : an overview,2003
275,"s ceri , l kalinichenko , m kitsuregawa , h lu , z жzsoyoglu , r snodgrass , v vianu",sigmod record,sigmod sister societies,2000
276,"a gupta , b ludфscher , m martone",sigmod conference,birn-m : a semantic mediator for solving real-world neuroscience problems,2003
277,"r agrawal , p haas , j kiernan",sigmod conference,a system for watermarking relational databases,2003
278,,,chair 's message,2000
279,"a paepcke , h garcia-molina , g rodrэguez-mulр , j cho",sigmod record,beyond document similarity : understanding value-based search and browsing technologies,2000
280,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,aurora : a data stream management system,2003
281,j ullman,sigmod conference,improving the efficiency of database-system teaching,2003
282,"a bonifati , s ceri",sigmod record,comparative analysis of five xml query languages,2000
283,"h liefke , d suciu",sigmod record,an extensible compressor for xml data,2000
284,,,"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003",2003
285,c vassilakis,sigmod record,an optimisation scheme for coalesce/valid time selection operator sequences,2000
286,n mamoulis,sigmod conference,efficient processing of joins on set-valued attributes,2003
287,"e pourabbas , m rafanelli",sigmod record,hierarchies and relative operators in the olap environment,2000
288,"a jagatheesan , a rajasekar",sigmod conference,data grid management systems,2003
289,"r cheng , d kalashnikov , s prabhakar",sigmod conference,evaluating probabilistic queries over imprecise data,2003
290,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigmod record,evolution and change in data management - issues and directions,2000
291,"c olston , j jiang , j widom",sigmod conference,adaptive filters for continuous queries over distributed data streams,2003
292,"a labrinidis , n roussopoulos",sigmod record,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,2000
293,t palpanas,sigmod record,knowledge discovery in data warehouses,2000
294,"s abiteboul , a bonifati , g cobena , i manolescu , t milo",sigmod conference,dynamic xml documents with distribution and replication,2003
295,m franklin,sigmod record,editor 's notes,2000
296,"b babcock , s chaudhuri , g das",sigmod conference,dynamic sample selection for approximate query processing,2003
297,"j shen , a ngu , j shepherd , d huynh , q sheng",sigmod conference,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,2003
298,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,the implementation and performance of compressed databases,2000
299,"c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,dbcache : middle-tier database caching for highly scalable e-business architectures,2003
300,"t vetterli , a vaduva , m staudt",sigmod record,metadata standards for data warehousing : open information model vs. common warehouse metamodel,2000
301,"d dehaan , d toman , m consens , m жzsu",sigmod conference,a comprehensive xquery to sql translation using dynamic interval encoding,2003
302,"e clementini , p felice",sigmod record,spatial operators,2000
303,,,reminiscences on influential papers,2000
304,"c cranor , t johnson , o spatscheck , v shkapenyuk",sigmod conference,gigascope : a stream database for network applications,2003
305,g bierman,sigmod conference,formal semantics and analysis of object queries,2003
306,,,report on second international workshop on advanced issues of e-commerce and web-based information systems,2000
307,"s arpinar , a dogac",sigmod record,provision of market services for eco compliant electronic market places,2000
308,"c sun , d agrawal , a abbadi",sigmod conference,hardware acceleration for spatial selections and joins,2003
309,"f reiss , t kanungo",sigmod conference,a characterization of the sensitivity of query optimization to storage access cost parameters,2003
310,,,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )",2000
311,"d lomet , m tuttle",sigmod conference,a theory of redo recovery,2003
312,,,report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga,2000
313,,,sigmod digital symposium collection ( disc ) editor 's message,2000
314,"a deshpande , s nath , p gibbons , s seshan",sigmod conference,cache-and-query for wide area sensor databases,2003
315,"c li , p bohannon , h korth , p narayan",sigmod conference,composing xsl transformations with xml publishing views,2003
316,,,sigmod ' 2000 program chair 's message,2000
317,"d papadias , y tao , g fu , b seeger",sigmod conference,an optimal and progressive algorithm for skyline queries,2003
318,,,information director 's message,2000
319,,,sigmod anthology editor 's message,2000
320,"b cui , b ooi , j su , k tan",sigmod conference,contorting high dimensional data for efficient main memory processing,2003
321,,,chair 's message,2000
322,m stonebraker,sigmod conference,visionary : a next generation visualization system for databases,2003
323,"d lee , w chu",sigmod record,comparative analysis of six xml schema languages,2000
324,p raghavan,sigmod conference,extracting and exploiting structure in text search,2003
325,p seshadri,sigmod conference,building notification services with microsoft sqlserver,2003
326,,,vice chair 's message,2000
327,n shivakumar,sigmod conference,google in a box - building the google search appliance,2003
328,h zeller,sigmod conference,nonstop sql/mx publish/subscribe : continuous data streams in transaction processing,2003
329,m franklin,sigmod record,editor 's notes,2000
330,g colliat,sigmod conference,data management challenges in crm,2003
331,"m pіss , c floyd",sigmod record,new tpc benchmarks for decision support and web commerce,2000
332,"k goto , y kambayashi",sigmod conference,integration of electronic tickets and personal guide system for public transport using mobile terminals,2003
333,j bussche,sigmod record,constraint databases : a tutorial introduction,2000
334,"s padmanabhan , b bhattacharjee , t malkemus , l cranston , m huras",sigmod conference,multi-dimensional clustering : a new data layout scheme in db2,2003
335,"y theodoridis , m nascimento",sigmod record,generating spatiotemporal datasets on the www,2000
336,a halevy,sigmod record,theory of answering queries using views,2000
337,"h kriegel , s brecheisen , p krіger , m pfeifle , m schubert",sigmod conference,using sets of feature vectors for similarity search on voxelized cad objects,2003
338,"a rashid , p sawyer",sigmod record,object database evolution using separation of concerns,2000
339,c aggarwal,sigmod conference,a framework for change diagnosis of data streams,2003
340,"s chaudhuri , r kaushik , j naughton",sigmod conference,on relational support for xml publishing : beyond sorting and tagging,2003
341,a jhingran,sigmod record,moving up the food chain : supporting e-commerce applications on databases,2000
342,,,reminiscences on influential papers,2000
343,"d kim , c chung",sigmod conference,qcluster : relevance feedback using adaptive clustering for content-based image retrieval,2003
344,v krishnamurthy,sigmod conference,oracle xml db repository,2003
345,,,vldb workshop on technologies in e-services ( tes ),2000
346,,,sigmod program review,2000
347,a pruscino,sigmod conference,oracle rac : architecture and performance,2003
348,a bosworth,sigmod conference,the future of web services - i,2003
349,"b pєssas , w jr. , m carvalho , r resende",sigmod record,using quantitative information for efficient association rule generation,2000
350,f cabrera,sigmod conference,the future of web services - ii,2003
351,,,"research and practice in federated information systems , report of the efis ' 2000 international workshop",2000
352,"s ganguly , m garofalakis , r rastogi",sigmod conference,processing set expressions over continuous update streams,2003
353,m franklin,sigmod record,editor 's notes,2000
354,"j yuen , e chan , k lam , h leung",sigmod record,cache invalidation scheme for mobile computing systems with real-time data,2000
355,"s chaudhuri , k ganjam , v ganti , r motwani",sigmod conference,robust and efficient fuzzy match for online data cleaning,2003
