record_id,tel,postal_address,venue_name,place,restaurant_rating,dining_category
292,404-261-8186,' 2355 peachtree rd. ne ',abruzzi,atlanta,74,italian
293,404-365-0410,' 3125 piedmont rd. ',bacchanalia,atlanta,75,californian
294,404-237-2663,' 3130 piedmont rd. ne ',` bone \ 's restaurant ',atlanta,76,steakhouses
295,404-266-1440,' 3393 peachtree rd. ',` brasserie le coze ',atlanta,77,` french bistro '
296,404-262-3336,' 3073 piedmont rd. ',` buckhead diner ',atlanta,78,` american ( new ) '
297,404-874-7600,' 1529 piedmont ave. ',` ciboulette restaurant ',atlanta,79,` french ( new ) '
298,404-681-2909,' 1 margaret mitchell sq. ',delectables,atlanta,80,cafeterias
299,404-352-3517,' 2290 peachtree rd. ',` georgia grille ',atlanta,81,southwestern
300,404-233-7673,' 490 e. paces ferry rd. ne ',` hedgerose heights inn the ',atlanta,82,continental
301,404-876-4408,' 595 piedmont ave. ',` heera of india ',atlanta,83,indian
302,404-876-0676,' 1397 n. highland ave. ',` indigo coastal grill ',atlanta,84,eclectic
303,404-231-1368,' 2637 peachtree rd. ne ',` la grotta ',atlanta,85,italian
304,404-876-1800,' 224 ponce de leon ave. ',` mary mac \ 's tea room ',atlanta,86,southern/soul
305,404-221-6362,' 255 courtland st. ',` nikolai \ 's roof ',atlanta,87,continental
306,404-261-3662,' 1232 w. paces ferry rd. ',` pano \ 's & paul \ 's ',atlanta,88,` american ( new ) '
307,404-237-2700,' 3434 peachtree rd. ne ',` ritz-carlton cafe ( buckhead ) ',atlanta,89,` american ( new ) '
308,404-237-2700,' 3434 peachtree rd. ne ',` ritz-carlton dining room ( buckhead ) ',atlanta,90,` american ( new ) '
309,404-659-0400,' 181 peachtree st. ',` ritz-carlton restaurant ',atlanta,91,` french ( classic ) '
310,404-351-9533,' 293-b peachtree rd. ',toulouse,atlanta,92,` french ( new ) '
311,404-875-8424,'41 14th st. ',` veni vidi vici ',atlanta,93,italian
312,415-387-0408,' 126 clement st. ',` alain rondelli ',` san francisco ',94,` french ( new ) '
313,415-956-9662,' 252 california st. ',aqua,` san francisco ',95,` american ( new ) '
314,415-543-6084,' 1 mission st. ',boulevard,` san francisco ',96,` american ( new ) '
315,415-392-3505,' 7 claude ln . ',` cafe claude ',` san francisco ',97,` french bistro '
316,415-955-5555,' 340 stockton st. ',` campton place ',` san francisco ',98,` american ( new ) '
317,415-775-7036,' 804 north point st. ',` chez michel ',` san francisco ',99,californian
318,415-673-7779,' 777 sutter st. ',` fleur de lys ',` san francisco ',100,` french ( new ) '
319,415-543-0573,' 570 fourth st. ',fringale,` san francisco ',101,` french bistro '
320,415-777-9779,'22 hawthorne st. ',` hawthorne lane ',` san francisco ',102,californian
321,415-668-6654,' 5937 geary blvd. ',` khan toke thai house ',` san francisco ',103,thai
322,415-776-5577,' 2316 polk st. ',` la folie ',` san francisco ',104,` french ( new ) '
323,415-495-5775,' 816 folsom st. ',` lulu restaurant-bis-cafe ',` san francisco ',105,mediterranean
324,415-989-7154,' 648 bush st. ',` masa \ 's ',` san francisco ',106,` french ( new ) '
325,415-922-0337,' 1737 post st. ',mifune,` san francisco ',107,japanese
326,415-563-4755,' 3127 fillmore st. ',` plumpjack cafe ',` san francisco ',108,` american ( new ) '
327,415-776-7825,' 545 post st. ',postrio,` san francisco ',109,californian
328,415-296-7465,' 600 stockton st. ',` ritz-carlton dining room ( san francisco ) ',` san francisco ',110,` french ( new ) '
329,415-399-0499,' 532 columbus ave. ',` rose pistola ',` san francisco ',111,italian
330,404-659-0400,' 181 peachtree st. ',` ritz-carlton cafe ( atlanta ) ',atlanta,711,` american ( new ) '
