doc_id,doc_authors,pub_forum,study_title
1683,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",vldb,navigating large-scale semi-structured data in business portals
1684,"michael eitan , valerie gregg , carlo batini , d. b. phatak , yeha el atfi , krithi ramamritham",vldb,"social , educational , and governmental change enabled through information technology"
1685,"fabrizio ferrandina , thorsten meyer , roberto zicari",vldb,implementing lazy database updates for an object database system
1686,"christian convey , sangdon lee , ugur çetintemel , daniel j. abadi , michael stonebraker , mitch cherniack , donald carney , stanley b. zdonik , nesime tatbul",vldb j.,aurora : a new model and architecture for data stream management
1687,"jan-eike michels , peter m. schwarz , krishna g. kulkarni , vanja josifovski , jim melton",sigmod record,sql/med - a status report
1688,h. v. jagadish,sigmod record,acm-sigmod digital review
1689,michael j. carey,sigmod conference,parallel database systems in the 1990 's
1690,"joseph m. hellerstein , vijayshankar raman",sigmod conference,partial results for online query processing
1691,"jan van den bussche , marc andries , jan paredaens , luca cabibbo",acm trans . database syst .,applying an update method to a set of receivers
1692,"alexander brodsky , yoram kornatzky",sigmod conference,the lyric language : querying constraint objects
1693,"elena ferrari , pierangela samarati , claudio bettini , elisa bertino",acm trans . database syst .,an access control model supporting periodicity constraints and temporal reasoning
1694,"florian krebs , christian böhm , bernhard braunmüller , hans-peter kriegel",sigmod conference,epsilon grid order : an algorithm for the similarity join on massive high-dimensional data
1695,"shankar pal , thomas bergstraesser , philip a. bernstein , david shutt",sigmod conference,versions and workspaces in microsoft repository
1696,"brad adelberg , ben kao , hector garcia-molina",sigmod record,overview of the stanford real-time information processor ( strip )
1697,"øystein torbjørnsen , svein erik bratsberg",sigmod conference,tutorial : designing an ultra highly available dbms
1698,"yannis sismanis , yannis kotidis , nick roussopoulos",sigmod conference,the active multisync controller of the cubetree storage organization
1699,"laura m. haas , ling-ling yan , ronald fagin , renée j. miller",sigmod conference,data-driven understanding and refinement of schema mappings
1700,"miron livny , michael j. carey , hweehwa pang",sigmod conference,managing memory for real-time queries
1701,"dimitrios georgakopoulos , ming-chien shan , fabio casati",vldb j.,e-services - guest editorial
1702,"joel l. wolf , cecilia magdalena procopiuc , jong soo park , charu c. aggarwal , philip s. yu",sigmod conference,fast algorithms for projected clustering
1703,"kothuri venkata ravi kanth , siva ravada , daniel abugov",sigmod conference,quadtree and r-tree indexes in oracle spatial : a comparison using gis data
1704,"piero fraternali , stefano paraboschi , stefano ceri",sigmod record,design principles for data-intensive web sites
1705,asuman dogac,sigmod record,guest editor 's introduction
1706,"marianne winslett , kenneth smith , xiaolei qian",acm trans . database syst .,formal query languages for secure relational databases
1707,"val tannen , arnaud sahuguet , alin deutsch , lucian popa",sigmod conference,a chase too far ?
1708,rafael alonso,sigmod record,trade press news
1709,"césar a. galindo-legaria , michael j. franklin , leonard j. seligman , guy m. lohman",sigmod record,sigmod 2001 industry sessions
1710,?,vldb,author index
1711,"krishnamurty muralidhar , rathindra sarathy",acm trans . database syst .,security of random data perturbation methods
1712,"marek rusinkiewicz , tomasz ksiezyk , richard s. brice , ray shea , vipul kashyap , andrzej cichocki , mosfeq rashid , c. unnikrishnan , abdelsalam helal , amy unruh , marian h. nodine , jerry fowler , darrell woelk , gale martin , roberto j. bayardo jr. , william bohrer",sigmod conference,the infosleuth project
1713,"p. p. s. narayan , s. sudarshan , s. gogate , j. miller , abraham silberschatz , c. gupta , jerry baulier , m. wilder , henry f. korth , peter mcilroy , s. haldar , s. seshadri , philip bohannon , c. wei , a. khivesera , s. joshi , rajeev rastogi , m. nemeth",sigmod conference,datablitz storage manager : main memory database performance for critical applications
1714,"jens claußen , christian wiesner , donald kossmann , alfons kemper",vldb j.,exploiting early sorting and early partitioning for decisionsupport query processing
1715,"suresh kumar , eng-kee kwang , divyakant agrawal",vldb,caprera : an activity framework for transaction processing on wide-area networks
1716,"clement t. yu , hai he , zonghuan wu , weiyi meng",vldb,wise-integrator : an automatic integrator of web search interfaces for e-commerce
1717,"hanan samet , gísli r. hjaltason",acm trans . database syst .,distance browsing in spatial databases
1718,r. g. g. cattell,sigmod conference,odmg-93 : a standard for object-oriented dbmss
1719,marianne winslett,sigmod record,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more"
1720,"guy m. lohman , daniel c. zilio , sam lightstone",sigmod record,toward autonomic computing with db2 universal database
1721,"xueqing gong , kun yue , aoying zhou , zhimao guo , jianchang xiao , wenfei fan , hongwei wu , qing wang , shihui zheng",sigmod conference,trex : dtd-conforming xml to xml transformations
1722,"stephen kelley , frédéic vincent , nick roussopoulos",sigmod conference,nearest neighbor queries
1723,"volker markl , mokhtar kandil , guy m. lohman , michael stillger",vldb,leo - db2 's learning optimizer
1724,"manfred a. jeusfeld , franz baader , werner nutt",sigmod record,intelligent access to heterogeneous information sources : report on the 4th workshop on knowledge representation meets databases
1725,"antoni olivé , ernest teniente",vldb j.,updating knowledge bases while maintaining their consistency
1726,"weimin du , ming-chien shan , umeshwar dayal",sigmod conference,reducing multidatabase query response time by tree balancing
1727,"david hanley , robert l. grossman , xiao qin",sigmod conference,ptool : a light weight persistent object manager
1728,"s. muthukrishnan , h. v. jagadish , kenneth c. sevcik , torsten suel , nick koudas , viswanath poosala",vldb,optimal histograms with quality guarantees
1729,"michael d. soo , richard t. snodgrass , michael h. böhlen",vldb,coalescing in temporal databases
1730,"abraham silberschatz , rajeev rastogi , banu özden , prashant j. shenoy",sigmod conference,fault-tolerant architectures for continuous media servers
1731,"gísli r. hjaltason , hanan samet",vldb j.,speeding up construction of pmr quadtree-based spatial indexes
1732,jennifer widom,sigmod record,editor 's notes
1733,"jianwen su , guozhu dong",sigmod record,incremental maintenance of recursive views using relational calculus/sql
1734,"sam lightstone , guy m. lohman",vldb,smart : making db2 ( more ) autonomic
1735,"gerhard köstler , werner kießling",vldb,"preference sql - design , implementation , experiences"
1736,"mark girolami , fabio crestani",sigmod record,report on the 24th european colloquium on information retrieval research
1737,"beng chin ooi , kian-lee tan , cheng hian goh",vldb,online feedback for nested aggregate queries with multi-threading
1738,"aoying zhou , wenyun ji , shihui zheng , hongjun lu , yuqi liang , zengping tian , long zhang",vldb,vxmlr : a visual xml-relational database system
1739,"carlo zaniolo , vassilis j. tsotras , shu-yao chien",sigmod record,xml document versioning
1740,"michael j. franklin , stanley b. zdonik",sigmod conference,data in your face : push technology in perspective
1741,"s. sudarshan , rajeev rastogi , s. seshadri , mohana krishna lakhamraju",sigmod conference,on-line reorganization in object databases
1742,"ning an , siva ravada , kothuri venkata ravi kanth",vldb,improving performance with bulk-inserts in oracle r-trees
1743,"joel l. wolf , charu c. aggarwal , philip s. yu",sigmod conference,a new method for similarity indexing of market basket data
1744,"h. v. jagadish , kian-lee tan , hui jin , beng chin ooi",sigmod conference,global optimization of histograms
1745,"paolo merialdo , giansalvatore mecca , paolo atzeni",sigmod record,semistructured und structured data in the web : going back and forth
1746,"tak w. yan , hector garcia-molina",vldb,duplicate removal in information system dissemination
1747,"rachel pottinger , alon y. halevy",vldb j.,minicon : a scalable algorithm for answering queries using views
1748,"s.-k . kim , eman anwar , sharma chakravarthy , v. krishnaprasad",vldb,"composite events for active databases : semantics , contexts and detection"
1749,james chong,sigmod conference,real business processing meets the web
1750,"nenad jukic , susan v. vrbsky",sigmod record,asserting beliefs in mls relational models
1751,"david shutt , philip a. bernstein , shankar pal",vldb j.,context-based prefetch - an optimization for implementing objects on relations
1752,"peter m. chen , wee teck ng",vldb j.,integrating reliable memory in databases
1753,ralf hartmut güting,vldb j.,an introduction to spatial database systems
1754,"nathan folkert , abhinav gupta , andrew witkowski , lei sheng , sankar subramanian , srikanth bellamkonda , gregory dorman , tolga bozkaya",sigmod conference,spreadsheets in rdbms for olap
1755,barbara staudt lerner,acm trans . database syst .,a model for compound type changes encountered in schema evolution
1756,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,web caching for database applications with oracle web cache
1757,"paul ammann , indrakshi ray , sushil jajodia",vldb,using formal methods to reason about semantics-based decompositions of transactions
1758,"jian pei , guozhu dong , ke wang , jiawei han , jianyong wang",sigmod conference,cubeexplorer : online exploration of data cubes
1759,"gottfried vossen , jens lechtenbörger , dominique laurent , nicolas spyratos",vldb j.,monotonic complements for independent data warehouses
1760,"farnoush banaei kashani , jabed faruque , adil faisal , cyrus shahabi",vldb,insite : a tool for interpreting users ? interaction with a web space
1761,z. meral özsoyoglu,sigmod record,vice chair 's message
1762,sherri kennamer,sigmod conference,microsoft.com : a high-scale data management and transaction processing solution
1763,fox development team,sigmod conference,"object-oriented , rapid application development in a pc database environment"
1764,stefano spaccapietra,vldb,user interfaces ; who cares ?
1765,"johannes gehrke , rakesh agrawal , dimitrios gunopulos , prabhakar raghavan",sigmod conference,automatic subspace clustering of high dimensional data for data mining applications
1766,sumit ganguly,vldb,design and analysis of parametric query optimization algorithms
1767,"yunyue zhu , xiaojian zhao , dennis shasha",sigmod conference,query by humming - in action with its technology revealed
1768,"martin wechsler , ulrike glavitsch , peter schäuble",sigmod record,metadata for integrating speech documents in a text retrieval system
1769,"peter j. haas , jeffrey f. naughton , gang luo , curt ellmann",sigmod conference,a scalable hash ripple join algorithm
1770,"timos k. sellis , yannis vassiliou",sigmod record,the database group at national technical university of athens ( ntua )
1771,"rakesh agrawal , jerry kiernan",vldb,watermarking relational databases
1772,"stanley y. w. su , javier arroyo , herman lam , yuh-ming shyy",vldb j.,the design and implementation of k : a high-level knowledge-base programming language of osam * . kbms
1773,"beng chin ooi , dimitris papadias , kian-lee tan , wee siong ng , panos kalnis",sigmod conference,an adaptive peer-to-peer network for distributed caching of olap results
1774,"jonathan goldstein , raghu ramakrishnan",vldb,contrast plots and p-sphere trees : space vs. time in nearest neighbour searches
1775,"haixun wang , carlo zaniolo",vldb,using sql to build new aggregates and extenders for object - relational systems
1776,"hua zhu , kan hu , jian pei , runying mao",sigmod conference,towards data mining benchmarking : a testbed for performance study of frequent pattern mining
1777,"s. muthukrishnan , flip korn",sigmod conference,influence sets based on reverse nearest neighbor queries
1778,"heikki mannila , thomas eiter , georg gottlob",acm trans . database syst .,disjunctive datalog
1779,"leana golubchik , kelvin kwok-wai law , john c. s. lui",vldb j.,efficient support for interactive service in multi-resolution vod systems
1780,"césar a. galindo-legaria , ming-chuan wu , milind joshi , florian waas",vldb,statistics on views
1781,"arnaud sahuguet , fabien azavant",vldb,building light-weight wrappers for legacy web data-sources using w4f
1782,"divesh srivastava , kenneth a. ross",vldb,fast computation of sparse datacubes
1783,"omar benjelloun , tova milo , serge abiteboul , frederic dang ngoc , bernd amann",sigmod conference,exchanging intensional xml data
1784,"divesh srivastava , s. sudarshan , kenneth a. ross",sigmod conference,materialized view maintenance and integrity constraint checking : trading space for time
1785,"kam-yiu lam , krithi ramamritham , alan kwan",vldb,rtmonitor : real-time data monitoring using mobile agent technologies
1786,"jim melton , andrew eisenberg",sigmod record,"sql : 1999 , formerly known as sql 3"
1787,"sophie cluet , michel scholl , serge abiteboul , vassilis christophides",sigmod conference,from structured documents to novel query facilities
1788,"walid g. aref , ahmed k. elmagarmid , ihab f. ilyas",vldb,supporting top-k join queries in relational databases
1789,"michael mlivoncic , roger weber , klemens böhm , hans-jörg schek",vldb,fast evaluation techniques for complex similarity queries
1790,"gautam das , sanjay agrawal , surajit chaudhuri",sigmod conference,dbxplorer : enabling keyword search over relational databases
1791,"aiqun du , james p. callan , margaret e. connell",sigmod conference,automatic discovery of language models for text databases
1792,"vincent aguilera , dan vodislav , pierangelo veltri , sophie cluet , tova milo",vldb j.,views in a large-scale xml repository
1793,felipe cabrera,sigmod conference,the future of web services - ii
1794,"chu yee liau , aoying zhou , wee siong ng , ming zhang , bo ling , chin hong goh , yanfeng shu , kian-lee tan , yingguang li , xiaoyu wang , beng chin ooi",sigmod conference,peerdb : peering into personal databases
1795,frédéric cuppens,vldb,querying a multilevel database : a logical analysis
1796,"arnd christian könig , gerhard weikum",vldb,combining histograms and parametric curve fitting for feedback-driven query result-size estimation
1797,"hakan hacigümüs , chen li , sharad mehrotra , balakrishna r. iyer",sigmod conference,executing sql over encrypted data in the database-service-provider model
1798,"jun yang , jennifer widom",vldb j.,incremental computation and maintenance of temporal aggregates
1799,"richard hull , mohammed rupawalla , michael doherty",sigmod conference,structures for manipulating proposed updates in object-oriented databases
1800,narayanan shivakumar,sigmod conference,google in a box - building the google search appliance
1801,carrie ballinger,sigmod conference,evolving teradata decision support for massively parallel processing with unix
1802,"werner strauß , gerhard dünzinger , werner kießling , helmut schmidt",vldb j.,declare and sds : early efforts to commercialize deductive database technology
1803,"jessica m. phan , raymond t. ng",sigmod conference,gea : a toolkit for gene expression analysis
1804,hannes spintzik,vldb,informix-online xps : a dynamically scalable rdbms for open parallel platforms
1805,"richard t. snodgrass , vassilis j. tsotras , christian s. jensen",sigmod record,an extensible notation for spatiotemporal index queries
1806,"jennifer widom , stefano ceri , roberta cochrane",vldb,practical applications of triggers and constraints : success and lingering issues ( 10-year award )
1807,"mohamed zaït , giuseppe psaila , edward l. wimmers , rakesh agrawal",vldb,querying shapes of histories
1808,"eugene j. shekita , viswanath poosala , yannis e. ioannidis , peter j. haas",sigmod conference,improved histograms for selectivity estimation of range predicates
1809,"goetz graefe , patrick e. o'neil",sigmod record,multi-table joins through bitmapped join indices
1810,"graham n. c. kirby , ronald morrison , evangelos zirintsis",vldb,hyper-programming in java
1811,"angela bonifati , stefano ceri",sigmod record,comparative analysis of five xml query languages
1812,"anand rajaraman , alon y. levy , joann j. ordille",vldb,querying heterogeneous information sources using source descriptions
1813,"mahesh jagannath , eugene inseok chong , aravind yalamanchi , chuck freiwald , souripriya das , anh-tuan tran , jagannathan srinivasan , richard jiang , ramkumar krishnan",sigmod record,a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees
1814,the access team,sigmod conference,upsizing from file server to clent server architectures
1815,"tore risch , vanja josifovski",vldb,integrating heterogenous overlapping databases through object-oriented transformations
1816,"beng chin ooi , kian-lee tan , hongjun lu",vldb,on spatially partitioned temporal join
1817,nancy wiegand,sigmod record,investigating xquery for querying across database object types
1818,"peter j. haas , joseph m. hellerstein",sigmod conference,ripple joins for online aggregation
1819,"curt ellmann , roger lueder , jignesh m. patel , jie-bing yu , nancy e. hall , josef burger , david j. dewitt , navin kabra , karthikeyan ramasamy , shelly guo , jeffrey f. naughton , biswadeep nag , jim kupsch , kristin tufte",sigmod conference,"building a scaleable geo-spatial dbms : technology , implementation , and evaluation"
1820,c. mohan,sigmod conference,a survey and critique of advanced transaction models
1821,c. mohan,vldb,caching technologies for web applications
1822,arnon rosenthal,sigmod record,where will object techonology drive data administration ?
1823,"michael stonebraker , mitch cherniack , donald carney , stanley b. zdonik , alex rasin , ugur çetintemel",vldb,operator scheduling in a data stream manager
1824,"anil nori , vishu krishnamurthy , sandeepan banerjee",sigmod conference,bringing object-relational technology to mainstream
1825,won kim,sigmod record,observations on the odmg-93 proposal
1826,hasan m. jamil,vldb,implementing abstract objects with inheritance in datalogneg
1827,"jun gao , jian pei , tengjiao wang , shiwei tang , yuqing wu , dongqing yang",sigmod conference,"commix : towards effective web information extraction , integration and query answering"
1828,"manfred hauswirth , karl aberer , philippe cudré-mauroux",sigmod record,a framework for semantic gossiping
1829,"gio wiederhold , byung suk lee",vldb j.,efficiently instantiating view-objects from remote relational databases
1830,"randall g. bello , william d. norcott , mohamed ziauddin , harry sun , karl dias , alan downing , james j. feenan jr. , andrew witkowski , james l. finnerty",vldb,materialized views in oracle
1831,"eric dujardin , eric simon , marie-jo bellosta , eric amiel",vldb,supporting exceptions to schema consistency to ease schema evolution in oodbms
1832,"albertas caplinskas , johann eder , olegas vasilecas",sigmod record,advances in databases and information systems ( adbis )
