publication_id,article_year,journal_title,event_location,contributors
26,1999,the aqua approximate query answering system,international conference on management of data,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy"
27,1999,tam : a system for dynamic transactional activity management,international conference on management of data,"tong zhou , ling liu , calton pu"
28,1999,exploratory mining via constrained frequent set queries,international conference on management of data,"raymond ng , laks v. s. lakshmanan , jiawei han , teresa mah"
29,1999,evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes,international conference on management of data,"e. a. rundensteiner , a. koeller , x. zhang , a. j. lee , a. nica , a. van wyk , y. lee"
30,1999,phoenix : making applications robust,international conference on management of data,"roger barga , david b. lomet"
31,1999,nodose version 2.0,international conference on management of data,"brad adelberg , matthew denny"
32,1999,bringing object-relational technology to the mainstream,international conference on management of data,"vishu krishnamurthy , sandeepan banerjee , anil nori"
33,1999,implementing the spirit of sql-99,international conference on management of data,paul brown
34,1999,managing web data,international conference on management of data,dan suciu
35,1999,"o-o , what 's happening to db2 ?",international conference on management of data,"m. carey , d. chamberlin , d. doole , s. rielau , n. mattos , s. narayanan , b. vance , r. swagerman"
36,1999,hypertext databases and data mining,international conference on management of data,soumen chakrabarti
37,1999,clustering methods for large databases : from the past to the future,international conference on management of data,"alexander hinneburg , daniel a. keim"
38,1999,petabyte databases,international conference on management of data,dirk d &#252; llmann
39,1999,a database perspective on lotus domino/notes,international conference on management of data,c. mohan
40,1999,microsoft site server ( commerce ed . ) : talk-slides available at the conference,international conference on management of data,bassel ojjeh
41,1999,e-commerce database issues and experience : ( talk-slides available at at the conference ),international conference on management of data,anand rajaraman
42,1999,merge replication in microsoft 's sql server 7.0,international conference on management of data,brad hammond
43,1999,in-memory data management for consumer transactions the timesten approach,international conference on management of data,corporate timesten team
44,1999,emc information sharing : direct access to mvs data from unix and nt,international conference on management of data,walt kohler
45,1999,daytona and the foruth-generation language cymbal,international conference on management of data,rick greer
46,1999,datablitz storage manager : main-memory database performance for critical applications,international conference on management of data,"j. baulier , p. bohannon , s. gogate , c. gupta , s. haldar"
47,1999,indexing medium-dimensionality data in oracle,international conference on management of data,"k. v. ravi kanth , siva ravada , jayant sharma , jay banerjee"
48,1999,storing semistructured data with stored,international conference on management of data,"alin deutsch , mary fernandez , dan suciu"
49,1999,efficient geometry-based similarity search of 3d spatial databases,international conference on management of data,daniel a. keim
50,1999,a new method for similarity indexing of market basket data,international conference on management of data,"charu c. aggarwal , joel l. wolf , philip s. yu"
51,1999,walrus : a similarity retrieval algorithm for image databases,international conference on management of data,"apostol natsev , rajeev rastogi , kyuseok shim"
52,1999,shrinking the warehouse update window,international conference on management of data,"wilburt juan labio , ramana yerneni , hector garcia-molina"
53,1999,dynamat : a dynamic view management system for data warehouses,international conference on management of data,"yannis kotidis , nick roussopoulos"
54,1999,bottom-up computation of sparse and iceberg cube,international conference on management of data,"kevin beyer , raghu ramakrishnan"
55,1999,client-site query extensions,international conference on management of data,"tobias mayr , praveen seshadri"
56,1999,data management issues in electronic commerce,international conference on management of data,m. tamer &#214; zsu
57,1999,"of crawlers , portals , mice , and men : is there more to mining the web ?",international conference on management of data,"minos n. garofalakis , sridhar ramaswamy , rajeev rastogi , kyuseok shim"
58,1999,"honey , i shrunk the database : footprint , mobility , and beyond",international conference on management of data,praveen seshadri
59,1999,a layered architecture for querying dynamic web content,international conference on management of data,"hasan davulcu , juliana freire , michael kifer , i. v. ramakrishnan"
60,1999,automatic discovery of language models for text databases,international conference on management of data,"jamie callan , margaret connell , aiqun du"
61,1999,record-boundary discovery in web documents,international conference on management of data,"d. w. embley , y. jiang , y.-k . ng"
62,1999,query rewriting for semistructured data,international conference on management of data,"yannis papakonstantinou , vasilis vassalos"
63,1999,computing capabilities of mediators,international conference on management of data,"ramana yerneni , chen li , hector garcia-molina , jeffrey ullman"
64,2000,high speed on-line backup when using logical log operations,international conference on management of data,david b. lomet
65,2000,efficient resumption of interrupted warehouse loads,international conference on management of data,"wilburt juan labio , janet l. wiener , hector garcia-molina , vlad gorelik"
66,2000,on-line reorganization in object databases,international conference on management of data,"mohana k. lakhamraju , rajeev rastogi , s. seshadri , s. sudarshan"
67,2000,finding generalized projected clusters in high dimensional spaces,international conference on management of data,"charu c. aggarwal , philip s. yu"
68,2000,density biased sampling : an improved method for data mining and clustering,international conference on management of data,"christopher r. palmer , christos faloutsos"
69,2000,lof : identifying density-based local outliers,international conference on management of data,"markus m. breunig , hans-peter kriegel , raymond t. ng , j &#246; rg sander"
70,2000,answering complex sql queries using automatic summary tables,international conference on management of data,"markos zaharioudakis , roberta cochrane , george lapis , hamid pirahesh , monica urata"
71,2000,synchronizing a database to improve freshness,international conference on management of data,"junghoo cho , hector garcia-molina"
72,2000,how to roll a join : asynchronous incremental view maintenance,international conference on management of data,"kenneth salem , kevin beyer , bruce lindsay , roberta cochrane"
73,2000,on wrapping query languages and efficient xml integration,international conference on management of data,"vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on"
74,2000,xmill : an efficient compressor for xml data,international conference on management of data,"hartmut liefke , dan suciu"
75,2000,xtract : a system for extracting document type descriptors from xml documents,international conference on management of data,"minos garofalakis , aristides gionis , rajeev rastogi , s. seshadri , kyuseok shim"
76,2000,spatial join selectivity using power laws,international conference on management of data,"christos faloutsos , bernhard seeger , agma traina , caetano traina , jr."
77,2000,mocha : a self-extensible database middleware system for distributed data sources,international conference on management of data,"manuel rodr &#237; guez-mart &#237; nez , nick roussopoulos"
78,2000,closest pair queries in spatial databases,international conference on management of data,"antonio corral , yannis manolopoulos , yannis theodoridis , michael vassilakopoulos"
79,2000,influence sets based on reverse nearest neighbor queries,international conference on management of data,"flip korn , s. muthukrishnan"
80,1999,security of random data perturbation methods,acm transactions on database systems ( tods ),"krishnamurty muralidhar , rathindra sarathy"
81,1999,improving database design through the analysis of relationships,acm transactions on database systems ( tods ),"debabrata dey , veda c. storey , terence m. barron"
82,1999,the sift information dissemination system,acm transactions on database systems ( tods ),"tak w. yan , hector garcia-molina"
83,1999,an ontological analysis of the relationship construct in conceptual modeling,acm transactions on database systems ( tods ),"yair wand , veda c. storey , ron weber"
84,1999,chorochronos : a research network for spatiotemporal database systems,acm sigmod record,"andrew frank , stephane grumbach , ralf hartmut g &#252; ting , christian s. jensen , manolis koubarakis , nikos lorentzos , yannis manolopoulos , enrico nardelli , barbara pernici , hans-j &#246; rg schek , michel scholl , timos sellis , babis theodoulidis , peter widmayer"
85,1999,engineering federated information systems : report of eefis '99 workshop,acm sigmod record,"s. conrad , w. hasselbring , u. hohenstein , r.-d . kutsche , m. roantree , g. saake , f. saltor"
86,1999,first-class views : a key to user-centered computing,acm sigmod record,"arnon rosenthal , edward sciore"
87,1999,cost estimation of user-defined methods in object-relational database systems,acm sigmod record,"jihad boulos , kinji ono"
88,1999,distributed transactions in practice,acm sigmod record,"prabhu ram , lyman do , pamela drew"
89,1999,on mutli-resolution document transmission in mobile web,acm sigmod record,"stanley m. t. yau , hong va leong , dennis mcleod , antonio si"
90,1999,an overview and classification of mediated query systems,acm sigmod record,"ruxandra domenig , klaus r. dittrich"
91,1999,"a distributed scientific data archive using the web , xml and sql/med",acm sigmod record,"mark papiani , jasmin l. wason , alistair n. dunlop , denis a. nicole"
92,2000,mining frequent patterns without candidate generation,international conference on management of data,"jiawei han , jian pei , yiwen yin"
93,1999,database research at the university of oklahoma,acm sigmod record,"le gruenwald , leonard brown , ravi dirckze , sylvain guinepain , carlos sanchez , brian summers , sirirut vanichayobon"
94,2000,turbo-charging vertical mining of large databases,international conference on management of data,"pradeep shenoy , jayant r. haritsa , s. sundarshan , gaurav bhalotia , mayank bawa , devavrat shah"
95,2000,data mining on an oltp system ( nearly ) for free,international conference on management of data,"erik riedel , christos faloutsos , gregory r. ganger , david f. nagle"
96,1999,a study on data point search for hg-trees,acm sigmod record,"joseph kuan , paul lewis"
97,1999,the oasis multidatabase prototype,acm sigmod record,"mark roantree , john murphy , wilhelm hasselbring"
98,1999,efficient materialization and use of views in data warehouses,acm sigmod record,"m &#225; rcio farias de souza , marcus costa sampaio"
99,1999,design principles for data-intensive web sites,acm sigmod record,"stefano ceri , piero fraternali , stefano paraboschi"
100,1999,"sql : 1999 , formerly known as sql3",acm sigmod record,"andrew eisenberg , jim melton"
101,1999,broadcast protocols to support efficient retrieval from databases by mobile users,acm transactions on database systems ( tods ),"anindya datta , debra e. vandermeer , aslihan celik , vijay kumar"
102,1999,video anywhere : a system for searching and managing distributed heterogeneous video assets,acm sigmod record,"amit sheth , clemens bertram , kshitij shah"
103,1999,nsf workshop on industrial/academic cooperation in database systems,acm sigmod record,"mike carey , len seligman"
104,1999,optimization of queries with user-defined predicates,acm transactions on database systems ( tods ),"surajit chaudhuri , kyuseok shim"
105,1999,gloss : text-source discovery over the internet,acm transactions on database systems ( tods ),"luis gravano , h &#233; ctor garc &#237; a-molina , anthony tomasic"
106,1999,database design for incomplete relations,acm transactions on database systems ( tods ),"mark levene , george loizou"
107,1999,temporal fds on complex objects,acm transactions on database systems ( tods ),jef wijsen
108,1999,indexing large metric spaces for similarity search queries,acm transactions on database systems ( tods ),"tolga bozkaya , meral ozsoyoglu"
109,1999,specification and implementation of exceptions in workflow management systems,acm transactions on database systems ( tods ),"fabio casati , stefano ceri , stefano paraboschi , guiseppe pozzi"
110,1999,distance browsing in spatial databases,acm transactions on database systems ( tods ),"g &#237; sli r. hjaltason , hanan samet"
111,1999,type-checking oql queries in the odmg type systems,acm transactions on database systems ( tods ),suad alag &#237; c
112,1998,the middleware muddle,acm sigmod record,david ritter
113,1998,the asilomar report on database research,acm sigmod record,"phil bernstein , michael brodie , stefano ceri , david dewitt , mike franklin , hector garcia-molina , jim gray , jerry held , joe hellerstein , h. v. jagadish , michael lesk , dave maier , jeff naughton , hamid pirahesh , mike stonebraker , jeff ullman"
114,1998,electronic market : the roadmap for university libraries and members to survive in the information jungle,acm sigmod record,"michael christoffel , sebastian pulkowski , bethina schmitt , peter c. lockemann"
115,1998,an anonymous electronic commerce scheme with an off-line authority and untrusted agents,acm sigmod record,"josep domingo-ferrer , jordi herrera-joancomart &#237;"
116,1999,semantic and pedagogic interoperability mechanisms in the ariadne educational repository,acm sigmod record,"e. forte , f. haenni , k. warkentyne , e. duval , k. cardinaels , e. vervaet , k. hendrikx , m. wentland forte , f. simillion"
117,1999,semantic integration of environmental models for application to global information systems and decision-making,acm sigmod record,d. scott mackay
118,1999,semantic interoperability in global information systems,acm sigmod record,"a. m. ouksel , a. sheth"
119,1998,"sqlj part 0 , now known as sql/olb ( object-language bindings )",acm sigmod record,"andrew eisenberg , jim melton"
120,1999,dynamic service matchmaking among agents in open information environments,acm sigmod record,"katia sycara , matthias klusch , seth widoff , jianguo lu"
121,1999,contextualizing the information space in federated digital libraries,acm sigmod record,"m. p. papazoglou , j. hoppenbrouwers"
122,1999,semantic video indexing : approach and issues,acm sigmod record,arun hampapur
123,1999,unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,acm sigmod record,"ken smith , leo obrst"
124,1999,report on the 13th brazilian symposium on database systems ( sbbd ' 98 ),acm sigmod record,"mario a. nascimento , claudia bauzer medeiros"
125,1999,semantic interoperability in information services : experiencing with coopware,acm sigmod record,avigdor gal
126,1999,agent-based semantic interoperability in infosleuth,acm sigmod record,"jerry fowler , brad perry , marian nodine , bruce bargmeyer"
127,1999,semantic integration of semistructured and structured data sources,acm sigmod record,"s. bergamaschi , s. castano , m. vincini"
128,1995,keynote address,international conference on management of data,robert s. epstein
129,1995,keynote address,international conference on management of data,larry j. ellison
130,1997,object normal forms and dependency constraints for object-oriented schemata,acm transactions on database systems ( tods ),"zahir tari , john stokes , stefano spaccapietra"
131,1997,database design with common sense business reasoning and learning,acm transactions on database systems ( tods ),"veda c. storey , roger h. l. chiang , debabrata dey , robert c. goldstein , shankar sudaresan"
132,1998,inverted files versus signature files for text indexing,acm transactions on database systems ( tods ),"justin zobel , alistair moffat , kotagiri ramamohanarao"
133,1998,ensuring consistency in multidatabases by preserving two-level serializability,acm transactions on database systems ( tods ),"sharad mehrotra , rajeev rastogi , henry f. korth , abraham silberschatz"
134,1998,towards a theory of cost management for digital libraries and electronic commerce,acm transactions on database systems ( tods ),"a. prasad sistla , ouri wolfson , yelena yesha , robert sloan"
135,1998,information gathering in the world-wide web : the w3ql query language and the w3qs system,acm transactions on database systems ( tods ),"david konopnicki , oded shmueli"
136,1998,a protein patent query system powered by kleisli,international conference on management of data,"jing chen , limsoon wong , louxin zhang"
137,1998,dtl 's dataspot : database exploration as easy as browsing the web ...,international conference on management of data,"shaul dar , gadi entin , shai geva , eran palmon"
138,1998,multiview access protocols for large-scale replication,acm transactions on database systems ( tods ),"xiangning liu , abdelsalam helal , weimin du"
139,1998,optimization techniques for queries with expensive methods,acm transactions on database systems ( tods ),joseph m. hellerstein
140,1998,multimediaminer : a system prototype for multimedia data mining,international conference on management of data,"osmar r. za &#239; ane , jiawei han , ze-nian li , sonny h. chee , jenny y. chiang"
141,1998,xmas : an extensible main-memory storage system for high-performance applications,international conference on management of data,"jang ho park , yong sik kwon , ki hong kim , sang ho lee , byoung dae park , sang kyun cha"
142,1998,the idea web lab,international conference on management of data,"stefano ceri , piero fraternali , stefano paraboschi"
143,1998,supersql : an extended sql for database publishing and presentation,international conference on management of data,motomichi toyama
144,1998,control : continuous output and navigation technology with refinement on-line,international conference on management of data,"ron avnur , joseph m. hellerstein , bruce lo , chris olston , bhaskaran raman , vijayshankar raman , tali roth , kirk wylie"
145,1998,amdb : an access method debugging tool,international conference on management of data,"marcel kornacker , mehul shah , joseph m. hellerstein"
146,1998,user-oriented smart-cache for the web : what you seek is what you get !,international conference on management of data,"zo &#233; lacroix , arnaud sahuguet , raman chandrasekar"
147,1998,the multidimensional database system rasdaman,international conference on management of data,"p. baumann , a. dehmel , p. furtado , r. ritsch , n. widmann"
148,1998,flowback : providing backward recovery for workflow management systems,international conference on management of data,"bartek kiepuszewski , ralf muhlberger , maria e. orlowska"
149,1998,providing database-like access to the web using queries based on textual similarity,international conference on management of data,william w. cohen
150,1998,ariadne : a system for constructing mediators for internet sources,international conference on management of data,"jos &#233; luis ambite , naveen ashish , greg barish , craig a. knoblock , steven minton , pragnesh j. modi , ion muslea , andrew philpot , sheila tejada"
151,1998,capability based mediation in tsimmis,international conference on management of data,"chen li , ramana yerneni , vasilis vassalos , hector garcia-molina , yannis papakonstantinou , jeffrey ullman , murty valiveti"
152,1998,the araneus web-based management system,international conference on management of data,"g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo"
153,1998,cq : a personalized update monitoring toolkit,international conference on management of data,"ling liu , calton pu , wei tang , david buttler , john biggs , tong zhou , paul benninghoff , wei han , fenghua yu"
154,1998,datasplash,international conference on management of data,"chris olston , allison woodruff , alexander aiken , michael chu , vuk ercegovac , mark lin , mybrid spalding , michael stonebraker"
155,1998,microsoft index turning wizard for sql server 7.0,international conference on management of data,"surajit chaudhuri , vivek narasayya"
156,1998,olympic records for data at the 1998 nagano games,international conference on management of data,edwin r. lassettre
157,1998,delivering high availability for inktomi search engines,international conference on management of data,eric a. brewer
158,1998,microsoft.com : a high-scale data management and transaction processing solution,international conference on management of data,sherri kennamer
159,1998,free parallel data mining,international conference on management of data,"bin li , dennis shasha"
160,1998,real business processing meets the web,international conference on management of data,james chong
161,1998,"developing a high traffic , read-only web site",international conference on management of data,"john nauman , ray suorsa"
162,1998,filenet integrated document management database usage and issues,international conference on management of data,daniel s. whelan
163,1998,about quark digital media system,international conference on management of data,kamar aulakh
164,1998,"50,000 users on an oracle8 universal server database",international conference on management of data,"tirthankar lahiri , ashok joshi , amit jasuja , sumanta chatterjee"
165,1998,oracle rdb 's record caching model,international conference on management of data,"richard anderson , gopalan arun , richard frank"
166,1998,a data mining application : customer retention at the port of singapore authority ( psa ),international conference on management of data,"kiansing ng , huan liu , hweebong kwah"
167,1998,transactional publish/subscribe : the proactive multicast of database changes ( abstract ),international conference on management of data,arvola chan
168,1998,the pointcast network ( abstract ),international conference on management of data,"satish ramakrishnan , vibha dayal"
169,1998,data in your face : push technology in perspective,international conference on management of data,"michael franklin , stan zdonik"
170,1998,"ubiquitous , self-tuning , scalable servers",international conference on management of data,peter spiro
171,1998,database systems management and oracle8,international conference on management of data,c. gregory doherty
172,1998,managing large systems with db2 udb,international conference on management of data,chris eaton
173,1998,sql open heterogeneous data access,international conference on management of data,"berthold reinwald , hamid pirahesh"
174,1998,enterprise java platform data access,international conference on management of data,"seth white , rick cattell , shel finkelstein"
175,1998,microsoft universal data access platform,international conference on management of data,"jos &#233; a. blakeley , michael j. pizzo"
176,1998,java and relational databases ( tutorial ) : sqlj,international conference on management of data,"gray clossman , phil shaw , mark hapner , johannes klein , richard pledereder , brian becker"
177,1998,high-dimensional index structures database support for next decade 's applications ( tutorial ),international conference on management of data,"stefan berchtold , daniel a. keim"
178,1998,electronic commerce : tutorial,international conference on management of data,"nabil r. adam , yelena yesha"
179,1998,sap r/3 ( tutorial ) : a database application system,international conference on management of data,"alfons kemper , donald kossmann , florian matthes"
180,1998,are we working on the right problems ? ( panel ),international conference on management of data,michael stonebraker
181,1998,next generation database systems wo n't work without semantics ! ( panel ),international conference on management of data,john mylopoulos
182,1998,memory management during run generation in external sorting,international conference on management of data,"per - &#197; ke larson , goetz graefe"
183,1998,"replication , consistency , and practicality : are these mutually exclusive ?",international conference on management of data,"todd anderson , yuri breitbart , henry f. korth , avishai wool"
184,1998,wavelet-based histograms for selectivity estimation,international conference on management of data,"yossi matias , jeffrey scott vitter , min wang"
185,1998,efficient transparent application recovery in client-server information systems,international conference on management of data,"david lomet , gerhard weikum"
186,1998,approximate medians and other quantiles in one pass and with limited memory,international conference on management of data,"gurmeet singh manku , sridhar rajagopalan , bruce g. lindsay"
187,1998,random sampling for histogram construction : how much is enough ?,international conference on management of data,"surajit chaudhuri , rajeev motwani , vivek narasayya"
188,1998,a multi-similarity algebra,international conference on management of data,"s. adali , p. bonatti , m. l. sapino , v. s. subrahmanian"
189,1998,catching the boat with strudel : experiences with a web-site management system,international conference on management of data,"mary fern &#225; ndez , daniela florescu , jaewoo kang , alon levy , dan suciu"
190,1998,on parallel processing of aggregate and scalar functions in object-relational dbms,international conference on management of data,"michael jaedicke , bernhard mitschang"
191,1998,secure and portable database extensibility,international conference on management of data,"michael godfrey , tobias mayr , praveen seshadri , thorsten von eicken"
192,1999,on random sampling over joins,international conference on management of data,"surajit chaudhuri , rajeev motwani , vivek narasayya"
193,1999,random sampling techniques for space efficient online computation of order statistics of large datasets,international conference on management of data,"gurmeet singh manku , sridhar rajagopalan , bruce g. lindsay"
194,1999,ripple joins for online aggregation,international conference on management of data,"peter j. haas , joseph m. hellerstein"
195,1999,join synopses for approximate query answering,international conference on management of data,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy"
196,1999,query optimization in the presence of limited access patterns,international conference on management of data,"daniela florescu , alon levy , ioana manolescu , dan suciu"
197,1999,an adaptive query execution system for data integration,international conference on management of data,"zachary g. ives , daniela florescu , marc friedman , alon levy , daniel s. weld"
198,1999,mind your vocabulary : query mapping across heterogeneous information sources,international conference on management of data,"chen-chuan k. chang , h &#233; ctor garc &#237; a-molina"
199,1999,query processing techniques for arrays,international conference on management of data,"arunprasad p. marathe , kenneth salem"
200,1999,boat-optimistic decision tree construction,international conference on management of data,"johannes gehrke , venkatesh ganti , raghu ramakrishnan , wei-yin loh"
201,1999,optimization of constrained frequent set queries with 2-variable constraints,international conference on management of data,"laks v. s. lakshmanan , raymond ng , jiawei han , alex pang"
202,1999,approximate computation of multidimensional aggregates of sparse data using wavelets,international conference on management of data,"jeffrey scott vitter , min wang"
203,1999,self-tuning histograms : building histograms without looking at data,international conference on management of data,"ashraf aboulnaga , surajit chaudhuri"
204,1999,an efficient bitmap encoding scheme for selection queries,international conference on management of data,"chee-yong chan , yannis e. ioannidis"
205,1999,multi-dimensional selectivity estimation using compressed histogram information,international conference on management of data,"ju-hong lee , deok-hwan kim , chin-wan chung"
206,1999,a comparison of selectivity estimators for range queries on metric attributes,international conference on management of data,"bj &#246; rn blohsfeld , dieter korus , bernhard seeger"
207,1999,query optimization for selections using bitmaps,international conference on management of data,ming-chuan wu
208,1999,fast algorithms for projected clustering,international conference on management of data,"charu c. aggarwal , joel l. wolf , philip s. yu , cecilia procopiuc , jong soo park"
209,1999,logical logging to extend recovery to new domains,international conference on management of data,"david lomet , mark tuttle"
210,1999,efficient concurrency control for broadcast environments,international conference on management of data,"jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham"
211,1999,update propagation protocols for replicated databates,international conference on management of data,"yuri breitbart , raghavan komondoor , rajeev rastogi , s. seshadri , avi silberschatz"
212,1999,belief reasoning in mls deductive databases,international conference on management of data,hasan m. jamil
213,1999,a multimedia presentation algebra,international conference on management of data,"s. adali , m. l. sapino , v. s. subrahmanian"
214,1999,querying network directories,international conference on management of data,"h. v. jagadish , laks v. s. lakshmanan , tova milo , divesh srivastava , dimitra vista"
215,1999,online association rule mining,international conference on management of data,christian hidber
216,1998,conceptual schema analysis : techniques and applications,acm transactions on database systems ( tods ),"s. castano , v. de antonellis , m. g. fugini , b. pernici"
217,1998,an access control model supporting periodicity constraints and temporal reasoning,acm transactions on database systems ( tods ),"elisa bertino , claudio bettini , elena ferrari , pierangela samarati"
218,1998,an efficient method for checking object-oriented database schema correctness,acm transactions on database systems ( tods ),"a. formica , h. d. groger , m. missikoff"
219,1999,integration of spatial join algorithms for processing multiple inputs,international conference on management of data,"nikos mamoulis , dimitris papadias"
220,1999,selectivity estimation in spatial databases,international conference on management of data,"swarup acharya , viswanath poosala , sridhar ramaswamy"
221,1999,efficient concurrency control in multidimensional access methods,international conference on management of data,"kaushik chakrabarti , sharad mehrotra"
222,1999,snakes and sandwiches : optimal clustering strategies for a data warehouse,international conference on management of data,"h. v. jagadish , laks v. s. lakshmanan , divesh srivastava"
223,1999,optics : ordering points to identify the clustering structure,international conference on management of data,"mihael ankerst , markus m. breunig , hans-peter kriegel , j &#246; rg sander"
224,1998,a case for intelligent disks ( idisks ),acm sigmod record,"kimberly keeton , david a. patterson , joseph m. hellerstein"
225,1998,the trigs active object-oriented database system - an overview,acm sigmod record,"g. kappel , w. retschitzegger"
226,1998,reminiscences on influential papers,acm sigmod record,richard snodgrass
227,1998,b-tree page size when caching is considered,acm sigmod record,david lomet
228,1998,the microsoft database research group,acm sigmod record,"david lomet , roger barga , surajit chaudhuri , paul larson , vivek narasayya"
229,1998,database research at columbia university,acm sigmod record,"shih-fu chang , luis gravano , gail e. kaiser , kenneth a. ross , salvatore j. stolfo"
230,1998,database techniques for the world-wide web : a survey,acm sigmod record,"daniela florescu , alon levy , alberto mendelzon"
231,1998,standards in practice,acm sigmod record,"andrew eisenberg , jim melton"
232,1998,safe query languages for constraint databases,acm transactions on database systems ( tods ),peter z. revesz
233,1998,supporting valid-time indeterminacy,acm transactions on database systems ( tods ),"curtis e. dyreson , richard thomas snodgrass"
234,1996,the garlic project,international conference on management of data,"m. tork roth , m. arya , l. haas , m. carey , w. cody , r. fagin , p. schwarz , j. thomas , e. wimmers"
235,1996,bess : storage support for interactive visualization systems,international conference on management of data,"a. biliris , t. a. funkhouser , w. o'connell , e. panagos"
236,1998,algebraic change propagation for semijoin and outerjoin queries,acm sigmod record,"timothy griffin , bharat kumar"
237,1998,enhanced nearest neighbour search on the r-tree,acm sigmod record,"king lum cheung , ada wai-chee fu"
238,1998,report on the 5th international workshop on knowledge representation meets databases ( krdb ' 98 ),acm sigmod record,"alex borgida , vinay k. chaudhri , martin staudt"
239,1998,safe stratified datalog with integer order does not have syntax,acm transactions on database systems ( tods ),"alexei p. stolboushkin , michael a. taitslin"
240,1996,dbminer : interactive mining of multiple-level knowledge in relational databases,international conference on management of data,"jaiwei han , youngjian fu , wei wang , jenny chiang , osmar r. za &#239; ane , krzysztof koperski"
241,1996,prospector : a content-based multimedia server for massively parallel architectures,international conference on management of data,"s. choo , w. o'connell , g. linerman , h. chen , k. ganapathy , a. biliris , e. panagos , d. schrader"
242,1996,dbsim : a simulation tool for predicting database performance,international conference on management of data,"mark lefler , mark stokrp , craig wong"
