acm_record_id,doc_year,study_title,author_names,conference_name
935,1997,a language for manipulating arrays,"arunprasad p. marathe , kenneth salem",very large data bases
936,1997,using versions in update transactions : application to integrity checking,"fran &#231; ois llirbat , eric simon , dimitri tombroff",very large data bases
937,1997,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources","mary tork roth , peter m. schwarz",very large data bases
938,2002,views in a large-scale xml repository,"vincent aguilera , sophie cluet , tova milo , pierangelo veltri , dan vodislav",the vldb journal -- the international journal on very large data bases
939,2002,database indexing for large dna and protein sequence collections,"ela hunt , malcolm p. atkinson , robert w. irving",the vldb journal -- the international journal on very large data bases
940,1997,optimizing queries across diverse data sources,"laura m. haas , donald kossmann , edward l. wimmers , jun yang",very large data bases
941,1997,spatial joins using r-trees : breadth-first traversal with global optimizations,"yun-wu huang , ning jing , elke a. rundensteiner",very large data bases
942,1997,fast computation of sparse datacubes,"kenneth a. ross , divesh srivastava",very large data bases
943,1997,merging ranks from heterogeneous internet sources,"luis gravano , hector garcia-molina",very large data bases
944,1997,a generic approach to bulk loading multidimensional index structures,"jochen van den bercken , bernhard seeger , peter widmayer",very large data bases
945,1997,a region splitting strategy for physical database design of multidimensional file organizations,"jong-hak lee , young-koo lee , kyu-young whang , il-yeol song",very large data bases
946,1997,to weave the web,"paolo atzeni , giansalvatore mecca , paolo merialdo",very large data bases
947,1997,incremental organization for data recording and warehousing,"h. v. jagadish , p. p. s. narayan , s. seshadri , s. sudarshan , rama kanneganti",very large data bases
948,1997,distributed processing over stand-alone systems and applications,"gustavo alonso , claus hagen , hans-j &#246; rg schek , markus tresch",very large data bases
949,1997,materialized views selection in a multidimensional database,"elena baralis , stefano paraboschi , ernest teniente",very large data bases
950,1997,parallel algorithms for high-dimensional similarity joins for data mining applications,"john c. shafer , rakesh agrawal",very large data bases
951,1997,logical and physical versioning in main memory databases,"rajeev rastogi , s. seshadri , philip bohannon , dennis w. leinbaugh , abraham silberschatz , s. sudarshan",very large data bases
952,1997,dataguides : enabling query formulation and optimization in semistructured databases,"roy goldman , jennifer widom",very large data bases
953,1997,principles of optimally placing data in tertiary storage libraries,"stavros christodoulakis , peter triantafillou , fenia zioga",very large data bases
954,1997,dynamic memory adjustment for external mergesort,"weiye zhang , per - &#197; ke larson",very large data bases
955,1997,m-tree : an efficient access method for similarity search in metric spaces,"paolo ciaccia , marco patella , pavel zezula",very large data bases
956,1997,integrating sql databases with content-specific search engines,"stefan de &#223; loch , nelson mendon &#231; a mattos",very large data bases
957,1997,the oracle universal server buffer,"william bridge , ashok joshi , m. keihl , tirthankar lahiri , juan loaiza , n. macnaughton",very large data bases
958,1997,the case for enhanced abstract data types,"praveen seshadri , miron livny , raghu ramakrishnan",very large data bases
959,1997,caprera : an activity framework for transaction processing on wide-area networks,"suresh kumar , eng-kee kwang , divyakant agrawal",very large data bases
960,1998,hash joins and hash teams in microsoft sql server,"goetz graefe , ross bunker , shaun cooper",very large data bases
961,1998,nd-sql : a multi-dimensional language for interoperability and olap,"fr &#233; d &#233; ric gingras , laks v. s. lakshmanan",very large data bases
962,1998,algorithms for querying by spatial structure,"dimitris papadias , nikos mamoulis , vasilis delis",very large data bases
963,1998,expiring data in a warehouse,"hector garcia-molina , wilburt labio , jun yang",very large data bases
964,1998,fast high-dimensional data search in incomplete databases,"beng chin ooi , cheng hian goh , kian-lee tan",very large data bases
965,1998,bank of america case study : the information currency advantage,"felipe cari &#241; o , mark jahnke",very large data bases
966,1998,plan-per-tuple optimization solution - parallel execution of expensive user-defined functions,"felipe cari &#241; o , william o'connell",very large data bases
967,1998,querying continuous time sequences,"ling lin , tore risch",very large data bases
968,1998,"ratio rules : a new paradigm for fast , quantifiable data mining","flip korn , alexandros labrinidis , yannis kotidis , christos faloutsos",very large data bases
969,1998,"design , implementation , and performance of the lham log-structured history data access method","peter muth , patrick e. o'neil , achim pick , gerhard weikum",very large data bases
970,1998,scalable techniques for mining causal structures,"craig silverstein , sergey brin , rajeev motwani , jeffrey d. ullman",very large data bases
971,1998,heterogeneous database query optimization in db2 universal datajoiner,"shivakumar venkataraman , tian zhang",very large data bases
972,1997,towards an odmg-compliant visual object query language,"manoj chavda , peter t. wood",very large data bases
973,1997,effective memory use in a media server,"edward y. chang , hector garcia-molina",very large data bases
974,1998,architecture of oracle parallel server,"roger bamford , d. butler , boris klots , n. macnaughton",very large data bases
975,1998,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,"m. tamer &#214; zsu , kaladhar voruganti , ronald c. unrau",very large data bases
976,1998,filtering with approximate predicates,"narayanan shivakumar , hector garcia-molina , chandra chekuri",very large data bases
977,1998,starting ( and sometimes ending ) a database company,jack a. orenstein,very large data bases
978,1998,the adabas buffer pool manager,harald sch &#246; ning,very large data bases
979,1998,the cubetree storage organization,"nick roussopoulos , yannis kotidis",very large data bases
980,1998,datablitz : a high performance main-memory storage manager,"jerry baulier , philip bohannon , s. gogate , s. joshi , c. gupta , a. khivesera , henry f. korth , peter mcilroy , j. miller , p. p. s. narayan , m. nemeth , rajeev rastogi , abraham silberschatz , s. sudarshan",very large data bases
981,1998,small materialized aggregates : a light weight index structure for data warehousing,guido moerkotte,very large data bases
982,1998,inferring function semantics to optimize queries,"mitch cherniack , stanley b. zdonik",very large data bases
983,1998,a single pass computing engine for interactive analysis of vldbs,ted mihalisin,very large data bases
984,1998,on the discovery of interesting patterns in association rules,"sridhar ramaswamy , sameer mahajan , abraham silberschatz",very large data bases
985,1998,technology and the future of commerce and finance ( abstract ),david elliot shaw,very large data bases
986,1998,incremental maintenance for materialized views over semistructured data,"serge abiteboul , jason mchugh , michael rys , vasilis vassalos , janet l. wiener",very large data bases
987,1998,the drill down benchmark,"peter a. boncz , tim r &#252; hl , fred kwakkel",very large data bases
988,1998,reducing the braking distance of an sql query engine,"michael j. carey , donald kossmann",very large data bases
989,1998,issues in developing very large data warehouses,"lyman do , pamela drew , wei jin , vish jumani , david van rossum",very large data bases
990,1998,is web-site management a database problem ?,"daniela florescu , alon y. levy , dan suciu",very large data bases
991,1998,a database system for real-time event aggregation in telecommunication,"jerry baulier , stephen blott , henry f. korth , abraham silberschatz",very large data bases
992,1998,a raster approximation for processing of spatial joins,"geraldo zimbrao , jano moreira de souza",very large data bases
993,1998,diag-join : an opportunistic join algorithm for 1 : n relationships,"sven helmer , till westmann , guido moerkotte",very large data bases
994,1998,the heterogeneity problem and middleware technology : experiences with and performance of database gateways,"fernando de ferreira rezende , klaudia hergula",very large data bases
995,1998,bridging heterogeneity : research and practice of database middleware technology,"fernando de ferreira rezende , g &#252; nter sauter",very large data bases
996,1998,a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces,"roger weber , hans-j &#246; rg schek , stephen blott",very large data bases
997,1998,resource scheduling for composite multimedia objects,"minos n. garofalakis , yannis e. ioannidis , banu &#214; zden",very large data bases
998,1998,secure buffering in firm real-time database systems,"binto george , jayant r. haritsa",very large data bases
999,1998,optimal histograms with quality guarantees,"h. v. jagadish , nick koudas , s. muthukrishnan , viswanath poosala , kenneth c. sevcik , torsten suel",very large data bases
1000,1998,on optimal node splitting for r-trees,"yv &#225; n j. garc &#237; a , mario a. lopez , scott t. leutenegger",very large data bases
1001,1998,materialized view selection for multidimensional datasets,"amit shukla , prasad deshpande , jeffrey f. naughton",very large data bases
1002,1998,algorithms for mining association rules for binary segmentations of huge categorical databases,"yasuhiko morimoto , takeshi fukuda , hirofumi matsuzawa , takeshi tokuyama , kunikazu yoda",very large data bases
1003,1998,ibm 's db2 universal database demonstrations at vldb '98,"k. bernhard schiefer , jim kleewein , karen brannon , guy m. lohman , gene fuh",very large data bases
1004,1998,checkpointing in oracle,"ashok joshi , william bridge , juan loaiza , tirthankar lahiri",very large data bases
1005,1998,determining text databases to search in the internet,"weiyi meng , king-lup liu , clement t. yu , xiaodong wang , yuhsi chang , naphtali rishe",very large data bases
1006,1998,safely and efficiently updating references during on-line reorganization,"chendong zou , betty salzberg",very large data bases
1007,1998,public : a decision tree classifier that integrates building and pruning,"rajeev rastogi , kyuseok shim",very large data bases
1008,1998,buffering and read-ahead strategies for external mergesort,"weiye zhang , per - &#197; ke larson",very large data bases
1009,1998,mindreader : querying databases through multiple examples,"yoshiharu ishikawa , ravishankar subramanya , christos faloutsos",very large data bases
1010,1998,rainforest - a framework for fast decision tree construction of large datasets,"johannes gehrke , raghu ramakrishnan , venkatesh ganti",very large data bases
1011,1998,design and analysis of parametric query optimization algorithms,sumit ganguly,very large data bases
1012,1998,mining surprising patterns using temporal description length,"soumen chakrabarti , sunita sarawagi , byron dom",very large data bases
1013,1998,performance measurements of tertiary storage devices,"theodore johnson , ethan l. miller",very large data bases
1014,1998,using schema matching to simplify heterogeneous data translation,"tova milo , sagit zohar",very large data bases
1015,1998,dtl 's dataspot : database exploration using plain language,"shaul dar , gadi entin , shai geva , eran palmon",very large data bases
1016,1998,bulk-loading techniques for object databases and an application to relational data,"sihem amer-yahia , sophie cluet , claude delobel",very large data bases
1017,1998,low-cost compensation-based query processing,"&#216; ystein gr &#248; vlen , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen",very large data bases
1018,1998,the national medical knowledge bank,warren sterling,very large data bases
1019,1998,clustering categorical data : an approach based on dynamical systems,"david gibson , jon m. kleinberg , prabhakar raghavan",very large data bases
1020,1998,incremental clustering for mining in a data warehousing environment,"martin ester , hans-peter kriegel , j &#246; rg sander , michael wimmer , xiaowei xu",very large data bases
1021,1998,selectivity estimation in extensible databases - a neural network approach,"m. seetha lakshmi , shaoyu zhou",very large data bases
1022,1998,massive stochastic testing of sql,donald r. slutz,very large data bases
1023,1998,improving adaptable similarity query processing by using approximations,"mihael ankerst , bernhard braunm &#252; ller , hans-peter kriegel , thomas seidl",very large data bases
1024,1996,querying a multilevel database : a logical analysis,fr &#233; d &#233; ric cuppens,very large data bases
1025,1997,selectivity estimation without the attribute value independence assumption,"viswanath poosala , yannis e. ioannidis",very large data bases
1026,1997,a foundation for multi-dimensional databases,"marc gyssens , laks v. s. lakshmanan",very large data bases
1027,1997,concurrent garbage collection in o2,"marcin skubiszewski , patrick valduriez",very large data bases
1028,1997,recovering information from summary data,"christos faloutsos , h. v. jagadish , nikolaos sidiropoulos",very large data bases
1029,1997,critical database technologies for high energy physics,"david m. malon , edward n. may",very large data bases
1030,1997,integrating reliable memory in databases,"wee teck ng , peter m. chen",very large data bases
1031,1997,multiple-view self-maintenance in data warehousing environments,nam huyn,very large data bases
1032,1997,garbage collection in object oriented databases using transactional cyclic reference counting,"srinivas ashwin , prasan roy , s. seshadri , abraham silberschatz , s. sudarshan",very large data bases
1033,1997,an efficient cost-driven index selection tool for microsoft sql server,"surajit chaudhuri , vivek r. narasayya",very large data bases
1034,1997,implementing abstract objects with inheritance in datalogneg,hasan m. jamil,very large data bases
1035,1997,optimizing queries with universal quantification in object-oriented and object-relational databases,"jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",very large data bases
1036,1997,a one-pass algorithm for accurately estimating quantiles for disk-resident data,"khaled alsabti , sanjay ranka , vineet singh",very large data bases
1037,1997,efficient construction of regression trees with range and region splitting,"yasuhiko morimoto , hiromu ishii , shinichi morishita",very large data bases
1038,1997,geo/environmental and medical data management in the rasdaman system,"peter baumann , paula furtado , roland ritsch , norbert widmann",very large data bases
1039,1997,adaptive data broadcast in hybrid networks,"konstantinos stathatos , nick roussopoulos , john s. baras",very large data bases
1040,1996,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendon &#231; a mattos",very large data bases
1041,1996,on the computation of multidimensional aggregates,"sameet agarwal , rakesh agrawal , prasad deshpande , ashish gupta , jeffrey f. naughton , raghu ramakrishnan , sunita sarawagi",very large data bases
1042,1996,a new sql-like operator for mining association rules,"rosa meo , giuseppe psaila , stefano ceri",very large data bases
1043,1996,how system 11 sql server became fast,t. k. rengarajan,very large data bases
1044,1996,the x-tree : an index structure for high-dimensional data,"stefan berchtold , daniel a. keim , hans-peter kriegel",very large data bases
1045,1996,intra-transaction parallelism in the mapping of an object model to a relational multi-processor system,"michael rys , moira c. norrie , hans-j &#246; rg schek",very large data bases
1046,1996,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",very large data bases
1047,1996,answering queries with aggregation using views,"divesh srivastava , shaul dar , h. v. jagadish , alon y. levy",very large data bases
1048,1996,database management systems and the internet,susan malaika,very large data bases
1049,1996,query decomposition and view maintenance for query languages for unstructured data,dan suciu,very large data bases
1050,1996,reordering query execution in tertiary memory databases,"sunita sarawagi , michael stonebraker",very large data bases
1051,1996,dwms : data warehouse management system,narendra mohan,very large data bases
1052,1996,the design and implementation of a sequence database system,"praveen seshadri , miron livny , raghu ramakrishnan",very large data bases
1053,1996,pesto : an integrated query/browser for object databases,"michael j. carey , laura m. haas , vivekananda maganty , john h. williams",very large data bases
1054,1996,clustering techniques for minimizing external path length,"a. a. diwan , sanjeeva rane , s. seshadri , s. sudarshan",very large data bases
1055,1996,the role of integrity constraints in database interoperation,"mark w. w. vermeer , peter m. g. apers",very large data bases
1056,1995,scientific journals : extinction or explosion ? ( panel ),"raghu ramakrishnan , hector garcia-molina , gerhard rossbach , abraham silberschatz , gio wiederhold , jaco zijlstra",very large data bases
1057,2001,information management for genome level bioinformatics,"norman w. paton , carole a. goble",very large data bases
1058,1999,"physical data independence , constraints , and optimization with universal plans","alin deutsch , lucian popa , val tannen",very large data bases
1059,2000,olap + + : powerful and easy-to-use federations of olap and object databases,"junmin gu , torben bach pedersen , arie shoshani",very large data bases
1060,1995,neurorule : a connectionist approach to data mining,"hongjun lu , rudy setiono , huan liu",very large data bases
1061,1995,the double life of the transaction abstraction : fundamental principle and evolving system concept,henry f. korth,very large data bases
1062,2001,managing business processes via workflow technology,frank leymann,very large data bases
1063,1994,cache conscious algorithms for relational query processing,"ambuj shatdal , chander kant , jeffrey f. naughton",very large data bases
1064,1997,resource scheduling in enhanced pay-per-view continuous media databases,"minos n. garofalakis , banu &#214; zden , abraham silberschatz",very large data bases
1065,1997,sting : a statistical information grid approach to spatial data mining,"wei wang , jiong yang , richard r. muntz",very large data bases
1066,1996,performance of future database systems : bottlenecks and bonananzas,chaitanya k. baru,very large data bases
1067,1996,watchman : a data warehouse intelligent cache manager,"peter scheuermann , junho shim , radek vingralek",very large data bases
1068,1999,mining deviants in a time series database,"h. v. jagadish , nick koudas , s. muthukrishnan",very large data bases
1069,1999,hyper-programming in java,"evangelos zirintsis , graham n. c. kirby , ronald morrison",very large data bases
1070,1998,koda - the architecture and interface of a data model independent kernel,"gopalan arun , ashok joshi",very large data bases
1071,1998,experiences in federated databases : from iro-db to miro-web,"peter fankhauser , georges gardarin , m. lopez , j. mu &#241; oz , anthony tomasic",very large data bases
1072,1997,algorithms for materialized view design in data warehousing environment,"jian yang , kamalakar karlapalem , qing li",very large data bases
1073,1997,data warehouse configuration,"dimitri theodoratos , timos k. sellis",very large data bases
1074,1997,efficient user-adaptable similarity search in large multimedia databases,"thomas seidl , hans-peter kriegel",very large data bases
1075,1997,using probabilistic information in data integration,"daniela florescu , daphne koller , alon y. levy",very large data bases
1076,1997,the complexity of transformation-based join enumeration,"arjan pellenkoft , c &#233; sar a. galindo-legaria , martin l. kersten",very large data bases
1077,1997,gte superpages : using ir techniques for searching complex objects,"steven d. whitehead , himanshu sinha , michael murphy",very large data bases
1078,1997,"using taxonomy , discriminants , and signatures for navigating in text databases","soumen chakrabarti , byron dom , rakesh agrawal , prabhakar raghavan",very large data bases
1079,1997,multidimensional access methods : trees have grown everywhere,"timos k. sellis , nick roussopoulos , christos faloutsos",very large data bases
1080,1997,"the network as a global database : challenges of interoperability , proactivity , interactiveness , legacy","peter c. lockemann , ulrike k &#246; lsch , arne koschel , ralf kramer , ralf nikolai , mechtild wallrath , hans-dirk walter",very large data bases
1081,1997,vertical data migration in large near-line document archives based on markov-chain predictions,"achim kraiss , gerhard weikum",very large data bases
1082,1997,on-demand data elevation in hierarchical multimedia storage servers,"peter triantafillou , thomas papadakis",very large data bases
1083,1997,describing and using query capabilities of heterogeneous sources,"vasilis vassalos , yannis papakonstantinou",very large data bases
1084,1997,fast incremental maintenance of approximate histograms,"phillip b. gibbons , yossi matias , viswanath poosala",very large data bases
1085,1997,facilitating multimedia database exploration through visual interfaces and perpetual query reformulations,"wen-syan li , k. sel &#231; uk candan , kyoji hirata , yoshinori hara",very large data bases
1086,1997,evaluation of main memory join algorithms for joins with set comparison join predicates,"sven helmer , guido moerkotte",very large data bases
1087,1997,finding data in the neighborhood,"andr &#233; eickler , alfons kemper , donald kossmann",very large data bases
1088,1996,sampling large databases for association rules,hannu toivonen,very large data bases
1089,1996,information retrieval from an incomplete data cube,curtis e. dyreson,very large data bases
1090,1996,modeling skewed distribution using multifractals and the ` 80-20 ' law,"christos faloutsos , yossi matias , abraham silberschatz",very large data bases
1091,1996,extracting large data sets using db2 parallel edition,sriram padmanabhan,very large data bases
1092,1996,effective & ; efficient document ranking without using a large lexicon,yasushi ogawa,very large data bases
1093,1996,estimation of query-result distribution and its application in parallel-join load balancing,"viswanath poosala , yannis e. ioannidis",very large data bases
1094,1996,disseminating updates on broadcast disks,"swarup acharya , michael j. franklin , stanley b. zdonik",very large data bases
1095,1996,the changing landscape of the software industry and its implications for india,umang gupta,very large data bases
1096,1996,scalablity and availability in oracle7 7.3,dieter gawlick,very large data bases
1097,1996,optimization of queries with user-defined predicates,"surajit chaudhuri , kyuseok shim",very large data bases
1098,1996,semantic data caching and replacement,"shaul dar , michael j. franklin , bj &#246; rn &#222; &#243; r j &#243; nsson , divesh srivastava , michael tan",very large data bases
1099,1996,loading the data warehouse across various parallel architectures,vijay v. raghavan,very large data bases
1100,1996,dynamic load balancing in hierarchical parallel database systems,"luc bouganim , daniela florescu , patrick valduriez",very large data bases
1101,1996,further improvements on integrity constraint checking for stratifiable deductive databases,"sin yeung lee , tok wang ling",very large data bases
1102,1996,obtaining complete answers from incomplete databases,alon y. levy,very large data bases
1103,1996,modeling design versions,"r. ramakrishnan , d. janaki ram",very large data bases
1104,1995,applying database technology in the adsm mass storage system,"luis-felipe cabrera , robert rees , wayne hineman",very large data bases
1105,1995,hot block clustering for disk arrays with dynamic striping,"kazuhiko mogi , masaru kitsuregawa",very large data bases
1106,1995,processing object-oriented queries with invertible late bound functions,"staffan flodin , tore risch",very large data bases
1107,1995,type classification of semi-structured documents,"markus tresch , neal palmer , allen luniewski",very large data bases
1108,1995,mining generalized association rules,"ramakrishnan srikant , rakesh agrawal",very large data bases
1109,1995,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"leonard j. seligman , nicholas j. belkin , erich j. neuhold , michael stonebraker , gio wiederhold",very large data bases
1110,1995,from vldb to vmldb ( very many large data bases ) : dealing with large-scale semantic heterogenity,stuart e. madnick,very large data bases
1111,1995,high-concurrency locking in r-trees,"marcel kornacker , douglas banks",very large data bases
1112,1995,efficient search of multi-dimensional b-trees,"harry leslie , rohit jain , dave birdsall , hedieh yaghmai",very large data bases
1113,1995,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","georgios evangelidis , david b. lomet , betty salzberg",very large data bases
1114,1995,promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases
1115,1995,databases and workflow management : what is it all about ? ( panel ),"andreas reuter , stefano ceri , jim gray , betty salzberg , gerhard weikum",very large data bases
1116,1995,database de-centralization - a practical approach,"tor didriksen , c &#233; sar a. galindo-legaria , eirik dahle",very large data bases
1117,1995,retrieval of composite multimedia objects,"surajit chaudhuri , shahram ghandeharizadeh , cyrus shahabi",very large data bases
1118,1995,flexible relations - operational support of variant relational structures,"christian kalus , peter dadam",very large data bases
1119,1995,schema and database evolution in the o2 object database system,"fabrizio ferrandina , thorsten meyer , roberto zicari , guy ferran , jo &#235; lle madec",very large data bases
1120,1996,analysis of n-dimensional quadtrees using the hausdorff fractal dimension,"christos faloutsos , volker gaede",very large data bases
1121,1996,implementation and analysis of a parallel collection query language,dan suciu,very large data bases
1122,1996,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system","georges gardarin , fei sha , zhao-hui tang",very large data bases
1123,1996,the structured information manager : a database system for sgml documents,ron sacks-davis,very large data bases
1124,1996,cache coherency in oracle parallel server,boris klots,very large data bases
1125,1996,cost-based selection of path expression processing algorithms in object-oriented databases,"georges gardarin , jean-robert gruser , zhao-hui tang",very large data bases
1126,1996,object fusion in mediator systems,"yannis papakonstantinou , serge abiteboul , hector garcia-molina",very large data bases
1127,1996,what is the data warehousing problem ? ( are materialized views the answer ? ),"ashish gupta , inderpal singh mumick",very large data bases
1128,1996,constructing efficient decision trees by using optimized numeric association rules,"takeshi fukuda , yasuhiko morimoto , shinichi morishita , takeshi tokuyama",very large data bases
1129,1996,zoo : a desktop experiment management environment,"yannis e. ioannidis , miron livny , s. gupta , nagavamsi ponnekanti",very large data bases
1130,1996,fast nearest neighbor search in medical image databases,"flip korn , nikolaos sidiropoulos , christos faloutsos , eliot siegel , zenon protopapas",very large data bases
1131,1996,storage estimation for multidimensional aggregates in the presence of hierarchies,"amit shukla , prasad deshpande , jeffrey f. naughton , karthikeyan ramasamy",very large data bases
1132,1996,sprint : a scalable parallel classifier for data mining,"john c. shafer , rakesh agrawal , manish mehta",very large data bases
1133,1996,bellcore 's adapt/x harness system for managing information on internet and intranets,amit p. sheth,very large data bases
1134,1996,tribeca : a stream database manager for network traffic analysis,mark sullivan,very large data bases
1135,1996,schemasql - a language for interoperability in relational multi-database systems,"laks v. s. lakshmanan , fereidoon sadri , iyer n. subramanian",very large data bases
1136,1996,the query optimizer in tandem 's new serverware sql product,pedro celis,very large data bases
1137,1996,"tpc-d : the challenges , issues and results",ramesh bhashyam,very large data bases
1138,1996,querying heterogeneous information sources using source descriptions,"alon y. levy , anand rajaraman , joann j. ordille",very large data bases
1139,1996,supporting state-wide immunisation tracking using multi-paradigm workflow technology,"amit p. sheth , krys kochut , john a. miller , devashish worah , souvik das , chenye lin , devanand palaniswami , john lynch , ivan shevchenko",very large data bases
1140,1996,supporting procedural constructs in sql compilers,nelson mendon &#231; a mattos,very large data bases
1141,1996,filter trees for managing spatial data over a range of size granularities,"kenneth c. sevcik , nick koudas",very large data bases
1142,1996,of objects and databases : a decade of turmoil,"michael j. carey , david j. dewitt",very large data bases
1143,1996,applying data mining techniques to a health insurance information system,"marisa s. viveros , john p. nearhos , michael j. rothman",very large data bases
1144,1996,query processing techniques for multiversion access methods,"jochen van den bercken , bernhard seeger",very large data bases
1145,1996,incremental maintenance of externally materialized views,"martin staudt , matthias jarke",very large data bases
1146,1996,mineset ( tm ) : a system for high-end data mining and visualization,,very large data bases
1147,1996,efficient snapshot differential algorithms for data warehousing,"wilburt labio , hector garcia-molina",very large data bases
1148,1996,eroc : a toolkit for building neato query optimizers,"william j. mckenna , louis burger , chi hoang , melissa truong",very large data bases
1149,1996,supporting periodic authorizations and temporal reasoning in database access control,"elisa bertino , claudio bettini , elena ferrari , pierangela samarati",very large data bases
1150,1996,coalescing in temporal databases,"michael h. b &#246; hlen , richard thomas snodgrass , michael d. soo",very large data bases
1151,1996,practical issues with commercial use of federated databases,jim kleewein,very large data bases
1152,1997,synchronization and recovery in a client-server storage system,"e. panagos , a. biliris",the vldb journal -- the international journal on very large data bases
1153,1997,heuristic and randomized optimization for the join ordering problem,"michael steinbrunn , guido moerkotte , alfons kemper",the vldb journal -- the international journal on very large data bases
1154,1997,sing the truth about ad hoc join costs,"laura m. haas , michael j. carey , miron livny , amit shukla",the vldb journal -- the international journal on very large data bases
1155,1997,concurrency and recovery for index trees,"david lomet , betty salzberg",the vldb journal -- the international journal on very large data bases
1156,1997,query processing over object views of relational data,"gustav fahl , tore risch",the vldb journal -- the international journal on very large data bases
1157,1997,erratum-a database model for object dynamics,"m. p. papazoglou , b. j. kr &#228; mer",the vldb journal -- the international journal on very large data bases
1158,1997,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,"klemens b &#246; hm , karl aberer , erich j. neuhold , xiaoya yang",the vldb journal -- the international journal on very large data bases
1159,1997,exact : an extensible approach to active object-oriented databases,"oscar d &#237; az , arturo jaime",the vldb journal -- the international journal on very large data bases
1160,1997,data placement in shared-nothing parallel database systems,"manish mehta , david j. dewitt",the vldb journal -- the international journal on very large data bases
1161,1997,analysis of locking behavior in three real database systems,"vigyan singhal , alan jay smith",the vldb journal -- the international journal on very large data bases
1162,1997,graphical interaction with heterogeneous databases,"t. catarci , g. santucci , j. cardiff",the vldb journal -- the international journal on very large data bases
1163,1997,a database model for object dynamics,"m. p. papazoglou , b. j. kr &#228; mer",the vldb journal -- the international journal on very large data bases
1164,1997,parametric query optimization,"yannis e. ioannidis , raymond t. ng , kyuseok shim , timos k. sellis",the vldb journal -- the international journal on very large data bases
1165,1997,on applying hash filters to improving the execution of multi-join queries,"ming-syan chen , hui-i hsiao , philip s. yu",the vldb journal -- the international journal on very large data bases
1166,1997,the impact of object technology on commercial transaction processing,edward e. cobb,the vldb journal -- the international journal on very large data bases
1167,1997,concurrency control in hierarchical multidatabase systems,"sharad mehrotra , henry f. korth , avi silberschatz",the vldb journal -- the international journal on very large data bases
1168,1998,introduction,"m. tamer &#214; zsu , stavros christodoulakis",the vldb journal -- the international journal on very large data bases
1169,1998,spatial and temporal content-based access to hypervideo databases,"haitao jiang , ahmed k. elmagarmid",the vldb journal -- the international journal on very large data bases
1170,1998,optimal clip ordering for multi-clip queries,"raymond t. ng , paul shum",the vldb journal -- the international journal on very large data bases
1171,1998,integrating symbolic images into a multimedia database system using classification and abstraction approaches,"aya soffer , hanan samet",the vldb journal -- the international journal on very large data bases
