song_id,paid_amount,copyright_text,publication_date,album,creator,genre_class,song_duration,song_label
4164,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4165,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4166,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4167,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4168,$ 1.29,2014 Polydor Ltd. ( UK ),22-Apr-14,Goodness Gracious ( The Chainsmokers Extended Remix ) - Single,Ellie Goulding,"Pop , Music",4:19,Goodness Gracious ( The Chainsmokers Extended Remix )
4169,$ 1.29,2014 Polydor Ltd. ( UK ),26-May-14,Beating Heart - EP,Ellie Goulding,"Pop , Music , Rock",5:18,Beating Heart ( Dexcell Remix )
4170,Album Only,"Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",7-Aug-12,"Now That 's What I Call Music , Vol . 43",Eva Simons,"Pop , Music",4:11,I Do n't Like You ( Bonus Track )
4171,$ 1.29,2013 Polydor Ltd. ( UK ),15-Jan-13,Anything Could Happen ( Remixed ),Ellie Goulding,"Pop , Music , Rock",7:45,Anything Could Happen ( Guy Scheiman TLV Club Remix )
4172,Album Only,"2014 Universal Music Strategic Marketing , a division of Universal Music GmbH",12-Sep-14,"Runtastic Music - Running , Vol . 2",Seinabo Sey,"Fitness & Workout , Music",5:52,Younger ( Kygo Remix )
4173,$ 1.29,2013 Polydor Ltd. ( UK ),17-Sep-13,Burn ( Remixes ),Ellie Goulding,"Pop , Music , Rock",4:10,Burn ( Magic Man Remix )
4174,$ 1.29,2013 Polydor Ltd. ( UK ),23-Sep-13,I Know You Care ( Save the Children #song4syria ) - Single,Ellie Goulding,"Pop , Music",3:26,I Know You Care
4175,$ 1.29,2013 Polydor Ltd. ( UK ),10-Dec-13,iTunes Session - EP,Ellie Goulding,"Pop , Music",3:45,Lights ( iTunes Session )
4176,$ 1.29,"2013 Universal Republic Records , a division of UMG Recordings , Inc.",19-Nov-13,The Hunger Games : Catching Fire ( Original Motion Picture Soundtrack ) [ Deluxe Edition ],Antony & The Johnsons,"Soundtrack , Music , Classical , Original Score , Soundtrack",3:47,Angel On Fire
4177,$ 1.29,"2015 Universal Studios Under Exclusive License to Republic Records , a Division of UMG Recordings , Inc.",4-May-15,Fifty Shades of Grey ( Original Motion Picture Soundtrack Remixed ),Danny Elfman,"Soundtrack , Music",3:30,Ana and Christian ( Heavy Mellow Remix )
4178,$ 1.29,2010 Polydor Ltd. ( UK ),15-Jul-10,iTunes Festival : London 2010 - EP,Ellie Goulding,"Pop , Music",3:48,Starry Eyed ( Live )
4179,$ 1.29,2011 Polydor Ltd. ( UK ),15-Feb-11,Starry Eyed ( Remixes ) - EP,Ellie Goulding,"Dance , Music , Pop , Rock",8:14,Starry Eyed ( AN21 and Max Vangeli Remix )
4180,$ 1.29,2013 Polydor Ltd. ( UK ),17-Sep-13,Burn ( Remixes ),Ellie Goulding,"Pop , Music , Rock",4:10,Burn ( Magic Man Remix )
4181,$ 1.29,2010 Polydor Ltd. ( UK ),30-Aug-10,Run Into the Light,Ellie Goulding,"Fitness & Workout , Music , Dance , Rock , Pop",5:35,Under the Sheets ( Jakwob Remix )
4182,$ 1.29,2013 Polydor Ltd. ( UK ),17-Sep-13,Burn ( Remixes ),Ellie Goulding,"Pop , Music , Rock",4:10,Burn ( Magic Man Remix )
4183,$ 1.29,2013 Polydor Ltd. ( UK ),17-Sep-13,Burn ( Remixes ),Ellie Goulding,"Pop , Music , Rock",4:10,Burn ( Magic Man Remix )
4184,$ 1.29,2013 Polydor Ltd. ( UK ),17-Sep-13,Burn ( Remixes ),Ellie Goulding,"Pop , Music , Rock",4:10,Burn ( Magic Man Remix )
4185,$ 1.29,2013 Polydor Ltd. ( UK ),17-Sep-13,Burn ( Remixes ),Ellie Goulding,"Pop , Music , Rock",4:10,Burn ( Magic Man Remix )
4186,Album Only,2013 Ministry of Sound Recordings Ltd.,30-Sep-13,Addicted To Bass Winter 2013 - Ministry of Sound,Friend Within,"Dance , Music",2:18,The Renegade ( Addicted To Bass Winter 2013 Edit )
4187,$ 1.29,"2013 Universal Republic Records , a division of UMG Recordings , Inc.",19-Nov-13,The Hunger Games : Catching Fire ( Original Motion Picture Soundtrack ),Santigold,"Soundtrack , Music , Original Score , Classical , Soundtrack",3:36,Shooting Arrows At the Sky
4188,Album Only,"2013 Decca , a division of Universal Music Operations Limited",29-Oct-13,About Time ( Original Motion Picture Soundtrack ),Ellie Goulding,"Soundtrack , Music",2:34,How Long Will I Love You
4189,$ 1.29,2013 Polydor Ltd. ( UK ),22-Oct-13,iTunes Festival : London 2013 Š -- -- EP,Ellie Goulding,"Pop , Music",3:43,Starry Eyed ( Live )
4190,$ 1.29,2013 Polydor Ltd. ( UK ),22-Oct-13,iTunes Festival : London 2013 Š -- -- EP,Ellie Goulding,"Pop , Music",3:43,Starry Eyed ( Live )
4191,$ 1.29,2013 Polydor Ltd. ( UK ),22-Oct-13,iTunes Festival : London 2013 Š -- -- EP,Ellie Goulding,"Pop , Music",3:43,Starry Eyed ( Live )
4192,$ 1.29,2013 Polydor Ltd. ( UK ),22-Oct-13,iTunes Festival : London 2013 Š -- -- EP,Ellie Goulding,"Pop , Music",3:43,Starry Eyed ( Live )
4193,$ 1.29,2013 Polydor Ltd. ( UK ),22-Oct-13,iTunes Festival : London 2013 Š -- -- EP,Ellie Goulding,"Pop , Music",3:43,Starry Eyed ( Live )
4194,$ 1.29,2013 Polydor Ltd. ( UK ),22-Oct-13,iTunes Festival : London 2013 Š -- -- EP,Ellie Goulding,"Pop , Music",3:43,Starry Eyed ( Live )
4195,Album Only,2013 Ministry of Sound Recordings Ltd.,11-Nov-13,The Annual 2014 - Ministry of Sound,Dillon Francis,"Dance , Music",3:59,Without You ( The Annual 2014 Us Edit ) [ feat . Totally Enormous Extinct Dinosaurs ]
4196,$ 1.29,2013 Polydor Ltd. ( UK ),10-Dec-13,iTunes Session - EP,Ellie Goulding,"Pop , Music",3:45,Lights ( iTunes Session )
4197,$ 1.29,2013 Polydor Ltd. ( UK ),10-Dec-13,iTunes Session - EP,Ellie Goulding,"Pop , Music",3:45,Lights ( iTunes Session )
4198,$ 1.29,2013 Polydor Ltd. ( UK ),10-Dec-13,iTunes Session - EP,Ellie Goulding,"Pop , Music",3:45,Lights ( iTunes Session )
4199,$ 1.29,2013 Polydor Ltd. ( UK ),10-Dec-13,iTunes Session - EP,Ellie Goulding,"Pop , Music",3:45,Lights ( iTunes Session )
4200,$ 1.29,2013 Polydor Ltd. ( UK ),10-Dec-13,iTunes Session - EP,Ellie Goulding,"Pop , Music",3:45,Lights ( iTunes Session )
4201,$ 1.29,2014 Ministry of Sound Recordings Ltd,18-May-14,Pump It Up - Beach Workout,Monkey Safari,"Fitness & Workout , Music",3:45,Coming Down ( Hi-Life ) [ PIU Beach Edit ] [ Extended Mix ]
4202,$ 1.29,2014 Ministry of Sound Recordings Ltd,22-Jun-14,Running Trax Summer 2014 - Ministry of Sound,Fred V & Grafix,"Fitness & Workout , Music",3:25,Forest Fires ( RT Summer 2014 Edit )
4203,Album Only,"2013 Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",12-Mar-13,Spring Breakers ( Music From the Motion Picture ),Ellie Goulding,"Soundtrack , Music , Soundtrack , Pop",3:29,Lights
4204,$ 1.29,2011 Amorphous Music,2-Aug-11,Divergent Spectrum,Bassnectar,"Electronic , Music , Rock , Dance , House",2:20,"Disintegration , Pt . IV"
4205,$ 1.29,2011 Polydor Ltd. ( UK ),19-Jul-11,"Lights , Pt. 2 ( The Remixes ) - EP",Ellie Goulding,"Dance , Music , Pop",5:44,Lights ( RAC Mix )
4206,$ 1.29,2011 Polydor Ltd. ( UK ),19-Jul-11,"Lights , Pt. 2 ( The Remixes ) - EP",Ellie Goulding,"Dance , Music , Pop",5:44,Lights ( RAC Mix )
4207,$ 1.29,2011 Polydor Ltd. ( UK ),19-Jul-11,"Lights , Pt. 2 ( The Remixes ) - EP",Ellie Goulding,"Dance , Music , Pop",5:44,Lights ( RAC Mix )
4208,$ 1.29,2011 Polydor Ltd. ( UK ),19-Jul-11,"Lights , Pt. 2 ( The Remixes ) - EP",Ellie Goulding,"Dance , Music , Pop",5:44,Lights ( RAC Mix )
4209,$ 1.29,2011 Polydor Ltd. ( UK ),19-Jul-11,"Lights , Pt. 2 ( The Remixes ) - EP",Ellie Goulding,"Dance , Music , Pop",5:44,Lights ( RAC Mix )
4210,$ 1.29,2010 Polydor Ltd. ( UK ),30-Aug-10,Run Into the Light,Ellie Goulding,"Fitness & Workout , Music , Dance , Rock , Pop",5:35,Under the Sheets ( Jakwob Remix )
4211,$ 1.29,2010 Polydor Ltd. ( UK ),30-Aug-10,Run Into the Light,Ellie Goulding,"Fitness & Workout , Music , Dance , Rock , Pop",5:35,Under the Sheets ( Jakwob Remix )
4212,$ 1.29,2010 Polydor Ltd. ( UK ),30-Aug-10,Run Into the Light,Ellie Goulding,"Fitness & Workout , Music , Dance , Rock , Pop",5:35,Under the Sheets ( Jakwob Remix )
4213,$ 1.29,2010 Polydor Ltd. ( UK ),30-Aug-10,Run Into the Light,Ellie Goulding,"Fitness & Workout , Music , Dance , Rock , Pop",5:35,Under the Sheets ( Jakwob Remix )
4214,$ 1.29,2010 Polydor Ltd. ( UK ),30-Aug-10,Run Into the Light,Ellie Goulding,"Fitness & Workout , Music , Dance , Rock , Pop",5:35,Under the Sheets ( Jakwob Remix )
4215,$ 1.29,2012 Ministry of Sound Recordings Limited,2-Sep-12,The Chillout Session - Ministry of Sound,Wretch 32,"Pop , Music",3:57,DonŠ -- Èt Go ( feat . Josh Kumra )
4216,$ 1.29,2012 Polydor Ltd. ( UK ),19-Nov-12,iTunes Festival : London 2012 - EP,Ellie Goulding,"Pop , Music",3:36,Starry Eyed ( Live )
4217,$ 1.29,2012 Polydor Ltd. ( UK ),19-Nov-12,iTunes Festival : London 2012 - EP,Ellie Goulding,"Pop , Music",3:36,Starry Eyed ( Live )
4218,$ 1.29,2012 Polydor Ltd. ( UK ),19-Nov-12,iTunes Festival : London 2012 - EP,Ellie Goulding,"Pop , Music",3:36,Starry Eyed ( Live )
4219,$ 1.29,2012 Polydor Ltd. ( UK ),19-Nov-12,iTunes Festival : London 2012 - EP,Ellie Goulding,"Pop , Music",3:36,Starry Eyed ( Live )
4220,$ 1.29,2012 Polydor Ltd. ( UK ),19-Nov-12,iTunes Festival : London 2012 - EP,Ellie Goulding,"Pop , Music",3:36,Starry Eyed ( Live )
4221,$ 1.29,2012 Polydor Ltd. ( UK ),19-Nov-12,iTunes Festival : London 2012 - EP,Ellie Goulding,"Pop , Music",3:36,Starry Eyed ( Live )
4222,$ 1.29,2013 Polydor Ltd. ( UK ),15-Jan-13,Anything Could Happen ( Remixed ),Ellie Goulding,"Pop , Music , Rock",7:45,Anything Could Happen ( Guy Scheiman TLV Club Remix )
4223,$ 1.29,2013 Polydor Ltd. ( UK ),15-Jan-13,Anything Could Happen ( Remixed ),Ellie Goulding,"Pop , Music , Rock",7:45,Anything Could Happen ( Guy Scheiman TLV Club Remix )
4224,$ 1.29,2013 Polydor Ltd. ( UK ),15-Jan-13,Anything Could Happen ( Remixed ),Ellie Goulding,"Pop , Music , Rock",7:45,Anything Could Happen ( Guy Scheiman TLV Club Remix )
4225,$ 1.29,2013 Polydor Ltd. ( UK ),15-Jan-13,Anything Could Happen ( Remixed ),Ellie Goulding,"Pop , Music , Rock",7:45,Anything Could Happen ( Guy Scheiman TLV Club Remix )
4226,$ 1.29,2013 Polydor Ltd. ( UK ),15-Jan-13,Anything Could Happen ( Remixed ),Ellie Goulding,"Pop , Music , Rock",7:45,Anything Could Happen ( Guy Scheiman TLV Club Remix )
4227,$ 1.29,2013 Polydor Ltd. ( UK ),15-Jan-13,Anything Could Happen ( Remixed ),Ellie Goulding,"Pop , Music , Rock",7:45,Anything Could Happen ( Guy Scheiman TLV Club Remix )
4228,$ 1.29,2013 Ministry of Sound Recordings Ltd,26-Aug-13,The Sound of Dubstep Classics - Ministry of Sound,Coki,"Dance , Music",3:38,Spongebob ( Sound of Dubstep Classics Edit )
4229,Album Only,2012 This compilation 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,9-Nov-12,"The Twilight Saga : Breaking Dawn , Pt. 2 ( Original Motion Picture Soundtrack )",Carter Burwell,"Soundtrack , Music",4:15,Plus Que Ma Propre Vie
4230,$ 1.29,2010 Polydor Ltd. ( UK ),30-Aug-10,Run Into the Light,Ellie Goulding,"Fitness & Workout , Music , Dance , Rock , Pop",5:35,Under the Sheets ( Jakwob Remix )
4231,$ 1.29,2010 Polydor Ltd. ( UK ),15-Jul-10,iTunes Festival : London 2010 - EP,Ellie Goulding,"Pop , Music",3:48,Starry Eyed ( Live )
4232,$ 1.29,2010 Polydor Ltd. ( UK ),15-Jul-10,iTunes Festival : London 2010 - EP,Ellie Goulding,"Pop , Music",3:48,Starry Eyed ( Live )
4233,$ 1.29,2010 Polydor Ltd. ( UK ),15-Jul-10,iTunes Festival : London 2010 - EP,Ellie Goulding,"Pop , Music",3:48,Starry Eyed ( Live )
4234,$ 1.29,2010 Polydor Ltd. ( UK ),15-Jul-10,iTunes Festival : London 2010 - EP,Ellie Goulding,"Pop , Music",3:48,Starry Eyed ( Live )
4235,$ 1.29,2010 Polydor Ltd. ( UK ),15-Jul-10,iTunes Festival : London 2010 - EP,Ellie Goulding,"Pop , Music",3:48,Starry Eyed ( Live )
4236,$ 1.29,2011 Polydor Ltd. ( UK ),15-Feb-11,Starry Eyed ( Remixes ) - EP,Ellie Goulding,"Dance , Music , Pop , Rock",8:14,Starry Eyed ( AN21 and Max Vangeli Remix )
4237,$ 1.29,2011 Polydor Ltd. ( UK ),15-Feb-11,Starry Eyed ( Remixes ) - EP,Ellie Goulding,"Dance , Music , Pop , Rock",8:14,Starry Eyed ( AN21 and Max Vangeli Remix )
4238,$ 1.29,2011 Polydor Ltd. ( UK ),15-Feb-11,Starry Eyed ( Remixes ) - EP,Ellie Goulding,"Dance , Music , Pop , Rock",8:14,Starry Eyed ( AN21 and Max Vangeli Remix )
4239,$ 1.29,2011 Polydor Ltd. ( UK ),15-Feb-11,Starry Eyed ( Remixes ) - EP,Ellie Goulding,"Dance , Music , Pop , Rock",8:14,Starry Eyed ( AN21 and Max Vangeli Remix )
4240,$ 1.29,2011 Polydor Ltd. ( UK ),23-May-11,"Lights ( The Remixes ) , Pt. 1 - EP",Ellie Goulding,"Dance , Music , Rock , Pop",3:49,Lights ( Shook Remix )
4241,$ 1.29,2011 Polydor Ltd. ( UK ),23-May-11,"Lights ( The Remixes ) , Pt. 1 - EP",Ellie Goulding,"Dance , Music , Rock , Pop",3:49,Lights ( Shook Remix )
4242,$ 1.29,2011 Polydor Ltd. ( UK ),23-May-11,"Lights ( The Remixes ) , Pt. 1 - EP",Ellie Goulding,"Dance , Music , Rock , Pop",3:49,Lights ( Shook Remix )
4243,$ 1.29,"2015 Republic Records , a division of UMG Recordings , Inc.",9-Jun-15,Finding Neverland : The Album ( Songs from the Broadway Musical ),The Goo Goo Dolls,"Soundtrack , Music",3:53,If the World Turned Upside Down
4244,$ 1.29,2014 Polydor Ltd. ( UK ),26-May-14,Beating Heart - EP,Ellie Goulding,"Pop , Music , Rock",5:18,Beating Heart ( Dexcell Remix )
4245,Album Only,"2014 UMG Recordings , Inc. and Sony Music Entertainment",19-May-14,NOW That 's What I Call a Workout 4,Ti ' âsto,"Fitness & Workout , Music",3:21,Red Lights
4246,$ 1.29,2013 Ministry of Sound Recordings Ltd,10-Nov-13,The Sound of Dubstep Worldwide 4 - Ministry of Sound,Icicle,"Dance , Music",4:37,BNC ( Dubstep Worldwide 4 Edit )
4247,$ 1.29,2014 Polydor Ltd. ( UK ),26-May-14,Beating Heart - EP,Ellie Goulding,"Pop , Music , Rock",5:18,Beating Heart ( Dexcell Remix )
4248,$ 1.29,2011 Polydor Ltd. ( UK ),23-May-11,"Lights ( The Remixes ) , Pt. 1 - EP",Ellie Goulding,"Dance , Music , Rock , Pop",3:49,Lights ( Shook Remix )
4249,$ 1.29,2014 Polydor Ltd. ( UK ),26-May-14,Beating Heart - EP,Ellie Goulding,"Pop , Music , Rock",5:18,Beating Heart ( Dexcell Remix )
4250,$ 1.29,"2015 Universal Studios and Republic Records a division of UMG Recordings , Inc.",10-Feb-15,Fifty Shades of Grey ( Original Motion Picture Soundtrack ),Danny Elfman,"Soundtrack , Music",2:54,Did That Hurt ?
4251,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten,Shawn Mendes,"Pop , Music , Rock , Vocal , Dance , Teen Pop",3:50,This Is What It Takes
4252,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten,Shawn Mendes,"Pop , Music , Rock , Vocal , Dance , Teen Pop",3:50,This Is What It Takes
4253,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten,Shawn Mendes,"Pop , Music , Rock , Vocal , Dance , Teen Pop",3:50,This Is What It Takes
4254,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten,Shawn Mendes,"Pop , Music , Rock , Vocal , Dance , Teen Pop",3:50,This Is What It Takes
4255,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten,Shawn Mendes,"Pop , Music , Rock , Vocal , Dance , Teen Pop",3:50,This Is What It Takes
4256,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",2-Feb-15,One of Those Nights - Single,Shawn Mendes,"Pop , Music , Rock",3:30,One of Those Nights
4257,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4258,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4259,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4260,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4261,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4262,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4263,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4264,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",2-Feb-15,Show You - Single,Shawn Mendes,"Pop , Music",3:00,Show You
4265,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4266,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4267,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4268,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4269,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4270,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4271,$ 1.29,2015 Walt Disney Records,31-Jul-15,Descendants ( Original TV Movie Soundtrack ),David Lawrence,"Soundtrack , Music",6:49,Descendants Score Suite
4272,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4273,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4274,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten,Shawn Mendes,"Pop , Music , Rock , Vocal , Dance , Teen Pop",3:50,This Is What It Takes
4275,$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",14-Apr-15,Handwritten ( Deluxe ),Shawn Mendes,"Pop , Music , Rock , Vocal , Teen Pop , Dance",3:13,Life of the Party ( Acoustic )
4276,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
4277,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
4278,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
4279,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
4280,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
4281,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
4282,$ 1.29,"2015 Artist Partner Group , Inc",21-Aug-15,I Wo n't Tell a Soul - Single,Charlie Puth,"Pop , Music , Rock",3:07,I Wo n't Tell a Soul
4283,$ 0.69,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,30-Jun-15,Nothing But Trouble ( Instagram Models ) - Single,Lil Wayne & Charlie Puth,"Hip-Hop , Music,Hip-Hop / Rap",3:37,Nothing But Trouble ( Instagram Models )
4284,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
4285,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
4286,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
4287,$ 0.69,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,30-Jun-15,Nothing But Trouble ( Instagram Models ) - Single,Lil Wayne & Charlie Puth,"Hip-Hop , Music,Hip-Hop / Rap",3:37,Nothing But Trouble ( Instagram Models )
4288,$ 1.29,"2015 Artist Partner Group , Inc",,Nine Track Mind,Charlie Puth,"Pop , Music , Rock",3:05,Some Type of Love
