scholar_id,auth_names,journal_name,pub_title,published_yr
38643,m blodgett,,laptop thefts escalate .,
38644,"b moeller , n hupert","electronic learning ,",reading in the age of multimedia,
38645,n nahar,,success factors of it-supported international technology transfer : an empirical study,
38646,"s bergamaschi , c sartori",acm trans . on database,on taxonomic reasoning inconceptual design,
38647,g lawton,,the wild world of 3d graphics chips,
38648,"m storini , ma shea , df smart , eg cordaro",proc . 26th int . cosmic ray,cutoff variability for the antarctic laboratory for cosmic rays ( larc : 1955-1995 ),
38649,"a vaz , e fernandes , m gomes","submitted for publication ,",penalty function algorithms for semi-infinite programming,
38650,"sc hsu , ihh lee","proceedings of siggraph ,",drawing and animation using skeletal strokes,1994.0
38651,"k goto , y kambayashi",,study on mobile passenger support systems for public transportation using multi-channel data,
38652,"a trice , m treacy","san diego ,",utilization as a dependent variable in mis research . < i > proceedings of the seventh international,
38653,je maglitta,"computerworld ,",beyond roi,
38654,"dd clark , c partridge , jc ramming , j wroclawski",proceedings of acm,august 2003 . a knowledge plane for the internet,
38655,"m barrett , s sahayâ ? ¦",,understanding it and social transformation : development and illustration of a conceptual scheme,
38656,"z nie , s kambhampati , t hernandez","proceedings of the international conference on very large & hellip ; ,",bibfinder/statminer : effectively mining and using coverage and overlap statistics in data,2003.0
38657,m jones,"pc magazine ,",from print to pc : ocr gets you from there to here,
38658,"aj borr , gr putzolu",,high performance sql through low-level system integration,
38659,"ig richardson , hvc bidirectional","proc . 26th int . cosmic ray conf ,",1 mev ion ows observed over two solar cycles,
38660,"t gaasterland , j lobo",vldb,"quantified answers that reflect user needs and preferences , proc",
38661,"h berenson , p bernstein , j gray , j melton","proceedings of the 1995 acm sigmod international conference & hellip ; ,",p. oneil a critique of ansi sql isolation levels,
38662,"b falsafi , da wood","computer sciences technical report-university of wisconsin & hellip ; ,",when does dedicated protocol processing make sense ?,1996.0
38663,"m koyamada , k kinoshita , n iino , c kanagaki","proc . 29th japanese conf . rem . sens ,",flow of volcanic clouds and gas from miyake-jima and satellite images analysis,
38664,d denning,"ieee computer ,","amd schlorer , j. inference controls for statsitical databases",
38665,da timofeev,"geography ,",to the problem of the origin of the river valleys ( as an example of the valleys of southern yakutia ),
38666,"t carnase , b gorkin , bm pedersen",,type : the best in digital classic text fonts,1995.0
38667,d rindskopf,"new directions for program evaluation ,",new developments in selection modeling for quasi-experimentation,1986.0
38668,"f korn , n sidiropoulos , c faloutsos , e siegel , z","proceedings of the 22nd international conference on very & hellip ; ,",fast nearest neighbor search in medical image,
38669,"dg feitelson , l rudolph","lecture notes in computer science ,",parallel job scheduling : issues and approaches,1995.0
38670,cz qin,,the inner core of an n-person game,
38671,"a zhao , j stasko",submitted for,"promoting community awareness through opportunistic , peripheral interfaces",
38672,"cm fiol , ma lyles","the academy of management review ,",organizational learning,1985.0
38673,d watson,"journal of personality and social psychology ,",intraindividual and interindividual analyses of positive and negative affect : their relation to,1988.0
38674,umr wang,technical report microsoft,"w ; arora , a. , xu j. ( 2000 ) . towards dependable home networking : an experience report",
38675,wr borg,"md ,",gall,
38676,c frye,"application development trends ,","in search of a gentler java j2ee complexity stemmed the growth of early java tools . now , an emerging",2003.0
38677,te cyrs,"new directions for teaching and learning ,",editor 's notes,
38678,"w aref , d barbarã ¡ , p vallabhaneni","proceedings of the 1995 acm sigmod international conference & hellip ; ,",the handwritten trie : indexing electronic ink,1995.0
38679,"j sousa , f pereira","cdc procs. , sydney , dcc ,",a differential game with graph constrained switching strategies,
38680,"h ashman , j verbyla","proceedings of acm hypertext ,",the functional model of the link,
38681,"js song , s satoh , cv ramamoorthy","proceedings of tenconâ ?? 87 , seoul , korea , august 25â ?? 28 ,",the abstraction of petri net,
38682,"g ã?zsoyoglu , v matos","proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,",on optimizing summary-table-by-example queries,1985.0
38683,"ab sinha , lv kale , b ramkumar",,quiescence detection in dynamic process executions,1993.0
38684,"m helliwell , m perkowski","proc . acm/ieee design automation conf ,",a fast algorithm to minimize multi-output mixed-polarity generalized esop forms,
38685,ns english,,"12 ( academic ) , 441 , biology 12 , 441 or 541 , chemistry 12 , 441 or 541 , french 441",
38686,mo senge,"acc . chem . res ,",nucleophilic substitution as a tool for the synthesis of unsymmetrical porphyrins .,2005.0
38687,r manning,"the at ,",hemingway in cuba .,
38688,r bhashyam,,technology challenges in a data warehouse,
38689,"aw lohman , b wirnitzer","proc . ieee ,",triple correlations,
38690,i diving,"seattle ,",1127 nw 45 thstreet,
38691,"m jaedicke , b mitschang , udt operators",proceedings of the 25th international conference on very,enhancing extensibility for ordbms,
38692,"j kiernan , e simon","sigmod record ,",the design and implementation of an extendible deductive database system,1989.0
38693,r whiting,"electronic business ,",benchmarking : lessons from the best-in-class,
38694,d braess,,nonlinear approximation theory,1986.0
38695,lf urwick,,the elements of administration,1947.0
38696,"g banerjee , d sidhu","computer networks ,",comparative analysis of path computation techniques for mpls traffic engineering,2002.0
38697,ac yao,,protocols for secure computations,
38698,"r agrawal , a borgida , hv jagadish",proc . acm,a transitive closure compression technique,
38699,"a macnab , g vahala , l vahala , p pavlo",,lattice boltzmann model for dissipative mhd,
38700,s brandt,,encyclopaedia encarta,1998.0
38701,da manolescu,,workflow enactment with continuation and future objects,
38702,"w kiessling , g landherr","vldb ,",a quantitative comparison of lockprotocols for centralized databases,1983.0
38703,p honeyman,"proc . 6th vldb ,",ã cents â ? ¬ å?extension joinsã cents â ? ¬ â ?,
38704,a de luca,,control of redundant robots under end-effector commands : a case study in underactuated systems,
38705,"s jajodia , d barbarã ¡ , a brodsky , l kerschberg , a","acm sigmod record ,",information systems research at george mason university,1997.0
38706,ca palomba,"new directions for higher education ,",assessment at ball state university,1997.0
38707,"s kumashiro , r rohrer , a strojwas","proc . int . electron devices meeting ,",a new efficient method for the transient simulation of 3-d interconnect structures,
38708,"ea kudera , cm sullivan , ge johnson , ag birmingham","inc. , seattle , washington . appendices and ,",evaluation of the smolt bypass system at wells dam in 1991 . biosonics,
38709,r kretzschmar,"& hellip ; for atmospheric science lapeth , eth zurich , switzerland , & hellip ; ,","the eect of migrating birds on 1290-mhz wind profiler data , semester thesis",
38710,"t terasawa , k maezawa , m hoshino , n shimada , t","proc . 26th int . cosmic ray conf. , salt lake city ,",observation of acosmic-ray-modified ` interplanetary shock,1999.0
38711,"de walling , ta quine","physical geography ,",using chernobyl-derived fallout radionuclides to investigate the role of downstream conveyance,
38712,"ã ? ã?ã?ã ? , ã ? ã ? , ã?ã ? ã ? , ã ? ã?ã?ã?ã ? , ã ? ã?ã?ã ? ,","sigmod record ,",ã ? ã?ã?ã?ã ? ã ? ã?ã?ã ? ã ? ã?ã ? ã?ã ?,2003.0
38713,fh allen,acc . chem .,"kennard , 0 . & taylor , r. ( 1983 )",
38714,h hoji,"university of washington , seattle ,","logical form constraints and configurational structures in japanese , unpublished dissertation",
38715,soca note,,"1/89 : cyclists at road crossings and junctions , shared use by cyclists and pedestrians",
38716,"ds choi , c bae , dj kim","proceedings of the i mech e part d journal of automobile & hellip ; ,",characterization of an evaporating direct-injected gasoline spray using laser-induced exciplex,2004.0
38717,j korpela,"ieee computer ,","lurching toward babel : html , css , and xml .",1998.0
38718,jj kuttamathiathu,"proc . int . congr . zool ,","the biology of philotrypesis caricae ( l. ) , parasite of blastophaga psenes ( l. ) ( chalcidoidea :",
38719,p dickey,,troubling bubbles : the case for replacing alkylphenol ethoxylate surfactants,1997.0
38720,"rr schmidt , c shahabi",proceedings of the twenty-rst acm sigmod symposium on,howto evaluate multiple range-sum queries progressively,
38721,"g massonie , m gamier , jm bov","see ref ,","transmission of indian citrus decline by trioza erytreae ( del guercio ) , the vector of south african",
38722,"d gregory , k bartlett , a de geus , gh socrates","proceedings of 23rd dac ,",a system for automatically synthesizing and optimizing combinational logic in,
38723,ah segars,"proceedings of the international conference on information & hellip ; ,",scale development in information systems research : a paradigm incorporating unidimensionality and,1994.0
38724,hh kausch,"springer-verlag , ,",polymers/properties and applications . vol . 2 . polymer fracture . second edition,1987.0
38725,"ka hua , k vu , jh oh","proceedings of the seventh acm international conference on & hellip ; ,",sammatch : a flexible and efficient sampling-based image retrieval technique for large image,1999.0
38726,"e kobayashi , r lord , m green , ni walker , n kamada ,","transplantation proceedings ,",detection of membrane-bound and soluble-form mhc class i antigen from rat pancreas/spleen grafts,1999.0
38727,"k hirao , y hata , m deguchi , i yao , m ogura , c","genes to cells ,",association of synapse-associated protein 90 / postsynaptic density-95-associated protein ( sapap ) with,2000.0
38728,"e george , d scholten , c buechler","journal of emergency medicine ,",failure of methylprednisolone to improve the outcome of spinal cord injuries .,1996.0
38729,ef nemeth,,in : principles of bone biology,1996.0
38730,"b kouvaritakis , ja rossiter , aot chang","iee proceedings ,",stable generalized predictive control : an algorithm with guaranteed stability,1992.0
38731,"dd pollard , p segall","fracture mechanics of rock ,","theoretical displacements and stresses near fractures in rock : with applications to faults , joints ,",1987.0
38732,"k yokoi , f kanehiro , k kaneko , k fujiwara , s",,experimental study of biped locomotion of humanoid robot hrp-1s,
38733,s bozkurt,,evaluation of setback levees on the sacramento river,
38734,"a pulvirenti , f garbagnati , e regalia , j coppa , a","transplantation proceedings ,",experience with radiofrequency ablation of small hepatocellular carcinomas before liver,2001.0
38735,"ym wang , b vo , r roussev , c verbowski , a johnson",,strider ghostbuster : why itâ ?? sa bad idea for stealth software to hide files,
38736,"p herhold , e zimmermann , g fettweis","computer networks ,",cooperative multi-hop transmission in wireless networks,2005.0
38737,"r krishnamurthy , s naqvi","vldb ,",towards a real horn clause language,1988.0
38738,"j davis , r week , c revett","bt technology journal ,",information agents for world wide web,
38739,"o nierstrasz , dc tsichritzis","acm press frontier series ,",integrated office systems,1989.0
38740,dm bloom,,the grating light valve : revolutionizing display technology,
38741,"a kerminen , k jokinen","procs of the eacl workshop dialogue systems : interaction , & hellip ; ,",distributed dialogue management,
38742,dd cooper,"new directions for teaching and learning ,","reading , writing , and reflection",1998.0
38743,"cj fombrun , nm tichy , ma devanna",,strategic human resource management,1984.0
38744,"ey wu , ww abadeer , lk han , sh lo , g hueckel","proc . irps ,",challenges for accurate reliability projections in the ultra-thin oxide regime,
38745,"tm mcmahon , k bã ¶ rner",,a study on the effects of web page panel size and layout density on information access in a 3 -,2001.0
38746,"ae kamal , gk janssens","computer networks ,","design , performance and wavelength assignment of a wavelength division multiaccess protocol for",1999.0
38747,ec pielou,,ecological diversity,1975.0
38748,y xiao,"unpublished manuscript ,",the packing measure of branching sets,
38749,"h jagdish , n koudas , s muthukrishnan","proc . vldb ,",mining deviants in time series databases,
38750,cwf everitt,"phil . mag ,",thermoremanent magnetization . i. experiments on single domain grains,
38751,ma mcfarland,"social studies and the young learner ,","a social studies fair : an adventure in thinking , planning , creating , sharing and remembering .",1990.0
38752,"k ramamritham , r sivansakaran , ja stankovic , dt",acm sigmod record . special issues on,active databasesâ '',
38753,th havelock,"phil . mag ,",on certain bessel integrals and the coefficients of mutual induction of coaxial coils,
38754,of staffans,,j-energy preserving well-posed linear systems,
38755,"j bolz , p schroder","submitted for publication ,",evaluation of subdivision surfaces on programmable graphics hardware,2003.0
38756,"y xiao , k thulasiraman , g xue , a jã 1/4 ttner",submitted for,the constrained shortest path problem : algorithmic approaches and an algebraic study with,
38757,pa lawler,"new directions for adult and continuing education ,",teachers as adult learners : a new perspective,2003.0
38758,l copeland,"computerworld ,",users look for protection against technology vendor flame-outs,
38759,mc wu,,query optimization for selections using bitmaps,
38760,c hanes,,"reserves , fed funds and repo : how the federal reserve controls interest rates under federal funds",1998.0
38761,"n yorke-smith , c gervet","lecture notes in computer science ,",certainty closure : a framework for reliable constraint reasoning with uncertainty,2003.0
38762,"s ghoshal , ca bartlett","the academy of management review ,",the multinational corporation as an interorganizational network,1990.0
38763,n petropoulos,"demographic evolutions in post-war greece . athens : livanis ,",repatriation 1971-1985 : socio-economic and demographic dimensionsâ '',
38764,"g paxinos , c watson","san diego ,",the rat brain in stereotaxic coordinates 2nd ed academic press,
38765,"dh greenberg , u appenzeller",,cost analysis step by step,
38766,"y li , kw wan , x yan , c xu","proceedings of the 13th annual acm international conference & hellip ; ,",real time advertisement insertion in baseball video based on advertisement effect,2005.0
38767,"acms anthology , p edition , e edition",,supporting state-wide immunisation tracking using multi-paradigm workflow technology .,
38768,"pp bringuier , r bouvier , n berger , e piaton","cytometry-new york - ,",dna ploidy status and dna content instability within single tumors in renal cell carcinoma,1993.0
38769,po bengtssonâ ? ¦,,analyzing software architectures for modifiability,
38770,"s leonardi , d raz",proc . of the 29th ann . acm symp . on theory of,approximating total ow time with preemption,
38771,"rn swamy , r jones , a charif","proc . int . symp ,",shear adhesion properties of epoxy resin adhesives,
38772,"ae dorokhov , ae radzhabov , mk volkov","at . nucl ,","jinr e2-2003-51 ( 2003 ) , to be published in phys",
38773,"s kokkotos , ev ioannidis , t panayiotopoulos , cd","sigmod record ,",on the issue of valid time ( s ) in temporal databases,1995.0
38774,ia dubuque,,"usa , 1996",
38775,"ca crowther , mj keirse","cochrane database syst rev ,",anti-d administration in pregnancy for preventing rhesus alloimmunisation,2000.0
38776,j eisenstein,,evolving robocode tank fighters,
38777,"sj garland , na lynch",,"the ioa language and toolset : support for designing , analyzing , and building distributed systems .",1998.0
38778,s costello,,users question jpeg virus ; mcafee stands firm .,
38779,v tannen,"proceedings of the thirteenth acm sigact-sigmod-sigart & hellip ; ,",tutorial : languages for collection types - group of 10 & raquo ;,1994.0
38780,"p ram , l do , p drew","sigmod record ,",distributed transactions in practice,1999.0
38781,"pa sissel , ca hansman , ce kasworm","new directions for adult and continuing education ,",the politics of neglect : adult learners in higher education,2001.0
38782,t bacot,,"e-mail from terri bacot , 2003 , ( yucaipa , california , 2003 ) , ''",
38783,"sy wang , ht kung","computer networks ,",a new methodology for easily constructing extensible and high-fidelity tcp/ip network simulators,2002.0
38784,"jl diaz , df garcia , k kim , cg lee , ll bello , jm","proceedings of the 23rd ieee real-time systems symposium ( & hellip ; ,",stochastic analysis of periodic real-time systems,2002.0
38785,"r hotaka , m tsubaki",,self-descriptive relational data base,
38786,c murphy,"new directions for higher education ,",the rewards of academic leadership,2003.0
38787,"a itai , m rodeh","proceedings of the 25 symposium on foundations of computer & hellip ; ,",the multi-tree approach to reliability in distributed systems,
38788,"pa bemstein , bt blaustein , em clark","proceedings of 6th int &#39; l conference on vldb ,",fast maintenance of semantic integrity assertions using redundant aggregate date,
38789,"r aharoni , e berger , r ziv",submitted for,independent systems of representatives in weighted graphs,
38790,mj zygmunt,,matrix chebyshev polynomials and continued fractions linear algebr . appl,2001.0
38791,p cochrane,"bt technology journal ,",future networks,1994.0
38792,"v josifovski , m fontoura , a barta","the vldb journal the international journal on very large & hellip ; ,",querying xml streams,2005.0
38793,"m rothbart , b park","journal of personality and social psychology ,",on the confirmability and disconfirmability of trait concepts,
38794,"r epstein , e stonebraker","proc . acm sigmod ,",wong . distributed queryprocessing in relational databasesystems,
38795,a verkeyn,"proceedings of the first ph. d. symposium of the faculty of & hellip ; ,",a fuzzy approach to the modeling of traffic noise annoyance,
38796,"a chatterjee , a rakshit","ieee transactions on knowledge and data engineering ,",influential rule search scheme ( irss ) - a new fuzzy pattern classifier,2004.0
38797,"r ghiya , lj hendren","san diego , ca ,",putting pointer analysis to work . in 25 thpopl,
38798,"o eriksson , b frostell","manuscript to ,",an approach to sustainability assessment of energy systems,
38799,h wadley,"zurich , switzerland , 28 nov. -2 dec. 1983 ,","nde in the nuclear industry , 6 th international conference",1983.0
38800,"dj fein , nr burstein , gg fein , ld lindberg","md ,",the determinants of marriage and cohabitation among disadvantaged americans : research findings and,
38801,j blumerâ ? ¦,"proc . 28th intern . cosmic ray conference , tsukuba ,",auger collaboration,
38802,je reynolds,"journal of emergency nursing ,",noninvasive ventilation for acute respiratory failure,1997.0
38803,h philip,"ieee computer ,","enslow , '' what is a ` distributed ` data processing system",
38804,t selhs,"proceedings of the 1986 acmsigmod international conference & hellip ; ,",global query optrmlzat ( on,
38805,b altered,,to the extent such alterations caused a defect,
38806,"je sammet , dw waugh , rw reiter jr",conference proceedings on,pdl/ada â ?? a design language based on ada,
38807,"v anupam , cl bajaj",,collaborative multimedia scientific design in shastra .,
38808,"t idehara , t tatsukawa , i ogawa , y shimizu , k","proc . 21st int . conf . on infrared and millimeter waves , & hellip ; ,",development of terahertz gyrotron using a 17t superconducting magnet,
38809,"j banerjee , w kim","proceedings acm/sigmod annual conference on management of & hellip ; ,",h. kim at h. korth : '' semantics and implementation of schema evolution in object-oriented databases,
38810,pe hook,"approaches to grammaticalization ,",the emergence of perfective aspect in indo-aryan languages,
38811,å 1/2 å 1/2,"acc . chem . res ,",å 1/2 . å 1/2 . 1986 ; b rc haddon,
38812,"m tsangans , j naughton","proc . sigmod ,",on the performance of object-clustering techniques,
38813,n jonasson,"technical university of denmark ,",the physics of air ionization,
38814,d funaro,,polynomial approximation of differential equations,1992.0
38815,bd davison,"sigmod record ,",book review column,2003.0
38816,h kopetz,"ieee computer ,",g unsteidl . ttpâ ?? a protocol for fault-tolerant real-time unter gr systems,
38817,"r harper , c stone","submitted for publication ,",a type-theoretic semantics for standard ml 1996,
38818,"g koloniari , y petrakis , e pitoura , t tsotsos","proceedings of the 14th acm international conference on & hellip ; ,",query workload-aware overlay construction using histograms,2005.0
38819,"k stoel , j hendler","submitted for publication ,",an efficient inferential-distance-ordering algorithm for parallel and distributed systems,
38820,r main,"computerworld ,",telstra winnows the best and brightest graduates,
38821,m schkolnick,"vldb ,",a survey of physical database design methodology and techniques,
38822,pr krause,,effects of produced water on reproduction and early life stages of the purple sea urchin (,1993.0
38823,b katalinic,"proc . 29th cirp international seminar on manufacturing & hellip ; ,",design methodology of scheduling strategies and scenarios of complex flexible systems,
38824,r banker,"information and software technology ,","chang and c. kemerer , â ?? evidence on economies of scale in software developmentâ ??",
38825,"ag randolph , ee wang","cochrane database syst rev ,",ribavirin for respiratory syncytial virus infection of the lower respiratory tract,2000.0
38826,"d van campenhout , h al-asaad , jp hayes , t mudge ,","acm transactions on design automation of electronic systems ,",high-level design verification of microprocessors via error modeling,1998.0
38827,"ro sylvester , rt oglesby","uw civil engineering . seattle , washington ,",the moses lake water environment,
38828,k zimmerman,"vldb ,",different views of a data base : coexistence between network model and relational model,
38829,"n schwarz , gl clore","journal of personality and social psychology ,","mood , misattribution , and judgments of well-being : informative and directive functions of affective",
38830,"k czajkowski , i foster , c kesselman , v sander , s","lecture notes in computer science ,",snap : a protocol for negotiating service level agreements and coordinating resource management in,2002.0
38831,"gh botorog , h kuchen",,translation by instantiation : integrating functional features into an imperative language,
38832,"s kartashev , s kartashev","ieee computer ,",â ?? s introduction : design for adaptability,
38833,"d gigone , r hastie","journal of personality and social psychology ,",the common knowledge effect : information sharing and group judgment,1993.0
38834,ai mal ` tsev,,algebraic systems,1973.0
38835,"s munch , r dillmann","proceedings of acm iui ,",haptic output in multimodal user interfaces,1997.0
38836,b mitchell-powell,"social studies and the young learner ,",standards and practices : children 's literature and curricula reform for the twenty-first century .,1995.0
38837,"jj collins , m eaton",,genocodes for genetic algorithms,
38838,g weikum,"acm sigmod record ,",foundations of statistical natural language processing,2002.0
38839,j jacques,& hellip ; sur la theorie de la demonstration . travaux soc . sciences,herbrand,
38840,m schrage,"computerworld ,","mr. bozo , meet miss courtesy worm",
38841,"n stuurman , a floore , e middelkoop , r van driel , l","cellular and molecular biology letters ,",pml shuttles between nuclear bodies and the cytoplasm,1997.0
38842,"s berchtold , da keim","acm sigmod ,","high-dimensional index structures , proc",
