acm_id,researchers,conf_venue,year_published
1414,"vijayshankar raman , joseph m. hellerstein",very large data bases,2001
1415,wolfgang may,very large data bases,2001
1416,"giuseppe sindoni , leonardo tininini , amedea ambrosetti , cristina bedeschi , stefano de francisci , orietta gargano , rossella molinaro , mario paolucci , paola patteri , pina ticca",very large data bases,2001
1417,"wen-syan li , k. sel &#231; uk candan , wang-pin hsiung , oliver po , divyakant agrawal , qiong luo , wei-kuang waine huang , yusuf akca , cemal yilmaz",very large data bases,2001
1418,"qiong luo , jeffrey f. naughton",very large data bases,2001
1419,"christine collet , thierry coupaye , t. svensen",very large data bases,1994
1420,"bruce e. martin , r. g. g. cattell",very large data bases,1994
1421,"ibrahim kamel , christos faloutsos",very large data bases,1994
1422,"elena baralis , jennifer widom",very large data bases,1994
1423,"ling tony chen , doron rotem , sidhar seshadri",very large data bases,1995
1424,"rainer gallersd &#246; rfer , matthias nicola",very large data bases,1995
1425,"kurt p. brown , manish mehta , michael j. carey , miron livny",very large data bases,1994
1426,sergey brin,very large data bases,1995
1427,"b. sreenath , s. seshadri",very large data bases,1994
1428,"theodore johnson , dennis shasha",very large data bases,1994
1429,stefano spaccapietra,very large data bases,1994
1430,"sharma chakravarthy , v. krishnaprasad , eman anwar , s.-k . kim",very large data bases,1994
1431,philip a. bernstein,very large data bases,1994
1432,"h. v. jagadish , daniel f. lieuwen , rajeev rastogi , abraham silberschatz , s. sudarshan",very large data bases,1994
1433,"alain pirotte , esteban zim &#225; nyi , david massart , tatiana yakusheva",very large data bases,1994
1434,"maria zemankova , yannis e. ioannidis",very large data bases,1994
1435,"marek rusinkiewicz , wolfgang klas , thomas tesch , j &#252; rgen w &#228; sch , peter muth",very large data bases,1995
1436,"kazutoshi sumiya , kouichi yasutake , hirohiko tanaka , norio sanada , yoshihiko imai",very large data bases,1995
1437,gilles fecteau,very large data bases,1995
1438,"hongjun lu , kian-lee tan , son dao",very large data bases,1995
1439,"a. prasad sistla , clement t. yu , chengwen liu , king liu",very large data bases,1995
1440,"joseph m. hellerstein , jeffrey f. naughton , avi pfeffer",very large data bases,1995
1441,"steven milliner , athman bouguettaya , mike p. papazoglou",very large data bases,1995
1442,"waqar hasan , rajeev motwani",very large data bases,1995
1443,"jiawei han , yongjian fu",very large data bases,1995
1444,rudolf bayer,very large data bases,1995
1445,"paul brown , michael stonebraker",very large data bases,1995
1446,"azer bestavros , spyridon braoudakis",very large data bases,1995
1447,"kazimierz subieta , yahiko kambayashi , jacek leszczylowski",very large data bases,1995
1448,"n. bassiliades , ioannis p. vlahavas",very large data bases,1995
1449,"svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen , svein erik bratsberg , per holager",very large data bases,1995
1450,"erik g. hoel , hanan samet",very large data bases,1995
1451,"rakesh agrawal , king-ip lin , harpreet s. sawhney , kyuseok shim",very large data bases,1995
1452,gary hallmark,very large data bases,1995
1453,"rakesh agrawal , giuseppe psaila , edward l. wimmers , mohamed za &#239; t",very large data bases,1995
1454,"kun-lung wu , philip s. yu , jen-yao chung , james z. teng",very large data bases,1995
1455,sunita sarawagi,very large data bases,1995
1456,"peter buneman , susan b. davidson , kyle hart , g. christian overton , limsoon wong",very large data bases,1995
1457,bruce g. lindsay,very large data bases,1995
1458,"erhard rahm , robert marek",very large data bases,1995
1459,"brajesh goyal , jayant r. haritsa , s. seshadri , v. srinivasan",very large data bases,1995
1460,"david konopnicki , oded shmueli",very large data bases,1995
1461,"frank moser , achim kraiss , wolfgang klas",very large data bases,1995
1462,"ashish gupta , venky harinarayan , dallan quass",very large data bases,1995
1463,"jack a. orenstein , d. n. kamber",very large data bases,1995
1464,yun wang,very large data bases,1995
1465,"tak w. yan , hector garcia-molina",very large data bases,1995
1466,"weipeng p. yan , per - &#197; ke larson",very large data bases,1995
1467,"eben m. haber , yannis e. ioannidis , miron livny",very large data bases,1995
1468,"peter j. haas , jeffrey f. naughton , s. seshadri , lynne stokes",very large data bases,1995
1469,"roger s. barga , calton pu",very large data bases,1995
1470,"john catozzi , sorana rabinovici",very large data bases,1995
1471,"ashoka savasere , edward omiecinski , shamkant b. navathe",very large data bases,1995
1472,"manish mehta , david j. dewitt",very large data bases,1995
1473,"laurent amsaleg , michael j. franklin , olivier gruber",very large data bases,1995
1474,andreas meier,very large data bases,1995
1475,"andr &#233; eickler , carsten andreas gerlhof , donald kossmann",very large data bases,1995
1476,"paul ammann , sushil jajodia , indrakshi ray",very large data bases,1995
1477,"michael steinbrunn , klaus peithner , guido moerkotte , alfons kemper",very large data bases,1995
1478,"alberto belussi , christos faloutsos",very large data bases,1995
1479,"georges gardarin , jean-robert gruser , zhao-hui tang",very large data bases,1995
1480,"janet l. wiener , jeffrey f. naughton",very large data bases,1995
1481,"luis gravano , hector garcia-molina",very large data bases,1995
1482,"david b. lomet , mark r. tuttle",very large data bases,1995
1483,"erik g. hoel , hanan samet",very large data bases,1994
1484,"ada wai-chee fu , david wai-lok cheung",very large data bases,1994
1485,"diane l. davison , goetz graefe",very large data bases,1994
1486,"sudarshan s. chawathe , ming-syan chen , philip s. yu",very large data bases,1994
1487,"hennie j. steenhagen , peter m. g. apers , henk m. blanken , rolf a. de by",very large data bases,1994
1488,"yuh-ming shyy , h. stephen au-yeung , c. p. chou",international conference on management of data,1995
1489,"d. woelk , b. bohrer , n. jacobs , k. ong , c. tomlinson , c. unnikrishnan",international conference on management of data,1995
1490,jim gray,international conference on management of data,1995
1491,rob goldring,international conference on management of data,1995
1492,kestutis ivinskis,international conference on management of data,1995
1493,"peter buneman , david maier",international conference on management of data,1995
1494,william l. gettys,international conference on management of data,1995
1495,greg hope,international conference on management of data,1995
1496,corporate the access team microsoft,international conference on management of data,1995
1497,kenneth moore,international conference on management of data,1995
1498,"surajit chaudhuri , umeshwar dayal , tak w. yan",international conference on management of data,1995
1499,corporate fox development team microsoft,international conference on management of data,1995
1500,"serge abiteboul , sophie cluet , tova milo",international conference on management of data,1995
1501,"sergey brin , james davis , h &#233; ctor garc &#237; a-molina",international conference on management of data,1995
1502,"steven berson , leana golubchik , richard r. muntz",international conference on management of data,1995
1503,"asit dan , dinkar sitaram",international conference on management of data,1995
1504,"craig s. freedman , david j. dewitt",international conference on management of data,1995
1505,"james j. lu , guido moerkotte , joachim schue , v. s. subrahmanian",international conference on management of data,1995
1506,"timothy griffin , leonid libkin",international conference on management of data,1995
1507,"yue zhuge , h &#233; ctor garc &#237; a-molina , joachim hammer , jennifer widom",international conference on management of data,1995
1508,"gautam bhargava , piyush goel , bala iyer",international conference on management of data,1995
1509,"weimin du , ming-chien shan , umeshwar dayal",international conference on management of data,1995
1510,"diane l. davison , goetz graefe",international conference on management of data,1995
1511,"a. prasad sistla , ouri wolfson",international conference on management of data,1995
1512,"claudio bettini , x. sean wang , elisa bertino , sushil jajodia",international conference on management of data,1995
1513,"b. adelberg , h. garcia-molina , b. kao",international conference on management of data,1995
1514,"yannis e. ioannidis , viswanath poosala",international conference on management of data,1995
1515,"wen-chi hou , zhongyang zhang",international conference on management of data,1995
1516,"ashish gupta , inderpal s. mumick , kenneth a. ross",international conference on management of data,1995
1517,"swarup acharya , rafael alonso , michael franklin , stanley zdonik",international conference on management of data,1995
1518,"seth j. white , david j. dewitt",international conference on management of data,1995
1519,"jong soo park , ming-syan chen , philip s. yu",international conference on management of data,1995
1520,"joachim hammer , h &#233; ctor garc &#237; a-molina , kelly ireland , yannis papakonstantinou , jeffrey ullman , jennifer widom",international conference on management of data,1995
1521,"wen-syan li , chris clifton",international conference on management of data,1995
1522,corporate the paradise team,international conference on management of data,1995
1523,corporate the shore team,international conference on management of data,1995
1524,"j. thomas , s. de &#223; loch , n. mattos",international conference on management of data,1995
1525,"stella gatziu , andreas geppert , klaus r. dittrich",international conference on management of data,1995
1526,"e. radeke , r. b &#246; ttger , b. burkert , y. engel , g. kachel , s. kolmschlag , d. nolte",international conference on management of data,1995
1527,"daniel a. keim , hans-peter kriegel",international conference on management of data,1995
1528,"jonathan ashley , myron flickner , james hafner , denis lee , wayne niblack , dragutin petkovic",international conference on management of data,1995
1529,"a. p. buchmann , a. deutsch , j. zimmermann , m. higa",international conference on management of data,1995
1530,"antonio massari , stefano pavani , lorenzo saladini , panos k. chrysanthis",international conference on management of data,1995
1531,"leon shklar , amit sheth , vipul kashyap , satish thatte",international conference on management of data,1995
1532,garth a. gibson,international conference on management of data,1995
1533,"t. imielinski , a. virmani",international conference on management of data,1995
1534,"stefano ceri , piero fraternali , stefano paraboschi , giuseppe psaila",international conference on management of data,1995
1535,"c. collet , t. coupaye",international conference on management of data,1995
1536,"jim melton , nelson mendoca mattos",international conference on management of data,1995
1537,donald r. deutsch,international conference on management of data,1995
1538,moira c. norrie,international conference on management of data,1995
1539,amit sheth,international conference on management of data,1995
1540,bob gerber,international conference on management of data,1995
1541,"chaitanya baru , gilles fecteau",international conference on management of data,1995
1542,christos faloutsos,international conference on management of data,1995
1543,charles levine,international conference on management of data,1995
1544,michael a. olson,international conference on management of data,1995
1545,janet perna,international conference on management of data,1995
1546,charly kleissner,international conference on management of data,1995
1547,robert atkinson,international conference on management of data,1995
1548,case squire,international conference on management of data,1995
1549,herb edelstein,international conference on management of data,1995
1550,clark d. french,international conference on management of data,1995
1551,sanju k. bansal,international conference on management of data,1995
1552,"arnon rosenthal , len seligman , catherine mccollum , barbara blaustein , bhavani thuraisingham , edward lafferty",acm sigmod record,1995
1553,xiaolei qian,acm sigmod record,1995
1554,"tak w. yan , h &#233; ctor garc &#237; a-molina",acm sigmod record,1995
1555,"naphtali rishe , wei sun , david barton , yi deng , cyril orji , michael alexopoulos , leonardo loureiro , carlos ordonez , mario sanchez , artyom shaposhnikov",acm sigmod record,1995
1556,"i.-min a. chen , richard hull , dennis mcleod",acm transactions on database systems ( tods ),1995
1557,"piero fraternali , letizia tanca",acm transactions on database systems ( tods ),1995
1558,"ralph kimball , kevin strehlo",acm sigmod record,1995
1559,jeff richey,acm sigmod record,1995
1560,"chiang lee , chia-jung chen , hongjun lu",acm sigmod record,1995
1561,limsoon wong,acm sigmod record,1995
1562,joseph fong,acm sigmod record,1995
1563,byung s. lee,acm sigmod record,1995
1564,"andr &#233; gamache , nadjiba sahraoui",acm sigmod record,1995
1565,"a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",acm sigmod record,1995
1566,"stavros kokkotos , efstathios v. ioannidis , themis panayiotopoulos , constantine d. spyropoulos",acm sigmod record,1995
1567,"evaggelia pitoura , bharat bhargava",acm sigmod record,1995
1568,"dennis shasha , francois llirbat , eric simon , patrick valduriez",acm transactions on database systems ( tods ),1995
1569,"yannis e. ioannidis , raghu ramakrishnan",acm transactions on database systems ( tods ),1995
1570,weidong chen,acm transactions on database systems ( tods ),1995
1571,"goetz graefe , richard l. cole",acm transactions on database systems ( tods ),1995
1572,"dac khoa doan , norman w. paton , alistair kilgour",acm sigmod record,1995
1573,"patrick o'neil , goetz graefe",acm sigmod record,1995
1574,"r. maelbrancke , h. olivi &#233;",acm sigmod record,1995
1575,"serge abiteboul , richard hull",acm sigmod record,1995
1576,matthias jarke,acm sigmod record,1995
1577,"bruce berra , kingsley nwosu , bhavani thuraisingham",acm sigmod record,1995
1578,"ulrike jaeger , johann christoph freytag",acm sigmod record,1995
1579,akmal b. chaudhri,acm sigmod record,1995
1580,jan chomicki,acm transactions on database systems ( tods ),1995
1581,"lars baekgaard , leo mark",acm transactions on database systems ( tods ),1995
1582,"carl medsker , margaret christensen , il-yeol song",acm sigmod record,1995
1583,"gunter schlageter , thomas berkel , eberhard heuel , silke mittrach , andreas scherer , wolfgang wilkes",acm sigmod record,1995
1584,michael freeston,international conference on management of data,1995
1585,"dimitris papadias , timos sellis , yannis theodoridis , max j. egenhofer",international conference on management of data,1995
1586,"ambuj shatdal , jeffrey f. naughton",international conference on management of data,1995
1587,"annita n. wilschut , jan flokstra , peter m. g. apers",international conference on management of data,1995
1588,"mauricio a. hern &#225; ndez , salvatore j. stolfo",international conference on management of data,1995
1589,"sridhar ramaswamy , paris c. kanellakis",international conference on management of data,1995
1590,"walid aref , daniel barbar &#225; , padmavathi vallabhaneni",international conference on management of data,1995
1591,"christos faloutsos , king-ip lin",international conference on management of data,1995
1592,rich finkelstein,acm sigmod record,1995
1593,"hal berenson , phil bernstein , jim gray , jim melton , elizabeth o'neil , patrick o'neil",international conference on management of data,1995
1594,"lory d. molesky , krithi ramamritham",international conference on management of data,1995
1595,"atul adya , robert gruber , barbara liskov , umesh maheshwari",international conference on management of data,1995
1596,"alexander brodsky , yoram kornatzky",international conference on management of data,1995
1597,"leonidas fegaras , david maier",international conference on management of data,1995
1598,"georges gardarin , fernando machuca , philippe pucheral",international conference on management of data,1995
1599,"nick roussopoulos , stephen kelley , fr &#233; d &#233; ric vincent",international conference on management of data,1995
1600,michael h. b &#246; hlen,acm sigmod record,1995
1601,"arie segev , christian s. jensen , richard thomas snodgrass",acm sigmod record,1995
1602,"murali venkatrao , michael pizzo",acm sigmod record,1995
1603,"susanne englert , ray glasstone , waqar hasan",acm sigmod record,1995
1604,"p. drew , b. hamidzadeh , k. karlapalem , a. kean , d. lee , q. li , f. lochovsky , c. d. shum , b. wuthrich",acm sigmod record,1995
1605,corporate national technical univ. of athens,acm sigmod record,1995
1606,doug stacey,acm sigmod record,1995
1607,xiaolei qian,acm sigmod record,1995
1608,"margaret h. dunham , abdelsalam helal",acm sigmod record,1995
1609,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",acm transactions on database systems ( tods ),1995
1610,"ahmed elmagarmid , jin jing , tetsuya furukawa",acm sigmod record,1995
1611,"brian d. noble , m. satyanarayanan",acm sigmod record,1995
1612,"rafael alonso , yuh-lin chang , liviu iftode , v. s. mani",acm sigmod record,1995
1613,"ouri wolfson , prasad sistla , son dao , kailash narayanan , ramya raj",acm sigmod record,1995
1614,&#214; zg &#252; r ulusoy,acm sigmod record,1995
1615,"bharat bhargava , melliyal annamalai , evaggelia pitoura",acm sigmod record,1995
1616,bruce e. martin,international conference on management of data,1994
1617,krishna g. kulkarni,international conference on management of data,1994
1618,"andrew laursen , jeffrey olkin , mark porter",international conference on management of data,1994
1619,"alex gorelik , yongdong wang , mark deppe",international conference on management of data,1994
1620,daniel j. dietterich,international conference on management of data,1994
1621,"dean daniels , lip boon doo , alan downing , curtis elsbernd , gary hallmark , sandeep jain , bob jenkins , peter lim , gordon smith , benny souder , jim stamos",international conference on management of data,1994
1622,michael j. carey,international conference on management of data,1994
1623,"shaul dar , raghu ramakrishnan",international conference on management of data,1994
1624,phillip m. fernandez,international conference on management of data,1994
1625,susanne englert,international conference on management of data,1994
1626,carrie ballinger,international conference on management of data,1994
1627,david vaskevitch,international conference on management of data,1994
1628,hamid pirahesh,international conference on management of data,1994
1629,michael ubell,international conference on management of data,1994
1630,won kim,international conference on management of data,1994
1631,r. g. g. cattell,international conference on management of data,1994
1632,"a. kemper , g. moerkotte , k. peithner , m. steinbrunn",international conference on management of data,1994
1633,c &#233; sar a. galindo-legaria,international conference on management of data,1994
1634,"v. christophides , s. abiteboul , s. cluet , m. scholl",international conference on management of data,1994
1635,joseph m. hellerstein,international conference on management of data,1994
1636,"anthony tomasic , h &#233; ctor garc &#237; a-molina , kurt shoens",international conference on management of data,1994
1637,"mariano p. consens , tova milo",international conference on management of data,1994
1638,"brigitte kr &#246; ll , peter widmayer",international conference on management of data,1994
1639,"hasanat m. dewan , salvatore j. stolfo , mauricio hern &#225; ndez , jae-jun hwang",international conference on management of data,1994
1640,"praveen seshadri , miron livny , raghu ramakrishnan",international conference on management of data,1994
1641,"konstantinos sagonas , terrance swift , david s. warren",international conference on management of data,1994
1642,"william j. mciver , jr. , roger king",international conference on management of data,1994
1643,"christos faloutsos , m. ranganathan , yannis manolopoulos",international conference on management of data,1994
1644,"michael j. carey , david j. dewitt , michael j. franklin , nancy e. hall , mark l. mcauliffe , jeffrey f. naughton , daniel t. schuh , marvin h. solomon , c. k. tan , odysseas g. tsatalos , seth j. white , michael j. zwilling",international conference on management of data,1994
1645,"seth j. white , david j. dewitt",international conference on management of data,1994
1646,"michael j. carey , michael j. franklin , markos zaharioudakis",international conference on management of data,1994
1647,"jonathan e. cook , alexander l. wolf , benjamin g. zorn",international conference on management of data,1994
1648,"asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin",international conference on management of data,1994
1649,"marianne winslett , kenneth smith , xiaolei qian",acm transactions on database systems ( tods ),1994
1650,weidong chen,acm transactions on database systems ( tods ),1995
1651,"alexander aiken , joseph m. hellerstein , jennifer widom",acm transactions on database systems ( tods ),1995
1652,h. v. jagadish,international conference on management of data,1994
1653,c. mohan,international conference on management of data,1994
1654,"narayanan krishnakumar , arthur j. bernstein",acm transactions on database systems ( tods ),1994
1655,"kenneth j. goldman , nancy lynch",acm transactions on database systems ( tods ),1994
1656,"shan-hoi ng , sheung-lun hung",acm sigmod record,1995
1657,magdy s. hanna,acm sigmod record,1995
1658,"hugh darwen , c. j. date",acm sigmod record,1995
1659,jan jannink,acm sigmod record,1995
1660,jian zhang,acm sigmod record,1995
1661,h. v. jagadish,acm transactions on database systems ( tods ),1995
1662,"kamalakar karlapalem , qing li , chung-dak shum",acm sigmod record,1995
1663,"asuman dogac , mehmet altinel , cetin ozkan , ilker durusoy",acm sigmod record,1995
1664,"m. missikoff , m. toiati",international conference on management of data,1994
1665,"eva k &#252; hn , thomas tschernko , konrad schwarz",international conference on management of data,1994
1666,"r. l. grossman , x. qin",international conference on management of data,1994
1667,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1994
1668,wesley p. melling,international conference on management of data,1994
1669,"munindar p. singh , christine tomlinson , darrell woelk",international conference on management of data,1994
1670,"jan flokstra , maurice van keulen , jacek skowronek",international conference on management of data,1994
1671,"g. m. bryan , w. e. moore , b. j. curry , k. w. lodge , j. geyer",international conference on management of data,1994
1672,"alexandros biliris , euthimios panagos",international conference on management of data,1994
1673,"s.-y . hwang , e.-p . lim , h.-r . yang , s. musukula , k. mediratta , m. ganesh , d. clements , j. stenoien , j. srivastava",international conference on management of data,1994
1674,"thomas brinkhoff , hans-peter kriegel , ralf schneider , bernhard seeger",international conference on management of data,1994
1675,jos &#233; a. blakeley,international conference on management of data,1994
1676,"konstantinos sagonas , terrance swift , david s. warren",international conference on management of data,1994
1677,"r. agrawal , m. carey , c. faloutsos , s. ghosh , m. houtsma , t. imieli &#324; ski , b. iyer , a. mahboob , h. miranda , r. srikant , a. swami",international conference on management of data,1994
1678,"tiziana catarci , giuseppe santucci",international conference on management of data,1994
1679,"jiawei han , yongjian fu , yue huang , yandong cai , nick cercone",international conference on management of data,1994
1680,h.-j . klein,acm sigmod record,1994
1681,anindya datta,acm sigmod record,1994
1682,corporate object database management group,acm sigmod record,1994
1683,"henry f. korth , greg speegle",acm transactions on database systems ( tods ),1994
1684,"jos &#233; a. blakeley , dan fishman , david lomet , michael stonebraker",acm sigmod record,1994
1685,"richard thomas snodgrass , ilsoo ahn , gad ariav , don batory , james clifford , curtis e. dyreson , ramez elmasri , fabio grandi , christian s. jensen , wolfgang k &#228; fer , nick kline , krishna kulkarni , t. y. cliff leung , nikos lorentzos , john f. roddick , arie segev , michael d. soo , suryanarayana m. sripada",acm sigmod record,1994
1686,"richard thomas snodgrass , ilsoo ahn , gad ariav , don batory , james clifford , curtis e. dyreson , ramez elmasri , fabio grandi , christian s. jensen , wolfgang k &#228; fer , nick kline , krishna kulkarni , t. y. cliff leung , nikos lorentzos , john f. roddick , arie segev , michael d. soo , suryanarayana m. sripada",acm sigmod record,1994
1687,"chim-fu yeung , sheung-lun hung , kam-yiu lam",acm sigmod record,1994
1688,xiaolei qian,acm sigmod record,1994
1689,arbee l. p. chen,acm sigmod record,1994
1690,"jorge c. g. ramirez , lon a. smith , lynn l. peterson",acm sigmod record,1994
1691,jennifer widom,acm sigmod record,1994
1692,"klemens b &#246; hm , thomas c. rakow",acm sigmod record,1994
1693,"dong keun shin , arnold charles meltzer",acm sigmod record,1994
1694,martin bertram,acm sigmod record,1994
1695,hartmut wedekind,acm sigmod record,1994
1696,"oscar d &#237; az , arturo jaime , norman w. paton , ghassan al-qaimari",acm sigmod record,1994
1697,"andreas geppert , klaus r. dittrich",acm sigmod record,1994
1698,"werner dreyer , angelika kotz dittrich , duri schmidt",acm sigmod record,1994
1699,li yang,acm sigmod record,1994
1700,"richard thomas snodgrass , ilsoo ahn , gadi ariav , don batory , james clifford , curtis e. dyreson , ramez elmasri , fabio grandi , christian s. jensen , wolfgang k &#228; fer , nick kline , krishna kulkarni , t. y. cliff leung , nikos lorentzos , john f. roddick , arie segev , michael d. soo , suryanarayana m. sripada",acm sigmod record,1994
1701,"peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong",acm sigmod record,1994
1702,"niki pissinou , richard thomas snodgrass , ramez elmasri , inderpal s. mumick , tamer &#214; zsu , barbara pernici , arie segev , babis theodoulidis , umeshwar dayal",acm sigmod record,1994
1703,"curtis dyreson , fabio grandi , wolfgang k &#228; fer , nick kline , nikos lorentzos , yannis mitsopoulos , angelo montanari , daniel nonen , elisa peressi , barbara pernici , john f. roddick , nandlal l. sarda , maria rita scalas , arie segev , richard thomas snodgrass , mike d. soo , abdullah tansel , paolo tiberio , gio wiederhold",acm sigmod record,1994
1704,"moira c. norrie , stephen m. blott , hans-j &#246; rg schek , gerhard weikum",acm sigmod record,1994
1705,leonard gallagher,acm sigmod record,1994
1706,arjan loeffen,acm sigmod record,1994
1707,"claudia bauzer medeiros , fatima pires",acm sigmod record,1994
1708,"christos a. polyzois , h &#233; ctor garc &#237; a-molina",acm transactions on database systems ( tods ),1994
1709,"panos k. chrysanthis , krithi ramamritham",acm transactions on database systems ( tods ),1994
1710,marianne winslett,acm sigmod record,1994
1711,"stefano ceri , piero fraternali , stefano paraboschi , letizia tanca",acm transactions on database systems ( tods ),1994
1712,"simon gibbs , christian breiteneder , dennis tsichritzis",international conference on management of data,1994
1713,"steven berson , shahram ghandeharizadeh , richard muntz , xiangyu ju",international conference on management of data,1994
1714,"jason tsong-li wang , gung-wei chirn , thomas g. marr , bruce shapiro , dennis shasha , kaizhong zhang",international conference on management of data,1994
1715,"inderpal singh mumick , hamid pirahesh",international conference on management of data,1994
1716,"yannis e. ioannidis , yezdi lashkari",international conference on management of data,1994
1717,"luis gravano , h &#233; ctor garc &#237; a-molina , anthony tomasic",international conference on management of data,1994
1718,"chungmin melvin chen , nick roussopoulos",international conference on management of data,1994
1719,"richard l. cole , goetz graefe",international conference on management of data,1994
1720,"hui-i hsiao , ming-syan chen , philip s. yu",international conference on management of data,1994
1721,"arun swami , k. bernhard schiefer",international conference on management of data,1994
1722,"ming-ling lo , chinya v. ravishankar",international conference on management of data,1994
1723,"thomas brinkhoff , hans-peter kriegel , ralf schneider , bernhard seeger",international conference on management of data,1994
1724,"chris nyberg , tom barclay , zarka cvetanovic , jim gray , dave lomet",international conference on management of data,1994
1725,"hwee hwa pang , michael j. carey , miron livny",international conference on management of data,1994
1726,"radek vingralek , yuri breitbart , gerhard weikum",international conference on management of data,1994
1727,"jim gray , prakash sundaresan , susanne englert , ken baclawski , peter j. weinberger",international conference on management of data,1994
1728,"ramesh jain , arun hampapur",acm sigmod record,1994
1729,"yasushi kiyoki , takashi kitagawa , takanari hayama",acm sigmod record,1994
1730,"jean t. anderson , michael stonebraker",acm sigmod record,1994
1731,"william i. grosky , farshad fotouhi , ishwar k. sethi , bogdan capatina",acm sigmod record,1994
1732,"ulrike glavitsch , peter sch &#228; uble , martin wechsler",acm sigmod record,1994
1733,"francine chen , marti hearst , julian kupiec , jan pedersen , lynn wilcox",acm sigmod record,1994
1734,"tom barclay , robert barnes , jim gray , prakash sundaresan",acm sigmod record,1994
1735,"nelson mattos , linda g. demichiel",acm sigmod record,1994
1736,bill rosenblatt,acm sigmod record,1994
1737,"daniel barbar &#225; , tomasz imieli &#324; ski",international conference on management of data,1994
1738,"yixiu huang , prasad sistla , ouri wolfson",international conference on management of data,1994
1739,"tomasz imielinski , s. viswanathan , b. r. badrinath",international conference on management of data,1994
1740,ilsoo ahn,international conference on management of data,1994
1741,"a. biliris , s. dar , n. gehani , h. v. jagadish , k. ramamritham",international conference on management of data,1994
1742,"c. mohan , inderpal narang",international conference on management of data,1994
1743,"aidong zhang , marian nodine , bharat bhargava , omran bukhres",international conference on management of data,1994
