doc_id,conf_loc,record_year,doc_authors,work_title
105,sigmod conference,2003,"sumit ganguly , minos n. garofalakis , rajeev rastogi",processing set expressions over continuous update streams
106,vldb,1999,theodore johnson,performance measurements of compressed bitmap indices
107,vldb,1999,"chee yong chan , yannis e. ioannidis",hierarchical prefix cubes for range-sum queries
108,acm trans . database syst .,2003,"åsa hagström , duminda wijesekera , francesco parisi-presicce , sushil jajodia",removing permissions in the flexible authorization framework
109,sigmod conference,1998,"ion muslea , greg barish , andrew philpot , craig a. knoblock , steven minton , josé luis ambite , pragnesh jay modi , sheila tejada , naveen ashish",ariadne : a system for constructing mediators for internet sources
110,acm trans . database syst .,2001,"dimitris papadias , nikos mamoulis",multiway spatial joins
111,sigmod conference,1996,"anand rajaraman , jeffrey d. ullman , venky harinarayan",implementing data cubes efficiently
112,sigmod record,1994,"nelson mendonça mattos , linda g. demichiel",recent design trade-offs in sql3
113,sigmod record,1999,"andrew eisenberg , jim melton",sqlj-part 1 : sql routines using the java programming language
114,sigmod conference,1997,"alberto o. mendelzon , davood rafiei",similarity-based queries for time series data
115,sigmod record,1999,"alistair n. dunlop , jasmin l. wason , denis a. nicole , mark papiani","a distributed scientific data archive using the web , xml and sql/med"
116,vldb,2002,"katja tham , axel kilian , dieter merkel , peter rieger , stephan heymann , gunnar wegner , johann christoph freytag",viator - a tool family for graphical networking and data view creation
117,sigmod record,2001,h. v. jagadish,information warfare and security - book review
118,vldb,1999,kjetil nørvåg,the persistent cache : improving oid indexing in temporal object-oriented database systems
119,vldb,1995,"christos faloutsos , alberto belussi",estimating the selectivity of spatial queries using the ` correlation ' fractal dimension
120,vldb j.,1999,"dennis mcleod , goksel aslan",semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution
121,sigmod record,1994,"chim-fu yeung , kam-yiu lam , sheung-lun hung",performance evaluation of a new distributed deadlock detection algorithm
122,sigmod record,2001,"jan-eike michels , jim melton , krishna g. kulkarni , peter m. schwarz , kathy zeidenstein , vanja josifovski",sql and management of external data
123,vldb,2003,"alberto lerner , dennis shasha","aquery : query language for ordered data , optimization techniques , and experiments"
124,vldb,1997,"banu özden , minos n. garofalakis , abraham silberschatz",resource scheduling in enhanced pay-per-view continuous media databases
125,sigmod conference,2001,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",review : a real time virtual walkthrough system
126,acm trans . database syst .,1994,"norman s. matloff , patrick tendick",a modified random perturbation method for database security
127,sigmod conference,1999,dan suciu,managing web data
128,vldb,1996,vijay v. raghavan,loading the data warehouse across various parallel architectures
129,sigmod record,1995,"qing li , kamalakar karlapalem , chung-dak shum",hodfa : an architectural framework for homogenizing heterogeneous legacy database
130,vldb,2002,"philippe bonnet , dennis shasha","database tuning : principles , experiments , and troubleshooting techniques"
131,sigmod record,2003,"jeffrey f. naughton , minos n. garofalakis , kenneth a. ross",reminiscences an influential papers
132,sigmod record,1995,jian zhang,application of oodb and sgml techniques in text database : an electronic dictionary system
133,sigmod conference,1998,"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner",java and relational databases : sqlj ( tutorial )
134,sigmod conference,2002,"raghav kaushik , henry f. korth , jeffrey f. naughton , philip bohannon",covering indexes for branching path queries
135,sigmod conference,1995,"wen-syan li , chris clifton",semint : a system prototype for semantic integration in heterogeneous databases
136,sigmod record,2001,"alexandros labrinidis , alberto o. mendelzon",career-enhancing services at sigmod online
137,sigmod conference,1997,"krithi ramamritham , jayant r. haritsa , ramesh gupta",revisiting commit processing in distributed database systems
138,acm trans . database syst .,1999,suad alagic,type-checking oql queries in the odmg type systems
139,sigmod conference,1995,rob golding,things every update replication customer should know
140,sigmod record,2003,björn þór jónsson,in memory of gísli r. hjaltason
141,vldb,1994,"inderpal singh mumick , alon y. levy , yehoshua sagiv",query optimization by predicate move-around
142,sigmod conference,1998,"jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez",catching the boat with strudel : experiences with a web-site management system
143,sigmod conference,2001,"christian s. jensen , richard t. snodgrass , giedrius slivinskas",adaptable query optimization and evaluation in temporal middleware
144,sigmod conference,1996,"raghu ramakrishnan , miron livny , tian zhang",birch : an efficient data clustering method for very large databases
145,sigmod conference,2002,"dimitris papadias , yufei tao",time-parameterized queries in spatio-temporal databases
146,sigmod conference,1997,"eui-hong han , vipin kumar , george karypis",scalable parallel data mining for association rules
147,acm trans . database syst .,2000,"jennifer widom , elena baralis",an algebraic approach to static analysis of active database rules
148,vldb,1995,"sorana rabinovici , john catozzi",os support for vldbs : unix enhancements for the teradata data base
149,sigmod conference,2002,"yannis kotidis , yannis sismanis , antonios deligiannakis , nick roussopoulos",dwarf : shrinking the petacube
150,sigmod conference,1996,"dao-i lin , peter piatko , roman yangarber , dennis shasha",thinksheet : a tool for tailoring complex documents
151,sigmod conference,1996,"betty salzberg , chendong zou",on-line reorganization of sparsely-populated b + trees
152,sigmod conference,2000,andreas weininger,handling very large databases with informix extended parallel server
153,vldb,1994,"surajit chaudhuri , kyuseok shim",including group-by in query optimization
154,vldb,1995,"azer bestavros , spyridon braoudakis",value-cognizant speculative concurrency control
155,sigmod record,2002,james geller,data mining : practical machine learning tools and techniques - book review
156,sigmod record,2001,"dan suciu , maurizio lenzerini , daniele nardi , werner nutt",report on the 8th international workshop on knowledge representation meets databases ( krdb )
157,sigmod conference,1997,"hector garcia-molina , luis gravano , kevin chen-chuan chang , andreas paepcke",starts : stanford proposal for internet meta-searching ( experience paper )
158,vldb,1996,"hans-peter kriegel , stefan berchtold , daniel a. keim",the x-tree : an index structure for high-dimensional data
159,vldb,2002,"rohit ananthakrishna , venkatesh ganti , surajit chaudhuri",eliminating fuzzy duplicates in data warehouses
160,vldb,2003,"michael j. franklin , surajit chaudhuri , alejandro p. buchmann , gerhard weikum , daniel a. keim , martin l. kersten",a database striptease or how to manage your personal databases
161,sigmod conference,2002,"yildiray kabak , gokce laleci , sait pektas , serkan toprak , yusuf tambag , gokhan kurt , asuman dogac , pinar pembecioglu",an ebxml infrastructure implementation through uddi registries and rosettanet pips
162,sigmod record,1995,michael h. böhlen,temporal database system implementations
163,vldb,2003,"yaron kanza , yehoshua sagiv , sara cohen , jonathan mamou",xsearch : a semantic search engine for xml
164,vldb,1995,"miron livny , eben m. haber , yannis e. ioannidis",opossum : desk-top schema management through customizable visualization
165,acm trans . database syst .,2002,"hans-jörg schek , gustavo alonso , heiko schuldt , catriel beeri",atomicity and isolation for transactional processes
166,sigmod conference,1999,"david b. lomet , mark r. tuttle",logical logging to extend recovery to new domains
167,sigmod conference,1994,"jacek skowronek , maurice van keulen , jan flokstra",the impress ddt : a database design toolbox based on a formal specification language
168,sigmod conference,1997,"helen j. wang , peter j. haas , joseph m. hellerstein",online aggregation
169,sigmod conference,1996,"artur klauser , alexander l. wolf , benjamin g. zorn , jonathan e. cook","semi-automatic , self-adaptive control of garbage collection rates in object databases"
170,vldb,1998,ted mihalisin,a single pass computing engine for interactive analysis of vldbs
171,vldb,1996,"zenon protopapas , christos faloutsos , eliot siegel , flip korn , nikolaos sidiropoulos",fast nearest neighbor search in medical image databases
172,sigmod record,1994,"amit p. sheth , wolfgang klas",metadata for digital media : introduction to the special issue
173,sigmod record,1996,hugh darwen,"in reply to domains , relations and religious wars"
174,vldb,1998,"mark jahnke , felipe cariño",bank of america case study : the information currency advantage
175,vldb j.,2002,"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia",tree pattern query minimization
176,sigmod conference,1994,"michael j. carey , markos zaharioudakis , michael j. franklin",fine-grained sharing in a page server oodbms
177,sigmod record,1998,"timothy j. norman , nicholas r. jennings , peyman faratin",adept : an agent-based approach to business process management
178,sigmod record,2001,alexandros labrinidis,introduction to the career forum column
179,sigmod conference,2000,"kheng guan goh , wynne hsu , mong-li lee",image mining in iris : integrated retinal information system
180,sigmod conference,1994,wesley p. melling,enterprise information architectures -- they 're finally changing
181,vldb,2003,nelson mendonça mattos,integrating information for on demand computing
182,vldb j.,1995,"anne doucet , véronique benzaken",thémis : a database programming language handling integrity constraints
183,vldb j.,1994,"kotagiri ramamohanarao , james harland",an introduction to deductive database languages and systems
184,vldb,2002,suryanarayana m. sripada,information management challenges from the aerospace industry
185,sigmod conference,1996,c. mohan,state of the art in workflow management research and products
186,sigmod record,1999,"amit p. sheth , kshitij shah , clemens bertram",videoanywhere : a system for searching and managing distributed video assets
187,sigmod record,2002,"roger s. barga , david b. lomet",phoenix project : fault-tolerant applications
188,sigmod record,2002,"michalis vazirgiannis , yannis batistakis , maria halkidi",cluster validity methods : part i
189,sigmod conference,1995,william l. gettys,directv and oracle rdb : the challenges of vldb transaction processing
190,sigmod conference,1994,"bharat k. bhargava , aidong zhang , marian h. nodine , omran a. bukhres",ensuring relaxed atomicity for flexible transactions in multidatabase systems
191,sigmod conference,1998,"avishai wool , henry f. korth , yuri breitbart , todd a. anderson","replication , consistency , and practicality : are these mutually exclusive ?"
192,vldb,2002,"hans-arno jacobsen , haifeng liu",a-topss - a publish/subscribe system supporting approximate matching
193,acm trans . database syst .,2002,"marco patella , paolo ciaccia",searching in metric spaces with user-defined and approximate distances
194,sigmod conference,1996,"leonid libkin , inderpal singh mumick , latha s. colby , howard trickey , timothy griffin",algorithms for deferred view maintenance
195,vldb,2000,"stavros christodoulakis , nikos pappas",design and development of a stream service in a heterogenous client environment
196,sigmod conference,2002,"wai fu fung , david sun , johannes gehrke",cougar : the network is the database
197,sigmod conference,1995,"david maier , peter buneman",the data that you wo n't find in databases : tutorial panel on data exchange formats
198,vldb j.,2000,"christian s. jensen , kristian torp , richard t. snodgrass",effective timestamping in databases
199,acm trans . database syst .,2002,"dan suciu , yana kadiyska , wang chiew tan , mary f. fernandez , atsuyuki morishima",silkroute : a framework for publishing relational data in xml
200,vldb,2003,"dimitris papadias , jimeng sun , yufei tao",the tpr * - tree : an optimized spatio-temporal access method for predictive queries
201,sigmod record,1996,jennifer widom,editor 's notes
202,vldb,2003,"yannis velegrakis , lucian popa , renée j. miller",mapping adaptation under evolving schemas
203,vldb,2003,"gang qian , qiang xue , sakti pramanik , qiang zhu",the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces
204,sigmod conference,1998,arvola chan,transactional publish / subscribe : the proactive multicast of database changes
205,sigmod conference,2001,"jarek gryz , calisto zuzarte , parke godfrey",exploiting constraint-like data characterizations in query optimization
206,sigmod conference,1996,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , pinar koksal , asuman dogac , gökhan özhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic",metu interoperable database system
207,vldb,1996,"a. a. diwan , s. sudarshan , sanjeeva rane , s. seshadri",clustering techniques for minimizing external path length
208,vldb,1998,warren sterling,the national medical knowledge bank
209,vldb j.,2003,"vijay atluri , anupam joshi , yelena yesha",guest editorial
210,sigmod record,2003,"amihai motro , troels andreasen",report on fqas 2002 : fifth international conference on flexible query answering systems
211,vldb,2002,"philip s. yu , charu c. aggarwal",an automated system for web portal personalization
212,vldb,2001,"françoise fabret , dennis shasha , hans-arno jacobsen , françois llirbat , joão pereira",webfilter : a high-throughput xml-based publish and subscribe system
213,sigmod record,1997,"denis gouin , henry kucera , christian larouche , gilles clement , paul morin",ogdi : toward interoperability among geospatial databases
214,sigmod record,2000,michael j. franklin,editor 's notes
215,sigmod conference,1998,"ambuj k. singh , kothuri venkata ravi kanth , divyakant agrawal",dimensionality reduction for similarity searching in dynamic databases
216,vldb,2000,"asaf adi , david botzer , tali yatzkar-haham , opher etzion",push technology personalization through event correlation
217,vldb,1998,amy pogue,oracle industrial exhibit
218,vldb,1997,"khaled alsabti , vineet singh , sanjay ranka",a one-pass algorithm for accurately estimating quantiles for disk-resident data
219,sigmod record,2001,ling liu,editor 's notes
220,vldb,2002,"renée j. miller , ronald fagin , yannis velegrakis , mauricio a. hernández , lucian popa",translating web data
221,sigmod conference,1996,philip a. bernstein,repository system engineering
222,sigmod record,2000,"z. meral özsoyoglu , stefano ceri , victor vianu , masaru kitsuregawa , leonid a. kalinichenko , hongjun lu , richard t. snodgrass",sigmod sister societies
223,vldb j.,2001,"michael gertz , can türker",semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems
224,vldb j.,1995,"alfons kemper , donald kossmann","adaptable pointer swizzling strategies in object bases : design , realization , and quantitative analysis"
225,sigmod conference,2002,paul cotton,implementing xquery
226,vldb,1998,"soumen chakrabarti , byron dom , sunita sarawagi",mining surprising patterns using temporal description length
227,sigmod conference,2002,"like gao , xiaoyang sean wang",continually evaluating similarity-based pattern queries on a streaming time series
228,vldb,2003,"dimitrios gunopulos , nick koudas , divesh srivastava , michail vlachos , sudipto guha",efficient approximation of optimization queries under parametric aggregation constraints
229,vldb j.,1994,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi",the aditi deductive database system
230,sigmod conference,1999,"vivek r. narasayya , surajit chaudhuri , rajeev motwani",on random sampling over joins
231,vldb,2001,"paolo ciaccia , florian waas , ilaria bartolini",feedbackbypass : a new approach to interactive similarity query processing
232,sigmod conference,1999,"maria luisa sapino , sibel adali , v. s. subrahmanian",a multimedia presentation algebra
233,acm trans . database syst .,1995,"letizia tanca , piero fraternali",a structured approach for the definition of the semantics of active databases
234,vldb,1994,"ramakrishnan srikant , rakesh agrawal",fast algorithms for mining association rules in large databases
235,vldb,2003,peter baumann,"large-scale , standards-based earth observation imagery and web mapping services"
236,sigmod conference,1994,"kaizhong zhang , jason tsong-li wang , bruce a. shapiro , thomas g. marr , gung-wei chirn , dennis shasha",combinatorial pattern discovery for scientific data : some preliminary results
237,sigmod conference,1996,"david j. dewitt , jignesh m. patel",partition based spatial-merge join
238,vldb,2003,"christoph schuler , hans-jörg schek , patrick neukomm , roger weber , heiko schuldt",webservice composition with o'grape and osiris
239,vldb,1999,"daniel a. keim , alexander hinneburg",optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering
240,sigmod record,1995,"silke mittrach , gunter schlageter , thomas berkel , andreas scherer , eberhard heuel , wolfgang wilkes",the database group at university of hagen ( fernuniversitaet )
241,sigmod conference,2003,"antonios deligiannakis , nick roussopoulos",extended wavelets for multiple measures
242,vldb,2003,"nathan folkert , abhinav gupta , andrew witkowski , srikanth bellamkonda , lei sheng , tolga bozkaya , sankar subramanian",business modelling using sql spreadsheets
243,sigmod conference,1998,"thomas seidl , hans-peter kriegel",optimal multi-step k-nearest neighbor search
244,sigmod conference,2002,charu c. aggarwal,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search"
245,vldb j.,1996,"shahram ghandeharizadeh , doug fang",an experimental system for object-based sharing in federated databases
246,sigmod conference,1995,kenneth moore,the lotus notes storage system
247,vldb,2003,"bernd amann , serge abiteboul , jérôme baumgarten , omar benjelloun , tova milo , frederic dang ngoc",schema-driven customization of web services
248,acm trans . database syst .,1994,"christos a. polyzois , hector garcia-molina",evaluation of remote backup algorithms for transaction-processing systems
249,sigmod conference,1998,renée j. miller,using schematically heterogeneous structures
250,vldb,1999,"donald kossmann , alfons kemper , christian wiesner",generalised hash teams for join and group-by
251,sigmod conference,2002,"bryan smith , meikel pöss , lubor kollár , per-åke larson","tpc-ds , taking decision support benchmarking to the next level"
252,vldb,1998,"shivakumar venkataraman , tian zhang",heterogeneous database query optimization in db2 universal datajoiner
253,vldb,1995,"tore risch , staffan flodin",processing object-oriented queries with invertible late bound functions
254,sigmod record,2002,ronald fagin,combining fuzzy information : an overview
255,vldb,2003,"matthias großmann , thomas schwarz , daniela nicklas","nexusscout : an advanced location-based application on a distributed , open mediation platform"
256,vldb,1998,"xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel",incremental clustering for mining in a data warehousing environment
257,sigmod conference,2003,"ravi kumar , d. sivakumar , ronald fagin",efficient similarity search and classification via rank aggregation
258,vldb j.,1997,"hans-peter kriegel , stefan berchtold , daniel a. keim",using extended feature objects for partial similarity retrieval
259,vldb j.,2003,"athman bouguettaya , brahim medjahed , ahmed k. elmagarmid",composing web services on the semantic web
260,sigmod conference,2003,"amol deshpande , suman kumar nath , phillip b. gibbons , srinivasan seshan",irisnet : internet-scale resource-intensive sensor services
261,sigmod conference,1997,"ching-tien ho , rakesh agrawal , nimrod megiddo , ramakrishnan srikant",range queries in olap data cubes
262,sigmod conference,2003,"tapas kanungo , frederick reiss",a characterization of the sensitivity of query optimization to storage access cost parameters
263,vldb,1999,"bhaskaran raman , joseph m. hellerstein , vijayshankar raman",online dynamic reordering for interactive data processing
264,vldb j.,2000,"cheng hian goh , beng chin ooi , kian-lee tan",progressive evaluation of nested aggregate queries
265,acm trans . database syst .,1995,h. v. jagadish,the incinerate data model
266,sigmod record,1999,"amit p. sheth , aris m. ouksel",semantic interoperability in global information systems : a brief introduction to the research area and the special section
