object_id,pub_yr,doc_name,publication_venue
598,1998,editor 's notes,sigmod record
599,2001,adaptable query optimization and evaluation in temporal middleware,sigmod conference
600,1998,the microsoft database research group,sigmod record
601,1998,standards in practice,sigmod record
602,2001,epsilon grid order : an algorithm for the similarity join on massive high-dimensional data,sigmod conference
603,2001,dyda : data warehouse maintenance in fully concurrent environments,sigmod conference
604,1998,the trigs active object-oriented database system - an overview,sigmod record
605,2001,experiences in mining aviation safety data,sigmod conference
606,1998,reminiscences on influential papers,
607,1998,krdb ' 98 : the 5th international workshop on knowledge representation meets databases,
608,2001,global optimization of histograms,sigmod conference
609,1998,unbundling active functionality,sigmod record
610,2001,dynamic buffer allocation in video-on-demand systems,sigmod conference
611,2001,dna-miner : a system prototype for mining dna sequences,sigmod conference
612,1998,mining fuzzy association rules in databases,sigmod record
613,2001,dynamic content acceleration : a caching solution to enable scalable dynamic web page generation,sigmod conference
614,1998,predator : a resource for database research,sigmod record
615,1998,materialized views and data warehouses,sigmod record
616,2001,clio : a semi-automatic tool for schema mapping,sigmod conference
617,1998,workshop report on experiences using object data management in the real-world,
618,2001,efficient evaluation of xml middle-ware queries,sigmod conference
619,2001,enabling dynamic content caching for database-driven web sites,sigmod conference
620,1998,report on the second ieee metadata conference ( metadata ' 97 ),
621,2001,"cosima - your smart , speaking e-salesperson",sigmod conference
622,1998,chair 's message,
623,1998,information director 's message,
624,2001,data-driven understanding and refinement of schema mappings,sigmod conference
625,1998,towards on-line analytical mining in large databases,sigmod record
626,2001,efficient computation of iceberg cubes with complex measures,sigmod conference
627,2001,catalog management in websphere commerce suite,sigmod conference
628,1997,editor 's notes,sigmod record
629,1998,where will object techonology drive data administration ?,sigmod record
630,2001,automatic segmentation of text into structured records,sigmod conference
631,2001,communication efficient distributed mining of association rules,sigmod conference
632,1998,repositories and object oriented databases,sigmod record
633,1998,workflow history management,sigmod record
634,2001,adaptive precision setting for cached approximate values,sigmod conference
635,1998,towards a richer web object model,sigmod record
636,2001,fast-start : quick fault recovery in oracle,sigmod conference
637,1998,reminiscences on influential papers,
638,2001,exploiting constraint-like data characterizations in query optimization,sigmod conference
639,2001,filtering algorithms and implementation for very fast publish/subscribe,sigmod conference
640,1998,t2 : a customizable parallel database for multi-dimensional data,sigmod record
641,2001,ominisearch : a method for searching dynamic content on the web,sigmod conference
642,1996,act-net - the active database management system manifesto : a rulebase of adbms features,sigmod record
643,1996,control strategies for complex relational query processing in shared nothing systems,sigmod record
644,2001,generating efficient plans for queries using views,sigmod conference
645,2001,mpeg-7 standard for multimedia databases,
646,1996,on the cost of monitoring and reorganization of object bases for clustering,sigmod record
647,2001,modeling high-dimensional index structures using sampling,sigmod conference
648,1996,much ado about shared-nothing,sigmod record
649,1996,report on first international workshop on real-time database systems,
650,2001,"data management : lasting impact of the wild , wild , web",sigmod conference
651,2001,dissemination of dynamic data,sigmod conference
652,1996,open issues in parallel query optimization,sigmod record
653,2001,content integration for e-business,sigmod conference
654,1996,middle east technical university software research and development center,sigmod record
655,2001,"fault-tolerant , load-balancing queries in telegraph",sigmod conference
656,1996,the bess object storage manager : architecture overview,sigmod record
657,1996,unisql 's next-generation object-relational database management system,sigmod record
658,2001,online query processing,
659,1996,"olap , relational , and multidimensional database systems",sigmod record
660,2001,xml data management go native or spruce up relational systems ? ( panel abstract ),sigmod conference
661,1996,editor 's notes,sigmod record
662,2001,semantic b2b integration,
663,1996,scientist 's called upon to take actions,sigmod record
664,2001,"optimizing queries using materialized views : a practical , scalable solution",sigmod conference
665,1996,exploiting main memory dbms features to improve real-time concurrency control protocols,sigmod record
666,2001,review : a real time virtual walkthrough system,sigmod conference
667,1996,advances in real-time database systems research,sigmod record
668,2001,updating xml,sigmod conference
669,2001,materialized view selection and maintenance using multi-query optimization,sigmod conference
670,1996,deeds towards a distributed and active real-time database system,sigmod record
671,1996,enhancing external consistency in real-time transactions,sigmod record
672,2001,efficient and tunable similar set retrieval,sigmod conference
673,2001,snowball : a prototype system for extracting relations from large text collections,sigmod conference
674,1996,database research : achievements and opportunities into the 21st century,sigmod record
675,2001,optimizing multidimensional index trees for main memory access,sigmod conference
676,1996,"database research at the indian institute of technology , bombay",sigmod record
677,1996,"integrating temporal , real-time , and active databases",sigmod record
678,2001,"gangam - a solution to support multiple data models , their mappings and maintenance",sigmod conference
679,2001,securing xml documents : the author-x project demonstration,sigmod conference
680,1996,real-time database - similarity semantics and resource scheduling,sigmod record
681,2001,spartan : a model-based semantic compression system for massive data tables,sigmod conference
682,1996,improving timeliness in real-time secure database systems,sigmod record
683,2001,retina : a real-time traffic navigation system,sigmod conference
684,1996,overview of the stanford real-time information processor ( strip ),sigmod record
685,2001,space-efficient online computation of quantile summaries,sigmod conference
686,2001,the nimble integration engine,sigmod conference
687,1996,temporal database bibliography update,sigmod record
688,2001,orthogonal optimization of subqueries and aggregation,sigmod conference
689,1996,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ),
690,2001,independence is good : dependency-based histogram synopses for high-dimensional data,sigmod conference
691,1996,integrating contents and structure in text retrieval,sigmod record
692,1996,lifestreams : a storage model for personal data,sigmod record
693,2001,progressive approximate aggregate queries with a multi-resolution tree structure,sigmod conference
694,1996,object query standards,sigmod record
695,2001,stholes : a multidimensional workload-aware histogram,sigmod conference
696,1996,database research at arizona state university,sigmod record
697,2001,application servers : born-again tp monitors for the web ? ( panel abstract ),sigmod conference
698,1996,illustra 's web datablade module,sigmod record
699,2001,proxy-server architectures for olap,sigmod conference
700,1996,mqseries and cics link for lotus notes,sigmod record
701,2001,efficient and effective metasearch for text databases incorporating linkages among documents,sigmod conference
702,1996,"shutdown , budget , and funding",sigmod record
703,2001,query optimization in compressed database systems,sigmod conference
704,1997,www-udk : a web-based environmental meta-information system,sigmod record
705,2001,main-memory index structures with fixed-size partial keys,sigmod conference
706,1997,improving access to environmental data using context information,sigmod record
707,2001,the network is the database : data management for highly distributed systems,sigmod conference
708,1997,integrating modelling systems for environmental management information systems,sigmod record
709,2001,outlier detection for high dimensional data,sigmod conference
710,2001,"storhouse metanoia - new applications for database , storage & data warehousing",sigmod conference
711,1997,environment information systems - guest editor 's foreword,
712,1997,min-max compression methods for medical image databases,sigmod record
713,2001,on supporting containment queries in relational database management systems,sigmod conference
714,2001,improving index performance through prefetching,sigmod conference
715,1997,mediator languages - a proposal for a standard,sigmod record
716,2001,materialized view and index selection tool for microsoft sql server 2000,sigmod conference
717,1997,open gis and on-line environmental libraries,sigmod record
718,1997,management of data and services in the environmental information system ( uis ) of baden-wќrttemberg,sigmod record
719,2001,\ kweelt : more than just \ '' \ `` yet another framework to query xml ! \ '' \ '' \ '' '',sigmod conference
720,1996,dynamic information visualization,sigmod record
721,2001,selectivity estimation using probabilistic models,sigmod conference
722,1996,"a response to r. camps ' article `` domains , relations and religious wars ''",sigmod record
723,2001,prefer : a system for the efficient execution of multi-parametric ranked queries,sigmod conference
724,1997,opportunities in information management and assurance,sigmod record
725,2001,mining needle in a haystack : classifying rare classes via two-phase rule induction,sigmod conference
726,1997,query previews for networked information systems : a case study with nasa environmental data,sigmod record
727,2001,"probe , count , and classify : categorizing hidden web databases",sigmod conference
728,2001,iceberg-cube computation with pc clusters,sigmod conference
729,1996,an orthogonally persistent java,sigmod record
730,2001,reconciling schemas of disparate data sources : a machine-learning approach,sigmod conference
731,1996,3d geographic network displays,sigmod record
732,2001,locally adaptive dimensionality reduction for indexing large time series databases,sigmod conference
733,1996,applying database visualization to the world wide web,sigmod record
734,1996,a framework for information visualisation,sigmod record
735,2001,time series similarity measures and time series indexing,
736,2001,vqbd : exploring semistructured data,sigmod conference
737,1996,the aggregate data problem : a system for their definition and management,sigmod record
738,2001,models and languages for describing and discovering e-services,
739,1996,"information visualization , guest editors ' foreword",
740,2001,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes,sigmod conference
741,1996,editor 's notes,sigmod record
742,1996,"in reply to domains , relations and religious wars",sigmod record
743,2001,spatial data management for computer aided design,sigmod conference
744,2001,monitoring business processes through event correlation based on dependency model,sigmod conference
745,1996,pixel-oriented database visualizations,sigmod record
746,2001,minimization of tree pattern queries,sigmod conference
747,1996,to table or not to table : a hypertabular answer,sigmod record
748,2001,using the golden rule of sampling for query estimation,sigmod conference
749,1996,incremental data structures and algorithms for dynamic query interfaces,sigmod record
750,2001,on computing correlated aggregates over continual data streams,sigmod conference
751,1996,spotfire : an information exploration environment,sigmod record
752,1996,new standard for stored procedures in sql,sigmod record
753,2000,finding generalized projected clusters in high dimensional spaces,sigmod conference
754,1996,"tcp-d - the challenges , issues and results",sigmod record
755,2000,density biased sampling : an improved method for data mining and clustering,sigmod conference
756,2000,high speed on-line backup when using logical log operations,sigmod conference
757,1996,report from the nsf workshop on workflow and process automation in information systems,
758,1996,the mariposa distributed database management system,sigmod record
759,2000,efficient resumption of interrupted warehouse loads,sigmod conference
760,1996,"domains , relations and religious wars",sigmod record
761,2001,the prototype of the dare system,sigmod conference
762,1996,guidelines for presentation and comparison of indexing techniques,sigmod record
763,2001,pbir - perception-based image retrieval,sigmod conference
764,2001,will database researchers have any role in data security ? ( panel abstract ),sigmod conference
765,1996,new programs at darpa and nsf,sigmod record
766,2001,monitoring xml data on the web,sigmod conference
767,1996,editor 's notes,sigmod record
768,2000,finding replicated web collections,sigmod conference
769,1995,a comparison of three user interfaces to relational microcomputer data bases,sigmod record
770,2000,efficient and cost-effective techniques for browsing and indexing large video databases,sigmod conference
771,1995,editor 's ( farewell ) notes,
772,2000,efficient algorithms for mining outliers from large data sets,sigmod conference
773,1995,implementation aspects of an object-oriented dbms,sigmod record
774,1995,hodfa : an architectural framework for homogenizing heterogeneous legacy database,sigmod record
775,2000,designing and mining multi-terabyte astronomy archives : the sloan digital sky survey,sigmod conference
776,2000,approximating multi-dimensional aggregate range queries over real attributes,sigmod conference
777,1995,a close look at the ifo data model,sigmod record
778,1995,an annotated bibliography of benchmarks for object databases,sigmod record
779,2000,congressional samples for approximate answering of group-by queries,sigmod conference
780,2000,"counting , enumerating , and sampling of execution plans in a cost-based query optimizer",sigmod conference
781,1995,an annotated bibliography on active databases,sigmod record
782,2000,benchmarking queries over trees : learning the hard truth the hard way,sigmod conference
783,1995,acm multimedia '94 conference workshop on multimedia database management systems,sigmod record
784,2000,answering complex sql queries using automatic summary tables,sigmod conference
785,1995,information finding in a digital library : the stanford perspective,sigmod record
786,1995,"turmoil at nasa , and numerous funding announcements",sigmod record
787,2000,closest pair queries in spatial databases,sigmod conference
788,2000,efficient and extensible algorithms for multi query optimization,sigmod conference
789,1995,why decision support fails and how to fix it,sigmod record
790,1995,application of oodb and sgml techniques in text database : an electronic dictionary system,sigmod record
791,2000,eddies : continuously adaptive query processing,sigmod conference
792,1995,normalization in oodb design,sigmod record
793,2000,a chase too far ?,sigmod conference
794,1995,on the issue of valid time ( s ) in temporal databases,sigmod record
795,2000,a framework for expressing and combining preferences,sigmod conference
796,1995,addressing techniques used in database object managers o2 and orion,sigmod record
797,2000,a data model and data structures for moving objects databases,sigmod conference
798,1995,metu interoperable database system,sigmod record
799,2000,adaptive multi-stage distance join processing,sigmod conference
800,2000,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,sigmod conference
801,1994,metadata for digital media : introduction to the special issue,sigmod record
802,1994,\ are the terms \ '' \ `` version \ '' \ '' and \ '' \ `` variant \ '' \ '' orthogonal to one another ? a critical assessment of the step standardization \ '' '',sigmod record
803,2000,a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite,sigmod conference
804,2000,"proceedings of the 2000 acm sigmod international conference on management of data , may 16-18 , 2000 , dallas , texas , usa",
805,1994,metadata in video databases,sigmod record
806,1994,metadata for multimedia documents,sigmod record
807,2000,disima : a distributed and interoperable image database system,sigmod conference
808,2000,data mining on an oltp system ( nearly ) for free,sigmod conference
809,1994,a new join algorithm,sigmod record
810,2000,mining frequent patterns without candidate generation,sigmod conference
811,1994,data modelling in the large,sigmod record
812,1994,editor 's notes and erratum,
813,2000,on-line reorganization in object databases,sigmod conference
814,2000,turbo-charging vertical mining of large databases,sigmod conference
815,1994,a metadatabase system for semantic image search by a mathematical model of meaning,sigmod record
816,1995,trade press news,
817,2000,dlfm : a transactional resource manager,sigmod conference
818,1995,the database group at university of hagen ( fernuniversitaet ),sigmod record
819,2000,expressing business rules,sigmod conference
820,2000,anatomy of a real e-commerce system,sigmod conference
821,1995,calls for papers and announcements,sigmod record
822,2000,handling very large databases with informix extended parallel server,sigmod conference
823,1995,political winds change direction again,sigmod record
824,2000,fact : a learning based web query processing system,sigmod conference
825,1995,implementing deletion in b + - trees,sigmod record
826,1995,multigranularity locking in multiple job classes transaction processing system,sigmod record
827,2000,an approximate search engine for structural databases,sigmod conference
828,2000,concept based design of data warehouses : the dwq demonstrators,sigmod conference
829,1995,information systems research at rwth aachen,sigmod record
830,2000,ajax : an extensible data cleaning tool,sigmod conference
831,1995,the third manifesto,sigmod record
832,2000,lh * rs : a high-availability scalable distributed data structure using reed solomon codes,sigmod conference
833,1995,the database group at national technical university of athens ( ntua ),sigmod record
834,1995,"opportunities at arpa , nsf , and elsewhere",sigmod record
835,2000,wsq/dsq : a practical approach for combined querying of databases and the web,sigmod conference
836,1995,parallelism and its price : a case study of nonstop sql/mp,sigmod record
837,2000,mocha : a self-extensible database middleware system for distributed data sources,sigmod conference
838,1995,sql/cli - a new binding style for sql,sigmod record
839,2000,towards self-tuning data placement in parallel database systems,sigmod conference
840,1995,report on the 1995 international workshop on temporal databases,
841,2000,webview materialization,sigmod conference
842,1995,temporal database system implementations,sigmod record
843,2000,niagaracq : a scalable continuous query system for internet databases,sigmod conference
844,1995,view maintenance in mobile computing,sigmod record
845,2000,terraserver : a spatial data warehouse,sigmod conference
846,2000,indexing the positions of continuously moving objects,sigmod conference
847,1995,managing video data in a mobile environment,sigmod record
848,2000,how to roll a join : asynchronous incremental view maintenance,sigmod conference
849,1995,mobile computing and databases : anything new ?,sigmod record
850,1995,wireless client/server computing for personal information services and applications,sigmod record
851,2000,on wrapping query languages and efficient xml integration,sigmod conference
852,1995,data and knowledge base research at hong kong university of science and technology,sigmod record
853,2000,lof : identifying density-based local outliers,sigmod conference
854,2000,synchronizing a database to improve freshness,sigmod conference
855,1995,from the guest editors - special section on data management issues in mobile computing,
856,1995,digital library services in mobile computing,sigmod record
857,2000,spatial join selectivity using power laws,sigmod conference
858,2000,influence sets based on reverse nearest neighbor queries,sigmod conference
859,1995,an annotated bibliography on real-time database systems,sigmod record
860,2000,xmill : an efficient compressor for xml data,sigmod conference
861,1995,editor 's notes,sigmod record
862,1995,a research status report on adaptation for mobile data access,sigmod record
863,2000,xtract : a system for extracting document type descriptors from xml documents,sigmod conference
864,1995,mapping extended entity relationship model to object modeling technique,sigmod record
865,2000,application architecture : 2tier or 3tier ? what is dbms 's role ? ( panel abstract ),sigmod conference
866,2000,index research : forest or trees ? ( panel abstract ),sigmod conference
867,1995,multi-table joins through bitmapped join indices,sigmod record
868,1995,optimizing jan jannink 's implementation of b + - tree deletion,sigmod record
869,2000,from browsing to interacting : dbms support for responive websites ( abstract ),sigmod conference
870,1995,\ response to \ '' \ `` a close look at the ifo data model \ '' \ '' \ '' '',sigmod record
871,2000,sqlem : fast clustering in sql using the em algorithm,sigmod conference
872,2000,tutorial : data access,
873,1995,condition handling in sql persistent stored modules,sigmod record
874,1995,data management research at the mitre corporation,sigmod record
875,2000,"data management in ecommerce : the good , the bad , and the ugly",
876,2000,tutorial : designing an ultra highly available dbms,
877,1995,florida international university high performance database research center,sigmod record
878,1995,a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,sigmod record
879,2000,on xml and databases : where 's the beef ? ( panel abstract ),sigmod conference
880,2000,making b + - trees cache conscious in main memory,sigmod conference
881,1995,an introduction to remy 's fast polymorphic record projection,sigmod record
882,1995,an aspect of query optimization in multidatabase systems ( extended abstract ),sigmod record
883,2000,privacy-preserving data mining,sigmod conference
884,1995,design and user testing of a multi-paradigm query interface to an object-oriented database,sigmod record
885,2000,on effective multi-dimensional indexing for strings,sigmod conference
886,1995,editor 's notes,sigmod record
887,2000,the onion technique : indexing for linear optimization queries,sigmod conference
888,2000,internet traffic warehouse,sigmod conference
889,1995,calls for papers and announcements,sigmod record
890,2000,indexing images in oracle8i,sigmod conference
891,1995,the new middleware,sigmod record
892,1995,"replication : db2 , oracle , or sybase ?",sigmod record
893,2000,online index rebuild,sigmod conference
894,1995,trade press news,
895,2000,maintenance of automatic summary tables,sigmod conference
896,1994,trade press news,
897,2000,integrating replacement policies in storm : an extensible approach,sigmod conference
898,1994,progress on hpcc and nii,sigmod record
899,2000,the mlpq/gis constraint database system,sigmod conference
900,1999,efficient concurrency control in multidimensional access methods,sigmod conference
901,2003,analysis of predictive spatio-temporal queries,acm trans . database syst .
902,2003,efficient dynamic mining of constrained frequent sets,acm trans . database syst .
903,1999,fast algorithms for projected clustering,sigmod conference
904,2000,image mining in iris : integrated retinal information system,sigmod conference
905,2003,effective page refresh policies for web crawlers,acm trans . database syst .
906,2003,preference formulas in relational queries,acm trans . database syst .
907,2000,mocha : a database middleware system featuring automatic deployment of application-specific functionality,sigmod conference
908,2000,tip : a temporal extension to informix,sigmod conference
909,2003,path sharing and predicate evaluation for high-performance xml filtering,acm trans . database syst .
910,2000,spire : a progressive content-based spatial image retrieval engine,sigmod conference
911,2003,index-driven similarity search in metric spaces,acm trans . database syst .
912,2000,homer : a model-based case tool for data-intensive web sites,sigmod conference
913,1994,research perspectives for time series management systems,sigmod record
914,1994,supporting dynamic displays using active rules,sigmod record
915,2000,javax.xxl : a prototype for a library of query processing algorithms,sigmod conference
916,1994,overview of the special section on temporal database infrastructure,sigmod record
917,2000,"i3 : intelligent , interactive investigaton of olap data cubes",sigmod conference
918,2000,towards data mining benchmarking : a testbed for performance study of frequent pattern mining,sigmod conference
919,1994,towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop,
920,2000,tutorial : ldap directory services - just another database application ?,
921,1994,tsql2 language specification,sigmod record
922,1994,text databases : a survey of text models and systems,sigmod record
923,2000,self-organizing data sharing communities with sagres,sigmod conference
924,1994,the database research group at eth zurich,sigmod record
925,2000,lambda-db : an odmg-based object-oriented dbms,sigmod conference
926,1994,influencing database language standards,sigmod record
927,2000,serfing the web : web site management made easy,sigmod conference
928,1999,computing capabilities of mediators,sigmod conference
929,2002,understanding the global semantics of referential actions using logic rules,acm trans . database syst .
930,1999,efficient geometry-based similarity search of 3d spatial databases,sigmod conference
931,2003,adaptive algorithms for set containment joins,acm trans . database syst .
932,1999,a layered architecture for querying dynamic web content,sigmod conference
933,2001,information management for genome level bioinformatics,
934,2002,silkroute : a framework for publishing relational data in xml,acm trans . database syst .
935,2002,searching in metric spaces with user-defined and approximate distances,acm trans . database syst .
936,1999,automatic discovery of language models for text databases,sigmod conference
937,1999,bottom-up computation of sparse and iceberg cubes,sigmod conference
938,2002,fast incremental maintenance of approximate histograms,acm trans . database syst .
939,1999,client-site query extensions,sigmod conference
940,2002,searching for dependencies at multiple abstraction levels,acm trans . database syst .
941,1999,a new method for similarity indexing of market basket data,sigmod conference
942,2002,locally adaptive dimensionality reduction for indexing large time series databases,acm trans . database syst .
943,2002,cost models for overlapping and multiversion structures,acm trans . database syst .
944,1999,dynamat : a dynamic view management system for data warehouses,sigmod conference
945,1999,an efficient bitmap encoding scheme for selection queries,sigmod conference
946,2003,iterative spatial join,acm trans . database syst .
947,1999,approximate computation of multidimensional aggregates of sparse data using wavelets,sigmod conference
948,2003,removing permissions in the flexible authorization framework,acm trans . database syst .
949,1999,an adaptive query execution system for data integration,sigmod conference
950,2003,spatial queries in dynamic environments,acm trans . database syst .
951,1999,a comparison of selectivity estimators for range queries on metric attributes,sigmod conference
952,2003,are quorums an alternative for data replication ?,acm trans . database syst .
953,1999,belief reasoning in mls deductive databases,sigmod conference
954,2003,on the computation of relational view complements,acm trans . database syst .
955,2003,discovering all most specific sentences,acm trans . database syst .
956,1999,efficient concurrency control for broadcast environments,sigmod conference
957,2003,a simple algorithm for finding frequent elements in streams and bags,acm trans . database syst .
958,1999,boat-optimistic decision tree construction,sigmod conference
959,1999,a multimedia presentation algebra,sigmod conference
960,2003,description logics for semantic query optimization in object-oriented database systems,acm trans . database syst .
961,1994,editor 's notes,sigmod record
962,1999,a user-centered interface for querying distributed multimedia databases,sigmod conference
963,1994,a tsql2 tutorial,sigmod record
964,1999,integration of spatial join algorithms for processing multiple inputs,sigmod conference
965,1999,evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes,sigmod conference
966,1994,"announcements from nsf , nasa , and elsewhere",sigmod record
967,1994,calls for papers / announcements,sigmod record
968,1999,exploratory mining via constrained frequent set queries,sigmod conference
969,1994,research issues in databases for arcs : active rapidly changing data systems,sigmod record
970,1999,domino : databases for moving objects tracking,sigmod conference
971,1999,database patchwork on the internet,sigmod conference
972,1994,how to modify sql queries in order to guarantee sure answers,sigmod record
973,1994,database research at nthu and itri,sigmod record
974,1999,an xml-based wrapper generator for web information extraction,sigmod conference
975,1994,"response to the march 1994 odmg-93 commentary written by dr. won kim of unisql , inc",sigmod record
976,1999,dbis-toolkit : adaptable middleware for large scale data delivery,sigmod conference
977,1999,daytona and the fourth-generation language cymbal,sigmod conference
978,1994,metadata for integrating speech documents in a text retrieval system,sigmod record
979,1994,metadata for mixed-media access,sigmod record
980,1999,data integration and warehousing in telecom italia,sigmod conference
981,1994,sequoia 2000 metadata schema for satellite images,sigmod record
982,1999,datablitz storage manager : main memory database performance for critical applications,sigmod conference
983,1994,using metadata for the intelligent browsing of structured media objects,sigmod record
984,1999,emc information sharing : direct access to mvs data from unix and nt,sigmod conference
985,1994,trade press news - announcement and preface,
986,1999,clustering methods for large databases : from the past to the future,sigmod conference
987,1999,bringing object-relational technology to mainstream,sigmod conference
988,1994,unix rdbms : the next generation,sigmod record
989,1994,loading databases using dataflow parallelism,sigmod record
990,1999,data management issues in electronic commerce ( panel ),sigmod conference
991,1999,a database perspective on lotus domino/notes,sigmod conference
992,1994,recent design trade-offs in sql3,sigmod record
993,1999,query optimization in the presence of limited access patterns,sigmod conference
994,1994,a consensus glossary of temporal database concepts,sigmod record
995,1999,ripple joins for online aggregation,sigmod conference
996,1994,constructing the next 100 database management systems,sigmod record
997,1999,join synopses for approximate query answering,sigmod conference
998,1994,a hypertext query language for images,sigmod record
999,1999,on random sampling over joins,sigmod conference
1000,1994,editor 's notes,sigmod record
1001,1999,random sampling techniques for space efficient online computation of order statistics of large datasets,sigmod conference
1002,1994,observations on the odmg-93 proposal,sigmod record
1003,1994,in memory of bob kooi ( 1951-1993 ),
1004,1999,query optimization for selections using bitmaps,sigmod conference
1005,1999,multi-dimensional selectivity estimation using compressed histogram information,sigmod conference
1006,1994,databases for gis,sigmod record
1007,1999,self-tuning histograms : building histograms without looking at data,sigmod conference
1008,1994,comprehension syntax,sigmod record
1009,1994,research issues in active database systems : report from the closing panel at ride-ads '94,sigmod record
1010,1999,optimization of constrained frequent set queries with 2-variable constraints,sigmod conference
1011,1994,the impact of database research on industrial products ( panel summary ),sigmod record
1012,1999,online association rule mining,sigmod conference
1013,1994,the tsql2 final language definition announcement,sigmod record
1014,1999,querying network directories,sigmod conference
1015,1994,performance evaluation of a new distributed deadlock detection algorithm,sigmod record
1016,1999,update propagation protocols for replicated databases,sigmod conference
1017,1999,logical logging to extend recovery to new domains,sigmod conference
1018,1994,calls for papers / announcements,sigmod record
1019,1994,jumping on the nii bandwagon,sigmod record
1020,1999,optics : ordering points to identify the clustering structure,sigmod conference
1021,1994,trade press news,
