beer_no,abv_percentage,maker_name,beer_kind
113,5.00 %,Alexander Keith 's,American Amber / Red Ale
114,4.50 %,River Horse Brewing Co. .,American Amber / Red Ale
115,5.25 %,Crazy Mountain Brewing Company,American Amber / Red Ale
116,5.50 %,Inlet Brewing Co. .,American Amber / Red Ale
117,4.80 %,World Brews,American Amber / Red Ale
118,5.70 %,Kirkland Signature / Costco Wholesale Corporation,American Amber / Red Ale
119,6.00 %,Parallel 49 Brewing Company,American Amber / Red Ale
120,4.80 %,Rock Art Brewery,American Amber / Red Ale
121,9.40 %,Fat Head 's Brewery & Saloon,American Amber / Red Ale
122,4.80 %,Independence Brewing Co. .,American Amber / Red Ale
123,6.00 %,Port Brewing,American Amber / Red Ale
124,5.20 %,Spanish Peaks Brewing Co. .,American Amber / Red Ale
125,9.00 %,Cambridge Brewing Company,American Amber / Red Ale
126,5.50 %,Steinhaus Brewing Co. .,American Amber / Red Ale
127,6.10 %,Coop Ale Works,American Amber / Red Ale
128,5.80 %,Rush River Brewing Company,American Amber / Red Ale
129,5.20 %,Blitz-Weinhard Brewing Co. .,American Amber / Red Ale
130,5.20 %,Adirondack Pub & Brewery,American Amber / Red Ale
131,-,New Holland Brewing Company,American Amber / Red Ale
132,12.00 %,Clown Shoes,American Amber / Red Ale
133,5.00 %,North Peak Brewing Company,American Amber / Red Ale
134,5.30 %,Grand Teton Brewing Co. .,American Amber / Red Ale
135,5.00 %,Flying Bison Brewing Company,American Amber / Red Ale
136,8.20 %,Mountain Town Brewing Co. .,American Amber / Red Ale
137,5.20 %,Wachusett Brewing Company,American Amber / Red Ale
138,8.60 %,Mad River Brewing Company,American Amber / Red Ale
139,5.40 %,Lost Nation Brewing,American Amber / Red Ale
140,8.50 %,Fulton Beer,American Amber / Red Ale
141,8.30 %,Short 's Brewing Company,American Amber / Red Ale
142,4.75 %,Finnegans Inc. .,American Amber / Red Ale
143,5.00 %,Philadelphia Brewing Company,American Amber / Red Ale
144,9.50 %,Peak Organic Brewing Company,American Amber / Red Ale
145,4.80 %,Milwaukee Ale House,American Amber / Red Ale
146,5.50 %,West Sixth Brewing Company,American Amber / Red Ale
147,6.00 %,MadTree Brewing,American Amber / Red Ale
148,6.80 %,Thomas Creek Brewery,American Amber / Red Ale
149,5.50 %,Cape Cod Beer,American Amber / Red Ale
150,5.60 %,Bissell Brothers Brewing Co. .,American Amber / Red Ale
151,4.40 %,Sebago Brewing Company,American Amber / Red Ale
152,9.00 %,Pipeworks Brewing Company,American Amber / Red Ale
153,5.00 %,AleWerks Brewing Company,American Amber / Red Ale
154,5.20 %,Sierra Blanca Brewing Company ( Rio Grande ),American Amber / Red Ale
155,5.80 %,Hopworks Urban Brewery,American Amber / Red Ale
156,5.70 %,Peak Organic Brewing Company,American Amber / Red Ale
157,9.50 %,Upland Brewing Company,American Amber / Red Ale
158,6.10 %,No Label Brewing Company,American Amber / Red Ale
159,8.20 %,Speakeasy Ales & Lagers,American Amber / Red Ale
160,6.50 %,Three Heads Brewing,American Amber / Red Ale
161,5.80 %,Great Lakes Brewing Co. .,American Amber / Red Ale
162,6.10 %,Laurelwood Public House & Brewery,American Amber / Red Ale
163,6.50 %,Prism Brewing Company,American Amber / Red Ale
164,5.90 %,Buffalo Bayou Brewing Co,American Amber / Red Ale
165,5.20 %,Wynkoop Brewing Company,American Amber / Red Ale
166,5.20 %,Magic Hat Brewing Company,American Amber / Red Ale
167,6.00 %,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale
168,10.20 %,Mission Brewery,American Amber / Red Ale
169,5.70 %,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale
170,5.80 %,Full Pint Brewing Company,American Amber / Red Ale
171,7.70 %,Epic Brewing Company,American Amber / Red Ale
172,8.00 %,Martin House Brewing Company,American Amber / Red Ale
173,4.50 %,Tin Roof Brewing Company,American Amber / Red Ale
174,6.80 %,Thirsty Planet Brewing Company,American Amber / Red Ale
175,6.70 %,Goose Island Beer Co. .,American Amber / Red Ale
176,4.90 %,Peak Organic Brewing Company,American Amber / Red Ale
177,5.80 %,Peace Tree Brewing Co. .,American Amber / Red Ale
178,8.00 %,Kern River Brewing Company,American Amber / Red Ale
179,5.10 %,Keweenaw Brewing Company,American Amber / Red Ale
180,8.25 %,Element Brewing Company,American Amber / Red Ale
181,5.80 %,Flat 12 Bierwerks,American Amber / Red Ale
182,9.20 %,O'so Brewing Company & Tap House,American Amber / Red Ale
183,4.85 %,Boulder Beer / Wilderness Pub,American Amber / Red Ale
184,8.50 %,Smuttynose Brewing Company,American Amber / Red Ale
185,4.50 %,Rahr & Sons Brewing Company,American Amber / Red Ale
186,6.00 %,Flying Dog Brewery,American Amber / Red Ale
187,6.50 %,Griffin Claw Brewing Company,American Amber / Red Ale
188,7.30 %,Tree House Brewing Company,American Amber / Red Ale
189,7.00 %,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale
190,7.00 %,Peak Organic Brewing Company,American Amber / Red Ale
191,5.50 %,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale
192,5.00 %,Otto 's Pub and Brewery,American Amber / Red Ale
193,7.00 %,Boneyard Beer Company,American Amber / Red Ale
194,-,Cigar City Brewing,American Amber / Red Ale
195,5.50 %,Oaken Barrel Brewing Company,American Amber / Red Ale
196,5.60 %,Switchback Brewing Company,American Amber / Red Ale
197,5.00 %,Cigar City Brewing,American Amber / Red Ale
198,5.50 %,SanTan Brewing Co. .,American Amber / Red Ale
199,5.00 %,Tree Brewing,American Amber / Red Ale
200,5.60 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale
201,7.20 %,Wicked Weed Brewing,American Amber / Red Ale
202,5.00 %,Cameron 's Brewing Co. .,American Amber / Red Ale
203,6.00 %,O'so Brewing Company & Tap House,American Amber / Red Ale
204,10.20 %,Milwaukee Brewing Company,American Amber / Red Ale
205,6.00 %,Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale
206,4.50 %,McAuslan Brewing,American Amber / Red Ale
207,6.00 %,Anderson Valley Brewing Company,American Amber / Red Ale
208,5.20 %,Sackets Harbor Brewing Co. .,American Amber / Red Ale
209,5.00 %,Amsterdam Brewing Company,American Amber / Red Ale
210,5.40 %,14th Star Brewing Co. .,American Amber / Red Ale
211,5.80 %,Right Brain Brewery,American Amber / Red Ale
212,7.00 %,Narragansett Brewing Co. .,American Amber / Red Ale
213,5.40 %,Odin Brewing Company,American Amber / Red Ale
214,5.10 %,Scuttlebutt Brewing Company,American Amber / Red Ale
215,5.50 %,Perrin Brewery,American Amber / Red Ale
216,7.00 %,Smog City Brewing,American Amber / Red Ale
217,5.70 %,Sprecher Brewing Company,American Amber / Red Ale
218,5.50 %,Sleeman Breweries Ltd. .,American Amber / Red Ale
219,5.30 %,Offshore Ale Company,American Amber / Red Ale
220,5.60 %,Lancaster Brewing Company,American Amber / Red Ale
221,5.60 %,McNeill 's Brewery,American Amber / Red Ale
222,8.00 %,Southern Prohibition Brewing,American Amber / Red Ale
223,8.00 %,Burley Oak Brewery,American Amber / Red Ale
224,5.60 %,Upland Brewing Company,American Amber / Red Ale
225,5.00 %,3 Sheeps Brewing,American Amber / Red Ale
226,8.00 %,Apocalypse Ale Works,American Amber / Red Ale
227,5.10 %,DuClaw Brewing Company,American Amber / Red Ale
228,8.50 %,Southern Star Brewing Company,American Amber / Red Ale
229,8.00 %,Rapscallion,American Amber / Red Ale
230,4.00 %,Utah Brewers Cooperative,American Amber / Red Ale
231,6.00 %,SingleCut Beersmiths,American Amber / Red Ale
232,5.60 %,Kona Brewing Co. .,American Amber / Red Ale
233,5.00 %,Brasseurs Du Nord Inc. .,American Amber / Red Ale
234,6.90 %,Ipswich Ale Brewery,American Amber / Red Ale
235,5.40 %,Big Muddy Brewing,American Amber / Red Ale
236,6.00 %,Bad Weather Brewing Company,American Amber / Red Ale
237,5.00 %,Nimbus Brewing Company,American Amber / Red Ale
238,4.90 %,Cambridge Brewing Company,American Amber / Red Ale
239,7.50 %,Solemn Oath Brewery,American Amber / Red Ale
240,4.60 %,Hale 's Ales Brewery & Pub,American Amber / Red Ale
241,5.00 %,NoDa Brewing Company,American Amber / Red Ale
242,5.00 %,Lake of Bays Brewing Company,American Amber / Red Ale
243,7.00 %,Drake 's Brewing Co. .,American Amber / Red Ale
244,5.00 %,Bristol Brewing Company,American Amber / Red Ale
245,5.00 %,Thimble Island Brewing Company,American Amber / Red Ale
246,6.00 %,Big Storm Brewing Company,American Amber / Red Ale
247,5.80 %,Ale Industries,American Amber / Red Ale
248,4.70 %,Grand River Brewing,American Amber / Red Ale
249,5.20 %,Fire Island Beer Company,American Amber / Red Ale
250,5.60 %,Tighthead Brewing Company,American Amber / Red Ale
251,6.00 %,Silver City Brewing Co. .,American Amber / Red Ale
252,5.40 %,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale
253,5.80 %,Pizza Port Solana Beach,American Amber / Red Ale
254,8.00 %,Knee Deep Brewing Company,American Amber / Red Ale
255,9.00 %,Rushing Duck Brewing Company,American Amber / Red Ale
256,8.50 %,Wicked Weed Brewing,American Amber / Red Ale
257,5.00 %,Back East Brewing Company,American Amber / Red Ale
258,7.50 %,Lucid Brewing,American Amber / Red Ale
259,5.30 %,Upstate Brewing Company,American Amber / Red Ale
260,-,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale
261,4.80 %,Milwaukee Brewing Company,American Amber / Red Ale
262,-,Rogue Ales,American Amber / Red Ale
263,5.40 %,Grand Canyon Brewing Company,American Amber / Red Ale
264,5.30 %,El Toro Brewing Co. .,American Amber / Red Ale
265,6.60 %,ReaperAle,American Amber / Red Ale
266,5.60 %,Karben4 Brewing,American Amber / Red Ale
267,8.20 %,Grand Teton Brewing Co. .,American Amber / Red Ale
268,5.60 %,Ruhstaller,American Amber / Red Ale
269,5.50 %,O'Connor Brewing Co. .,American Amber / Red Ale
270,7.00 %,Ballast Point Brewing Company,American Amber / Red Ale
271,4.50 %,Mammoth Brewing Company,American Amber / Red Ale
272,5.00 %,COAST Brewing Company,American Amber / Red Ale
273,5.75 %,Utah Brewers Cooperative,American Amber / Red Ale
274,9.00 %,Greenbush Brewing Company,American Amber / Red Ale
275,5.60 %,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale
276,5.70 %,McNeill 's Brewery,American Amber / Red Ale
277,5.50 %,Oak Creek Brewery and Grill,American Amber / Red Ale
278,-,Dark Horse Brewing Company,American Amber / Red Ale
279,6.00 %,De Struise Brouwers,American Amber / Red Ale
280,5.40 %,Half Pints Brewing Company,American Amber / Red Ale
281,9.50 %,Solemn Oath Brewery,American Amber / Red Ale
282,6.70 %,Frankenmuth Brewery,American Amber / Red Ale
283,5.50 %,Empire Brewing Company,American Amber / Red Ale
284,6.00 %,Great Lakes Brewing Co. .,American Amber / Red Ale
285,8.20 %,Lavery Brewing Company,American Amber / Red Ale
286,5.90 %,Evolution Craft Brewing Company,American Amber / Red Ale
287,4.60 %,Flying Monkey Brewing Company,American Amber / Red Ale
288,5.20 %,Boston Beer Works - Canal Street,American Amber / Red Ale
289,6.50 %,Marshall Brewing Company,American Amber / Red Ale
290,-,Weston Brewing Company & O'Malley 's Pub,American Amber / Red Ale
291,5.40 %,Oakshire Brewing,American Amber / Red Ale
292,6.00 %,Dock Street Brewery & Restaurant,American Amber / Red Ale
293,4.90 %,Arbor Brewing Company,American Amber / Red Ale
294,6.00 %,Crazy Mountain Brewing Company,American Amber / Red Ale
295,7.50 %,Figure 8 Brewing,American Amber / Red Ale
296,5.60 %,Charleville Vineyard Microbrewery,American Amber / Red Ale
297,6.20 %,Cigar City Brewing,American Amber / Red Ale
298,5.50 %,Creature Comforts,American Amber / Red Ale
299,4.40 %,Brouwerij De Molen,American Amber / Red Ale
300,4.50 %,World Brews,American Amber / Red Ale
301,6.00 %,Cellar Rats Brewery,American Amber / Red Ale
302,6.80 %,Blue & Gray Brewing Co. .,American Amber / Red Ale
303,7.00 %,8 Wired Brewing Co. .,American Amber / Red Ale
304,5.30 %,Twisted Pine Brewing Company,American Amber / Red Ale
305,6.00 %,Rhinegeist Brewery,American Amber / Red Ale
306,7.30 %,BJ 's Restaurant & Brewhouse,American Amber / Red Ale
307,5.50 %,Yukon Brewing Company,American Amber / Red Ale
308,5.20 %,Kern River Brewing Company,American Amber / Red Ale
309,6.10 %,Fat Bottom Brewing,American Amber / Red Ale
310,5.20 %,Lighthouse Brewing Company,American Amber / Red Ale
311,8.30 %,Swamp Head Brewery,American Amber / Red Ale
312,6.00 %,Freetail Brewing Company,American Amber / Red Ale
313,4.50 %,World Brews,American Amber / Red Ale
314,-,Rogue Ales,American Amber / Red Ale
315,5.50 %,Jailhouse Brewing Company,American Amber / Red Ale
316,4.90 %,Coors Brewing Company,American Amber / Red Ale
317,4.80 %,Cricket Hill Brewing Co. .,American Amber / Red Ale
318,6.00 %,Solemn Oath Brewery,American Amber / Red Ale
319,6.10 %,Hoppy Brewing Co. .,American Amber / Red Ale
320,4.60 %,Garrison Brewing Company,American Amber / Red Ale
321,5.80 %,Siren Craft Brew,American Amber / Red Ale
322,5.30 %,The Pike Brewing Company,American Amber / Red Ale
323,5.30 %,Moosehead Breweries Ltd. .,American Amber / Red Ale
324,5.20 %,Mountain State Brewing Co. .,American Amber / Red Ale
325,5.50 %,The Brew Kettle Taproom & Smokehouse / Production Works,American Amber / Red Ale
326,5.50 %,Los Muertos Brewing,American Amber / Red Ale
327,6.50 %,Amarcord Birra Artigianale Italiana,American Amber / Red Ale
328,8.00 %,Right Brain Brewery,American Amber / Red Ale
329,7.00 %,Iron Horse Brewery,American Amber / Red Ale
330,6.20 %,Lompoc Tavern,American Amber / Red Ale
331,6.70 %,Goose Island Beer Co. .,American Amber / Red Ale
332,7.10 %,Bootlegger 's Brewery,American Amber / Red Ale
333,5.50 %,Pump House Brewery,American Amber / Red Ale
334,7.50 %,Bold City Brewery,American Amber / Red Ale
335,5.80 %,Mountain Town Brewing Co. .,American Amber / Red Ale
336,5.00 %,Lake Placid Craft Brewing Company,American Amber / Red Ale
337,5.60 %,Hoppy Brewing Co. .,American Amber / Red Ale
338,6.50 %,Barrier Brewing Company,American Amber / Red Ale
339,5.60 %,Liquid Hero Brewery,American Amber / Red Ale
340,5.50 %,Minhas Craft Brewery,American Amber / Red Ale
341,6.00 %,Goose Island Beer Co. .,American Amber / Red Ale
342,-,Ghost River Brewing,American Amber / Red Ale
343,5.60 %,The Fort Collins Brewery,American Amber / Red Ale
344,5.50 %,Gray 's Brewing Company,American Amber / Red Ale
345,5.40 %,Pensacola Bay Brewery,American Amber / Red Ale
346,8.30 %,Spring House Brewing Company,American Amber / Red Ale
347,4.00 %,Meantime Brewing Company Limited,American Amber / Red Ale
348,5.40 %,Carolina Brewery,American Amber / Red Ale
349,6.00 %,Flat 12 Bierwerks,American Amber / Red Ale
350,5.60 %,Elysian Brewing Company,American Amber / Red Ale
351,5.30 %,Triton Brewing Company,American Amber / Red Ale
352,6.70 %,10 Barrel Brewing Co. .,American Amber / Red Ale
353,5.50 %,Maritime Pacific Brewing Company,American Amber / Red Ale
354,9.20 %,Eel River Brewing Co. .,American Amber / Red Ale
355,6.00 %,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber / Red Ale
356,8.00 %,Elysian Brewing Company,American Amber / Red Ale
357,12.00 %,Firestone Walker Brewing Co. .,American Amber / Red Ale
358,5.80 %,Jekyll Brewing,American Amber / Red Ale
359,4.50 %,World Brews,American Amber / Red Ale
360,5.00 %,DuClaw Brewing Company,American Amber / Red Ale
361,7.00 %,Blue Pants Brewery,American Amber / Red Ale
362,6.50 %,Latitude 42 Brewing Company,American Amber / Red Ale
363,5.38 %,Backcountry Brewery,American Amber / Red Ale
364,6.50 %,Lake Superior Brewing Company,American Amber / Red Ale
365,7.20 %,Cigar City Brewing,American Amber / Red Ale
366,6.20 %,Alpine Beer Company,American Amber / Red Ale
367,5.20 %,Hawai'i Nui Brewing / Mehana Brewing Company,American Amber / Red Ale
368,5.50 %,Triple C Brewing Co. .,American Amber / Red Ale
369,5.10 %,Strand Brewing Co. .,American Amber / Red Ale
370,5.70 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale
371,5.00 %,South Street Brewery,American Amber / Red Ale
372,-,Dead Armadillo Craft Brewing,American Amber / Red Ale
373,5.10 %,Parish Brewing Company,American Amber / Red Ale
374,4.70 %,Big River Grille & Brewing Works,American Amber / Red Ale
375,5.50 %,Beer Valley Brewing Co. .,American Amber / Red Ale
376,7.50 %,BottleTree Beer Co. .,American Amber / Red Ale
377,5.50 %,Madison River Brewing Company,American Amber / Red Ale
378,5.80 %,Smartmouth Brewing Company,American Amber / Red Ale
379,5.50 %,Cerveceria Mexicana S.A. De C.V.,American Amber / Red Ale
380,5.80 %,Mankato Brewery,American Amber / Red Ale
381,7.50 %,Lickinghole Creek Craft Brewery,American Amber / Red Ale
382,8.50 %,Laurelwood Public House & Brewery,American Amber / Red Ale
383,5.50 %,Devil 's Canyon Brewing Company,American Amber / Red Ale
384,5.20 %,Vancouver Island Brewery,American Amber / Red Ale
385,5.70 %,New Orleans Lager & Ale Brewing Company ( NOLA ),American Amber / Red Ale
386,5.20 %,Brasseurs R.J.,American Amber / Red Ale
387,6.60 %,603 Brewery,American Amber / Red Ale
388,5.50 %,Cannery Brewing Company,American Amber / Red Ale
389,6.00 %,North Country Brewing,American Amber / Red Ale
390,5.50 %,Steamworks Brewing Co. .,American Amber / Red Ale
391,7.50 %,River Horse Brewing Co. .,American Amber / Red Ale
392,5.20 %,Henniker Brewing Co. .,American Amber / Red Ale
393,5.40 %,Bozeman Brewing Company,American Amber / Red Ale
394,6.00 %,Fountain Square Brewing Co. .,American Amber / Red Ale
395,5.00 %,Choc Beer Co. / Pete 's Place,American Amber / Red Ale
396,8.60 %,Real Ale Brewing Company,American Amber / Red Ale
397,7.50 %,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale
398,5.00 %,Central City Brewers + Distillers,American Amber / Red Ale
399,9.00 %,Mispillion River Brewing,American Amber / Red Ale
400,5.00 %,Old Credit Brewing Co. .,American Amber / Red Ale
401,5.50 %,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale
402,6.30 %,Spanish Peaks Brewing Co. .,American Amber / Red Ale
403,7.50 %,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale
404,8.00 %,Austin Beerworks,American Amber / Red Ale
405,5.40 %,Brew Hub,American Amber / Red Ale
406,10.00 %,Ballast Point Brewing Company,American Amber / Red Ale
407,8.00 %,Trillium Brewing Company,American Amber / Red Ale
408,5.50 %,Grizzly Peak Brewing Company,American Amber / Red Ale
409,4.80 %,Big Bay Brewing Co. .,American Amber / Red Ale
410,9.20 %,Columbus Brewing Company,American Amber / Red Ale
411,5.50 %,West Sixth Brewing Company,American Amber / Red Ale
412,5.60 %,Denali Brewing Company / Twister Creek Restaurant,American Amber / Red Ale
413,6.50 %,Ritual Brewing Co. .,American Amber / Red Ale
414,-,Prescott Brewing Company,American Amber / Red Ale
415,4.70 %,Cold Spring Brewing Co. .,American Amber / Red Ale
416,4.90 %,Boulder Beer / Wilderness Pub,American Amber / Red Ale
417,5.00 %,The Brew Kettle Taproom & Smokehouse / Production Works,American Amber / Red Ale
418,8.00 %,Grado Plato,American Amber / Red Ale
419,8.30 %,Elevation Beer Co. .,American Amber / Red Ale
420,7.00 %,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale
421,6.20 %,Green Man Brewery,American Amber / Red Ale
422,8.00 %,Lighthouse Brewing Company,American Amber / Red Ale
423,6.00 %,Green 's Gluten Free Beers,American Amber / Red Ale
424,5.00 %,Quidi Vidi Brewing Company,American Amber / Red Ale
425,5.00 %,The Gahan House,American Amber / Red Ale
426,7.60 %,Aztec Brewing Company,American Amber / Red Ale
427,7.80 %,Pinglehead Brewing Co. / Brewer 's Pizza,American Amber / Red Ale
428,7.50 %,Atwater Brewery,American Amber / Red Ale
429,4.50 %,Picaroons Brewing Co. .,American Amber / Red Ale
430,5.00 %,Jailbreak Brewing Company,American Amber / Red Ale
431,4.80 %,Epic Brewing Company,American Amber / Red Ale
432,5.70 %,Pisgah Brewing Co. .,American Amber / Red Ale
433,6.50 %,Portsmouth Brewery,American Amber / Red Ale
434,5.90 %,Lagerheads Smokehouse & Brewing Co. .,American Amber / Red Ale
435,5.50 %,Utah Brewers Cooperative,American Amber / Red Ale
436,6.00 %,Blue Frog Grog & Grill,American Amber / Red Ale
437,5.50 %,Iron Springs Pub & Brewery,American Amber / Red Ale
438,6.00 %,Bloomington Brewing Company,American Amber / Red Ale
439,6.80 %,Cascade Lakes Brewing Co. .,American Amber / Red Ale
