brew_id,beer_desc,brew_fct_name,beer_abv_percent,beer_variety
1237,Himmelberger North 40 Amber,Himmelberger Brewing Company,-,Amber Ale
1238,49th State Amber Borealis,49th State Brewery,5 %,Amber Ale
1239,Rudders Red,Rudders Seafood Restaurant & Brew Pub,-,Amber Ale
1240,Grizzly Peak Junicade Red,Grizzly Peak Brewing Co. .,5.50 %,Amber Ale
1241,Arch Brewing Dinner Jacket Red IPA,Wellington Brewery,6.30 %,India Pale Ale &#40; IPA &#41;
1242,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,4.40 %,Amber Ale
1243,Ale Industries Rye_d Piper,Ale Industries,5.75 %,Specialty Grain
1244,Birdsview Scraps,Birdsview Brewing Company,6 %,Amber Ale
1245,Three Palms Ruby Pogo,Three Palms Brewing,-,Amber Ale
1246,508 Honey Brew,508 Gastrobrewery,-,Old Ale
1247,Sick N Twisted Hopped Up Red Ale,Sick N Twisted Brewing Company,6.50 %,Amber Ale
1248,Red Leg Howitzer Amber,Red Leg Brewing,5.90 %,Amber Ale
1249,Twelve String Archtop Amber,Twelve String Brewing Company,5.50 %,Amber Ale
1250,Iron Hill Rye-Zen-Shine,Iron Hill West Chester,6 %,India Pale Ale &#40; IPA &#41;
1251,Grand River Plowman_s Anniversary Ale,Grand River Brewing,6.50 %,India Pale Ale &#40; IPA &#41;
1252,Ridgeway Californian Amber,Hepworth,5.50 %,Amber Ale
1253,Gro_en Bart Anker Beard Amber,Gro_en Bart Brewery,5.40 %,Amber Ale
1254,Woodman Devil_s Gate Red Ale,Woodman Brewery,-,Amber Ale
1255,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,10 %,American Strong Ale
1256,7 Devils Lighthouse Session Ale,7 Devils Brewing Company,4.20 %,Golden Ale/Blond Ale
1257,Big Woods &#40; Quaff On &#033; &#41; Java The Red,Big Woods &#40; Quaff On &#033; &#41; Brewing Company,7.50 %,Amber Ale
1258,Karl Strauss Amber - Pumpkin Pie,Karl Strauss Brewing Company,4.50 %,Spice/Herb/Vegetable
1259,Monks CafÃ © Orange Ale 2007,Sigtuna Brygghus,6.80 %,Abbey Dubbel
1260,Blue Star Apache Amber Ale,Blue Star Brewing Co. .,-,Amber Ale
1261,Big Time Lift Ticket American Red Ale,Big Time Brewery,7 %,India Pale Ale &#40; IPA &#41;
1262,Hops & Grain Dispensary Series : Red Ale,Hops & Grain Brewing,-,Irish Ale
1263,Nine Yards Homewrecker Red,Nine Yards Brewing,5.50 %,Amber Ale
1264,Boneyard Red Ale,Boneyard Brewing,2.90 %,Mild Ale
1265,Big Time Scarlett Fire IPA,Big Time Brewery,6.40 %,India Pale Ale &#40; IPA &#41;
1266,ABC Brewing Driftwood Porter,Valhalla,6.20 %,Porter
1267,The Cambridge House Lime Rock Red,The Cambridge House,6 %,Amber Ale
1268,Old Redwood Little Windsor,Old Redwood Brewing Company,5.50 %,Session IPA
1269,White Gypsy Emerald Irish Pale Ale,White Gypsy &#40; Shelta Beer Co &#41;,5 %,Golden Ale/Blond Ale
1270,Adventure Stiletto Stout,Adventure Brewing Company,6.50 %,Stout
1271,10 Barrel Red Faucher,10 Barrel Brewing &#40; AB InBev &#41;,6.50 %,Amber Ale
1272,Culture Unite Red Ale,Culture Brewing Company,4.60 %,Amber Ale
1273,Wicked Weed Duke Of Rochester,Wicked Weed Brewing,5.50 %,Amber Ale
1274,Silver City Ridgetop Red Ale,Silver City Brewery,6 %,Irish Ale
1275,Canal Park General Sterling Price American Amber Ale - Centennial,Canal Park Brewing Company,4.80 %,Amber Ale
1276,7 Fjell Walkendorff Amber Ale,7 Fjell Bryggeri,6 %,Amber Ale
1277,Dennis Beer Rocket Science Red Planet,Dennis Beer Company,6.40 %,Amber Ale
1278,Fat Head_s Rocketman Red Ale,Fat Head_s Brewery & Saloon,5.50 %,Amber Ale
1279,Sandude Shades of Amber,Sandude Brewing Company,5 %,Amber Ale
1280,#Postubirra - SÃ ³ c de l_Oest,click & brew,5.80 %,English Pale Ale
1281,Baird Red Rose Amber Ale,Baird Brewing Co. .,5.40 %,California Common
1282,Northumberland Hills Can_t Catch Me &#033; Gingerbread Stout,Northumberland Hills Brewing,6 %,Sweet Stout
1283,Devil_s Peak Woodhead Amber Ale,Devil_s Peak Brewing Company,5.10 %,Amber Ale
1284,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,5.40 %,Amber Ale
1285,Grassroots/Tired Hands Do Saisons Dream Of Electric Yeast ?,FanÃ ¸ Bryghus,7 %,Saison
1286,American River Capitol Copper,American River Brewing Co. .,6 %,Amber Ale
1287,Reaver Beach Icarus Farmhouse Red,Reaver Beach Brewing Company,6 %,Sour/Wild Ale
1288,Craig Allan Agent Provocateur,De Proefbrouwerij,6.50 %,Belgian Ale
1289,1758 Lager _ mbar,Cerveza 1758,5 %,Amber Lager/Vienna
1290,Rustic Road Accommodation Amber,Rustic Road Brewing Company,5.70 %,Amber Ale
1291,Acoustic Ales Hopski Pre-Prohibition Style Lager,Acoustic Ales Brewing Experiment,5 %,Pale Lager
1292,Cassel Lil _ Red Steamer Red Ale,Cassel Brewery Co. .,5.20 %,Amber Ale
1293,Original Gravity Cone-Azalia Red Ale,Original Gravity Brewing Company,5.10 %,Amber Ale
1294,Big Buck Wolverine Wheat,Big Buck Brewery,-,Wheat Ale
1295,La Captive Pyromane,Microbrasserie La Captive,4.90 %,Amber Ale
1296,Medusa Island of Misfit Hops # 1,Medusa Brewing Company,7.40 %,Amber Ale
1297,Red Rock Opie Red Ale,Red Rock Brewing,4 %,Irish Ale
1298,The Beer Company Wyatt Earp Red Ale,The Beer Company,7 %,Irish Ale
1299,101 North Golden Naked Ale,101 North Brewing Company,5.30 %,Golden Ale/Blond Ale
1300,3 Iron Mulligan - Ball Striking Blonde,3 Iron Brewing Company,4.80 %,Golden Ale/Blond Ale
1301,CÃ ´ te de Jade Brigantine AmbrÃ © e,Brasserie de la CÃ ´ te de Jade,6 %,BiÃ ¨ re de Garde
1302,Flyers Daybreak Breakfast Stout,Flyers Restaurant & Brewery,-,Sweet Stout
1303,College Green Headless Dog,Hilden,4.30 %,Amber Ale
1304,Front Street Amberjack ESB,Front Street Brewery &#40; NC &#41;,4.50 %,Bitter
1305,Goat Ridge New London Amber Ale,Goat Ridge Brewing Company,5.20 %,Amber Ale
1306,Rushing Duck Kroovy,Rushing Duck Brewing,9 %,American Strong Ale
1307,Bespoke Chip Off The Old Block,Bespoke,3.40 %,Mild Ale
1308,BNS The Hills Have Eyes Amber Ale,BNS Brewing & Distilling,5.20 %,Amber Ale
1309,Tugboat Honey Amber Ale,Tugboat Brewing Co. .,5.20 %,Amber Ale
1310,Broken Bottle AFD Red,Broken Bottle Brewery,5.40 %,Amber Ale
1311,Andersonville Gangster Hopped Up Amber Ale,Andersonville Brewing Company,5.60 %,Amber Ale
1312,New Holland Adam_s Apple,New Holland Brewing Company,5 %,Fruit Beer
1313,Wicked Weed Tyrant Double Red,Wicked Weed Brewing,8.80 %,American Strong Ale
1314,Great Storm Brass Ale Honey Amber,Great Storm Brewing,6.30 %,Amber Ale
1315,Beer Works Red October,Beer Works,6 %,Oktoberfest/M Ã $ rzen
1316,Epic Ales Rustic Red Ale,Epic Ales &#40; WA &#41;,7.20 %,Amber Ale
1317,Grafton Brewhaus Red Ale,Grafton Winery & Brewhaus,-,Amber Ale
1318,Stronzo Red Frikken Ale,Amager Bryghus,6.20 %,Amber Ale
1319,Back East Ale,Back East Brewing Company,5 %,Amber Ale
1320,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,4.70 %,Amber Ale
1321,4 Noses .44 Magnum Double IPA,4 Noses Brewing Company,8.70 %,Imperial IPA
1322,Stumbling Steer Rawhide Red Ale,The Stumbling Steer,6 %,Amber Ale
1323,Avery Seducer,Avery Brewing Company,5 %,Fruit Beer
1324,Anderson Valley Rude Eye Red Ale,Anderson Valley Brewing Company,5 %,Amber Ale
1325,Berthoud Switch Track Amber,Berthoud Brewing Company,5.50 %,Amber Ale
1326,Wiper and True Simcoe Steam,Wiper and True,5.20 %,California Common
1327,BearWaters Angler_s Amber Ale,BearWaters Brewing Company,6 %,Amber Ale
1328,Dogfish Head Sweet Home Amber Lager,Dogfish Head Brewery,5.50 %,Amber Lager/Vienna
1329,&#268; echmÃ ¡ nek Summer Ale 11,Pivovar &#268; echmÃ ¡ nek,-,English Pale Ale
1330,South Fork Sunday Funny Red Ale,South Fork Brewing Company,5 %,Amber Ale
1331,Berryessa Common Sense,Berryessa Brewing Company,4.80 %,California Common
1332,Berryessa Double Tap IPA,Berryessa Brewing Company,8.50 %,Imperial IPA
1333,Wyoming State WBAB,Wyoming State Brewing Company &#40; Wonder Bar Pub &#41;,10 %,Amber Ale
1334,Alligator Snowbird Porter,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;,-,Porter
1335,1790 Tap Room Ale,Long Trail Brewery,-,Brown Ale
1336,Bell Beer / Tokorozawa Victoria Secret Brown Porter,Bell Beer / Tokorozawa Brewery,5.50 %,Porter
1337,Wyoming State Blitz_n Holiday Ale,Wyoming State Brewing Company &#40; Wonder Bar Pub &#41;,10 %,Amber Ale
1338,Beer Buddy Red Ale,Hansharo,-,English Strong Ale
1339,Captain Elizurs Heritage Red Ale,Paper City Brewery,-,Belgian Ale
1340,Hideout Hickory Red Bacon Ale,The Hideout Brewing Company,5.60 %,Amber Ale
1341,Primal Ethel Red Ale,Primal Brewery,5.20 %,Irish Ale
1342,Infusion Grahamber Ale,Infusion Brewing Company,5.50 %,Spice/Herb/Vegetable
1343,Adirondack British Red,Adirondack Pub and Brewery,4.80 %,Irish Ale
1344,Bicycle Craft Recumbent Raspberry,Bicycle Craft Brewery,4.60 %,Fruit Beer
1345,Celt Experience Foraging for Herbs,Celt Experience,4.70 %,Spice/Herb/Vegetable
1346,Amber Chocolate Orange Stout,Amber,4 %,Stout
1347,Birra Flea Bastola,Birra Flea &#40; Matteo Minelli Agricola &#41;,6.90 %,Premium Bitter/ESB
1348,Fox and Hound Red Fox Amber Ale,Anheuser-Busch InBev,5.10 %,Amber Ale
1349,Blue Heron Tarantula Trek Red Ale,Blue Heron Brewing Company,-,Irish Ale
1350,Muddy Creek No Paddle Amber,Muddy Creek Brewery,5.20 %,Amber Ale
1351,25th Anniversary Pale Ale,Grand Ridge Brewing Co. .,5.50 %,English Pale Ale
1352,Pyrus &#50668; &#47492; &#50504; &#50640; &#49436; Summer IPA,The Table,6 %,India Pale Ale &#40; IPA &#41;
1353,Knightberg Plumbeer Porter,Premium Pivovarni Peterburga - Knightberg,8.60 %,Imperial Porter
1354,Alligator Amber &#40; Oak Chips & Vanilla Beans &#41;,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;,-,Amber Ale
1355,Sixpoint Global Warmer,Sixpoint Brewery,7 %,Amber Ale
1356,Grand Canyon Sunset Amber Ale,Grand Canyon Brewing Company,5 %,Amber Ale
1357,Sandar Tiffani Amber Thiessen,Sandar Haandverksbryggeri AS,4.60 %,Amber Ale
1358,Burnard_s Oaky Dokey,Burnard_s Cider,5.20 %,Cider
1359,49er Red Ale,Hasli-Bier,5.30 %,Irish Ale
1360,Muckish Mountain Miner_s Red,Muckish Mountain,-,Irish Ale
1361,Bedondaine et Bedons Ronds Madame Nicole,Bedondaine et Bedons Ronds,6 %,Saison
1362,E. J. Phair Johnny Bravo,E. J. Phair Brewing Company,6 %,India Pale Ale &#40; IPA &#41;
1363,El Toro Poppy Jasper Amber Ale,El Toro Brewing Co. .,5.30 %,Amber Ale
1364,Border Orchards Ashton Bitter SV,Border Orchards,6.50 %,Cider
1365,Fat Head_s Busy Bee Honey Blonde Ale,Fat Head_s Brewery & Saloon,5.40 %,Golden Ale/Blond Ale
1366,Little Beer Little Tenderness,Little Beer,5.40 %,Amber Ale
1367,Elk Mountain Rock Slide Amber Ale,Elk Mountain Brewing Company,5.50 %,Amber Ale
1368,Boscos Kung Fu,Boscos Brewing Company &#40; Roma Pomodori &#41;,4.99 %,Bitter
1369,Abbeydale Redemption,Abbeydale,5 %,English Strong Ale
1370,Roseville Armstrong Amber,Roseville Brewing Company,-,Amber Ale
1371,De Garve Maltz & Waltz,De Garve,5 %,Amber Ale
1372,Whole Foods Market &#40; Houston &#41; Get To The Root,Whole Foods Market Brewing Company &#40; Houston &#41;,6.50 %,Amber Ale
1373,Hearthstone Red Rye Ale,Hearthstone Brewery,5 %,Specialty Grain
1374,Plymouth The Mighty Mullet IPA,Plymouth Brewing Company,7.30 %,India Pale Ale &#40; IPA &#41;
1375,Wavelength Redshift Red Ale,Wavelength Brewing Company,7 %,Amber Ale
1376,Heinzelmannchen Big Amber Gnome Ale,Heinzelmannchen Brewery,8 %,Amber Ale
1377,Bull & Barrel Urban Amber,Bull & Barrel Brew Pub,6.10 %,Amber Ale
1378,Four Corners Block Party,Four Corners Brewing Company,5.70 %,Porter
1379,Alpha Project Burning Down The House,Alpha Project,5.50 %,India Pale Ale &#40; IPA &#41;
1380,Oskar Blues British Knight Scotch Red Ale,Oskar Blues Brewery,7.40 %,Scottish Ale
1381,Blind Tiger Stranger Danger IPA,Blind Tiger,6.90 %,India Pale Ale &#40; IPA &#41;
1382,Frodsham Devil_s Garden,Frodsham,3.90 %,Bitter
1383,LagabiÃ ¨ re Rousse Svelte,LagabiÃ ¨ re,5.50 %,Amber Ale
1384,Broadhead The Amarillo Chainsaw Massacre,Broadhead Brewing Company,5 %,India Pale Ale &#40; IPA &#41;
1385,Marks & Spencer Cornish Red Ale,St. Austell,4.90 %,Premium Bitter/ESB
1386,Stormcloud 7-Spot Amber Ale,Stormcloud Brewing Company,6 %,Amber Ale
1387,Big Top Ashley Gang Outlaw Imperial IPA,Big Top Brewing Company,9.87 %,Imperial IPA
1388,Boulder Creek Redwood Ale,Boulder Creek Brewing Co. .,5.30 %,Amber Ale
1389,Brady_s Naughty Amber,Brady_s Brewhouse,5 %,Amber Ale
1390,Alpha Extra Special Red Ale,Alpha Brewing Company,5 %,Amber Ale
1391,Marco Island Loggerhead Red,Marco Island Brewery,5 %,Amber Ale
1392,4 Noses Rye Amber Lager,4 Noses Brewing Company,5.50 %,Specialty Grain
1393,Aqula Summer Session Ale,Aqula,4.50 %,English Pale Ale
1394,Viola Rossa,Birra Amarcord,6.60 %,Amber Ale
1395,Battle Road Midnight Rider Colonial Porter,Ipswich Ale Brewery,5.90 %,Porter
1396,Cheshire Brew Brothers Earl_s Eye Amber,Cheshire Brew Brothers,3.80 %,Bitter
1397,La Tour _ BiÃ ¨ res L_Aviateur,Brasseurs du Saguenay - La Tour _ BiÃ ¨ res,6 %,Amber Ale
1398,Ratsherrn Limited 2015 Backbord Red Ale,Ratsherrn Brauerei,4.30 %,Amber Ale
1399,Kassiks Otter Creek Amber,Kassiks Brewery,6.20 %,Amber Ale
1400,Franklin Street Manchester Red Ale,Franklin Street Brewing Company,6 %,Amber Ale
1401,8 Wired Flanders Pale,8 Wired Brewing,6 %,Sour/Wild Ale
1402,Ballast Point Homework Series Batch # 1 - Hoppy Red Ale,Ballast Point Brewing Company,7 %,Amber Ale
1403,Legends of the Bay Ghosts of Hope Island,Hockley Valley Brewing & Malting Company,5 %,Amber Ale
1404,Burley Oak Rude Girl,Burley Oak Brewing Company,8 %,Belgian Ale
1405,Black Sky Daywalker,Black Sky Brewery,7.50 %,Imperial IPA
1406,Fairhope Swayze in the Morning,Fairhope Brewing Company,6.50 %,India Pale Ale &#40; IPA &#41;
1407,Chapelle NorthmÃ ¦ n AmbrÃ © e,la Chapelle,5 %,BiÃ ¨ re de Garde
1408,Kilted Dragon Bonnie Heather Amber Ale,Kilted Dragon Brewing Company,5 %,Amber Ale
1409,Cascade Lakes Summertime Pale,Cascade Lakes Brewing Co. .,5.50 %,American Pale Ale
1410,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,4.50 %,Altbier
1411,Atlas Andromeda Milk Stout,Atlas Brewing Company,5.30 %,Sweet Stout
1412,Rattlesnake Mountain Helluva Honey Ale,Rattlesnake Mountain Brewing Company,-,Spice/Herb/Vegetable
1413,8th Street Red Beard The Scotch,8th Street Ale Haus,6 %,Scotch Ale
1414,Renegade Scarlett Letter Imperial Red Ale,Renegade Brewing Company,8.50 %,American Strong Ale
1415,COAST Carnie Fire,COAST Brewing Company,5 %,Amber Ale
1416,Cool Springs MorningWood Red Ale,Cool Springs Brewing Company,-,Amber Ale
1417,Adroit Theory Experimental - Imperial Steam Beer,Adroit Theory Brewing Company,8 %,Specialty Grain
1418,Refuge Rampart Red,Refuge Brewery,6.20 %,Amber Ale
1419,Flyers F8 Crusader IRA,Flyers Restaurant & Brewery,7 %,India Pale Ale &#40; IPA &#41;
1420,La Tourangelle AmbrÃ © e,l_Aurore,6.10 %,Belgian Ale
1421,Modern Times Blazing World,Modern Times Beer,6.80 %,Amber Ale
1422,Squatters Big Cottonwood,Squatters Craft Beers,5.75 %,Amber Ale
1423,Willimantic Riverfest Red Ale,Willimantic Brewing Company,5.20 %,Amber Ale
1424,Gold Rush Gold Dredge Red,Gold Rush Brewery,-,Amber Ale
1425,Ausable Autumn Session Ale,Ausable Brewing Company,5.10 %,Amber Ale
1426,Millersburg Honey Run Sun Amber,Millersburg Brewing,6 %,Amber Ale
1427,Archibald ISA Rousse,Microbrasserie Archibald,3.80 %,Session IPA
1428,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Kettle House Brewing Company,13 %,American Strong Ale
1429,Red Eye Black Eye 4 - El Tormento,Red Eye Brewing Company,8.90 %,American Strong Ale
1430,Greenbush Remnant of the Dragon,Greenbush Brewing Company,9 %,Imperial IPA
1431,Moccasin Bend Red Headed Stepchild Irish Ale,Moccasin Bend Brewing Co. .,-,Irish Ale
1432,Elkhead Extra,Elkhead Brewing Company,6.50 %,Amber Ale
1433,No Clue Rancho Rye,No Clue Brewery,6 %,Amber Ale
1434,Brisbane Brewing Party-Guile Sonic Boom,Brisbane Brewing Co,4 %,Sour/Wild Ale
1435,Gutmann Oceanik Amber Ale,CervecerÃa Gutmann,4.50 %,Amber Ale
1436,Great Oakley Anaesthetise,Great Oakley,7.50 %,Barley Wine
1437,GrÃ 1/4 nerlÃ ¸ kka Nighthawk India Red,GrÃ 1/4 nerlÃ ¸ kka Brygghus,6 %,India Pale Ale &#40; IPA &#41;
1438,Nils Oscar Slayer 666 Red Ale,Nils Oscar,6.50 %,Amber Ale
1439,Bitter Root Belgian Style Amber Ale,Bitter Root Brewing,-,Amber Ale
1440,Bootstrap Flagstaff Amber,Bootstrap Brewing,5.60 %,Amber Ale
1441,Tri Martolod Rousse,Tri Martolod,5.30 %,Oktoberfest/M Ã $ rzen
1442,Saranac Amber Ale,F.X. Matt Brewing Company,5.60 %,Amber Ale
1443,Banks_s Mild / Original &#40; Filtered &#41;,Banks_s &#40; Marstons &#41;,3.50 %,Mild Ale
1444,Magic Rock / Cigar City Cigarro Roja Magica,Magic Rock,6.50 %,India Pale Ale &#40; IPA &#41;
1445,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,9.20 %,American Strong Ale
1446,Bootstrap Wreak Havoc Imperial IPA,Bootstrap Brewing,8.30 %,Imperial IPA
1447,Dancing Duck Amberillo,Dancing Duck,4.80 %,Amber Ale
1448,Carrig Brazen Amber Ale,Carrig Craft Brewing Company,4.20 %,Amber Ale
1449,McNeills Ruby Ale,McNeills Brewery,5.70 %,Amber Ale
1450,Beaverhead Armstead Amber,Beaverhead Brewing Company,5.70 %,Amber Lager/Vienna
1451,Holgate Brewhouse Red Riding Wood,Holgate Brewhouse,5.50 %,Saison
1452,Pinnacle Peak Amber Ale,Pinnacle Peak Patio Steakhouse,-,Amber Ale
1453,1816 The Peak,1816 - Birrificio Livigno,6.30 %,India Pale Ale &#40; IPA &#41;
1454,Birra del Borgo Trentatre Ambrata,Birra del Borgo,6 %,American Pale Ale
1455,Sikaru La Fauve,Brasserie du Pays Flamand,8.50 %,Amber Ale
1456,Oak Creek Amber Ale,Oak Creek Brewing Co. .,5.50 %,Amber Ale
1457,BentSpoke Gluten Friendly Ginger &#40; GFG &#41;,BentSpoke Brewing Company,4 %,Specialty Grain
1458,HolzbrÃ $ u Reservoir Hops,L_anjub Cervesa Artesana,6.10 %,India Pale Ale &#40; IPA &#41;
1459,Buffalo Water Bison Blonde Autumn Recipe,Milwaukee Brewing Company,-,Oktoberfest/M Ã $ rzen
1460,Dark Horse Rod,Dark Horse Brewing Company,7.20 %,Spice/Herb/Vegetable
1461,Temperance Singing at Trees,Temperance Beer Company,6 %,Amber Ale
1462,40 Arpent Red Beans & Rice Ale,40 Arpent Brewing Company,-,Amber Ale
1463,Horse Thief Hollow Roscoe Red Ale,Horse Thief Hollow Brewing,-,Amber Ale
1464,Wild Earth Ponderosa Belgian Red Ale,Wild Earth Brewing,6.50 %,Belgian Ale
1465,Rare Bird Her Name Was Amber Ale,Rare Bird Brewery,4.80 %,Amber Ale
1466,5 Paddles Charred Remains,5 Paddles Brewing Company,8 %,Old Ale
1467,Struise Rosse,De Struise Brouwers,6 %,Belgian Ale
1468,Charleston Brewing Forever Amber,Charleston Brewing Company &#40; WV &#41;,5.60 %,Amber Ale
1469,Flat Tail Red Bush Sour Double Wit,Flat Tail Brewing Company,7.50 %,Witbier
1470,Adventure Second Ascent Double IPA,Adventure Brewing Company,9 %,Imperial IPA
1471,MalmÃ ¶ Lord of Myrcene,MalmÃ ¶ Brygghus,7 %,American Strong Ale
1472,Chilly Water Rust Never Sleeps Amber,Chilly Water Brewing Company,5.70 %,Amber Ale
1473,Gotlands Sleepy Bulldog Creamy Amber Ale,Gotlands Bryggeri &#40; Spendrups &#41;,4.80 %,Cream Ale
1474,Black Royal Red,Tarricone,5.80 %,Amber Lager/Vienna
1475,Barley Johns Grandpa_s Amber Ale,Barley Johns Brew Pub,6.30 %,Amber Ale
1476,Alpha Project British Amber,Alpha Project,6 %,Amber Ale
1477,559 Bourbon Barrel Ale &#40; BBA &#41;,W Brewing / 559 Brewing,8 %,American Strong Ale
1478,Three Monkeys Tres Vaqueros Amber Ale,Three Monkeys Brewing Company,5.50 %,Amber Ale
1479,Redds Sun &#40; Romanian &#41;,Ursus Breweries &#40; SABMiller &#41;,4.50 %,Radler/Shandy
1480,Snake River Babeforce United Red Ale,Snake River Brewing Co. .,5.90 %,Sour Red/Brown
1481,Pitchers Sunset Amber,Pitchers Brewery & Sports Shack,5.50 %,Amber Ale
1482,Solemn Oath Man vs. Internet,Solemn Oath Brewery,9 %,Belgian Strong Ale
1483,Birrart Mos_ka Torrada,Cerveceria Birrart,6 %,Amber Ale
1484,Pinglehead Omelet,Pinglehead Brewing Co. / Brewer_s Pizza,9.30 %,Spice/Herb/Vegetable
1485,Y Market Craft Heart Red,Y Market Brewing,5.50 %,Amber Ale
1486,14th Star 1493,14th Star Brewing Company,6 %,American Pale Ale
1487,51 North Monkeying Around Barley Wine,51 North Brewing Company,9.50 %,Barley Wine
1488,Out There Celestial Love,Out There,5.10 %,Premium Bitter/ESB
1489,Adur St. Cuthmans Red Wheelbarrow,Adur,10.50 %,Belgian Strong Ale
1490,Frankenmuth Christmas Town Ale,Frankenmuth Brewery,6 %,Brown Ale
1491,Boatyard Sunset Amber,Boatyard Brewing Co. .,6.80 %,Amber Ale
1492,Basil Ts Rocket Red Ale,Basil Ts &#40; Red Bank &#41;,5 %,Amber Ale
1493,Hideout Red Curry Ale,The Hideout Brewing Company,-,Amber Ale
1494,Andrews Leatherwood Red,Andrews Brewing Company,5.60 %,Amber Ale
1495,Cigar City Brewpub Redner,Cigar City Brewing,6.60 %,Amber Ale
1496,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,9.30 %,American Strong Ale
1497,Moorhouses Amber Rambler,Moorhouses,4.80 %,Premium Bitter/ESB
1498,Barrelhead Indie Amber,J.W. Sweetman,4.80 %,Amber Ale
1499,Anthem Festivus,Anthem Brewing Company,8.10 %,Spice/Herb/Vegetable
1500,Empire Amber Ale,Empire Brewing Company,5.50 %,Amber Ale
1501,BullDog American Bully Amber,BullDog Brewery,5 %,Amber Ale
1502,38 State ColorAmber Amber Ale,38 State Brewing Company,4.30 %,Amber Ale
1503,Barrier Craven Belgian Red,Barrier Brewing Company,-,Belgian Ale
1504,Brass Castle The Maltings 8 Hundred,Brass Castle,8 %,Imperial Stout
