record_id,restaurant_type,score,phone_num,place_name,district
147,southern/soul,681,404-261-7015,` bradshaw \ 's restaurant ',atlanta
148,vegetarian,682,404-231-5907,` brookhaven cafe ',atlanta
149,` health food ',683,404-256-1675,` cafe sunflower ',atlanta
150,` american ( new ) ',684,770-432-2663,canoe,atlanta
151,hamburgers,685,770-422-8042,` carey \ 's ',marietta
152,hamburgers,686,770-933-0909,` carey \ 's corner ',marietta
153,steakhouses,687,404-262-2675,chops,atlanta
154,chinese,688,404-255-4868,chopstix,atlanta
155,southern/soul,689,404-523-1929,` deacon burton \ 's soulfood restaurant ',atlanta
156,italian,690,404-888-9149,eats,atlanta
157,eclectic,691,404-687-8888,` flying biscuit the ',atlanta
158,tex-mex,692,404-892-8226,frijoleros,atlanta
159,southern/soul,693,770-992-5383,` greenwood \ 's ',roswell
160,bbq,694,404-627-9268,` harold \ 's barbecue ',atlanta
161,cuban,695,404-636-4094,` havana sandwich shop ',atlanta
162,chinese,696,770-955-9444,` house of chan ',smyrna
163,indian,697,100-813-8212,` indian delights ',duluth
164,` coffee shops ',698,404-876-6161,` java jive ',atlanta
165,american,699,770-955-6068,` johnny rockets ( at ) ',atlanta
166,coffeehouses,700,404-325-3733,` kalo \ 's coffee house ',decatur
167,spanish,701,404-303-8201,` la fonda latina ',atlanta
168,cafeterias,702,770-418-9969,` lettuce souprise you ( at ) ',duluth
169,diners,703,404-875-0276,majestic,atlanta
170,steakhouses,704,404-577-4366,` morton \ 's of chicago ( atlanta ) ',atlanta
171,thai,705,404-636-4280,` my thai ',atlanta
172,southwestern,706,404-240-1984,nava,atlanta
173,mexican,707,404-352-9009,` nuevo laredo cantina ',atlanta
174,american,708,404-237-4116,` original pancake house ( at ) ',atlanta
175,steakhouses,709,404-814-1955,` palm the ( atlanta ) ',atlanta
176,vegetarian,710,404-633-3538,` rainbow restaurant ',decatur
177,mediterranean,712,404-262-7112,riviera,atlanta
178,` coffee shops ',713,404-874-1388,` silver skillet the ',atlanta
179,japanese,714,404-233-2005,soto,atlanta
180,cafeterias,715,404-688-5855,` thelma \ 's kitchen ',atlanta
181,tex-mex,716,404-892-0193,tortillas,atlanta
182,` american ( new ) ',717,770-993-1156,` van gogh \ 's restaurant & bar ',roswell
183,vegetarian,718,404-231-3111,veggieland,atlanta
184,diners,719,404-237-7601,` white house restaurant ',atlanta
185,thai,720,404-768-2705,zab-e-lee,` college park '
186,hamburgers,721,415-221-5262,` bill \ 's place ',` san francisco '
187,californian,722,415-621-8579,` cafe flore ',` san francisco '
188,continental,723,415-397-6261,` caffe greco ',` san francisco '
189,mexican,724,415-433-9623,` campo santo ',` san francisco '
190,caribbean,725,415-386-5758,` cha cha cha \ 's ',` san francisco '
191,american,726,415-921-2149,` doidge \ 's ',` san francisco '
192,diners,727,415-885-2767,` dottie \ 's true blue cafe ',` san francisco '
193,thai,728,415-826-4639,` dusit thai ',` san francisco '
194,japanese,729,415-566-1770,ebisu,` san francisco '
195,vietnamese,730,415-673-1155,'em erald garden restaurant ',` san francisco '
196,chinese,731,415-282-0919,` eric \ 's chinese restaurant ',` san francisco '
197,hamburgers,732,415-626-1985,` hamburger mary \ 's ',` san francisco '
198,californian,733,415-362-4454,` kelly \ 's on trinity ',` san francisco '
199,mexican,734,415-863-8205,` la cumbre ',` san francisco '
