unique_id,item_description,unit_price
1360,webroot software inc 52310 spy sweeper with antivirus/child safe 1-pc win 2000 xp vista,37.97
1361,peachtree ( r ) compatible continuous checks-accounting for windows 8.0-2004 version,121.89
1362,webroot software 65210 spy sweeper 3 pc,31.99
1363,three-to-a-page itemized invoice checks,104.39
1364,ilford studio software for pc ( windows 2000 pro xp pro ),699.99
1365,daceasy ( tm ) continuous checks,121.89
1366,specialty double window envelopes to match your forms & checks,67.49
1367,quickbooks ( r ),103.99
1368,steinberg cubase studio 4 software music production software,399.99
1369,blank laser checks,54.99
1370,apple web objects 5.2 software apple & mac software,689.95
1371,quicken ( r ) quickbooks ( r ) microsoft money ( r ) and simply money ( r ) laser checks,88.99
1372,e-mu beat garden x for emulator x and proteus x software modules sounds for software,69.99
1373,magix samplitude 9 professional music production software,999.0
1374,double window envelopes to match your forms & checks,67.49
1375,nikon pictureproject 1.6 other software,44.95
1376,daceasy ( tm ) laser/inkjet checks - versions 4.3 and higher,106.29
1377,peachtree ( r ) complete iii,103.99
1378,individual software pmm-xw4 professor teaches excel & word 2007 win 2000 xp vista,17.97
1379,multipurpose laser/inkjet checks,106.29
1380,bethesda software 12000 ihra drag racing sportsman edition win me nt 2000 xp,19.97
1381,daceasy ( tm ) continuous checks,91.59
1382,individual software qmm-t17 typing quick & easy 17 win 2000 xp vista,17.97
1383,cyma general business systems continuous checks,121.89
1384,freeverse software 005 solace ( mac 9.1-9.x 10.1 or higher ),18.97
1385,laser checks for peachtree ( r ) accounting for windows 8.0-2005,106.29
1386,freeverse software 5013 best of the original mac games v 1.0 ( mac 10.2.8 or higher ),26.97
1387,freeverse software 010 wingnuts 2 mac 9.1-9.x 10.1 or higher,26.97
1388,ams200 4gb,383820.94
1389,quicken ( r ) quickbooks ( r ) microsoft money ( r ) and simply money ( r ) continuous checks,121.89
1390,freeverse software 6022 big bang brain games mac 10.3.9 or later ub,26.97
1391,ams200 4gb,383820.94
1392,laser/inkjet checks for peachtree ( r ) complete iii for dos v. 5.0-10 .0,106.29
1393,individual software edm-tb1 typing for business win 98 me 2000 xp,17.97
1394,freeverse software 6002 heroes of might and magic v mac 10.4 or later,43.97
1395,safari photo africa : wild earth for pc,19.99
1396,freeverse software 7001 burning monkey solitaire 4.0 mac 10.3.9 or later ub,22.97
1397,individual software prm-bp5 business planmaker 2006 deluxe win 98 me 2000 xp,42.97
1398,peachtree ( r ) complete iii,178.99
1399,freeverse software 006 active lancer ( mac 9.1-9.x 10.1 or higher ),18.97
1400,spector pro 6.0 from safe computer kids ltd.,84.99
1401,apple software m9301z/b soundtrack v1 .2,199.0
1402,quickbooks ( r ),103.99
1403,frogger : the great quest for pc,7.99
1404,m-audio pro tools m-powered mpowered 7 software educational discount music production software,198.95
1405,one-write ( r ) plus compatible laser checks,106.29
1406,deposit slips,55.79
1407,bratz babyz for pc,19.99
1408,three-to-a-page payroll checks,65.19
1409,apple software m9372z/a final cut express 2.0 upgrade,79.99
1410,laser/inkjet checks for peachtree ( r ) complete iii for dos v. 5.0-10 .0,106.29
1411,bethesda software 12020 star trek legacy win me nt 2000 xp,36.97
1412,laser/inkjet checks for peachtree ( r ) complete iii for dos v. 5.0-10 .0,106.29
1413,three-to-a-page 7 ring check binder,20.09
1414,bethesda software 11980 pirates of the caribbean : legend of jack sparrow win me nt 2000 xp,10.26
1415,quicken ( r ) quickbooks ( r ) microsoft money ( r ) and simply money ( r ) laser checks,199.99
1416,freeverse software 4012 3d bridge deluxe ( retail box ) ( mac 9.1-9.x 10.1 or higher ),22.97
1417,blank laser checks,54.99
1418,apple final cut studio 2 production suite for mac av production software,1298.95
1419,emc fed id mgr for u/ls/a conn fimm-unl,443164.0
1420,webroot software inc 66410 spy sweeper ( small box ) ( win 98 me 2000 xp ),25.97
1421,peachtree ( r ) complete iii,112.99
1422,freeverse software 5014 toysight gold ( mac 10.2 or higher ),22.97
1423,three-to-a-page disbursement checks,65.19
1424,individual software professor teaches office xp,25.3
1425,individual software emm-tk2 typing instructor for kids 2.0 win 98 me nt 2000 xp,17.97
1426,multipurpose continuous checks,112.99
1427,punch software 85100 punch!master landscape pro v10 and home design,59.97
1428,specialty double window envelopes to match your forms & checks,67.49
1429,freeverse software 6001 legion arena mac 10.3.9 or later ub,35.97
1430,specialty single window envelopes to match your forms & checks,81.49
1431,encore software a5992jch dk rainbow fish most beautiful fish in the ocean win 95 98 me xp,9.08
1432,brain play preschool-1st grade,17.9
1433,punch software 20100 punch ! 5 in 1 home design,35.99
1434,world book 2006,17.9
1435,musicalis universal guitar workshop,12.9
1436,individual software pro-tsm hanes t-shirt maker deluxe,24.99
1437,printshop 20 pro publisher,34.9
1438,individual software jce-th6 total 3d home deluxe j/c,9.99
1439,data protection security suite 2005,59.9
1440,onone software inc. gpp-55211 genuine fractals print pro 5 1u,274.97
1441,print shop deluxe 21,44.9
1442,encore software 13861 tlc arthurs kindergarten learning system 2008,17.97
1443,the land before time : kindergarten adventure,12.9
1444,freeverse software 4001 northland,19.99
1445,kids power fun for girls,15.9
1446,grass valley edius 4 broadcast video editing software professional editing software,998.95
1447,i copydvds 2 professional edition,27.9
1448,sony creative software sfas9000 sound forge audio studio 9,53.97
1449,reader rabbit preschool,17.9
1450,freeverse software 4012 3d bridge deluxe ( retail box ) for mac,18.99
1451,panda software upg to gatdef performa 8200 3k0 1yr uabpgdpcavq,139890.0
1452,microsoft ov mp wbsr vl user sl & add sl mo sub 1mo v4k-00009,147213.0
1453,nnm ae u/l 7.51 win-s/w td not auth to sell,149358.98
1454,microsoft molpc l/sa csf sbe billing sbe 400pt b7m-00202,154550.0
1455,microsoft molpc l/sa csf sbe order handling sbe 400pt b7m-00255,154550.0
1456,microsoft molpc l/sa csf svr 400pt b7n-00132,156086.0
1457,cisco pgw2200 include redundant,159787.95
1458,novell identity manager integration module for mainframe for 900 series mvs (,179952.95
1459,novell identity manager integration module for mainframe for 900 series mvs (,179952.95
1460,panda software upg to gatdef performa 8200 4k0 1yr uabpgdpcavs,186518.0
1461,emc fed id mgr for 75 conn for ct authmgr cust fimm-75r,218313.0
1462,microsoft ov l/sa csf svr ext cntr 2yr/acqy2 add prd jr8-00011,212320.0
1463,borland tdb1310wwss180 academic turbo delphi 2006 professional-cd 0728663119616,69.34
1464,panda software bus sec 2006 3001-5k 2yr b2pbsa6si,26.0
1465,panda software govt gatdef 8200 av mod 251-500u 2yr b2pgdcave-gov,24.0
1466,emc auth mgr mnt ent/std9x5 2m per/u 20005-25000u aut0025000es2,12.0
1467,autodesk 52710-091462-h000 ais 10 comm new slm dvd,3416.15
1468,emc securid appl mnt entupg / std 22mo per u 25005-30 app0030000us22,13.0
1469,garfield 2nd grade reading and phonics,5.5
1470,fluke networks intair-lap interpretair wlan survey complete product network connectivity/management 1 user ( s ) complete product standard pc - free shipping,3277.97
1471,panda software bus sec 2006 w / truprevent 251-500 3yr b3pbsa6e-edu,38.0
1472,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790,191.94
1473,publisher 2007 upgrade microsoft 164-04052,69.71
1474,rev media 70/140gb 2 disks + sbs premium edition backup & recovery kit iomega,236.18
1475,instant immersion japanese ( audio book ) ( audio book ),19.95
1476,macromedia software ced061d520 coldfusion mx 6.1 ent upgrade,2778.0
1477,mcafee total protection 2007 for small business adv. w/1yr gold maintenance 5 -,215.5
1478,microsoft t73-00091 molpc visio std sa,168.03
1479,emc securid appl mnt ent / ext 23mo per u 40005-50k app0050000ee23,18.0
1480,sos aggregation company 100800101 vw gti racer topware interactive win 95 98 me nt 2000 xp vista,25.97
1481,vivendi-universal games inc 72305 world of warcraft 60 day prepaid,27.99
1482,panda software gatdef performa anti-spam mod 10-25 1yr a1pgdpcasa-edu,17.0
1483,emc auth mgr mnt entupg/std 9m per/u 255-500u aut0000500us9,14.0
1484,oem internet security suite 2007 3-user single pack,32.85
1485,diskeeper 2007 professional,46.95
1486,hallmark half-fold matte prem . blank greeting cards ( 20 pack ) ( paper ),10.99
1487,sea scene : living underwater worlds,19.55
1488,autodesk psg 12911-010008-1600a,58.97
1489,panda software truprevent corporate 2006 501-1k 2yr b2prse6f,21.0
1490,autodesk 34006-010008-160 raster design 2006 essentials,52.99
1491,gods : lands of infinity spec,16.99
1492,iaudioize magnetic time for pc and mac,39.99
1493,global marketing partners icopydvds2 ultra by digital wunders,79.9
1494,hp procurve mobility manager v. 1.0 license and media,1537.06
1495,nikon capture nx software,149.99
1496,office mac student/teach 04,146.02
1497,microsoft office and windows training professional,29.99
1498,emc securid appl mnt ent / std 12mo per u 755-1k app0001000es12,20.0
1499,elite beat agents ds,27.63
1500,prosoft 27100 tunetech for ipod by prosoft 0794038271005,51.11
1501,reel deal casino quest ( win 95 98 me 2000 xp ),19.95
1502,encore inc 10669 hoyle backgammon,7.17
1503,hewlett packard 213076-b26 secure path v4 .0 c win wkgp ed 1 lic/cd,1888.39
1504,ilife '06 mac apple ma166z/a,47.8
1505,equilibrium debabelizer pro 6 0 win 1 u windows xp,382.9
1506,window washer,22.99
1507,rob klopfenstein toby keith yamaha 505244 toby keith unleashed smart pianosoft,14.86
1508,borland hdb0006wwcs180 upg delphi 2006 prof nmd f/del v3 2005 pro cd,453.71
1509,cisco 870 series-ios advanced ip services cisco systems s870aisk9-12404t =,63.65
1510,digital video & audio prod book,27.5
1511,panda software upg to gatdef performa 8200 2k0 1yr uabpgdpcavo-gov,12.0
1512,microsoft w87-02380 office sbe 2007 win32,400.34
1513,eidos interactive 40022 tomb raider : legend ds 788687400220,19.8
1514,microsoft windows vista home basic upgrade ( pc ),99.99
1515,computer associates etrarm31oem30 ez armor oem v 3.130 pack,528.0
1516,adobe 42050106 acrobat distiller svr v6-cd sun 100u,5399.99
1517,computrace lojack for laptops 1 year license ( win 2000 xp ),49.95
1518,learn2 training for microsoft powerpoint ( win 95 98 me nt 2000 xp ),9.99
1519,brain play preschool 1st grade,25.99
1520,symantec 11859201 be sys recovery 7.0 win sbs ed media cd m/l,31.98
1521,panda software ent sec 2006 w / truprevent 5k + 2yr b2pesa6j-edu,27.0
1522,isi researchsoft 5331 upgrade endnote x1 5u wkstn win plus $ 10 off w / ebillme * free shipping *,397.0
1523,emc securid appl mnt ent / std 9mo per u 2505-3500 app0003500es9,16.0
1524,backup exec 10d win adv disk v10 .1 e/f/g / s/i/j / c/k full pk,309.99
1525,crystal reports xi professional edition complete package,537.57
1526,emc securid appl mnt ent / std 17mo per u 2k5-25k app0025000es17,16.0
1527,ca retail etrpp81oem30a,490.74
1528,masque publishing 10226 classic game trio win 95 98 me nt 2000 xp/mac 8.6-9 . xclassic x v10 .1 or higher,28.06
1529,sos aggregation company 100800104 buku karkuro topware interactive,15.95
1530,fleetwood mac yamaha 503620 fleetwood mac rumours smart pianosoft,14.86
1531,pxl smartscale for mac/win,159.95
1532,panda software govt entsec truprevent 10-25u 2yr ub2pesapra-gov,44.0
1533,watchguard wg3900 high availability for firebox ii uk,226.65
1534,norton internet security 2008 10 user,199.99
1535,autodesk 46206-051462-h010 inv pro 08 com legacy slm sub req dvd,3621.61
1536,isi researchsoft 6201 reference manager 11 single user edition 0787731062117,164.58
1537,intuit inc 299529 qb prem mfg & whlesle 07 ( intuit inc 299529 ),335.99
1538,emedia rock guitar method ( win 95 98 me nt 2000 xp/mac 8.0 ),39.15
1539,borland cpb0007wwfs190 c++ builder 2007 pro dvd new user,866.31
1540,rick vito 320535 rick vito complete guide to slide guitar,14.86
1541,emc securid appl mnt entupg / ext 22mo per u 1005-150 app0001500ue22,17.0
1542,scansoft textbridge pro v. 11,68.99
1543,computer associates babwbr1151s05 bab r11 .5 sp1 dro win m/l cd,431.16
1544,ulysses against the son of hercules ( mv ),10.95
1545,win 2003 ter svr cal 5pk microsoft r19-00846,762.95
1546,microsoft ov l/sa win comp clst ed 1yr/acqy3 add prd 73l-00098,369.0
1547,spy sweeper ( small box ),22.99
1548,smart steps 4th grade ( jc ),11.95
1549,hp proliant essentials server migration pack license,1837.2
1550,iremember 2.0 intriguing development,32.99
1551,symantec backup exec system recovery server edition business pack v. 7.0 complete package + 1 year basic maintenance 1 user cd win multi,548.77
1552,turbo c pro ed codegear tsb1310wwfs180,381.43
1553,crystal reports xi developer edition business objects w-1rd-e-wx-00,400.03
1554,total training for advanced flash 8 action script,99.99
1555,knowledge adventure 20033 jumpstart reading with karaoke,19.99
1556,getting started with sas/af ( r ) and frames,11.66
1557,home bartending 101 shooters,9.75
1558,access 2000 vb for applications fundamentals microsoft press 0-7356-0592-0,15.1
1559,monarch std ( v9 .0 ) retail box datawatch fpm32c090-a01,290.59
1560,diskeeper 2007 administrator win up 1-pk diskeeper corporation 121771,86.33
1561,adventure workshop preschool-1st grade 8th edition win,18.36
1562,adobe 38018944dm tlp flashpaper 2 win esd1,22.37
1563,beginner 's guitar course vol . 1,19.95
1564,adobe dreamweaver cs3 upgrade windows,236.74
1565,10000 drink recipe snap,8.95
1566,marine aquarium + sharks ( win 98 me 2000 xp ),9.95
1567,encore inc 28453 midway arcade treasures win 98 me 2000 xp,19.38
1568,pearson education book : the photoshop cs2 book for digital photographers photoshop software,44.95
1569,microsoft ho2-00003 data analyzer 2002 complete package 1 user,154.99
1570,visio developing solutions microsoft press 0-7356-1353-2,23.28
1571,homespun 641604 norman blake 's guitar techniques dvd 1 : songs instrumentals and styles,22.13
1572,edimensional g-pad pro for playstation ( playstation ii ),29.95
1573,prosafe vpn client software single user netgear inc. vpn01l,27.78
1574,freddi fish 2 case of haunted schl hse,7.5
1575,adobe 38000655,157.34
1576,east west bosendorfer 290,175.97
1577,emc reinstate fee 250u base svr reinstate-b-250,2660.0
1578,mom standard ops mgmt lic 2005 english mlp 5 oml,889.99
1579,kaplan sat/act/psat express,9.99
1580,symantec symantec pcanywhere 12 0 host remote,99.9
1581,emc securid appl mnt entupg / std 8mo per u 105-150 app0000150us8,14.0
1582,emc securid appl mnt entupg / ext 20mo per u 10-25 app0000025ue20,23.0
1583,internet security suite 2007 home protection pack xl box,61.06
1584,emedia essential bass guitar dvd,16.95
1585,microsoft office and windows training ( win 98 me nt 2000 xp ),29.95
1586,hallmark card studio 2006,29.36
1587,sunburst t02918 voyage of the mimi 020626029186,205.98
1588,epson s020089 compatible color ink cartridge,2.99
1589,emc keon cert auth mnt 9x5 per/u 800001-900000u kcamnt-900000,13.0
1590,larry carlton hal leonard 320412 larry carlton,14.86
1591,symantec 10224076 sam for sgs 2.0.1-cd media pack,17.99
1592,passwords plus v. 1.0 complete package,28.5
1593,encore 10025 hoyle card games for pc,10.0
1594,epson s041886 story teller 8 x 10 20 pages,32.91
1595,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,537.65
1596,emc auth mgr mnt ent/std9x5 13m per/u 1505-2000u aut0002000es13,19.0
1597,onone software mpr-40211 mask pro 4 1-user full win xp vista/mac 10.4 or,179.94
1598,adobe flash cs3 ( v9 .0 ) pro win up from flash pro-basic adobe 38039489,167.87
1599,apple apple mac os x server 10 4 7 10 client,499.0
1600,zoo tycoon for windows,25.99
1601,panda software upg to cltshld 2006 trupr ev cltshld 51-100 1yr ub1cs6c-gov,12.0
1602,emedia eg04025 intermediate guitar method complete package,53.99
1603,emc auth mgr mnt ent/ext 8m per/u 155-250u aut0000250ee8,24.0
1604,time money & fractions grades 1-2 workbook & cd-rom,12.99
1605,norton systemworks 2007 premier up symantec 10930721,47.74
1606,destineer inc 10307 age of mythology ( mac 8.6-9.x ( classic ) x v10 .1 or higher ),17.97
1607,emedia eg03014 bass method os x,53.99
1608,panda software ae gatedef 8100 antispam mod 251-500u 3yr b3pgdbase-edu,18.0
1609,microsoft h22-00301 gov open sa project svr w9x nt,1995.12
1610,upgr : op6 pro 100 to op7 pro 100,98.99
1611,ca olp bps midsize bus win r2 base +50 u lic 2y entmnt cabpmsnaen200c5,5788.0
1612,total training for adobe creative suite 3 design premium,279.95
1613,vmware infrastructure enterprise edition product upgrade license,5173.98
1614,quark inc qrkxppsptversion7 ugdsingleuser mac/win 122217,604.5
1615,storageworks enterprise backup solution + tivoli storage manager complete package 2 months 1 user evaluation cd win solaris tru64 english,89.93
1616,sony online entertainment inc 41032 everquest : titanium win 2000 xp,23.09
1617,nuance communications inc. upgrade to dragon naturallyspeaking v8 legal solutions from professional v6 and up ( govt ) olp a590a-sf2-8 .0,314.0
1618,ghost recon gold edition ( dvd-rom ),20.95
1619,upg conn sec shell 2007 5u,29.99
1620,trend micro nlp scanmail domino add upg 2001-5ku smua0007,19.0
1621,emc auth mgr mnt entupg/ext 10m per/u 30-50u aut0000050ue10,17.0
1622,got game entertainment exclusive 00050 scratches : directors cut,15.58
1623,language guide for nuvi 350,79.95
1624,ibm/lotus bj0dsml tiv stor mgr v5 .3.0 mp ml md pk,259.49
1625,csdc x3mac x3 : reunion virtual programming ltd. mac 10.4 or later ub,42.6
1626,emc auth mgr mnt base 9x5 22m per/u 3505-5000 u aut0005000bs22,18.0
1627,dramatica pro 4 for pc,249.99
1628,emc auth mgr mnt base 24x7 24m per/u 155-250u aut0000250be24,38.0
1629,warlords iii darklords rising,11.95
1630,autocad 2007 coursewarecustomizing the interface,39.69
1631,backup exec ( v11d ) for windows servers advanced open file option symantec 10,390.1
1632,panda software clientshield 2006 w / truprevent 5-25 1yr b1cs6a-gov,37.0
1633,windows sbs cal 2003 20-clt addpak device cal microsoft t74-00003,1413.42
1634,sonicwall 01-ssc-2574,561.65
1635,avid technology inc. 70102024701 software avid liquid chrome xe,840.97
1636,microsoft 164-04052,90.24
1637,eagle games egl 150 tournament poker no limit texas hold 'em,7.95
1638,phillip keveren shannon grama 501926 alfred 's basic piano course for children lesson book 1b disk,23.59
1639,panda software govt truprevent corp 2001-3ku 2yr b2prseh-gov,16.0
1640,retrospect 7.5 prof win upg only pz24a0075,54.68
1641,hp control twr pk 1blade p-class lic 412957-b21,176.0
1642,symantec 11281445 antivirus v. 10.2 business pack complete product antivirus 100 user complete product standard pc - free shipping,2798.97
1643,microsoft windows vista business 32-bit oem,149.99
1644,iriscard pro,174.99
1645,panda software ae bus sec ex truprevent 3001-5ku 3yr b3pbsepri-edu,28.0
1646,coreldraw graphics suite x3 upgrade windows,184.5
1647,the stevie wonder collection,34.95
1648,absolute software lfl-n2-48 computrace lojack for laptops 4 year license,105.68
1649,emc securid appl mnt ent / ext 7mo per u 1k5-15k app0015000ee7,15.0
1650,autodesk psg 34006-010008-1600a,49.67
1651,symantec 11105975 backup exec 11d for windows servers business pack bundle w / continuous protection server complete package + 1 year essential support 1 server buying programs business pack cd win multi,600.97
1652,microsoft 392-02322 ae frontpage 2003,87.99
1653,autodesk 20610-090000-9331 a-cad mch 06 cg frm a-cad lt2004-06 addseat sub re,2900.26
1654,nintendo ntrpawie hotel dusk : room 215 ds nintendo ds software,28.99
1655,topics entertainment 40248 instant immersion spanish audio book audio book,23.61
1656,destineer inc 10328 scrabble mac 10.3.8 or later,28.16
1657,avanquest pdf-xp5-0020 expert pdf pro 5 20 user pack uk,361.58
1658,emc auth mgr mnt entupg/ext 15m per/u 505-750u aut0000750ue15,16.0
1659,viva media llc 00257 my sim aquarium win 2000 xp vista,19.97
1660,ibm vmware gsx svr/vin to infra 3 starter upg 4817v28,25.0
1661,sony playstation gretzky nhl 2006 psp 98627,39.95
1662,cakewalk 10-cwgp3 .00 -90 c guitar tracks pro 3.0 ( 3 win 00/xp cd ),68.97
1663,adobe 38040450 dreamweaver cs3 complete product web development 1 user complete product academic universal english mac intel-based mac,182.97
1664,sonicwall 01-ssc-6779 sonicwall email transfer mailfrontier 25u 1svr,160.72
1665,media convergence server 7835-h2 hw / sw callmanager 5.1 cisco systems mcs783,5019.46
1666,instant immersion italian audio ( audio book ),19.95
1667,adobe systems inc 13102124 adobe photoshop cs 2 mac os x v. 10.2.8 to 10.3,788.63
1668,myinvoices & estimates deluxe,39.99
1669,rosetta stone vietnamese level 1 homeschool edition cd-rom,179.99
1670,destineer inc 10316 destineer atari arcade classics action/adventure mac,17.97
1671,avery dennison 5695 cd/dvd design kit - lables jewel case inserts applicator & software,26.0
1672,emc securid appl mnt base / ext 15mo per u 2005-2500 app0002500be15,19.0
1673,equisys premium support zetafax 2007 technical support 1 year,286.2
1674,wasp 633808550059 wasptime rfid clock only no software wasp clock 3100 rf proximity reader ethernet 0633808550059,473.25
1675,adobe after effects ( v7 .0 ) pro mac up pro-pro adobe 12070227,185.32
1676,adobe 09951404 solution expert annu all,233.99
1677,sega 68008 phantasy star universe x360 010086680089,29.33
1678,adobe creative suite ( v3 .0 ) design premium mac adobe 19500009,1482.0
1679,nuance communications 6309a-g03-11 .0,302.11
1680,listen for ipod magnetic time ( win 2000 xp ),39.99
1681,iris card pro,198.87
1682,watchguard wg017091 fb x 3 port & high avail upg,135.34
1683,encore 28008 cold zero,21.99
1684,mcsa/mcse self-paced training kit ( exams 70-292 and 70-296 ) upg . your,39.95
1685,britannica deluxe 2008,26.5
1686,word mac 2004 microsoft d48-00487,157.18
1687,microsoft r39-00292 open win svr 2003 ext conn,1863.78
1688,sunburst t02849 fraction attract site mac,102.0
1689,fogware publishing 10356 high school us history 2 foreign policy & reform,6.84
1690,hoyle solitaire,9.99
1691,emc ext mnt upg mellonb pro-rated 8m qty 10700 mell-aut0015000be8,13.0
1692,topics entertainment topics entertainment play electric guitar deluxe windows,39.9
1693,hewlett packard vmware virtualcenter mgt svr lic sw [ non-returnable ],5265.02
1694,hp t1935aa 0aa mfp dss3 .0 secure workflow ltu for 4100/9000mfp 50lic in,9470.41
1695,buzby ; breakin all the rules hermie and freinds - digital pr,15.99
1696,adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0,139.51
1697,emc auth mgr mnt entupg/std 18m per/u 50005-100000u aut0100000us18,13.0
1698,cisco csa-b100-srvr-k9 cisco security server agent win + sol 100 agentbundle cisco security server agent license 100 agents win solaris 0746320832586,55288.67
1699,cisco pgw2200 includes redundnt,55706.95
1700,cisco pgw2200 includes redundnt,55706.95
1701,37510 novabackup professional edition v. 7.5 upgrade license 1 user win,25.06
1702,raz26e mcafee preventsys risk analyzer media volume win english,13.95
1703,851-1v150-mk-us netiq xmp modules v. 1.5 media win,22.67
1704,24p8231 ibm fastt flashcopy option w / volumecopy license 1 server,18097.05
1705,54020543hs adobe acrobat 3d v. 8 version upgrade license 1 user gov tlp lev,229.61
1706,12031 novanet media/client server v. 10 license 3 additional servers linux,484.94
1707,o67-1-eneudvd7 systran office translator english-european language pack v. 6 complete p,207.66
1708,10759333 symantec backup exec 11d for windows servers central admin server option compl,1219.72
1709,babwbr1151s04 brightstor arcserve backup serverless backup option for windows w/sp1 v. 11 .,1031.41
1710,ma-3880-2006 imail server plus 2006 upgrade license + 1 year service agreement 1000 users,1765.86
1711,10821919 symantec ghost solution suite v. 2.0 media cd win,16.99
1712,rl296aa red hat enterprise linux ws v. 4 update 4 license 1 workstation,211.74
1713,19250096dg adobe photoshop lightroom v. 1.0 media gov tlp cd win mac uni,19.23
1714,413115-b21 hp proliant essentials lights out 100i advanced pack license 1 server linu,206.63
1715,r18-00144 microsoft windows server license & software assurance 1 cal open business,41.58
1716,hbmpi776305m1200u hostexplorer 2007 upgrade package 5 users cd win,217.08
1717,902453-007-e rumba unix-hp edition upgrade license 1 user volume level e 1000-1999,106.48
1718,wd-7000-0900 service agreement ws_ftp professional software development kit technical suppo,268.13
