amazon_id,legal_info,alb_name,dollar_price,song_label,publication_date,genre_classification,musician
33573,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,No Future Shock,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33574,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,Killer Crane,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33575,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,Will Do,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33576,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,New Cannonball Blues,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33577,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,Repetition,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33578,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,Forgotten,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33579,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,Caffeinated Consciousness,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33580,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 0.99,All Falls Down,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33581,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 0.99,Will Do ( Switch Remix ),"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33582,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 0.99,Will Do ( XXXchange Dancehall Mix ),"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33583,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,Second Song,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33584,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,Keep Your Heart,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33585,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,You,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33586,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,No Future Shock,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33587,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,Killer Crane,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33588,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,Will Do,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33589,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,New Cannonball Blues,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33590,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,Repetition,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33591,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,Forgotten,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33592,( C ) 2011 DGC Records,Nine Types Of Light [ + Digital Booklet ],$ 1.29,Caffeinated Consciousness,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33593,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.69,Intro [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33594,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Ring The Alarm [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33595,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Dirt All By My Lonely [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33596,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Holiday [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33597,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Live Or Die [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33598,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,On The Run [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33599,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Radio [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33600,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Jamboree [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33601,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Would 've Done The Same For Me [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33602,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Thugs & Hustlers [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33603,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Work [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33604,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,We Could Do It [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33605,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,The Blues [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33606,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Wicked Bounce [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33607,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,Live Then Lay [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33608,( C ) 2011 DGC Records,Nineteen Naughty Nine Nature 's Fury [ Explicit ],$ 0.99,The Shivers [ Explicit ],"April 22 , 1999",Rap & Hip-Hop,Naughty By Nature
33609,( C ) 2013 Capitol Records Ltd.,Nirvana EP,$ 0.69,Safe With Me,"January 28 , 2014",Pop,Sam Smith
33610,( C ) 2013 Capitol Records Ltd.,Nirvana EP,$ 0.69,Nirvana,"January 28 , 2014",Pop,Sam Smith
33611,( C ) 2013 Capitol Records Ltd.,Nirvana EP,$ 0.69,"I 've Told You Now ( Live At St Pancras Old Church , London )","January 28 , 2014",Pop,Sam Smith
33612,( C ) 2013 Capitol Records Ltd.,Nirvana EP,$ 0.69,Latch ( Acoustic ),"January 28 , 2014",Pop,Sam Smith
33613,( C ) 2013 Capitol Records Ltd.,Nirvana EP,$ 0.69,Together,"January 28 , 2014",Pop,Sam Smith
33614,( C ) 2013 Capitol Records Ltd.,Nirvana EP,$ 1.29,Money On My Mind,"January 28 , 2014",Pop,Sam Smith
33615,( C ) 2013 Capitol Records Ltd.,Nirvana EP,$ 0.69,Nirvana ( Harry Fraud Remix ),"January 28 , 2014",Pop,Sam Smith
33616,( C ) 2010 EXX Records,No Discussion,$ 0.99,No Discussion,"June 10 , 2010","Electronica , Dance & Electronic , House",Electrixx vs. Alex Mind
33617,( C ) 2010 EXX Records,No Discussion,$ 0.99,Peacemakers,"June 10 , 2010","Electronica , Dance & Electronic , House",Electrixx vs. Alex Mind
33618,( C ) 2010 EXX Records,No Discussion,$ 0.99,No Discussion ( Radio Mix ),"June 10 , 2010","Electronica , Dance & Electronic , House",Electrixx vs. Alex Mind
33619,( C ) 2010 EXX Records,No Discussion,$ 0.99,No Discussion ( Instrumental Mix ),"June 10 , 2010","Electronica , Dance & Electronic , House",Electrixx vs. Alex Mind
33620,( c ) 2014 The Arcadia Agency,No Estate to Remind,$ 0.99,No Estate to Remind,"June 11 , 2014",Rock,Olympique
33621,2015 Cosmic Sound Music,No Good For You ( Originally Performed by Meghan Trainor ),$ 0.99,No Good For You ( Originally Performed by Meghan Trainor ) [ Karaoke Version ],"September 14 , 2015","Miscellaneous , Pop",Cosmic Sound
33622,( C ) 2006 Geffen Records,No Hay Igual,$ 0.99,No Hay Igual,"April 11 , 2006",Pop,Nelly Furtado
33623,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Dolomite Intro [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33624,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Buck 'Em ( Feat . Sticky Fingers ) [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33625,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Trust Me ( Feat . Sylk E. Fine And Suga Free ) [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33626,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,My Heat Goes Boom [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33627,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Dolomite ( 1999 Digital Remaster ) [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33628,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Snoopafella [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33629,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,In Love With A Thug [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33630,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,G Bedtime Stories [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33631,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Down 4 My N 's ( Feat . C-Murder And Magic ) [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33632,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Betta Days [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33633,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Somethin Bout Yo Bidness ( Feat . Raphael Saadiq ) [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33634,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Bitch Please ( Feat . Xzibit ) [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33635,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Doin ' Too Much [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33636,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Gangsta Ride ( Feat . Silkk The Shocker ) [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33637,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,"Ghetto Symphony ( Feat . Mia X , Fiend , C-Murder , Silkk The Shocker , Mystikal And Goldie Loc ) [ Explicit ]","August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33638,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Party With A D.P.G. [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33639,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Buss 'n Rocks [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33640,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,Just Dippin ' ( Feat . Dr. Dre And Jewell ) [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33641,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,"Do n't Tell ( Feat . Warren G , Mauseburg And Nate Dogg ) [ Explicit ]","August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33642,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,20 Minutes ( Feat . Goldie Loc ) [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33643,( C ) 1999 Priority Records LLC,No Limit Top Dogg [ Explicit ],$ 1.29,I Love My Momma [ Explicit ],"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33644,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Dolomite Intro ( Edited ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33645,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Buck 'Em ( Edited ) ( Feat . Sticky Fingers ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33646,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Trust Me ( Edited ) ( Feat . Sylk E. Fine And Suga Free ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33647,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,My Heat Goes Boom ( Edited ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33648,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Dolomite ( Edited ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33649,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Snoopafella,"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33650,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,In Love With A Thug ( Edited ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33651,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,G Bedtime Stories,"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33652,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Down 4 My N 's ( feat . C-Murder And Magic ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33653,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Betta Days ( Edited ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33654,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Somethin Bout Yo Bidness ( Edited ) ( Feat . Raphael Saadiq ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33655,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,B Please ( feat . Xzibit ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33656,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Doin ' Too Much ( Edited ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33657,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Gangsta Ride ( Edited ) ( Feat . Silkk The Shocker ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33658,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,"Ghetto Symphony ( Edited ) ( Feat . Mia X , Fiend , C-Murder , Silkk The Shocker , Mystikal And Goldie Loc )","August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33659,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Party With A D.P.G. ( Edited ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33660,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Buss 'n Rocks ( Edited ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33661,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,Just Dippin ' ( feat . Dr. Dre And Jewell ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33662,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,"Do n't Tell ( Edited ) ( Feat . Warren G , Mauseburg And Nate Dogg )","August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33663,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,20 Minutes ( Edited ) ( Feat . Goldie Loc ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33664,( C ) 1999 Priority Records LLC,No Limit Top Dogg,$ 1.29,I Love My Momma ( Edited ),"August 1 , 2006","Gangsta & Hardcore , Rap & Hip-Hop",Snoop Dogg
33665,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,No Line On The Horizon,"March 3 , 2009",Rock,U2
33666,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,Magnificent,"March 3 , 2009",Rock,U2
33667,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,Moment Of Surrender,"March 3 , 2009",Rock,U2
33668,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,Unknown Caller,"March 3 , 2009",Rock,U2
33669,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,I 'll Go Crazy If I Do n't Go Crazy Tonight,"March 3 , 2009",Rock,U2
33670,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,Get On Your Boots,"March 3 , 2009",Rock,U2
33671,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,Stand Up Comedy,"March 3 , 2009",Rock,U2
33672,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,FEZ-Being Born,"March 3 , 2009",Rock,U2
33673,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,White As Snow,"March 3 , 2009",Rock,U2
33674,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,Breathe,"March 3 , 2009",Rock,U2
33675,( C ) 2009 Universal-Island Records Ltd. under exclusive licence to Mercury Records Ltd.,No Line On The Horizon ( Standard Version ),$ 1.29,Cedars Of Lebanon,"March 3 , 2009",Rock,U2
33676,2012 Joe Cassidy,No Longer Living in Your Shadow \ Elsewherelse,$ 0.89,No Longer Living in Your Shadow,"September 21 , 2012","Alternative Rock , Pop",Butterfly Child
33677,2012 Joe Cassidy,No Longer Living in Your Shadow \ Elsewherelse,$ 0.89,Elsewherelse,"September 21 , 2012","Alternative Rock , Pop",Butterfly Child
33678,"2015 Strange Music , Inc",No More Control ( Feat . Mndr ) [ Explicit ],$ 1.29,No More Control ( Feat . Mndr ) [ Explicit ],"April 24 , 2015",Rap & Hip-Hop,Murs
33679,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Love,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33680,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Family Affair,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33681,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Steal Away,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33682,( C ) 2002 Geffen Records,No More Drama,$ 1.29,He Think I Do n't Know,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33683,( C ) 2002 Geffen Records,No More Drama,$ 1.29,PMS,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33684,( C ) 2002 Geffen Records,No More Drama,$ 1.29,No More Drama,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33685,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Rainy Dayz [ feat . Ja Rule ],"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33686,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Where I 've Been [ feat . Eve ],"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33687,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Beautiful Day,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33688,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Dance For Me [ feat . Common ],"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33689,( C ) 2002 Geffen Records,No More Drama,$ 1.29,No More Drama ( P. Diddy/Mario Winans Remix [ feat . P. Diddy ],"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33690,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Flying Away,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33691,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Never Been,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33692,( C ) 2002 Geffen Records,No More Drama,$ 1.29,2 U,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33693,( C ) 2002 Geffen Records,No More Drama,$ 1.29,In The Meantime,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33694,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Forever No More - Poem,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33695,( C ) 2002 Geffen Records,No More Drama,$ 1.29,Testimony,"January 29 , 2002","R&B , Soul , Contemporary R&B",Mary J. Blige
33696,2012 Riotvan,No Other,$ 0.99,No Other ( Original ),"June 15 , 2012",Dance & Electronic,Good Guy Mikesh & Filburt
33697,2012 Riotvan,No Other,$ 0.99,No Other ( Permanent Vacation Remix ),"June 15 , 2012",Dance & Electronic,Good Guy Mikesh & Filburt
33698,2012 Riotvan,No Other,$ 0.99,No Other ( Dirt Crew Remix ),"June 15 , 2012",Dance & Electronic,Good Guy Mikesh & Filburt
33699,2012 Riotvan,No Other,$ 0.99,No Other ( Instrumental ),"June 15 , 2012",Dance & Electronic,Good Guy Mikesh & Filburt
33700,( p ) Wnts,No Problem ( feat . Lee Morgan ),$ 0.89,No Problem ( feat . Lee Morgan ),"November 17 , 2012",Jazz,Barney Wilen
33701,( p ) Wnts,"No Problem ( feat . Lee Morgan , Miles Davis , Kenny Dorham )",$ 0.89,No Problem ( feat . Lee Morgan ),"February 27 , 2012",Jazz,Barney Wilen
33702,( p ) Wnts,"No Problem ( feat . Lee Morgan , Miles Davis , Kenny Dorham )",$ 0.89,Valmontana ( feat . Lee Morgan ),"February 27 , 2012",Jazz,Barney Wilen
33703,( p ) Wnts,"No Problem ( feat . Lee Morgan , Miles Davis , Kenny Dorham )",$ 0.89,Prelude in Blue ( feat . Miles Davis ),"February 27 , 2012",Jazz,Barney Wilen
33704,( p ) Wnts,"No Problem ( feat . Lee Morgan , Miles Davis , Kenny Dorham )",$ 0.89,Petit Bac Blues ( feat . Kenny Dorham ),"February 27 , 2012",Jazz,Barney Wilen
33705,( p ) Wnts,"No Problem ( feat . Lee Morgan , Miles Davis , Kenny Dorham )",$ 0.89,Un tÌ © moin dans la ville ( feat . Kenny Dorham ),"February 27 , 2012",Jazz,Barney Wilen
