record_id,retail_price,model_num,segment,display_name,b_name
622,9.0,59001,electronics - general,innovera desktop copyholder monitor mount black,innovera
623,57.6,301910,electronics - general,lacie portable 8x dvd-rw drive with lightscribe,lacie
624,209.0,vg2236wm-led,monitors,viewsonic vg2236wm-led 22 1080p widescreen led monitor,viewsonic
625,4448.99,27639,electronics - general,da-lite da-glas standard rear projection screen 72 x 96 video format,da-lite
626,1600.0,20030,electronics - general,da-lite holoscreen rear projection screen - 22 x 33 3 4 video format,da-lite
627,188.99,74698,electronics - general,da-lite matte white deluxe model b manual screen - 60 x 80 video format,da-lite
628,29.0,pa1503u1sl3,electronics - general,toshiba 14 sling extreme laptop backpack black and blue,toshiba
629,38.88,epsdhc/16gb -4,usb drives,acp-ep memory 16gb class 4 sdhc card,ep memory
630,61.8,ljdtt32gasbna,usb drives,lexar 32gb twistturn jumpdrive,lexar media
631,399.82,dcs6111,electronics - general,d-link dcs-6111 fixed dome day night ip camera,d-link
632,82.92,01g-p3-1430-lr,electronics - general,evga nvidia geforce gt 430 graphics card with 1024mb ddr3 memory,evga
633,23.99,82-5293,garden - general,trademark global bright 7 led motion sensor entry light,trademark global
634,15.54,hafx35an,electronics - general,jvc marshmallow headphones blue,jvc
635,389.44,26256,digital cameras,nikon coolpix p500 12.1 mp black digital camera 4-144mm zoom nikkor lens 3 lcd display hd video w 50 bonus prints,nikon
636,29.84,epsw/16gb -2.0,usb drives,ep 16gb usb 2.0 mobile swingdrive flash drive,ep memory
637,498.0,prd-38548-001,laptop computers,blackberry playbook 7.0 touchscreen 16gb entertainment tablet featuring blackberry tablet operating system,blackberry
638,14.88,89720,electronics - general,amzer luxe argyle high-gloss skin case for samsung galaxy clear,amzer
639,25.88,bi5,furniture,audiosource bi5 5 in-wall construction bracket mount,audiosource
640,29.99,fva3161,electronics - general,oklahoma sooners iphone 4 case black shell,tribeca
641,160.0,electric100h,electronics - general,elite electric100h screens spectrum electrol projection screen,elite screens
642,129.84,1080,electronics - general,at digital answerer,at t
643,14.98,ex-case2,photography - general,casio pouch style leather carrying case for the exilim s and z series digital cameras - 2.75 d,casio
644,76.88,vnr-217black,electronics - general,case logic 17 rolling laptop case,case logic
645,128.54,lexmark pro205,printers,lexmark prospect pro205 wireless-n all-in-one printer scanner copier fax,lexmark
646,96.82,k72327us,mice,kensington k72327us slimblade trackball - usb,kensington
647,367.24,ce251a,printers,hp ce25 toner 7000 page-yield,hp
648,22.99,lmspd8gbbsbna,usb drives,lexar media lmspd8gbbsbna 8gb platinum ii memory stick pro duo card,lexar media
649,23.88,,electronics - general,targus tcm004us messenger notebook case,targus
650,2107.95,102301,electronics - general,draper m2500 access series v electric screen - hdtv 119 diagonal,draper
651,6173.95,125123,electronics - general,draper irus rear projection screen with system 400 black frame - 120 diagonal ntsc format,draper
652,19.0,db9concabl6,electronics - general,startech 6 rj-45 to db9 cisco console management router cable,startech
653,4710.0,125059,electronics - general,draper vortex rear projection screen with no frame - 84 diagonal ntsc format,draper
654,10.09,uma-102gray,mp3 accessories,case logic universal mp3 armband clear front panel gray,case logic
655,5.47,11201,stationery & office machinery,avery style edge insertable reference dividers with 8 tabs,avery
656,52.88,ack-dc30,photography - general,canon ac adapter kit for powershot-sd900 sd800is sd700is,canon
657,28.98,sc-snowsp/16g,usb drives,action sport drives 16gb santa cruz usb snow drive spider,ep memory
658,70.73,usa-28xg,electronics - general,keyspan usb twin serial adapter,keyspan
659,1.99,,stationery & office machinery,redi-tag corporation side-mount self-stick plastic index tabs nos 11-20 1in we 104 pack,redi-tag corporation
660,69.99,hd7102,tv accessories,bell o high-speed hdmi cable with ethernet 2-meter,bell ' o
661,39.99,154710,electronics - general,case logic 16 laptop backpack,case logic
662,15.47,7532,stationery & office machinery,tops paper pads legal rule letter size 50 sheet pads dozen,tops business forms
663,407.12,b11b194011,electronics - general,epson workforce pro gt-s50 document image scanner,epson
664,140.7,65087226,software,adobe photoshop and premiere elements 9 windows and mac,adobe
665,429.99,85322,electronics - general,da-lite video spectra 1.5 model b manual screen with csr - 69 x 92 video format,da-lite
666,209.99,rc-942-kkn1,electronics - general,cooler master haf-x 942 chassis black,coolermaster
667,84.92,engt430/di/1gd3 ( lp ),electronics - general,asus engt430 gt430 pci-e 1gb graphics card,asus
668,65.0,3vt8005s9-4gku,memory,wintec value 4gb 2 x 2gb ddr2 pc2-6400 memory upgrade kit for laptops,vivitar
669,59.99,gh012000003,electronics - general,creative labs sound blaster tactic3d alpha,creative labs
670,24.0,,computers,centon 8gb datastick pro usb flash drive 2-pack bundle,
671,29.99,fva3175,electronics - general,wisconsin badgers iphone 4 case black shell,tribeca
672,249.99,pa50250u5yr,hard drives,iosafe rugged 250gb usb 3.0 portable external hard drive,iosafe
673,269.82,hd695xzndc,electronics - general,xfx amd radeon hd 6950 1gb ddr5 graphics card,xfx
674,74.97,55654,home care,3m easy trap 8 x 125 duster,3m
675,8.94,1026,stationery & office machinery,xstamper one-color title message stamp completed,
676,29.97,1526eox,stationery & office machinery,pendaflex 3 1 2 expansion file pocket manila red fiber 25 per box,
677,9.88,iep222blu,electronics - general,jwin caf nites in-ear earphones blue,iluv
678,63.88,ibp391b,electronics - general,ilive app-enhanced boom box with ipod iphone dock,ilive
679,13.88,615,electronics - general,cyberpower 900 joules 6-outlet surge protector,cyberpower
680,15.71,oan-0501,networking,cp technologies levelone oan-0501 omni-directional antenna,cp tech
681,264.84,bl-fp200c,monitors,optoma bl-fp200c replacement projector lamp for hd70 home theater projector,optoma
682,19.99,tp-7,electronics - general,olympus telephone conversation recording device,olympus
683,299.95,s70 brown,digital cameras,nikon coolpix s70 brown 12.1 mp digital camera with 5x optical zoom w 50 bonus prints,nikon
684,12.47,85781,stationery & office machinery,weyerhaeuser company multiuse premium paper 98 brightness 24lb 8-1 2 x 14 white 500 sheets ream,
685,29.84,ont224us,electronics - general,v7 executive leather case for 15.4 laptops black by targus,targus
686,50.84,kb-7091bu,electronics - general,solidtek kb-7091bu usb washable keyboard,solidtek
687,32.88,pex1p,electronics - general,startech.com pex1p 1 port pcie dp parallel adapter card,startech
688,99.54,m530 red,digital cameras,kodak easyshare m530 red 12mp digital camera w 3x optical zoom 2.7 lcd w 50 bonus prints,kodak
689,2375.95,111374,electronics - general,draper glass beaded signature series e electric screen - hdtv 133 diagonal,draper
690,19.0,has150px,electronics - general,jvc on-ear flats design pink,jvc
691,27.94,67011,stationery & office machinery,rolodex covered tray card file black,rolodex
692,19.98,20151,software,encore mavis beacon keyboarding kidz,encore
693,70.88,mp41dhii,stationery & office machinery,canon mp41dhii printing calculator,canon
694,50.88,es1100-16,networking,zyxel es1100-16 16-port fe unmanaged switch,zyxel
695,49.99,clasc1,satellite radio,clarion sirius satellite radio receiver adapter,clarion
696,5.94,675yl,stationery & office machinery,post-it notes original lined notes 4 x 4 canary yellow 300 sheets,
697,5.69,ax17bp10k6,stationery & office machinery,pentel ez 2 automatic pencil hb 0.70 mm 5 black and 5 blue barrels 10 pack,pentel
698,15.36,1733536,stationery & office machinery,samsill 4 clean touch locking round-ring view binder white,samsill
699,9.21,2180,stationery & office machinery,avery file folder labels on mini-sheets 3-7 16 x 2 3 300 pack,avery
700,2544.99,27562,electronics - general,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,da-lite
701,765.45,92695,electronics - general,da-lite high contrast matte white advantage manual with csr - av format 6 x 8 diagonal,da-lite
702,310.99,99735,electronics - general,da-lite mahogany veneer model b manual screen with high power fabric - 60 x 60 av format,da-lite
703,3.6,,electronics-inflexible kit,elmer s 4-count washable school glue sticks - .24 oz 2 pack,
704,49.99,pcmatic5pc1003,software,pc pitstop pc matic,pc pitstop
705,49.95,has600b,electronics - general,jvc lightweight folding headphones with bass boost black,jvc
706,34.72,khx6400d2b1/2g,memory,kingston hyperx blu 2gb ddr2 desktop memory module,kingston
707,879.0,42lv5500,electronics : flat panel tv,lg 42 ultra - slim 42lv5500,lg
708,31.88,rt-kbhb06,electronics - general,green onions supply iveil hybrid keyboard protector,green onions supply
709,13.3,gb01913,mp3 accessories,griffin ipod touch 4g screen care kit 3 pack,arkon
710,248.0,sj1000gb1yr,hard drives,iosafe solopro 1tb usb 3.0 external hard drive,iosafe
711,31.88,pt-h9dn,networking,premiertek powerlink wireless 802.11 b g n high power usb 2.0 adapter,premiertek
712,16.88,rpsma10mf,electronics - general,startech.com rpsma10mf 10ft rp-sma to sma antenna adapter cable,startech
713,27.88,249000,software,roxio easy cd and dvd burning 2011 windows,roxio
714,22.88,viv-43-58w,camera and camcorder accessories,vivitar high definition .43 x wide angle lens attachment,vivitar
715,79.88,t1274b,electronics - general,i-tec t1274b istereo round sound docking station for ipod iphone,i-tec electronics
716,49.98,cl81211,phones,at t cl81211 dect 6.0 digital 2-handset cordless telephone,at t
717,524.99,alecc616326lg,electronics - general,alera lcd crt mobile computer security cabinet 26w x 24d x 63h light gray,alera
718,24.88,89273n,electronics - general,motorola thrill me purple eh25 stereo headset,motorola
719,191.03,q6511a,printers,hp q6511a hp 11a toner 6000 page-yield black,hp
720,18.0,cf-7061 cp,camera and camcorder accessories,sunpak 67mm circular polarized filter,sunpak
721,209.99,,tv accessories,peerless paramount articulating flat panel wall arm 37 to 60 screens,peerless
722,59.82,vs2gbkit400c3,memory,corsair memory vs2gbkit400c3 2 gb pc3200 400mhz 184-pin ddr desktop memory kit,corsair
723,69.84,rz01-00300100-r3u1,mice,razer orochi bluetooth laser gaming mouse - rz01-00300100-r3u1,razer
724,59.0,330-6258,computers,dell 90-watt inspiron ac power adapter,dell
725,28.94,62097,stationery & office machinery,c-line top-load poly sheet protectors heavy gauge letter 200ct,
726,122.84,xrs 9545,electronics - general,cobra 14-band digital radar laser detector,cobra
727,1485.5,112055,electronics - general,draper glass beaded envoy electric screen - widescreen 132 diagonal,draper
728,27.99,210826,electronics - general,roocase light n slim carrying bag for 10.1 netbook ipad or ipad 2,roocase
729,881.99,253027,electronics - general,draper m2500 shadowbox clarion fixed frame screen - 73 x 73 av format,draper
730,2745.5,125032,electronics - general,draper vortex rear projection screen with system 200 black frame - 60 diagonal ntsc format,draper
731,3702.95,116114,electronics - general,draper at1200 targa acoustically transparent screen - 132 diagonal widescreen format,draper
732,1.98,30376bpp,stationery & office machinery,paper mate sharpwriter mechanical pencils,paper mate
733,0.0,44-1010-2,electronics - general,brinks digital timer with 1 setting,generic
734,288.0,lu.sft02 .068,laptop computers,acer diamond black 11.6 aspire one 722-bz197 laptop pc with amd dual-core c-50 processor and windows 7 home premium,acer
735,59.99,hd7101,tv accessories,bell o high-speed hdmi cable with ethernet 1-meter,bell ' o
736,46.47,162008,stationery & office machinery,hammermill everyday copy and print paper 92 bright 20lb letter white 5000 sheets ctn,hammermill
737,202.87,t650a11a,printers,lexmark t650a11a black toner print cartridge,lexmark
738,91.49,bnd416020sil,electronics - general,bond street ltd. 5 attach case aluminum 18 x 5 x 13-1 2 black silver,bond street ltd.
739,9.84,rr1237,printers,read right pathkleen printer roller cleaner sheets 8 1 2 10pk,read right
740,5.69,82163,stationery & office machinery,avery allstate-style legal side tab divider title a letter white 25 pack,avery
741,58.76,trlcslipaddren,mp3 accessories,simplism shoulder case for ipad red,simplism
742,29.73,910-001752,mice,logitech m305 wireless mouse black,logitech
743,5.0,680nt2,stationery & office machinery,post-it flags arrow message 1 blue 2 50-flag dispensers pack,post-it
744,4077.99,40353,electronics - general,da-lite matte white scenic roller manual screen - 30 x 30,da-lite
745,68.33,zt-20203-10l,electronics - general,zotac geforce gt 220 synergy edition pci express 1gb ddr2 graphics card,zotac
746,4.92,,electronics - general,bic 0.9 mm mechanical pencil with colorful barrels 1-dozen 2-pack,
747,19.99,21331,software,encore hoyle card games 2011 casual gaming,encore
748,14.88,pe194529,usb drives,edge tech 2gb premium compact flash card,edge tech
749,19.44,stpfsa,dvd accessories,sony stp-fsa floating camera strap,sony
750,48.22,caedvdrw8u2,electronics - general,cavalry dvd-rw dvd-r dual-layer dvd writer,cavalry
751,59.82,kb4251b,electronics - general,solidtek super mini keyboard with trackball,solidtek
752,12.98,g761,photography - general,golla genie digital camera bag lime green,golla
753,13.88,90786,mp3 accessories,amzer anti-glare screen protector for ipad 2,amzer
754,199.0,,digital cameras,sony dsc-h70 16.2 megapixel digital camera w bonus 58 tripod and bonus 4gb memory card value bundle,sony
755,72.98,jbg01ms,electronics - general,msw wireless jawbone icon bluetooth headset mesh,jawbone
756,649.86,bun2472,garden - general,clover 19 internet-ready observation system,clover electronics
757,9.88,amz90548,electronics - general,amzer super clear screen protector with cleaning cloth for blackberry playbook 6pk,amzer
758,47.99,69915,electronics - general,mobile edge 16pc 17mac large faux croc portfolio,mobile edge
759,99.82,a25-pl128-320,hard drives,apricorn 320gb padlock 128-bit hardware-encrypted portable drive,apricorn
760,27.88,dvidsmm20,electronics - general,startech.com dvidsmm20 20ft dvi-d digital video cable,startech
761,14.88,73079-01,prepaid wireless phones,plantronics 73079-01 ac power adapter for telephone headset system,plantronics
762,956.5,203037,electronics - general,draper glass beaded access series m manual screen - 8 x 10 av format,draper
763,3109.95,105007,electronics - general,draper m1300 access multiview series v electric screen - widescreen 126 diagonal,draper
764,27.88,k60004us,electronics - general,kensington underdesk comfort keyboard drawer with smartfit system,kensington
765,39.98,pexusb3s2,electronics - general,startech 2 port pci express superspeed usb 3.0 card adapter,startech
766,103.99,151485,electronics - general,mobile edge 17 komen faux-suede tote,mobile edge
767,38.88,f8n275tt128,electronics - general,belkin vue sleeve for ipad violet,belkin
768,198.35,k087b-005b,electronics - general,accell ultraav displayport multi-monitor adapter,accell
769,29.88,b116c-013b-40,tv accessories,accell proultra 4m hdmi ethernet cable,accell
770,37.82,kb3800tpw,electronics - general,gear head 2.4 ghz wireless mini touchpad usb keyboard black,gear head
771,29.99,tr-ccsipd2-cc / en,mp3 accessories,crystal cover set for ipad 2 crystal clear,simplism
772,399.99,3r2727-18b-e,electronics - general,skb cases mil-standard roto case 27 l x 27 w x 18 h inside,skb cases
773,689.99,1skb-r04mac,electronics - general,skb cases rolling shockmount mac pro tower case,skb cases
774,29.99,it4plsirnwht,electronics - general,ifrogz pulse case for ipod touch 4 iron and white,ifrogz
775,10.84,sc-skatere/4g,usb drives,action sport drives 4gb santa cruz usb skate drive rob eyes,ep memory
776,23.99,4110,electronics - general,goodhope bags computer sleeve plus,goodhope bags
777,499.0,ps.val03 .052,desktop computers,acer black veriton ps.val03 .052 desktop pc with intel dual-core e7600 processor 320gb hard drive and windows 7 professional monitor not included,acer
778,11.28,,electronics - general,bic triumph 730r 0.5 mm needle point roller pen black 4 ct. 2-pack,
779,0.0,36536,electronics - general,ge network and phone wall plate,ge
780,739.82,100505604,electronics - general,ati firepro v7800 2gb pci express 2.0 graphics card,ati
781,12.94,35113,stationery & office machinery,ampad envirotec 100 recycled file folders 1 3 cut top tab letter brown 100pk,
782,23.94,87850,stationery & office machinery,swingline optima powerease stapler graphite,swingline
783,89.88,32400,stationery & office machinery,avery digital postal scale kit 25 lbs,avery
784,47.84,150705,electronics - general,manhattan 150705 superspeed usb to sata adapter,
785,18.72,lc-200,electronics - general,macsense lc200 just mobile lazy couch aluminum portable stand,macsense
786,736.99,82980,electronics - general,da-lite video spectra 1.5 model c with csr manual screen - 58 x 104 hdtv format,da-lite
787,310.99,99731,electronics - general,da-lite light oak veneer model b manual screen with high power fabric - 60 x 60 av format,da-lite
788,499.46,407930-1,fishing and boating,humminbird 778c hd color fishing system,humminbird
789,84.88,hpc4874a,printers,hp 80 magenta 175-ml ink cartridge c4874a,hp
790,998.0,064654u,laptop computers,lenovo gray 15.6 ideapad y560-064654yu laptop pc with intel core i7-740qm processor windows 7 home premium,lenovo
791,1031.2,ppcu,electronics - general,chief manufacturing video conferencing plasma cart 42 - 61,chief manufacturing
792,34.82,khx6400d2/2g,memory,kingston hyperx 2gb ddr2 desktop memory module,kingston
793,30.23,nst-360u2-bk,electronics - general,vantec 3.5 ide to usb 2.0 nexstar 3 hard drive enclosure onyx black,vantec
794,9.88,07221,mice,pc treasures retractable mighty mini mouse navy,pc treasures
795,10.12,,electronics - general,bic soft feel retractable ball pen blue 1-dozen 2-pack,
796,19.99,aucs01f,phone accessories,aluratek plug-less usb charging station,aluratek
797,10.98,cmp114,dvd accessories,arkon cmp114 camera mount for windshield,arkon
798,98.0,586ck,car stereos,boss audio 586ck - 1-din cd receiver with two 6.5 speakers,boss
799,65.99,,furniture,sanus full motion wall mount for small flat panel screens in silver - 8 max extension 13 - 27 screens,sanus
800,59.0,s9250pci256sb,electronics - general,diamond multimedia stealth ati radeon 9250 256mb pci video card,diamond multimedia
801,74.88,hpc9457a,printers,hp 70 green 130-ml ink cartridge c9457a,hp
802,8.88,,mp3 accessories,memorex 52x write-once cd-r with lightscribe technology - 10 pack slim jewel case,memorex
803,15.88,ka2064b,car stereos,scosche ka2064b 2005 kia sportage iso kit,scosche
804,10.54,f8z524tt064,mp3 accessories,belkin grip ergo for ipod,belkin
805,109.84,a25-pl256-250,computers,apricorn 250gb padlock 256-bit hardware-encrypted portable drive,apricorn
806,13.97,549wh,house wares,tablemate table set heavyweight plastic rectangular table cover 6pk,
807,59.82,910-000872,mice,logitech 910-000872 mx anywhere mouse,logitech
808,31.88,29563,electronics - general,cables to go 29563 7 port aluminum usb 2.0 hub,cables to go
