beer_pk,brew_item,brew_type,manufacturer_name
636,All Inn Ruby Amber Ale,Amber Ale,All Inn Brewing Co. .
637,Fulton MPLS Mild - Charred Cherrywood,Mild Ale,Fulton Beer Company
638,Conquest Garnet Red Ale,Amber Ale,Conquest Brewing Company
639,Adnams Wild Hop Amber Beer,Amber Ale,Adnams
640,Freedom_s Edge Horizon Amber,Amber Ale,Freedom_s Edge Brewing
641,Iron Horse Fresh Hop Imperial Red Ale,American Strong Ale,Iron Horse Brewery
642,Walker Brown Amber Ale,Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
643,Abbeydale Resurrection,Premium Bitter/ESB,Abbeydale
644,Armadillo Amber Ale,Amber Ale,Hale_s Ales
645,Desert Edge Anniversary Amber,Amber Ale,Desert Edge Brewery
646,406 Imperial Red Ale,American Strong Ale,406 Brewing Company
647,Breakside Hoppy Amber,Amber Ale,Breakside Brewery
648,Millersburg Bag_s Best Red Ale,Amber Ale,Millersburg Brewing
649,Triptych Imperial Red XPA,India Pale Ale &#40; IPA &#41;,Triptych Brewing Company
650,Amager Red Nitro,American Strong Ale,Amager Bryghus
651,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Amber Ale,Apeldoornse Bierbrouwerij De Vlijt
652,Acoustic Rock Steady Red Cider,Cider,Acoustic Brewing Company
653,Martin House The Imperial Texan,American Strong Ale,Martin House Brewing Company
654,Bull Falls Irish Red Ale,Irish Ale,Bull Falls Brewery
655,Against the Grain French Oak Aged Gnag Reflex,Sour/Wild Ale,Against the Grain Brewery
656,4 Hands Cuvee Diable,Saison,4 Hands Brewing Company
657,Outlaw The Gambler American Amber,Amber Ale,Outlaw Brewing Company &#40; MT &#41;
658,Northport Morazon Amber,Amber Ale,Northport Brewing
659,Phantom Imperial Red Rye,American Strong Ale,Phantom Ales
660,Town Hall Blackberry Crimson Oat,Fruit Beer,Minneapolis Town Hall Brewery
661,Escape &#40; CA &#41; Road Rage Imperial Red,American Strong Ale,Escape Craft Brewery
662,1516 Pub & Brewery Red Zeppelin,Amber Ale,1516 Pub & Brewery
663,Tin Roof Perfect Tin Amber,Amber Ale,Tin Roof Brewing Company
664,Rivertowne Red Head Red,Amber Ale,Rivertowne Pour House
665,Daves BrewFarm LEAP Beer,American Strong Ale,Daves BrewFarm
666,Angelic Shakedown Brown,Brown Ale,Angelic Brewing Company
667,Akishika Junmai Gingo Namazake,SakÃ © - NamasakÃ ©,Akishika Shuzo
668,BTU Rusty_s Red Ale,American Pale Ale,BTU Brewing
669,Het Uiltje Velduil,Session IPA,Jopen
670,Wiltses Paul Bunyan Ale,English Pale Ale,Wiltses Brew Pub
671,Alcazar Windjammer IPA,American Pale Ale,Alcazar
672,7 Barrios Amber,Amber Ale,Cerveceria Lesnez
673,Claim Jumper Original Red Ale,Amber Ale,Maritime Pacific Brewing Co. .
674,Marshall Wharf Little Max Red Ale,Amber Ale,Marshall Wharf Brewing Company
675,Aldus Olde Factory Amber IPA,India Pale Ale &#40; IPA &#41;,Aldus Brewing Company
676,Anchorage Time Waits For No One,Imperial Stout,Anchorage Brewing Company
677,Shiretown Siren_s T_ale,Amber Ale,Shiretown Brewing
678,La Cumbre La Roja Grande,American Strong Ale,La Cumbre Brewing Company
679,Sierra Andina Alpamayo Amber Ale,Amber Ale,Sierra Andina
680,Highland Gaelic Ale,Amber Ale,Highland Brewing Company
681,Goose Eye Autumn Ale,Golden Ale/Blond Ale,Goose Eye
682,De Lepelaer Gerstebrij Jubilee Amber,Amber Ale,Brouwerij de Lepelaer
683,4 Pines Keller Door West Coast Red Rye IPA,India Pale Ale &#40; IPA &#41;,4 Pines Brewing Company
684,Boxing Bear Ambear Ale,Amber Ale,Boxing Bear Brewing Company
685,Jazz Beer Tarraco Amber,Amber Ale,Ca l_Arenys - Cervezas Guineu
686,Bend Axe Head Red Ale,Amber Ale,Bend Brewing Company
687,Artisan_s Hoppy Amber Ale,Amber Ale,Artisan_s Brewery and Italian Grill
688,Port Aransas Mustang Amber Ale,Amber Ale,Port Aransas Brewing Company
689,Able Ebenezer Tabula Rasa,Amber Ale,Able Ebenezer Brewing Company
690,Pizza Port Big Dumb Animal,American Strong Ale,Pizza Port &#40; Carlsbad &#41;
691,Peak Organic Amber Ale,Amber Ale,Shipyard Brewing Company
692,2nd Story Hoppy New Year Amber Ale,Amber Ale,2nd Story Brewing Company
693,Marks & Spencer Greenwich Red Ale,Amber Ale,Meantime &#40; SAB Miller &#41;
694,North Fork Son of Frog,American Strong Ale,North Fork Brewery/Pizza/Beer Shrine
695,Eventide Red-Headed Haley,Amber Ale,Eventide Brewing
696,Oceanside Ale Works San Luis Rey Red Ale,Amber Ale,Oceanside Ale Works
697,Against the Grain Truffle Shuffle,Spice/Herb/Vegetable,Against the Grain Brewery
698,Rusty Truck Stupiphany Imperial Red Ale,American Strong Ale,Rusty Truck Brewing / Roadhouse 101
699,Birdland Kewlerskald,Amber Ale,Birdland Brewing Company
700,Alattomos _ rdÃ ¶ g VÃ ¶ rÃ ¶ s SÃ ¶ r - Red Beer,Amber Lager/Vienna,JÃ $ ger SÃ ¶ rf & # 337zde - Akpedo Kft . ( OrgovÃ ¡ ny )
701,18th Street Rise of the Phoenix,India Pale Ale &#40; IPA &#41;,18th Street Brewery
702,Brentwood Project Venus Sugar & Spice,Golden Ale/Blond Ale,Brentwood
703,La Verne Dead Leprechaun Irish Red,Amber Ale,La Verne Brewing Co. .
704,Bacchus / Burrow Bloodhound Blood Red IPA,India Pale Ale &#40; IPA &#41;,Bacchus Brewing Company &#40; Australia &#41;
705,Firehouse Full Tilt Bozo,American Strong Ale,Firehouse Brewing Company &#40; SD &#41;
706,10 Barrel Northwest Red,Amber Ale,10 Barrel Brewing &#40; AB InBev &#41;
707,Caledonian Double Amber,Bitter,Caledonian &#40; Heineken UK &#41;
708,Quantum &#40; CA &#41; Uncertainty Red,Amber Ale,Quantum Brewing &#40; CA &#41;
709,Bull & Barrel Session Style - Amber Ale,Amber Ale,Bull & Barrel Brew Pub
710,Kirishima Kirinokura Amber,Amber Ale,Kirishima Shuzo Kirinokura Brewery
711,Alt Platz Sedona Bronze Ale,Amber Ale,Alt Platz Brewing Company
712,Dempseys Valkyrie Red,Amber Ale,Dempseys Brewery
713,Burro de Sancho Roja,Amber Ale,Daviyun / Sagra
714,Alligator Chocolate Orange Belgian Ale,Belgian Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;
715,Beachwood Knucklehead Red,Amber Ale,Beachwood BBQ & Brewing
716,Heavy Seas Desert Island Series American Honey Amber Ale,Amber Ale,Heavy Seas Brewing Company
717,Country Boy Our Daily Red,Amber Ale,Country Boy Brewing
718,Keweenaw Red Jacket Amber Ale,Amber Ale,Keweenaw Brewing Company
719,Cellar Lucky Enough Amber,Amber Ale,Cellar Brewing Company
720,Platt Park Astronaut Amber,Amber Ale,Platt Park Brewing Company
721,Altstadthof Rotbier,Amber Lager/Vienna,Hausbrauerei Altstadthof
722,Alameda East Village Amber,Altbier,Alameda Brewing Co. .
723,MashCraft Ancho Annie,Spice/Herb/Vegetable,MashCraft Brewing
724,21st Amendment Holiday Spiced Ale,Spice/Herb/Vegetable,21st Amendment Brewery
725,Sleeping Lady Forty Niner Amber Ale,Amber Ale,Sleeping Lady Brewing Co. .
726,1010 Red Nose Reinbeer,Amber Ale,1010 Brewing &#40; Sale St Brewery &#41;
727,21st Amendment Red Giant,American Strong Ale,21st Amendment Brewery
728,Amber Po Godzinach : India Pale Lager,Premium Lager,Browar Amber
729,&#268; eskÃ 1/2 Rudolec Red Ale 13Â °,Amber Ale,&#268; eskÃ 1/2 Rudolec
730,MadTree Bourbon Barrel Aged Happy Amber,Amber Ale,MadTree Brewing Company
731,Central City Red Racer Copper Ale,Amber Ale,Central City Brewers + Distillers
732,Osgood Oakestown,Amber Ale,Osgood Brewing
733,Allendale End 34 Red Columbus,Amber Ale,Allendale
734,Pints Rehab Red Amber,Amber Ale,Pints Brewery & Sports Bar on the Colorado Belle
735,NoDa Guildy as Sin,Amber Ale,NoDa Brewing Company
736,Charleston Brewing White Elephant Red Ale,Amber Ale,Charleston Brewing Company &#40; WV &#41;
737,La Quinta Brewing Co. . Heatwave Red Ale,Amber Ale,La Quinta Brewing Co. .
738,Big Block Flathead Red,Irish Ale,Big Block Brewing
739,Founders Backstage Series # 13 : reDANKulous Imperial Red IPA,Imperial IPA,Founders Brewing Company
740,Northgate Winter Soldier,Amber Ale,Northgate Brewing
741,Toccalmatto Delta Red Disorder,Imperial IPA,Birrificio Toccalmatto
742,Kalamazoo Royal Amber Ale,Amber Ale,Bells Brewery
743,Berwick Arden_s Amber,Amber Ale,Berwick Brewing Company
744,Bootjesbier,Amber Ale,Antwerpse Brouw Compagnie
745,Ukiah 10 Guilder,Amber Ale,Ukiah Brewing Company
746,Beer Works Crimson Clover Irish Red,Irish Ale,Beer Works
747,Boulder Beer Sundance Amber Ale,Amber Ale,Boulder Beer Company
748,Ruby River Ruby Red Ale,Amber Ale,Ruby River Steakhouse and Brewery
749,El Toro Black Raspberry Ale,Fruit Beer,El Toro Brewing Co. .
750,Mare Nostrum Prestige,Amber Ale,Mare Nostrum Brasseur du Sud
751,Appalachian Artie_s Amber Ale,Amber Ale,Appalachian Brewing Company &#40; PA &#41;
752,Denver Beer American Rojo,Premium Bitter/ESB,Denver Beer Company
753,Goldspot Pantalones Rojo Red IPA,India Pale Ale &#40; IPA &#41;,Goldspot Brewing Company
754,Wye Valley Dorothy Goodbody_s Country Ale,English Strong Ale,Wye Valley
755,Destihl Roadblock British Red Ale,Irish Ale,Destihl Brewery
756,Brodies West End Best &#40; 4.0 % &#41;,Bitter,Brodies
757,Firetrucker 2 Alarm Red,American Strong Ale,Firetrucker Brewery
758,Corralitos Richter Red Ale,Amber Ale,Corralitos Brewing Company
759,Boulder Dam Reclamation Amber,Amber Ale,Boulder Dam Brewing Co. .
760,AleWerks Winter Hop,American Strong Ale,AleWerks Brewing Company
761,Brains Craft Brewery Simply Red,Amber Ale,Brains
762,Crested Butte White Buffalo Peace Ale,Amber Ale,Crested Butte Brewing
763,MobCraft Barrel Aged Rabbits Bounty,American Strong Ale,House of Brews
764,Veracious Owd Boreas Imperial Red,American Strong Ale,Veracious Brewing Company
765,Big Axe Red Ale,Amber Ale,Big Axe Brewing Company
766,3 Daughters Orange Cream Ale,Cream Ale,3 Daughters Brewing Company
767,Court Avenue Dorchester Amber,Amber Ale,Court Avenue Brewing Company
768,Alandale Octoberfest,Oktoberfest/M Ã $ rzen,Kirkwood Station Brewing Company
769,Back Alley Fire Hydrant Red Ale,Amber Ale,Back Alley Brewery
770,Iron Horse Brewlette # 3,Stout,Iron Horse Brewery
771,Brassneck Counter Cultured,India Pale Ale &#40; IPA &#41;,Brassneck Brewery
772,Infusion Butcher Block Brown Ale,Brown Ale,Infusion Brewing Company
773,Thr3e Wise Men Hoggy Style Amber,Belgian Ale,Thr3e Wise Men
774,Free State Thunderhead Pale Ale,American Pale Ale,Free State Brewing Company
775,Four Saints Potter_s Clay Amber Ale,Amber Ale,Four Saints Brewing Company
776,Planetary Brewing Heliotropic Amber,Amber Ale,Planetary Brewing Company
777,Booze Brothers Green Eyed Amber,Amber Ale,Booze Brothers Brewing Co
778,Hobbs Tavern WakeWolfe Amber,Amber Ale,Hobbs Tavern & Brewing Company
779,Svaty Norbert MasopustnÃ 16Â ° Naku &#345; ovanÃ 1/2 Porter,Smoked,KlÃ ¡ _ ternÃ Pivovar Strahov
780,Fort Barcelona Amber Ale,Amber Ale,LlÃºpols i Llevats &#40; Glops &#41;
781,Catskill Devil_s Path IPA,India Pale Ale &#40; IPA &#41;,Catskill Brewery
782,Main Street Amber Ale with Ella & Galaxy,Amber Ale,Main Street Brewing &#40; BC &#41;
783,Noble Ale Works The Irisher,Irish Ale,Noble Ale Works
784,Sockeye Crooked Trail Harvest Ale,Amber Ale,Sockeye Brewing
785,Empirical Atomic Amber : Honey Hypothesis,Amber Ale,Empirical Brewery
786,Su_i &#269; Ã ¡ k TmavÃ ¡ Emilka,Dunkel/Tmav Ã 1/2,Pivovar U _ velch &#367;
787,Blue Owl Van Dayum &#033; Sour Red Ale,Sour Red/Brown,Blue Owl Brewing
788,Molly Pitcher Imperial Red,American Strong Ale,Molly Pitcher Brewing Company
789,Lake Norman Outboard Amber Ale,Amber Ale,Lake Norman Brewing Company
790,Mike Hess Station Copper Ale,Amber Ale,Mike Hess Brewing Company
791,Sun Up Armadillo Red Ale,Amber Ale,Sun Up Brewing Company &#40; Sonora Brewhouse &#41;
792,Equinox Borealis Winter Ale,Belgian Ale,Equinox Brewing
793,Prohibition Pig Dream of the 90s,Amber Ale,Prohibition Pig
794,Earth Eagle Chillaxico,Traditional Ale,Earth Eagle Brewings
795,Basqueland Arraun Amber Ale,Amber Ale,Mateo & BernabÃ ©
796,16 Mile Mile Stones Batch # 1,Session IPA,16 Mile Brewing Company
797,Brew By Numbers 16/03 Red Ale - Mosaic & Chinook,Amber Ale,Brew By Numbers
798,Thunder Canyon Morning Star Imperial Red,American Strong Ale,Thunder Canyon Brewery
799,Sisyphus Hoppy Amber,Amber Ale,Sisyphus Brewing
800,Leavenworth Nosferatu Red Ale,English Strong Ale,Fish Brewing Company/Leavenworth Beers
801,1516 Amarillo Amber Ale,Amber Ale,1516 Brewing Company
802,Baias Ambar,Amber Ale,Baias Garagardotegia
803,Black Woods Forest Ale,Amber Ale,August Schell Brewing Company
804,Fairhope Rescue Dog Red Ale,Amber Ale,Fairhope Brewing Company
805,Peak Organic The Maple Collaboration,Amber Ale,Shipyard Brewing Company
806,8 Wired C4 Double Coffee Brown Ale,Brown Ale,Renaissance Brewing
807,Exit # 005 Amber Ale,Amber Ale,Cavalier Beer
808,8 Wired Wild Feijoa Sour Ale 2013,Sour/Wild Ale,Renaissance Brewing
809,La Virgen Jamonera,Amber Ale,Cervezas La Virgen
810,21st Amendment Poor Richards Ale,Traditional Ale,21st Amendment Brewery
811,Horse & Dragon Flagstone Copper Ale,Amber Ale,Horse & Dragon Brewing Company
812,Big Bear Lake Sidewinder Red Ale,Amber Ale,Big Bear Lake Brewing Company
813,Fish Tale Organic Amber Ale,Amber Ale,Fish Brewing Company/Leavenworth Beers
814,_ irv &#279; nos Dundulio Pilstoma Gira,Low Alcohol,_ irv &#279; nos Bravoras &#40; Dundulis &#41;
815,Rock Bottom Milwaukee Badger Stripe Ale,Amber Ale,Rock Bottom Milwaukee
816,Okkara Rinkusteinur,Amber Ale,Okkara
817,Acoustic Ales Rock Out With Your Vienna Out,Amber Lager/Vienna,Acoustic Ales Brewing Experiment
818,12th Abbey Altered Amber,Amber Ale,12th Abbey
819,5 Seasons Westside Rosebud_s Milk Stout,Sweet Stout,5 Seasons Westside
820,Marks & Spencer Lowland Glen Amber,Amber Ale,Harviestoun
821,Albatros Bira Pilsener,Pilsener,TÃ 1/4 rk Tuborg
822,Blue Blood Vanessa_s Wheat,Wheat Ale,Blue Blood Brewing Company
823,&#40; 512 &#41; Cabernet Barrel Aged Three,Abbey Tripel,&#40; 512 &#41; Brewing Company
824,Our Mutual Friend Brett and Barreled Chinook Red Ale,American Strong Ale,Our Mutual Friend Malt & Brew
825,Troubled Monk Accidental Amber,Amber Ale,Troubled Monk
826,Michelob AmberBock,Amber Lager/Vienna,Anheuser-Busch InBev
827,Metropolitan Shezmu Red Lager,Amber Lager/Vienna,Metropolitan Brewing
828,Northwest Peaks Double Redoubt Red,American Strong Ale,Northwest Peaks Brewery
829,Boneyard Diablo Rojo,Amber Ale,Boneyard Beer Company
830,Brickstone Irish Red Ale,Irish Ale,Brickstone Restaurant & Brewery
831,Wolf Hollow Amber,Amber Ale,Wolf Hollow Brewing Company
832,Georgia Tea Party,Amber Ale,Eagle Creek Brewing Company
833,508 Dorado Pampeana,Golden Ale/Blond Ale,508 Gastrobrewery
834,Agua Mala Marea Roja,Amber Ale,CervecerÃa Agua Mala
835,Sawtooth False Summit Amber Ale,Amber Ale,Sawtooth Brewery
836,Uncle Bear_s Head To Tale Amber,Amber Ale,Uncle Bear_s Brewery
837,Prohibition Pig Rufous,Amber Ale,Prohibition Pig
838,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Irish Ale,Cigar City Brewing
839,Dugges Juldricka,Amber Ale,Dugges Ale & Porterbryggeri
840,Dry City MiracAle Amber,Amber Ale,Dry City Brew Works
841,Atlas Pterodactyl Deathscream Imperial Red IPA,Imperial IPA,Atlas Brewing Company
842,Legends of the Bay Champlain 1615-2015,Amber Ale,Midland Beer Works
843,Ornery Occoquan Oats,Amber Ale,Ornery Beer Company Public House
844,Cartel Indiana Nights Imperial American Amber,Amber Ale,Brew Link Brewing
845,Hill Farmstead Amarillo Single Hop Pale Ale,American Pale Ale,Hill Farmstead Brewery
846,18th Street Barrel Aged Hunter,Sweet Stout,18th Street Brewery
847,Courtyard Nova Convention,Amber Ale,The Courtyard Brewery
848,Pints Pub Phonebox Amber,Amber Ale,Pints Pub Brewery & Freehouse
849,Chatham Amber,Amber Ale,Chatham Brewing
850,Grimm Brothers Ungrateful Son,Belgian Ale,Grimm Brothers Brewhouse
851,Padre Island Tailing Red Amber,Amber Ale,Padre Island Brewing Company
852,Hereford & Hops Cleary Red,Irish Ale,Hereford & Hops Restaurant & Brew Pub
853,S : t Eriks / Samuel Adams Transatlantic Belgian Red Strong Ale,Belgian Strong Ale,S : t Eriks Bryggeri &#40; Galatea &#41;
854,Bifferhaus Wacko Swami Amber Ale,American Strong Ale,Bifferhaus Brewing Company
855,Inlet Brewing Monk in the Trunk Organic Amber Ale,Amber Ale,Thomas Creek Brewery
856,Dry Dock Nautilus American Red,Amber Ale,Dry Dock Brewing Co. .
857,Aotearoa Mata Brown-Boy,Amber Ale,Aotearoa Breweries
858,Twains Blushing Ape Oatmeal India Red,Amber Ale,Twains Billiards and Tap
859,Bills Rudy_s Red,Irish Ale,Bills Tavern and Brewhouse
860,Asheville / Thirsty Monk Sister Bad Habit,Amber Ale,Asheville Brewing Company
861,Cigar City / DuClaw Impey Barbicane_s Moongun,Amber Ale,Cigar City Brewing
862,Flytrap Rehder_s Red Ale,Amber Ale,Flytrap Brewing
863,AmberWeiss Wheat Beer,German Hefeweizen,Kaluzhskaya &#40; Moskva-Efes &#41;
864,Mash Amber,Bitter,Mash Brewery &#40; Hampshire &#41;
865,10 Barrel Crosby Farms Harvest Fresh Hop Ale,India Pale Ale &#40; IPA &#41;,10 Barrel Brewing &#40; AB InBev &#41;
866,Bucks County Munich Autumn,Oktoberfest/M Ã $ rzen,Bucks County Brewery
867,7venth Sun Ruby Red Overhead IPA,India Pale Ale &#40; IPA &#41;,7venth Sun Brewery
868,SanTan Epicenter Amber Ale,Amber Ale,SanTan Brewing Company
869,Paw Paw Gus Meister Amber Ale,Amber Ale,Paw Paw Microbrewery
870,BandWagon Ezra Red Ale,Irish Ale,BandWagon Brewpub
871,Broad Ripple Firecracker Red Ale,Amber Ale,Broad Ripple Brewing Co. .
872,Big Spruce Ready Yer Knot ... Regatta Red Ale,Amber Ale,Big Spruce Brewing
873,Gun Hill Redcoat Resistance,Amber Ale,Gun Hill Brewing Company
874,Little Apple Rileys Red Ale,Amber Ale,Little Apple Brewing Co. .
875,Sherwood Production Line Red,Amber Ale,Sherwood Brewing Company
876,MÃ ² R Scode &#033;,Bitter,MÃ ² R Brewing
877,Illawarra Rust Amber Ale,Amber Ale,Illawarra Brewing Company
878,_ mog_ala Winter Ale,American Strong Ale,Joalda
879,Vizir Lucky Luke Sexy Ale,Amber Ale,Pivovarna Vizir
880,Bethlehem Brew Works Rockwell Red Ale,Amber Ale,Fegley_s Brew Works
881,Sick N Twisted Naughty Redhead Imperial Red Ale,Amber Ale,Sick N Twisted Brewing Company
882,Baerlic Arctos,American Strong Ale,Baerlic Brewing
883,Fresh Chios Beer / FrÃ © skia MpÃ 1/2 ra ChÃou &#40; House Ale &#41;,Golden Ale/Blond Ale,Chios Microbrewery
884,Swamp Head Part-Time Lubber,Amber Ale,Swamp Head Brewery
885,Blue Canoe Joe_s Electric Bill,Amber Ale,Blue Canoe Brewery
886,Manitou Tall Rev Red Ale,Amber Ale,Manitou Brewing Company
887,Angry Minnow Redhorse Ale,Irish Ale,Angry Minnow
888,8 Wired Extra Pils,Pilsener,Renaissance Brewing
889,Colleen_s Finest Amber Ale,Amber Ale,Hog_s Head Brewing Company
890,Bonneville Brewery Antelope Amber Ale,Amber Ale,Bonneville Brewery Company
891,Portsmouth Amber Dandy,Amber Ale,Portsmouth Brewery
892,Backpocket First Runnings,Imperial Stout,Backpocket Brewing
893,I & I Orange Flower Amber,Amber Ale,I & I Brewing
894,&#40; 512 &#41; Mole Cream Stout,Sweet Stout,&#40; 512 &#41; Brewing Company
895,Able Ebenezer Auburn Ale,Amber Ale,Able Ebenezer Brewing Company
896,10 Barrel Big Black Stout,Sweet Stout,10 Barrel Brewing &#40; AB InBev &#41;
897,Borderlands Santa Rita Amber Ale,Amber Ale,Borderlands Brewing Company
898,Elitch Gardens Fire Roasted Amber,Spice/Herb/Vegetable,Wynkoop Brewing Company
899,Bad Beat Ante Up Amber Ale,Amber Ale,Bad Beat Brewing
900,Buffalo Bayou Cedar Aged 1836,Premium Bitter/ESB,Buffalo Bayou Brewing
901,FOTM Hoosier Amber,Amber Ale,Fire on the Mountain Brewing Co. .
902,Momentum Brewhouse Knee Highs,American Strong Ale,Momentum Brewhouse
903,Alpha State Red Simcoe,India Pale Ale &#40; IPA &#41;,Alpha State
904,21st Amendment Larrys Last Call Ale,Amber Ale,21st Amendment Brewery
905,BrainDead Red,Amber Ale,BrainDead Brewing
906,Lompoc Saison d_Evolution,Saison,Lompoc Brewing
907,Milwaukee Ale House Louies Resurrection,Amber Ale,Milwaukee Ale House
908,McMinnville Malthouse Scaredman Cream Ale,Cream Ale,McMinnville Malthouse
909,Heartland Belgian Red Rooster,Amber Ale,Greenpoint Beer Works
910,Rocky Mountain Spirit Hill Amber,Amber Ale,Rocky Mountain Brewery
911,Rock Bottom Arlington Oatmeal Amber Ale,Amber Ale,Rock Bottom Arlington
912,Rhinelander Bad Hare Red Ale,Amber Ale,Minhas Craft Brewery
913,Rock Bottom Des Moines Mud in Your Eye Red,Amber Ale,Rock Bottom Des Moines
914,Avalanche Treasure Mountain Pale Ale,American Pale Ale,Avalanche Brewing Company
915,Pizza Boy Simcoe SamuRYE,Specialty Grain,Pizza Boy Brewing
916,Slow Boat Knot 51 Red Ale,Amber Ale,Slow Boat Brewery
917,Rock Bottom Minneapolis Mary Jane Amber Ale,Amber Ale,Rock Bottom Minneapolis
918,1912 Hoppy Amber,Amber Ale,1912 Brewing Company
919,Pinglehead / Brewer_s Pizza Artisans Blobde Ale,Golden Ale/Blond Ale,Pinglehead Brewing Co. / Brewer_s Pizza
920,Big Axe Amber Ale,Amber Ale,Big Axe Brewing Company
921,Flytrap Belgian Blonde,Belgian Ale,Flytrap Brewing
922,Suomenlinnan Coyet Ale,Bitter,Suomenlinnan Panimo
923,Backyard Brew Pub Rocking Red Chair,Amber Ale,Joseph James Brewing Company
924,Secret Engine Das Saftige,Amber Lager/Vienna,Rocky Point Artisan Brewers
925,Crown City Arroyo Amber Ale,Amber Ale,Crown City Brewery
926,Bruuveri Coral Reef Pretty Baby,India Pale Ale &#40; IPA &#41;,Panimoravintola Bruuveri
927,3 Rivers Delta Dark,Mild Ale,3 Rivers
928,Blackstone Sweet Tooth,Cream Ale,Blackstone Restaurant & Brewery
929,Anderson Valley Boont Barl Bourbon Barrel Amber Ale,Amber Ale,Anderson Valley Brewing Company
930,Shoreline Region Rat Red Ale,Irish Ale,Shoreline Brewery
931,Broadoak Amber Jack Cider,Cider,Broadoak Cider
932,Bemidji Harvest Red Ale,Amber Ale,Bemidji Brewing Company
933,_ t IJ Columbus,Belgian Strong Ale,Brouwerij _ t IJ
934,Bin SaskAle Prairie Grass Ale,Pale Lager,Great Western Brewing &#40; Canadian Brewing &#41;
935,Mad Beach #amberale,Amber Ale,Mad Beach Craft Brewing Company
936,Brew Brothers Copperopolis,Amber Ale,Brew Brothers &#40; Reno El Dorado Casino &#41;
937,21st Amendment Red Dwarf,Amber Ale,21st Amendment Brewery
938,Sackets Harbor War of 1812 Ale,Amber Ale,Olde Saratoga Brewing &#40; Mendocino Brewing Co. &#41;
939,Rateliers Bell de Loing AmbrÃ © e,Amber Ale,Les RÃ cents teliers
940,300 Suns Raspberry Red,Fruit Beer,300 Suns Brewing
941,Harmony Jackson_s Joy,Oktoberfest/M Ã $ rzen,Harmony Brewing Company
942,WeldWerks Red,Irish Ale,WeldWerks Brewing Co. .
943,Bare Hands Nugget Amber,Amber Ale,Bare Hands Brewery
