beer_key,alcohol_pct,beer_subtype,brewery_factory,brew_nm
105,-,Sour Red/Brown,Bristol Brewing Company,Bristol Skull & Bones Flanders Red
106,5.70 %,Amber Ale,Barley Forge Brewing Company,Barley Forge El Paisano
107,5.25 %,Amber Ale,Alpine Dog Brewery,Alpine Dog Hogback Amber Ale
108,5.50 %,Amber Ale,Gold Camp Brewing Company,Gold Camp Georgia_s Agave Amber Ale
109,5.50 %,German Hefeweizen,Area 51 Craft Brewery,Area 51 Planet Red Ale
110,5.50 %,Amber Ale,Columbus Brewing Company,Columbus Kashmir
111,-,Amber Ale,Bull City Burger and Brewery,Bull City Reel Amber
112,6.20 %,Amber Ale,Solvang Brewing Company,Solvang Dansk Amber Ale
113,6.80 %,Amber Ale,Shipyard Brewing Company,Peak Organic Espresso Amber Ale
114,3.80 %,Golden Ale/Blond Ale,Adirondack Pub and Brewery,Adirondack Bobcat Blonde Lager
115,5 %,Amber Ale,San Luis Valley Brewing Company,San Luis Valley Alamosa Amber
116,5.10 %,Amber Ale,Roundabout Brewery,Roundabout Rusted Route Amber Ale
117,7 %,American Strong Ale,Iron Hill Lancaster,Iron Hill Big Rye Wibby
118,5 %,Amber Lager/Vienna,4 Hands Brewing Company,4 Hands Vigilante
119,8 %,Doppelbock,Boxing Cat Brewery,Boxing Cat Dragons Fire Doppelbock
120,5 %,Amber Ale,Hamburg Brewing Company,Hamburg House Dressing
121,7 %,Amber Ale,Green Man Brewery,Green Man Blood of My Enemies
122,3.60 %,Bitter,Allendale,Allendale Evening Chronicle Christmas Beer
123,4.50 %,Brown Ale,14th Star Brewing Company,14th Star Maple Session Brown Ale
124,11 %,American Strong Ale,Laguna Beach Brewing,Laguna Beach Grateful Red Imperial Red Ale
125,5.50 %,Amber Ale,Kettle House Brewing Company,Kettle House Lake Missoula Amber
126,-,Belgian Strong Ale,5 Seasons North,5 Seasons North Ossabaw Island Ale
127,6.80 %,Scottish Ale,Invercargill Brewery,Yeastie Boys Hud-a-wa _ Strong
128,5.50 %,Amber Ale,Haymarket Pub & Brewery,Haymarket Jananna Dance Red Headed Ale
129,6 %,India Pale Ale &#40; IPA &#41;,Independence Brewing Co. .,Independence Brewing ROOD
130,4.30 %,Golden Ale/Blond Ale,Abbeydale,Abbeydale Moonshine
131,7.10 %,American Strong Ale,Lawson_s Finest Liquids,Lawson_s Finest Equinox Extra XPA
132,4.10 %,Amber Ale,Woodcock Brothers Brewing Company,Woodcock Brothers Amber Ale # 1
133,6.40 %,Amber Ale,Blind Tiger,Blind Tiger Little Red Corvette
134,7.10 %,India Pale Ale &#40; IPA &#41;,Modus Operandi Brewing Co. .,Modus Operandi Former Tenant
135,6.90 %,American Strong Ale,Glasstown Brewing Company,Glasstown Founders Ale
136,6.60 %,Amber Ale,Mountain Toad Brewing,Mountain Toad Apex Amber
137,5.30 %,Belgian Ale,DaDo Bier,DaDo Bier Red Ale
138,4 %,Session IPA,Coalition Brewing,Coalition Simple India Style Session Ale
139,5.60 %,Amber Ale,Downtown Joes Restaurant & Brewery,Downtown Joes Tail Waggin Amber Ale
140,5 %,Amber Ale,Oland Brewery &#40; AB-InBev &#41;,Alexander Keiths Red &#40; Amber Ale &#41;
141,7.60 %,Amber Ale,Denizens Brewing Company,Denizens Big Red Norm
142,5.20 %,Amber Ale,Coastal Empire Beer Co. .,Coastal Empire Southern Delight
143,8.80 %,American Strong Ale,Big Island Brewhaus,Big Island / Caldera Red Sea Imperial Red Gose
144,9 %,Amber Ale,Blue Pants Brewery,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red
145,4 %,Amber Ale,Roosters Brewing Co. &#40; US &#41;,Roosters Brewing Two-Bit Amber
146,8 %,Brown Ale,Church Street Brewing Company,51st Ward Conscious Sedation
147,5.20 %,Amber Ale,Great Baraboo Brewing Company,Great Baraboo Snake Eye Canyon Red Ale
148,-,Amber Ale,Bold City Brewery,Bold City European Street Cafe Lamp Post Ale
149,5.50 %,Amber Ale,River Horse Brewing Company,River Horse Special Ale
150,4 %,Golden Ale/Blond Ale,Adkin,Adkin Alfred_s Galaxy
151,5 %,Amber Lager/Vienna,Boxing Cat Brewery,Boxing Cat Ringside Red
152,8 %,American Strong Ale,Cucamonga Brewing Company,Cucamonga Jacked Up Red
153,5.50 %,Amber Ale,North Star Craft Brewery,North Star Horizons Amber Ale
154,4.20 %,Saison,3 Stars Brewing Company,3 Stars Lime Basil Saison &#40; Coconut &#41;
155,-,Amber Ale,Ipswich Ale Brewery,White Lion Insane Mane Red Ale
156,4 %,Amber Ale,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,Elk Rock Velvet Antler Amber Ale
157,7 %,Brown Ale,Abita Brewing Company,Abita Mint Julep Turbodog
158,4.50 %,Amber Ale,Sockeye Brewing,Sockeye Angels Perch Amber
159,5.20 %,Amber Ale,Crazy Mountain Brewing Company,Crazy Mountain Amber Ale
160,10.40 %,American Strong Ale,Double Barley Brewing,Double Barley Give _ Em Hell
161,6.80 %,Amber Ale,Old Schoolhouse Brewery,Old Schoolhouse Blazing Amber
162,4.50 %,Amber Ale,Pizza Boy Brewing,Pizza Boy Journeymen
163,4.80 %,Amber Ale,Adnams,Adnams / Devils Backbone American Amber
164,6.60 %,Belgian Ale,350 Brewing Company,350 El Scorcho Belgian Amber
165,5.50 %,Amber Ale,Kingdom Brewing,Kingdom Round Barn Red
166,6.80 %,Amber Ale,Kassiks Brewery,Kassiks Orion_s Quest Red Ale
167,5 %,Amber Ale,Lynnwood Grill & Brewing Concern,Lynnwood Bill & Ted_s Excellent Amber
168,6.50 %,Amber Ale,Lakewood Brewing Company,Lakewood Manimal
169,6 %,Belgian Ale,Fair Winds Brewing Company,Fair Winds Running Light Red
170,-,American Pale Ale,Blind Tiger,Blind Tiger Holy Grail Pale Ale
171,5.10 %,Amber Ale,Prescott Brewing Company,Prescott Manzanita Red
172,7 %,Amber Ale,Tahoe Mountain Brewing Company,Tahoe Mountain Ranch Dog Red
173,5 %,Amber Ale,Vancouver Island Brewery,Vancouver Island High Trail Honey Ale
174,8.60 %,American Strong Ale,Bottle Logic Brewing,Bottle Logic Imperial REDioactive
175,5.10 %,Specialty Grain,Books & Brews,Books & Brews Shogun Soba Ale
176,8 %,American Strong Ale,Island Hoppin _ Brewery,Island Hoppin _ Old Madrona
177,8.50 %,Imperial IPA,Modern Times Beer,Modern Times Mega Blazing World
178,-,Dunkler Bock,5 Seasons Brewing Company,5 Seasons Big Horn Bock
179,4 %,Amber Ale,Squatters Craft Beers,Squatters Respect Your Mother Organic Amber Ale
180,5.50 %,Golden Ale/Blond Ale,ZOE - Birrificio Trunasse,Birrificio Trunasse Zoe
181,4.80 %,Belgian Ale,Coronado Brewing Company,Coronado Monk In Tha Trunk
182,6.30 %,Smoked,Jackie O_s Pub & Brewery,Jackie O_s Smoke Ya Oats
183,5.80 %,Amber Ale,Bog Iron Brewing,Bog Iron Slap Happy Rye Amber
184,-,Porter,Harvest Moon Brewery &#40; NJ &#41;,Harvest Moon OQ Coffee Porter &#40; Frangelico Coffee w / Hazelnut &#41;
185,6 %,Amber Ale,Amnesia Brewing,Amnesia Crystal Red Ale
186,5.70 %,Amber Ale,Twelve Bar Brews,Twelve Bar Brews Turnaround Northwest Red Ale
187,4.80 %,Amber Ale,Wicked Weed Brewing,Wicked Weed Wicked Tea Party
188,5.70 %,Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Tap Room No. 21 Moe_s Backroom Amber Ale
189,3.80 %,Golden Ale/Blond Ale,Brodies,Brodies Shoreditch Sunshine
190,6 %,Amber Ale,Bloodline Brewing Company,Bloodline Through Silver In Blood Red Ale
191,11 %,American Strong Ale,Renaissance Brewing,8 Wired Mighty Imperial Ale
192,4.50 %,Premium Bitter/ESB,Combe Martin,Coombe Martin Hangmans Bitter
193,4.50 %,Amber Ale,Seven Brides Brewing Company,Seven Brides Emily_s Ember
194,9.20 %,Specialty Grain,Founders Brewing Company,Founders Barrel Aged Red_s Rye
195,9.50 %,American Strong Ale,Bagby Beer Company,Bagby Hop Whompus
196,5.30 %,Irish Ale,Crank Arm Brewing,Crank Arm Reflector
197,5.70 %,Amber Ale,F.X. Matt Brewing Company,Kirkland Signature Amber Ale
198,5 %,Golden Ale/Blond Ale,Banks Barbados Brewery,Banks Amber Ale
199,5 %,Specialty Grain,Glutenberg Craft Brewery,Glutenberg 8
200,5.20 %,Amber Ale,JoBoy_s Brew Pub,JoBoy_s Manheim Red
201,8 %,Imperial IPA,7 Seas Brewing,7 Seas Ballz Deep Double IPA
202,5 %,Amber Ale,WharfeBank,Firestorm Red Angel
203,5 %,Amber Ale,Granite Falls Brewing Company,Granite Falls Bushfire American Red Ale
204,5.90 %,Amber Ale,Canteen Brewhouse &#40; was Il Vicino Pizzeria and Brewery &#41;,Il Vicino Dougie Style Amber
205,5.60 %,Amber Ale,Purrumbete Brewing,Red Duck Hoppy Amber
206,6.20 %,Amber Ale,Imperial Oak Brewing,Imperial Oak Roil Red
207,5 %,Amber Ale,Black Forest Brau Keller,Black Forest Brau Keller Grateful Red
208,6 %,Amber Ale,Parallel 49 Brewing Company,Parallel 49 Gypsy Tears Ruby Ale
209,5 %,Irish Ale,Cigar City Brewing,Brew Bus Rollin Dirty Red Ale - Cedar Aged
210,8 %,American Strong Ale,Dead Frog Brewery,Fuggles & Warlock Hyper Combo Red Rye IPA
211,5.40 %,American Pale Ale,Lion Brewery,American Honor Declaration Ale
212,-,Irish Ale,Bilbos Pizza In A Pan,Bilbos Dragon Red Ale
213,-,Amber Ale,Americas Brewpub,Americas American Red Ale
214,6.50 %,Amber Ale,Phat Matt_s Brewing Company,Phat Matt_s Red Ale
215,6.80 %,American Strong Ale,Seabright Brewery,Seabright Sacrilicious Ale
216,7.80 %,India Pale Ale &#40; IPA &#41;,Good People Brewing Company,Good People Stepchild Belgian India Red Ale
217,9 %,Spice/Herb/Vegetable,Black Sky Brewery,Black Sky Imperial Petal to the Metal
218,8.20 %,American Strong Ale,Phillips Brewing Co. .,Phillips Double Dragon Imperial Red Ale
219,5.20 %,Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale
220,6.10 %,Amber Ale,Fitgers Brewhouse,Fitgers Daisy Ale
221,6 %,Irish Ale,Council Rock Brewery,Council Rock Sleeping Lion Red Ale
222,5 %,Amber Ale,Columbia Brewery &#40; Labatt-InBev &#41;,Kootenay True Ale
223,5 %,Amber Ale,Gonzo_s BiggDogg Brewing,Gonzo_s BiggDogg Burning Sun Redd
224,5.50 %,Amber Ale,Ballast Point Brewing Company,Ballast Point Calico Amber Ale - Coffee
225,6 %,English Strong Ale,Abbey Ales,Abbey Cardinal Sin
226,5.20 %,Brown Ale,Alameda Brewing Co. .,Alameda Brickhouse Brown
227,5.50 %,Brown Ale,101 Brewery & Twana Roadhouse,101 Hook Tender Honey Brown Ale
228,9 %,American Strong Ale,Amsterdam Brewing Company,Amsterdam X Indie Alehouse Shapeshifter
229,6.20 %,Amber Ale,Anacapa Brewing Company,Anacapa Santa Rosa Red
230,10 %,Belgian Strong Ale,Kuhnhenn Brewing,Kuhnhenn Irreverent
231,5.80 %,Amber Ale,Spoonwood Brewery,Spoonwood Cold Drip City
232,6.50 %,Belgian Ale,L_Olmaia,L_Olmaia La 9
233,5 %,Irish Ale,Pisgah Brewing Company,Pisgah Ryan_s Red Ale
234,5.50 %,Amber Ale,BARTS Brewpub,BARTS Cardinal Red Ale
235,8.40 %,American Strong Ale,The Brew Gentlemen Beer Company,The Brew Gentlemen Business Casual
236,-,Irish Ale,Angelic Brewing Company,Angelic Big Red Ale
237,-,Amber Ale,Park Tavern Brewery,Park Tavern Olmsted Amber
238,5.50 %,Bitter,Les Brasseurs du Hameau,Les Brasseurs du Hameau d_Ham-Sud Rousse Bitter
239,5 %,Amber Ale,The B.O.B.s House of Brews,B.O.B. Crimson King
240,9 %,Belgian Strong Ale,Deep Cove Brewers,Deep Cove Small Victories
241,6.50 %,Amber Ale,Claremont Craft Ales,Claremont Craft Ales Dis-Roble_d
242,5.10 %,Porter,Black Swan Brewpub,Black Swan Cherrywood Smoked Porter
243,4.20 %,Bitter,Central Coast Brewing,Central Coast Topless Amber
244,4.70 %,Amber Ale,Broken Tooth Brewing Company,Broken Tooth Northern Lights Amber
245,4.50 %,Specialty Grain,Alpine Dog Brewery,Alpine Dog Black Rye Session Pale Ale
246,6.20 %,Amber Ale,Cigar City Brewing,Cigar City IWCB Unite
247,4.80 %,Amber Ale,_ La FÃ '' t,_ La FÃ '' t La Rousse Rustre
248,-,Bitter,5 Seasons Westside,5 Seasons Westside The Huntsman
249,6 %,Amber Ale,Stallhagen,Stallhagen US Red Ale
250,6.04 %,Amber Ale,Assawoman Bay Brewing Company,Assawoman Bay Coastal Edge Copper
251,5.50 %,Specialty Grain,75th Street Brewery,75th Street Red Eye Rye
252,8.20 %,Imperial IPA,Siren,Siren Batch 200 Liquid Monstrous
253,9 %,Imperial IPA,Cambridge Brewing Company,Cambridge Red God IPA
254,-,Amber Ale,Cool Springs Brewing Company,Cool Springs Fatback Amber Ale
255,4.50 %,Amber Ale,Gilgamesh Brewing,Gilgamesh Pumphouse Copper Ale
256,5.80 %,Irish Ale,Karl Strauss Brewing Company,Karl Strauss Red Trolley Ale
257,5.50 %,Irish Ale,Broken Bow Brewery,Broken Bow Red Ale
258,5.70 %,Amber Ale,Breakwater Brewing Company,Breakwater Railslide Red
259,6 %,Oktoberfest/M Ã $ rzen,1933 Brewing Company,1933 Oktoberfest
260,5.20 %,American Pale Ale,La Jolla Brewhouse,La Jolla Brewhouse Blue Whale Pale Ale
261,7 %,Stout,House Ales,House Ales Crack of Noon
262,5 %,Amber Ale,Squam Brewing,Squam Asquam Amber Ale
263,5.50 %,Amber Ale,August Schell Brewing Company,Jumping Cow Amber Ale
264,5.60 %,Belgian Ale,Big Wood Brewery,Big Wood Stump Splitter : Dates & Ginger
265,5.50 %,Amber Ale,Baja Brewing Co. .,Baja Peliroja
266,5.20 %,Scottish Ale,Cold Spring Brewery,Angus MacDougals Scottish Red Ale
267,-,Amber Lager/Vienna,Bonfire Bistro and Brewery,Bonfire Vulcans Vienna Ale
268,-,Amber Ale,Brady_s Brewhouse,Brady_s Absolutely Amber
269,4.50 %,Amber Ale,Les BiÃ ¨ res de la Nouvelle-France,Les BiÃ ¨ res de la Nouvelle-France Nouvelle-France Rouge
270,5.70 %,Scottish Ale,Cascade Lakes Brewing Co. .,Cascade Lakes Angus MacDougals Amber
271,5.70 %,Amber Ale,Big Al Brewing,Big Al Amber &#40; Tutta Bella &#41;
272,5.50 %,Amber Lager/Vienna,Coors Brewing Company &#40; MillerCoors &#41;,AC Golden Colorado Native Amber Lager
273,5.50 %,Amber Ale,Casa Bruja Brewing Co. .,Casa Bruja Sir Francis Red Ale
274,6.70 %,Cider,Bird Dog Brewing,Bird Dog Maggie_s Cider Ale
275,4.10 %,Golden Ale/Blond Ale,Goldstone,Goldstone Old Charmer
276,4.50 %,Amber Ale,Budge Brothers Brewery,Budge Brothers Spokamber 509 Amber Ale
277,-,Amber Ale,Alaskan Brewing Company,Alaskan Taku River Red
278,5.40 %,Spice/Herb/Vegetable,Odell Brewing Company,Odell Mean Street Pumpkin Ale
279,4.50 %,Brown Ale,Borderlands Brewing Company,Borderlands La Morena Brown Ale
280,7.20 %,Amber Ale,Fogbelt Brewing Company,Fogbelt Hyperion Red Ale
281,5.50 %,Amber Ale,Rush River Brewing Company,Rush River The Unforgiven Amber Ale
282,6.20 %,Amber Ale,Grist House Brewing,Grist House Camp Slap Red
283,11 %,Imperial Stout,Amager Bryghus,Amager Hr . Frederiksen &#40; Colorado Whiskey Edition &#41;
284,5 %,Amber Ale,Ballast Point Brewing Company,Ballast Point Calico Amber Ale - Rum Barrel Aged
285,5 %,Amber Ale,Blue Tractor BBQ & Brewery,Blue Tractor Smokehouse Amber
286,-,Amber Ale,Uncle Billys Brew & Que Smokehouse & Brewery,Uncle Billys Bitchin Camaro
287,5.50 %,Amber Ale,Aarhus Bryghus,Aarhus Cains Triple A American Amber Ale
288,6.40 %,Irish Ale,Deschutes Brewery,Deschutes Fire King IRA
289,6 %,Amber Ale,Lenny Boy Brewing Company,Lenny Boy No-Show Amber
290,5 %,Amber Ale,Adirondack Pub and Brewery,Adirondack Bear Naked Ale
291,6 %,Amber Ale,Mudhook Brewing Company,Mudhook Live Bait Amber Ale
292,6.80 %,Amber Ale,Auburn Alehouse &#40; CA &#41;,Auburn Alehouse Scarlet Harlot
293,6 %,Amber Ale,Sigtuna Brygghus,Sigtuna Red Ale
294,4.99 %,Amber Ale,Americas Brewpub,Americas Aurora Amber Ale
295,-,Amber Ale,Tahquamenon Falls Brewery,Tahquamenon Falls Tannin Red
296,6.70 %,Amber Ale,Ladyface Ale Companie,Ladyface Agoura Ale
297,7.50 %,American Strong Ale,Mornington Peninsula Brewery,Mornington Peninsula Imperial Amber
298,5.50 %,Belgian Ale,De Dochter van de Korenaar,De Dochter van de Korenaar Noblesse Very Special Old Pale &#40; VSOP &#41;
299,-,Amber Ale,John Harvards Brewhouse Lake Grove,John Harvards Colonial Red
300,5.50 %,Amber Ale,Carters Brewing Co. .,Carters Roundhouse Red Ale
301,6 %,Smoked,CraftHaus Brewery,CraftHaus Unite Smokey Red
302,7 %,Saison,Bottle Logic Brewing,Bottle Logic Sunspear Saison
303,8.20 %,Smoked,Triple C Brewing Company,Triple C Imperial Smoked Amber
304,5 %,American Pale Ale,Alpha Brewing Company,Alpha Golden Nugget Pale Ale
305,-,Amber Ale,Legends Brewhouse & Eatery,Legends Jack Rabbit Red Ale
306,5.30 %,English Pale Ale,SkellefteÃ ¥ Bryggeri,Kallholmen Levande Ale
307,4.80 %,BiÃ ¨ re de Garde,Uberach,Uberach Doigt de Dieu
308,-,Golden Ale/Blond Ale,John Harvards Brewhouse Lake Grove,John Harvards Golden Honey Ale
309,6.70 %,Spice/Herb/Vegetable,LuPine Brewing Company,LuPine Convocation Tea Ale
