sku_id,sale_price,product_category,label,product_ref
1135,446.99,electronics - general,da-lite,73263
1136,1069.0,electronics - general,elite screens,pvr135h1
1137,19.99,electronics - general,coolermaster,rr-910-htx3-g1
1138,29.99,electronics - general,griffin technology,gc23073
1139,598.0,laptop computers,,
1140,89.99,electronics - general,genius,31340145100
1141,71.98,hard drives,western digital,wdbabv5000abk-nesn
1142,149.82,electronics - general,hp,ar482at
1143,64.88,electronics - general,sabrent,usb-daah
1144,13.47,stationery & office machinery,,ad50
1145,89.0,digital cameras,kodak,m531 red
1146,476.0,electronics : flat panel tv,lg,32lv2500
1147,74.94,stationery & office machinery,,46390
1148,102.97,home care,crown,nr0310gy
1149,116.0,camera and camcorder accessories,sony,vf67cpam
1150,16.82,computers,franklin,ncs101
1151,16.97,stationery & office machinery,,64126
1152,171.54,dvd players,magnavox,zv457mg9
1153,8.98,computers,,
1154,64.82,hard drives,western digital,wd1200beve
1155,99.99,electronics - general,ihome,id9s
1156,13.92,memory,edge,pe189198
1157,59.99,dvd players,samsung,dvd-c500
1158,1744.95,electronics - general,draper,101183
1159,13.88,electronics - general,gear head,wc740i
1160,933.95,electronics - general,draper,252017
1161,3695.99,electronics - general,draper,116239
1162,50.0,stationery & office machinery,quartet,b243g
1163,38.0,camera and camcorder accessories,joby,gp3a1en
1164,208.99,electronics - general,da-lite,4774
1165,14.98,digital cameras,polaroid,pif-300
1166,578.0,laptop computers,dell,
1167,10.84,usb drives,ep memory,sc-snowsp/4g
1168,7.88,electronics - general,belkin,f3u138b06
1169,9.76,electronics - general,v7,v7n2c6-25f-grns
1170,59.88,prepaid wireless phones,at t,a187
1171,5.09,stationery & office machinery,wilson jones,
1172,10.94,stationery & office machinery,acco,26101
1173,12.99,camera and camcorder accessories,kodak,hard case red
1174,18.98,stationery & office machinery,avery,05889
1175,8.88,phone accessories,arkon,ca9931
1176,5.15,stationery & office machinery,,81034
1177,82.0,electronics - general,da-lite,72120
1178,6128.99,electronics - general,da-lite,27651
1179,3.83,stationery & office machinery,sharpie,
1180,73.35,photography - general,canon,
1181,22.94,stationery & office machinery,,47911
1182,41.99,memory,kingston,khx1800c9d3/2g
1183,40.33,electronics - general,vantec,ugt-uc302cb
1184,9.88,electronics - general,human toolz,3n1ngr
1185,39.99,mp3 accessories,griffin technology,gb01759
1186,169.0,electronics : flat panel tv,rca,22la45rq
1187,229.0,digital cameras,sony,dsc-h70 / bbdl
1188,611.54,electronics - general,epson,v11h381020
1189,39.99,mp3 accessories,marware,602956007722
1190,43.99,mp3 accessories,marware,602956008545
1191,12.88,electronics - general,siig,cb-dp0d11-s1
1192,239.99,networking,trendnet,tegs24g
1193,12.85,photography - general,ape case,ac165
1194,19.47,printers,hp,hp cb337wn140
1195,46.88,electronics - general,targus,cpt301us
1196,9.99,mp3 accessories,mach speed,eclarm180
1197,24.84,mice,kensington,k72335us
1198,129.98,hard drives,iomega,34337
1199,56.88,electronics - general,adesso,wkb-3100ub
1200,13.88,mp3 accessories,verbatim,95003
1201,26.99,mice,team pro mark,msnf01
1202,27.99,electronics - general,case logic,147737
1203,2897.95,electronics - general,draper,102185
1204,10682.45,electronics - general,draper,114099
1205,117.54,software,microsoft,164-06233
1206,16.99,stationery & office machinery,bic,rtr5711-blu
1207,5.88,storage,rubbermaid,40406ros
1208,11.88,stereos/audio,xantech,283dmw
1209,68.0,digital cameras,polaroid,cia-1237pc
1210,94.88,mp3 accessories,verbatim,97335
1211,11.88,tv accessories,zax,87203
1212,43.88,usb drives,aleratec,380103
1213,376.99,electronics - general,da-lite,7031
1214,12.99,electronics - general,motion systems,p10slv85-ast
1215,498.0,electronics - general,,
1216,38.0,furniture,chief manufacturing,
1217,59.84,hard drives,verbatim,ver97185
1218,10.26,usb drives,v7,vasdh8gcl4r-1n
1219,193.45,electronics - general,cyberpower,cp1350pfclcd
1220,28.98,electronics - general,powermat,pmm-1p4-b19
1221,29.98,electronics - general,tribeca,fva2720
1222,19.99,car stereos,iwave,ia300
1223,41.39,electronics - general,siig,ju-sa0b12-s1
1224,100.21,electronics - general,vantec,nst-400mx-sr
1225,24.2,electronics - general,vantec,nst-d100s2
1226,219.99,digital cameras,sony,dsc-t110 / r
1227,219.0,digital cameras,sony,dsc-wx9 / b
1228,219.99,digital cameras,sony,dsc-t110 / v
1229,24.99,electronics - general,tribeca,fva3437
1230,26.88,usb drives,maxell,665107
1231,548.0,electronics : flat panel tv,vizio,e421vl
1232,49.88,mp3 accessories,case logic,ifol-202black
1233,239.99,software,acd systems,acdcd70845wi
1234,9.24,electronics - general,ge,50246
1235,39.0,electronics - general,mobile edge,mecme3
1236,69.99,stationery & office machinery,royal consumer,29160j
1237,234.54,printers,hp,q2429a
1238,28.54,software,microsoft,egc-00001
1239,129.82,electronics - general,amd,100-505533
1240,249.98,electronics - general,visioneer,prw120-wu
1241,13.64,stationery & office machinery,sharpie,32701
1242,15.82,mice,gear head,mp2800blk
1243,28172.7,electronics - general,draper,127164
1244,21.78,mp3 accessories,belkin,f8z414
1245,14.99,mp3 accessories,simplism,tr-pfipd2-ag / en
1246,17.88,mp3 accessories,i-tec electronics,t6020
1247,31.88,mp3 accessories,targus,apd0401us
1248,60.94,accessories apparel,,75406
1249,62.88,portable audio,jwin,isp210blu
1250,59.99,electronics - general,roocase,219534
1251,46.88,electronics - general,diamond,5450pe3512sb
1252,37.88,electronics - general,samsung,60-2707-05
1253,7.9,stationery & office machinery,scotch,c38bk
1254,72.94,stationery & office machinery,,24532b
1255,18.39,electronics - general,case logic,154701
1256,55.88,networking,netgear,wn604-100nas
1257,3561.99,electronics - general,da-lite,27503
1258,787.99,electronics - general,da-lite,82973
1259,39.0,electronics - general,everki,everki ekf808s18
1260,247.5,networking,netgear,gs108pe100nas
1261,16.15,car stereos,bracketron,ufm-210-bl
1262,89.99,photography - general,manfrotto,mb-sm390-5bc
1263,29.99,photography - general,digipower,tptr47dbl
1264,0.0,electronics - general,just wireless,04222
1265,9.88,electronics - general,digital innovations,4190200
1266,12.98,camera and camcorder accessories,bower,relaunch ss26gr
1267,19.99,furniture,us brown bear,
1268,39.54,portable audio,disney,ts500b
1269,35.75,tv accessories,comprehensive,spj-s
1270,17.32,mp3 accessories,verbatim,95166
1271,19.72,mp3 accessories,verbatim,95339
1272,47.54,electronics - general,jvc,haw600rf
1273,2049.0,electronics - general,draper,101186
1274,1551.95,electronics - general,draper,200129
1275,1075.0,electronics - general,draper,241032
1276,149.0,monitors,viewsonic,va1932wm
1277,148.0,camera and camcorder accessories,joby,gp8bhen
1278,6.39,stationery & office machinery,bic,bwl3012-whi
1279,9.5,electronics-inflexible kit,,
1280,37.94,stationery & office machinery,rolodex,23390
1281,0.0,electronics - general,generic,43225001094
1282,112.0,networking,d-link,dhp-347av
1283,14.14,portable audio,sakar,79733ns
1284,9.76,electronics - general,v7,v7n2c6-25f-reds
1285,11.47,stationery & office machinery,,1510
1286,229.0,storage,mayline,btbf20lcr
1287,31.5,stationery & office machinery,quartet,ct1711
1288,5.37,stationery & office machinery,avery,79369
1289,16.94,stationery & office machinery,tops business forms,7572
1290,3.98,networking,link depot,c6m-14-ylb
1291,143.99,furniture,peerless,
1292,7.47,stationery & office machinery,national products ltd.,20122
1293,31.69,stationery & office machinery,avery,4020
1294,11.94,stationery & office machinery,avery,8165
1295,119.99,networking,d-link,dir412
1296,1609.99,electronics - general,da-lite,27604
1297,7.98,usb drives,v7,vasdh4gcl6r-1n
1298,13.67,electronics - general,lenovo,41u4820
1299,38.0,dvd accessories,sony,npfh50
1300,41.99,stationery & office machinery,,2015
1301,11.98,usb drives,vivitar,viv-rw-50
1302,47.55,portable audio,ihome,ihm79sc
1303,29.98,handbags,tribeca,fva2777
1304,18.54,mp3 accessories,tribeca,fva3767
1305,34.99,electronics - general,allsop,30272
1306,7.0,electronics-inflexible kit,,
1307,0.0,electronics - general,general electric,54263
1308,0.0,electronics - general,general electric,18171
1309,11.88,memory,edge,pe158842
1310,122.29,electronics - general,kensington,kmw62348
1311,50.92,memory,kingston,kvr400x64c3a1g
1312,16.88,electronics - general,philips,dlm4313/17
1313,30.29,electronics - general,koss,ispark
1314,80.29,computers,samsill corporation,sam39403
1315,294.84,monitors,optoma,bl-fp230c
1316,19.99,electronics - general,case logic,87974
1317,85.99,mp3 accessories,tenba,136902
1318,188.99,tv accessories,middle atlantic,pdt-2020c-ns
1319,14.88,electronics - general,belkin,f8e262-blk
1320,38.92,memory,kingston,m25664f50
1321,14.88,electronics - general,fellowes,91441
1322,14.88,portable audio,mutant,mig-ps1-4
1323,77.84,hard drives,verbatim,97060
1324,19.88,mice,kensington,k72343us
1325,135.25,electronics - general,cobra,xrs-9645
1326,18.99,electronics - general,skooba design,890-312
1327,423.8,electronics - general,draper,129002
1328,2436.45,electronics - general,draper,101180
1329,2332.95,electronics - general,draper,111534
1330,882.5,electronics - general,draper,116305q
1331,824.99,electronics - general,draper,252099
1332,9137.2,electronics - general,draper,125075
1333,4375.95,electronics - general,draper,106062
1334,0.0,printers,canon,
1335,85.39,stationery & office machinery,hon,
1336,27.8,electronics - general,case logic,ula-116gray
1337,28.88,electronics - general,kroo,11929
1338,37.94,stationery & office machinery,,75174
1339,7.99,electronics - general,general tools,1261-2
1340,15.98,electronics - general,cta,mr-enel9
1341,17.99,hand tools,stanley,680-33-691
1342,4.88,electronics - general,v7,v7n2c6-03f-blks
1343,749.99,television,philips,46pfl3706/f7
1344,0.0,usb drives,sony,sf8n4/tqp
1345,11.25,electronics - general,innovera,51452
1346,24.98,software,encore,15060
1347,35.0,networking,zoom,30370000g
1348,179.82,networking,buffalo technology,lswx10tl1d
1349,67.82,garden - general,night owl,cam-s420-245a
1350,1079.73,garden - general,clover electronics,tbun0830
1351,518.0,laptop computers,lenovo,43113hu
1352,179.0,television,sceptre,e240rc-fhd
1353,49.99,memory,kingston,khx1600c9d3x2k2/4gx
1354,29.99,electronics - general,tribeca,fva3168
1355,30.0,electronics - general,coolermaster,rrvtps28pkr1
1356,729.0,electronics - general,viewsonic,pjd7383
1357,10.88,mice,digital innovations,4230300
1358,47.94,stationery & office machinery,,3266bl
1359,44.88,photography - general,sony,bcvw1
1360,35.88,mp3 accessories,iluv,icc816blk
1361,349.0,electronics - general,lg,m2380d
1362,5.27,stationery & office machinery,,
1363,34.88,electronics - general,panasonic,rp-hx40-pk
1364,429.0,desktop computers,hp,hp s5-1020
1365,29.99,electronics - general,tribeca,fva4614
1366,17.88,electronics - general,belkin,be108230-06
1367,67.84,electronics - general,razer,lycosa
1368,159.98,hard drives,rocstor,g222r2-01
1369,98.84,hard drives,apricorn,d809wcdel60
1370,49.88,networking,zyxel,wap3205
1371,19.88,mice,lifeworks,ihm153or
1372,10.88,stationery & office machinery,dymo,30277
1373,0.0,photography - general,sunpak,sp-lp1-mw
1374,336.54,electronics - general,infocus,
1375,1501.95,electronics - general,draper,112051
1376,6.28,toys - general,merkury,m-sep300
1377,179.49,furniture,office star,
1378,20.52,electronics - general,inland,08419
1379,20.23,car stereos,scosche,se69r
1380,74.99,electronics - general,samsung,c3050
1381,30.0,camera and camcorder accessories,kodak,
1382,15.19,mp3 accessories,case logic,214336
1383,789.0,television,,
1384,4.88,electronics - general,v7,v7n3c5e-05f-blk
1385,14.47,stationery & office machinery,,t4850l
1386,9.47,stationery & office machinery,avery,50007
1387,47.0,car stereos,sony,xs-r1644
1388,59.99,electronics - general,cocoon innovations,cps365bk
1389,17.49,bath,,i4010wh
1390,2285.99,electronics - general,da-lite,40320
1391,47.54,stationery & office machinery,inland,05302
1392,18.0,toys - learning systems,disney,ts390acr
1393,19.94,stationery & office machinery,,2514500
1394,19.94,photography - general,joby,gp1aten
1395,38.0,photography - general,sony,shl2am
1396,358.0,stereos/audio,dj tech,t545a
1397,0.0,stereos/audio,sharp,xl-dh259n
1398,79.88,networking,netgear,wn3000rp100nas
1399,213.99,electronics - general,luxor,lp42cle-b
1400,29.88,printers,hp,hp ch566a
1401,168.98,electronics - general,xerox,xerox card scanner 200
1402,34.82,mice,adesso,gp-160pb
1403,7.88,phone accessories,arkon,ca8655
1404,9.84,usb drives,ep memory,bh-skthpt/2g
1405,425.0,printers,ibm,28p2010
1406,10.94,stationery & office machinery,,75464
1407,16.82,electronics - general,startech,
1408,139.0,digital cameras,olympus,228175 kit
1409,13.88,electronics - general,startech,dvidsmf6
1410,486.95,electronics - general,draper,206020
1411,17.35,garden - general,max,50fe
1412,22.94,stationery & office machinery,post-it,c50
1413,28.88,mice,logitech,910-002463
1414,499.99,gps,clarion,vz401
1415,449.0,software,adobe,adbcd21340wiae
1416,498.0,desktop computers,acer,pu.vd703 .001
1417,6.09,stationery & office machinery,wilson jones,
1418,565.2,printers,lexmark,t650h11a
1419,11.88,electronics - general,innovera,51451
1420,20.15,stationery & office machinery,avery,05694
1421,7.94,stationery & office machinery,tops business forms,65100
1422,14.94,stationery & office machinery,avery,5972
1423,12.88,usb drives,pny,p-fd4gb / mini-efm1
1424,139.82,electronics - general,nzxt,nzxt phantom
1425,1223.99,electronics - general,da-lite,34723
1426,379.0,electronics - general,elite screens,vmax92xwv2
1427,27.99,electronics - general,everest,207657
1428,0.0,electronics - general,wireless gear,au477
1429,26.88,electronics - general,coolmax,hd-381bz-u3
1430,13.49,mp3 accessories,ten one design,t1-af25-407
1431,829.0,electronics - general,apple,mc987ll/a
1432,19.88,electronics - general,blackberry,acc-39316-301
1433,369.0,desktop computers,hp,hp s5-1010
1434,0.0,electronics - general,mainstays,ms11-021-208-63
1435,47.82,networking,u.s. robotics,usr5637
1436,20.88,electronics - general,cyberpower,850
1437,27.98,electronics - general,plantronics,da-40
1438,14.88,electronics - general,startech,pci420usb
1439,144.84,printers,samsung,clt-r409
1440,7.88,electronics - general,cables to go,03131
1441,19.88,mp3 accessories,verbatim,94892
1442,129.82,computers,aleratec,350107
1443,29.99,networking,belkin,f7d1101
1444,2664.0,electronics - general,draper,111324
1445,772.95,electronics - general,draper,116025
1446,10.99,stationery & office machinery,bic,grem11-blk
1447,6.88,electronics - general,zax,87704
1448,299.95,stereos/audio,gemini,cdmp-1400
1449,63.99,electronics - general,atlantic,38806138
1450,49.0,mp3,visual land,me965l4gbwht
1451,17.88,electronics - general,logitech,920-003198
1452,9.94,stationery & office machinery,,13529
1453,7.94,stationery & office machinery,sharpie,1747388
1454,326.24,stationery & office machinery,lexmark,x644a11a
1455,5.54,stationery & office machinery,tops business forms,74109
1456,21.94,stationery & office machinery,swingline,74030
1457,7.42,accessories apparel,avery,
1458,178.0,camcorders,sony,mhs-ts10 / b
1459,12.98,mp3 accessories,sentry,sentry dj style bk
1460,16.88,electronics - general,sonnet technologies inc,kp-mb
1461,449.92,prepaid wireless phones,nokia,n8 green
1462,9.2,stationery & office machinery,,216070b16
1463,59.0,furniture,us brown bear,
1464,29.82,garden - general,mace security,ko-60
1465,79.0,digital cameras,kodak,c195 red bndle
1466,37.59,electronics - general,roocase,212537
1467,39.99,electronics - general,slappa,nsv-121
1468,180.0,car stereos,boss,bv9958b
1469,62.88,electronics - general,whistler,rlc-360
1470,449.0,television,toshiba,40e210u
1471,1599.0,electronics - general,epson,elpd6250
1472,299.99,electronics - general,interlink,vp6345
1473,11.88,stereos/audio,xantech,cpl10
1474,4.88,electronics - general,belkin,f3n401-06-ice
1475,58.88,networking,netgear,wn511b100nas
1476,166.88,handheld gps,garmin,010-00633-00
1477,69.99,networking,actiontec,hle0850001k
1478,129.0,electronics - general,penpower,swocr0038
1479,94.82,electronics - general,antec,solo
1480,40.84,electronics - general,fellowes,98915
1481,104.88,electronics - general,penpower,swlea0010
1482,150.0,automotive - general,cobra,29-wxnwst
1483,11.88,electronics - general,koss,cs-95
1484,46.48,toys - games,sakar,32070
1485,15.27,computers,trendnet,tus9
1486,19.88,electronics - general,startech,pci1394_4
1487,64.88,memory,kingston,ktm-tp9828 / 1g
1488,169.99,software,nuance,f309a-g00-12 .0
1489,73.24,stationery & office machinery,quartet,7693m
1490,1933.95,electronics - general,draper,102207
1491,1391.0,electronics - general,draper,115004
1492,440.4,electronics - general,draper,132003
1493,0.0,electronics - general,energizer,962266
1494,1622.45,electronics - general,draper,104255
1495,1094.99,electronics - general,draper,250010
1496,22.49,stationery & office machinery,bic,rt7511-red
1497,0.0,stationery & office machinery,disney,
1498,145.0,electronics - general,visiontek,900368
1499,8.88,stationery & office machinery,officemate,97228
1500,22.29,stationery & office machinery,rediform office products,
1501,39.88,electronics - general,logitech,985-000283
1502,24.99,electronics - general,tribeca,fva3959
1503,7.97,stationery & office machinery,avery,79802
1504,59.88,stationery & office machinery,kensington,k72353us
1505,31.38,electronics - general,targus,cvr600-wit
1506,10.94,stationery & office machinery,wilson jones,21402
1507,729.99,electronics - general,elite screens,vmax135xwh2
1508,13.97,printers,canon,4547b001
1509,58.88,usb drives,imation,27861
1510,18.57,tv accessories,cables unlimited,gam-2295-06
1511,178.54,digital cameras,canon,4925b001aa
1512,33.84,electronics - general,uniden,d1680
1513,20.88,mp3 accessories,scosche,ipd2pcbk
1514,299.99,tv accessories,universal remote,kp-900bl
1515,67.88,electronics - general,targus,cpt401dus
1516,17.92,memory,kingston,kvr667d2s5/1g
1517,89.88,electronics - general,solo,pt1364
1518,94.54,electronics - general,rf link,avs-5811
1519,12.88,electronics - general,startech,sveconus6
1520,229.98,mp3 accessories,iomega,33716
1521,75.88,electronics - general,startech,pciscsiuw
1522,58.78,stationery & office machinery,hp,q1413a
1523,7.01,electronics - general,maxell,eb-pk
1524,1486.95,electronics - general,draper,104015
1525,29.98,walkie-talkie/frs,cobra,cx-105
1526,6.64,stationery & office machinery,sharpie,1742662
1527,16.08,stationery & office machinery,bic,gdem11-blk
1528,24.99,printers,innovera,m4640
1529,24.0,electronics - general,dell,8cmcy
