record_id,pub_authors,yr_published,pub_forum,paper_name
51457,"lw beineke , sm hegde",2001.0,"discussiones mathematicae graph theory ,",strongly multiplicative graphs
51458,ca grove,,,"usa , 1999"
51459,"s chaudhuri , v narasayya , r ramamurthy",2004.0,,estimating progress of long-running queries
51460,"ga wiggins , k lemstrom , d meredith",,,sia ( m ) : a family of efficient algorithms for translation-invariant pattern matching in
51461,"j diederich , j milton",1988.0,"acm transactions on database systems ,",new methods and fast algorithms for database normalization
51462,"d couger , l higgins , s mcintyre",,"proceedings of the 23rd hawaii international conference on & hellip ; ,","differentiating creativity , innovation , entrepreneurship , intrapreneurship , copyrighting and"
51463,"a levy , a rajaraman , j ordille",1996.0,"proc . vldb conference ,",query processing in the information manifold
51464,"l xibin , h haiyan , g jun , l xuedong",,"& hellip ; of the 3rd international conference on management ( icmâ ?? 98 & hellip ; ,",triâ ?? element operation theory
51465,m mihailovic,1984.0,,biosynthesis of phytosterols in trebouxia sp. : steric course of the c-alkylation step
51466,a goudie,1991.0,"geography ,",the climatic sensitivity of desert margins .
51467,"na streitz , j geiã?ler , tks holmer , c mã 1/4 ller -",1999.0,,"i-land : an interactive landscape for creativity and innovation , proceedings of the chi ' 99 ,"
51468,al buchsbaum,,,on external memory graph traversal
51469,dl payne,,"proceedings of the 23rd annual meeting of the berkeley & hellip ; ,",argument structure and locus of affect in the maasai external possession construction
51470,ad paliourasâ ? ¦,1989.0,,the oecumenical patriarchate : the great church of christ
51471,"r agrawal , g psaila , el wimmers",,"proc . of the 21st int &#39; l conference on very large databases , & hellip ; ,",m. za it . querying shapes of histories
51472,"a shah , s thomas",,,systemic fragility in indian banking : harnessing information from the equity market
51473,"t yamamoto , e å?ukaszewicz , y noma , y tabei , m",2004.0,,organohalogen compounds
51474,cs kaminski,,,horizontal r & d management
51475,a laplante,,"computerworld ,",sharing the wisdom
51476,ww nuhn,1987.0,,soil genesis on the 1980 pyroclastic flows of mount st. helens
51477,"g evangelista , s cavaliere",,,auditory modeling via frequency warped wavelet transform
51478,o kaven,2001.0,"pc magazine , november ,",performance tests : file server throughput and response times
51479,"mh kim , s pramanik",,proc . of sigmod conference on management of,optimal file distribution for partial match queries
51480,"m allen , d blackwell",1993.0,"social studies and the young learner ,",cultural differences taught through a regional holiday .
51481,"m rys , d chamberlin , d florescu",2005.0,"proceedings of the 2005 acm sigmod international conference & hellip ; ,",xml and relational database management systems : the inside story
51482,"ec phillips , c morell , jl chronister",1996.0,"new directions for higher education ,",responses to reduced state funding
51483,"t dahlin , b zhou",,,gradient and mid-point-referred measurements for multichannel 2d resistivity imaging
51484,"yp elagin , as ii ` yashenko , va lyul ` kaâ ? ¦",,at .,comparison of methods for calculating neutron fluxes in technological channel of the reactor
51485,"kp eswaran , dd chamberlin",1975.0,"vldb ,",functional specifications of subsystem for database integrity
51486,"r agrawal , d gunopulos , f leymann",1998.0,"lecture notes in computer science ,",mining process models from workflow logs
51487,t ag,,,the zero-delay data warehouse : mobilizing heterogeneous databases
51488,ep skinner,,"see harris ,",the dialectic between diasporas and homelands
51489,ma cambridge,,,"02140 , usa , tel : + 1 617 354 5800 , july 1998"
51490,l gravanoandh,,"proceedings of the 21st international conference on very & hellip ; ,",garc a-molina . generalizinggloss tovector-spacedatabasesandbroker hierarchies
51491,"db lomet , b salzberg",,acm trans . on database systems,a multiattribute indexing method with good guaranteed performance
51492,"th chao , yc hsu andj",,"proc . acm/ieee design automation conf ,","m. ho , \ \ zeroskew clocknet routing , ''"
51493,n ashish,,"workshop on management of semi-structured data , tucson , & hellip ; ,",craig knoblock-wrapper generation for semi-structured internet sourcesâ ?? proc
51494,hua chu,,proceedings of acm sigmetricsâ ??,"y. , rao , s. , and zhang , h. a case for end system multicast"
51495,b swartout,2005.0,"proceedings of the 20th ieee/acm international conference on & hellip ; ,",virtual humans : lessons learned in integrating a large-scale ai project
51496,"l zhou , j feng , a sears , y shi",,,applying the naã ¯ ve bayes classifier to assist users in detecting speech recognition errors
51497,c frye,1999.0,"application development trends ,","knowledge portals unify data streams with the help of the ubiquitous web , search-and-retrieval"
51498,j farrell,,"unpublished manuscript ,",credible repeated game equilibrium
51499,"t hoshino , rs berns",1993.0,"proc . spie ,",color gamut mapping techniques for color hard copy images
51500,"n goodman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",query processing in sdd-1 : a system for distributed databases
51501,"le shar , es davidson",,"ieee computer ,",a multiminiprocessor system implemented through pipelining
51502,j clifford,,"acm-sigmod international conference on management of data ,",towards an algebra of historical relational data bases
51503,da spencer,1993.0,,"tectonics of the higher-and tethyan himalaya , upper kaghan valley , nw himalaya , pakistan :"
51504,el angus,1974.0,"new directions for higher education ,",evaluating experiental education .
51505,"ca macnee , w behrendt , jr kalmus , kg jeffery , md",,,presenting dynamically expandable hypermedia
51506,"k hiroi , a nomura , a yoneya , y togari",,"proc . 29th sice annual conference ,",advanced two-degree-of-freedom pid algorithm
51507,"bj bushman , rf baumeister",1998.0,"journal of personality and social psychology ,","threatened egotism , narcissism , self-esteem , and direct and displaced aggression : does self-love or"
51508,as craig,1975.0,"new directions in higher education ,",contracting in a university without walls program .
51509,re tenchâ ? ¦,,"submitted to ofc ,",80 gb/s nrz transmission over a wide optical bandwidth using an integrated tandem electro-absorption
51510,"pc lockemann , hc mayr , wh weil , wh wohlleber",1979.0,"acm transactions on database systems ,",data abstractions for database systems
51511,"m templeton , h henley , e maros , dj van buer",1995.0,"the vldb journal the international journal on very large & hellip ; ,",interviso : dealing with the complexity of federated database access
51512,js nã ¸ rgã ¥ rd,1989.0,,low electricity appliances -- options for the future
51513,"bf caviness , mj prelle",1978.0,"acm sigsam bulletin ,",a note on algebraic independence of logarithmic and exponential constants
51514,g gardarin,,proceedings of the 22 thconference on very large data bases,calibrating the query optimizer cost model of iroâ ?? db an object oriented federated database system
51515,rc shirley,1988.0,"new directions for higher education ,",strategic planning : an overview
51516,"ww lee , er jensen",2000.0,"journal of emergency medicine ,",bilateral internal carotid artery dissection due to trivial trauma
51517,r studer,1980.0,"vldb ,",a dialogue interface for data base applications
51518,"d zimmerman , s karon , j swearengen",,"draft : cms nhcmq demonstration final report ,",the quality component of the demonstration
51519,"t menzies , s easterbrook , b nuseibeh , s waugh",,,an empirical investigation of multiple viewpoint reasoning in requirements engineering
51520,"cl dennis , d creedy",2004.0,"cochrane database syst rev ,",psychosocial and psychological interventions for preventing postpartum depression
51521,rs berndt,,"see rapp ,",sentence production
51522,b tuch,1993.0,"at and t technical journal ,","development of wavelan , an ism band wireless lan ."
51523,t ichimura,,"proc . int . seaweed symp ,",sexual cell division and conjugation-papilla formation in sexual reproduction of closterium
51524,"jf porac , h thomas",1990.0,"the academy of management review ,",taxonomic mental models in competitor definition
51525,"dt naylor , bd smith",1993.0,"social studies and the young learner ,","holidays , cultural diversity , and the public culture ."
51526,dg winter,,"journal of personality and social psychology ,","leader appeal , leader performance , and the motive profiles of leaders and followers : a study of"
51527,"r agrawal , k shim",,"ibm almaden research center : san jose ,",developing tightly-coupled data mining applications on a relational database system . 1995
51528,"d papadias , y theodoridis , t sellis , m egenhofer",,proceedings of acm sigmod international conference on,topological relations in theworld of minimumboundingrectangles : astudywith r-trees
51529,m uygun,2000.0,,a computational study of subsonic flows over a medium range cargo aircraft
51530,"m nishina , c fujii , r ogino , r kobayashi , a kohama",2001.0,"journal of emergency medicine ,",preoperative diagnosis of obturator hernia by computed tomography in six patients
51531,"jb asendorpf , f ostendorf",1998.0,"journal of personality and social psychology ,","is self-enhancement healthy ? conceptual , psychometric , and empirical analysis"
51532,"m isaksson , m bruze",2000.0,,roat with budesonide on experimental allergic contact dermatitis from nickel in individuals
51533,"p kuhn , f lozano",,"unpublished paper , university of california , santa barbara ,",the expanding workweek : understanding the increase in long work hours among us men
51534,h lucas,,proc . 1971 acm ann .,c. jr. a user oriented approach to systems design
51535,i ekme,,"ieee computer ,","ci c , i. tartalja , and v. milutinovi c , a taxonomy of heterogeneous computing , ''"
51536,ks wilson,,,palenque : an interactive multimedia digital video interactive prototype for children
51537,"p bosc , a motro , g pasi",2001.0,"sigmod record ,",report on the fourth international conference on flexible query answering systems ( fqas 2000 )
51538,"h okada , f strutz , tm danoff , r kalluri , eg",1996.0,"contributions to nephrology ,",possible mechanisms of renal fibrosis
51539,sr kv,,"see ref ,",maize and sorghum : east africa
51540,mg kanatzidis,2005.0,"acc . chem . res ,",structural evolution and phase homologies for '' design '' and prediction of solid-state compounds .
51541,"a lethaby , b vollenhoven , m sowterâ ? ¦",2000.0,,pre-operative gnrh analogue therapy before hysterectomy or myomectomy for uterine fibroids
51542,"an netravali , jo limb",,"proc . ieee ,",picture coding : a review
51543,"hs bloom , c michalopoulos , j carolyn",,working paper . manpower demonstration research,"hill , and ying lei . 2002 . â ?? can nonexperimental comparison group methods match the findings from a"
51544,r phillips,2001.0,"area ,",geographies of childhood : introduction
51545,b schmitz,1992.0,"new directions for teaching and learning ,",creating multicultural classrooms : an experience-derived faculty development program .
51546,"prt by bruce , j bartlett",,,focal press
51547,r huber,1988.0,,biosystematische untersuchungen an phyteuma spicatum und phyteuma ovatum
51548,s christodoulakis,,"proceedings , acm-sigmod",multimedia data base management : applications and problems
51549,v devedzic,2002.0,"communications-acm ,",understanding ontological engineering
51550,"ar foxwell , aw cripps",2000.0,"cochrane database syst rev ,",haemophilus influenzae oral vaccination against acute bronchitis
51551,j canny,,"proc . 28th syrup . foundations of computer science ,",ndj . tleif . new lower bound techniques for robot motion planning
51552,s chaudhuri,1994.0,"vldb ,",including group-by in query optimization
51553,"m garofalakis , j gehrke , r rastogi",,,query and mining data streams : you only get one look
51554,"m goldberg , ds septier",1992.0,"the histochemical journal ,",differential staining of glycosaminoglycans in the predentine and dentine of rat incisor using
51555,"fg lemoine , sc kenyon , jk factor , rg trimmer , nk",,"md ,",the development of the joint nasa gsfc and the national imagery and mapping agency ( nima )
51556,"f nack , w putz",,,designing annotation before it 's needed
51557,"bp gupta , v rodrigues",1997.0,"genes to cells ,",atonal is a proneural gene for a subset of olfactory sense organs in drosophila
51558,"ap sheth , g karabatis",,,multidatabase interdependencies in industry
51559,sj trachtenberg,1981.0,"new directions for higher education ,",not what it 's cracked up to be .
51560,"f bancihon , d maier , y sagiv , j ullman",,proceedings of the 5th acm sigmodâ ?? sigact symposium on,â ?? magic sets and other strange ways to implement logic programs
51561,"nm nasrabadi , y feng",1988.0,,vector quantization of images based upon the kohonen self-organization features maps
51562,"f bellifemine , a poggi , g rimassa",1999.0,"proceedings of paam ,",jadeâ ?? a fipa-compliant agent framework
51563,"re fikes , m cutkosky , t gruber , j van balen",1991.0,,knowledge sharing technology
51564,"m takagi , m maeno , y takahashi , k otsuka",1992.0,"the histochemical journal ,",biochemical and immuno-and lectin-histochemical studies of solubility and retention of bone matrix
51565,"m flickner , h sawhney , w niblack , j ashley , q",,"ieee computer ,",qbic : query by image and video content
51566,"m alberg , em henley , x ji , aw thomas",,,determination of flavor asymmetry for î # â ± by the drell-yan process
51567,j tl,,proceedings of the 1994 acm sigmod international conference,"wang , gw . chirn , tg marr , b. shapiro , d. shasha , and k. zhang . cobinatorial pattern discovery for"
51568,re nance,1996.0,"history of programming languages -- ii table of contents ,",a history of discrete event simulation programming languages
51569,"da tietze , r steinmetz",,"proceedings der fachtagung d-cscw ,",ein framework zur entwicklung komponentenbasierter groupware
51570,"g kebbede , mj jacob",,"geography ,","drought , famine and the political economy of environmental degradation in ethiopia"
51571,m vazirgiannis,1999.0,,interactive multimedia documents
51572,"vs subrahmanian , a brink , r emery , jj lu , a rajput",1995.0,"submitted for publication ,",hermes : a heterogeneous reasoning and mediator system
51573,"b adams , s venkatesh",2005.0,"proceedings of the 13th annual acm international conference & hellip ; ,",dynamic shot suggestion filtering for home video based on user performance
51574,"a kumar , yw chung , jj moore , je smugeresky",1999.0,,surface engineering : science and technology i
51575,"ls shieh , hm dib , re yates",,,sequential design of linear quadratic state regulators via the optimal root-locus techniques
51576,g bree,1967.0,"wisconsin studies in contemporary literature ,",studies of recent french literature
51577,"d knox , u wolz , d joyce , e koffman , j krone , a",1996.0,"acm sigcue outlook ,",use of laboratories in computer science education : guidelines for good practice : report of the
51578,r chimera,,,value bars : an information visualization and navigation tool for multi-attribute listings
51579,"a chickering , zf gamson",,"new directions for teaching and learning , no ,",applying the seven principles for good practice in higher education
51580,c derman,,"new york ,",finite state markov decision processes
51581,"r eisma , a dickinson , j goodman , o mival , a syme ,",2003.0,"proceedings of include ,",mutual inspiration in the development of new technology for older people
51582,"skt sakaguchi , a uno",,,cooperative driving of automated vehicles with intervehicle communications
51583,"c wang , xs wang",2001.0,"the vldb journal the international journal on very large & hellip ; ,",indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches
51584,"dj lips , of bueno , bj wilkins , nh purcell , ra",,,the mek1-erk2 signaling pathway protects the myocardium from ischemic damage in vivo
51585,"s ramaswarny , r rastogi",,proc . of theacm sigmod 2000 int . conference on management of,"andk . shim , 2000 . â ?? efficient algorithms for miningoutliers fromlarge datasetsâ ??"
51586,w birrer,,"laboratorium fur atmospharenphysik , eth zurich , switzerland ,",homogenisierung und diskussion der totalozon-messreihe von arosa 1926â ?? 1971â ?? : report lapeth 11
51587,"d braraff , a witkin",,proceedings of the 25 thannual conference on computer,large steps in cloth simulation
51588,c stedman,,"computerworld ,",data mining for foolâ ?? s gold
51589,"m mccallum , t norman , w vasconcelos",,,a formal model of organisations for engineering multi-agent systems
51590,rj balcombe,,"phil . mag ,",j and parker ra 1970
51591,tb steel jr,1975.0,"proceedings of the 1975 acm sigmod international conference & hellip ; ,",data base standardization : a status report
51592,"s ronen , o shenkar",1985.0,"the academy of management review ,",clustering countries on attitudinal dimensions : a review and synthesis
51593,"y tsuchiya , m morita , y ikariya , e tsurumi , t mori",1986.0,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",establishment of higher level logic design for very large scale computer
51594,"lf delph , c weinig , k sullivan",1998.0,"proceedings : biological sciences ,",why fast-growing pollen tubes give rise to vigorous progeny : the test of a new mechanism
51595,"s dutt , v shanmugavel , s trimberger",,"proc . acm/ieee iccad ,",efficient incremental rerouting for fault reconfiguration in fpgas
51596,"j bailey , a poulovassilis , pt wood",2002.0,"computer networks ,",analysis and optimisation of event-condition-action rules on xml
51597,"nb abdallah , f mehats , o pinaud",,,adiabatic approximation of the schrodinger-poisson system under a partially confining potential
51598,"cm brendl , ab markman , c messner",2001.0,"journal of personality and social psychology ,",how do indirect measures of evaluation work ? evaluating the inference of prejudice in the implicit
51599,k watanabe,,,new computationally efficient formula for backward-pass fixed-interval smoother and its ud
51600,s yoon,2003.0,"new directions for adult and continuing education ,",in search of meaningful online learning experiences
51601,daa eliezer,1989.0,"ph. d. thesis california univ. , santa barbara. ,",simplicial lattice methods in cosmology
51602,s yiâ ? ¦,1996.0,"ieee computer ,",global optimization for nn training
51603,aw astin,1987.0,"new directions for higher education ,","assessment , value-added , and educational excellence ."
51604,"j cassetty , m cancian , d meyer",,"w-2 child support demonstration evaluation : report on & hellip ; ,",child support disregard policies and program outcomes : an analysis of data from the ocse .
51605,rp mcbride,,"see ref ,",micro-organism interactions in the phyllosphere of larch
51606,ca sugar,1999.0,,an applicationof cluster analysisto health services research : empirically defined health states for
51607,"mf mayo-smith , j spinale",1997.0,"journal of emergency medicine ,",thermal epiglottitis in adults : a new complication of illicit drug use
51608,j ball,1981.0,,the participation of private businesses as work sponsors in the youth entitlement demonstration
51609,"j han , j pei , g dong , k wang",2001.0,"sigmod conference ,",efficient computation of iceberg cubes with complex measures
51610,e bendix,,"see ref ,",the data of semantic description
51611,rj gilson,,,"the legal infrastructure of high technology industrial districts : silicon valley , route 128 , and"
51612,e design,,"electronic design ,",small fuel cells get closer to replacing batteries
51613,m missikoff,,"proc . of international conference on data base management & hellip ; ,",relob : a relational storage system
51614,r spangler,2003.0,,packet sniffer detection with antisniff
51615,p cranton,2002.0,"new directions for adult and continuing education ,",teaching for transformation
51616,j replogle,1964.0,"wisconsin studies in contemporary literature ,",the auden group
51617,s map,,,data stream query processing
51618,"g stead , h donaldson",,"phil . mag ,",the problem of uniform rotation treated on the principle of relativity
51619,ce weaver,2003.0,,"the hypocrisy of international organizations : the rhetoric , reality , and reform of the world bank"
51620,"bj bobrow , j mohr , cv pollack",1996.0,"journal of emergency medicine ,",an unusual complication of missed appendicitis
51621,"ra pi , d barbara , h garcia-molina",,"acm transactions on database systems ,",data caching issues in an information retrieval system â ??
51622,ce windows,2002.0,,platform builder library
51623,be grainger,1995.0,"proc int instrum symp ,",graphical user interfaces - windows and beyond
51624,"h jiang , h lu , w wang",2004.0,"proc . of sigmod conference ,",efficient processing of xml twig queries with or-predicates
51625,e kasanen,,,creating value by spawning investment opportunities
51626,mr mediano,1994.0,"proceedings of the international conference on very large & hellip ; ,",v-trees-a storage method for long vector data
51627,"is sloncbrakcr , ew michael , p kreps",,"acm transactions on database systems ,",the design and implementation al ingres
51628,mj muller,,proc . acm,no mechanization without representation : who participates in participatory design of large software
51629,"e keogh , ca ratanamahatana",2005.0,"knowledge and information systems ,",exact indexing of dynamic time warping
51630,t zhang,1997.0,,data clustering for very large datasets plus applications
51631,wf zachmann,,"pc magazine ,",simulation : the ultimate virtual reality
51632,a underdal,,"see ref ,",conclusions : patterns of regime effectiveness
51633,"p shaw , b becker , j klein , m hapner , g clossman , r",1998.0,,java and relational databases : sqlj ( tutorial )
51634,th merrett,1984.0,"sigmod record ,",practical hardware for linear execution of relational database operations
51635,"g stassi , m todaro , p richiusaâ ? ¦",1995.0,,expression of apoptosis-inducing cd95 ( fas/apo -1 ) in human î ² - cells sorted by flow-cytometry and
51636,hw kuhn,,"history of mathematical programming , a collection of & hellip ; ,",nonlinearprogramming : ahistoricalnote .
51637,"r lissitz , h huynh",2003.0,"unpublished manuscript ,",vertical equating for the arkansas actaap assessments : issues and solutions in determination of
51638,mj esson,,"proc . 28th nz weed and pest control conf ,",notes on the biology and distribution of three recently discovered exotic weevil pests in the hawkes
51639,s imel,1991.0,"new directions for adult and continuing education ,",information resources for professional development .
51640,portal.acm.org,,proceedings of the acm sigmod,"second-order signature : a tool for specifying data models , query processing , and optimization"
51641,"m winslett , kcc chang , ah doan , j han , c zhai , y",2002.0,"sigmod record ,",database research at the university of illinois at urbana-champaign
51642,p jung,1994.0,,performance evaluation of turbo codes for short frame transmission systems
51643,idt.unit.no,1999.0,"vldb ,",the persistent cache : improving oid indexing in temporal object-oriented database systems
51644,"w dai , r srihari",2005.0,"proceedings of the 14th acm international conference on & hellip ; ,",minimal document set retrieval
51645,ieaggrd programme,,"isbn ,",putting carbon back into the ground
51646,j felsenstein,,"seattle , washington : university of washington ,","phylip : phylogeny interference package , version 3.6"
51647,"m ozsoyoglu , ly yuan",1985.0,"proceedings of the fifth acm sigact-sigmod symposium on & hellip ; ,",unifying functional and multivalued dependencies for relational database design
51648,"i chajda , k glazek",,technical university,a basic course of general algebra
51649,"m albrecht , m ksterâ ? ¦",,"the proceedings of the 25 annual conference on local & hellip ; ,",end-to-end qos management for delay-sensitive scalable
51650,j richter,1993.0,,advanced windows nt : the developer 's guide to the win32 application programming interface
51651,"d fensel , f van harmelen , y ding , m klein , h",,,on-to-knowledge in a nutshell
51652,"q xue , a ganz",2004.0,"proceedings of the 12th annual acm international conference & hellip ; ,",proportional service differentiation in wireless lans using spacing-based channel occupancy
51653,"jc french , ak jones , jl pfaltz",,"sigmod record ,",scientific data management
51654,k chopra,,,deadlock detection in distributed systems : a performance comparison
51655,bc pierce,1992.0,"proceedings of the 19th acm sigplan-sigact symposium on & hellip ; ,",bounded quantification is undecidable
51656,"ro lamaire , dn serpanos",1994.0,"ieee/acm transactions on networking ( ton ) ,",two-dimensional round-robin schedulers for packet switches with multiple input queues
51657,"pg ciarlet , c mardare",,,recovery of a surface with boundary and its continuity as a function of its two fundamental forms
51658,"dr figueiredo , m garetto , d towsley",,"technical report cmpsciâ ?? 04â ?? 66 , university of massachusetts ,",exploiting mobility in adâ ?? hoc wireless networks with incentives
51659,"nh cohen , mw galbraith",1995.0,"new directions for adult and continuing education ,",mentoring in the learning society
51660,"p mcculloch , me nita , h kazi , j gama-rodrigues",2003.0,"cochrane database syst rev ,",extended versus limited lymph nodes dissection technique for adenocarcinoma of the stomach
51661,"v srinivisan , s suri , g varghese",,proc . acm sigcomm,packet classification using tuple space search
51662,"e pourabbas , m rafanelli",,,characterization of hierarchies and some operators in olap environment
51663,"j karn , r katz , k pister",,"proc . acm mobicomâ ?? 99 ,",next century challenges : mobile networking for smart dust
51664,r tagg,1992.0,"conference proceedings on data management 91 table of & hellip ; ,",a review of the suitability of various applications for an oo approach
51665,"a spink , bj jansen , d wolfram , t saracevic",,"ieee computer ,",from e-sex to e-commerce : web-searching changes
51666,"jw crawford , k ritz",1994.0,"shape and form in plants and fungi ,",origin and consequences of colony form in fungi : a reaction-diffusion mechanism for morphogenesis
51667,e flugel,2004.0,,"microfacies of carbonate rocks : analysis , interpretation and application"
51668,jm mariottiâ ? ¦,,"proc . spie ,",vlti : a status report
51669,"m ester , hp kriegel , m schubert",2004.0,"proceedings of the international conference on very large & hellip ; ,",accurate and efficient crawling for relevant websites
51670,r diestel,,,graph theory
51671,"lc bergstrom , l qin , sl harlocker , la egger , m",1998.0,"genes to cells ,",hierarchical and co-operative binding of ompr to a fusion construct containing the ompc and ompf
51672,g lindstrom,,,static evaluation of functional programs
51673,e kofman,1995.0,"political geography ,",citizenship for some but not for others : spaces of citizenship in contemporary europe
51674,"a gutiã © rrez , a marotta",,,an overview of data warehouse design approaches and techniques
51675,"pd gader , jm keller",,,neural and fuzzy methods in handwriting recognition
51676,"t stoehr , h maertens , e rahm",2000.0,"vldb ,",multi-dimensional database allocation for parallel data warehouses
51677,", j biggs , t zhou , p benninghoff , w han , fy cq",,haas and tiwary,a personalized update monitoring toolkit
51678,"e amir , s mccanne , m vetterli",,,a layered dct coder for internet video
51679,"v braganholo , s davidson , c heuser",2004.0,"proceedings of the international conference on very large & hellip ; ,",from xml view updates to relational view updates : old solutions to a new problem
51680,"in van schaik , jb winer , r de haan , m vermeulen",2002.0,"cochrane database syst rev ,",intravenous immunoglobulin for chronic inflammatory demyelinating polyradiculoneuropathy
51681,uk wiil,,proc . fifth acm conf .,concurrency control in collaborative hypermedia systems
51682,y hirabayashi,1992.0,"the histochemical journal ,",light-microscopic detection of acidic glycoconjugates with sensitized diamine procedures
51683,c mcgeever,,"computerworld ,",patent office plans reforms aimed partly at e-commerce
51684,bfj manly,,"new york ,",randomization and monte carlo methods in biology : chapman and hall
51685,"a poulovassilis , c small",,,a domain-theoretic approach to integrating functional and logic database languages
