acm_record_id,date_year,conf_title,journal_name,creators
1852,1997,devise ( demo abstract ) : integrated querying and visual exploration of large datasets,international conference on management of data,"m. livny , r. ramakrishnan , k. beyer , g. chen , d. donjerkovic , s. lawande , j. myllymaki , k. wenger"
1853,1997,picture programming project,international conference on management of data,"nita goyal , charles hoch , ravi krishnamurthy , brian meckler , michael suchow , moshe zloof"
1854,1997,delaunay : a database visualization system,international conference on management of data,"isabel f. cruz , m. averbuch , wendy t. lucas , melissa radzyminski , kirby zhang"
1855,1997,query optimization at the crossroads,international conference on management of data,surajit chaudhuri
1856,1997,disjunctive datalog,acm transactions on database systems ( tods ),"thomas eiter , georg gottlob , heikki mannila"
1857,1997,probview : a flexible probabilistic database system,acm transactions on database systems ( tods ),"laks v. s. lakshmanan , nicola leone , robert ross , v. s. subrahmanian"
1858,1997,zoo : a desktop experiment management environment,international conference on management of data,"yannis e. ioannidis , miron livny , anastassia ailamaki , anand narayanan , andrew therber"
1859,1997,transactional client-server cache consistency : alternatives and performance,acm transactions on database systems ( tods ),"michael j. franklin , michael j. carey , miron livny"
1860,1997,ogdi : toward interoperability among geospatial databases,acm sigmod record,"gilles cl &#233; ment , christian larouche , denis gouin , paul morin , henry kucera"
1861,1997,an extended entity-relationship model for geographic applications,acm sigmod record,"thanasis hadzilacos , nectaria tryfona"
1862,1997,a query language for a web-site management system,acm sigmod record,"mary fernandez , daniela florescu , alon levy , dan suciu"
1863,1997,quasi-cubes : exploiting approximations in multidimensional databases,acm sigmod record,"daniel barbar &#225; , mark sullivan"
1864,1997,the whips prototype for data warehouse creation and maintenance,international conference on management of data,"wilburt j. labio , yue zhuge , janet l. wiener , himanshu gupta , h &#233; ctor garc &#237; a-molina , jennifer widom"
1865,1997,structural matching and discovery in document databases,international conference on management of data,"jason tsong-li wang , dennis shasha , george j. s. chang , liam relihan , kaizhong zhang , girish patel"
1866,1997,strudel : a web site management system,international conference on management of data,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu"
1867,1997,geominer : a system prototype for spatial data mining,international conference on management of data,"jaiwei han , krzysztof koperski , nebojsa stefanovic"
1868,1997,sentinel : an object-oriented dbms with event-based rules,international conference on management of data,s. chakravarthy
1869,1997,the mentor workbench for enterprise-wide workflow management,international conference on management of data,"dirk wodtke , jeanine weissenfels , gerhard weikum , angelika kotz dittrich , peter muth"
1870,1997,s3 : similarity search in cad database systems,international conference on management of data,"stefan berchtold , hans-peter kriegel"
1871,1997,predator : an or-dbms with enhanced data types,international conference on management of data,"praveen seshadri , mark paskin"
1872,1996,the active database management system manifesto : a rulebase of adbms features,acm sigmod record,corporate act-net consortium
1873,1996,report on first international workshop on real-time database systems,acm sigmod record,"azer bestavros , kwei-jay lin , sang son"
1874,1996,bess object storage manager : architecture overview,acm sigmod record,"alexandros biliris , euthimios panagos"
1875,1996,middle east technical university software research and development center,acm sigmod record,asuman dogac
1876,1996,much ado about shared-nothing,acm sigmod record,"michael g. norman , thomas zurek , peter thanisch"
1877,1996,on the cost of monitoring and reorganization of object bases for clustering,acm sigmod record,"carsten a. gerlhof , alfons kemper , guido moerkotte"
1878,1996,open issues in parallel query optimization,acm sigmod record,"waqar hasan , daniela florescu , patrick valduriez"
1879,1996,control strategies for complex relational query processing in shared nothing systems,acm sigmod record,"lionel brunie , harald kosch"
1880,1996,"lh * - a scalable , distributed data structure",acm transactions on database systems ( tods ),"witold litwin , marie-anna neimat , donovan a. schneider"
1881,1996,semantics for update rule programs and implementation in a relational database management system,acm transactions on database systems ( tods ),"louiqa raschid , jorge lobo"
1882,1997,extended ephemeral logging : log storage management for applications with long lived transactions,acm transactions on database systems ( tods ),"john s. keen , william j. dally"
1883,1997,outerjoin simplification and reordering for query optimization,acm transactions on database systems ( tods ),"c &#233; sar galindo-legaria , arnon rosenthal"
1884,1996,"olap , relational , and multidimensional database systems",acm sigmod record,george colliat
1885,1996,unisql 's next-generation object-relational database management system,acm sigmod record,"albert d'andrea , phil janus"
1886,1996,scientists called upon to take actions,acm sigmod record,xiaolei qian
1887,1996,model and verification of a data manager based on aries,acm transactions on database systems ( tods ),dean kuo
1888,1996,dynamic information visualization,acm sigmod record,yannis e. ioannidis
1889,1996,information visualization,acm sigmod record,"tiziana catarci , isabel f. cruz"
1890,1996,spotfire : an information exploration environment,acm sigmod record,christopher ahlberg
1891,1996,incremental data structures and algorithms for dynamic query interfaces,acm sigmod record,"egemen tanin , richard beigel , ben shneiderman"
1892,1996,"a response to r. camps ' article domains , relations and religious wars",acm sigmod record,c. j. date
1893,1997,an axiomatic model of dynamic schema evolution in objectbase systems,acm transactions on database systems ( tods ),"randel j. peters , m. tamer &#214; zsu"
1894,1996,the aggregate data problem : a system for their definition and management,acm sigmod record,"m. rafanelli , a. bezenchek , l. tininini"
1895,1996,"in reply to domains , relations and religious wars",acm sigmod record,hugh darwen
1896,1996,report from the nsf workshop on workflow and process automation in information systems,acm sigmod record,"amit sheth , dimitrios georgakopoulos , stef m. m. joosten , marek rusinkiewicz , walt scacchi , jack wileden , alexander l. wolf"
1897,1996,3d geographic network displays,acm sigmod record,"kenneth c. cox , stephen g. eick , taosong he"
1898,1996,the mariposa distributed database management system,acm sigmod record,jeff sidell
1899,1996,an orthogonally persistent java,acm sigmod record,"m. p. atkinson , l. dayn &#232; s , m. j. jordan , t. printezis , s. spence"
1900,1996,pixel-oriented database visualizations,acm sigmod record,daniel a. keim
1901,1996,a framework for information visualisation,acm sigmod record,"jessie b. kennedy , kenneth j. mitchell , peter j. barclay"
1902,1996,applying database visualization to the world wide web,acm sigmod record,"masum z. hasan , alberto o. mendelzon , dimitra vista"
1903,1996,to table or not to table : a hypertabular answer,acm sigmod record,"giuseppe santucci , laura tarantino"
1904,1997,www-udk : a web-based environmental meta-information system,acm sigmod record,"ralf kramer , ralf nicholai , arne koschel , claudia rolker , peter lockemann , andree keitel , rudolf legat , konrad tirm"
1905,1997,uis-management of data and services in the environmental information systems of baden-w &#252; rttemberg,acm sigmod record,"wolf-fritz riekert , roland mayer-f &#246; ll , gerlinde wiest"
1906,1997,integrating modelling systems for environmental management information systems,acm sigmod record,"david j. abel , kerry taylor , dean kun"
1907,1997,improving access to environmental data using context information,acm sigmod record,"anthony tomasic , eric simon"
1908,1996,new programs at darpa and nsf,acm sigmod record,xiolai qian
1909,1997,environmental information systems,acm sigmod record,oliver g &#252; nther
1910,1996,new standard for stored procedures in sql,acm sigmod record,andrew eisenberg
1911,1996,"tpc-d-the challenges , issues and results",acm sigmod record,ramesh bhashyam
1912,1997,extraction of object-oriented structures from existing relational databases,acm sigmod record,"shekar ramanathan , julia hodges"
1913,1997,an overview of data warehousing and olap technology,acm sigmod record,"surajit chaudhuri , umeshwar dayal"
1914,1997,min-max compression methods for medical image databases,acm sigmod record,"kosmas karadimitriou , john m. tyler"
1915,1997,converting relational to object-oriented databases,acm sigmod record,joseph fong
1916,1997,"mediator languages-a proposal for a standard : report of an i3/pob working group held at the university of maryland , april 12 and 13 , 1996",acm sigmod record,"peter buneman , louiqa raschid , jeffrey ullman"
1917,1997,a consumer viewpoint on mediator languages-a proposal for a standard,acm sigmod record,"arnon rosenthal , erich hughes , scott renner , len seligman"
1918,1997,data management for earth system science,acm sigmod record,"james frew , jeff dozier"
1919,1997,open gis and on-line environmental libraries,acm sigmod record,kenn gardels
1920,1997,similarity-based queries for time series data,international conference on management of data,"davood rafiei , alberto mendelzon"
1921,1997,fast parallel similarity search in multimedia databases,international conference on management of data,"stefan berchtold , christian b &#246; hm , bernhard braunm &#252; ller , daniel a. keim , hans-peter kriegel"
1922,1997,an adaptive data replication algorithm,acm transactions on database systems ( tods ),"ouri wolfson , sushil jajodia , yixiu huang"
1923,1997,applying formal methods to semantic-based decomposition of transactions,acm transactions on database systems ( tods ),"paul ammann , sushil jajodia , indrakshi ray"
1924,1997,on the semantics of now in databases,acm transactions on database systems ( tods ),"james clifford , curtis dyreson , tom &#225; s isakowitz , christian s. jensen , richard thomas snodgrass"
1925,1997,logical design for temporal databases with multiple granularities,acm transactions on database systems ( tods ),"x. sean wang , claudio bettini , alexander brodsky , sushil jajodia"
1926,1997,opportunities in information management and assurance,acm sigmod record,xiaolei qian
1927,1997,query previews for networked information systems : a case study with nasa environmental data,acm sigmod record,"khoa doan , catherine plaisant , ben shneiderman , tom bruns"
1928,1997,database buffer size investigation for oltp workloads,international conference on management of data,"thin-fong tsuei , allan n. packer , keng-tai ko"
1929,1997,maintenance of data cubes and summary tables in a warehouse,international conference on management of data,"inderpal singh mumick , dallan quass , barinderpal singh mumick"
1930,1997,cubetree : organization of and bulk incremental updates on the data cube,international conference on management of data,"nick roussopoulos , yannis kotidis , mema roussopoulos"
1931,1997,range queries in olap data cubes,international conference on management of data,"ching-tien ho , rakesh agrawal , nimrod megiddo , ramakrishnan srikant"
1932,1997,concurrency and recovery in generalized search trees,international conference on management of data,"marcel kornacker , c. mohan , joseph m. hellerstein"
1933,1997,highly concurrent cache consistency for indices in client-server database systems,international conference on management of data,"markos zaharioudakis , michael j. carey"
1934,1997,improved query performance with variant indexes,international conference on management of data,"patrick o'neil , dallan quass"
1935,1997,meaningful change detection in structured data,international conference on management of data,"sudarshan s. chawathe , hector garcia-molina"
1936,1995,"pattern matching and pattern discovery in scientific , program , and document databases",international conference on management of data,"jason t. l. wang , kaizhong zhang , dennis shasha"
1937,1995,ptool : a light weight persistent object manager,international conference on management of data,"r. l. grossman , d. hanley , x. qin"
1938,1995,using the calanda time series management system,international conference on management of data,"werner dreyer , angelika kotz dittrich , duri schmidt"
1939,1995,the ecrc multi database system,international conference on management of data,"willem jonker , heribert sch &#252; tz"
1940,1996,modularization techniques for active rules design,acm transactions on database systems ( tods ),"elena baralis , stefano ceri , stefano paraboschi"
1941,1996,polymorphism and type inference in database programming,acm transactions on database systems ( tods ),"peter buneman , atsushi ohori"
1942,1996,a normal form for precisely characterizing redundancy in nested relations,acm transactions on database systems ( tods ),"wai yin mok , yiu-kai ng , david w. embley"
1943,1996,magic conditions,acm transactions on database systems ( tods ),"inderpal singh mumick , sheldon j. finkelstein , hamid pirahesh , raghu ramakrishnan"
1944,1996,the building blocks for specifying communication behavior of complex objects : an activity-driven approach,acm transactions on database systems ( tods ),"ling liu , robert meersman"
1945,1996,tail recursion elimination in deductive databases,acm transactions on database systems ( tods ),kenneth a. ross
1946,1996,implementing deductive databases by mixed integer programming,acm transactions on database systems ( tods ),"colin bell , anil nerode , raymond t. ng , v. s. subrahmanian"
1947,1996,solving satisfiability and implication problems in database systems,acm transactions on database systems ( tods ),"sha guo , wei sun , mark a. weiss"
1948,1996,declustering of key-based partitioned signature files,acm transactions on database systems ( tods ),"paolo ciaccia , paolo tiberio , pavel zezula"
1949,1996,a probabilistic relational model and algebra,acm transactions on database systems ( tods ),"debabrata dey , sumit sarkar"
1950,1996,heraclitus : elevating deltas to be first-class citizens in a database programming language,acm transactions on database systems ( tods ),"shahram ghandeharizadeh , richard hull , dean jacobs"
1951,1996,mining quantitative association rules in large relational tables,international conference on management of data,"ramakrishnan srikant , rakesh agrawal"
1952,1996,idea : interactive data exploration and analysis,international conference on management of data,"peter g. selfridge , divesh srivastava , lynn o. wilson"
1953,1996,"data mining using two-dimensional optimized association rules : scheme , algorithms , and visualization",international conference on management of data,"takeshi fukuda , yasukiko morimoto , shinichi morishita , takeshi tokuyama"
1954,1996,sql query optimization : reordering for a general class of queries,international conference on management of data,"piyush goel , bala iyer"
1955,1996,rapid bushy join-order optimization with cartesian products,international conference on management of data,"bennet vance , david maier"
1956,1996,a teradata content-based multimedia object manager for massively parallel architectures,international conference on management of data,"w. o'connell , i. t. ieong , d. schrader , c. watson , g. au , a. biliris , s. choo , p. colin , g. linderman , e. panagos , j. wang , t. walter"
1957,1996,fundamental techniques for order optimization,international conference on management of data,"david simmen , eugene shekita , timothy malkemus"
1958,1996,optimizing queries over multimedia repositories,international conference on management of data,"surajit chaudhuri , luis gravano"
1959,1996,fault-tolerant architectures for continuous media servers,international conference on management of data,"banu &#214; zden , rajeev rastogi , prashant shenoy , avi silberschatz"
1960,1996,on-line reorganization of sparsely-populated b + - trees,international conference on management of data,"chendong zou , betty salzberg"
1961,1996,birch : an efficient data clustering method for very large databases,international conference on management of data,"tian zhang , raghu ramakrishnan , miron livny"
1962,1996,query caching and optimization in distributed mediator systems,international conference on management of data,"s. adali , k. s. candan , y. papakonstantinou , v. s. subrahmanian"
1963,1996,two techniques for on-line index modification in shared nothing parallel databases,international conference on management of data,"kiran j. achyutuni , edward omiecinski , shamkant b. navathe"
1964,1996,data access for the masses through ole db,international conference on management of data,jos &#233; a. blakeley
1965,1996,performance tradeoffs for client-server query processing,international conference on management of data,"michael j. franklin , bj &#246; rn th &#243; r j &#243; nsson , donald kossmann"
1966,1996,hot mirroring : a method of hiding parity update penalty and degradation during rebuilds for raid5,international conference on management of data,"kazuhiko mogi , masaru kitsuregawa"
1967,1996,the dangers of replication and a solution,international conference on management of data,"jim gray , pat helland , patrick o'neil , dennis shasha"
1968,1996,providing better support for a class of decision support queries,international conference on management of data,"sudhir g. rao , antonio badia , dirk van gucht"
1969,1996,"a query language for multidimensional arrays : design , implementation , and optimization techniques",international conference on management of data,"leonid libkin , rona machlin , limsoon wong"
1970,1996,random i/o scheduling in online tertiary storage systems,international conference on management of data,"bruce k. hillyer , avi silberschatz"
1971,1996,implementing data cubes efficiently,international conference on management of data,"venky harinarayan , anand rajaraman , jeffrey d. ullman"
1972,1996,partition based spatial-merge join,international conference on management of data,"jignesh m. patel , david j. dewitt"
1973,1996,bifocal sampling for skew-resistant join size estimation,international conference on management of data,"sumit ganguly , phillip b. gibbons , yossi matias , avi silberschatz"
1974,1996,a super scalar sort algorithm for risc processors,international conference on management of data,ramesh c. agarwal
1975,1996,spatial hash-joins,international conference on management of data,"ming-ling lo , chinya v. ravishankar"
1976,1996,structures for manipulating proposed updates in object-oriented databases,international conference on management of data,"michael doherty , richard hull , mohammed rupawalla"
1977,1996,safe and efficient sharing of persistent objects in thor,international conference on management of data,"b. liskov , a. adya , m. castro , s. ghemawat , r. gruber , u. maheshwari , a. c. myers , m. day , l. shrira"
1978,1996,estimating alphanumeric selectivity in the presence of wildcards,international conference on management of data,"p. krishnan , jeffrey scott vitter , bala iyer"
1979,1996,improved histograms for selectivity estimation of range predicates,international conference on management of data,"viswanath poosala , peter j. haas , yannis e. ioannidis , eugene j. shekita"
1980,1996,goal-oriented buffer management revisited,international conference on management of data,"kurt p. brown , michael j. carey , miron livny"
1981,1996,multi-dimensional resource scheduling for parallel queries,international conference on management of data,"minos n. garofalakis , yannis e. ioannidis"
1982,1996,an open abstract-object storage system,international conference on management of data,"stephen blott , lukas relly , hans-j &#246; rg schek"
1983,1996,static detection of security flaws in object-oriented databases,international conference on management of data,keishi tajima
1984,1996,evaluating queries with generalized path expressions,international conference on management of data,"vassilis christophides , sophie cluet , guido moerkotte"
1985,1996,rule languages and internal algebras for rule-based optimizers,international conference on management of data,"mitch cherniack , stanley b. zdonik"
1986,1996,towards effective and efficient free space management,international conference on management of data,"mark l. mcauliffe , michael j. carey , marvin h. solomon"
1987,1996,"semi-automatic , self-adaptive control of garbage collection rates in object databases",international conference on management of data,"jonathan e. cook , artur w. klauser , alexander l. wolf , benjamin g. zorn"
1988,1996,maintaining database consistency in presence of value dependencies in multidatabase systems,international conference on management of data,"claire morpain , mich &#233; le cart , jean ferri &#233; , jean-fran &#231; ois pons"
1989,1996,materialized view maintenance and integrity constraint checking : trading space for time,international conference on management of data,"kenneth a. ross , divesh srivastava , s. sudarshan"
1990,1996,cost-based optimization for magic : algebra and implementation,international conference on management of data,"praveen seshadri , joseph m. hellerstein , hamid pirahesh , t. y. cliff leung , raghu ramakrishnan , divesh srivastava , peter j. stuckey , s. sudarshan"
1991,1996,query execution techniques for caching expensive methods,international conference on management of data,"joseph m. hellerstein , jeffrey f. naughton"
1992,1996,a query language and optimization techniques for unstructured data,international conference on management of data,"peter buneman , susan davidson , gerd hillebrand , dan suciu"
1993,1996,change detection in hierarchically structured information,international conference on management of data,"sudarshan s. chawathe , anand rajaraman , hector garcia-molina , jennifer widom"
1994,1996,a framework for supporting data integration using the materialized and virtual approaches,international conference on management of data,"richard hull , gang zhou"
1995,1996,algorithms for deferred view maintenance,international conference on management of data,"latha s. colby , timothy griffin , leonid libkin , inderpal singh mumick , howard trickey"
1996,1996,guidelines for presentation and comparison of indexing techniques,acm sigmod record,"justin zobel , alistair moffat , kotagiri ramamohanarao"
1997,1996,"domains , relations and religious wars",acm sigmod record,r. camps
1998,1996,accessing relational databases from the world wide web,international conference on management of data,"tam nguyen , v. srinivasan"
1999,1996,is gui programming a database research problem ?,international conference on management of data,"nita goyal , charles hoch , ravi krishnamurthy , brian meckler , michael suckow"
2000,2003,winmagic : subquery elimination using window aggregation,international conference on management of data,"calisto zuzarte , hamid pirahesh , wenbin ma , qi cheng , linqi liu , kwai wong"
2001,2003,gigascope : a stream database for network applications,international conference on management of data,"chuck cranor , theodore johnson , oliver spataschek , vladislav shkapenyuk"
2002,2003,socqet : semantic olap with compressed cube and summarization,international conference on management of data,"laks v. s. lakshmanan , jian pei , yan zhao"
2003,2003,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,international conference on management of data,"jialie shen , anne h. h. ngu , john shepherd , du q. huynh , quan z. sheng"
2004,2003,abstracts of invited industrial track presentations,international conference on management of data,zachary ives
2005,2003,a comprehensive xquery to sql translation using dynamic interval encoding,international conference on management of data,"david dehaan , david toman , mariano p. consens , m. tamer &#214; zsu"
2006,2003,integration of electronic tickets and personal guide system for public transport using mobile terminals,international conference on management of data,"koichi goto , yahiko kambayashi"
2007,2003,multi-dimensional clustering : a new data layout scheme in db2,international conference on management of data,"sriram padmanabhan , bishwaranjan bhattacharjee , tim malkemus , leslie cranston , matthew huras"
2008,2003,pix : exact and approximate phrase matching in xml,international conference on management of data,"sihem amer-yahia , mary fern &#225; ndez , divesh srivastava , yu xu"
2009,2003,qxtract : a building block for efficient information extraction from text databases,international conference on management of data,"eugene agichtein , luis gravano"
2010,2003,aurora : a data stream management system,international conference on management of data,"d. abadi , d. carney , u. &#199; etintemel , m. cherniack , c. convey , c. erwin , e. galvez , m. hatoun , a. maskey , a. rasin , a. singer , m. stonebraker , n. tatbul , y. xing , r. yan , s. zdonik"
2011,2003,stream : the stanford stream data manager ( demonstration description ),international conference on management of data,"arvind arasu , brian babcock , shivnath babu , mayur datar , keith ito , itaru nishizawa , justin rosenstein , jennifer widom"
2012,2003,griddb : a relational interface for the grid,international conference on management of data,"david t. liu , michael j. franklin , devesh parekh"
2013,2003,peerdb : peering into personal databases,international conference on management of data,"beng chin ooi , kian-lee tan , aoying zhou , chin hong goh , yingguang li , chu yee liau , bo ling , wee siong ng , yanfeng shu , xiaoyu wang , ming zhang"
2014,2003,dbcache : middle-tier database caching for highly scalable e-business architectures,international conference on management of data,"christof bornh &#246; vd , mehmet altinel , sailesh krishnamurthy , c. mohan , hamid pirahesh , berthold reinwald"
2015,2003,transparent mid-tier database caching in sql server,international conference on management of data,"per - &#197; ke larson , jonathan goldstein , jingren zhou"
2016,2003,rainbow : multi-xquery optimization using materialized xml views,international conference on management of data,"xin zhang , katica dimitrova , ling wang , maged el sayed , brian murphy , bradford pielech , mukesh mulchandani , luping ding , elke a. rundensteiner"
2017,2003,timber : a native system for querying xml,international conference on management of data,"stelios paparizos , shurug al-khalifa , adriane chapman , h. v. jagadish , laks v. s. lakshmanan , andrew nierman , jignesh m. patel , divesh srivastava , nuwee wiwatwattana , yuqing wu , cong yu"
2018,2003,rolex : relational on-line exchange with xml,international conference on management of data,"philip bohannon , xin ( luna ) dong , sumit ganguly , henry f. korth , chengkai li , p. p. s. narayan , pradeep shenoy"
2019,2003,a system for watermarking relational databases,international conference on management of data,"rakesh agrawal , peter j. haas , jerry kiernan"
2020,2003,irisnet : internet-scale resource-intensive sensor services,international conference on management of data,"amol deshpande , suman nath , phillip b. gibbons , srinivasan seshan"
2021,2003,telegraphcq : continuous dataflow processing,international conference on management of data,"sirish chandrasekaran , owen cooper , amol deshpande , michael j. franklin , joseph m. hellerstein , wei hong , sailesh krishnamurthy , samuel r. madden , fred reiss , mehul a. shah"
2022,2003,lockx : a system for efficiently querying secure xml,international conference on management of data,"sungran cho , sihem amer-yahia , laks v. s. lakshmanan , divesh srivastava"
2023,2003,trex : dtd-conforming xml to xml transformations,international conference on management of data,"aoying zhou , qing wang , zhimao guo , xueqing gong , shihui zheng , hongwei wu , jianchang xiao , kun yue , wenfei fan"
2024,2003,panel : querying networked databases,international conference on management of data,"nick koudas , divesh srivastava"
2025,2003,the lowell report,international conference on management of data,"jim gray , hans schek , michael stonebraker , jeff ullman"
2026,2003,data quality and data cleaning : an overview,international conference on management of data,"theodore johnson , tamraparni dasu"
2027,2003,xquery : a query language for xml,international conference on management of data,don chamberlin
2028,2003,query by humming : in action with its technology revealed,international conference on management of data,"yunyue zhu , dennis shasha , xiaojian zhao"
2029,2003,plastic : reducing query optimization overheads through plan recycling,international conference on management of data,"vibhuti s. sengar , jayant r. haritsa"
2030,2003,ipsofacto : a visual correlation tool for aggregate network traffic data,international conference on management of data,"flip korn , s. muthukrishnan , yunyue zhu"
2031,2003,birn-m : a semantic mediator for solving real-world neuroscience problems,international conference on management of data,"amarnath gupta , bertram lud &#228; scher , maryann e. martone"
2032,2003,mapping data in peer-to-peer systems : semantics and algorithmic issues,international conference on management of data,"anastasios kementsietsidis , marcelo arenas , ren &#233; e j. miller"
2033,2003,robust and efficient fuzzy match for online data cleaning,international conference on management of data,"surajit chaudhuri , kris ganjam , venkatesh ganti , rajeev motwani"
2034,2003,efficient similarity search and classification via rank aggregation,international conference on management of data,"ronald fagin , ravi kumar , d. sivakumar"
2035,2003,exchanging intensional xml data,international conference on management of data,"tova milo , serge abiteboul , bernd amann , omar benjelloun , fred dang ngoc"
2036,2003,capturing both types and constraints in data integration,international conference on management of data,"michael benedikt , chee-yong chan , wenfei fan , juliana freire , rajeev rastogi"
2037,2003,processing set expressions over continuous update streams,international conference on management of data,"sumit ganguly , minos garofalakis , rajeev rastogi"
2038,2003,chain : operator scheduling for memory minimization in data stream systems,international conference on management of data,"brian babcock , shivnath babu , rajeev motwani , mayur datar"
2039,2003,spectral bloom filters,international conference on management of data,"saar cohen , yossi matias"
2040,2003,stream processing of xpath queries with predicates,international conference on management of data,"ashish kumar gupta , dan suciu"
2041,2003,formal semantics and analysis of object queries,international conference on management of data,g. m. bierman
2042,2003,a theory of redo recovery,international conference on management of data,"david lomet , mark tuttle"
2043,2003,a characterization of the sensitivity of query optimization to storage access cost parameters,international conference on management of data,"frederick r. reiss , tapas kanungo"
2044,2003,estimating compilation time of a query optimizer,international conference on management of data,"ihab f. ilyas , jun rao , guy lohman , dengfeng gao , eileen lin"
2045,2003,factorizing complex predicates in queries to exploit indexes,international conference on management of data,"surajit chaudhuri , prasanna ganesan , sunita sarawagi"
2046,2003,scientific data repositories : designing for a moving target,international conference on management of data,"etzard stolte , christoph von praun , gustavo alonso , thomas gross"
2047,2003,extracting structured data from web pages,international conference on management of data,"arvind arasu , hector garcia-molina , stanford university"
2048,2003,cache-and-query for wide area sensor databases,international conference on management of data,"amol deshpande , suman nath , phillip b. gibbons , srinivasan seshan"
2049,2003,composing xsl transformations with xml publishing views,international conference on management of data,"chengkai li , philip bohannon , p. p. s. narayan"
2050,2003,contorting high dimensional data for efficient main memory knn processing,international conference on management of data,"bin cui , beng chin ooi , jianwen su , kian-lee tan"
2051,2003,the design of an acquisitional query processor for sensor networks,international conference on management of data,"samuel madden , michael j. franklin , joseph m. hellerstein , wei hong"
2052,2003,hardware acceleration for spatial selections and joins,international conference on management of data,"chengyu sun , divyakant agrawal , amr el abbadi"
2053,2003,an optimal and progressive algorithm for skyline queries,international conference on management of data,"dimitris papadias , yufei tao , greg fu , bernhard seeger"
2054,2003,xpath queries on streaming data,international conference on management of data,"feng peng , sudarshan s. chawathe"
2055,2003,location-based spatial queries,international conference on management of data,"jun zhang , manli zhu , dimitris papadias , yufei tao , dik lun lee"
2056,2003,qcluster : relevance feedback using adaptive clustering for content-based image retrieval,international conference on management of data,"deok-hwan kim , chin-wan chung"
2057,2003,on relational support for xml publishing : beyond sorting and tagging,international conference on management of data,"surajit chaudhuri , raghav kaushik , jeffrey f. naughton"
2058,2003,a framework for diagnosing changes in evolving data streams,international conference on management of data,charu c. aggarwal
2059,2003,using sets of feature vectors for similarity search on voxelized cad objects,international conference on management of data,"hans-peter kriegel , stefan brecheisen , peer kr &#246; ger , martin pfeifle , matthias schubert"
2060,2003,evaluating probabilistic queries over imprecise data,international conference on management of data,"reynold cheng , dmitri v. kalashnikov , sunil prabhakar"
2061,2003,adaptive filters for continuous queries over distributed data streams,international conference on management of data,"chris olston , jing jiang , jennifer widom"
