location_id,place,address,contact_phone,restaurant_name,classification
39,` rancho park ',' 10509 w. pico blvd. ',310-475-7564,` main course the ',573
40,la,' 519 s. fairfax ave. ',213-938-8800,` mani \ 's bakery & espresso bar ',574
41,` st. hermosa beach ',' 22nd street grill 25 22nd ',310-376-7786,` martha \ 's ',575
42,` marina del rey ',' 13329 washington blvd. ',310-306-7829,` maxwell \ 's cafe ',576
43,` santa monica ',' 1147 third st. ',310-451-0843,` michael \ 's ( los angeles ) ',577
44,la,' 8474 w. third st. ',213-782-0181,mishima,578
45,la,' 7261 melrose ave. ',213-935-5280,` mo better meatty meat ',579
46,encino,' 17040 ventura blvd. ',818-906-8881,` mulberry st. ',580
47,` santa monica ',' 3117 ocean park blvd. ',310-452-5728,` ocean park cafe ',581
48,` monterey park ',' 145 n. atlantic blvd. ',818-308-2128,` ocean star ',582
49,la,' 875 s. figueroa st. downtown ',213-627-6879,` original pantry bakery ',583
50,pasadena,' 510 s. arroyo pkwy . ',818-795-1001,` parkway grill ',584
51,chinatown,' 642 broadway ',213-626-5530,` pho hoa ',585
52,la,' 709 n. la brea ave. ',213-931-4223,` pink \ 's famous chili dogs ',586
53,burbank,' 2635 w. olive ave. ',818-563-2252,` poquito mas ',587
54,` los angeles ',' 923 e. third st. ',213-687-7178,r-23,588
55,` santa monica ',' 2901 pico blvd. ',310-828-7937,` rae \ 's ',589
56,encino,' 15322 ventura blvd. ',818-905-6515,` rubin \ 's red hots ',590
57,pasadena,'45 s. fair oaks ave. ',818-796-7829,` ruby \ 's ( la ) ',591
58,` seal beach ',' 1198 pch ',310-596-9556,` russell \ 's burgers ',592
59,` beverly hills ',' 224 s. beverly dr. ',310-859-8744,` ruth \ 's chris steak house ( los angeles ) ',593
60,pasadena,' 1505 mission st. s. ',818-799-4774,shiro,594
61,` studio city ',' 11288 ventura blvd. ',818-508-7017,` sushi nozawa ',595
62,la,' 8360 melrose ave. ',213-653-7145,` sweet lady jane ',596
63,brentwood,' 11677 san vicente blvd. ',310-207-7782,taiko,597
64,la,' 2575 beverly blvd. ',213-389-9060,` tommy \ 's ',598
65,` manhattan beach ',' 1305 highland ave. ',310-545-5177,` uncle bill \ 's pancake house ',599
66,` los angeles ',' 544 s. grand ave. ',213-891-0900,` water grill ',600
67,glendale,' 1415 e. colorado st. ',818-244-1937,` zankou chicken ',601
68,` new york city ',' 764 ninth ave. ',212-307-1612,` afghan kebab house ',602
69,` new york city ','21 e. 62nd st. ',212-223-2900,arcadia,603
70,` new york city ','93 ave. a ',212-254-2054,` benny \ 's burritos ',604
71,` new york city ',' 424 amsterdam ave. ',212-595-7000,` cafe con leche ',605
72,` new york city ',' 331 w. fourth st. ',212-242-9502,` corner bistro ',606
73,` new york city ',' 368 bleecker st. ',212-242-0636,` cucina della fontana ',607
74,` new york city ','87 e. fourth st. ',212-260-6800,` cucina di pesce ',608
75,` new york city ','44 w. 56th st. ',212-432-7227,darbar,609
76,` new york city ',' 432 sixth ave. ',212-473-5555,` ej \ 's luncheonette ',610
77,` new york city ',' 228 w. 47th st. ',212-840-5000,` edison cafe ',611
78,queens,' 24-02 31st st. ',718-932-1510,` elias corner ',612
79,` new york city ',' 483 amsterdam ave. ',212-496-0163,` good enough to eat ',613
80,` new york city ',' 2090 broadway ',212-799-0243,` gray \ 's papaya ',614
81,` new york city ','86 w. third st. ',212-673-3783,` il mulino ',615
82,queens,' 37-03 74th st. ',718-672-1232,` jackson diner ',616
83,queens,' 9 pell st. ',718-539-3838,` joe \ 's shanghai ',617
84,` new york city ','48 w. 65th st. ',212-721-7001,` john \ 's pizzeria ',618
85,` new york city ',' 127 greene st. ',212-228-1212,` kelley & ping ',619
86,` new york city ',' 117 second ave. ',212-674-4040,kiev,620
87,` new york city ',' 2nd fl . ',212-317-2802,` kuruma zushi ',621
88,` new york city ',' 2199 broadway ',212-874-2780,` la caridad ',622
89,` new york city ',' 3 e. 52nd st. ',212-752-1495,` la grenouille ',623
90,brooklyn,' 61a seventh ave. ',718-399-7100,` lemongrass grill ',624
91,` new york city ','32 spring st. ',212-941-7994,` lombardi \ 's ',625
92,` new york city ',' 466 hudson st. ',212-741-3214,` marnie \ 's noodle shop ',626
93,` new york city ','39 w. 55th st. ',212-247-1585,menchanko-tei,627
94,` new york city ',' 296 bleecker st. ',212-989-1367,` mitali east-west ',628
95,` new york city ',' 435 amsterdam ave. ',212-580-8686,` monsoon ( ny ) ',629
96,brooklyn,' 405 atlantic ave. ',718-852-5555,moustache,630
97,` new york city ',' 105 hudson st. ',212-219-0500,nobu,631
98,` new york city ','17 barrow st. ',212-228-0822,` one if by land tibs ',632
99,` new york city ',` lower level ',212-490-6650,` oyster bar ',633
